"","E2348C_RS00385","E2348C_RS26280","E2348C_RS26310","E2348C_RS01840","E2348C_RS02995","E2348C_RS03520","E2348C_RS03525","E2348C_RS03825","E2348C_RS26480","E2348C_RS26525","E2348C_RS07095","E2348C_RS08830","E2348C_RS26955","E2348C_RS09510","E2348C_RS09635","E2348C_RS09655","E2348C_RS10555","E2348C_RS27080","E2348C_RS27095","E2348C_RS10970","E2348C_RS11225","E2348C_RS11230","E2348C_RS11450","E2348C_RS11455","E2348C_RS11490","E2348C_RS11805","E2348C_RS12135","E2348C_RS27215","E2348C_RS27225","E2348C_RS13365","E2348C_RS27295","E2348C_RS14295","E2348C_RS27385","E2348C_RS15875","E2348C_RS27460","E2348C_RS16055","E2348C_RS18950","E2348C_RS19300","E2348C_RS20480","E2348C_RS21020","E2348C_RS22595","E2348C_RS23270","E2348C_RS23300","E2348C_RS23395","E2348C_RS27945","E2348C_RS24405","E2348C_RS24850","E2348C_RS24970"
"EPEC_Li_2 (GE) - TPM",0.734961382739365,-0.203141750771829,-0.432390360075748,1.18309582838991,-0.640967605769817,-1.01091486945456,-0.531802811995037,-0.319979695442281,-0.207445085443356,-0.665928588578149,-0.426258659269733,0.159481441312971,1.99528926406545,-0.598032776742811,-0.265690852614846,-0.381386753466919,0.0201068824307595,-0.510510432355797,-0.563302657680228,2.55971671162277,-0.270257304547218,-0.468331967163518,-0.545182619228529,-0.924315446216918,-0.535404666806554,-0.528290463553882,-0.24107400247152,-0.147186831141203,-0.604912238894592,-0.455391352673821,2.11411950108946,0.0225834099683927,-0.642784825538809,-0.562752172400007,-0.46362784655671,0.386705679328848,-0.330119654066725,-0.552992457462949,-0.0860735894099945,1.05990193429287,-0.558318264845413,-0.78345575045566,-0.0276918936243197,2.15690923437872,-0.571029279713136,-0.402241487300588,-0.437677928703551,-0.522640664222425
"EPEC_Li_3 (GE) - TPM",0.0158904185978537,-0.203141750771829,-0.248382579981736,0.502583661048704,-0.13418301891946,-0.418100058061667,-0.531802811995037,-0.877015837872398,-0.207445085443356,0.511918867205215,-0.505500840963571,-0.244111015282529,0.515337992352588,-0.848978177799321,-0.265690852614846,-0.381386753466919,0.460374635096799,0.117676878332448,-0.563302657680228,-0.634764820252303,-0.109782427230655,0.033403346242563,0.0415020026146935,-0.764371790716499,-0.418303572992795,-0.464093824147873,-0.243068309544332,-0.636038502769817,-0.604912238894592,-0.38806815143098,1.10096390131146,0.212540187210353,-0.867344718404752,-0.534000328267875,-0.46362784655671,-0.0571759429384824,-0.330119654066725,-0.284739844861496,-0.50699673638268,-1.07574524139549,-1.08357727335483,-0.302109745848437,-0.071160546625109,0.203191176664499,-0.0926595139153443,0.140023826424559,-0.601649444260713,-0.495960943259049
"EPEC_Mig_1 (GE) - TPM",3.82395330074331,5.76118040379218,5.08965124644368,4.94755786635686,4.11169416353549,3.45763843783799,5.1901712414478,4.48452440994297,5.69375158573904,3.75244617637408,4.51787242928279,4.69122184228929,3.55754355508478,4.78690811103735,5.7898803990146,5.36146260325178,5.09137681963218,4.20243766346345,3.88876600088824,4.08333579651365,5.74952178269801,5.17803922217703,3.92715937803325,3.87556594714455,3.03443190810687,5.53236320151332,3.76132628347296,4.85342737871421,4.031882326971,3.25872184271126,3.82144125648276,3.65935108270937,2.74121588081641,4.0269434150225,4.38193903199156,3.12076349979158,5.72948673978688,4.28587461501562,4.89491820353189,2.7967282361614,3.9721042188444,3.8404252797102,2.51165213299246,3.31355842237901,4.93658509180846,2.12676416571424,3.36873495349305,5.13139537981239
"EPEC_Mig_2 (GE) - TPM",-1.27417580161995,-0.203141750771829,-0.432390360075748,0.0211801541039631,-0.640967605769817,-0.529717286288903,-0.531802811995037,-0.877015837872398,-0.207445085443356,-0.665928588578149,0.49196890739799,0.84214819142675,-0.590424662970675,-0.848978177799321,0.243105108031222,-0.381386753466919,-0.91572504194878,-0.510510432355797,-0.563302657680228,-0.263276119362844,-0.270257304547218,-0.468331967163518,0.261358869089815,0.184736111387279,-0.949292957987176,-0.582732096231649,-1.16173970881859,1.53833689780398,-0.604912238894592,0.0147875103705955,-0.711698078871534,1.34206125286077,1.29168537958144,-1.15850105724074,-0.46362784655671,-0.8513356361793,-0.330119654066725,0.457089626654837,0.741159558470402,-1.2557985654649,0.473964388598557,-1.09085646356395,-1.17756253455631,-0.927346478984592,1.57491332901812,-0.573832528419178,-0.337014440269366,0.221923830691354
"EPEC_Mig_3 (GE) - TPM",-0.0519517777954615,-0.203141750771829,-0.432390360075748,-0.291206957019372,1.92593380708227,-0.548625675103981,-0.531802811995037,-0.877015837872398,-0.207445085443356,-0.665928588578149,0.483702768346004,0.515350463699116,-0.590424662970675,-0.848978177799321,-0.265690852614846,-0.381386753466919,-0.325423737304801,-0.510510432355797,-0.563302657680228,0.141400743728847,-0.270257304547218,1.22588567898472,-0.575990843298171,-0.924315446216918,-0.949292957987176,-0.329698702278026,1.49719662266726,-0.636038502769817,-0.604912238894592,-0.0228277960446915,-0.711698078871534,-0.648809857706083,0.0979805513214372,-0.935819273373723,-0.46362784655671,-0.8513356361793,-0.330119654066725,-0.625034831178222,-0.50699673638268,-0.647809629780122,0.43340142126801,-0.203065250464333,-1.17756253455631,-0.927346478984592,-0.768609286014215,0.371236438331159,1.16082226706276,1.28943238697114
"EPEC_Nd_1 (GE) - TPM",-0.117621277199369,-0.203141750771829,-0.0666649565424039,-0.699746864708816,-0.13733673371015,0.0969690628111469,0.605098040188848,0.306635433433132,-0.207445085443356,-0.665928588578149,-0.428422360499607,-0.199146327619357,-0.590424662970675,0.00419976280777793,-0.0469302369878592,0.379312294802678,-0.386487252109998,0.738045783786062,0.0264193046663582,0.557435925204374,-0.110781060674406,0.0302810528286678,-0.669060205453374,-0.288522134802886,0.457867159359681,0.478375375919485,-0.379207265360697,1.12986277364382,-0.604912238894592,0.847474743227644,-0.111237477073628,0.777839931104912,0.965733619590666,-0.425089829047558,1.46190661455704,-0.8513356361793,-0.129455465815246,-0.881183975529134,-0.328112035695375,0.444063551107754,-1.08357727335483,-0.0457386560287394,-0.200214213876609,-0.365595312787797,-0.180833859953246,0.273474105080941,-0.42465190098543,-0.21618857393324
"EPEC_Nd_2 (GE) - TPM",0.342202151866355,0.43348052973134,0.157023596644126,-0.775068434105118,-0.438050976077339,0.253539381768705,0.0789516167694974,0.267548755108178,-0.207445085443356,0.277292030862152,-0.575570921530714,0.0132455001833662,-0.590424662970675,-0.333350557219935,-0.265690852614846,0.231595871820559,-0.8681515931197,0.495594766486347,-0.0880959152654944,0.886635724712561,-0.270257304547218,-0.468331967163518,0.514164358885458,-0.668149585171996,-0.382337665471522,0.541741342110858,0.72998919231253,-0.133806895074463,-0.109988146062208,-0.428727965139877,-0.711698078871534,-0.188963596635481,0.308475668767227,-0.306500048941823,-0.46362784655671,-0.8513356361793,-0.330119654066725,-0.821096598814933,-0.218700822932733,0.186069030666173,0.355450508652952,0.172400784146404,-0.586891157339427,-0.0220115626188685,-0.362633690761401,-0.270504113813248,0.139434154895703,-0.616938879223568
"EPEC_Nd_3 (GE) - TPM",0.351357914880959,-0.203141750771829,0.0655960460261362,-0.763701757523299,-0.183791583368149,-0.972389166469429,0.844241532025053,-0.662121552964183,-0.207445085443356,0.396620725182206,-0.429492724776426,-0.409210241309911,-0.590424662970675,0.31274319116125,-0.133302743648717,-0.0361206224282098,-0.263835803362202,-0.510510432355797,-0.563302657680228,0.115200995594379,0.019275045253301,0.889531082654123,-0.415270793775588,0.807127998606878,0.807082325253269,0.541124740032527,-0.569779919334132,0.40120634225639,-0.0473743265174356,1.38908045511416,0.378450300981806,-0.648809857706083,0.781174461711475,-0.323906335976224,-0.46362784655671,-0.612528866711563,0.0341902426284967,-0.831818074778372,-0.0198435421393106,-0.0375877407156819,0.132234237913444,0.332217941370532,-0.623063889204815,-0.077454299078477,-0.235050192628444,0.149960223299092,-0.364630070967072,-0.216775217939502
"EPEC_Ns_1 (GE) - TPM",0.850466715040333,-0.203141750771829,-0.432390360075748,-0.621101180485427,-0.640967605769817,-1.25576385986764,-0.531802811995037,-0.0496948727088873,-0.207445085443356,-0.665928588578149,-0.722266884317712,-1.05506500005651,-0.590424662970675,1.01456689151281,-0.265690852614846,-0.381386753466919,-0.22290349703155,-0.510510432355797,-0.563302657680228,-0.481617867045467,-0.270257304547218,-0.468331967163518,-0.553318283518365,-0.646570456662084,-0.641935468450842,-0.493046381657314,-0.933841258778657,-0.636038502769817,-0.604912238894592,-1.0678524094941,-0.711698078871534,-0.150226656647739,-1.03512723136244,0.48536570591733,-0.46362784655671,0.527736731682675,-0.330119654066725,-0.802951220891171,-0.50699673638268,-1.09946567271886,-1.08357727335483,-0.634298916926144,-0.750609947566904,0.381452624592502,0.258464617489504,-1.06557670948748,-0.646245732846024,-0.546912103334387
"EPEC_Ns_2 (GE) - TPM",0.498267404468649,-0.203141750771829,-0.432390360075748,-0.662120337754919,-0.640967605769817,-0.971324606245502,-0.0138476517195187,-0.553463463151028,-0.207445085443356,0.133977174287213,-0.658065610083039,-1.30113495927069,-0.590424662970675,0.462868159967632,-0.0663626710257265,-0.381386753466919,-0.681388547159957,-0.510510432355797,-0.563302657680228,-0.367339080778805,-0.270257304547218,-0.468331967163518,-0.251822267203316,-0.272584947172907,-0.708887481050251,-0.460839800486374,-1.16173970881859,-0.636038502769817,-0.604912238894592,-1.42956952412974,-0.711698078871534,-0.648809857706083,-0.807236601969707,0.448329061846577,-0.46362784655671,-0.8513356361793,-0.330119654066725,-0.691117335563181,-0.50699673638268,-0.644404913048036,-0.168293039832441,-1.09085646356395,-1.17756253455631,0.608206501586455,-0.424318447291513,-0.776604859201904,-0.646245732846024,-0.616938879223568
"EPEC_Ns_3 (GE) - TPM",-0.28465995282807,-0.203141750771829,-0.432390360075748,-0.725209622432517,-0.640967605769817,-1.25576385986764,-0.531802811995037,-0.877015837872398,-0.207445085443356,-0.665928588578149,-0.779077836562265,-1.27517696382277,-0.590424662970675,0.331539823915885,-0.131160706185462,-0.381386753466919,-0.491957506886259,-0.510510432355797,-0.563302657680228,-1.02515436075353,-0.270257304547218,-0.00838754977644665,-1.15505042990139,-0.337829389023273,-0.949292957987176,-0.629246325753308,-1.16173970881859,-0.636038502769817,-0.604912238894592,-1.04766876547214,1.50387584689399,-0.648809857706083,-0.419897422891081,0.397297147547573,-0.46362784655671,-0.8513356361793,-0.330119654066725,-0.740573229172555,-0.50699673638268,-0.430517594545162,-1.08357727335483,-0.608823221667789,-0.726786194828873,-0.581889110332981,-0.768609286014215,-0.935555204107499,-0.646245732846024,-0.616938879223568
"EPEC_Oss_1 (GE) - TPM",0.837054952131675,-0.203141750771829,0.174397902592497,-0.156953501769108,0.507971696537777,-0.651510887024881,-0.217423915316805,-0.484248099304271,-0.207445085443356,-0.18041650117213,0.165841999686264,-0.0634046089493217,0.776970916971967,0.212675638065578,-0.20519857584156,-0.381386753466919,-0.0177837362049582,0.00737077729959627,0.415126408422429,-0.0452148240609331,0.52352113191633,-0.0546985070110218,-0.691636629896778,0.130552263919069,-0.803376063376983,0.133375292002994,0.352976196277563,0.828896879141991,1.17838359971493,0.287669844994668,-0.213575113277148,-0.175408590786844,0.901364846012552,-0.454741743162235,1.13373413446269,0.6763205410105,-0.163655042836799,0.289350063448364,-0.210202650500521,0.377008320117863,0.027507505656614,0.534761792343044,1.35611558445981,1.09203388114988,-0.14169532345186,0.04525714234477,0.0522975361588186,-0.1847543045293
"EPEC_Oss_2 (GE) - TPM",1.23933938420016,0.509016841946841,0.886307482447999,-0.185641353110497,0.834487099338343,-1.25576385986764,0.151418664650385,-0.877015837872398,-0.207445085443356,-0.138360916604534,0.178218097886932,-0.109205984050038,2.38125707967028,0.20850262699279,-0.134226485603979,-0.381386753466919,-0.230846407425477,-0.510510432355797,1.82885606725791,0.333280997160465,0.161010889149246,0.205862292596427,-0.000207058888388033,-0.351194697500299,-0.632180208623792,-0.0256466083484624,0.131484910289904,-0.261490343521155,0.779206948367865,0.0632212836024657,0.912114676017884,-0.134402058557064,0.918803528586561,-0.477010716053513,-0.46362784655671,1.99435021901795,0.212532216150137,0.422488525708386,0.944265468006667,0.437796445780803,0.123750876817312,1.02886082707045,0.804704076797293,0.422992771893876,-0.541536642256971,-0.747930528691866,0.951758153606857,0.539050960156613
"EPEC_Oss_3 (GE) - TPM",1.07895180247271,-0.203141750771829,0.934009238088812,-0.164453396867693,2.33828478605796,0.817669270061865,-0.531802811995037,-0.582197083115688,-0.207445085443356,-0.665928588578149,0.230444740763891,-0.0241734665051719,0.093837005423696,-0.317713471134407,0.00674890172913478,0.0922923438032388,-0.126433881845106,-0.510510432355797,2.74161892322719,-0.122661743106559,0.126959247357751,0.463110890632896,-0.496860177320521,-0.528413804825826,-0.949292957987176,0.0411275283221809,1.11220803757664,0.916348822260343,0.542437723758833,0.117220569306945,-0.711698078871534,1.12790903121934,0.00313483793317847,-0.301356628859101,1.13505155590097,1.11441364664744,-0.330119654066725,0.616025015207268,2.16635305926915,-0.364442089081691,1.41842530088815,0.698798416713958,1.40892058659002,1.40462949113314,-0.559465616476789,0.514278567987409,1.72708062170803,-0.0679445099927852
"EPEC_Oxs_1 (GE) - TPM",-0.787292310814343,-0.203141750771829,-0.432390360075748,0.631154061289865,-0.52062387157397,-0.957389780072927,-0.411062800597212,0.782289540486108,-0.207445085443356,-0.106532882046986,-0.378923214651865,-0.650940508768164,-0.240317706682098,-0.407262454364623,-0.0565974802589924,-0.260206249971177,0.0113276988928984,-0.510510432355797,-0.375415464912974,-0.94077916565952,-0.270257304547218,-0.309472357754539,-0.551014196002069,-0.265977040605046,-0.276804783041664,0.00199739153692763,0.167951984287962,-0.536752362144731,-0.0178631290013869,-0.0445753114370821,-0.329080967737448,-0.285181923276926,-0.610140370561713,1.4947047960543,-0.46362784655671,-0.683704223991185,-0.0104585813311891,0.185930747260215,-0.336017123599916,-0.571696012054558,-0.372373953513644,0.49078751729488,0.145828465169128,-0.509736715794995,0.140973384646239,-0.796128948739389,-0.561525178475609,-0.514794676166956
"EPEC_Oxs_2 (GE) - TPM",-0.371347527788503,-0.203141750771829,-0.167768880439529,0.850842199906046,-0.367665125216194,0.17475067364568,-0.531802811995037,-0.0205821640603334,-0.207445085443356,-0.242463156068178,-0.249267958842246,-0.11659701494844,-0.590424662970675,0.154165058260289,-0.160167679078435,-0.381386753466919,0.210422652434917,2.65137486747411,-0.563302657680228,-0.913617505581057,-0.154867891447475,-0.468331967163518,-0.77843548176447,0.110751496985696,-0.822023704505982,0.113595232023724,-0.689903710178055,-0.335398022752898,0.0616865626665136,0.0682129837206457,-0.711698078871534,-0.442358692695449,-0.914483265047129,1.1162383153467,-0.46362784655671,-0.470642107917955,0.105453488383311,0.777954072941918,0.0107330548940505,-0.47899482848692,0.0470303397930766,2.31203209986775,0.325158174321672,-0.385404634512191,0.203473680846714,-0.759616694695074,-0.453844044111885,-0.529949730202213
"EPEC_Oxs_3 (GE) - TPM",-0.954154293396365,-0.203141750771829,-0.432390360075748,1.13420599101009,-0.640967605769817,-0.520737149287655,0.684980011133764,0.643165837920063,-0.207445085443356,0.83738546911151,-0.252432446943929,-0.324897565983268,0.115230613765108,-0.164134643923448,-0.125212027735743,-0.381386753466919,-0.035617359940193,-0.510510432355797,-0.563302657680228,-0.696819993838563,-0.0654394923918977,-0.468331967163518,-0.394426999693898,-0.00568634002490276,0.293182858597971,0.0551234593622913,-0.240472707223013,-0.369217987225113,-0.210504859102812,0.165581338835629,0.0594827794323838,-0.648809857706083,-0.0714760038236515,1.1347678210765,-0.46362784655671,-0.344533407736373,-0.201261590351187,0.275518832397173,-0.277252342292611,-0.623831409514032,-0.366847191322313,1.006426349873,0.626821388305423,-0.446369325354682,0.687248246499877,-0.431979550298748,-0.560866814818847,-0.436797439039406
"EPEC_Sp_1 (GE) - TPM",-0.335516563858561,-0.203141750771829,-0.432390360075748,-0.773430171145009,-0.640967605769817,1.19561675905037,-0.531802811995037,-0.877015837872398,-0.207445085443356,2.09160007127786,-0.578041964619916,-0.518018877018366,1.9983419876517,1.66343852213592,-0.265690852614846,-0.381386753466919,-0.600649969822828,-0.510510432355797,-0.563302657680228,-0.54837336846121,-0.270257304547218,-0.468331967163518,1.9356690106967,-0.924315446216918,0.70821477217585,-0.584124980913502,-0.547237938942422,-0.146609687199825,-0.604912238894592,-1.42956952412974,-0.711698078871534,-0.648809857706083,-1.03512723136244,-1.35387565446076,-0.46362784655671,-0.8513356361793,-0.330119654066725,-1.00784407014509,-0.50699673638268,-0.834265030500901,-0.031819002594473,1.37125260730721,-1.17756253455631,-0.927346478984592,-0.768609286014215,-0.733517527872879,-0.646245732846024,-0.616938879223568
