"","ECP_RS00190","ECP_RS00370","ECP_RS00740","ECP_RS01615","ECP_RS24385","ECP_RS01770","ECP_RS02230","ECP_RS24500","ECP_RS03475","ECP_RS03935","ECP_RS03970","ECP_RS05115","ECP_RS05335","ECP_RS07085","ECP_RS11530","ECP_RS12160","ECP_RS12300","ECP_RS12465","ECP_RS15645","ECP_RS15660","ECP_RS15840","ECP_RS16300","ECP_RS16470","ECP_RS19550","ECP_RS21650","ECP_RS25825","ECP_RS22145","ECP_RS22165","ECP_RS22915","ECP_RS23765"
"UPEC_Mig_1 (GE) - TPM",3.00700389975318,4.78528375364649,3.67549772536477,4.18079011053621,5.40914489447941,4.3900885405909,3.83947942576074,4.97177804928924,4.65283096533128,5.03079920167449,3.81637864306126,5.11276692618389,4.33460972244581,4.34754195483208,4.83640225591824,5.03194112210367,4.22063710002618,5.15185742521913,3.72560734572307,4.76629408137229,3.99903648292406,3.94579025153976,3.55446657018073,4.85723298230612,4.22998247976565,4.9701051186696,4.89309481882925,5.10555842353744,4.58065537645435,5.5338395271449
"UPEC_Mig_2 (GE) - TPM",0.142925025966346,-0.857820770815579,-0.15598328226055,0.203580145085648,-0.280413481943207,0.802339827722185,-0.129741141777928,-0.479907779531452,-0.402888352750523,-0.140475685411687,-0.847081623465325,-0.294010766006826,0.368468346890902,2.115981643179,0.138090121849235,-0.505162080652472,-0.570895445901754,2.1142803950946,0.717870478480069,1.72834424134282,0.559256334376739,0.669586449422486,2.18580497345393,-0.56594780685608,-0.511941548278683,-0.0893038022717878,-0.901118703262995,-0.712576802481725,0.337900108503892,-0.267970259473669
"UPEC_Mig_3 (GE) - TPM",1.14978915670445,-0.833957928501001,1.66261139433893,2.47265944292039,-0.280413481943207,1.13102514735487,1.61758985527072,-0.479907779531452,-0.402888352750523,1.97487386756917,-0.847081623465325,-0.294010766006826,1.79762251085426,0.470585678617906,1.85686045615779,0.869178783839644,-0.570895445901754,0.292457495979816,0.502219637095751,0.502016190776318,1.97722443696996,-0.149168420550819,0.111335562499007,0.443600692790686,-0.511941548278683,1.41637137991083,-0.901118703262995,-0.694466639468609,-0.139707307532355,-0.267970259473669
"UPEC_Nd_1 (GE) - TPM",-1.19924495229339,0.326664088321697,-0.883318559961233,-0.150417077605959,-0.280413481943207,0.41749336221733,-0.310298720042187,-0.188268594211927,1.03954826564218,-0.0201980983710232,0.150809887701283,-0.294010766006826,0.0154562994569387,-0.196348025763165,-0.318832646570527,-0.110217270838414,1.47969762542654,-0.232047120943787,-1.00855383950364,-0.489571437694419,-0.571522489888545,0.26681289422447,0.352563422441733,-0.56594780685608,-0.511941548278683,-0.69148893501127,0.338732428412143,-0.302514706570486,-0.808519396337109,-0.267970259473669
"UPEC_Nd_2 (GE) - TPM",-1.19924495229339,-0.20145652622129,-0.883318559961233,-0.50856693565623,-0.280413481943207,0.227674321745453,-0.208734149084482,-0.479907779531452,-0.402888352750523,0.220500027666686,1.41179072174795,-0.294010766006826,0.381326166195896,-0.254306752222306,1.18982552673002,0.0908478720682412,-0.570895445901754,-0.189098650852208,0.520191651514312,-0.547249508314989,0.0877825535001778,0.221890449320335,-1.03586897367888,-0.56594780685608,0.253684577482363,-0.69148893501127,-0.277433573513519,0.138170425742662,-0.808519396337109,0.668783919566773
"UPEC_Nd_3 (GE) - TPM",-1.19924495229339,0.344245058536802,-0.28723736379482,-0.577509252235789,-0.280413481943207,1.0927407402175,-1.44000836773412,-0.479907779531452,-0.402888352750523,-0.49299250786559,-0.847081623465325,2.53380971438048,-0.703208322177273,-0.509712558225883,0.0140406978347146,-0.505162080652472,1.93514320370132,-0.35876828778386,-1.00855383950364,-0.724558994719206,-0.146077714108074,2.40571528178185,-0.746764643888033,-0.56594780685608,-0.511941548278683,-0.69148893501127,-0.901118703262995,-0.299380806078894,-0.808519396337109,-0.267970259473669
"UPEC_Ns_1 (GE) - TPM",-0.928869342279831,0.111407845764162,-0.883318559961233,-0.486219534435613,-0.280413481943207,-0.586122433847125,-0.535040682131401,-0.246286654709441,-0.402888352750523,-0.49299250786559,-0.847081623465325,-0.294010766006826,-0.703208322177273,-0.612960164166417,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.394733349150805,-0.660771490464246,-0.724558994719206,-0.995057781059617,-0.700764335630479,-0.883277654271603,-0.56594780685608,-0.511941548278683,-0.610616827276996,-0.0734538158401292,-0.78995915628885,-0.423615499403117,-0.267970259473669
"UPEC_Ns_2 (GE) - TPM",-1.06184840404943,-0.0616131100791482,-0.287666098281595,-0.541049545092019,-0.280413481943207,-0.603508050534544,0.0545908208523899,-0.479907779531452,-0.292792095789289,-0.49299250786559,-0.542419029736616,-0.294010766006826,-0.703208322177273,-0.697095526631801,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.557852161483087,-0.478357041065134,-0.65281580636375,-0.868266371023188,-0.67711370988145,-1.17206400691118,-0.56594780685608,-0.357047243560636,-0.444908666093788,-0.144049908277861,-0.989728148786339,0.0716639179030772,-0.267970259473669
"UPEC_Ns_3 (GE) - TPM",-0.440098277124661,0.713157143733143,-0.883318559961233,-0.70899554037304,-0.280413481943207,-1.07920917422527,-0.423639754378039,-0.479907779531452,-0.402888352750523,-0.49299250786559,0.836247385827131,-0.294010766006826,-0.703208322177273,-0.809395978744821,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.447932982951122,-0.910905307714114,-0.566000126653075,-0.839519619183423,-0.518360827042071,-0.459375839513448,0.0213198242418842,-0.169611268633169,-0.555247818389832,-0.622253735997847,-0.8102020008515,-0.549148207825418,-0.267970259473669
"UPEC_Oss_1 (GE) - TPM",1.62145842372947,0.845635019817191,1.05771921810492,0.993088173603092,0.204082802378501,0.0675440830737045,0.945245174390936,-0.247787696417535,0.171140318211055,0.682958410077816,-0.052844524274938,0.0513012332329841,0.0117868678843915,0.36164617734145,0.505512091620655,1.3808935670104,0.65317831946439,-0.217503574323342,1.17991561775075,0.561273538389464,0.374089729041009,-0.00529113081686812,1.20433545505194,0.126771407987206,1.70895932115456,-0.249550209963479,-0.572179883743299,-0.334943465945382,0.147557720650066,-0.0209427137633424
