"","GBS_RS00965","GBS_RS11090","GBS_RS01075","GBS_RS01340","GBS_RS01345","GBS_RS01350","GBS_RS01355","GBS_RS01925","GBS_RS02485","GBS_RS03515","GBS_RS03540","GBS_RS03545","GBS_RS03635","GBS_RS11385","GBS_RS08220","GBS_RS09695","GBS_RS09740","GBS_RS10340"
"STAGA_Mig_1 (GE) - TPM",-0.746899364573806,-0.496345545746039,-0.237852365215902,-0.421725548796917,-0.426651801620278,-0.575048407281151,-0.492309231482172,-0.737052493012794,-0.875369328019639,-0.963824129651797,-0.536694573436768,0.476469430094646,-0.647534892398214,-0.166666666666667,-1.44641545210331,-0.629735292333289,-0.607479944523014,-0.310221438788151
"STAGA_Mig_2 (GE) - TPM",-0.318157001584621,-0.578048863078862,-0.774904928294915,-0.752908387379431,-0.65518659780349,-0.643021333237111,-0.618217253429689,-0.811530043291752,-1.06952647200929,-1.41083035021948,-0.654625980372253,0.31550392596996,-1.04901365252353,-0.166666666666667,-1.518055512052,-0.81912805524143,0.499031690785131,-2.28882103991631
"STAGA_Mig_3 (GE) - TPM",-0.420110741245502,-0.570945229827481,-0.301614095403251,-0.700499901359085,-0.665716423665088,-0.910104751020187,-0.869481471924297,-1.16856987883642,-1.00092335085949,-1.42315543135324,0.169540500957685,0.783591520950162,-0.979657198210386,-0.166666666666667,-1.5243634088669,-0.758894648428678,-0.165337895672639,-1.06905929411787
"STAGA_Nd_1 (GE) - TPM",-0.87363833834766,0.0539339448499004,-0.759993879397025,-0.154348618793382,-0.116956445972113,0.253203534550597,0.505669618724804,-0.715161756421103,0.141655476874332,0.539689441423466,0.233003665261564,0.251239669177035,0.41452669850586,-0.166666666666667,-0.521276010317961,-0.230764568900003,-0.932904765883198,0.587584307174848
"STAGA_Nd_2 (GE) - TPM",-1.00214229877077,0.190939935291547,-0.721239796695658,-0.24021261993598,0.00701361344756117,0.172607327829425,0.476584050723498,-0.786450134442186,0.0493891004477323,1.02786817899687,0.0307555683446195,-0.144326232482316,0.353893968251979,-0.166666666666667,-0.154613968376691,-0.182544614978486,-1.00691835646064,0.0235460516944082
"STAGA_Nd_3 (GE) - TPM",-0.660312098708344,0.0195638143651386,-0.576894604605242,-0.116619240700974,-0.0534462500925112,0.212257750490854,0.487558165276809,-0.296683964367042,-0.087179326954143,1.71339545691805,0.0346319012953053,0.00688151322449867,0.860528372986827,-0.166666666666667,-0.557115734241865,-0.141493842849644,-0.644216202840062,0.763601758253193
"STAGA_Ns_1 (GE) - TPM",-0.499919492997043,-0.235981409226496,0.073756915840828,-0.462993549157715,-0.452200854151724,-0.440398321955045,-0.567857966111738,1.12730188876235,-0.09245650321916,-1.10268989990042,-0.222572496056789,-0.34888250273053,-0.451786559227345,-0.166666666666667,0.234866681701755,-0.649571985528859,-0.930600232379264,0.156950986802816
"STAGA_Ns_2 (GE) - TPM",-0.571483408231226,0.395263139453007,0.971317939064114,-0.379433183521954,-0.385554720506037,-0.520401230050074,-0.465568280113515,0.479995307025421,-0.310126378818162,-0.341699267564077,-0.220785497162542,-0.482040873528869,-0.672669748640782,-0.166666666666667,-0.233228479929213,-0.585988339295222,-0.129671131382709,-0.780334259201949
"STAGA_Ns_3 (GE) - TPM",0.360409379350792,0.175594623692917,0.627572968784464,0.293601300653038,0.431496138129329,0.0660405744335418,0.270647115565964,0.487065193649643,0.4278934038919,-0.398088596857525,0.228986400175862,-0.183633562513047,-0.0597032220608327,-0.166666666666667,0.663347349894748,-0.520011600146826,-0.449031934775584,-0.353999107156066
"STAGA_Oss_1 (GE) - TPM",-0.906166742938565,-0.512933434998723,-0.400554688392925,-0.490481926289045,-0.498010478080521,-0.397851011358647,-0.499948298249053,-1.38847419760031,-1.31901827321906,-0.572269751692961,-0.534173363462681,-0.714835944423631,-0.613421037220845,-0.166666666666667,-0.985940012293215,-0.659631860279059,0.544860167666886,-0.888249084156461
"STAGA_Oss_2 (GE) - TPM",-0.774106540223949,-0.27433035811547,-0.242696131436998,-0.513218682167653,-0.597515047365929,-0.365616707798392,-0.422216995254232,-1.05192535100426,-1.1357855450716,-0.354439101514141,-0.0105577281793272,-0.712174244407878,-0.565835555836938,-0.166666666666667,-0.920296484080845,-0.697621115827558,0.578819888776543,-0.332648603393148
"STAGA_Oss_3 (GE) - TPM",-0.996027882329641,-0.46463441500209,-0.751885369480043,-0.626654008344427,-0.429628531140082,-0.712681356038485,-0.696686297360983,-1.02531316118052,-1.22146198956964,-0.33565777665087,-0.824696340327074,-1.09839925161333,-0.4114322577692,-0.166666666666667,-0.724502791431632,-0.625202899181508,1.04393361594668,-0.275695856150922
"STAGA_Oxs_1 (GE) - TPM",-0.442682794988892,-0.500595381093697,-0.656744174167675,-0.342123476481192,0.112671376870723,0.124582145083816,0.51084218436815,-0.0361208154751723,0.284837931355997,0.180962595112731,-0.249935564887748,-0.120262310424674,0.510383087062409,-0.166666666666667,-0.196657623570162,0.192021759575413,0.387470390112053,0.456560992293325
"STAGA_Oxs_2 (GE) - TPM",0.0123316956591647,-0.199563244997323,-0.363767847463331,-0.153875494521845,-0.0876980413428615,0.576501769496129,0.440201456919699,0.959835668697294,0.513293024080655,1.39325677198093,-0.433225889482881,0.333938959228581,0.0280630043873427,-0.166666666666667,-0.257408445112171,0.165003189970741,0.0959255323534151,1.15130508201714
"STAGA_Oxs_3 (GE) - TPM",0.224304573182679,0.0475406673619649,0.00568674037848412,0.209887476002807,-0.32546839713113,0.357020261811012,0.385609952809762,0.138213771118397,1.22483679359007,-0.0193534545516119,0.0565763021963305,0.724155280967064,1.0981303866611,-0.166666666666667,0.571643929239965,0.095660385576183,-0.350607040595577,-0.594717164192135
"STAGA_Sp_1 (GE) - TPM",0.216249831100911,0.0894904550495745,-0.0172318084020478,-0.521671196003096,-0.518128404901663,-0.395456611614761,-0.296764658609441,-0.286017538396296,-0.041850448400037,-0.773408621625312,0.464366670269416,0.772263975375696,-0.356260898692221,-0.166666666666667,-0.41229725880033,-0.378148467351947,0.07506125936767,-1.11530074443244
"STAGA_Sp_2 (GE) - TPM",0.444173000883693,-0.284880278411185,-0.112769199055942,-0.565750198743597,-0.610560273574041,-0.386210837092226,-0.809392645216836,-0.892559923381659,-0.344674581865255,-0.489452075538262,-0.186231871217004,0.600222776498488,-0.583528979719556,-0.166666666666667,-0.866772684919827,-0.7005498117149,0.33208344667586,-0.0956780958124111
"STAGA_Sp_3 (GE) - TPM",0.422507040120451,0.0807886185822097,-0.190229180295389,-0.574552407238056,-0.488951142710087,-0.750273972843592,-0.918060468669732,-1.38783441947331,-0.827639409993232,-0.520059953443323,-0.192993020362672,0.792919907022646,-0.937918910666214,-0.166666666666667,-0.87348838550547,-0.761495963997064,0.866371118766172,-0.878427150887297
"STAGA_Tm_1 (GE) - TPM",2.82443358074267,3.0463845398465,2.59908374374866,2.99147289659764,2.66248451139754,2.16820532592349,1.96696205121224,1.35614858147869,1.8535287848572,2.23486080500792,3.68840811585466,3.08317670438958,2.12377601192169,-0.166666666666667,1.76460330161284,2.80486945603754,1.28424509518469,0.56519749806757
"STAGA_Tm_2 (GE) - TPM",2.41573359223236,2.03767969743033,2.23618209873215,3.58254259183817,3.10546604196462,3.31103024924013,3.17921837803839,2.33511985044813,2.00603841839372,2.2424164188121,2.43588614018616,2.15000282883579,3.20956600412858,-0.166666666666667,0.96599604394149,3.14443306279132,2.22223610948334,2.07109265306791
"STAGA_Tm_3 (GE) - TPM",3.12875793333098,3.79051674568782,3.78486883073461,2.79144354785577,3.66996380033709,3.53045359832976,3.41697994683875,2.05020468219535,2.61313553746697,2.91362623489883,2.82002682580443,2.62564406912908,3.07817206686499,5.83333333333333,0.901331782208772,3.11606685509435,2.80533320223091,2.31830298728134
"STAGA_Vic_1 (GE) - TPM",0.306291144272675,-1.05915600554846,-0.616226601079643,-0.567873000368189,-0.613813968898268,-0.63206393426303,-0.926897370090811,-1.43197215977479,-0.778729594113336,-0.64249063965463,-0.904915644536403,-1.30818244070671,-1.02190257946558,-0.166666666666667,0.356729595513091,-0.497721607328689,-1.99825600245928,-0.74247316632719
"STAGA_Vic_2 (GE) - TPM",0.395458263502057,-0.730271494798042,-0.633616017013953,0.476926379861208,-0.332881412494817,-0.857758922938072,-0.896252558972108,1.61433903531864,1.15915075678452,-0.703950572722923,-0.163435803269209,-0.718172244041166,-0.487793194283387,-0.166666666666667,1.78115018415243,0.213540889549544,-1.18999606195905,0.0263709135387064
"STAGA_Vic_3 (GE) - TPM",1.3293011557024,-0.275229246479366,-0.334983833737722,0.084616330402304,-0.434881348492323,-0.726215238210304,-0.723038541209571,1.5502234547876,2.47917115683449,-0.353707605107921,0.922475865566437,0.393335467891017,-0.372684111938722,-0.166666666666667,3.48133543864849,0.550602946948476,-1.40028935328677,-0.714679225782264
