"","CE206_RS02355","CE206_RS02360","CE206_RS02365","CE206_RS06475","CE206_RS06485","CE206_RS06495","CE206_RS06505","CE206_RS06515","CE206_RS06520","CE206_RS06525","CE206_RS06875","CE206_RS07120","CE206_RS07670","CE206_RS08195","CE206_RS08365","CE206_RS09490","CE206_RS09505","CE206_RS09525","CE206_RS09530","CE206_RS13880","CE206_RS13885","CE206_RS17625","CE206_RS21125","CE206_RS21815","CE206_RS23295","CE206_RS24100","CE206_RS25630","CE206_RS26795","CE206_RS27675","CE206_RS28275","CE206_RS28290","CE206_RS28310","CE206_RS28315","CE206_RS28320","CE206_RS28325","CE206_RS28425","CE206_RS28430","CE206_RS28435","CE206_RS28440","CE206_RS28445","CE206_RS28450","CE206_RS28475","CE206_RS28485","CE206_RS28540","CE206_RS28550"
"ACHX_Nd_3 (GE) - TPM",0.708012948022315,1.56167835561989,2.40012949541771,-0.733467239178126,-0.835889488400752,0.296606078971217,0.921575640814016,0.59048791560316,0.414257209311624,0.211282405673122,-0.533967152204404,-1.0393161773303,-0.833737743073084,-0.895794924678572,-0.00790363767007997,-0.815906127592825,-1.07093854117156,-0.151313177759334,0.447913270988174,-0.514019786428618,1.3175364823047,-0.657932934310679,-0.845532198028377,-0.83765109658361,-0.173230287013081,-0.512805193035935,0.995666388775665,-0.345353655195098,-1.05875964352014,0.073703349429286,0.582518158832231,0.674289450921273,0.104585772801008,0.860695058655833,-0.564406829991389,0.212518306054795,0.966092704596703,0.722643453424272,0.235114502513231,0.972439971807883,-0.711123610500566,0.642557124253261,-0.571918735641068,0.00210832158117131,0.138871899285062
"ACHX_Ns_1 (GE) - TPM",0.0440060585662855,-0.265136790708588,-0.268722320015984,0.161660436400873,-0.169761042016408,0.357865624745658,0.376365607326905,0.170479272207489,0.251726473389538,0.866604190976796,0.0665961449498485,-0.303998885994631,-0.281244411425614,-0.0254170676885458,-0.0538330317353915,0.4529218005599,0.174915970303677,0.69203064916071,2.07279920351805,-0.291474529692818,-0.857574381698725,0.535203024716565,0.48237602116404,-0.399498058265907,0.321002226183793,-0.278367049610743,-0.826390421335368,0.0554897829378143,0.419196462922853,-0.446516446076877,0.00389867494373406,-0.26095080566185,-0.00283326955314777,0.390565755025891,-0.138288235594377,-0.602321032977662,-0.21465404201296,-0.285709688360877,0.0753368693445715,0.38712874056986,0.396300412010771,0.221507008596283,-0.258652856779924,-0.268130395203222,0.118941949734368
"ACHX_Ns_2 (GE) - TPM",-0.0970107422314286,-0.463013343221795,-0.536700195929165,1.46275664305522,0.0890286347779848,0.519199653069853,0.175546519544213,1.19709763927173,0.722929455971524,0.369888853567421,0.569262456070137,-0.441355210545439,-0.643526854312721,-0.299339782345213,-0.264626769750257,-0.0951965732567662,1.62616942731548,1.49454441853747,0.603469636523688,-0.89481773320879,-1.2716442974235,0.664325980131315,-1.19896309498338,-0.0414267618210416,0.235088656850651,-0.125741736939015,-0.108404853051145,-0.810234037985132,-0.726498670221213,-0.251667385756125,-0.489025319998969,-0.544594508802248,-0.796073854266897,-0.735589914213743,-0.343231250987359,-0.680440357469579,-0.565713790177847,-0.708104727307123,-0.654846936944367,-0.426868526146852,-0.363859015643506,-0.69327126433051,-0.746742360204568,-0.569150412243569,-0.328101112450023
"ACHX_Ns_3 (GE) - TPM",0.237784678655668,-0.275330743623767,-0.0875016257301352,0.851195836168084,-0.0600922122976407,0.932314570519751,0.210525585686025,0.101214301920197,1.22748717247341,0.530224402625987,0.339424895260989,-0.280359154049629,-0.262324163620718,0.068275444468299,0.104109222053317,-0.0800241373057296,0.64606587855392,0.803991033634154,0.245324722716229,-0.327183356869964,-1.29935356780072,-0.302122472926933,-0.773965811139252,-0.505541973069714,1.12244229468795,0.0897001354676665,0.239331934755819,0.388032217753136,-1.05875964352014,-0.186522642305796,0.624837703589569,0.174215775800376,-0.141288352558455,0.359383442213404,0.489018728721855,0.489195217859111,0.368786489590519,0.182387849153608,0.541118333232343,-0.241190020113777,0.297175427744547,-0.0505923441046886,-0.236911830268884,-0.0905133421336165,-0.045611100238999
"ACHX_Oss_1 (GE) - TPM",-0.424279119931377,-1.111464137549,-1.21229530349378,-0.212752554395321,-0.412483350755897,-0.996614973085913,-1.60046478469512,-1.16227850451247,-1.14809505904111,-1.66488183007879,-0.767505612724024,-0.677022765668852,0.477335134490406,-0.249129306755073,-0.543705463729498,0.357780782162737,-0.943984466665809,-2.00292011182905,-2.12865432736371,-0.520899678715593,-1.02020480893542,1.8714744318195,-1.19896309498338,0.104801505443391,-0.772091880886381,-0.718773932661262,-0.383429668850648,-0.392367474424218,-0.0837416321356851,-0.524978284132472,-1.21117171269178,-0.972048113686324,-1.3959670571744,-0.816306867218867,-0.104065172228325,-0.83273107111174,-0.907349997937012,-0.814742269838168,-0.703200715306462,-0.538301514889348,-0.388522256663333,-0.864235377719863,-0.366701338006335,-0.594566942988215,-0.440664511717075
"ACHX_Oss_2 (GE) - TPM",-0.0252815178954594,0.788451948905189,0.00690874616702653,1.73286178740159,-0.756329363778039,-0.0255973587299827,-0.999391862947959,-0.390410816949101,-0.89704890899734,-0.458308194421467,-0.0383308406727161,-0.394206156611206,-0.270734291099406,-0.0335976332908156,0.109494857429523,0.197337202947065,-1.56593660533659,-0.0376784961157563,-1.21806882617619,-0.357588077777035,2.20275013606843,-0.0699210180994791,1.47401160093197,-0.913230353831206,-0.815955457905281,-0.169199199043597,1.41971238421719,-0.408561405020882,-1.05875964352014,0.312957439097806,0.26066034103966,1.00988886524625,-1.13935004501485,0.348160466068794,0.824814346890675,-0.708991930841636,-0.588613846343503,0.0458505499149717,-0.612955501969565,0.791593349078535,0.0787481108355544,-0.606391593043927,0.106454744899238,0.07832718342676,1.22689881745078
"ACHX_Oss_3 (GE) - TPM",-0.376158529661911,-0.562606048912633,-1.07594789422889,0.4169856304969,-0.770471621065658,-0.632428104240966,-1.58695903736275,-0.601655136686781,-1.2003105583381,-1.43778228947455,-0.721957084340459,-0.573139950663792,0.0973506489781289,-0.271254345517852,-0.624928647223573,-0.190193953689291,-1.69877112537049,-1.55793268402878,-1.95512600416293,-0.891291684816204,-1.47119699873119,0.68516126992603,-0.0210976058329992,1.52489229346848,-0.804043957400325,-0.533121832534751,-0.553615861724258,-0.648645395180332,-1.05875964352014,-0.536422244848444,-0.613005014213392,-0.52785432395811,-1.18069328239143,-0.581819297637426,0.151336608128511,-0.585499016635981,-0.866749723725212,-0.604734826852636,-0.721444285958037,-0.274443771843272,-0.37042830520628,-0.859956409033735,-0.519409539501539,-0.411705537372348,-0.443534300098584
"ACHX_Oxs_1 (GE) - TPM",-1.24661885404734,-1.38430186053382,-1.34203247472631,-0.554060371322661,-0.464222538270426,-0.757404027700147,-0.518738965984742,-0.646922578840236,-0.837260835833727,-0.414293051643149,-1.59779559250827,-0.778860464006896,-0.902831328016159,-1.01803812257601,-1.12323644509741,-1.36540235786164,-1.35110798804124,-1.13218366513377,-1.53846090312562,0.84289747676313,0.401096735124137,1.11327853700647,-0.760248265125824,-0.825811064279272,-1.5649015679735,-0.0524369350019729,0.297271413446005,-0.447716468889965,-0.878791633237254,-1.35691319076921,-1.31902895972729,-1.2141830497302,-1.15519939097378,-0.809053409272042,-0.997238305947911,-0.662957311733403,-0.550773654564047,0.0967634131558874,-0.00481447967295707,-0.884172349441995,0.0413129313390156,0.0772793968181388,-1.10225244235409,-0.575006702210265,-0.531175733587443
"ACHX_Oxs_2 (GE) - TPM",-1.36086941323512,-1.53168638234003,-1.18287377455878,0.264083796893871,-0.653729118854655,-0.927187971998081,-0.772064487159317,-0.210601192467586,-1.52305027445459,-0.457389122850459,-1.72895547347027,-0.787400725462849,-0.863021988096327,-1.04661268769878,-1.25994287844448,-1.84206963767977,-0.715972962682007,-0.719705203945576,-1.09846562217108,0.673287579496249,0.119372941100405,0.056854016770082,-0.142412088346186,-0.928690009594582,-1.64826122534793,0.287862644549047,1.48029237373454,-0.954969303909202,-1.05875964352014,-1.44462768686633,-1.47930827420241,-1.11770358053152,-0.852696717951087,-0.978297731590764,-1.41867225120564,-0.885582585664775,-0.716325800742985,-0.148971456749979,-0.594598884309612,-0.634219682472253,-0.342208228686491,-0.685221855981917,-1.19273544946857,-0.69565306978934,-0.401969187949189
"ACHX_Oxs_3 (GE) - TPM",-1.35593563581247,-1.42821964317656,-1.16297592630538,-0.901032696644356,-0.661637501281951,-0.798688958612101,-0.969908066601789,-0.647273575011322,-0.974686565569961,-0.364136972883135,-1.46430218100983,-0.755431330538561,-0.645733775089424,-0.89683613677041,-1.44018030848644,-1.38174722700548,-0.641627604617366,-0.845204231382992,-1.27455365013383,0.0317914448794044,-0.355755805589273,-1.10022228150333,0.299702902245611,0.292979342582847,-1.51417613051819,0.237722358778083,0.149318710379202,-0.870394546032334,-0.356156964554526,-1.32447764754066,-1.51503816092243,-1.28911293158083,-1.08320065868732,-1.36872534538685,-1.23915164512946,-0.366523115142558,-0.577655138072726,-0.193680002354971,-0.130809555793702,-0.64735083118525,-0.37025962552997,-0.292616013963909,-1.17025034636604,-0.803483876341745,-0.437812277932505
"ACHX_Sp_1 (GE) - TPM",0.485521601721628,0.295502314249075,0.571859583583264,0.587664905172579,0.664849762138097,-0.290396035991778,0.761606359622301,0.906958037408614,1.08328364175285,0.757770274882078,0.411659578159096,0.848225053626746,2.01039156443809,1.08758318652351,0.256386378242585,1.86310305277582,1.67694103429792,-0.311160102651056,0.405070118470748,0.899053864014213,1.47268241647026,-1.76888995646429,-0.462425898604825,-1.50030951591541,0.920339840834254,1.69962432555393,0.0616565742646325,2.11142466226754,0.754078101864134,1.4519790861769,1.05713158388003,1.2074113683087,1.27214520209854,1.29505348271149,1.24858523965491,-0.0714116639901978,0.220660117898189,0.687143958651975,0.401341049032728,0.556801942119554,1.16163873540235,-0.341506295849855,1.680930534419,0.0355313892280532,1.14277946702693
"ACHX_Sp_2 (GE) - TPM",0.587228162045452,0.412225608523375,0.550451518670919,0.323043855286487,0.771782385713111,-0.208959480339453,1.27235730449814,1.28974208829479,0.556609990644863,0.754079701017132,0.10272034295994,0.776590320735788,2.04466680499335,1.10514384178243,0.0382397224019887,1.28336946914763,0.935365480964889,-0.0716543600300939,0.872282759009392,0.941338088234696,0.770318015460347,-1.59049327905808,0.210840049196132,-1.1863769402946,1.29417888887361,1.50868914315757,-1.53936411574992,1.97937542583364,-0.480435297330818,1.6962102488924,1.45273952694687,1.14737688673218,2.31834678901794,1.52326084836126,1.96125785634684,-0.438236452802306,0.477961048586653,0.858448661466199,0.609359762872096,0.482187912056093,1.27428451446314,0.309579912225518,1.88635643358369,1.02832044294989,1.55561302662707
"ACHX_Sp_3 (GE) - TPM",0.357181002254045,0.0790621984237165,0.0221501557593046,1.36459832367553,0.452218374309244,-0.153703572892983,0.899737411547801,0.894686537197202,0.895966688132915,0.538698837594502,0.310999389085767,0.869273645760717,1.78934906223322,0.819700432677593,0.356110920220505,0.363180459406963,0.616766242695945,-0.600367829824472,0.846638305678317,0.669697011866222,1.71410209072478,0.124337422441644,1.57964656095245,-0.521671122139138,0.717407311824896,1.97261460447533,-0.298549491503766,1.86167644739361,-1.05875964352014,1.05193933856018,1.20166670303308,0.838711590372248,0.434278043115487,1.07802319192404,1.3082204618343,-0.583979383899153,0.209837570136592,0.237910915841515,0.387692863348013,0.48075626638681,0.568283034626855,-0.393851973949735,1.71215439195988,0.894810602024304,0.82267808713111
"ACHX_Tm_1 (GE) - TPM",0.453137973104018,0.692717144398832,0.474894079773302,-0.949572862794257,-0.0397805755811904,-0.0328338217265501,-0.453989269992643,-0.167777670359838,-0.62731009146633,-0.512156376359033,-0.78694354111773,0.790495103652062,0.272253906138525,-0.207311035315467,-0.47326340174441,0.0313014851345549,0.208359018630523,-0.517056044140682,0.0566948293589298,-0.410064498290852,0.648636120886933,1.51748857016336,2.73667978923129,1.63016437792123,-0.466484674673778,-0.560393046224904,2.03926364007578,0.539431281875552,2.43924826027364,-0.461790344809433,1.27909732519648,1.1220230433692,0.774767539796796,0.926868858059235,0.208226793449118,0.732080196234414,0.164412892843361,0.589084416674378,0.674609821818929,0.951042481493775,0.0354235413107813,0.23868239403871,0.152576996533283,0.760003073306765,-0.290167591865782
"ACHX_Tm_2 (GE) - TPM",0.29649528296057,1.07970879418002,0.61571079036005,-0.986226721481669,-0.547982311816194,0.172203823244067,-0.0398248948152312,-0.406564584912486,-0.579318715070827,-0.0746880623471732,-0.402126969591643,0.973180035562802,0.160209582877289,-0.172286256019593,-0.873292018096186,-0.048277293297256,-0.142854729799556,-0.491813490487897,0.20818644323792,0.163822653483132,1.48659899805802,-0.124064047137243,-0.249412557329338,-1.34993975548643,-0.499528587672253,-0.767881247897206,1.57120226900546,0.261894876708671,0.499325101904638,-0.0315418980503042,1.18519292059003,1.2814414531627,0.966920092750892,1.29612074036143,0.459137253649913,1.43240324545715,0.299418186161957,0.550249944932453,0.786353238509931,1.80051184884486,0.585867388121765,0.872779026228535,0.24599404580577,0.771475470047657,0.0125226199401831
