"","B4U56_RS00010","B4U56_RS12125","B4U56_RS00255","B4U56_RS12140","B4U56_RS00515","B4U56_RS00780","B4U56_RS00845","B4U56_RS01330","B4U56_RS01680","B4U56_RS02055","B4U56_RS03210","B4U56_RS12190","B4U56_RS03415","B4U56_RS03880","B4U56_RS03970","B4U56_RS04035","B4U56_RS04125","B4U56_RS05055","B4U56_RS05070","B4U56_RS05085","B4U56_RS05410","B4U56_RS05455","B4U56_RS05830","B4U56_RS06255","B4U56_RS06275","B4U56_RS06340","B4U56_RS06705","B4U56_RS06875","B4U56_RS06935","B4U56_RS07085","B4U56_RS07960","B4U56_RS08195","B4U56_RS08555","B4U56_RS08660","B4U56_RS08670","B4U56_RS08685","B4U56_RS08690","B4U56_RS08695","B4U56_RS12225","B4U56_RS09115","B4U56_RS09640","B4U56_RS10510","B4U56_RS10710","B4U56_RS10860","B4U56_RS11100"
"SEPI_Li_2 (GE) - TPM",-0.166666666666667,-0.502481485970319,0.13842352123792,-0.391314909740399,-1.07557544027911,-0.715713245896729,0.164211625579453,-0.334048267471162,-1.00260694329366,-0.33590039678788,1.42835283639925,-0.239291187559417,-0.598719936583012,-0.22524082967589,-0.293503561116171,-0.686903186621841,-0.166666666666667,0.974437401105052,-0.166666666666667,-0.324906440408923,-0.457275388510533,-0.128515570103099,-1.08169263075648,-0.223355702255155,-1.00501187736471,0.389186577672707,-1.40228317155706,0.1348056248229,-0.561179956532663,-0.889827215657069,-0.962800618458332,-0.417088318405054,0.545066931249536,-1.70987574905657,-0.604313291519585,1.57950410940859,-0.53217961991977,1.59354552956591,-0.166666666666667,1.48490333838076,0.648137939728342,-0.277418255693204,-0.166666666666667,-0.537705380169073,0.226271668000483
"SEPI_Li_3 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.821593850349588,-0.391314909740399,-1.07557544027911,-0.0888770775249761,-0.0503464850552327,-0.334048267471162,1.71947773839793,-0.33590039678788,-0.284017817047667,-1.36163040359733,2.37428074494354,-0.22524082967589,0.02988595362732,0.822871394930284,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,-0.934226107500727,-1.08810112500431,-1.37432452877337,1.13810346751857,0.973712101580429,-0.850489159934381,-0.924020014669982,0.0713180818393013,-1.39594460771286,-1.04716203884611,-0.641851659898139,0.450358622180757,0.266547628338797,-0.604313291519585,-1.04815936808372,-0.53217961991977,-0.595822082267731,-0.166666666666667,-1.02139286240472,0.912808358057271,-0.277418255693204,-0.166666666666667,-0.370761709804558,0.179047474080373
"SEPI_Mig_1 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.589936821780589,-0.391314909740399,-1.07557544027911,-0.934631719476346,-0.542176846657427,-0.334048267471162,0.964305180824716,-0.33590039678788,0.300559947882935,-0.112742438229741,0.215686631907741,-0.22524082967589,-0.249420214054832,-0.686903186621841,-0.166666666666667,0.0999535856586919,-0.166666666666667,-0.324906440408923,-0.457275388510533,-0.210507976990123,0.714738046218743,-0.485573883757554,0.0795580194333306,-1.30888897880664,0.431040025719038,-1.26112995324374,-0.879297796741387,-0.0526785148308902,-0.568525413771544,-0.424905552994531,-0.356258043655573,0.1547199056146,-0.604313291519585,0.215952466222844,1.29313348797509,-0.379142022682325,-0.166666666666667,0.671996458598825,0.938284676835353,-0.277418255693204,-0.166666666666667,0.871215348506468,0.19084361592927
"SEPI_Mig_2 (GE) - TPM",-0.166666666666667,-0.10869755063141,0.126540512316763,-0.391314909740399,0.437233461587119,-0.925788038400447,0.254880772510618,1.47422118955263,0.175225453569936,-0.33590039678788,0.300476829749238,-0.389844788644384,-0.678919811008255,-0.22524082967589,-1.43188714778691,-0.686903186621841,-0.166666666666667,0.801765339054144,-0.166666666666667,-0.324906440408923,0.135645636178485,0.0857587785165696,-0.822771235436088,-0.588952800769663,1.4162430460291,-0.861035449348781,0.926769811590579,-0.53919823871997,0.106327837894475,0.577820324580508,-0.986581238076429,-0.641851659898139,-0.830432679752551,-0.935436595763416,-0.604313291519585,0.605099341853901,-0.26051750080237,-0.541183308827758,-0.166666666666667,0.058726479460115,-0.790125414198385,-0.277418255693204,-0.166666666666667,0.365445503482085,0.579491708442419
"SEPI_Mig_3 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.74776968706241,-0.391314909740399,-0.335173831773278,-1.3254510723787,0.969098479603061,-0.334048267471162,1.41385405918803,-0.33590039678788,-0.687075125173683,0.241870780144154,-0.445574490805152,-0.22524082967589,-0.194147346043969,0.287047913204293,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.203360489245825,-0.0276969190831042,-0.730948539661872,-1.05569538038478,0.607925025015866,0.261707737763193,0.696059079706795,-0.77737948607005,1.18373391102829,-0.560637693499375,-0.685477891730073,-0.365307237713095,-0.198948572301219,-0.0159885963659181,-0.604313291519585,-0.486137713302736,-0.53217961991977,-0.817893514605093,-0.166666666666667,-0.790115523117317,-0.959602008924421,-0.277418255693204,-0.166666666666667,0.62886850040431,0.539277777383814
"SEPI_Nd_1 (GE) - TPM",-0.166666666666667,-0.502481485970319,0.522052353171131,-0.391314909740399,-0.654457472221478,2.12127393807385,-0.749570747582057,-0.334048267471162,-0.961499515829051,-0.33590039678788,0.294912419439597,3.18563386578785,-0.0865383772915087,1.28513093980286,-0.26643125584257,-0.686903186621841,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,-1.26882417186508,2.45603211050922,-0.0856021037255014,-1.00501187736471,-1.25593233442068,-1.09737513609988,0.538887656465355,-0.183303531542869,0.703638686448385,0.91866203618987,1.87478955429441,-0.968762154162492,-1.53048342852428,-0.604313291519585,1.7277871529554,3.7026584835123,0.0419884614746464,-0.166666666666667,1.08330366180212,-1.1851684429453,-0.277418255693204,-0.166666666666667,-0.825197438700018,-0.792365699674246
"SEPI_Nd_2 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.821593850349588,-0.391314909740399,-0.473899911628496,0.364441937304977,0.862192209441153,-0.334048267471162,0.547723987077579,-0.33590039678788,-0.696014005418255,0.313032456095532,-0.314136014976359,-0.22524082967589,-2.03615783178415,-0.686903186621841,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,-0.216390553725276,0.991465123621671,0.236788519499433,-0.256024800462067,0.0598187076128417,-0.912259420711242,1.14626041919006,0.62052650043952,0.594145338051624,0.171415610799593,-0.641851659898139,-0.160448499528583,-0.64944536274623,-0.604313291519585,-1.03092747309108,-0.53217961991977,0.300655529288064,-0.166666666666667,-1.02139286240472,-1.1851684429453,-0.277418255693204,-0.166666666666667,-0.361113334113792,-0.537744810423734
"SEPI_Nd_3 (GE) - TPM",-0.166666666666667,-0.076025664095285,0.578588225086192,-0.391314909740399,1.0308427364924,0.369069362871945,0.504791455957175,2.60340156717574,-1.06569768197936,-0.33590039678788,1.64506536060757,0.0423370537477084,-0.661955124038838,-0.22524082967589,-0.95321573006343,-0.0711567904042391,-0.166666666666667,0.598988285906376,-0.166666666666667,-0.324906440408923,-0.457275388510533,0.402840954131598,-0.494122061812738,0.237212230089599,-0.713662522734632,-0.850202938586073,-0.476651449071015,-0.820770571849889,2.21700205343268,1.26097918275946,1.00893785133191,-0.117345147618696,0.306956966504001,1.68086461170949,0.487310316318868,0.916811435031697,-0.53217961991977,0.319035836867043,-0.166666666666667,-0.0466129968324315,-0.899955522078938,1.39839504402307,-0.166666666666667,-0.666585145083475,-0.693320423608121
"SEPI_Ns_1 (GE) - TPM",-0.166666666666667,0.102687784429881,-0.689130396693549,1.13529543522079,0.294450710334427,0.114681828032013,-0.726370758855249,-0.334048267471162,-0.688496972989286,0.196897609842646,1.05081391530918,-0.747111714568217,0.609205621239345,-0.22524082967589,0.203492402496383,1.06066726949337,-0.166666666666667,-0.715745912042899,-0.166666666666667,3.57401862691201,-0.457275388510533,-0.71208232945635,0.153359108903005,-0.00855004413853187,-0.798289788781381,-0.62710083196213,-1.57127061933516,1.18270839301162,-0.952274030327112,-0.604675520804908,1.76571161949111,-0.0215935400543507,0.644302870672633,-0.342064291547631,-0.604313291519585,-0.889238663156215,0.0940580904805588,-0.928462119336538,-0.166666666666667,0.0852292826496025,0.686736335308998,-0.277418255693204,-0.166666666666667,-0.321344852891408,0.0509454394024376
"SEPI_Ns_2 (GE) - TPM",5.83333333333333,-0.244212860027558,0.224239742799083,-0.391314909740399,-0.366863592183892,0.0407046378738328,1.1127438384509,-0.334048267471162,-0.514721881220452,-0.33590039678788,-1.52198341978892,0.608368150577671,-0.011710703540359,-0.22524082967589,0.361892479860766,-0.31399709057848,-0.166666666666667,-0.715745912042899,-0.166666666666667,0.784392031196877,2.26485264353312,1.58239034388883,0.391788681094171,0.143855754672929,-0.0345592182883351,-0.853562171544478,-1.24465230892028,-0.697271132515005,-0.226073106564978,-0.220899358241353,2.76421772511281,-0.588910038547795,0.387451662833954,-0.825719240959342,-0.273760729124799,-0.876760923665967,-0.175832922883978,-0.807449992578733,5.83333333333333,-0.549118748700538,-0.537432393131476,-0.277418255693204,-0.166666666666667,-0.492760729219825,1.18708783265361
"SEPI_Ns_3 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.333174293976091,-0.391314909740399,-0.208135221541577,0.699639683679923,0.753259944984197,-0.334048267471162,-1.12836973883505,-0.33590039678788,-0.681414173487578,-0.869500693034336,-0.30407388690637,-0.22524082967589,1.8684661757066,-0.686903186621841,-0.166666666666667,0.717420141277081,5.83333333333333,-0.324906440408923,-0.177292527219412,0.932750712184423,0.913341201186775,0.10911501561584,1.91685510354654,0.0544181394242572,-1.21100518447731,-0.614223084024125,-0.424336491627208,-0.857071954283042,2.36429215584035,0.42542302876217,0.299167239666913,-0.392606805231178,-0.128330267508978,-0.771373553543058,-0.53217961991977,-0.474579892430414,-0.166666666666667,0.848762861621333,0.804623751989995,-0.277418255693204,-0.166666666666667,-0.165041692141401,-0.144561782037651
"SEPI_Oss_1 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.821593850349588,-0.391314909740399,1.83405108984781,0.657939258633662,0.488594886077358,-0.334048267471162,-0.607776644239313,-0.33590039678788,-0.127154327910596,-0.921253654236902,-0.883389826639643,-0.22524082967589,0.291317774242296,0.163636401852807,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.0137938331198595,-0.373460524798215,-0.662946031880746,-1.25065566668133,-1.00501187736471,0.891077256803372,-0.167203309506284,-0.568756245709358,-0.300244500613383,-1.40043559409106,-0.745861876701649,-0.641851659898139,0.782879313471769,-0.251300638595627,0.14962461240434,-0.6024144525566,-0.53217961991977,-0.0127979556833359,-0.166666666666667,-0.482801734071779,-0.00326198693882754,-0.277418255693204,-0.166666666666667,-0.170018561675942,-0.450333944093834
"SEPI_Oss_2 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.32151020426844,-0.391314909740399,-0.0724818181975856,-0.571429754487587,0.0302347732252107,3.86246488323454,0.496740380293479,-0.33590039678788,1.72387065227119,-1.02208007138936,-0.646129525609121,-0.000386334728184611,0.439145428307417,1.95210819575538,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,2.24034114890675,-0.125419292134423,0.64017142377052,1.1801896420373,-0.277450512219027,-0.0736494015229692,0.400171988572603,-0.866441594977694,-0.719999195386656,-0.718876440129738,1.13779026599911,0.150374584112076,1.25487428392575,-0.604313291519585,-0.471365944374938,-0.53217961991977,-0.955786104111603,-0.166666666666667,0.0230530232695025,-0.803172630167134,-0.277418255693204,-0.166666666666667,-0.486574638364739,-0.792365699674246
"SEPI_Oss_3 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.821593850349588,-0.391314909740399,-1.07557544027911,-2.01233019116233,-2.12684485906003,-0.334048267471162,-1.82964158736592,-0.33590039678788,-0.687349839245155,1.76115912361558,0.458802096277686,-0.22524082967589,0.620948420558084,-0.686903186621841,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,0.178681186108168,1.71297047732744,-1.37432452877337,-1.00501187736471,-0.464178009067735,1.11884564123451,2.2004730290393,-1.50680213604553,0.870033126040664,-0.861571440357073,-0.641851659898139,-0.145295513249484,-0.911373966200903,-0.604313291519585,1.23357710123792,-0.53217961991977,2.74822875703619,-0.166666666666667,-1.02139286240472,-1.1851684429453,-0.277418255693204,-0.166666666666667,-0.778313286752481,-0.792365699674246
"SEPI_Oxs_1 (GE) - TPM",-0.166666666666667,-0.502481485970319,0.0303121902184959,-0.391314909740399,-0.00757721327092678,1.05593597676763,-0.346439807231864,-0.334048267471162,0.555530230226568,3.94729835497608,-0.736557233080167,0.0851478463779727,-0.125553543616408,-0.22524082967589,1.1925529970488,-0.686903186621841,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,0.0544217845219261,0.497396405278023,1.17905972465632,1.15539660119017,-0.139166907605653,0.368715440673116,-0.413804583048685,-0.40544145468366,0.0949918009088345,-0.529856935894561,-0.641851659898139,-0.387373282192776,0.0636015086787694,-0.604313291519585,0.829899780636007,-0.53217961991977,0.692475106471225,-0.166666666666667,0.980254235585296,-0.0463730632937082,-0.277418255693204,-0.166666666666667,-0.204078321627185,-0.00143166721118353
"SEPI_Oxs_2 (GE) - TPM",-0.166666666666667,-0.502481485970319,4.15430660831747,-0.391314909740399,-1.07557544027911,-1.38350756846839,-0.201587244935297,-0.334048267471162,-1.60402932869889,2.82423619171246,-0.749335320344773,-1.31095549960511,-0.883389826639643,-0.22524082967589,-0.0860979829657882,-0.686903186621841,5.83333333333333,2.9728645012287,-0.166666666666667,-0.324906440408923,1.34423898541256,-0.0245348246935592,-0.918249923966996,-0.871955872736746,-0.596307872666579,0.320202797564024,-0.141113662246146,2.52772325050157,-1.50680213604553,-0.719368297520838,-0.798558842599276,-0.641851659898139,0.0940728613868125,-0.582180403611077,2.45833938165731,0.223878794635206,-0.53217961991977,2.56401615548079,-0.166666666666667,-1.02139286240472,1.21540655739066,-0.277418255693204,-0.166666666666667,-0.246217200347011,0.874919309598546
"SEPI_Oxs_3 (GE) - TPM",-0.166666666666667,2.64322956437709,-0.649455338548378,3.57639731659269,0.43504347230298,-0.669034940665752,1.79263622077203,-0.334048267471162,0.839644725027306,-0.33590039678788,-0.844840350480396,0.136723797293285,-0.883389826639643,-0.22524082967589,0.242043086515644,-0.686903186621841,-0.166666666666667,0.496505652153927,-0.166666666666667,-0.324906440408923,4.27922616082754,-0.63969765363688,-0.525911735357236,-1.37432452877337,-0.467734135531746,1.8492979030869,0.161481509335793,-1.78533854645819,-1.3372447930533,-0.195970567891175,-0.681519119666982,-0.641851659898139,0.217701294263027,-0.293119694867032,-0.604313291519585,-1.00258729020136,-0.53217961991977,-0.619563840468597,-0.166666666666667,-0.302355710814594,-0.396226138693672,-0.277418255693204,-0.166666666666667,-0.0590540055520662,-0.518391406713468
"SEPI_Sp_1 (GE) - TPM",-0.166666666666667,0.870622594763533,-0.460928923623017,-0.391314909740399,-0.924858700788554,-0.514885327784188,0.666517106631775,-0.334048267471162,0.914921011295161,-0.33590039678788,0.162783875397284,-0.928646374790397,-0.241711156928935,-0.22524082967589,-0.388046799830403,-0.686903186621841,-0.166666666666667,1.61250648851914,-0.166666666666667,-0.324906440408923,-0.0437784395996045,-0.12643007099678,-0.752536533238692,1.5660137174872,0.30831098994766,0.395001951643442,1.03181199462248,1.02555035588239,1.15762429150007,-0.817556820782313,1.38416936929077,-0.641851659898139,1.5747139648371,0.200978159643199,0.0986494793394622,-0.00280904475371208,0.0361833801470633,-0.667402950286659,-0.166666666666667,-0.519216874199489,1.29432161019235,-0.277418255693204,-0.166666666666667,-0.327283602897207,-0.409678070890142
"SEPI_Sp_2 (GE) - TPM",-0.166666666666667,-0.502481485970319,0.334008907266322,1.82836037065374,-1.07557544027911,2.32316461355309,-0.9600463530133,-0.334048267471162,-0.460791530746549,-0.33590039678788,-0.385531746337053,2.38920407942132,-0.198057832342003,-0.22524082967589,-1.18021277084014,1.21880852167003,-0.166666666666667,1.31878029072275,-0.166666666666667,-0.324906440408923,-0.457275388510533,0.737319937404451,-0.720740122942976,-1.37432452877337,-1.00501187736471,1.16898015619786,0.915892993469028,0.373111782469063,0.485178794529206,0.682291911043077,0.653862355388687,-0.641851659898139,0.631293460062744,0.385721576454766,-0.604313291519585,0.391755153373569,-0.53217961991977,-0.147909362399928,-0.166666666666667,-0.418011530783179,0.580277870146301,-0.277418255693204,-0.166666666666667,1.86500384992431,-0.792365699674246
