"","B4U56_RS00055","B4U56_RS00075","B4U56_RS00100","B4U56_RS00105","B4U56_RS00220","B4U56_RS00285","B4U56_RS00295","B4U56_RS00980","B4U56_RS01050","B4U56_RS01055","B4U56_RS01300","B4U56_RS01305","B4U56_RS01345","B4U56_RS01390","B4U56_RS02050","B4U56_RS02165","B4U56_RS02580","B4U56_RS02855","B4U56_RS03475","B4U56_RS03520","B4U56_RS03715","B4U56_RS03720","B4U56_RS03840","B4U56_RS04025","B4U56_RS04030","B4U56_RS04420","B4U56_RS04690","B4U56_RS04895","B4U56_RS04960","B4U56_RS05090","B4U56_RS05095","B4U56_RS05155","B4U56_RS05400","B4U56_RS05420","B4U56_RS05540","B4U56_RS05545","B4U56_RS05850","B4U56_RS05855","B4U56_RS06105","B4U56_RS06115","B4U56_RS06120","B4U56_RS06125","B4U56_RS06330","B4U56_RS07145","B4U56_RS07245","B4U56_RS07385","B4U56_RS07430","B4U56_RS07520","B4U56_RS07845","B4U56_RS07850","B4U56_RS07920","B4U56_RS08175","B4U56_RS08615","B4U56_RS09185","B4U56_RS09265","B4U56_RS09360","B4U56_RS09365","B4U56_RS09425","B4U56_RS09615","B4U56_RS10015","B4U56_RS10290","B4U56_RS10295","B4U56_RS10470","B4U56_RS10625","B4U56_RS10975","B4U56_RS11360"
"SEPI_Li_2 (GE) - TPM",2.68878626280107,3.26866668167307,4.10316011485251,3.03996489424687,2.84837324913597,3.26549292771383,3.36011413295662,2.26845949996461,2.64699950551468,1.11431015785396,1.5025340428332,1.35676196327001,2.85061723385405,2.36044286459422,0.30599993817314,0.740195766710583,1.16779925498976,1.91323781534157,2.41637710162288,2.0284484026707,2.60834102944002,2.23360002744944,2.87088445978996,3.02202210955204,1.85973164371946,2.85030430029909,2.27728777942588,3.05981969338222,1.28187562876269,2.11110874839926,2.05248289604214,3.1652324710696,2.19767225184465,2.20455748885051,3.31932834518858,2.59795547571128,3.96819110819359,3.29999373601566,2.79686485244662,2.78164634085842,3.25894942559755,1.53498862537606,1.76299507932369,2.70265465767325,3.5471862032138,3.08442656392265,2.94242627656305,2.99317371181423,1.07700496819298,3.9376754425122,2.8978628794611,1.63735819165865,3.85658820684815,3.10185792740659,1.28216705840214,2.95229924168391,1.25837654871959,2.29844816255599,1.80529822464637,2.82296268367261,2.74874842908402,3.90061011378257,1.60330292191504,-0.181016659349082,1.97923050248641,2.10246643844273
"SEPI_Li_3 (GE) - TPM",1.11840418359364,2.39669028914888,0.245500103810557,1.43957949340408,2.02185157566654,3.79831539886547,3.09662713095126,1.90542539930548,1.83152391307541,1.13814548429891,1.59129474162537,2.31858617566061,2.95043054114938,2.68309722702247,0.759488343406599,2.09959266787228,2.62045214364701,1.8887636810804,1.48517497194658,1.46491931046534,3.4013844437728,2.87874634333278,1.59528693426908,2.63526595619175,3.96087402929878,2.12450736548547,2.43871041722149,2.01510754277315,4.31074443787469,2.37955411105167,1.03593494692066,2.51641374762782,1.80793193707832,2.03185234908545,1.81593021938502,1.51095644541668,1.9507979486351,1.54533341975208,0.996620740037869,0.970089964197793,1.55300535780241,2.38713200192427,1.5288722690651,2.36202666698831,1.46453862089544,2.68648841938244,2.60240922384065,1.80657137613396,1.28058512472021,1.54692030165316,1.76929348698519,1.9919039825335,0.968822500210061,1.78652637298042,1.80209003384694,1.72355891013458,1.29503057509718,1.66990106169141,1.70217709530107,1.13489389808032,-0.0407409004928191,1.51197754777055,1.43932312536216,5.8110148207899,0.750978139671363,1.84877111460136
"SEPI_Mig_1 (GE) - TPM",0.346614051176193,-0.136314744638705,0.111207234995539,1.15845366082369,-0.270523323081837,-0.4466927015261,-0.328265391606477,-1.38413997525234,0.103471040560256,-1.29652242333873,0.117673090923194,-0.486980770702992,-0.426176243488266,-0.374563010852362,-0.84190388883,1.14997609080008,-1.10555044995465,0.517988477285741,1.28955092804234,0.492755682967461,-0.274253825041287,-0.605483706260469,-0.334171921980904,0.239061918433867,0.297188779999893,-1.26164136549479,0.232088954389355,0.765746918100764,0.141970145964631,0.939616112457673,0.938146434477176,-0.727469105186769,-0.0215529630774582,0.380092888086035,0.573580432501683,0.617815680509461,0.314707810371228,0.570582637818509,1.29201801092431,0.892852658018508,0.580037459758773,0.501539983767994,-0.656224921537683,0.7569326170741,-0.425464508622552,-0.747309346716126,0.483107506028788,-0.815448358282175,0.0894181822281287,-0.175127947283886,1.08511768789089,0.753371269003534,-0.659625450200787,0.696227086286788,-0.261687320833071,-0.0589566191235581,1.97175246335382,-1.03537232538193,-1.29535345845039,1.18514127817951,-0.290584185523996,-0.199346751448668,1.52838227564116,-0.181016659349082,0.86658292618176,0.492244120705929
"SEPI_Mig_2 (GE) - TPM",0.111769950227796,-0.494202263407695,1.48976380514862,0.87980992395244,0.436700098974224,-0.352490953924803,-0.352552819359787,-1.1413195408172,-0.116283615058043,-1.25418967734018,-0.00997314047629977,-0.550546292559308,-0.576737877443025,-0.719910243546524,-0.73087932980648,1.30420935440067,-0.298018737338686,-0.339131905233988,1.33431505799503,0.941165416014963,-0.400276877665912,-0.601338585200372,-0.281607797829666,0.413602053745427,-0.0385756299734069,-1.47810862792458,0.366288461527588,0.451655644012685,-0.485677347434584,0.00355414361078137,0.284164283865743,-0.793172546854973,-0.162323243290969,0.791717198881695,0.769399662152174,0.53520487709267,0.196520069879903,0.892812055605147,1.08110079027767,0.715799757210085,0.843138085606037,-0.0772213278222223,-0.148373302465905,0.688501553789519,-0.201464111102855,-0.827796795056893,0.659169748970218,-0.444755795883989,-0.306491690604923,-0.252390506855923,0.745627660282046,0.394013766882579,-0.589180214189063,0.772009356653961,-0.573198268945233,0.0342578875926535,2.27881995697616,-1.1219760679571,0.326861957521994,1.28198525463862,-0.23427312372878,-0.110189343183779,1.09053903774513,-0.181016659349082,1.29115982218717,0.0209713373245937
"SEPI_Mig_3 (GE) - TPM",0.754964672883708,0.157601301295342,-0.145392571560607,0.873677302772301,-0.0654732256712524,-0.528867690978246,-0.365877918362772,-1.16972579829046,0.228196297882603,-1.30101570968207,-0.0251573688688013,-0.530543732710482,0.1311723609698,-0.0486370108273181,-0.751480948745379,2.05084016477927,-0.733589821725236,-0.137703779191031,1.23081646529673,0.28083251225825,-0.359586642619932,-0.458998230609844,-0.424784829747533,0.191941803762449,0.831708030725809,-1.26885373061459,0.405067752494892,1.05949411792163,0.200432449439616,0.872464989556923,0.920129988710814,-0.84622981229907,-0.136589460555725,0.545395268241522,0.724952128946283,1.21831066373053,0.0222185816931239,0.673513946611827,2.02250102182919,1.46223080917146,0.989909550187424,0.0704624379975165,-0.579227929893642,0.985645535350194,-0.336133944722909,-0.830480108116157,0.676772180781373,-0.646559876943012,-0.148853971215526,-0.128087169231761,1.1036689541306,1.229457922902,-0.433434282315535,0.87697502009921,-0.403413012739833,-0.0796888130242686,2.30733122626415,-1.08047749266898,-0.85825387770157,2.00316379373998,1.02855238482035,-0.0311990587433273,2.27827978567575,-0.181016659349082,0.387766777850009,0.292172688047882
"SEPI_Nd_1 (GE) - TPM",-0.662377726275758,-0.661333968813575,1.06958199102495,-0.22972676890075,-0.720474549770352,0.118582683772876,-0.143516145658065,-0.0901351319238848,0.8736755020522,-0.0077470049641999,-0.346416115103026,-0.294046105562211,-0.564107408570175,-0.323475758416585,0.27143754560157,0.286607681443086,-1.1251505813253,0.255961354828875,-0.790321338458575,0.211649093549476,-0.411352060984393,-0.0856651152344196,0.975288983335025,0.703286517052204,1.02307281998759,0.297275555980167,-1.00107540402969,-0.0638375516358787,-0.986289049377062,0.290454972820528,-0.389877978235847,-1.00190082307515,-0.261368850017088,1.4996674080661,1.66129316452234,0.522392628956119,-0.0150107572410377,0.595007798335494,0.0892372743541457,-0.149412399106767,1.45851070151413,1.47038266341618,-0.123776608129242,-0.358400723196278,-0.418031258223055,-0.839565919768036,0.535950875918741,-0.779140167371598,-0.487249945208669,0.529828423658797,-0.284513494755782,-0.449634956937097,0.821169161485511,-1.03003526218449,-1.20724188615375,0.0821414285964237,-0.522652792955584,0.468460128473748,-0.868040892263434,0.233037980819433,-1.54451288806679,0.0412385437163677,-1.00564121499043,-0.181016659349082,0.336310985291217,-0.230663232911732
"SEPI_Nd_2 (GE) - TPM",-0.344969723231077,0.313587309330615,0.214099318699263,0.159955435064177,-0.186639197869022,0.623977987890165,-0.159238619129651,-0.919041214077983,0.36873517445932,0.0887758496483295,0.0196202584954281,0.661572145516629,0.288157331088809,-0.585002051314539,0.0526121652090162,1.13526538123327,-0.348443612609616,0.389950473184488,-0.0900285514510497,0.732513989730089,-0.34058957154247,-0.188594033401442,0.672153339292602,0.292418040532903,0.313917207088433,0.256880148067191,-1.05479568985513,0.470482150172363,-0.100019864489924,2.00420310072091,0.0461914471941546,-0.586628814779887,-0.425422953773539,0.308079969898815,0.824942994594126,1.18968226907752,0.135953952099782,0.56531060185691,-0.425288533310393,-0.0526869652341461,0.489858541353244,0.571386322189038,-0.243756688311859,0.816933240923581,-0.527203121618921,-0.420782425230911,0.962288831080556,-0.208188049280339,0.608382534841476,-0.00842752601146735,-0.0597329821699477,0.818376509199587,0.765648991003105,-0.965000793089112,-0.532756518390356,-0.364366599209395,0.800210495654165,-0.265761579995967,-1.15916943707475,-0.11376784910802,0.55769944408439,0.1547282749269,-0.0721776519078789,-0.181016659349082,0.182431651830717,0.682186926087127
"SEPI_Nd_3 (GE) - TPM",-0.601657620882101,-0.416975682021942,0.189642361747585,0.0976062644198291,-0.286585450768143,0.438597208250905,-0.131492162447081,-0.425832613143838,1.07836630300101,-0.16240981433185,-0.163565884041244,0.146066967378659,0.0608645857760464,0.182856279526886,0.503226896338377,1.16505079724338,-0.950522152435015,0.152687699831232,0.361678774345884,0.187841177721191,-0.130116998153691,-0.422018571716067,0.731622164874454,0.246058050699447,-0.0629693845827344,1.00030247698261,-1.0129499149353,-0.0513372220449329,-0.340151436614098,1.30298378758978,0.457493960387072,-0.534638434938793,-0.516208785290048,0.212463165407444,0.666235798140035,0.532734668282608,0.516590866473375,0.460391270487476,-0.195447910231619,0.451664986297961,-0.130012405542336,2.12257504111659,-0.356834367887787,0.303105932008084,-0.535352857535236,-0.42687799937788,0.352464503008961,-0.788372647955091,0.00182086196474087,-0.626534848099404,-0.419807353245554,0.0729999304265691,0.230953146648213,-0.970133879004493,-0.911621336931264,-0.435085965089429,-0.131991892615364,0.100400005517946,-0.532124654866188,0.445999577861505,-0.46478648149633,-0.161000465162873,-0.0854191325650827,-0.181016659349082,-0.36998274998585,0.934335449222127
"SEPI_Ns_1 (GE) - TPM",-0.370587416025391,-0.496025934638901,-0.0180207002952688,-0.543566581238421,0.468036547921922,-0.477826284126203,-0.281614728354346,-0.324424229848032,-0.423195370611897,-0.233863747648109,-0.257266426358415,-0.444720752941648,-0.599831262085699,-0.495193450289858,-0.399140165216418,-1.08847241022737,-0.888177359086615,-0.327019854604178,-1.3012989992439,-1.09256978096113,-0.122712193775291,-0.542632752150022,-0.0953057424060135,-0.0387981756099388,-0.0740664002078274,-0.949705616684546,-0.211593894136557,-0.121701889344426,-0.759351567989025,-0.16277513648013,0.147272188199984,-0.697743247295584,-0.369037374688996,0.142605383921246,-0.460721301062819,-0.171933629563699,-0.426958227601837,-0.677348583751746,-0.976792051272191,-0.991369324217514,-1.12020279623408,-0.426639277643792,0.744401483283318,-0.665352597585145,0.485517301767402,-0.663729176713139,-0.495950059990715,-0.484197941298349,-0.106994996119402,-0.502063956268832,-0.194973819756532,-0.596580821177112,-0.0394771521610685,0.749285464286457,-0.450802018157915,0.240640485611014,-0.662758551207657,-0.243985976456173,0.00388643960599,-0.570305342723869,-0.584370176828115,-0.450102122838833,-1.08200785831736,-0.181016659349082,-1.26183788077183,-0.465407635682796
"SEPI_Ns_2 (GE) - TPM",-0.532587208867485,-0.355647986732599,-0.512418432583478,-0.503560796429622,-0.290424890795536,-0.50589191389835,-0.313879882403436,-0.77527153222013,0.163807109117816,-0.326985847163046,-0.0258785687136127,-0.412178682028261,-1.01861643675492,-0.723636705070703,-0.107602026841351,-0.991767719069262,-0.990445112067611,-0.177269846989429,-0.891815718235492,-1.07787264902996,-0.102486733548909,-0.370264338081284,-0.0754553956735638,-0.0465261429247019,-0.499078915322159,-0.522534474214661,-0.971049277304259,-0.0377799649742994,-0.565942999615129,-0.841399348535168,-0.745538789059571,-0.567621760574007,-0.447355093862238,0.286183963041682,-0.599973712759424,-0.254865299519333,-0.508388051447184,-0.41512098256937,-0.81585451563695,0.0116974186916031,-0.190095847271975,0.153228082809758,0.472737456184647,-0.906924546385235,0.654505791229671,-0.786964898342853,-0.636237777197892,-0.612436876724618,-0.1717149574754,-0.456573151859122,-0.482010397312159,-0.722276980247496,0.339903969763526,0.312130049579927,-0.20863737600329,0.290422598284069,-0.965796199065733,0.0231590025315744,-0.391953598488775,-0.276591635328551,-0.777364547891408,-0.651659768202861,-0.941534850298464,-0.181016659349082,-1.10267613620967,-0.0214943249173697
"SEPI_Ns_3 (GE) - TPM",-0.28223588436076,-0.176536012506863,-0.558638612800563,-0.461592411275172,0.025174789258801,-0.493781762586406,-0.353575572855689,-0.633362011324063,-0.338430826815213,-0.0527928988225921,0.0756507709374163,-0.390059202884003,-1.16873937437789,-0.758838311875697,-0.193342714153491,-1.01982272755552,-0.714083492485347,-0.0769527337798225,-0.669839732714021,-1.14174707156004,0.000619049970894821,-0.498944972819705,-0.107325009273194,-0.108755006941025,-0.251617138573717,-0.341646895642944,-0.239155995173782,0.132817306464495,-0.115198547971234,-0.509487659558881,-0.7768676698199,-0.560862571997422,-0.148671631202935,0.311587620670704,-0.642235417809471,-0.203711935910887,-0.375832092614343,-0.225705761495069,-0.988892733184228,-0.906056475513034,-0.365447750613385,-0.307722920796606,0.574083832570547,-0.58130470422279,1.08856589025272,-0.976753811745868,-0.497669781434288,-0.480649353978487,-0.0330727518976008,-0.581895919605212,-0.494545098831908,-0.17990135970596,-0.0547117478872868,0.532899222275615,-0.129094771706045,0.443529232469456,-0.853866670675251,-0.191883595771448,-0.573434927512695,-0.688837375749959,-0.659567278022268,-0.705355467580542,-0.865443143461967,-0.181016659349082,-1.18241639348916,-0.253725546382522
