"","D7S_RS00840","D7S_RS00850","D7S_RS03550","D7S_RS03555","D7S_RS03560","D7S_RS03565","D7S_RS03570","D7S_RS04470","D7S_RS04475","D7S_RS04690","D7S_RS05840","D7S_RS06015","D7S_RS06860","D7S_RS08350","D7S_RS09915","D7S_RS10285","D7S_RS10510","D7S_RS11390"
"AGGA_Li_2 (GE) - TPM",-0.932244916125277,-1.48717850801344,-0.859436543164717,-1.2887022025223,-1.67896504468114,-1.38065333946743,-1.67354872938441,-0.0395895289634536,-0.78394268527736,-1.43149769221018,0.235422700407681,0.803419428190786,-0.618858797973392,-0.441952082094932,0.861545761766053,1.36147748352655,1.09857508234922,0.389840756665763
"AGGA_Li_3 (GE) - TPM",-0.937291266627598,-1.24597827462159,-1.16242293431774,-1.2471697493811,-1.47894725532629,-1.2466361973729,-1.46175729087756,-0.335748231388736,-0.829522487104936,-1.4400660301952,0.235957691424491,0.528561680669769,-0.872405474709597,-0.411407915278511,0.785011975721927,1.3352380821159,1.80845284915636,0.016136815603785
"AGGA_Mig_1 (GE) - TPM",1.11855461687963,0.595056700665957,0.0238692638773569,0.366973569156967,0.431312517877475,0.270800085871379,0.718568511691375,0.292017170087381,0.685352143962717,1.24342913904711,-1.48200274135484,-0.68548957532921,1.16068570685031,0.36970775201013,-0.653709897052412,-0.487444851681919,-0.455892434528817,0.0026203560665727
"AGGA_Mig_2 (GE) - TPM",1.10735593199174,1.57461555231433,0.435744538006478,0.852015619041693,1.20702543000054,0.809403302293142,1.36825900637155,0.777579870491966,1.00417357526597,0.956083123471514,-1.4469858394626,-0.432849190478028,1.6331458316524,0.81024124930895,-1.01337942582514,-0.380717589960945,-0.913339875261191,0.265465175627237
"AGGA_Mig_3 (GE) - TPM",1.18304614187692,1.22716886363661,-0.0850861426356224,0.480781686486622,0.334787561630144,0.219380194993405,0.140929120940549,-0.119667600766869,0.159869316121301,1.17121754564679,-0.149123001795474,-0.259397811522389,1.14229854694805,0.155102943422226,0.067250864699382,-0.310709373247589,-0.156816478999821,0.0324202261567057
"AGGA_Nd_1 (GE) - TPM",1.10276103987366,1.41606189497533,2.44387471571454,1.76810390175794,0.797722751813626,0.737583358072286,0.584483222947705,1.38196393045972,1.42046394750112,1.24411636424948,0.00563675876104941,-0.682733714269968,1.74174296012118,1.04088605943272,-0.867002321382127,-1.22881256477207,-1.00139953910543,1.44485952669896
"AGGA_Nd_2 (GE) - TPM",1.46859476537106,0.806727944121649,2.98177169582658,2.58966910311809,2.00562999882781,1.31186803494162,2.37608187149728,2.50128760464899,2.03303629007602,2.09409519417958,-1.54148218191285,-1.70617182872337,1.90317800312209,2.21337490814827,-0.743674751862116,-1.7190882855147,-1.17062039765431,1.80043872900893
"AGGA_Nd_3 (GE) - TPM",1.77829297220255,1.77681490221659,1.88324728967517,1.06382814655163,0.707265910068159,0.812421674658925,1.23071792275003,2.68704962011029,1.70481355726311,1.85536428686234,-1.21798925999546,-1.69771772682917,0.971234384446615,2.33223733828431,-1.42755841520002,-1.57979438554427,-1.09472119223652,1.4113538901302
"AGGA_Ns_1 (GE) - TPM",-0.976068200731929,-0.551938914445648,-0.872320162767214,-1.07101407946211,-0.800209051564611,-0.90261976323319,-0.505527538262107,1.14901159178024,1.39802991729873,-1.27795748272747,1.2497658271956,-0.127615098799211,-0.698286423163551,-0.151808624623404,0.782991716580085,-0.374205932716777,0.158145902362898,-1.19085699772206
"AGGA_Ns_2 (GE) - TPM",-0.880521724689866,-1.25542728077568,-0.646391927768424,-0.893678698368952,-0.863148570695098,-0.483357260415115,-0.224298119955727,0.448428574563216,0.17647121152692,-1.15556629779552,1.82721675499391,0.19819181282338,-1.19001314719345,-0.359838963845104,2.34370174729921,1.17554092876728,0.797556717413742,-1.58745999689236
"AGGA_Ns_3 (GE) - TPM",-1.1692566723592,-0.856898648173645,-0.965012720976243,-1.14792892064386,-1.31579198813788,-0.966800687075693,-1.12199672446224,0.085781050248006,-0.318393273837965,-1.08168089808395,2.10436952192935,0.892391089641175,-1.0845223366684,-0.507921836396996,-0.147594646304241,1.03583037075522,1.04310753116369,-1.23035179113749
"AGGA_Oss_1 (GE) - TPM",0.640252728546159,0.0123599286271437,1.05418667674114,0.833727159993765,0.977477728524218,1.09775350820467,0.600356069115842,-0.251242880516464,-0.288752720070712,0.539460195609997,0.622032819229943,0.898187143081081,0.515354922777609,-0.280284552924836,1.09215698670579,0.260955473584921,-0.779556467288038,0.797170497535082
"AGGA_Oss_2 (GE) - TPM",0.390962307128529,-0.284901777694121,-0.00596154890572435,-0.466560841534338,0.174138720845013,0.492924389293117,-0.33112361500388,-0.28578630292109,-0.0602131718788049,-0.126332455511136,0.578155589775528,1.41817572498831,0.437282390476098,-0.409763012110562,0.733417704361447,0.628884995731426,0.158364126979053,-0.145481101041223
"AGGA_Oss_3 (GE) - TPM",0.0551780291757894,-0.274017476662619,0.213635151758437,0.0356424095460326,0.0716932052941456,-0.298012665455116,0.0722572915823169,-0.302649303345655,-0.334891486402501,-0.00407441790972192,1.33471672074765,0.781428934482815,0.980467772518849,-0.659535674703608,0.994410204827675,0.469629860946501,-0.14702838105526,0.0086386485316282
"AGGA_Oxs_1 (GE) - TPM",-0.712073925893592,0.153010114754918,-0.387400957429036,-0.31468467172981,-0.79788938237999,-0.528595154564542,-0.64573218092989,0.00941820758710804,0.0325642950664776,-1.40638618373375,1.19631873136965,-0.129340624222842,-1.7192201967896,-1.08225593207137,1.33395184253981,1.10808436985791,-0.55119605643408,0.213099808606036
"AGGA_Oxs_2 (GE) - TPM",0.167495623172581,0.251443095615366,0.86121711659494,2.13093516134828,1.33439029117413,2.13498791186724,1.09307147668,0.555213300441619,-0.0420080182840506,0.523301157606116,0.539722307511907,0.65822779060085,-0.289253055021307,-0.766685948100519,-0.285061939789753,-0.636678695707122,-1.10979545269307,0.636909692415524
"AGGA_Oxs_3 (GE) - TPM",-0.291165967163438,-0.887957505100457,0.684796922593605,1.33471968281138,1.1360701953679,1.28098632985991,0.542637891166676,-0.165967403022374,-0.741377079495837,-0.0559881970605411,-0.336718803588548,-0.363159870596757,-0.99547493332201,-0.859163000050283,-0.791435547522903,-0.0146734874489184,-0.766871195581823,0.443795375298472
"AGGA_Sp_1 (GE) - TPM",-0.319439591062764,1.03581255989927,-0.465681357108094,-0.119410542707246,0.552552662862917,0.681237762754009,0.203813697778426,-1.17929236357847,-0.823253665370504,0.23798796529353,-0.453195232959346,1.12647390250813,-0.500625307824176,-0.285538066625274,-0.0908796719078197,0.132661722231848,2.00361736011847,-1.09383096156401
"AGGA_Sp_2 (GE) - TPM",-0.205238101372466,0.348370048184251,-0.0477095689701891,-0.141012039794001,0.100642711601977,0.189956048958607,0.293741258404672,-1.0964365025249,-0.929609493763373,0.44220720548092,-0.886638150630654,0.19583342670714,0.48766160439949,-0.133750032164976,-0.372423976563824,0.461439445431686,2.00385108122254,-1.61640821576641
"AGGA_Sp_3 (GE) - TPM",-0.103130441657652,0.885881429732935,-0.00538236277603425,-0.183323018171243,0.336230110337174,-0.481244133917382,0.11510509202663,-1.11669555508382,-1.0016739616094,0.495925776534659,-1.7403052761624,1.19492851845826,-0.1295801838848,0.144426467534366,-0.430763013998084,0.922504365917923,1.38286169673711,-1.1627462191186
