"","CJJ81176_RS00025","CJJ81176_RS00075","CJJ81176_RS00085","CJJ81176_RS00105","CJJ81176_RS00195","CJJ81176_RS08895","CJJ81176_RS00405","CJJ81176_RS00410","CJJ81176_RS00415","CJJ81176_RS00420","CJJ81176_RS00880","CJJ81176_RS01025","CJJ81176_RS01160","CJJ81176_RS01165","CJJ81176_RS01350","CJJ81176_RS01420","CJJ81176_RS01425","CJJ81176_RS01685","CJJ81176_RS01800","CJJ81176_RS01875","CJJ81176_RS01895","CJJ81176_RS02045","CJJ81176_RS02050","CJJ81176_RS02055","CJJ81176_RS02570","CJJ81176_RS02675","CJJ81176_RS02680","CJJ81176_RS02710","CJJ81176_RS03075","CJJ81176_RS03180","CJJ81176_RS03185","CJJ81176_RS03325","CJJ81176_RS03330","CJJ81176_RS03510","CJJ81176_RS03670","CJJ81176_RS03715","CJJ81176_RS04015","CJJ81176_RS04390","CJJ81176_RS04400","CJJ81176_RS04405","CJJ81176_RS04410","CJJ81176_RS04415","CJJ81176_RS05200","CJJ81176_RS05675","CJJ81176_RS05680","CJJ81176_RS05760","CJJ81176_RS05790","CJJ81176_RS05830","CJJ81176_RS05835","CJJ81176_RS06275","CJJ81176_RS06280","CJJ81176_RS07085","CJJ81176_RS07205","CJJ81176_RS07210","CJJ81176_RS07340","CJJ81176_RS07345","CJJ81176_RS07365","CJJ81176_RS07695","CJJ81176_RS07700","CJJ81176_RS07750","CJJ81176_RS07795","CJJ81176_RS07800","CJJ81176_RS08090","CJJ81176_RS08130"
"Campy_Li_2 (GE) - TPM",-0.112416510179465,0.552533822526077,0.0908278679051318,1.52203433080605,-0.417666732461935,-0.254705928542769,-1.18156305660781,-0.486637173190322,-0.330181563596357,1.17272448050839,0.399302072993243,0.437438597645163,-1.05817386987664,-0.27512953336011,-1.59897615580444,1.02140367755757,0.404031348617953,-0.913989041490727,-0.648158888787853,0.609922511217125,0.0248095312505872,-0.477947767947107,-0.659511003387158,-0.122055270466185,-0.594392421092973,2.0543237773768,0.451681618966804,0.242946439445005,-1.40180622537908,0.311079801813318,0.0291748597876162,0.887385475643229,-0.786131064349799,0.440787903027664,1.27332996427939,0.0416356071256378,-0.0719716606809087,-0.459962274028824,-0.802711104605866,-0.605147639120744,-0.140571698337214,-0.448442676401494,-0.297699746860109,-0.626742768303273,-1.21716671264061,-1.84522327829406,0.762435128617762,0.172339478247945,-0.339835103910554,-1.49777447903321,-0.547282673494067,-1.49758985895485,-0.574483814005159,-0.388270445155076,0.942669146035115,-0.12580057788498,-0.719113258011528,0.416450655564917,0.192047148888845,0.595028351155674,-0.39573999831061,1.25230998077715,1.66041382026518,1.06544640000175
"Campy_Li_3 (GE) - TPM",1.4250600410717,0.70443831628771,-0.289334862230201,0.794461944652629,-0.14880740274527,1.60031033241918,-0.836304848019933,-0.190667971449677,0.0233742598002855,0.668805306419468,0.600098127990999,0.449469434535612,-0.322629464297402,0.625114462969819,-0.843736257312813,-0.381865265251186,-0.0771655574191373,-0.572786865207793,-0.500836923176093,-0.377868295347428,0.209912840890621,-0.75112148633784,-0.175825929859049,-0.392859159080924,0.645364154500946,1.50491046296022,0.200317285809811,1.20183151853034,-0.26454572270537,0.888640760427078,0.0961122665376767,0.819109951719928,-0.129544567542402,-0.129697907306752,0.909955540054078,-0.117026028009204,0.525669246959545,-0.236636005414082,-0.639141595457779,-0.461674064472949,0.106649859901799,-0.184859160143095,-0.484542904943668,-1.02526113497505,-0.790710493017495,-0.905334695073451,0.137628152786663,-0.276587877079592,-0.219623561415662,-0.335718313965711,-0.124820603920892,-0.115508560795213,-0.274137876386653,-0.139970508889335,0.70977601804147,0.125463059421943,-0.191995996961442,-0.295669602910974,-0.795190950334319,0.402300364440155,-0.437901094189433,0.52658453668106,1.15535010474538,-0.389586177026592
"Campy_Mig_1 (GE) - TPM",0.375460238605631,-0.3156857798563,-0.204500578747755,-0.370721414746773,-0.45905527442771,0.0872672092662137,-0.256524294989575,-0.187928460171097,-0.171112624887365,-0.704767969177909,-1.54899661260599,-0.632463134649392,-0.46915522107003,-0.636894632288467,0.371604748144374,-0.710162476317419,-0.653791895958023,0.243846945685182,0.0986763522237769,-0.352433352986958,-0.24482274611036,-0.525883043710323,-0.294077313432673,-0.216358298746645,0.213534507536508,0.0236622593617428,0.0229363714506843,-0.577895340840258,0.0610119760280489,-0.652921421729627,-0.337264122519034,-0.281454283420418,-0.202637194941274,-0.668167815826886,-0.375223653950714,-0.0502077779349459,-0.344304608954571,-0.367297199502495,-0.275676526986348,-0.261520848442112,-0.243873344815321,-0.296945096744848,0.0385839784814033,-0.587249028252645,-0.0941074302319044,0.397803725619778,0.0408372685781134,-1.10847343584153,-0.743829427579713,-0.536629601803196,-0.416658202514355,-0.593521672268592,-0.410813352436187,-0.397331877751753,-0.0416311019019068,-0.461784379959668,-0.278605783290477,0.631567348431515,-0.0343480376866457,-0.211049042192961,-0.0894005942089935,0.219475478286048,-0.120506803785303,0.733648463831751
"Campy_Mig_2 (GE) - TPM",-1.07852122361149,-0.0418756231395397,-0.102615062444187,-0.230095210320284,-0.41891877282342,-0.269736986863279,0.290874583452646,-0.102659389850367,-0.456083236833783,-0.503051118875631,-1.37090983889114,-0.55211655248844,-0.409966232783209,-0.84979686705829,-0.107451628034963,0.430704753172351,-0.787044959833927,-1.03898677265207,-0.530721218243031,-0.143956835116897,-0.554156378684141,-0.465223626612916,-0.340213823695059,-0.419898736040506,0.213326574074379,-0.333427873001984,-0.299954640167569,-0.564143272819041,0.0132978833535541,-0.45645349944839,-0.363337950227498,-0.338133169815352,0.225631006559135,-0.545850344743463,-0.484585880327026,-0.443963399943402,-0.0542037914824937,-0.461851521406067,-0.583105213900346,-0.453194031238437,-0.540379444975003,-0.352589067723081,0.0158714047570367,0.0816486204355278,-0.214515549093156,0.57698817803279,0.0333436790793165,-1.09511996735677,-0.815562784847585,-0.619467827896166,-1.33245874504198,-1.10684637198685,-0.320695710133299,-0.414005313944472,-0.446455569744281,-0.411165727071512,0.00123934402337457,0.154614069071252,0.850851528427377,-0.321436860325493,-0.500162644723667,-0.122460347732502,0.281128693265527,0.325855214106036
"Campy_Mig_3 (GE) - TPM",0.239667114847093,-0.683013532199841,0.138314461139306,-0.399993978883155,-0.212257455516008,-1.18154623801156,-0.266856040069129,0.163443584768737,-0.0276161632881784,0.337865007165856,1.35093558610876,0.0985629498577412,-0.00685375979208633,-0.14268136831497,0.597286379856506,-1.34927132994122,-1.57785909031209,0.424324952882268,0.447496622806696,0.394332586442503,0.0270319446288144,0.12196148781701,0.0248402586611437,-0.686566173952699,0.416449215885659,-0.236247926250844,-0.139530482485684,0.0654916292370934,1.17903063382847,-0.262155325859478,-0.257538385773729,-0.171370495662381,-0.0329018240606864,-0.862336517471008,-0.236377863078149,-0.402697689058546,0.14705131888874,0.150781785687932,0.0726064419600655,0.0538143307203814,0.325533024440444,-0.136769395429452,-0.0813320614512707,-0.485161385107968,-0.235360745118336,-0.294147670360109,-0.257626606863928,-0.810892021987204,-0.101797649374463,0.501438974084846,0.0547894066983121,-0.244592053813149,0.108971151497805,-0.0715229381495134,-0.37470230414753,-0.233824186812032,0.0787707757463355,0.303996147950689,-0.434302163639445,0.161892068018384,-0.265675594637341,1.06856161910074,-0.218009230435206,-0.0770040965796655
"Campy_Nd_1 (GE) - TPM",2.19214347454868,2.76123193701362,-1.4486405755165,3.18896307029484,3.20218622517264,2.58414259140661,2.03093141640627,1.60587777060538,2.04362590871403,2.5119919064298,2.23288599833118,2.43391915123515,1.65056189939983,1.54067764756397,2.45418957182945,1.98931124550561,2.23845439319061,2.49403630579739,2.62168115190707,1.69269181999208,2.70405864093272,2.40915924752957,3.39658265990274,3.02461309558931,1.39020010803714,1.71029009939908,2.13875497714373,1.44537824935776,1.23060904959462,2.78740820068246,3.70223076042029,2.94891902522644,2.54673155463899,1.58530899281093,2.17236583902867,2.40169916921041,1.6800060214233,3.33168675394157,3.59684823192257,3.20325589619573,2.1155147919723,3.29907502007036,-1.71545415153857,-1.98538101277837,-2.2086156856458,-1.70362093616028,2.56473458838627,2.00385261908543,2.00740472554327,1.75898615159604,2.3406420195572,2.43352917654931,3.08373350667671,3.35158926895766,2.8955919814117,3.32403557782702,3.22684686808338,2.00132553349419,2.47863386307914,3.41141917573651,2.75791670739829,2.58280575995937,2.02526072087626,-2.1914096264432
"Campy_Nd_2 (GE) - TPM",1.87456624732817,1.46625466331795,-1.54905804031023,2.09831575839983,2.87929152456684,1.62980644992076,2.7594251032164,2.65590272974759,2.24734693607533,1.78307191222284,2.05596900462984,1.85289703185071,1.73580350229746,1.64881366318482,2.16473619406858,2.31264863766144,2.33635848903951,2.09846050887669,2.02170412021297,2.14349491732016,1.79415463984554,2.8908865441331,3.1448298998239,3.03184230334553,1.463610494475,1.0471462641335,1.21551630403115,1.24136405420781,1.96508573561389,2.7907193495364,2.91374480240915,2.46187844944485,2.84751559926199,2.15123471217646,1.8547712070997,2.61496637735576,1.33163747063575,2.72249922471951,2.54466273997597,2.81778098314489,1.88399713922587,3.28612976995905,-1.51123225386859,-1.57542041606183,-2.03889541715035,-1.2110754667382,2.55716709891456,2.4741491713215,1.82819396351839,1.68080031890742,1.76621252346664,1.65362604477621,2.81752967349599,2.91741026391297,2.48154540991267,2.71943170148285,2.31413591452835,1.74781833319419,2.26682150173003,2.31382141180032,2.58008326689313,1.32722688636875,1.85092711021692,-2.02761111338917
"Campy_Nd_3 (GE) - TPM",2.9810601289786,2.64926943282485,-1.80646809809249,2.66966477437452,3.42425055969431,1.74362331855392,2.54668429756961,2.93492493194008,2.86566836738824,3.24079579934356,1.2923021147399,2.97950585955798,1.84710702569579,2.27542656368888,3.1543144638286,2.39615474519301,2.68966574480381,1.55904387192154,3.12811296061326,1.74821004034995,2.76547351018676,2.76025171516338,2.66237213718315,1.42718405555382,2.36919330895764,2.18443364867744,3.06484386027635,1.54835213823955,1.51227156379042,2.93246781361545,2.90842508888763,2.67483778203792,2.31180407345421,2.4539802636228,2.17340822590832,2.1863267238078,2.09897157013037,3.30336135131753,2.78004136213159,3.06951866893563,2.41136302936673,2.5348954453561,-2.24048922485362,-2.16619065258421,-1.96866333786141,-1.66040325192015,3.09550938650297,2.51870799409879,3.18452845861297,1.73779378929552,3.39325194993993,2.85889191180212,3.12796748090858,3.10535959974222,3.13011294077672,3.36221569477315,3.21321993368923,1.68063381130688,1.70733181350256,3.05431022880123,2.91420612789618,2.95074141412232,2.80859904347116,-1.9103455566576
"Campy_Ns_1 (GE) - TPM",-0.902040892978207,0.299411645851494,0.449199700306905,-0.853111970634631,-0.554218696531665,-1.02137000272246,-0.616988430210429,-0.134879165456936,0.134569100214531,-0.818849126042072,-0.364843211861697,-0.80806282658243,-0.189737635314044,-0.138394199290225,-0.117993798425524,0.300705068102095,-0.296086543882334,0.171979732094823,-0.593435942962562,0.726956571813952,-0.995071011941982,-0.7763924086593,-0.453503177858452,0.832707115687856,-0.469473157710087,-0.989781244380702,-0.697261087504731,-0.590692417829259,-0.647946739661998,-0.670580750935685,-0.534605675653803,-0.25057842918548,-0.290956270147945,-0.639679714474496,-0.524420906766646,0.11717475435781,-0.64531028067892,-0.643257354327062,-0.782025054888786,-0.590406854732884,-0.536915060171188,-0.916085352054307,-0.0832802807653441,0.0450915103320602,0.394548312802984,0.481214467430632,-0.36074839859187,-0.164316701201327,-0.710576878259482,-0.446762709322316,0.147758465751258,-0.614285442911769,-0.489973078233627,-0.587096063176782,0.132314709362241,-0.54973715281496,-0.704793496998114,-0.716369267198093,-0.674238997724068,-1.05995190469506,-0.446811551200916,-1.15499349270537,-0.746146671214574,0.501975116363177
"Campy_Ns_2 (GE) - TPM",-0.211370442676596,-0.169825141395039,0.818867286903621,-0.91023764379718,-0.562740545364818,-0.733379308530412,-0.178733777896232,0.0889620806427394,0.108187755956194,-0.47829663633643,-0.479877758327919,-0.958360428741104,-0.80599463775173,-0.651920120058056,-0.775182312361896,0.557144848918203,0.229350664057723,-1.77481497539438,-0.911844361635314,0.634222736153152,-0.833762581740957,-0.763622910949979,-0.604545041773823,-0.42509803446577,-0.720418166224591,-0.719604472727466,-0.745135707988095,-1.0549236903172,-1.01115212849959,-0.306999461904517,-0.545546022909798,-0.000936718516909793,-0.526516359495453,0.141582803435516,-0.0378838337559444,0.47543652752652,-0.547761121498176,-0.612996601056816,-0.761260383352981,-0.647672183299165,-0.482160512139961,-0.855728885703124,0.794190672517914,-0.152728373792687,0.0339185406424127,-0.0542171269857928,-0.416240740695838,-0.0467507747929568,-0.0090557733717939,-0.896212888853596,-0.678199247093462,-0.359037011304597,-0.439922326662032,-0.615010554637108,-0.222218347041193,-0.57924065861277,-1.05592256868119,0.652386313833967,-0.508630576146946,-0.969711995124686,-0.414362289658204,-0.358162889899105,-0.685467627481638,1.00098968939317
"Campy_Ns_3 (GE) - TPM",0.319364359225282,-0.267895276706008,0.125788206398814,-0.45157088199724,-0.298069625675547,-0.178078878966527,-0.602970039825829,0.0634758495409258,-0.216044905245707,0.0130442516954305,0.900278073599628,-0.35643628906962,-0.160850564187481,0.544243402458982,-0.20555049333377,-0.311986484722856,-0.501937257256195,-1.576783295198,-0.12895031370593,0.0534530189873598,-0.4920823486877,-0.619816446245155,-0.305604782531519,-0.789412294431178,-0.137544285316576,-0.755251067682441,-0.37984050245896,-0.317617357636093,0.265703129320628,-0.0518418450699618,-0.422615806833932,-0.145441144973541,-0.166130403313256,-0.36999200846266,0.330887658568939,0.293746819092135,-0.243881446656891,-0.382347754411425,-0.554107017555216,-0.218689396190445,0.0345501135522564,-0.619193656322417,0.0768880897993804,-0.739643892947995,-0.598816494499447,-0.793699958211947,-0.562219281191216,0.415005305882794,0.454670025426493,-0.0344504206124865,-0.438979206839854,0.12329885398401,-0.282846351416572,-0.316176345539621,-0.403267667782165,-0.389244403330054,-0.494683836885764,-0.0140365489499867,-0.404279139715778,-0.240135842725847,-0.240526778104316,-0.26594626615367,-0.192168489960396,-0.206424163652361
