"","YPK_0672","YPK_0673","YPK_0788","YPK_2055","YPK_2181","YPK_2487","YPK_2749","YPK_2750","YPK_2751","YPK_2881","YPK_3460","YPK_3461","YPK_3462","YPK_3885","YPK_3886","YPK_3887","YPK_3889","YPK_3890","YPK_3891","YPK_3892","YPK_3893","YPK_4149"
"YPSTB_Ns_1..GE....TPM",-0.188781154577611,0.020440804659401,-0.477010992313526,0.317901050162264,-1.18299871351217,0.107678640032786,-0.353442228085172,-0.129942039602447,0.451634126109089,-1.83643018533605,0.104803243765623,-0.468895501370373,-0.426114532884244,0.653223680530123,0.731649319375851,0.263462415588498,0.126640264845646,1.20882544825193,0.977395524740884,-0.111314216838896,0.297067892792883,-0.679925544026898
"YPSTB_Ns_2..GE....TPM",0.0138021031206867,0.399273888647638,-0.20994951837968,0.502461382525694,-0.637569268869402,0.348044202244886,-0.0738558316341256,0.231788476845088,1.08459275869504,-1.92415732031869,0.427570904199437,-0.0894203186780854,-0.165412525295447,1.40769557153552,2.04696539128425,1.21190371007744,0.729331111460872,1.64702877026066,1.11099766132749,0.248901656975087,0.848454199981844,-0.499028570584043
"YPSTB_Ns_3..GE....TPM",0.0759659178240777,0.659807255722442,-0.033506756201311,0.597145244167063,-0.326713550500684,0.446724490710292,-0.113392001470329,0.467938460455459,1.16741870408854,-1.97080712842597,0.478339963816057,0.102346998571827,0.0313644183244933,1.79719966840981,1.96604892039348,1.50195216840146,1.00041083720666,1.8405695729489,1.43351065793253,0.529833006676873,0.906785212154886,-0.924702738308824
"YPSTB_Oss_1..GE....TPM",-0.160701209140723,-0.320295661556528,1.4787009227129,-0.226676990449083,0.477024471766159,-0.110455919495192,-0.224218347650351,-0.11045520991925,-0.429436974319211,-0.571590042976952,-0.421555706091587,-0.162163454686297,0.0862664996166207,0.3525294997999,0.00876065903693649,0.372257729247036,0.173208039914773,1.2238699793541,0.460931833181072,0.509502323427134,0.630203424155162,2.25882258297224
"YPSTB_Oss_2..GE....TPM",0.04178892060206,0.0918073304072272,1.87845719862048,-0.137240556965309,0.530793356295846,0.0742983287791295,0.100375521825613,0.165086053549203,0.0331058229488548,-0.353224198024844,-0.131681181218898,-0.170366188369511,-0.299539755458181,1.2983171697192,0.759624326933739,0.880257386389038,0.423934716060758,1.16292482860466,0.444791532206922,0.535681760161218,0.787227731891405,0.952142131905963
"YPSTB_Oss_3..GE....TPM",0.294259802163967,0.303020089763338,2.46545076356362,0.164465586743588,0.885824670186295,0.112280113397983,0.251729354211554,0.19734296725517,-0.0590446860963989,-0.393866827520377,-0.150387936945347,0.189343295029608,-0.0121472774975566,0.880890531697133,0.712999816723458,1.68026939953338,0.638058848116763,1.24472099208587,0.976149030677894,0.97736905039742,0.85219752377398,0.421144888637557
"YPSTB_Oxs_1..GE....TPM",-0.00890753831228535,0.655764967863433,0.214404290996407,-0.553469466718021,0.571854981971224,0.200886265619511,-0.147490144399803,-0.425539248256378,-0.539647109492208,-0.242781777727143,-0.0940983252608169,0.0105861945896835,0.112809172765026,-0.874239380091951,-0.327890106968681,-0.241003948667732,-0.0703946717751875,0.0301512169774894,-0.154478787680418,-0.0898558063799529,0.0935764371102,0.297252821216934
"YPSTB_Oxs_2..GE....TPM",-0.19647059950913,0.782831741264151,0.192008486186017,-0.543353792749769,1.42511048321019,-0.00783901980285404,-0.284339304271434,-0.405346421666889,-0.491735602746998,0.433806432342252,0.354041300235504,0.0309556915209097,1.42105787882832,-0.721765325745568,-0.270191072368511,-0.362757293424645,-0.104391615462212,-0.0706486960963798,0.204841788675294,0.0918214197605722,0.249128398952206,0.290313999102662
"YPSTB_Oxs_3..GE....TPM",-0.210852917428068,0.145897488133272,-0.658177147458432,-0.366160138916828,-0.446399473856602,-0.751175943711858,-0.497680749872566,-0.651444637025271,-1.01518583583146,-0.410212111327622,-1.02144057492653,-0.651083285196249,-0.426048121990547,-1.0018679405672,-0.291575690590614,-0.213062170482767,-0.536616299299037,-0.365189310901779,-0.308256414859196,0.096061825353482,-0.144823823827339,-0.879005722510863
"YPSTB_Sp_1..GE....TPM",-0.661180262030716,-0.666130635295912,-0.871677834737482,-0.978936015375342,0.231918176242529,-0.828286043948718,-0.653980375001745,-0.859428934203663,-0.838978014506853,0.199396573779439,0.0430045839304324,0.109112300797676,-1.12469740309417,-1.1534638416868,-0.927936231005237,-1.1817933637985,-1.05939661390635,-1.1602585305991,-1.18585138402072,-1.28177213298172,-1.18765500269095,0.30685464468438
