"","SP5448_RS01980","SP5448_RS01985","SP5448_RS01990","SP5448_RS01995","SP5448_RS02000","SP5448_RS02005","SP5448_RS02010","SP5448_RS02015","SP5448_RS02020","SP5448_RS02025","SP5448_RS02030","SP5448_RS02035","SP5448_RS02040","SP5448_RS04450","SP5448_RS04455","SP5448_RS04460","SP5448_RS05925","SP5448_RS07455","SP5448_RS08090"
"SPYO_Mig_1 (GE) - TPM",-1.31015653758952,-1.36654447672111,-1.40720022648801,-1.37451466359058,-1.29798374892981,-1.26464600112354,-1.23404593424798,-1.20605843535357,-1.23996099748895,-1.22692821223788,-1.22828261826543,-1.28028144376018,-1.21503106100223,0.854244492673833,0.652918389232919,0.440587884019516,0.25486903816364,-1.5475426464523,-1.44728266944882
"SPYO_Mig_2 (GE) - TPM",-1.33920802892937,-1.40857409071232,-1.4447961602775,-1.39332958948761,-1.2982008153756,-1.30608981058301,-1.24118587656411,-1.25868011060313,-1.27247473599485,-1.26719101095002,-1.2541235211838,-1.25774471864039,-1.22917056982468,0.553876248205533,0.658275830075615,0.365211990937062,0.0498098784754786,-1.30823311792019,-1.40676053482945
"SPYO_Mig_3 (GE) - TPM",-1.34730889009728,-1.44533307977115,-1.47509521881343,-1.40558806879737,-1.34064546996165,-1.33818259751466,-1.27102162797236,-1.24254467724623,-1.31500603663033,-1.26677984521389,-1.27657670836577,-1.28556245284302,-1.27112154130402,1.57460681528639,0.544952256777359,-0.0877641048077229,-0.580487954291304,-1.3487542870816,-1.68413055564082
"SPYO_Nd_1 (GE) - TPM",-0.322421395528237,-0.188831904693943,-0.181175605343697,-0.193568899466269,-0.243646290603004,-0.0358603677107008,-0.0260614243057393,0.1563759764641,0.255941364639993,0.251437997976412,0.428138960078651,0.614426183131398,0.337022944202528,0.640386195592823,0.721982891111649,0.790458290459528,0.910065830926325,0.114973086331445,-0.131077782267108
"SPYO_Nd_2 (GE) - TPM",-0.335457916464539,-0.0517791280527556,-0.18417607433019,-0.256194430693499,-0.146280999836469,-0.144385902549928,-0.0302552082910611,0.193353985383894,0.271100442981954,0.329795494181899,0.549217344834356,0.568229481140801,0.28821643287359,0.48251019721082,0.424263164896769,0.608883500960178,0.575545051796671,0.5458306832808,0.402450489271393
"SPYO_Nd_3 (GE) - TPM",-0.286889299005459,-0.0885721045309887,-0.126472730461075,-0.186702180929124,-0.0532700142125988,-0.103369150626648,-0.0563815759758447,0.194428381650853,0.273035709519976,0.251367281257141,0.443200416103651,0.714433750167607,0.381214701088381,0.51943209454267,0.358766889511058,0.937226948455817,0.490013830731686,0.342466127136328,0.359614311269909
"SPYO_Ns_1 (GE) - TPM",0.295414709328784,0.436867799454003,0.484827137004567,0.658842385861335,1.43544653437295,1.65228453741596,1.21138820321002,1.57670572623763,1.5308338536278,1.6836161216404,1.69230920090406,1.95292643655058,1.92319539797189,-1.43072502104246,-1.33545675657724,-1.11956752673133,-0.494291407887769,0.570793406899916,0.213224863815828
"SPYO_Ns_2 (GE) - TPM",0.177991127936394,0.257385862361575,0.652021249555487,1.0715062163171,0.52012432153137,0.791675562625105,0.533338916582536,0.590465169408153,0.534122400756924,0.55616928538554,0.522578068525947,0.863313505633376,0.886238235825356,-1.20912934116328,-1.18009392799321,-0.991272618298062,-0.220784787564728,0.438563227388683,0.523262111889967
"SPYO_Ns_3 (GE) - TPM",0.612214725332341,0.995295432291554,0.655295894611274,0.913951261057187,0.87861128032822,1.17168835704818,0.817696262725137,1.06131071268692,1.14802669492988,0.796409801140516,0.950689614078642,1.09901793143126,1.23170492700088,-1.23322226136532,-1.21392548483708,-1.21094271121633,-0.810950372724774,-0.233150699252361,0.651917539153698
"SPYO_Oss_1 (GE) - TPM",-0.74879709475988,-0.697651444801843,-0.7289986798428,-0.79301307716042,-0.950198151398348,-0.989472169230778,-1.03468440946011,-1.08179966159968,-1.06690562353354,-1.02990890222922,-1.07451070096678,-1.0607319623217,-1.02313088695307,0.976796445467818,1.57397978857004,1.28452459116873,1.59907773430961,-0.654469971026739,-0.989391695014226
"SPYO_Oss_2 (GE) - TPM",-0.791440295465938,-0.778665348656497,-0.849502168674099,-0.704381333877367,-1.1176336210823,-1.09767724146408,-1.12830160521716,-1.16361672121689,-1.11997942213721,-1.13124522688017,-1.12998202946504,-1.15383242940948,-1.04253675333042,1.97227553624523,1.50091528539493,1.70351213340591,1.38631487025058,-0.897443154631405,-0.990083893454235
"SPYO_Oss_3 (GE) - TPM",-0.884040913568991,-0.852255927826973,-0.933625626027027,-0.893408712368925,-1.1025115521549,-1.11773292937271,-1.12875632539084,-1.19387967607303,-1.13929227038432,-1.08483714314931,-1.16414209398989,-1.16309122610597,-1.04453513097491,1.2423612554814,1.45037885075082,1.71532762382565,1.54263121938066,-0.27519209313683,-0.991702561711514
"SPYO_Oxs_1 (GE) - TPM",0.255439371494419,0.272535483580166,1.0213532455885,0.842166281022102,0.174333099801335,0.628272931167552,1.09719430399404,0.766848964081018,1.20551468908214,0.952897019484184,0.630107716580723,0.491298137516593,0.847775492998024,-1.04069699372694,-1.31861461069714,-1.48941320849294,-1.95867944987192,1.57091565341983,0.222676112637602
"SPYO_Oxs_2 (GE) - TPM",0.332661485342857,0.0106311582658875,1.07908756860197,0.79329417594874,0.442979653651351,0.729595542682023,1.42305190603074,1.16498760849455,1.32858143236649,1.4331076630992,0.748656479519011,0.630642379656918,1.02325619443902,-0.937509627363517,-1.35743467961268,-1.43527809336275,-1.91407099640258,1.17690285717725,0.151406432142135
"SPYO_Oxs_3 (GE) - TPM",0.32175969252056,0.395416157334035,1.32394396894345,0.878181745475743,0.157513544376145,0.773206505355436,1.03022616577573,0.852633429852234,1.23478877856423,1.07491225401427,0.81471534008732,0.456009654578611,0.997644331134484,-0.687275045192569,-1.30159325433335,-1.43198970339019,-1.66885225048384,2.42467845831244,0.0784492603609964
"SPYO_Sp_1 (GE) - TPM",-1.21430023594824,-1.3192162144851,-1.33106189489159,-1.30680662191251,-1.24665217949985,-1.2126034567568,-1.17856114160722,-1.1351187356823,-1.08250917659086,-1.10954096274846,-1.13270896651673,-1.12087342736903,-1.03699726090713,0.584288692320216,0.736106732892405,0.121768343490398,-0.00458644096263837,-1.58222273143907,-1.32811381253301
"SPYO_Sp_2 (GE) - TPM",-1.22665777496388,-1.31546151052499,-1.39769187702577,-1.35410373946468,-1.25074510950853,-1.26871100843123,-1.20521537776902,-1.18899891607372,-1.20208832977295,-1.19149845566331,-1.15371149509293,-1.19239080453791,-1.15673521940785,0.893344206337715,1.42897546307596,0.605745229996666,-0.0726620268299472,-1.35101293331277,-1.48519713462174
"SPYO_Sp_3 (GE) - TPM",-1.19403036764555,-1.33199784207244,-1.41637349025719,-1.32689211165142,-1.25692967135883,-1.31405140295871,-1.24315714673388,-1.17899315361041,-1.21877996888047,-1.23844624623207,-1.19813709053471,-1.18110552839825,-1.17123103619477,1.24244004690224,1.58437910517411,0.701485048591176,0.0200362798911767,-1.18342357241413,-1.10056295295168
"SPYO_Tm_1 (GE) - TPM",-0.378996359236647,-0.329963538170241,-0.327655791634119,-0.226299676141751,-0.426011545363764,-0.459345337308893,-0.601170670214452,-0.548235200513457,-0.471316273132826,-0.596913909446694,-0.544562840247411,-0.436852225025453,-0.515302354535925,1.13589087159269,1.30629474827136,1.41153630337997,0.613069934482002,-0.980629501006743,-0.174517154963174
"SPYO_Tm_2 (GE) - TPM",-0.160597901411984,-0.197432274241169,-0.174736243627055,-0.0614341463703382,-0.437671210420815,-0.4503635505019,-0.523799214097679,-0.596872122120411,-0.628715177773602,-0.611736023503486,-0.623421786972556,-0.661129785354256,-0.548585358719063,1.18266059647869,0.704953607696971,1.31175638728583,0.768432830329787,-0.975270313727141,0.487904272181738
"SPYO_Tm_3 (GE) - TPM",-0.297008235501068,-0.404981002162176,-0.254912678354246,-0.19513216267203,-0.225051683309358,-0.312994158099232,-0.509662980538655,-0.529760794128659,-0.606700890997194,-0.485920126127369,-0.570539255295533,-0.434002080009242,-0.56622542643903,1.25335256396754,0.867759106325139,1.15745307424039,1.18383084748173,-0.425174678045453,-0.0832145866751447
"SPYO_Vic_1 (GE) - TPM",2.01408672949258,1.44384741445817,1.28442978825239,1.37832228124649,1.24426414011482,0.867317611580108,0.568131832112812,0.626732764003069,0.265495783208756,0.508252591699066,0.53194283405136,0.567109639051851,0.69345426489734,-0.185400337612026,-0.469181292701232,0.502249734097367,-0.789596748412356,0.151970149751632,2.13642994222759
"SPYO_Vic_2 (GE) - TPM",1.55569290504458,1.36426690192359,0.96861478207139,1.10990529450744,1.0460363045652,0.737467156450562,0.49248871454353,0.446213924185935,0.388978603398279,0.392782215838547,0.554124088555169,0.443449065333578,0.390036599781872,-0.272804420289034,-0.0199491134585266,0.588262527695244,-1.22864818889358,-0.0492065201808779,1.14404327204256
"SPYO_Vic_3 (GE) - TPM",2.05772754105145,1.79847794601829,1.44695769058457,1.51022858522151,0.742892419317686,0.464324935955607,0.366309249575026,0.20614776743912,0.264479568274526,0.306760833887375,0.328122668878106,0.0470846240788141,0.281144817633222,0.0580263198622817,0.26880962052253,1.0215308310795,-0.918334625429706,0.0428121491954056,0.8578166925165
