"","SP5448_RS00820","SP5448_RS00935","SP5448_RS03065","SP5448_RS03070","SP5448_RS03280","SP5448_RS05245","SP5448_RS05250","SP5448_RS05255","SP5448_RS05260","SP5448_RS05380","SP5448_RS06220","SP5448_RS06605","SP5448_RS06950","SP5448_RS06955","SP5448_RS06960","SP5448_RS07215","SP5448_RS07220","SP5448_RS09525","SP5448_RS08425","SP5448_RS08430","SP5448_RS08435","SP5448_RS08440","SP5448_RS08445","SP5448_RS08910"
"SPYO_Oss_2 (GE) - TPM",-1.23976031415098,-0.195439630163575,-0.983911592866519,-0.922551820113495,1.12169727753617,-0.153022440814995,-0.830519509870864,-0.937543445469589,-0.667943964769124,-1.43138320371338,-0.728057207937792,-1.02467414902801,-0.324294338220728,-1.03073685970696,-1.41968296962864,-1.68320966859254,-1.71294298249834,-0.829796133455955,-0.981785194466646,-1.04494226049857,-1.23192713913105,-1.51680355347988,-1.264455213117,-0.788607736209152
"SPYO_Oss_3 (GE) - TPM",-1.16828728079044,-0.308586033048569,-1.02760674691932,-0.257928870432545,1.42370456313975,0.069581686598333,-0.347412420979544,-0.683997317698395,-0.489236826375255,-1.36603121129546,-0.441357304918515,-0.788229235011302,-0.583178778763691,-1.1307294378978,-1.51106127793129,-1.86072599644513,-0.47362655480095,-2.21961852650631,-1.38029066303859,-1.12515858128273,-1.59671728005311,-1.61137780280157,-1.55304779395477,-0.850271984228443
"SPYO_Oxs_1 (GE) - TPM",0.266098913046259,1.12662469403308,0.293359348110945,1.01321247750496,-1.11868868464432,0.953127376472476,1.10119616135685,0.39362261484107,0.136794541710239,0.899768136507538,0.453705380001231,0.287015842853526,0.106044294144052,-0.708809058158069,-0.290135341764393,0.243057912963304,0.288841013689022,1.0322139615868,0.337968092317875,0.165108242295131,0.571076700317202,1.12976660916039,0.285692347843998,0.240604007558157
"SPYO_Oxs_2 (GE) - TPM",0.153306102330283,1.5370961384889,0.0652786233484606,0.518753502317311,-1.00396342454733,0.547213023818652,0.873229903867268,1.10678163146256,-0.035553712451597,1.5529418582504,0.286306293260884,0.379532181069855,0.0224851505045906,0.164758475225201,0.0734596800036355,0.358961959336481,-0.249393502592022,-0.471557115717913,0.447916572294859,-0.396393454765003,0.308208227078088,0.733083827517025,0.370828367155953,0.589210362383636
"SPYO_Oxs_3 (GE) - TPM",1.10867758843871,0.852421795270769,-0.0781748401400789,0.219910863033428,-0.641033948424827,0.958590901632307,1.42944314477266,0.473437222347573,0.512946031716156,0.750687406048053,0.365850734018225,0.356194114200724,0.386801858534344,0.310499655990421,0.111539634697813,1.07302994397972,0.28639232374402,0.370969177313427,0.466006740221914,-0.0347513444023464,0.514170281765025,0.33078513884545,0.629243038580679,0.344920205861342
"SPYO_Sp_1 (GE) - TPM",-0.696647334257184,-0.819482883566338,-1.07213170952812,-1.21063022793977,1.31367728071811,-1.49227372894205,-0.53440808821206,-0.459349535029409,-0.644907492702629,-0.955626303752886,-1.49189180758972,-1.06514038698147,-0.812693359869231,-1.36683705166704,0.0383155313079148,-0.0916490685713707,-0.652706058230002,-0.998439429048967,-1.27671907918356,-0.977877082068181,-0.458205606542315,-1.10508776544804,-0.885535586658128,-1.14792743305158
"SPYO_Sp_2 (GE) - TPM",-0.365149078387907,-0.531996737458357,-1.52921558354927,-1.55953780213942,0.445349039735436,-1.86077798512657,-0.810595790959455,-0.739060662952209,-1.07389532454159,-1.21516435190985,-1.78704170941201,-1.19714192079525,-0.419213750708519,-0.641385105188684,-0.0615208136797483,-1.34998131957559,-0.517022941474084,-0.793051123409508,-1.07094857532493,-0.794540248801392,-1.19336242961736,-0.96543012122336,-1.10817989215276,-1.13059948504442
"SPYO_Sp_3 (GE) - TPM",-0.418434980534181,-0.709199857530055,-1.08656799939256,-1.23960447667965,1.21354974756278,-1.50741272911974,-0.429453076809693,-0.755059655134295,-1.24157859886383,-1.12980448936865,-1.69459568076413,-1.330716197551,-0.543658053954259,-1.42129397619298,-0.256563292276192,-1.28158963429923,-1.63230688188987,0.314647135282237,-0.97417582085091,-0.661539645611858,-1.46249754008058,-1.27118144881132,-1.22523049112214,-1.3083192040471
"SPYO_Tm_1 (GE) - TPM",-0.660619644772218,-0.972426263960139,0.863631316877961,0.805120655975544,-0.871971012839634,0.5411962186257,-0.26299232065707,-0.136920685740494,-0.71157835597115,-0.28950469268955,-0.515536373770986,0.883765253918767,0.0804239500795465,-0.0799973055631635,-0.207508973378508,0.386552455574304,0.195712320910147,0.135279665959494,0.485409898003084,0.873640899410782,0.359164363754473,0.0488920492630773,0.526876711451175,0.622625814806948
"SPYO_Tm_2 (GE) - TPM",-0.52716942469362,-1.47641032246208,-0.0540632763928064,-0.599146295101979,-0.868865440109398,-0.392928714301515,-0.777861590205592,-0.720326648996564,-0.882654323993945,-0.607546062060984,-0.770578798098068,0.956272798154575,-0.290525144703005,-0.135030080273132,-0.579276565842677,-0.180857141495143,-0.371645337608247,-0.15381546511571,0.108459854660908,0.12524637605162,-0.0648995379987636,0.0725465259897413,0.0225163310544423,0.422833129882607
