"","OG1RF_RS00960","OG1RF_RS01420","OG1RF_RS01975","OG1RF_RS02160","OG1RF_RS02415","OG1RF_RS02420","OG1RF_RS02425","OG1RF_RS13430","OG1RF_RS05445","OG1RF_RS05470","OG1RF_RS05475","OG1RF_RS05480","OG1RF_RS05485","OG1RF_RS05490","OG1RF_RS05495","OG1RF_RS05500","OG1RF_RS05505","OG1RF_RS05510","OG1RF_RS05515","OG1RF_RS06370","OG1RF_RS06375","OG1RF_RS06805","OG1RF_RS06810","OG1RF_RS06815","OG1RF_RS06820","OG1RF_RS09005","OG1RF_RS09010","OG1RF_RS09025","OG1RF_RS13570","OG1RF_RS10845","OG1RF_RS11010","OG1RF_RS11520","OG1RF_RS11690","OG1RF_RS11750","OG1RF_RS11755","OG1RF_RS12415","OG1RF_RS13075","OG1RF_RS13080","OG1RF_RS13090"
"ENTFA_Li_2 (GE) - TPM",-0.179728683911147,-0.628449496731755,0.445712648852963,-0.733523273940264,-0.473536286779982,-0.406958089318993,-0.565703319075779,1.04752654904887,0.0268205540255402,0.127826997219141,-0.00558133941189195,-0.0653195725852541,-0.0085591651999627,0.275515570204349,0.399579131791502,0.190795187638669,0.152382630226532,-0.025841170209557,0.0320087229148284,-0.0879275591564121,0.353673819917296,-0.0578896984722775,-0.215277436447616,-0.206825400822547,-0.067747640834745,-0.562659391489318,0.294314917686216,1.41260427782766,-0.115454946497444,-0.781507406266046,1.61324462923847,0.108216488277728,1.05255563872738,-0.588772018453731,1.34731378646277,-0.20768166958141,0.385494668195691,0.149915477766516,-0.856170038031646
"ENTFA_Li_3 (GE) - TPM",-0.114507919556376,-0.965771147870483,0.263132450412457,-0.49284503180531,-0.531574952468276,-0.449473776213816,-0.531199204111753,0.459907030865581,1.19335312569254,0.973319206221751,0.926705218214088,0.75042373892401,0.717659883227796,0.929602126302254,0.790399578759239,0.669453104407908,0.861505722299922,0.822996758498662,0.773287383408212,-0.0722521270749319,-0.04454080794869,-0.221745539500857,-0.294199447397763,-0.409626324319577,-0.450383117226975,-0.470992152071432,0.147337959986911,0.792672418944247,0.0338021525916762,-0.505413353717374,0.58464747257167,0.179005626296233,0.804290386004182,-0.669322958833182,0.637907536685592,-0.442899258286182,-0.153053959357116,-0.131728330518296,-0.334180589760139
"ENTFA_Mig_1 (GE) - TPM",-0.980850552449806,-0.192480253453418,0.282133538374969,-0.211508176161076,-0.596864169516102,-0.369468668415898,-0.238002932057362,-0.764131184727706,-1.08162120816565,-0.91921796520678,-1.0950787201012,-1.06273269801013,-1.07586952993001,-1.07316205956898,-0.861727933251201,-0.988298267507241,-1.15069647141063,-0.644595809625039,-1.01057394530998,-0.194527011367535,-0.823623126429833,-0.822018973099711,-0.637640983018946,-0.778546565816815,-0.886822347431607,-0.687716759891064,-0.4558763157775,-0.875582185830438,-0.673186324491557,-0.789391183260146,-0.457103549670276,-1.01319325615167,-0.318406475607042,0.35829497749732,0.356232546049104,-1.28645291670378,-1.05664737789661,-0.817323155351271,-0.227284393904778
"ENTFA_Mig_2 (GE) - TPM",-0.743471351411527,-0.617409951618011,-0.130442705830273,-0.67104433567415,-0.671044311693598,-0.352903967571812,-0.24954055139677,-0.871990589804989,-1.15331836552695,-1.04177720580265,-1.06319912145635,-1.00363376066201,-0.962500265069775,-1.02208055420075,-0.871292923151976,-1.00741563025099,-1.02684541547245,-0.999107053629808,-0.933727531821251,-0.470026240923092,-0.970248323217214,-0.817835339706675,-0.636734086298003,-0.762483729970952,-0.9362075455264,-0.648080997886191,-0.500726383242578,-0.880259727574932,-0.673186324491557,-0.813514242206474,-0.579947807239956,-1.0832578929431,-0.410478114431737,0.26045552206583,-0.73206548398572,-1.31043577157077,-1.02514421972327,-0.755581581673109,-0.178163013131204
"ENTFA_Mig_3 (GE) - TPM",-0.870009838641447,-0.801855945165048,-0.20819693025011,0.301073665728431,-0.571221374128901,-0.237760393531734,-0.336466793164195,-0.0979808634947229,-1.05342786205006,-1.06628071715679,-1.07480966207918,-1.06603105971063,-1.06897994826167,-1.00962085466118,-0.99166003094745,-1.03138946666256,-1.04952989094749,-1.06364281063636,-0.856858389332071,-0.600199375767539,-0.802976621363878,-0.821969106452116,-0.636293921324819,-0.759973040314393,-0.790873591066702,-0.972906563127817,-0.412640061444349,-0.854235701131373,-0.673186324491557,-0.959832834234535,-0.488840679286512,-1.14025519280178,-0.954037952528261,-0.238772392706926,0.442791090365318,-1.41462857965725,-1.03311421747949,-0.816835133155329,-0.876137500097516
"ENTFA_Nd_1 (GE) - TPM",-0.0249532680351791,0.0239372432072012,-0.339786141589249,0.61211049236309,0.257889343376474,-0.633732693969115,-0.706989400907683,-1.23625139297567,-1.05089310633616,-0.732983895597819,-0.649844138909005,-0.746151240880103,-0.504660526179247,-0.629388160341373,-0.637382515148271,-0.526093367325158,-0.534668378728338,-0.248199820085851,-0.568703244650997,-0.296186652420309,0.94227452007534,0.201378337981745,-0.367016614293435,-0.379545111861056,0.505200693926511,0.504227931018947,-0.672551142407239,-0.0795262715528878,-0.673186324491557,-0.698324736786169,0.386863189628199,-0.451856917405981,-1.3467489682454,-0.672740570293739,0.394160712902499,0.188010552326863,0.923191875530456,-0.281781025593835,-1.07723914663407
"ENTFA_Nd_2 (GE) - TPM",-0.534459960451065,2.06130752415184,0.562535575471033,1.27703994678804,-0.320107845015778,-0.636461713172144,-0.739889188711535,-1.54566010055928,-1.10244126386269,-0.673828050682976,-0.505443460546028,-0.465359477191649,-0.600173721360447,-0.773914036410116,-0.620522640409412,-0.514301514044344,-0.424786079493501,-0.648825658888975,-0.48546279915919,-0.595044569277143,-0.00652006527605762,-0.158713381294864,-0.482716712514292,-0.586340468873842,-0.247525607114611,0.403210452562826,-0.711402375373888,-0.599262382884827,-0.673186324491557,-0.348435875439002,0.57828626197723,-0.754597771083541,-1.57824204901296,-0.0841530707698871,-0.23503078109741,0.104415362678069,-0.127844080542405,-0.595838498396068,-1.04523308543241
"ENTFA_Nd_3 (GE) - TPM",-0.200753937146282,0.309198737529681,0.138018136852397,-0.0718105672771779,0.102080954030187,-0.545228673845154,-0.67931969668231,-1.25777303924721,-1.26555568190183,-0.36547253545042,-0.58873059422919,-0.678162910800701,-0.53935938704813,-0.502587176393687,-0.453835155266617,-0.474664501944742,-0.399720709192976,-0.255677144974997,-0.282437867486711,-0.51880041575609,0.638322581402209,0.0761153308228399,-0.414784595353878,-0.467915793211221,0.113973860981146,0.135986012279749,-0.71529054844792,-0.318735916646765,-0.673186324491557,0.75001791386754,0.283623519750695,-0.214805905542358,-1.48387031289965,0.144783263621369,-0.286057283506345,0.249006223468285,0.256329516423643,-0.494622485097289,-0.63140850006718
"ENTFA_Ns_1 (GE) - TPM",0.183824920876878,0.438342192880946,0.614060463213768,0.693336133437014,0.190063656551505,0.0670350598818138,0.0575728518218596,1.2674043872869,0.285952227022679,0.0293800193371178,0.12744272385399,0.00856728153734103,0.0563427919333611,0.145342308054083,0.276756268073206,0.103460607473297,0.238833807351369,0.187235780773948,0.0408217388717256,0.125021979498523,0.385762282991809,0.288912943272255,0.119708600504444,-0.0286900186780773,0.195411497015812,-0.0103741261624057,0.390859718200124,0.526029270675534,-0.404054530673932,0.210688298677074,-0.0486590337589482,0.557652118065683,-0.0644750246404429,1.3492356073904,0.348358490169877,0.0595956795231088,1.07920513472497,0.577994218241643,0.0578343493400574
"ENTFA_Ns_2 (GE) - TPM",-0.147862089790819,-0.0476799113759274,-0.429865853684173,-0.0450600700882157,-0.320809168629608,-0.143959657333454,-0.115947508528053,0.441031040438548,0.740050358903038,1.16227521178757,1.36035081680556,1.02724928655633,1.0192866042926,0.997281430356813,0.762542862659679,1.02172808804823,1.25412625679318,0.843576347846215,0.836556952312041,-0.303401182010836,-0.18127660354353,-0.164618223375507,-0.250275546049927,-0.351133397330265,-0.31916560556749,-0.300944305476423,-0.101640612242757,-0.246143775041353,-0.148342966870528,-0.382719702768942,0.989629681262507,-0.284770200790742,-0.237578265556154,0.872529292900621,0.191134716443092,-0.15651146418669,-0.13068681597522,-0.128688409825527,-0.0272047027996213
