"","ECP_RS01295","ECP_RS24370","ECP_RS01910","ECP_RS02825","ECP_RS05105","ECP_RS05775","ECP_RS05875","ECP_RS05895","ECP_RS05965","ECP_RS05985","ECP_RS06935","ECP_RS24730","ECP_RS26230","ECP_RS08320","ECP_RS24840","ECP_RS24910","ECP_RS09965","ECP_RS26320","ECP_RS12575","ECP_RS26365","ECP_RS13195","ECP_RS13840","ECP_RS15515","ECP_RS15760","ECP_RS15955","ECP_RS25455","ECP_RS16505","ECP_RS25545","ECP_RS18460","ECP_RS20915","ECP_RS20920","ECP_RS26010","ECP_RS26045","ECP_RS23670"
"UPEC_Li_2 (GE) - TPM",-0.376811900242713,0.320695246707172,-0.151637003901835,0.437654252548243,-0.14990254779881,-0.550104504936087,-0.357932392328961,-0.338833754638854,-0.293947697477807,-0.438900292795936,-0.948079004747035,-0.242546471588369,-0.518174821779921,-0.463027364729431,-0.423300784352638,-0.458325075902106,0.0259702278742132,-0.489062633170237,0.465748895369686,-0.615618837066378,-0.60848368498532,-0.166666666666667,0.291720563308579,-0.503191585493988,-0.424585269736223,-0.448113495733053,-0.264817823161176,-0.453769036453355,-0.516211085080247,-0.745565096825255,0.205102360259526,-0.484198525079851,-0.610038514469775,-0.096331285113117
"UPEC_Li_3 (GE) - TPM",-0.264756015062451,-0.408884518757106,-0.83434421141143,-0.120626079040038,-0.0759499073749314,-0.700415270476649,-0.486479495741744,-0.11069371564294,-0.617522413849539,-0.450646020384235,-0.948079004747035,-0.242546471588369,-0.518174821779921,-0.572637441273545,-0.423300784352638,-0.505503983792381,-0.264673285003325,-0.489062633170237,-0.853306709009371,-0.94873229034604,-0.60848368498532,-0.166666666666667,-0.168335815872728,-0.503191585493988,-0.502633141785556,-0.448113495733053,-0.273282783193293,-0.251520094565427,-0.87488715162501,-0.675278359631477,-0.77243154503767,-0.484198525079851,-0.492239489207568,0.126101158988249
"UPEC_Mig_1 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.83434421141143,-0.188968440275757,0.368206597420064,0.335647539983271,-0.486479495741744,-0.338833754638854,-0.140334780618324,-0.249364659152632,0.10229331224926,-0.242546471588369,1.55474471583254,0.19132419485923,-0.423300784352638,-0.505503983792381,-0.264673285003325,-0.489062633170237,0.814059189453752,0.819784853662977,0.552483298290002,-0.166666666666667,-0.908185504876399,-0.503191585493988,0.268257513423678,1.21159346800235,0.219359834925944,-0.691773644731042,-0.426060926682167,1.36735438646351,-0.99429175170075,-0.484198525079851,-0.267558983218419,0.599751823074715
"UPEC_Mig_2 (GE) - TPM",-0.508678187665322,0.179665184049488,1.09323794047123,-0.499659902676623,0.69741931837481,0.910483323690233,0.239410313107835,-0.338833754638854,-0.00846009916558594,1.17072309618835,0.392572240366457,0.976587013546203,1.46616595475517,0.14713068666405,-0.423300784352638,0.560150162814824,-0.264673285003325,-0.489062633170237,0.210771299690544,0.368003428919328,0.873325961008639,-0.166666666666667,-0.908185504876399,-0.503191585493988,0.343540637884935,0.611076741740416,-0.893877728347087,-0.691773644731042,0.733794719370885,0.105859832531012,-0.99429175170075,-0.484198525079851,-0.653675249320797,-0.670607234526697
"UPEC_Mig_3 (GE) - TPM",-0.508678187665322,0.277825981874947,0.290191998637308,-0.135616530282705,0.951009157506154,0.864642581730375,-0.486479495741744,-0.338833754638854,0.0931218784021575,-0.595269201572795,-0.165953651939723,-0.242546471588369,2.5688884948828,1.4673936425278,2.02859357105686,0.116190232424155,-0.264673285003325,-0.489062633170237,0.388242710500519,0.807092220655679,1.12046841427903,-0.166666666666667,-0.381131717705192,1.99717373728614,0.259766372069607,2.02357939517252,-0.893877728347087,1.66043354416101,-0.31612722941107,1.35159635221155,-0.99429175170075,-0.484198525079851,-0.653675249320797,-0.670607234526697
"UPEC_Nd_1 (GE) - TPM",-0.00932862608104944,-0.408884518757106,0.135130867710123,-0.401164254503424,1.72600882658477,-0.051509338908003,-0.243089236408273,-0.338833754638854,-0.617522413849539,-0.299201314739708,-0.273800104837842,0.575002450096153,-0.518174821779921,-0.621589447512994,1.69050440332606,0.0304654623618449,-0.264673285003325,0.454168669287513,-0.853306709009371,-0.00265998308852451,0.882065004356962,-0.166666666666667,-0.453806617193761,0.215339262406471,-0.324136827700983,-0.448113495733053,-0.0204352083481924,-0.691773644731042,-0.0585594028930383,-0.828277853226817,0.822448331257822,-0.484198525079851,0.172539883774144,-0.126942038329976
"UPEC_Nd_2 (GE) - TPM",0.621672058701925,-0.408884518757106,-0.83434421141143,-0.203225730889684,-0.0536928635988549,-0.0472998566481211,-0.119180031453933,0.0135712040065783,0.769309534838179,-0.14847409782129,-0.608894958969124,-0.242546471588369,-0.18348338729476,-0.425433303558719,-0.423300784352638,-0.101089092963274,-0.264673285003325,-0.133205795510683,1.30038261281573,-0.187284449300703,-0.233586639595819,-0.166666666666667,-0.451051018247379,1.66547363636923,0.231289909953749,-0.448113495733053,-0.294737127885415,-0.351746670909765,-0.151831254396377,-0.119268853640887,1.06193574594036,-0.484198525079851,0.0944279238452145,0.149836178703348
"UPEC_Nd_3 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.83434421141143,0.190001345321613,-0.823047382852528,-0.406311462879711,0.108417079228059,-0.338833754638854,-0.617522413849539,-0.0525304363401304,-0.398719567673763,-0.242546471588369,0.565991137918812,-0.842891973113333,-0.423300784352638,0.367843450129007,0.0715902825507077,-0.489062633170237,0.0187490151415019,0.438706574014805,1.21312230659682,-0.166666666666667,-0.908185504876399,-0.503191585493988,-0.502327717752826,-0.448113495733053,-0.893877728347087,0.409675727017901,0.354821139743408,0.32006856882323,1.78101562740988,-0.484198525079851,-0.249786816018512,-0.00619164980362715
"UPEC_Ns_1 (GE) - TPM",-0.508678187665322,-0.0927209179123088,-0.575474267604899,-0.175976936117758,-0.414656872370717,-0.727089077335244,-0.486479495741744,-0.338833754638854,-0.331237471611482,-0.506330905229492,-0.227893227398141,-0.242546471588369,-0.518174821779921,-0.798572701602005,-0.423300784352638,-0.505503983792381,-0.182018302344132,-0.300165899810653,-0.138790303103765,-0.923470198476148,-0.60848368498532,-0.166666666666667,-0.422871175159577,-0.503191585493988,-0.712049774212312,-0.163619766775591,-0.575840556005564,-0.691773644731042,-0.681324148071636,-0.702825264943162,-0.721418915774422,-0.484198525079851,-0.620582764070424,-0.452852417857601
"UPEC_Ns_2 (GE) - TPM",-0.356223606309252,-0.288386073873799,-0.439695041342106,0.085068419781872,-0.823047382852528,-0.632600745338982,-0.486479495741744,-0.338833754638854,-0.430475182221054,-0.369290702580711,0.424331764779886,-0.242546471588369,-0.45046318629616,-0.775326911458185,-0.423300784352638,-0.505503983792381,-0.138665144430017,-0.489062633170237,-0.0908067764950641,-0.94873229034604,-0.60848368498532,-0.166666666666667,-0.399528088048222,-0.503191585493988,-0.734500379006999,-0.448113495733053,-0.699937707145223,-0.622982572904339,-0.629184760404265,-0.828277853226817,-0.578295067955454,-0.484198525079851,-0.325751927570189,-0.670607234526697
"UPEC_Ns_3 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.83434421141143,-0.38173280922099,0.208944623868605,-0.464609501696981,-0.486479495741744,-0.260049290641113,-0.617522413849539,-0.595269201572795,-0.644763939796055,-0.242546471588369,-0.518174821779921,-0.65623593038039,-0.423300784352638,-0.505503983792381,-0.264673285003325,-0.489062633170237,-0.61256483726147,-0.90617453220866,-0.60848368498532,-0.166666666666667,-0.0906011974023405,-0.0183597949836844,-0.85790760816522,-0.448113495733053,-0.518831022159776,-0.235670365545477,-0.959009777171544,-0.299918904860858,0.84448806538361,-0.484198525079851,-0.597926026673041,-0.670607234526697
"UPEC_Oss_1 (GE) - TPM",0.783001633876103,0.454979071183922,1.09470585594657,-0.208133648559377,0.242089827102057,-0.644339769048183,-0.195902456883088,0.14905528099297,-0.475299648989378,-0.565813582288868,0.70665003435177,-0.161209011993825,-0.385784694096754,-0.281451903222698,-0.283099964210287,-0.345534132357433,-0.209924008204695,0.35551109619658,0.70852952070925,-0.597335368837464,-0.11417098766266,-0.166666666666667,0.23703030683877,-0.0742743260728026,1.08331601499875,-0.236114126848758,0.275299139579554,-0.467605899671663,0.495204865525575,1.07258190491957,-0.0453731599532623,-0.484198525079851,0.480680001420844,1.06023850712892
"UPEC_Oss_2 (GE) - TPM",1.13795328362452,0.964899529398648,1.41532272373081,0.0523299928287885,0.0175173232414746,-0.593031525141105,0.0485819678413953,0.388431876490281,-0.430461323756595,-0.161358336939904,1.52244341003937,0.506317587917293,-0.436914839000391,-0.072593202614791,-0.165138417462933,-0.374586393577777,-0.214266294294295,-0.0570688996755427,-0.461134832359356,-0.371005763423789,1.12092544207994,-0.166666666666667,-0.464233414303166,0.0233402595445688,0.290995951943276,0.592874400296116,0.589873358406349,0.794223597352899,2.09825312103039,1.9259753196823,-0.162236740935195,0.799309558663715,2.28271726758472,0.325373103745714
"UPEC_Oss_3 (GE) - TPM",1.535753447159,1.53019134312555,0.753341588989582,0.0742830178976652,0.429310857162738,-0.518276624399867,-0.486479495741744,-0.147618373044322,-0.617522413849539,-0.595269201572795,1.99658815117928,-0.242546471588369,-0.518174821779921,-0.208653869779113,0.730608360978859,-0.505503983792381,-0.0393689997174276,1.44182112137258,-0.853306709009371,-0.638860360607654,0.205194781513013,-0.166666666666667,0.332023282705496,-0.503191585493988,0.881740340938816,0.715113225282327,-0.373726597629565,-0.691773644731042,-0.542572005767103,1.99292287785645,-0.622387861020051,0.663181501410311,0.0228609827054886,-0.225433588292656
"UPEC_Oxs_1 (GE) - TPM",0.185818900522516,-0.330466954075306,-0.192273127801914,-0.257274276667935,0.0885847684914354,-0.506577833168192,-0.196329772895792,-0.292436463465977,-0.536371776552313,-0.507032294028326,-0.144259508156741,-0.242546471588369,-0.518174821779921,-0.249300225082296,0.416667080099388,-0.292524512610068,-0.237338903115054,-0.489062633170237,-0.427977773515076,-0.647977863107846,-0.60848368498532,-0.166666666666667,-0.607256114507043,-0.503191585493988,-0.445383424759927,-0.448113495733053,-0.199713807764146,-0.512703173554989,-0.286999227963517,0.167428059884401,0.088591829487569,0.351016582272429,-0.456686189544816,-0.0224945849018798
"UPEC_Oxs_2 (GE) - TPM",-0.508678187665322,-0.0110610985019112,-0.83434421141143,-0.153184240106153,-0.56611187647728,-0.27919572895292,-0.486479495741744,-0.338833754638854,1.06135164967565e-05,-0.520662811847073,-0.948079004747035,-0.242546471588369,-0.518174821779921,0.328198332184069,-0.423300784352638,-0.505503983792381,-0.264673285003325,-0.489062633170237,-0.493681046981415,-0.821584803932495,0.142725489315082,-0.166666666666667,-0.297522525134545,-0.503191585493988,-0.149314106345991,1.34175523141527,-0.0134797392584652,-0.464661174444944,-0.149539266118417,-0.354713113346583,-0.99429175170075,0.928189681173336,-0.0707190875138805,0.151384598512301
"UPEC_Oxs_3 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.39468511906556,-0.41279412664724,0.390755376314233,-0.619710463172656,-0.486479495741744,-0.338833754638854,-0.617522413849539,-0.494568620559118,0.122175397388983,-0.242546471588369,-0.518174821779921,0.060358689368889,1.01462220585969,-0.444738151529854,-0.264673285003325,-0.328653577585701,-0.853306709009371,-0.862923113673486,-0.439491903434839,-0.166666666666667,-0.393030929192488,-0.503191585493988,0.233247278275663,-0.448113495733053,-0.0296418426700353,-0.0786798387688973,0.139162323964312,-0.721744876780861,0.704993015943026,-0.00760290945788924,-0.204046781464794,0.0690528712045145
"UPEC_Sp_1 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.83434421141143,0.197189393556677,-0.823047382852528,1.80970847069783,-0.486479495741744,0.467124733275576,1.14454287337586,0.937477275934701,-0.948079004747035,-0.242546471588369,0.24727241644895,1.63942647583044,-0.423300784352638,0.419402450456914,1.15978770379451,-0.489062633170237,-0.853306709009371,-0.513369978359909,-0.60848368498532,-0.166666666666667,-0.908185504876399,-0.503191585493988,-0.914848343034017,-0.448113495733053,0.476371016536784,-0.691773644731042,-1.36626076316305,-0.828277853226817,-0.99429175170075,-0.484198525079851,1.05725442730556,-0.670607234526697
"UPEC_Sp_2 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.83434421141143,-0.645256714597885,-0.823047382852528,1.35537894192212,-0.486479495741744,-0.338833754638854,-0.617522413849539,0.74897531567316,-0.948079004747035,-0.242546471588369,-0.518174821779921,-0.842891973113333,-0.423300784352638,0.305654561680507,-0.264673285003325,-0.489062633170237,-0.853306709009371,-0.94873229034604,-0.60848368498532,-0.166666666666667,-0.908185504876399,-0.503191585493988,2.15032015667486,-0.448113495733053,-0.893877728347087,-0.691773644731042,2.28751743598832,-0.828277853226817,-0.99429175170075,-0.484198525079851,-0.653675249320797,-0.670607234526697
"UPEC_Sp_3 (GE) - TPM",4.86454125803235,5.25369450973839,3.80208930304211,5.65844291784859,4.66274430915151,2.90587314566781,3.00550120573327,5.52432426916767,3.77742945682085,4.18346051578524,3.88894469252913,5.62224257967361,4.25478080670974,3.52284643664911,4.63124750936729,4.62095415011094,5.6568226759535,2.89413100095232,4.26556922348975,3.57577942452225,4.7378346806191,5.83333333333333,3.43787257972023,4.65127897650042,4.53342078084624,4.64724922087647,5.37187101399462,4.15727085215873,3.68502465778236,3.66550444244493,3.89293749968738,4.54174981534844,4.68058622825412,5.17946779722533
"UPEC_Tm_1 (GE) - TPM",-0.407108404910336,-0.168045560149596,-0.308490148968682,0.0498352234461735,0.110232207657173,-0.331478681400742,-0.288453121294257,-0.338833754638854,-0.20213429137206,-0.384494152341823,-0.125172167096477,-0.242546471588369,-0.157282755518192,-0.257711839603195,-0.423300784352638,-0.396485563717807,-0.264673285003325,-0.489062633170237,0.598122333791891,-0.435572151613486,-0.204238594049488,-0.166666666666667,-0.353650143136977,-0.210887244595063,0.561319359823403,-0.448113495733053,-0.312438945140146,-0.600112322911974,0.393378020496734,-0.0637655397910046,0.299072025413395,-0.484198525079851,-0.149508440578028,-0.449439699138723
"UPEC_Tm_2 (GE) - TPM",0.934657877469109,-0.028618803981301,1.65650202067248,0.0445974935202511,-0.659316844727647,-0.418672473284218,-0.486479495741744,-0.338833754638854,0.300688689161787,-0.310014481266848,0.0624915303529977,-0.242546471588369,-0.518174821779921,-0.451988669359955,-0.423300784352638,-0.333372499492888,-0.264673285003325,-0.18613528293981,0.0633700708844684,-0.543612603720498,0.348922973628522,-0.166666666666667,1.32937610333369,-0.503191585493988,-0.427016457639674,-0.448113495733053,-0.0778368696583889,-0.547047649099938,-0.6555249737417,-0.0235414349035176,-0.702560413836007,-0.484198525079851,-0.441398018637454,-0.14679810037064
"UPEC_Tm_3 (GE) - TPM",-0.19098198447954,-0.408884518757106,1.42725389330095,0.162285174525136,-0.174343115838216,-0.568979657757885,-0.0219302068465243,-0.115978171050238,-0.617522413849539,-0.312722713115465,-0.376092664959405,-0.242546471588369,0.0462353593526421,-0.631696317384717,-0.423300784352638,-0.505503983792381,-0.177144904535906,-0.489062633170237,-0.626313265394858,-0.587586188132466,0.0237276222165131,-0.166666666666667,-0.811823852173739,-0.0460478537275931,-0.700092623386207,-0.448113495733053,0.21752555841283,-0.548421689648316,-0.40627711970361,-0.130818692232706,-0.416368518930605,-0.484198525079851,-0.495978859466863,-0.497661885600161
"UPEC_Vic_1 (GE) - TPM",-0.508678187665322,-0.408884518757106,0.62650856072134,0.127145407955982,-0.246890876484039,2.07837461410429,0.613777775960988,1.24462670257709,2.61359932593098,1.41231429527477,1.08399427036593,-0.242546471588369,-0.518174821779921,1.40802741672984,-0.423300784352638,1.1097463058389,-0.264673285003325,-0.489062633170237,-0.0468760684898474,1.33220902734774,-0.60848368498532,-0.166666666666667,1.83053639439589,1.12088489220882,-0.53337126208337,-0.448113495733053,0.182969149980988,1.85463049531346,-0.0020623758681625,0.233651694121056,0.0322907683346204,-0.484198525079851,0.6535554653757,0.558224984678586
"UPEC_Vic_2 (GE) - TPM",-0.508678187665322,-0.408884518757106,0.281161276365701,-0.308225076004775,-0.823047382852528,2.12957875585336,1.19383086459387,0.0642091032917629,1.49728972066402,1.95971152540113,-0.172234603094492,-0.242546471588369,-0.518174821779921,2.59470691293326,-0.423300784352638,1.6529517091661,-0.264673285003325,-0.489062633170237,-0.853306709009371,1.66385393830159,-0.60848368498532,-0.166666666666667,2.22874180772799,-0.503191585493988,-0.332257427507268,-0.448113495733053,-0.071598697466658,0.863771359744046,-1.01902732609869,-0.828277853226817,0.573502698317054,-0.484198525079851,0.487124592991781,0.267727626852346
"UPEC_Vic_3 (GE) - TPM",-0.508678187665322,0.375717776967851,-0.83434421141143,0.131130342687915,-0.823047382852528,1.64613249616377,4.35198026069617,0.125391591952588,1.81832126105362,1.7589951956349,0.839158402339136,-0.242546471588369,-0.518174821779921,1.13682371092347,-0.423300784352638,1.98060840416851,-0.264673285003325,4.19866265700173,-0.853306709009371,0.555858007670805,-0.60848368498532,-0.166666666666667,1.50055943846911,-0.503191585493988,-0.914848343034017,-0.448113495733053,0.368925174309286,1.09990534183987,-0.966316788433186,0.417031708945829,-0.091397794306407,-0.484198525079851,0.660299658783643,0.41016821579166
