"","CE206_RS01770","CE206_RS01775","CE206_RS09240","CE206_RS09245","CE206_RS09250","CE206_RS15955","CE206_RS15960","CE206_RS17185","CE206_RS17190","CE206_RS17195","CE206_RS17200","CE206_RS20240","CE206_RS23870","CE206_RS25135","CE206_RS25140","CE206_RS25145","CE206_RS25150","CE206_RS25155"
"ACHX_Mig_3 (GE) - TPM",0.117036196212401,-0.851332499304141,-0.156996691510363,0.900797545581532,-0.177232771426922,-0.480411868019106,-0.000702544390245543,0.0241654147629614,-0.578177169970248,0.419805444723862,-0.315401310923711,-0.915503621652978,0.225211778823541,-0.793180664450186,-0.452213954145343,-0.321763524987057,-0.375271516092855,-0.105791332754343
"ACHX_Nd_1 (GE) - TPM",-1.09631034826236,-0.665341509536289,-0.956288567822299,-1.1719106376772,-1.03317583217115,-0.315821411921001,-1.19206625845586,-0.77175040163498,0.25265361609639,-0.823542697996535,-1.18405366900409,1.15130257399639,-0.965080561184607,-0.744624383478367,-0.458572262888281,0.325006892751317,1.07614452611875,0.511038992137438
"ACHX_Nd_2 (GE) - TPM",-0.848105250995287,-0.777781671099014,-0.921699549402551,-1.20757789391313,-1.12043366199314,-0.255740647781311,-1.09092338910792,-0.85716487587695,-0.984577532751677,-0.764691219388862,-1.08837752203925,0.915281327539523,-0.906299834779975,0.12470822430887,-0.313862362973971,0.726538053380382,1.04389795776311,1.20619076107572
"ACHX_Nd_3 (GE) - TPM",-0.670671253982344,-0.596199921636679,-0.920290171341996,-1.24076412404762,-1.1437865467642,0.837139578965535,-0.724352039574955,-0.769211227205024,-0.783963463519029,-1.00999410138159,-1.24512916243993,0.173246469627236,-0.895804010629238,-0.457792684525789,-0.314766404290272,-0.0192639407965372,0.444774341604015,0.34579425893591
"ACHX_Ns_1 (GE) - TPM",0.0321345167783563,-0.390606104663126,-0.164744852602676,0.196185497950731,-0.195841250344239,-0.20770719832697,-0.370576743885565,-0.399686536677419,0.249013918498922,0.193794387151729,0.205139939073466,-0.175590092315484,-0.61856040002773,-0.56640596886257,-0.436818831610183,-0.644135256781845,-0.58781002100925,0.705380786427847
"ACHX_Ns_2 (GE) - TPM",0.181909203718732,-0.518319015621209,-0.179268038607905,-0.331143615893127,-0.419515911230999,0.129745148339458,-0.325461516827207,0.0338443060578681,0.299205624457935,0.0463432577433183,0.633203297951614,0.332052320909326,-0.344202009387733,-0.528173968291494,-0.322573795033313,-0.344497562604447,-0.261349981078381,0.821639995111738
"ACHX_Ns_3 (GE) - TPM",-0.204708982078561,-0.588342251856504,-0.453786924845797,-0.289136009467269,-0.344132057302926,0.743275524257419,0.0652877543181421,-0.150853127012747,-0.31384448286359,-0.535764746558091,0.0459860637985987,0.393707983069291,-0.400966481951869,-0.827172265929859,-0.612888388096906,-0.508339663341712,-0.559670724172378,-0.465096451169272
"ACHX_Oss_1 (GE) - TPM",0.0817935228265657,-0.327574528644757,-0.982246051043513,-0.650268152171007,-0.708394014387682,-0.153449450255482,0.352292268419276,-0.624622515490942,-0.747436897260671,-0.881499155588275,-1.08844341014397,-0.915503621652978,-0.332503034092425,0.744415893595668,-0.472160125821077,-0.596077668547951,-0.678610686260386,-1.60377530042628
"ACHX_Oss_2 (GE) - TPM",-0.183229955685595,1.09838018780792,-0.809266024138614,-0.840478318149979,0.357584016584524,0.358715698877573,1.31584755040675,-0.489652038680621,0.0567920530626863,-0.421715478635718,-0.60540915089976,-0.915503621652978,-0.281214449788811,0.588557362049774,-0.482272162706187,-0.259455432587858,-0.597862109127796,-1.60377530042628
"ACHX_Oss_3 (GE) - TPM",0.0892592719515179,0.233987156067227,-1.06726128552415,0.0648621939217079,-0.446776461119982,-0.494864880928037,1.2152752645816,-0.308225047292003,-0.582551350055165,-1.06344720531378,-0.708631684732172,-0.915503621652978,-0.346880921504605,0.713747018189151,-0.395248666522228,-0.375515509701024,-0.762971628077124,-1.23250357970956
"ACHX_Oxs_1 (GE) - TPM",-0.883564247695181,-1.06552951184249,0.388384214374426,0.0860680706809331,0.00964504119162879,-1.43592591272879,-0.725372771841904,-0.570655886279176,-0.242013071225808,-0.137265455860803,-0.618647183446375,0.435965126328664,-0.981288256500439,-0.453692195252204,0.156856001246052,-0.0653657829466884,-0.157944864053658,-0.151771382770414
"ACHX_Oxs_2 (GE) - TPM",-0.687586022023597,-0.699808945078228,-0.149027532245578,0.264847513799701,0.211624527070584,-1.41269504900735,-1.10494396523517,-0.39007516964874,0.269183232735147,-0.582112378063065,-0.873519880738157,-0.915503621652978,-0.951212101418913,-0.25473711547167,0.168898875862579,-0.399178399858995,-0.289473667861725,-0.937710263385234
"ACHX_Oxs_3 (GE) - TPM",-0.712042946054166,-0.752227322600099,0.111875733586226,0.620661386518342,0.355657970056406,-0.949103036628566,-0.953011408334166,-0.235401626903877,-0.17071344794371,-0.408492456600992,-0.290889727609931,0.733306004457499,-0.985827878186474,-0.0443828087908717,0.589661538507479,-0.182369295375923,-0.342009712558657,-0.928931927345981
"ACHX_Sp_1 (GE) - TPM",-0.217307816668618,0.117972487981718,1.1396085783129,0.728971244376361,0.785473228978083,-0.424646816543016,-0.878080672744499,-0.515622878329154,-0.456313170259847,-0.537504356853386,-0.276876382652325,-0.915503621652978,-0.193581376159938,-0.987375662267878,-0.566364270146378,-0.480440043476696,-0.567125995111609,0.485681359564507
"ACHX_Sp_2 (GE) - TPM",0.143921234034275,-0.753648161006174,1.07845957878414,0.280205437954655,0.397389294946371,-0.665142424301393,-0.843030330620741,-0.770460371183191,0.119495125619318,-0.451745051094668,0.818436352058382,-0.915503621652978,0.369443808166423,-0.960157425255304,-0.645639054981252,-0.761432342429756,-0.375848633981998,0.395935361736335
"ACHX_Sp_3 (GE) - TPM",0.0121043213103016,-0.395404826673035,1.3511228064594,0.792418924225699,0.627857894663031,-0.850447985486713,-0.554118514146575,-0.271089103388374,-0.492134980567198,0.0471296721184513,-0.345017264510588,-0.915503621652978,0.303080087114987,-0.77818354621084,-0.541831843629258,-0.470618073451844,-0.469818863611806,1.02373827817668
