"","YPK_0035","YPK_0103","YPK_0460","YPK_1747","YPK_1753","YPK_1756","YPK_1757","YPK_1758","YPK_1759","YPK_1859","YPK_1902","YPK_2381","YPK_2382","YPK_2383","YPK_2384","YPK_2415","YPK_2416","YPK_2427","YPK_2428","YPK_2551","YPK_2686","YPK_2847","YPK_3019","YPK_3446","YPK_3850","YPK_3936","piBX060"
"YPSTB_Li_3..GE....TPM",1.11217307698294,0.954073290835065,0.0300450257815896,0.278486332634501,0.426492990357301,-0.233478183413885,-0.311384644709321,0.390266311047397,0.199405462229179,-1.05415224073139,1.12780991165931,0.458229948914277,0.122429115042416,0.211042778150553,0.182874262340894,-0.0271048986371959,0.218238058352739,-0.0167349691771739,-0.108483377618957,0.67442221741123,0.780513421007966,0.30975339252848,-0.359439553128392,-0.633833647225525,0.285234067478383,0.714463147056234,-0.619895107560102
"YPSTB_Mig_1..GE....TPM",-1.91205714294716,-0.899054284615708,-0.716933898112594,-1.1458080646946,-1.39923415190768,-1.08900188030976,-1.11483176163862,-1.34019858919068,-1.48124867312122,1.52979810771428,-0.797730364730139,-1.29685307752088,-1.25072879657038,-1.07196054290578,-0.847927489634684,-1.36003805693631,-1.19815804653484,-0.850092257174771,-1.00832339667695,-2.20775339320587,-1.54457297408354,-2.09875008521053,-0.881124933446148,0.552805784303953,-1.85015953076573,-1.05995092926738,2.24167591762884
"YPSTB_Mig_2..GE....TPM",-1.91435313209421,-0.881403902085844,-0.187168698141638,-1.29619094783007,-1.35766875652318,-1.15816743198813,-1.15706181371151,-1.44060721145137,-1.44238520866222,1.62599530182858,-0.740463730084107,-1.26629296726487,-1.15798293878816,-0.926502328550417,-0.813017806862261,-1.22016043645827,-1.04354607472697,-0.826677344999273,-0.934598239978631,-2.30305502097747,-1.65712012781105,-1.21961921666687,-0.967627532998981,0.814908955319167,-1.75902662821493,-1.42090212889442,2.10523265460445
"YPSTB_Mig_3..GE....TPM",-1.90966276821834,-0.980018917659972,-0.341870213357935,-1.29657977741996,-1.36133282574928,-1.11072497784317,-1.14248623119477,-1.46276137844867,-1.5464839802986,1.56869969916114,-0.939363110839556,-1.28809834478197,-1.24453826971296,-1.0046438347668,-0.984063581365648,-1.20330918321767,-1.13089304633586,-0.813532558388874,-0.954287042775881,-1.55695903291535,-1.68301809534873,-1.99422297697981,-1.13326412341695,0.768911475783147,-1.72264769028654,-1.40942981389478,1.70704090683487
"YPSTB_Nd_1..GE....TPM",1.97051935362005,2.41866415527151,2.617611726547,1.34813122358998,1.56845061223515,2.31724528095426,1.38771511610229,0.441029481716172,1.31471128110244,-0.746454677557612,0.603576471005758,2.49348815688003,2.13719636586914,1.63123190951237,1.45104367888001,1.0312137721337,1.68957697937241,2.89996760129225,2.68082609714942,0.335517233103531,2.64616173819885,1.41500672933146,2.36847466377542,-1.6780796346687,0.379812603825314,0.57601355798865,-0.390910514281463
"YPSTB_Nd_2..GE....TPM",1.56759614050774,2.36173321903578,1.29068045389828,1.56932561970954,1.55441854588875,2.616546570046,2.00396986210444,0.542789874788266,1.40549517912701,-0.864132209433577,0.857292247860249,2.26700681038462,2.32801281116181,1.83637373989088,1.04221657306305,0.758749017266336,2.09854518985725,2.78993635957634,2.63671272676779,-0.0177650024249065,2.16709407312359,2.60178658938785,1.63611904707278,-1.66777335207953,0.783374851183991,0.277047741669478,-0.124495898582412
"YPSTB_Nd_3..GE....TPM",1.39542824217104,3.11826340729539,0.982579684788518,1.79748003037593,1.62972258653253,2.80679930876286,3.31044259557405,0.665344107442527,0.840809635728335,-0.602612112255222,1.36366906245471,1.78935353912223,2.15230876066017,2.27146288706914,1.07587077464025,1.81828194575026,2.08982743816037,2.83092689534541,2.22325364071709,0.935112057480555,1.68295870116624,2.06058878321486,2.48360614429564,-1.67016018496336,1.00272316109367,1.96122438059832,-0.651439753430714
"YPSTB_Ns_1..GE....TPM",0.243515849088404,-0.26954490873082,-1.10617516052812,-0.260725830567527,0.597664644939929,-0.417589873275815,-0.434619038681944,0.524360015924415,0.349738848282932,-0.901324265127606,0.450315930325483,0.123945505864402,0.254777537477506,-0.571064115990883,-1.05281273235723,0.438465968195436,0.238981652352868,-0.0098509415728304,-0.196574924931378,-0.729324604654931,-0.259089216164198,0.626679363440372,-0.793781261283867,0.135691207325808,0.39485877023676,0.108573191510285,-1.0897792350389
"YPSTB_Ns_2..GE....TPM",0.350845675039403,-0.0809179037331467,-0.765584058903112,-0.118285425345179,0.913420148620755,-0.346491900534263,-0.181635530944119,0.47628758006279,0.182980311600403,-0.716814321664521,0.760643607918716,0.402332040468026,0.430551273028131,-0.455931198583149,-0.846490361392127,0.585171674256116,0.304933284879376,-0.0224599644848137,-0.205832786541567,-0.42730067246699,-0.546307704957511,0.0972931587264425,-0.78531495581723,0.155592843966669,-0.170969830617584,-0.139107893004028,-0.900633792543123
"YPSTB_Ns_3..GE....TPM",0.546922879254137,-0.171712187187311,-0.899902808543838,-0.050975050791307,0.452045443554457,-0.215172771668761,-0.528316828142339,0.362421716893034,0.808356899265953,-0.837230462602605,1.15419020714298,0.509848428579594,0.365821939422505,-0.648154421985105,-0.969634649285063,0.858446162373935,0.254498396223133,-0.00952905783527022,-0.0205650954258272,-0.492448369138724,0.288627474699034,0.0600781871820722,-0.887160394279553,0.0252240741724339,0.101337837225943,-0.113635346336467,-0.93664518576686
"YPSTB_Oss_1..GE....TPM",0.0802160837018802,-0.425475780533507,-0.00811968118552963,0.92750353787445,0.0623902167999093,-0.0340254092826688,-0.00911791697068661,-0.0531718288783177,0.0562811798526274,0.886454986546794,-0.315903466544149,0.266887258540527,0.206815306047382,0.174332479010073,0.344119599559293,0.0145946292689404,0.0972096852320317,0.865562526222056,1.21205425204407,0.521860491659971,-0.179410843085317,0.149928228256425,-0.542928118087138,-0.0519170780470138,0.692024289966019,-0.127571712229648,0.893208233422732
"YPSTB_Oss_2..GE....TPM",-0.173744018122991,-0.17395351970112,-0.063525807415142,0.702703583261986,0.21963774795286,0.168900371746749,0.145765253674551,0.421509771212441,0.371820937987949,1.2558921256096,0.0517662685625404,0.222918065229128,0.173405908728465,0.564813345932125,0.733460865819133,0.08058709178821,-0.00178291867282034,0.825489582744926,1.14416293240908,0.710014976554606,-0.740552752053337,0.160915911849872,-0.0786937348335676,-0.363706752488876,0.80157445202891,-0.302733045002691,0.473311017084025
"YPSTB_Oss_3..GE....TPM",-0.211996514561285,-0.107685219072992,-0.339352579759119,1.07745836960308,0.250181864765573,0.0215239595846937,-0.164490966552086,0.663324135021065,0.0426938293836965,1.56874502473091,0.247746097014499,-0.1414805642857,0.364391639189784,0.747903213144397,0.221934809041806,-0.0961704672179389,0.126192815539641,0.618226250120705,1.04447726508655,0.5405301458821,0.0278326973576251,0.433891710470048,0.401682857997743,-0.535200835984583,1.44411781084863,-0.292353569295324,0.458862397528722
