"","SF5M90T_85","SF5M90T_132","SF5M90T_238","SF5M90T_290","SF5M90T_336","SF5M90T_460","SF5M90T_601","SF5M90T_602","SF5M90T_1127","SF5M90T_1144","SF5M90T_1190","SF5M90T_1191","SF5M90T_1192","SF5M90T_1245","SF5M90T_1377","SF5M90T_1378","SF5M90T_1379","SF5M90T_1567","SF5M90T_1677","SF5M90T_1789","SF5M90T_1826","SF5M90T_1884","SF5M90T_1898","SF5M90T_1951","SF5M90T_2014","SF5M90T_2082","SF5M90T_2096","SF5M90T_2102","SF5M90T_2173","SF5M90T_2196","SF5M90T_2249","SF5M90T_2250","SF5M90T_2384","SF5M90T_2532","SF5M90T_2662","SF5M90T_2714","SF5M90T_2743","SF5M90T_2808","SF5M90T_2817","SF5M90T_2834","SF5M90T_2835","SF5M90T_2875","SF5M90T_3074","SF5M90T_3165","SF5M90T_3189","SF5M90T_3324","SF5M90T_3333","SF5M90T_3367","SF5M90T_3457","SF5M90T_3667","SF5M90T_3734","SF5M90T_3976","SF5M90T_4146","SF5M90T_4247","SF5M90T_4277","SF5M90T_4278","SF5M90T_4279","SF5M90T_4291","SF5M90T_4324"
"SHIF_Li_2 (GE) - TPM",1.21845185350646,1.62626621615042,0.79411353198867,2.97626760985723,1.66225469414895,1.7151132404291,3.19329321192851,2.71472816880851,1.80707888733572,2.53202440726577,2.66639295770101,3.05339230784008,3.61315275440082,2.31907202120467,3.24288182291797,3.08962249532594,3.03773354053039,2.28378501530428,2.10691458933468,2.88336021873297,2.47692597332147,1.1367084274546,2.55842793465666,3.76903020319246,1.76431256899611,1.74563017597457,3.10260715095002,2.10680764763446,1.9290940121094,1.35777588981711,1.54684451479863,2.0777504400093,2.31494446010799,1.21655993243626,3.22745967772284,2.30377521550028,1.73092394779983,2.20557126952546,2.22528834968376,1.56257725600738,2.34676931479173,2.36042228780254,0.860517131394589,0.943051805250217,1.7441226106508,1.69127809895515,3.17310919483515,1.74037434181757,1.20919803534133,1.51126387313698,0.934671374669273,0.676699781338562,1.67367987952919,1.78846847408607,3.97882782723467,3.91844639432909,4.16389615845264,2.20315325682032,3.39732918196334
"SHIF_Li_3 (GE) - TPM",1.36425945184556,0.541996716877606,0.13856243693819,2.33895061387041,1.69269714523966,1.50415138251641,2.04570172083953,2.00293194043884,2.14525524521502,1.22023118993628,2.7113984333184,2.93433200070826,2.47535468594383,1.58140528969407,2.15391632570944,2.21174401271979,2.55509407482742,1.41969605940692,0.936575564737282,1.42128935609721,1.00257031100647,0.666105564744843,1.17517534799798,0.481990598856699,1.61966525826007,2.64656916895018,1.36905648199401,1.76141067118239,1.13448916513047,2.14194861249743,1.4107747971954,1.08328776532409,1.49366719033911,0.886678599265718,2.13770524460838,2.14266309910977,0.730667501425957,2.05023534343952,1.32871251121055,1.40377363687886,1.66744716333979,1.42473481350418,1.18440963808731,0.841107962781885,1.6985617484441,0.425084080478458,1.78921371632155,1.96242615957517,1.39209625353883,2.28909364418091,2.36853021106109,2.80450145327109,1.47756387260939,1.69306083537131,1.85995882486053,1.69268428963655,2.10207616551984,1.74916274313557,1.40948437847911
"SHIF_Mig_1 (GE) - TPM",-2.20476131928401,-1.39211917588282,-1.04376313032571,-0.657614290020568,0.391146372781332,-0.490011699154377,-0.479564354473002,-0.82803022668799,-0.508375185326776,-0.21091395183274,-0.984619745106182,-0.779563392684413,-0.6919871265702,-1.01148209245707,-0.866096905079007,-0.813073006388349,0.219840899706605,-1.31134885395075,-0.499326546734785,-1.2156427964443,-1.21286736318105,-0.55889794211877,-0.954085155236135,-0.10218035367521,-1.59696505698429,-1.29040396685989,-1.10542204163296,0.556612515316433,-0.785247230755285,-1.62566003327878,-0.785717983584386,-1.20803017616164,-1.01154102210569,-1.86108266249667,-1.01912804359834,-0.96738809478622,-1.88358718484399,-1.55185505098952,-0.86296608270454,-1.25848374332369,-1.47294161903932,-1.76197040111376,0.191646853341004,-1.00841298127498,-0.785658389956911,-1.26595599449964,-0.959839803863038,-0.850689593679494,-1.34330783860194,-1.13257608994872,-0.495149888660894,-0.976184279266561,-0.0368477011904195,0.812052159166273,-0.545466179641252,-0.574025306377551,-0.441522996109949,-1.75894903131755,-0.999513348137553
"SHIF_Mig_2 (GE) - TPM",-2.15311605972962,-1.44244063236877,-1.04376313032571,-0.644539433056721,-0.355973685517364,-1.31162227542282,-0.679563860340504,-0.95484478288488,-0.109251202822966,-0.606906673397647,-0.982329450909797,-0.555417195861508,-0.716559914688746,-1.00692219096187,-0.870941737668556,-0.84888885052852,-0.817334565461799,-0.289923506571753,-1.79085160899247,-1.2156427964443,-0.0385991543408392,0.514025694758208,-0.279732765413011,-0.247185562123743,-1.27792661110951,-0.774402319319417,-1.53952750067262,-0.854263255350854,-0.874132375548637,-1.07292924004494,-1.67143350741697,-0.139018246110927,1.12596673378333,0.380015473463871,-1.01912804359834,-1.00804125287723,-0.962598329689069,-0.848447845284716,-0.414073619626012,-0.744975232248674,-1.10075205247269,-1.15044244409447,-1.04859982651223,-1.15551255585004,0.409630376562469,-1.26595599449964,-1.0132521554977,-0.933070996273022,-1.81395916449006,-0.754689755654832,-1.46326317965373,-0.976184279266561,-0.228308879026482,-1.63285476404543,-0.672877286557148,-0.574025306377551,-0.487354564846296,-0.945445867791659,-1.70029550533774
"SHIF_Mig_3 (GE) - TPM",-1.72603073744326,-1.85247859655914,-1.04376313032571,-0.764304364591306,-1.52170190135949,-0.712344630872761,-0.640120951169539,-0.805771970818304,0.624171621850848,-0.481734549872028,-0.798879340462967,-0.522830546536168,-0.748870133065903,-0.889684943178071,-0.808088089730932,-0.725885047957863,-0.769856232210685,-0.456213104485897,-0.627892116859771,-1.2156427964443,-1.21286736318105,-0.453554630844443,-0.98644578550312,-1.42874198797739,-1.12370930084875,-0.964229928287051,-1.37041197934482,-0.450771256724883,-0.383609365171177,-1.7441402997904,-1.00330785547422,-0.823914904713755,0.0100411129349394,-0.510352007774125,-1.01912804359834,-0.505888945397583,-0.158226250764218,-0.961954521601645,-1.36728881705897,-0.854486911739856,-0.934932193267826,-0.963968971593088,0.341027478234486,-1.36852768654637,-0.98018858224603,-1.26595599449964,-0.900385643652071,-0.960970654988329,-1.0595098960965,-1.49030538111641,-1.58869717301134,-0.976184279266561,-0.242394090564593,-1.02410321075588,-0.572768950366602,-0.574025306377551,-0.443140520068338,-0.394487755070128,-1.30869461652639
"SHIF_Nd_1 (GE) - TPM",-0.573327588197093,-0.937307660318944,-1.04376313032571,-0.277938542161699,-0.727601300424736,-0.960299617628271,-1.19209925771918,-1.17052355910913,-0.639761134665823,-1.21787875141969,-0.469992428944738,-0.45395751912911,-0.552271815549854,-0.0402693008801452,-0.629809176985612,-0.590737764743749,-0.562585427210908,0.607671127245137,-0.38665252379402,1.24976782997501,-0.198337100039922,-0.760473514588448,-0.84612260240882,-0.280311556082466,0.481029176103799,1.09826974962819,-1.41071861195787,0.866222915328284,-0.972656104069894,-0.655477241026881,-0.872004768459149,-0.951838405981236,0.287868228435198,-0.275546708258613,-0.629919998089827,-0.480711709573715,-0.251963660727952,-0.260447116267157,-0.357030051058815,-1.08344859072692,0.104822869989722,-0.582679505802571,-0.571397212232703,-0.150520369658391,0.370357935952539,-0.588365316743318,1.43720877316212,0.860483013553006,-0.793029704027034,-0.277166814555597,0.613634336575295,-0.976184279266561,-0.0223587857001529,-1.00571287118829,-0.423318150077029,-0.574025306377551,-0.474096635856087,-0.44112257702601,-0.00346260590834084
"SHIF_Nd_2 (GE) - TPM",-0.557264843657725,-0.152489621728535,-1.04376313032571,-0.60073916548384,-1.08527459015317,-0.767192521363665,-1.24376376841142,-1.2006799322711,-0.809045504912774,-1.61780407050732,-0.664144263911693,-0.632340967797942,-0.599687896951186,-0.292747685301002,-0.66685353358785,-0.634250761288017,-0.596553229897903,-0.308336357793312,-0.920724476037383,-1.2156427964443,-0.895360759448148,-0.485657243847639,-0.833552428150793,0.00890559875550924,-0.853301076350931,-0.360397013285532,-1.52956775173405,-0.805680259591765,-0.717153877172162,-0.528838879075281,-1.0748408653921,-0.846638570833556,-0.670516528002568,0.281116172432771,-0.775515548001629,-0.712325588697954,-0.865746829914509,0.254969060909999,-1.39452856530596,-1.04395130870614,-0.298753358505587,-0.6064687904043,-0.451219987059095,-0.65096534604733,-0.628504051553778,-0.417722983422876,1.00669459125886,0.625557386308534,-1.16877170111926,-0.522936779269335,0.0713672936309627,-0.502082202960485,-0.282645566673884,-1.04404524398275,-0.405891192711324,0.108169492060037,-0.484115577284376,-0.109245253702109,0.119437703380058
"SHIF_Nd_3 (GE) - TPM",-0.00864333406932311,-0.895463320166412,-1.04376313032571,-0.353286439476636,-0.865291932976137,-1.2135751891323,-1.17761764644109,-1.14885878931233,-0.0161240071680964,-0.918382721821591,-0.403749943358042,-0.597132927238158,-0.552637878696263,-0.0711050728494807,-0.600877210946222,-0.515636656819195,-0.524998847676648,0.227687723100096,0.172670792836978,-0.696667259048492,-0.0916703461815891,-0.937646875868909,-0.138906738569145,-1.24071601421372,-0.445269751022533,-0.0787646057041426,-1.17643799665051,-0.312348841425176,-0.561097902212959,-0.145292059222816,-0.936073550334096,-0.903325804327726,0.305249309349355,-0.912829461352202,-0.445622694708504,-0.706726589782481,0.495721858981047,-0.992174523509874,-0.557848948003613,-1.10897394831376,-0.362573800131091,-0.487129260283622,-0.697016328870685,-0.146778292019753,-1.20150806510976,-1.26595599449964,1.12972944077531,0.532108055410458,-1.04216815712644,0.145622064451856,-1.49839431581596,-0.976184279266561,-0.623101458363913,-1.17080209806177,-0.394786848993175,-0.574025306377551,-0.470191776095192,-0.593843844646306,0.577596334849913
"SHIF_Ns_1 (GE) - TPM",1.91938253572561,2.22996704394814,0.685964995268549,1.39345525619677,1.97874996669956,1.92791156014637,1.62925507491145,1.68957072440707,2.18344874903434,1.44279106339059,0.170840765750033,0.269707372034527,-0.400783844005085,1.5258744634411,-0.173851574307746,-0.285905678187315,-0.27460377488673,0.208301137455286,2.41409736623455,1.67770729021582,1.56526870728967,2.25255294352583,1.90316580528155,1.01721451468942,0.849884428133791,0.310505510885068,0.46209578796599,2.24988047322415,1.82861533458245,1.5836417290412,1.63507804509287,0.969284405250018,2.88890227901217,1.77388495256835,1.91178551385135,1.30569842095552,1.85376950100143,1.25640165350858,2.66869053223066,2.09879180514876,2.40311710812997,0.168392914214524,3.03498275638073,2.53256817887994,2.44979604575424,1.51726177417032,-0.35255795524747,-0.753561002713294,1.97422090335059,1.02240509447721,-0.401562886694495,-0.976184279266561,2.10976064642633,1.37247662860726,-0.234888930803248,0.420825380565188,-0.45049784256119,0.0453841368510586,-0.496273456130328
"SHIF_Ns_2 (GE) - TPM",0.939172227206898,1.88644797521344,3.28962771384285,1.29918203086626,1.13571801026408,0.764164341532329,1.08665401467855,1.3631991816886,1.01090578518215,-0.0796232735891085,0.0509097754963426,-0.024468910864359,-0.147352775627506,1.02071392430207,-0.116019556032103,-0.156055119253219,-0.193444260361424,0.0426584467482831,0.90832508910128,0.271238776893203,0.393265358297445,0.342347293549338,2.21792436590749,1.80346071329508,0.284969135483848,1.53541507440256,0.377219822039521,1.40202502942519,1.86882492120941,1.34833098282761,1.1822340266807,0.650813253924721,0.904104359271092,1.38656017694628,1.03476099850451,-0.659671452874281,1.42356124707963,0.69304869628498,0.829981148685938,1.09047873512542,1.42539859163579,0.497690609153077,0.336434932274503,1.76687246537301,0.73352010040707,1.59461399641417,-0.315137533199222,-0.861080135914796,1.28829441597576,1.62440855631173,-0.291385469448302,0.222957484735922,1.32265774948334,0.352838815515018,-0.512387103480219,0.768005873304888,-0.437195476274423,0.744598787487945,-0.350660620438399
"SHIF_Ns_3 (GE) - TPM",1.89055781041259,1.49650105150252,1.30017200756075,0.971434496142655,1.92806026314441,0.98944324227079,0.740838725471999,1.29192972039817,0.9987835412778,-1.12515503715368,0.257134763877092,-0.105006183510853,-0.183168078499126,1.6626061677423,-0.131322816644462,-0.214585988201501,-0.31773718326251,-0.224532280378521,-0.164240132021215,-1.2156427964443,1.47614760733432,1.42074042242295,1.50773830872485,1.68281832632469,0.268933446204176,2.22466685600657,-0.229574640620515,0.596381465860413,2.79672952435704,1.85019961522676,1.56462366286972,1.79709695618472,-0.0520356406114492,0.751225568169322,2.07566261679843,0.708819022471979,1.11338585697888,1.66967899492914,1.61568346582881,1.4902562064345,1.12694077175411,0.387600667352769,2.49291495979088,1.06974389834775,1.31494306760207,0.170808619191547,-0.270758973784188,-1.03339113805718,1.20043298541424,0.988216141465519,0.785461141568098,1.43296418951161,0.496042161149062,1.52540339554719,-0.461057524089768,0.196323826003622,-0.377796322875049,-1.47951684936494,-0.779320077293695
"SHIF_Oss_1 (GE) - TPM",-0.192427717432106,0.0815074871595164,0.202655912615199,-0.414922111420738,1.16373996431138,-1.12121497129282,-0.309833328911743,-0.323383048560983,-0.258145744685381,-1.12843717496569,-0.678298537643668,-0.575224746088952,-0.642084036426746,-0.637789850246338,-0.207632734857282,-0.265868733044739,-0.308591936091586,-1.47228425828041,-1.24844957799514,-0.196353694911077,-0.812489795079055,-0.548142169386993,-1.12705596931256,0.820573933544486,-0.484298188856485,-0.413243876975224,0.522542483682225,0.0396044844467876,0.50064172430823,-1.160893485515,-0.610729423408509,-0.248489894433756,-1.36692890704089,-0.660778549119653,-0.558333004556223,-0.285143582942766,-0.746451022873408,-0.0329116434778583,0.426851494948544,-0.773045294317659,-0.647682154266739,-0.141020076602272,0.332448803563464,0.00537933150228219,0.808907605493254,-0.731142755628905,-0.357899611612524,-1.29917577374635,-0.566673950629004,-0.140802182270073,0.5422819659895,0.319147241965272,-1.41841835421415,0.512122220763351,-0.199394440616424,-0.574025306377551,-0.459936970917231,-0.325863458627263,-1.06718748559971
"SHIF_Oss_2 (GE) - TPM",-0.0168438400752775,0.125056420661071,0.254179201916275,-0.456184572434241,0.985551760362951,-0.696307328283748,-0.315886491064081,-0.372276214763201,-0.707062030848741,-1.37130263020996,-0.621890222981401,-0.59456012332478,-0.655272150358661,-0.545577214640077,-0.281901114759202,-0.26596662542501,-0.358631522326564,-1.32454736721649,-0.905392113458934,0.231752896680199,-0.587475368070017,-0.292573585905539,-1.01140016176065,0.301760289104681,-0.593653385730116,-0.384493143524738,0.484918208973467,0.0835541515490634,0.844564296588085,-1.20534212441113,-0.644860400011907,-0.171556368882234,-1.3315792354166,-0.665299966417036,-0.459311271444444,-0.457193545455357,-0.632196054590514,0.820743024710227,0.793553389323484,-0.493207929683568,-0.420500229843264,0.24133291128339,0.0790304068414677,-0.00789880592678587,0.677566319728912,0.404806529382696,-0.333833114962803,-1.25534999826749,-0.578278794040186,-0.0255775831349561,0.933308144497364,0.424572302308051,-1.46463513608262,0.364538437550295,-0.219882689071257,-0.574025306377551,-0.471807399235985,0.40732934772867,-1.14416700195206
"SHIF_Oss_3 (GE) - TPM",-0.0727010544814213,0.409011732131821,-0.0759900327368045,-0.271273894949437,0.644499003855658,-1.42104865027803,-0.508046749566445,-0.338263073680902,0.475925961074619,-0.784129179345462,-0.622961174445693,-0.450957328938937,-0.623353845697029,-0.593465839209873,-0.229910832227559,-0.192697211727328,-0.309115077466191,-1.39414583410182,-0.652365756549797,1.48237886911387,-0.824279510830839,-0.144559851414131,-1.05054145273982,0.917255990642403,-0.556964341994007,-0.00435394702063541,0.100972957390432,-0.661427767222166,0.318994968506226,-1.14149187907778,-0.431688975351218,0.0334743461545137,-1.56043124393417,-0.956587807021859,-0.720977216634009,-1.01044038629242,-0.420965852673029,-0.969927742328155,-0.0332637749941875,-0.488596378555851,-0.467225303196861,-0.197766905385898,0.230855326756423,-0.0412466426491594,0.558509725959999,0.810303459184519,-0.250064634789969,-1.35047386071322,0.0783289182208252,0.0221572942626041,0.331721016994353,-0.976184279266561,-1.36007899464854,1.48986763312155,-0.119522443818504,-0.574025306377551,-0.465399074859693,1.20229261070773,-0.926381802332331
