"","D7S_RS00635","D7S_RS00645","D7S_RS00740","D7S_RS00865","D7S_RS01325","D7S_RS01590","D7S_RS01595","D7S_RS01600","D7S_RS01905","D7S_RS02115","D7S_RS02350","D7S_RS02385","D7S_RS02530","D7S_RS02615","D7S_RS02795","D7S_RS02840","D7S_RS03160","D7S_RS03670","D7S_RS03795","D7S_RS04195","D7S_RS04465","D7S_RS04960","D7S_RS05470","D7S_RS05785","D7S_RS05875","D7S_RS05880","D7S_RS05885","D7S_RS06050","D7S_RS06565","D7S_RS06925","D7S_RS07305","D7S_RS07405","D7S_RS07640","D7S_RS07675","D7S_RS07900","D7S_RS07905","D7S_RS08095","D7S_RS08765","D7S_RS09625","D7S_RS09725","D7S_RS09785","D7S_RS10445","D7S_RS10480","D7S_RS10560","D7S_RS10845","D7S_RS10850","D7S_RS11235","D7S_RS11485","D7S_RS11490"
"AGGA_Li_2 (GE) - TPM",-0.835161637589817,-0.556203272769045,0.0851392076425291,0.602245025114416,-1.20961034303967,-0.393545151308802,-0.2621148169256,-0.682864404771765,-0.0067035405222334,-1.08468911280461,-0.0153275907121446,-0.842966940628269,-0.385428390723171,-0.285783256266053,-0.501830400501769,-0.300769013584172,-0.434632131028173,-0.0665440577787721,-0.403437797117143,-0.218773291236752,-0.762861307176838,-0.562276659895512,-0.0991639408900627,0.0492925273172827,-0.732530206791301,-0.211286227993816,-0.79559834457523,-0.685578932199752,-0.0846436580557014,-0.607600361325401,0.288388569173149,1.3466443841417,-0.989128100011998,1.28556889898435,0.310430042720254,3.19161037993054,-0.788950590515814,-0.870117700559929,-0.5067122185704,-0.274491392391622,-0.413390775824365,1.23330377817072,-0.48785345230652,-0.694656086035494,-0.668276527329815,-0.941037398026448,-0.716315648709837,-0.524594160213829,-0.39250931371282
"AGGA_Li_3 (GE) - TPM",-1.20092739733137,-0.343255415923856,-0.432815017089517,0.477273423342665,-1.50558153860858,0.0305362002457925,-0.256318170118884,-0.748055085892207,-0.477516939938161,0.255436842770585,-0.280534974476988,-0.114846372440197,-0.93127060088948,-1.61728535543284,-0.501830400501769,-0.267227010370852,-0.590606899047561,-0.284810937830816,-0.406826353422974,0.178267908688008,-0.892810501855757,-0.581309164064872,-0.410799561023647,-0.868599849175275,-0.952119651656104,-1.64886320029518,-0.476299388911042,-0.821302757364855,-0.523128876559205,-0.773532227988986,0.0645593815577031,1.12897410116594,0.19274115072889,2.0453364163821,-1.11405647069444,0.387712395535093,0.547311753005297,0.137354289616842,-0.0779199870072363,-0.349976340123,-1.10329169972549,0.127477119336787,-1.5203767744229,0.503523635911734,-0.262405749861064,-0.954277745981705,-0.204814227030113,-0.588677961079309,-0.39250931371282
"AGGA_Mig_1 (GE) - TPM",0.651921239279764,-0.589822562090352,0.264206747533388,-0.299883485282562,0.292810257257852,-0.528707426130693,-0.773213513167479,-0.701180560396142,-0.567020400102029,0.442137684813474,-0.850201799652846,-1.09084978816482,0.643423339076709,-0.314282253665745,-0.501830400501769,-0.438874150854206,-0.168690472787936,-0.5488071301763,1.39337743582416,-0.708152905050575,0.522160625863203,0.0221118651622102,-1.25063261579865,-0.707160215125464,-0.094169848522052,0.392017224276667,-0.495660311734662,-0.95362212752105,-0.584502668558656,-0.773532227988986,0.41857274877619,0.248228040943679,-0.869915827349474,0.00394389246843579,0.857295183099744,-1.26506631396576,0.517419754998561,0.281613031180663,1.12265145088514,-0.397029434113464,-0.708785109010124,1.08839837192442,-1.02849554388894,-0.397879994655082,-0.506001694450938,-0.516801313425075,0.136954823424767,-1.07819950789702,-0.39250931371282
"AGGA_Mig_2 (GE) - TPM",0.251257110846431,1.25361214314556,0.893136331660963,-0.63955936400711,0.793625063623062,-1.01453913151007,-0.549068597691516,-0.65258837666884,-0.321025684607357,-0.836740124657534,-0.623147048821926,-0.198538660227417,-0.0538414977437754,-1.35035733375211,1.44867985415597,-0.410301820115101,-0.154143254508741,-1.12741101002859,-0.455220432644441,-0.116889439707237,1.5913585208959,0.932604753889645,-1.4826765651501,-0.470666209460812,0.883666395249549,2.04481013451126,-0.0794267108731893,-0.264291144374774,0.678471638293264,-0.592165489613198,-0.896331968770596,-0.0162966698263005,-0.202455223719789,-0.163888138643426,-0.854557920853645,-0.748992115419556,0.0516673447507178,0.934276581002902,0.776843749166509,-0.261427991837842,0.1194589944203,0.189341640882448,0.26155104677485,-0.62581002594926,-0.308217093304562,-0.631277928614568,-0.29908349761993,-0.562509514836585,-0.39250931371282
"AGGA_Mig_3 (GE) - TPM",-0.127916954931224,-0.993273553430206,0.301854678961115,-0.280693011194059,1.02435927209778,-0.728651574648622,-0.543810277915341,-0.853056043878377,0.0831306887389471,0.183464717815141,-0.964135393389582,0.105376405402685,1.03364613321424,-0.373785208212468,-0.501830400501769,-0.458738106402683,-0.657401989257317,-0.325841177162384,0.798981841190798,-1.01178532419791,1.05653205698791,1.04729606581095,-0.730936632369981,-0.789159346909043,0.33358179514738,0.797379348087006,0.148145822558127,0.207261312000999,-0.263428562430728,-0.773532227988986,-1.09476836347333,0.178981343062178,1.47510898669112,0.658800767645334,-1.11405647069444,-0.0531106420625904,0.720487364382498,1.04881850361974,0.724862338211003,-0.308552071128319,-0.018784019784922,1.63840737106011,-0.692737743704039,0.0165297936793353,-0.612389080770573,-0.40304142022802,-0.0277724888963523,0.397848682075368,-0.39250931371282
"AGGA_Nd_1 (GE) - TPM",-1.42920791021037,-1.02625542634813,-1.32547476200178,-0.365229474307076,-0.869690521109952,-0.920508435005684,-0.911143338857327,-0.810526756913666,-0.509859291671085,-0.176062382486308,-0.264564364831261,-1.04412129411102,-1.79518167696635,0.443509361576829,-0.501830400501769,-0.158462713528869,-0.648990661580079,-0.148197812486406,-0.751752976844581,-1.60597340811653,0.767055501792009,-0.627526405033359,-0.847658338505739,-1.18464864164172,-0.961970973944046,-1.07722290147738,-0.780394917454621,-0.746865100249281,-1.02582222895422,0.279929167770691,-0.977169294951714,-1.09565572350438,-0.993541600140094,0.335365699843716,-0.320747587998424,-0.778737393593287,-0.0670247290936337,-1.76967342005656,-1.39161004969887,-0.361004031676913,-0.640375488333156,-0.795315640669501,-0.108906563716247,-0.486467525153512,-0.0968151238651085,-0.909580871499356,-0.457114330434777,-0.994579460902114,-0.39250931371282
"AGGA_Nd_2 (GE) - TPM",-1.20133777922206,-0.30381241872957,-1.7665792133744,-1.60311473149232,-1.26854406052119,-0.940909166754754,-1.02174110807049,-0.861993544491413,-0.388150012085188,-0.856101379295142,-0.41480277854609,-1.19634388957055,-1.66484300051772,-0.624250200912168,-0.501830400501769,-0.156319421010225,-0.453298042226892,-0.441786602701681,-0.887926694008123,-1.81139697610282,0.345209041831642,-1.03973351331811,-1.26099704823932,-1.28594427368984,-1.23369484981134,-1.14809746533522,-0.819807603224731,-0.556304137931633,-1.41847777776271,-0.33932460597186,-0.436338440202025,-1.20272948569199,-0.964439542397924,-0.422827035992133,-0.989804086564555,-0.24338439565998,-0.557210731536325,-1.63255739941864,-1.57177181072478,-0.37705998071566,-0.758176726243125,-0.643121835609109,0.015118911254006,-0.690771360157645,-0.795372932771112,-1.22354852001488,-0.783452004903218,-0.540858678896685,0.860731152704101
"AGGA_Nd_3 (GE) - TPM",-1.52170453764315,-1.14885570194362,-1.62163285045867,-1.28372329457054,-0.742365019047399,-0.909546462230285,-1.15807698192544,-0.87526888488093,-0.526071576796488,-0.706691566409631,-0.215223160085416,-0.560227530277449,-1.85899066855948,1.16517969160789,-0.501830400501769,-0.380287341462118,-0.40721918814299,-0.229944831467991,-0.993595608583486,-1.60404346293347,0.896456970556935,-0.848755752939455,-1.36739388491036,-1.12782609334697,-1.11753532622884,-1.07883669118197,-0.807069726973845,-0.617604730906932,-1.19903626877308,-0.773532227988986,-0.159774682138317,-0.890727556887933,-0.738378617710636,-0.171323866822391,-0.947384861518335,-0.922120521828077,-0.612583234257322,-1.54809160775808,-1.90960567486206,-0.378168851062867,-0.764784982972664,-0.79731773029514,-0.394761328930075,0.145097749929302,-0.202142136620529,-1.16418150261333,-0.56052104303928,-0.631072033990174,-0.39250931371282
"AGGA_Ns_1 (GE) - TPM",-1.18761610457913,-0.902021430554181,-0.997703851079376,-0.749535878723106,-1.32962351159658,-0.507063361687679,-0.748456200644629,-0.576971266787717,-0.659147658479386,-0.320565871000714,-0.269354502283729,-0.895982265983324,-0.574065501659012,0.217943792095022,-0.501830400501769,-0.355586920509306,-0.146575356457292,-0.949739336048702,-0.825582573040925,-0.827894184783204,-0.0653732466236117,-0.988962415767754,0.259533926097478,-1.04410071136162,-0.988446246851142,-1.36638927943393,-0.686665176958004,0.407980744168926,-0.0722489316270209,-0.442490651295898,-0.638014077998889,-0.994513334658251,-0.81950686133072,0.459118633808884,-0.32463563658247,-0.818608378161499,-0.602443224758505,-0.910217562972801,-0.933340691456848,-0.272568318490345,0.408675572226567,-0.800124459050306,0.0427371804439337,-0.809382438113199,-0.728021070224144,-0.780162846279262,-0.83375076829121,-0.382197639746425,-0.39250931371282
"AGGA_Ns_2 (GE) - TPM",-0.679085048296433,-0.491940232534974,-0.225814149513297,0.3897495393536,-0.565004387436481,0.0561332317307175,0.242494020319543,0.395759225128264,-0.0811212970568424,0.713955831603998,-0.74355418151024,0.0936217567989966,-0.194872855315522,0.980379498835324,2.54489622075205,-0.341161594364013,0.307016008090875,-0.860992369622239,-0.335577548916162,0.156253090531265,-0.522816954190268,-0.4025030832751,0.48874659144664,0.373481756079683,-0.829870208036365,-0.987291557050112,-0.224605218017965,-0.8924426805247,-0.267419576260714,0.182597165048754,1.10691042843011,-0.0957960670304697,0.76100593237081,0.8191280155776,-1.11405647069444,0.143144659055803,-0.395789015874654,-0.0167279050216603,-0.610948211188746,-0.249538034469196,0.111155033534978,-1.14199594876512,-1.28311565290962,-1.43927475140995,-0.147517242086814,0.631930334392204,-0.586629099195123,0.589061328335463,-0.39250931371282
"AGGA_Ns_3 (GE) - TPM",-0.596182231984119,-0.980001370531516,0.142407547156643,0.197284634751188,-0.526125353064089,0.205686095259428,1.33468025024811,0.386998010117208,-0.437014811753909,-0.597893819850332,-0.0642023243788508,1.36018526248508,-0.212320817155067,-0.203834602723987,-0.501830400501769,-0.42057641873278,0.172629622771687,-0.49465939915209,-0.306262518479201,-0.269346676224913,-0.678569199107051,-1.19942965150594,0.790316447096084,-0.575049119513798,-1.18187236549917,-0.243214427427146,-0.814179419543342,-0.247994541797372,-0.358279759501043,0.0549329545334136,-0.944840010532911,-0.45998385130752,-0.0583295303347739,0.85690565420843,-0.916495885703181,-0.492156990216687,-0.0823384437018197,-0.799300863802051,1.39410192596014,-0.34250256140186,-0.883701834393811,-0.188240904576937,0.921380720420432,-0.610080585404302,0.0463448476585463,0.141544595014657,-0.271127912625208,0.0529581354635104,-0.39250931371282
"AGGA_Oss_1 (GE) - TPM",1.97872909840506,1.18856135226286,2.33841681413095,2.42169813384686,3.26483982732882,2.6122269231668,2.41489729740562,3.93197495891031,4.10668694252542,2.89804959131492,2.92475176312176,1.56062060705439,1.39736166510512,2.75706145171329,3.85251605472488,4.03536982734788,4.56017146098556,3.6443631340703,1.42544906368269,2.47382707961794,3.0150004574209,1.99314493439166,2.17895994063594,3.1826499167304,1.90402080202729,1.62065754705059,3.23673238113191,1.68824962309328,1.95361324476911,3.18730566048768,2.04822748335453,2.25552475131443,2.16742687362696,2.07633479391347,2.96628826484786,2.54518429592141,2.34633236784597,0.89833186020456,1.53158031809017,4.49848422800383,3.47471679484078,1.72812470064533,3.88985631857793,3.82399817487785,3.86604780678847,2.44142607022756,2.44617703038081,0.266282491178899,3.03710504926077
"AGGA_Oss_2 (GE) - TPM",2.00952929632609,1.57227547847493,2.53370880058546,2.33139119635074,1.77910266062087,0.990999930351176,1.88657640246235,1.70406659278718,2.54725224460256,0.984444791322683,3.39167071283612,1.39771746533456,1.6627800144238,1.45076948497951,0.827861515127483,3.4295989504094,2.32694003047891,2.3936173586686,2.85254934132047,1.88973122109142,1.96314098742816,2.88828881434116,1.26137829751712,2.07226676538346,3.02617663588453,2.42661331113332,3.34872311239861,3.86219576761756,2.00599989651898,3.42251415433296,1.32614625781328,2.60989893655489,2.69831819642457,2.12871407644898,1.60584298565577,1.16430536950674,1.78686260408526,1.60290120824651,1.98626334035005,3.04310536665274,1.16947666273547,1.74137398022361,1.0673090662403,1.90720897540691,2.49739874172334,1.33484805764211,3.95426984236302,1.79461704856874,0.44388040410415
"AGGA_Oss_3 (GE) - TPM",1.75338324776571,0.62311426166098,1.82845042106757,2.36064634300503,1.93052844560723,1.96775467418735,2.34771657046727,2.13971760756645,1.43639411925851,1.83682762788777,1.81430549437139,0.803183734999317,0.964602994401206,1.45143182615691,0.272741366723721,1.74412701814535,1.66313545923726,2.00579411288069,1.57665074669711,0.905513152376486,1.59305163079772,1.46254911709239,0.704388318767509,1.14615498564506,1.70448878298442,0.587903271009545,2.23253256539517,1.78048177069125,0.983322622836292,0.630915821393723,2.58802633610725,1.60643788867875,1.41562115430606,1.79716975143955,1.66829586441484,1.43691938135995,2.11739310154433,1.47933314397858,1.600057328969,1.64073475571738,1.93974444840128,1.25851313816601,1.13751025153612,1.46238044099009,1.890102308884,1.45760163307559,2.37546021404999,0.870283610539311,0.387032297940394
"AGGA_Oxs_1 (GE) - TPM",-0.337310552739192,-0.480717076191335,-0.305561130077484,0.686481896353052,-1.22658375361545,-0.554723578575333,-0.940077408311159,-0.696342174226709,0.146948460743797,-0.885971937244847,0.613824851825549,-1.13079686591419,-0.416821111887189,0.824442059873896,-0.243995190031215,-0.387748410536698,-0.132119884662519,0.186591264840223,-0.571436941522096,-0.108686146761329,-0.492165240002468,-1.39324393602141,0.17825766261684,-0.175833558422184,-0.359084064263662,-0.694691740422554,-0.408564734376222,0.919571064601059,-0.409192994822658,-0.234103404854002,1.48061346134648,-0.885456543019872,-0.337803059938144,0.0877778562546826,0.275204854868837,0.0968254974276695,-0.0697723288034076,-0.657341454632921,-1.27082902686276,-0.359284798355126,-0.0980962721601385,-0.726444337861444,-0.452009722662376,-0.621841279180599,-0.601915085365089,-0.753258418121246,-0.536639614857178,-0.510762856888986,-0.39250931371282
"AGGA_Oxs_2 (GE) - TPM",0.69004933692212,1.7730454293446,0.247218534437155,-0.0297311195528885,-0.579493403052138,-0.0177241269991354,-0.0277327821050426,0.364928589406844,0.221888537705965,-0.618691301602012,-0.0740125407907133,-1.04247795041672,1.40403557364237,0.144480171710145,-0.501830400501769,-0.412114894917337,-0.380967653368892,0.103468344569006,-0.0435379037628963,1.7798551613708,-0.623185680203551,-1.08832411049478,2.34983339345128,0.172258369951288,1.04439335090155,0.074438647955008,-0.335858460049787,-0.331407406973913,-0.579066325525377,0.655275193782288,0.311150154750339,-1.12770144319846,0.0577699156531858,-0.893721023020989,1.4413559595205,1.14399885864878,-1.29834595619206,0.451743270543007,-0.03746742245926,-0.426453858888443,0.0962553045351973,-0.512261716903456,-0.0390104708261053,0.0854322875442673,0.773040770665003,1.76738889892512,0.450438661459894,1.53045170026749,-0.39250931371282
"AGGA_Oxs_3 (GE) - TPM",1.55362209211868,3.2896251763658,0.441809375264895,0.0393351500925842,-0.451429814777526,1.47667963353369,1.94203647918289,1.28199005667219,1.8930152128644,0.647960347883795,0.308546381968929,1.3111247600187,1.95033881529419,-0.321732214777991,-0.501830400501769,-0.435936463034499,-0.374202630034848,0.177994289942041,-0.0130333144490671,1.08739507202902,-0.191968484590244,-1.28264183310835,0.552827852612741,1.08540966097738,1.41083672310163,1.5562501792927,-0.481901781231655,0.605497084612161,-1.4294127321679,-0.417878264319776,-0.28355582812494,-0.933114278960917,0.919448723203433,-1.06725661660147,-0.0963209292032532,0.208392373322819,-1.13041391150209,1.82595407656442,0.889459285691066,-0.242650444408845,0.189910905951248,1.31794610616374,-1.82493835575192,0.319162374223123,0.454818498736761,2.31106976158964,0.425903603329118,3.42017424974727,4.31234373701708
"AGGA_Sp_1 (GE) - TPM",0.846035749656168,-0.165575527719915,-0.268859543171049,-0.0683590212105773,-0.549451219588653,-0.849114339367888,-0.436929282861024,-0.591580110571678,0.0358390887913375,-1.29374552484667,-0.347601981926828,0.909265889586484,1.59470016019658,-1.68611202634039,-0.501830400501769,-0.359381098288272,-0.510479474174986,-0.192702206250879,0.55355596025897,-0.0642079951375287,-0.929065070887824,0.172477797026063,-0.844865662902769,-0.729488317413847,1.15358618679863,0.573282632624189,0.331106917437861,-0.609750231645421,0.185745587479824,-0.773532227988986,-0.999517485412397,-0.233930916057517,-0.160523461222567,-0.751765417828643,-1.11405647069444,-0.833035855898131,0.0292203001639242,-0.251805712232008,-0.115489009154452,-0.328740708560121,-0.821199487797411,-0.835106452362617,-0.503281546468768,-0.161609312177979,-0.292611137366756,-0.482932065728289,-0.543036121270715,-0.424510516860262,-0.39250931371282
"AGGA_Sp_2 (GE) - TPM",-0.59248312886698,-0.706674765390529,-0.331313649765805,-1.18355259345715,-0.402891253861227,-0.99227459924251,-0.934871551986763,-0.599836125970046,-0.566853527174217,-0.390458527296634,-0.120801727122158,0.522686632415527,0.584234451023621,0.291040650096482,-0.0734691721933348,-0.358823260125924,-0.575665971577635,-0.951179530136387,-0.0735622295226561,-0.200819837365282,-0.797376606055768,-0.295514780767988,-0.210729964295261,-1.28059551403231,-0.42145172310065,0.464881538740258,0.531983815933273,-0.429443288801561,-0.475998402640496,0.481139506204899,-0.625557334512695,-0.6780899143567,-0.666156045688558,-0.413813992822376,-0.601148601428257,-1.06262319548395,-1.09692567618878,-0.0215729308833377,0.120286258425451,-0.390884804698214,-0.74770516838188,-1.2214182646331,-0.794726463415531,-0.46633802464013,-0.857796036218204,-0.893240596378135,0.0937572977380168,0.132121798338501,-0.39250931371282
