"","NMC_RS00120","NMC_RS00260","NMC_RS00280","NMC_RS00390","NMC_RS00435","NMC_RS11570","NMC_RS00850","NMC_RS01165","NMC_RS01485","NMC_RS02100","NMC_RS02585","NMC_RS03765","NMC_RS03825","NMC_RS03950","NMC_RS03955","NMC_RS03960","NMC_RS12160","NMC_RS04380","NMC_RS04385","NMC_RS04390","NMC_RS05200","NMC_RS05210","NMC_RS05350","NMC_RS05710","NMC_RS05765","NMC_RS05770","NMC_RS05775","NMC_RS05780","NMC_RS05785","NMC_RS05965","NMC_RS06500","NMC_RS06505","NMC_RS06935","NMC_RS12625","NMC_RS07605","NMC_RS07970","NMC_RS08185","NMC_RS08615","NMC_RS08690","NMC_RS08785","NMC_RS08920","NMC_RS09220","NMC_RS09250","NMC_RS09390","NMC_RS09590","NMC_RS09710","NMC_RS10300","NMC_RS10720","NMC_RS10820","NMC_RS10830","NMC_RS10835","NMC_RS13390","NMC_RS11175"
"NMEN_Li_2 (GE) - TPM",-0.473872209686922,0.386043382796739,-0.702882859114182,-0.785554014839008,-0.227388879182006,1.21120696968184,-1.0789762087971,1.85058636013984,0.360946623667604,-0.00409312269982854,-1.39586930365681,-0.8827195496277,0.519812210548931,0.990141895246322,0.804437343364999,0.113494139140908,-0.288438404781369,0.764000153186091,0.925670821241387,2.73652305982017,-0.252177026688073,1.30184417805749,1.09845646321024,-0.775303973240549,-0.490873030474993,-0.378109524185788,-0.37177536353505,-0.248190022089596,0.529757040574308,0.988482084900147,0.86323392668923,0.1274914036491,-0.0894848388426217,1.48594035567915,-0.343226258218072,-0.941010053718167,-0.376070166752267,-0.672346558966133,1.80123674016345,-0.872806191129271,-0.217373781408716,-0.290967041165106,1.88876547176669,1.75941564778325,-0.458471749077124,-0.747307413760428,-0.542889275510363,0.250455833925449,-0.804317988851259,-0.143592691832629,-0.237380301720425,0.129999259525011,-0.844069757990298
"NMEN_Li_3 (GE) - TPM",-0.776747460870999,0.214744627834489,0.840197680804502,-0.793965644661572,-0.227388879182006,0.488781145955502,-0.372278519544936,0.498900935823228,-0.153652075641672,-0.0119043244057522,-1.43552236006935,0.471761977478074,0.706436582848902,1.0614801937445,0.4851280609616,0.0261269813397165,-0.288438404781369,0.361529977823851,0.54386428389284,2.22914818237561,-0.32739950332348,1.01134292299492,0.451336224735229,-1.14350358503862,-0.499599527619674,-0.452371120986648,-0.460113613037474,-0.270223837609745,0.327398928368357,0.920384123744451,0.722530592561154,0.272264506678502,1.8085993799863,0.691260522858617,-0.0162687729535836,-1.26059456403351,-0.825111753205165,-0.419500059915234,1.13730014175283,-0.49541458741255,-0.628562658209666,-0.00399061927571231,0.227828620954355,2.00023689868784,1.28159329754263,0.138702514427681,-0.501534366589783,-0.205622815420953,-0.709376249329335,-1.71599968216679,-0.6723085206967,-0.714128067209557,-0.901637057440676
"NMEN_Mig_1 (GE) - TPM",1.26101713241632,1.25471982715695,2.5021564556048,0.222748956533856,-0.227388879182006,-0.427683461018313,-0.66539551495162,-0.529671430475366,2.19729903049267,0.402489989185759,-1.4390046669121,-0.380171453548759,0.881687651457565,-0.174737378271196,-0.948032345037159,0.625782119852283,-0.288438404781369,0.132817836266096,-0.0977881882901601,-0.408813736671866,-0.718809959932072,0.10393671739268,-0.339110245453346,0.94194933602993,1.80768954407402,1.3947082553045,1.61812355778472,1.34446959204784,0.599624499279464,-0.00837916161101109,-0.415216573274772,-0.102582423191402,-0.377274434327552,-0.774731357019182,1.29599203917476,-1.07734540547091,0.443147644954864,-0.350022152028584,-0.312224554516093,0.149207085439539,-0.0657969927591163,-0.732615599986247,-1.20777480646246,-0.719986531071445,-0.577966076532663,0.869512324544374,1.23050911248359,2.52650729182653,1.00340461038645,0.524417496806652,1.26002625325391,-1.2158644637004,1.74200056693601
"NMEN_Mig_2 (GE) - TPM",1.00770211012101,0.464262707244985,0.120343900894755,0.323322211207708,-0.227388879182006,-0.427683461018313,-0.112472802479092,0.58461000705492,1.56744691095907,1.5569359621849,-0.0267839992105951,0.819475382827621,-0.390074253058167,-0.599777123626756,-0.539809563015014,-0.0259641649035424,-0.288438404781369,-0.251505940906163,0.5401814486919,-0.39764114651051,-0.410332426607719,-0.622778780455103,-1.29450046500291,0.194310788985453,0.714641425118102,0.462031636152492,0.837212004192924,1.09103689181761,-0.425602851015964,0.223021404969807,-0.242977010948793,-0.22978131961852,0.371313020255118,0.284630638095064,1.87292712534385,-0.0409200122225747,0.331893967470854,0.151685938991195,-0.317073840848917,1.15763417467263,0.708020279126677,-0.324205372733128,0.95674101415033,0.732717470993615,0.495653860279738,2.07616646033068,1.40639200030377,0.736383452026606,0.0223672047975556,-0.400405878598954,2.23537914022938,-0.425009731320984,0.843138770156717
"NMEN_Mig_3 (GE) - TPM",0.843672519030034,0.924656331973749,0.572074866122704,-0.0594018991710061,-0.227388879182006,-0.427683461018313,-0.34212048735392,1.03830121025077,0.355391474384728,0.256766709515314,-1.00306845009017,-0.958130518545978,0.27773875058937,-0.386621905017075,-0.719038710025951,-0.130259341186141,-0.288438404781369,-0.311119831000415,-0.138784666488945,-0.510178891751199,-0.224188831914432,-0.163244601488203,-1.0587214003702,1.36600075111158,1.34223873397513,1.66061151881566,1.80543265471463,1.37904255664814,0.680757125208603,-1.41195089153682,-0.567017996404267,-0.218139330110067,0.0849904759291886,-0.140757006527641,0.166905233483957,-1.42512582827407,-0.762986513428739,-0.386890612984175,-0.0766924542246683,1.14992780168883,-0.638238189616612,-0.338380344983386,0.323860967001174,0.0877350507014774,-1.54883559222734,0.928287833710523,2.09618317501888,-0.77433733937155,0.536260861874946,1.3879885212346,1.57292549706559,-1.2158644637004,1.54230958639644
"NMEN_Nd_1 (GE) - TPM",0.86264434868839,1.33465842155422,1.41786696883162,2.06885027284176,5.16100859664449,-0.427683461018313,0.866624081118025,2.1255890400856,1.3066246379155,1.68232724323576,1.83936291790601,0.930762309193701,1.82325962801413,1.20821987372759,2.28088854398062,1.91437502271841,-0.288438404781369,2.83898330986878,2.19761550188248,0.256232603214096,1.6611685237177,1.59869834919148,0.273920665921578,0.428332254508315,2.72091564042982,2.64811554253704,2.31386796606369,1.95797752536575,1.97780299818581,1.12997517115943,2.6269534288351,3.28271576109199,0.341784567895088,0.138528286330214,2.32787025450526,3.17679411387772,1.06400167773795,2.0890139749505,1.87203015819044,1.61924659473212,2.23404415873543,-0.050758523241156,2.69083702193174,0.312086202077315,1.0409914880425,0.980217247133807,1.24400365558529,1.36935546435471,1.25975640835984,1.50489383373521,1.48388411508636,0.155289419436863,2.12916100232682
"NMEN_Nd_2 (GE) - TPM",2.6846620521035,2.16573209834687,2.54667027399103,2.66542553354972,-0.227388879182006,4.73038311035964,2.89546773703247,3.08364664960434,2.00118706252985,2.55960909601006,1.68114586424001,2.98567282574184,2.98831787668734,2.35817291526558,2.89744464687066,3.28464401416258,4.3369363135888,3.47773147947235,3.59924172013129,0.953191105733524,4.51318459016964,2.34680692479746,2.9430426275885,3.18227925609698,2.88595188473845,3.40101965558064,2.83586053887529,3.58123006794255,3.92882579844772,3.05505814173874,3.21925303410253,2.74096285540045,2.97748467882012,1.3310745979558,2.57749911448028,2.81338942668557,1.48080910401957,3.15663647326473,1.99953402288883,2.47480268317023,1.50268895913502,5.47624604013716,1.27112014896664,1.49947572311617,1.70415556093601,1.81445089177957,1.94671632990796,2.63511816237825,3.22475449576108,2.98090216333999,1.85091005350911,2.07866686157798,2.2726554370677
"NMEN_Nd_3 (GE) - TPM",1.64752558124472,2.79059781449449,1.53162647117014,3.5066077869243,-0.227388879182006,-0.427683461018313,3.65750739129859,1.22632225817495,2.0195922400336,2.65545532346329,2.53350950516863,2.75987565908313,1.99420965191037,1.33133570088251,1.4811761896147,1.41256075117401,-0.288438404781369,1.63767779327175,1.33122028689683,1.25377438188926,0.681799130044921,0.667848360818268,1.54229159612319,1.93341847938622,2.61714246059975,2.15398927065781,2.06339980905292,1.79871841329548,2.23968892376578,1.42937921757893,2.97605425080386,3.08256937679111,1.83531926279724,2.31384836310678,1.74880353816429,2.0797200714011,0.665561308795159,2.71846986388813,1.6010900804629,2.58069714560006,3.35051266942415,0.114093753965716,1.03412557262067,2.0717668490411,1.75968278033853,2.87749831240099,2.48404506638522,2.13350023182772,1.17581827610336,1.4705604265442,2.20138271804202,0.494035976663805,2.06336906982668
"NMEN_Ns_1 (GE) - TPM",-0.389232116854262,-0.907991855600527,-0.168198936185384,-0.589835993513004,-0.227388879182006,-0.427683461018313,-0.672368123182107,0.630374261203206,-0.196756711700429,-0.612662597800439,0.403409672994898,-0.716672796615977,0.530587239979211,1.12880898491723,0.340829540736528,0.344364939071721,-0.288438404781369,0.222886286447528,0.585565410141858,0.94228325062106,0.395429068390243,1.81825249358423,0.0307638750744268,0.0692128391918587,-0.401209671251397,-0.342977751521652,-0.446959533373407,-0.305573629823184,-0.14549057197701,-0.507203922781196,-0.153830761398603,-0.104072285925709,-0.0984612823036081,-0.853314810525834,-0.337810073688562,0.090684220618052,2.65491060933701,0.286601446780868,0.528655057709896,-0.366774065458993,0.445175331340553,-0.208278880830892,-0.320240991911577,-0.0192302625024442,-0.0254583517074258,-0.92492736524341,-0.587820739596565,-0.622942248568142,-0.692980192260687,-0.752203104558295,-0.0515443086802965,-0.187483460647416,-0.108587119881793
"NMEN_Ns_2 (GE) - TPM",-0.739346971916953,-0.888920763547745,-0.561488515645152,-0.846329047906116,-0.227388879182006,0.0723304318879856,-0.783892637514541,0.463538610242841,0.130652680012121,0.349700772370711,0.710416924629113,-1.32064324668101,-0.120298745422973,0.799734545756009,1.21800897242445,0.133056812192817,-0.288438404781369,0.178931646754187,0.435937660984568,1.07060382981169,1.22983029851229,2.03224650743695,2.13099485175148,-0.0198122001405233,-0.447457557996595,-0.356844822684253,-0.378467686676883,-0.396243069340086,-0.00159270343005994,-0.122537487434993,-0.109674775701578,-0.417589361903279,-0.167354196633311,-0.097085281114962,-0.0729468974306007,0.526582761405075,2.73125264516417,0.743205505038504,0.646881019491484,-0.393522048763312,0.143006107529831,0.00779421801916238,0.883475762281827,-0.909550850890931,-1.06800897764035,-0.954138246894083,-0.728214170862628,-0.315071677290172,0.277894286360197,-0.300890187904857,-0.0756401763802887,0.289718423034416,-0.373085943807529
"NMEN_Ns_3 (GE) - TPM",-0.291755389296431,-1.07868911635352,-0.791157510413262,-0.46335968809837,-0.227388879182006,0.126656484846563,-0.962970690050278,0.0932291785236894,-0.556821976578972,-0.209727562940605,0.632117795401252,-0.872642926539332,0.00907558482389883,0.653964721429709,0.599628115650115,-0.230506679479359,2.69410934205441,-0.0371887496467916,-0.0705918216859572,0.590148079494517,0.612917724537511,1.36144837134547,1.07673132780017,-0.48566352072017,-0.470781992600905,-0.435033070705724,-0.42715636267064,-0.404814846554574,-0.287949877478751,-0.148482595074834,-0.290347316074628,-0.477307431774746,-0.34740000109242,0.0945283526119838,-0.815219887977134,0.0526745454420066,2.11006997414978,0.22886672657669,0.416375921564679,-0.75415644530332,0.277067131608024,-0.255169776234303,0.0592103210086092,-0.418995229462029,-1.13061881315206,-0.88636217104426,-0.624414628068286,-0.00921649903362532,-0.0360661668282784,-0.714083437449475,-0.0124551289107906,-0.608896066206293,-0.615942967427103
"NMEN_Oss_1 (GE) - TPM",-2.13858962203392,-1.19565145272127,0.172916034858991,-1.1552463277279,-0.227388879182006,-0.427683461018313,-0.790168901298128,-0.712324578484207,-1.86270260681951,-1.74356342743688,-0.840520860251589,-1.3240472742575,-0.791651982125834,-0.967658137816376,-1.09561066447156,-1.21504581439279,-0.288438404781369,-1.10370772245772,-0.905377158141379,-0.622666278767096,-0.577012137563855,-0.742283688911843,-0.0436406871855649,-1.5303674459414,-0.501035258635203,-0.532386624106935,-0.60748686213764,-0.6627998888303,-0.775549234916375,-1.28623905684024,-0.334311698192067,-0.445849355933757,-1.51455765087679,-0.628014371259243,-1.51592730538959,-0.472946078542515,-0.61972742803404,-0.800139354873621,-0.767700396807226,-1.07443931408203,-1.28408184116583,-0.890091050615436,-0.587271261119298,-1.26977137412999,-1.419885555821,-1.83076233005637,-1.45708788936416,-0.807924757261396,0.865839840018818,0.372050645045241,-1.03240799893782,1.6923921648224,0.174693859976599
"NMEN_Oss_2 (GE) - TPM",-1.99742857409243,-1.1944326214784,0.459122442129095,-1.21961786731979,-0.227388879182006,1.30863545097883,-0.754312892863086,-0.779245918399983,-1.89280465938274,-2.06979289853222,-1.1664542157536,-0.438326220863402,-1.02593299544326,-1.10372224498971,-1.23138226545021,-1.43277924921121,-0.288438404781369,-1.07180249323025,-1.00917437458551,-0.93366384447218,-0.657013303810372,-0.866342688619818,-0.0991366374715599,-1.65819979703021,-0.591834724752502,-0.580605105229999,-0.673103843310322,-0.696630958270409,-0.841732011699908,-1.86236727385505,-0.50126233087617,-0.64056320538465,-1.82949252502607,-1.32347770951379,-1.5978954460304,-0.820587186346007,-0.725938672316701,-0.977922745970029,-0.833145423918524,-0.943750248309965,-1.12401334432094,-0.844703875145509,-1.06415650031409,-1.84656122566251,-0.524414658714013,-1.85811585333726,-1.66638914940851,-1.57705751747711,-0.804254241820372,-0.126210142029603,-1.11431087420212,-1.2158644637004,-0.761631446359469
"NMEN_Oss_3 (GE) - TPM",-1.85428281946828,-1.51952008267265,-0.440044609864452,-1.2381423784183,-0.227388879182006,-0.427683461018313,-0.633513673365073,-0.750672845089178,-1.86579235435246,-2.14251447650842,-1.73140420704595,-0.249000650450042,-0.928739701838633,-1.21623446940459,-1.16895760941356,-1.28784982386926,-0.288438404781369,-1.08084135880346,-1.23006727848329,-0.726769851708631,-0.718809959932072,-0.896723923958858,-1.56363398088579,-1.5156174141116,-0.527212451594995,-0.517821498045308,-0.727350570237655,-0.780736004664391,-0.754967365178856,-2.35699604368759,-0.655488951907179,-0.8832788685552,-1.23551837832554,-1.19965820001122,-1.30194250026244,-1.17981455395777,-0.946285894840752,-1.08353717998234,-1.19659374242695,-1.30802547105513,-1.55843682484011,-1.0740023925152,-1.41572127864708,-1.52087385552986,-1.3017657413264,-1.35753364401728,-1.91019825414257,0.372545459785501,-0.0735105240874616,-0.437130411431567,-1.15105282600824,-1.2158644637004,-1.26107329345691
"NMEN_Oxs_1 (GE) - TPM",0.0157087285893298,0.628385993166999,-0.467933638807479,0.904449207178131,-0.227388879182006,-0.427683461018313,0.246735099303662,-0.803096459932071,-0.144100531675981,0.00530254072774747,0.488827596513376,-0.126567468089864,-0.0683259683501136,0.0551732414816643,0.219571733815505,0.216827732103588,-0.288438404781369,-0.450923938428725,-0.690351262558603,-0.750130352053802,-0.432033944128973,-0.625652993754666,-1.12650916472184,-0.576358966165837,-0.430201476578582,-0.437721420263214,-0.433654469790309,-0.447353714863,-0.825203688140767,-0.963629387899062,-0.355469282637833,-0.619015621393959,-0.977878908301509,-1.36208799303647,-0.777993070393329,-0.28645901353817,-0.499703298941911,-0.782492362372133,-0.743802731416087,-0.3850402235028,-1.12681775861044,-0.366846474459578,-0.187431318994692,-0.987739276681918,-1.32365434898576,-0.323494617902688,-0.225959550698089,-0.622799429137647,0.392981132609697,-0.755412407001817,-0.168871991627829,-1.2158644637004,-0.162134230012334
"NMEN_Oxs_2 (GE) - TPM",0.558576939386323,-0.216896638540443,-1.410142791599,0.258937877792928,-0.227388879182006,-0.427683461018313,-0.612657176121149,-0.740815297854684,-0.183503954287271,-0.360906955773979,0.820266656250112,-0.292782885369578,-0.373270776183409,-0.518440212912331,-0.0569030121284647,-0.228586848347073,-0.288438404781369,-0.518960219380605,-0.667857054265015,-0.699376279145429,-0.548126248740556,-0.827863785660537,-1.17660780449203,-0.668270691431062,-0.538512020865211,-0.467913369128731,-0.549773512830172,-0.471002709549473,-0.689476935100595,0.143072426829618,-0.576365884178647,-0.411485672592689,-1.4504344425661,-1.86068623762334,-0.938214254971812,-0.213389567129124,-0.786741281447942,-0.662471664893412,-0.745737871233089,-0.536017594257095,0.465368047403533,-0.315909296267711,-0.642796132729537,-1.28512829635372,-0.944986550913694,-0.575892406678419,-0.14389667616307,-0.0290221078325577,-1.41854359299487,-0.871711913291777,-0.316678992513534,-1.2158644637004,-0.356810011557416
