"","D7S_RS00235","D7S_RS00245","D7S_RS00305","D7S_RS00500","D7S_RS01280","D7S_RS01450","D7S_RS01975","D7S_RS02025","D7S_RS02040","D7S_RS02045","D7S_RS02260","D7S_RS02305","D7S_RS02935","D7S_RS02955","D7S_RS02995","D7S_RS03010","D7S_RS03385","D7S_RS03455","D7S_RS03520","D7S_RS04055","D7S_RS04065","D7S_RS04085","D7S_RS04125","D7S_RS04245","D7S_RS04250","D7S_RS04255","D7S_RS04595","D7S_RS04705","D7S_RS04785","D7S_RS05195","D7S_RS05295","D7S_RS05305","D7S_RS05310","D7S_RS05520","D7S_RS05815","D7S_RS06370","D7S_RS06520","D7S_RS06685","D7S_RS06790","D7S_RS06985","D7S_RS07785","D7S_RS07815","D7S_RS08110","D7S_RS08220","D7S_RS08235","D7S_RS08320","D7S_RS08800","D7S_RS08835","D7S_RS08945","D7S_RS09755","D7S_RS09810","D7S_RS10225","D7S_RS10350","D7S_RS10410","D7S_RS10820","D7S_RS10875","D7S_RS10880","D7S_RS10885","D7S_RS11040","D7S_RS11400","D7S_RS11500"
"AGGA_Li_2 (GE) - TPM",-1.17870192202288,-0.71342233737343,-1.00005415749643,2.16476986337652,0.718012268033931,-1.03304053864048,-1.09426404973112,1.7812839969555,-1.02378501765465,-0.912613029221185,-0.7112933555727,-1.2973115136541,-1.3054405124248,1.89480395693367,-1.62168710003501,-1.15350262196238,-0.689915212464064,-0.771069482147127,2.34747727516765,-1.797950323781,-0.352090624742662,-0.969656514338268,-0.28448081619454,-1.33439071292034,-1.26877962632113,-0.129784954774169,1.38489004712458,-1.14575801488365,-1.51722904595059,1.33289403916122,0.141907034440962,-0.9469273349439,-0.87400711394473,1.68992519946071,-1.07367188115855,0.67093775493987,1.19748407337512,0.777442350836213,-1.20412240762622,-0.103665414600525,-0.149593024660551,0.680947485866247,1.24774861059509,0.969681449666034,0.514585614495833,-0.595738195245381,-0.282815661426603,-0.991891257034979,-0.597400396403499,-1.33062524128683,-1.33149127841134,1.34046589587745,1.73730733242798,-1.3363451388926,1.54017552579779,-1.14828873292784,-0.626179800184257,-1.02732959358697,-0.860813181513034,-0.928458103069327,1.68383055768539
"AGGA_Li_3 (GE) - TPM",-1.18316762244516,-0.139708013882329,-0.964997287516941,2.43203928994816,0.373824144238561,-0.885568972187822,-0.589443072103733,0.634815679416058,-0.93601256222264,-0.45560479240831,-0.771751540139488,-0.664013647213209,-0.858155057090189,1.58197117404435,-0.963128590111924,-1.11051377378649,0.243313903551466,-0.57095664239512,1.66417745665177,-1.59717075409704,-0.989142781200146,-1.20208471470956,-0.928976046264978,-1.08634522818717,-1.28473014647126,-0.3277864854655,1.34757867735203,-1.08712300571039,0.222276158359902,0.0573754340845057,0.51033596486985,-1.65930392923523,-1.46378502928703,0.86850204749087,-1.21255122707221,-0.571945734696911,-0.168675941758976,-0.230471025454126,-1.22636887820715,-0.326964204309382,0.506518595479503,1.10595632883584,2.95133500086181,1.92856504371941,1.03127942151491,-0.458344322150628,-0.00249280626153509,-0.977153926839155,-0.652752383084611,-1.10716932969046,-1.26759209744547,0.667952216624793,1.54249595081774,-0.813088157746105,-0.855465215033356,-0.866323175077639,-0.502197338091303,-0.919253834613548,-0.806320261377242,-0.858984855610993,3.30205621664099
"AGGA_Mig_1 (GE) - TPM",0.0572181139615478,-0.15122207026217,-0.254704617638136,0.283645400738335,0.0343659136593824,-0.37350909140599,0.558675396222662,-0.300770683054426,-0.160233100023841,-0.102245685815176,-0.724103935855932,-0.239130117047409,-0.3075353121019,0.451658944378863,0.22608805676813,-0.168254116237023,-0.137982927507238,-0.616669233653062,0.00970796905772674,0.0863862853765198,-0.515463088327273,0.418665675810967,-0.406649206060875,0.57919313475913,0.495617047405788,-0.297077849086684,1.14744385952058,0.200315672685501,0.199125569260702,0.762378365955365,0.454883424088535,0.411230659984295,-0.734989324122282,-0.391812002620116,0.209696150313821,0.359339996026262,-0.516751967912704,-0.708391815036235,0.00448680313567089,-0.336462667804116,-0.0203178589619852,-0.107124591232706,-1.09563886255844,-0.0675286204293693,-0.970150530513923,-0.129956966551683,-0.509609668301812,-0.617928819112129,0.00506363720329159,0.22158871375518,-0.219712849149915,0.0626486468629665,1.16103248163412,0.526988014212219,0.860172182780723,1.04971389189779,-0.364778085933308,0.0210928118259191,-0.196579273895697,-0.333655103050079,-1.40436317552425
"AGGA_Mig_2 (GE) - TPM",-0.486179488316202,-0.189809828679618,-0.721353673421789,1.32101686905927,0.672559008273832,-0.192602378522124,1.44933149319818,0.154932442677395,0.270543633424971,0.107436580854344,-0.572007639586907,-0.0634302173383018,-0.450132588066679,1.76548902093523,0.0703636435424765,-0.623602872960176,-0.376566834317438,-0.200146839553953,-0.11213415872675,0.834013861190227,-0.524330208453945,0.307637342416179,0.00466220977833571,0.304349514480787,0.70591713134815,-1.04931463506031,-0.251293156011576,-0.178017749059567,0.266942147105549,1.74941036430435,0.373413630370373,-0.151886343112154,-0.81438561688486,-0.868067048436153,-0.0740676518717356,0.829783264046907,-0.0240980791674549,-0.284832239390303,-0.0748304028791048,-0.146682359711466,-0.431341714481325,-0.6165645899814,-1.35911501497574,2.22576662896934,-1.07148788911474,0.398019535792811,-0.935704377238426,-1.09923637293207,-0.171923772268001,0.680201767951361,-0.688648882308605,0.752837279712243,1.65251445257807,0.629214689346523,0.644364981048071,-0.278991011347281,-0.150573425329752,-0.0413952754905801,-0.417538867599257,-0.610668016231837,2.23821220348864
"AGGA_Mig_3 (GE) - TPM",-0.409613436801651,-0.253061661452703,-0.385411467872063,0.80728197312802,0.868849586556592,-0.396668571541534,0.69845327151372,-0.193774309528235,-0.243981293258414,-0.230052502965885,-0.730532177510249,0.304178746414791,-0.698863121208289,0.810909568314749,-0.319228895920615,-0.416642204371141,0.194605215666003,-0.527753019997038,0.361218055477802,0.340269485657668,-0.505036822935743,0.170067847609858,-0.557154758695918,0.533129949579966,0.760674467724083,-0.608750930536096,0.459698181232694,-0.202211767117232,-0.0156916067301468,1.51414927947885,0.101144040483914,-0.131464276972468,-0.152622938967328,-0.668772146718782,-0.231218053402047,1.04928455298174,-0.263951888832656,-0.161747854199545,0.0411629474212236,0.450048498301836,-0.245600687818159,-0.318265453371209,-0.906803941209896,1.14313370837671,-0.522984419425311,0.442649554642382,-0.0453856809670602,-0.617541049352739,0.198381506705834,0.143945644153448,-0.310552885780299,0.899215299793314,1.86425484469735,0.454279405366981,0.634524635097368,0.180954797957271,-0.361960550632011,-0.0610671813465202,-0.451100937352171,-0.422842519797414,0.597447273464907
"AGGA_Nd_1 (GE) - TPM",2.51763519773046,2.67618526688228,2.83503967054673,-1.32565365752932,-1.45661200883057,1.11931669104837,1.70081084245577,-1.5320835288192,2.36413627354313,2.31503373922791,3.55614398337019,0.695740154501982,2.22697102911848,-1.2013885420992,2.45622184755045,2.11772310314205,2.24291915574838,1.35955973871978,-1.2260783280042,1.21735663386721,2.15730981348644,2.10681148434948,2.79134937002247,2.55454288453096,1.39523879453254,2.36174602235163,-1.07052215883554,1.68428827975159,1.1114388173912,-1.3260771956356,2.66642080853658,3.33512319697861,3.15954383772893,-1.41063666347937,1.24695970636636,-1.26655581345039,-1.41444184839619,-0.875752569704986,1.17993799687548,-0.591786893515999,1.26370073534574,-1.92000118049846,-0.653218936355447,-1.41389184466834,-1.06854970000474,2.34638710055876,2.42422521855913,1.48686767047871,2.45711566423498,1.00824971734497,2.68955563960107,-1.59393326219953,-1.66887723685767,1.89735165383893,-1.49357772640192,1.40261665323978,0.117844273583724,0.482823373490573,2.72582083205681,3.49426146375896,-1.32098169965061
"AGGA_Nd_2 (GE) - TPM",2.18258208814434,2.82907378771946,2.55038418024748,-1.99314152520922,-1.98234938131138,2.98963338786899,1.6409480329438,-1.58950483296049,3.39298360945263,2.79802294263703,1.31248933293373,1.35618434360772,2.32711395032982,-1.21603421843828,2.42794010205828,3.13878103232894,1.33638440438149,2.67982770198619,-1.37513850306274,2.22332986708384,2.95456695101532,1.75940321840649,1.44745592130183,1.64878244160217,2.05581818015252,1.94403708938071,-1.76434797152943,2.80491471486649,1.36604616087491,-1.7295241748862,1.91710066607205,2.27548237010182,1.89567762372959,-1.56239841091258,1.70689912412846,-1.32694936985402,-1.70778785241242,-1.18157522248631,3.11309229143979,-1.20371695367989,0.14622845576237,-1.98371965133402,-0.975649644700172,-1.59481920550313,-1.0448750711725,2.33997837351969,1.73955922271261,2.56294739226549,2.57067532439259,2.55480664199882,1.94703745067113,-0.980346336934791,-1.63955413829232,1.80278176684523,-1.62647808764347,0.986809256639254,1.55058314269656,2.25696394199277,2.91380034128164,2.78430453370966,-1.46858953154199
"AGGA_Nd_3 (GE) - TPM",2.17596112310307,2.09146671005125,2.42562585621017,-1.36970670190002,-1.88681915512376,1.61993347847368,2.8787451037054,-1.56783633758862,2.912074296145,2.86825699029669,1.8918311993135,1.42063885715713,1.62445109527073,-1.26248586922983,2.01356352149574,1.97003795329813,1.52857176650789,1.95967383853865,-1.09269615344601,1.51451865793462,2.69130688836466,1.86465818159378,2.74662012335379,1.95809069137322,1.33374051420026,2.21635278184491,-1.49826337954346,2.10421122643421,1.64878129921993,-1.31141038023015,1.90902045023516,2.140916313928,2.22542400047485,-1.49652102775612,1.22487908649642,-1.2232768763791,-1.03711524033,-1.05357023068255,2.36175804004662,-1.61946006466138,1.72126933080902,-1.60986098206416,-1.06696104721819,-1.48963627637409,-0.70906597724791,1.59560975568591,2.31314206866049,1.48626296433932,2.08205085008412,2.40917128954659,1.9691671285913,-1.34381262490471,-1.62794145219483,2.12628120226652,-1.31689954749243,1.32888950231751,1.78295165808583,1.92459137151972,2.62450434898052,2.41896295953122,-1.01937810155722
"AGGA_Ns_1 (GE) - TPM",-0.768682206457485,-1.13061500362275,-0.823381499129186,-0.705190081657095,1.79896726526631,-1.02240965027413,-0.72208195830605,0.646461957331034,-0.736194688307594,-0.405485206239894,-1.00162232251307,-0.310467721259532,-0.57214333206713,1.4210992203191,-0.647192266625695,-1.10763441259395,-1.17732807285441,-0.962120478714346,0.265732540070349,-0.632513644230405,-0.425315045792658,-1.13526689948913,-1.01233176377352,-1.29345788916768,-1.01312613569954,-0.411915451642041,0.615181931631622,-1.20701080512204,-0.468899885162527,0.519944868428278,-0.737677786932357,-0.530971277253073,-0.625255597855069,-0.307530456895452,-0.473696361800572,-0.233296067900633,0.667967433920425,-0.135384028119713,-1.28498814542919,-0.516795577209937,-0.502908520691601,1.16027667045113,-0.271778462916714,0.232618023664517,0.330765647503802,-0.363066910305114,-1.25841933937579,-1.21212753427708,-0.81257665888731,-0.800093304750352,-1.28119365640681,-0.363136632369192,0.758462343532869,-0.820262931600576,0.341823692653625,-1.0211288946327,-0.796143180502392,-1.42748091003017,-0.932705541885837,-0.648947446097024,-0.318296678951459
"AGGA_Ns_2 (GE) - TPM",-0.960112048595193,-1.20088321815,-0.945247033128875,1.04841285853662,1.73415534889787,-1.11405382173816,-0.703098678205991,2.25655968235784,-1.04821276497138,-1.23148281306045,-1.06624893647217,-1.34064371193757,-1.58539524918395,1.36013467311005,-0.750412686517499,-1.10966677738232,-1.24414902797778,-1.14719725121285,1.86220722853608,-1.25020526904892,-1.1420931222856,-1.61235110697191,-0.900995653120242,-1.40728525996375,-1.60219626683767,-0.94832647384363,0.642600467450727,-0.937519763414047,-1.46447539694747,1.49540463365251,-1.17759740636312,-0.691257418814439,-0.59606594067314,1.41772910674025,-0.834656394577705,1.70092683910058,1.92166164276635,1.45317145915286,-1.16312299543895,0.943381530742393,-0.387833562525334,0.958079350450146,2.29066565435422,1.25177805649351,2.64592987301038,-1.27699037118658,-0.876526739964859,-1.14523797063888,-1.19976856297088,-0.895506323520358,-1.41720113532089,2.31062963077109,1.16036989263358,-1.43227392272462,1.42477702943204,-1.0713579122304,-0.574010832351119,-1.13828570768677,-1.06870781154374,-0.904332571996696,0.26601190030097
"AGGA_Ns_3 (GE) - TPM",-1.3524559772686,-1.23694781171828,-0.974099242784199,0.383808310584361,2.49306663825719,-0.995120665471533,0.0136680624800035,1.46600922968899,-0.65581100013978,-0.973044111693755,-1.12777335842959,-1.40171060918039,-1.67771276616369,1.14464858160426,-0.33176738028227,-1.12354352384499,-1.51348332245239,-1.01400051166461,1.41184335538549,-1.16117903012674,-1.0749472872441,-1.24248671386656,-1.40844314407103,-1.62451728526107,-1.46325732413536,-1.13755438577302,0.86524110781813,-1.05408696564584,-0.830051237357628,0.606336166832352,-0.89507401487397,-1.21175368526515,-0.120166248385934,1.33702613575951,-0.865852594368194,0.0845345054220185,1.36695348902569,1.31399033274354,-1.16148562037607,0.566918258582625,0.670622707786236,2.2082018616462,0.469686152979799,1.39158774832386,2.21906991299438,-0.984366545627889,-1.27104626312506,-1.18889442127862,-1.02104844888178,-0.78561260262833,-1.44302704073454,1.14535001732297,1.16475748690985,-1.27834281901153,0.917871562310077,-1.51150792703748,-1.03947496399302,-1.29709671205357,-1.03856098322425,-0.873293019589264,0.413419886058796
"AGGA_Oss_1 (GE) - TPM",0.446009904224822,0.496958782110028,0.69007332697206,-0.273589707573005,0.568471591456227,0.817096084011287,0.0132480986930298,-0.576788621090559,0.560198082766878,0.237070363392439,-0.0689083529040577,1.43791925754495,1.08075880753038,0.0124132835408757,0.641830844792033,0.448651526903975,2.10711802312635,0.778072101082957,-0.784998918971093,0.486917985339391,0.91097900059521,1.18607199128903,-0.0292528823022776,1.29947770167223,0.737535291386574,0.1217041907193,-1.28032673542911,0.839242517837467,0.456075201565432,-1.2575348101128,0.150063604436052,-0.364315654124311,0.31879963854379,-0.475916239341591,1.42846808656653,-0.695998425778776,1.19817671516102,1.17398942323814,0.610907395865302,-1.15065646395999,1.20449127883022,-0.699887615577302,0.143279604867325,-0.881481826201708,-0.388020552737969,0.931678864073049,1.49486429387572,0.95498568694245,0.0351911346904505,0.43143358710257,0.285308112985107,-1.12052796872757,-0.247236725036337,0.902410923640519,0.977723053897044,0.435589656009701,0.79018278776316,0.392553935888802,0.467587706079913,0.288148135336524,-1.02222122955815
"AGGA_Oss_2 (GE) - TPM",-0.0255221498390729,-0.0839717699422801,0.0128754946879672,0.48822185084544,0.649359617337499,0.0503269899727739,0.107168714913592,0.437860183532081,-0.348855586703964,0.164927774545283,-0.320133342900672,1.07203353541729,0.225958599083584,0.933000282483309,0.236972453210489,0.276803752331302,1.50707180428941,0.309665404162647,-0.217936795404539,0.816963870270014,0.162786428939965,0.995710094620418,-0.318870047266075,0.501741701919094,0.596623936449489,-0.441345392790403,-0.758619742684894,-0.217542319788707,0.87193298207519,0.291253022304626,-0.166318451498372,-0.634544527951362,0.0229469724741166,0.176971968853536,-0.229464343429173,-0.179859637480274,0.314711370177305,0.523305232398859,-0.112238920047367,0.0763642721136577,1.59450782886504,0.0367291253945033,0.450504572351475,0.191370523520981,1.87621052841678,0.176677272472183,1.05139478277817,0.0247369166838558,-0.509953475734039,0.223655595033883,0.376373259708399,0.272736329127262,0.275564510111288,0.211936606509131,1.88057034766339,0.134162148724187,-0.00823146331053941,-0.310945464758394,-0.113720823371018,-0.12726965209629,0.120914688691489
