"","lmo0030","lmo0032","lmo0048","lmo0049","lmo0130","lmo0517","lmo0873","lmo1188","lmo1190","lmo1191","lmo1192","lmo1194","lmo1389","lmo1390","lmo1391","lmo1594","lmo1612","lmo1718","lmo1719","lmo1955","lmo1972","lmo1973","lmo1993","lmo2099","lmo2773","lmo2786","lmo2787","lmo2788","lmo2831","lmo2832","lmo2851"
"Listeria_Oxs_1 (GE) - TPM",0.615678195832019,0.0677774812079584,1.00746698478143,0.996175928952988,0.723461357623946,0.307769865172718,-0.428204569561352,0.423978641266237,0.921198370791475,0.413689951413289,0.163461520562792,-0.99080313808771,0.855698842580335,0.346816733368572,0.188191585152677,0.675735013711152,0.949412309987378,0.330803686048592,0.441247278482523,1.18428003788999,1.98050825963944,1.09061156521655,0.305284831585193,1.05120219968366,0.432746555778055,-0.317899963004738,0.455077678133789,1.5385029161892,0.734162753450869,0.654672630853527,0.445040962280089
"Listeria_Oxs_2 (GE) - TPM",0.125685245681849,-0.240436328183448,0.294250342360635,0.157969287213465,0.0786680727669083,-0.0453626456796279,-0.908144034876962,0.575649190450839,-0.32071995443315,-0.334034534202614,-0.78717585561705,-0.634928537113218,0.0806165877000053,-0.16744304881532,-0.293701621011884,0.216484083985715,-0.0342401938975533,0.287766008818778,0.669618206904732,0.378606185587596,-0.330279693639107,-0.267349180703578,-0.280571883368902,-0.0722134864697153,-0.359163251349888,-0.330634702656506,-0.21943359786759,0.341661617927898,0.140098613197678,0.418232437014012,-0.243975341357907
"Listeria_Oxs_3 (GE) - TPM",1.0027326836141,-0.589093137583767,1.00208061257834,1.21685332272247,-0.200754417848288,-0.375069728045877,-0.578376266708849,0.222424440483147,-0.569892758972124,-0.950192203715001,-0.590841968387576,-0.643218906703874,0.128048952355989,-0.142889973924697,-0.319177906172309,0.911614696220213,-0.138411952083538,0.118547066836634,0.102066253084107,0.183117923782051,0.456991386565697,0.217802510977695,-0.257940251674598,-0.19842654668293,-0.705744287871109,-0.131376066194512,-0.236474803389438,0.782723407113332,-0.16925155845149,0.121499615909496,-0.350766941042626
"Listeria_Sp_1 (GE) - TPM",0.290492295034973,0.443824615014903,0.979548063335873,0.869580024236493,0.239620764267983,-0.418473192309614,0.411249613033824,0.0608982462807158,0.406259814556348,-0.0391294177463167,-0.131495215114431,-0.140471846723804,0.159106626566988,0.274142659610223,0.250956674890129,1.05063869011334,2.09211220464133,-0.394742402203475,-0.464817293941566,-0.322128651369246,0.456123848112938,1.31045624134832,0.998392071179291,0.557150431305979,0.92195512725292,-0.330790575873724,-0.531077940797476,0.646319774798828,0.780496597688813,0.4002163654784,1.05765735329923
"Listeria_Sp_2 (GE) - TPM",-0.220178854420073,1.17426204648695,-0.335373868605283,-0.469240176318213,0.17815844413311,0.0736493359156735,-0.63620261880767,-0.0354502910359836,0.0142079188051386,-0.152198949959848,1.99035785697085,-0.269166374480838,0.546715839119905,0.269973838558767,-0.0657599871209353,1.11097481374489,-0.300216920910642,-0.161638982407607,0.571600696709943,-0.566839270512394,1.26826785479211,1.06135187302577,1.30075053343798,0.116203957647855,0.574432937253008,-0.353518730870565,-0.518237606691008,0.317298216883043,0.160359868402052,0.621818254290455,0.382698158928026
"Listeria_Sp_3 (GE) - TPM",0.0180766955189382,-0.353896983489008,1.01344005619737,1.06028178617331,0.081223344966104,-0.0373167696774667,0.0161973669189719,-0.572869891553921,-0.182799638064437,0.491007284808537,-0.133195449720606,1.01418978541005,0.250557440778652,0.44201433595891,0.673820630709751,0.654521655919132,0.280502519113715,0.0359227538049369,-0.609278395637542,-0.396144220054539,0.28608989899279,1.05727549006727,0.597606318271753,0.717269736998908,1.04058929518147,-0.127194772737476,-0.518657430762209,-0.0468812209223909,0.338936044292881,0.652160121202548,1.28835904910733
"Listeria_Tm_1 (GE) - TPM",0.366985844750773,0.387522477842828,-0.21753206545959,-0.224459286089326,0.0258050045675242,0.702802744909649,0.634911133366775,1.07739704264708,0.311733722459776,0.570881334490928,1.05579507324808,1.00311983765676,-0.363280801230162,-0.177860725618689,-0.0610281414715272,-0.176361272727766,-0.238375220909106,-0.207425512771692,0.444691987306196,0.0129678977891214,0.909019545455783,0.927437686060341,-0.0110933222127349,0.536450036865454,1.10066716396373,-0.276416950801946,-0.446517706440483,0.407520508309246,0.121042409195883,0.288721094777263,0.626275622755441
"Listeria_Tm_2 (GE) - TPM",0.61040976021846,1.47113343687332,-0.759031120641327,0.0465936805084318,-0.0901707240986747,0.408008060800452,0.342157932496891,0.668298084202077,0.421688724554457,0.956107017596897,0.598946767803051,0.85275683302111,-0.345807134487075,-0.333271194847569,-0.344983043505993,-0.230729229599589,0.432348822879446,-0.290000362643742,0.329885704231239,-0.165493841039556,0.919315699464047,0.813449176124895,-0.241067690053863,-0.0394727827887251,0.499536758740218,-0.309164628620612,-0.543768955425255,0.118118026490651,0.143376484661163,0.00224445643907309,0.026873466275611
"Listeria_Tm_3 (GE) - TPM",-0.283220193576637,1.15691668452397,-0.366905893732005,-0.403651487921116,-0.384387636987054,0.599808314019936,0.0503297449350339,0.408413315522184,-0.147749725841653,1.24767144276067,0.350928602894835,1.16065721652415,-0.455875426807641,-0.325936357306445,-0.421239584064622,0.00495391865555183,-0.346479682725158,-0.206583698524828,-0.0354676245986781,-0.35651850851288,-0.971998612479756,0.436837529669324,-0.430927982798291,0.263343584101201,-0.0249472410893064,-0.357232095787081,-0.605182601902195,-0.209601853872479,0.0782496305287746,0.216607199849765,-0.312538571755446
"Listeria_Vic_1 (GE) - TPM",0.206210916442218,0.731594622680647,0.956810836945616,1.03182427660436,0.952455260620203,0.365260623356611,1.01418943745865,-0.154224480061531,0.333685410281381,1.89066355013327,1.04731954364247,2.95287115025167,1.39052182828752,1.71698244570186,2.00830124191819,0.585024562931579,0.474849135063841,1.11338797669736,0.500509398842021,-0.232694042083028,-0.183759578357026,0.907519055546637,1.56959218809276,1.7770896811232,0.432901095022768,-0.514974198657892,-0.27321229707864,-0.41403937193185,0.656956686219047,0.401683885768975,0.575473023104961
"Listeria_Vic_2 (GE) - TPM",0.66307767004192,-0.442868574835058,1.03121688661323,1.04599457872827,0.761610380943534,-0.183848493001999,1.83330421963653,0.193513174821931,4.47593766968534,1.64365320137515,1.51129657285886,1.02109522303258,1.44053457796611,2.26381520328352,2.01157316816161,0.118342273779138,0.775540891084377,0.797110836853409,-0.0678314122171759,-0.0771466744021038,-0.43676200476557,0.950873529211079,1.65539325955276,1.72360733624808,0.666721921873885,-0.482363790101522,-0.447860136189439,-0.426689016255702,0.223878740786958,-0.00733121744391936,1.38720339088704
"Listeria_Vic_3 (GE) - TPM",0.0194631716103758,-0.95051218214162,0.498508807434806,0.505262208218543,0.0977958320134836,-0.551795738735891,0.839800817582422,-0.24701723737995,0.628698736628014,-0.753224442579222,-0.687770221070293,0.0634418747179292,0.427176545744882,0.752041998024835,0.648806864413008,0.195787705007277,0.251218822828581,0.470883057774423,0.119789350615331,0.0247208368106855,-0.572423003254795,-0.245357197484732,0.958668459276496,1.93451980935737,0.408677947644126,-0.240469507585778,-0.59178097040032,-0.220763477470163,0.501258407984243,0.751602788611056,0.173294821419372
