"","NGO0049","NGO0120","NGO0161","NGO0163","NGO0207","NGO0226","NGO0227","NGO0228","NGO0229","NGO0357","NGO0363","NGO0364","NGO0373","NGO0424","NGO0455","NGO0466","NGO0470","NGO0492","NGO0563","NGO0633","NGO0641","NGO0700","NGO0701","NGO0736","NGO0854","NGO0861","NGO0914","NGO0915","NGO1070","NGO1073","NGO1129","NGO1132","NGO1141","NGO1173","NGO1197","NGO1208","NGO1246","NGO1266","NGO1383","NGO1384","NGO1386a","NGO1387","NGO1388","NGO1389","NGO1426","NGO1435","NGO1586","NGO1588","NGO1590","NGO1593","NGO1594","NGO1596","NGO1617","NGO1648","NGO1653","NGO1739","NGO1805","NGO1816","NGO1843","NGO1857","NGO1893","NGO1965","NGO1966","NGO1967","NGO1969","NGO1970","NGO1974","NGO1992","NGO2026","NGO2127"
"NGON_Li_2 (GE) - TPM",-1.02057371977462,-0.555237060890642,1.05127077193235,-0.254805161043571,0.244490226093033,0.16141011061152,0.334196255359309,0.558725538693745,-0.0165634094584054,-1.35313946233065,1.12249406235985,1.5368246456941,0.071082775497593,-0.518094982176105,-1.31035386118054,-0.832404511614705,-1.5109957138576,1.04351803616826,0.567384683020369,0.487747988085471,0.824096813565962,1.75377571278487,0.718145743032854,0.574310633327827,0.246332235344635,1.59118849758013,0.573362252921644,0.0991906563520437,0.336453027087374,-0.10744529642159,-0.695353637063712,-0.218413547855079,1.80361823006043,0.560364310623399,-0.0253716452314838,2.04198208539456,-1.12186228695335,1.91870386904305,-0.924545099351501,-0.808819161739078,-0.904463151325058,-0.60178728823071,-0.302113657085925,-0.285983997450824,1.30332937080366,0.980277369028404,1.32968331836135,1.81636862463391,0.536013168960638,-0.852044064282883,-0.731194883719772,1.31496753710767,-0.715297808203498,-0.442177968786982,-0.527852986384499,1.28605477854005,0.352457193167387,-0.704200734538476,-0.584452607752829,-0.669755511146987,0.461689275043286,-0.591944813167918,-0.300077702269843,-0.387932430752654,0.277868722566641,-0.726985674633357,-2.19146574302407,1.21382998071382,-0.371939605715693,0.821048270325167
"NGON_Li_3 (GE) - TPM",-1.11005167727033,1.31684809258688,0.985594592112051,1.05738213435734,0.813403199495652,0.2364929361102,0.17350502581906,-0.164448248951959,-0.785763620407517,-0.925264716118812,0.835017037799046,2.40378510056634,-0.396387570308978,0.651792756855621,0.476502422768141,-1.13387267633856,0.0721255142106965,1.86270737923346,1.25463022681828,0.653171773751419,0.411861230474077,-0.344674836893868,1.94690286597847,-0.568624379504941,0.908312314615864,1.27683255145815,-0.927152934424719,-0.609521653389373,-0.1678286920195,-0.84247023761184,-1.63875242114534,-0.47851219208601,1.19535947061088,1.08144771468572,-0.115062404185212,1.25892280715169,1.015310367256,0.978628906542235,-0.531598634566476,-1.3882243210644,-0.833614408572636,-0.223884712847355,-0.200003067965214,-0.723577036983303,0.449659576685199,1.46067556902401,1.1342494163998,0.137382073617237,0.50971333399212,0.326897736502994,-0.433102831643107,-0.211905285333061,-1.23919807712054,0.0365521106612034,0.0772245436556915,0.637867447919268,1.09011941937916,-0.116964764852788,-0.789807252725231,0.36788224495349,0.135577733532368,-0.710874034978856,-0.50786606243188,-0.852171626240562,-0.312234476374349,-0.452828378919723,-0.407204618678489,1.79072265804177,-0.771414951989768,1.36493288215888
"NGON_Mig_1 (GE) - TPM",1.23251195840051,-0.104226095328344,1.31805490912991,0.475377687896529,-0.569070571341425,1.04240012105866,1.26045132209251,0.852032105318534,-0.269411164281326,1.52684692793324,0.327448176583073,-0.0738398746557569,-1.43618559284603,-1.75388104005142,-0.497652269503957,-0.836963360717838,-0.0795882590781369,-0.556367416997063,-0.268357602913096,-2.57285920330461,0.478447442732683,-0.0473812691893263,1.2306708071922,1.6909994771318,-0.261475333708594,0.865124563686453,1.44421461052448,2.88669981844274,0.93396895433244,1.4302887248709,-0.476714265869298,1.14480985793517,-0.252178558212672,-0.517576892032096,0.858868780339855,-0.24175383947758,-1.05380412453828,-0.339156707713156,0.0146221630213537,1.56406305295731,0.49808353310533,1.14624496484516,0.147505549246,1.19037742371715,-0.943147529069124,-0.0267065871054483,-0.938059604164252,0.0496401175666634,-0.138355749256912,-0.0701412839981565,1.43724626868363,0.37768737679642,-0.495064158480721,1.39546279127864,0.577725680160213,-0.22122350346574,-0.171789961858455,0.637209540852334,0.286627052542549,-0.723016786158029,2.53536867887263,1.88274322852148,2.14436709288709,-0.119005954171838,0.0175575792647085,1.5419048531559,1.38274651979503,-0.938000100735681,1.74706346275267,0.148729553488722
"NGON_Mig_2 (GE) - TPM",-0.030086520161505,0.562492110144143,-0.0157988315319966,1.21698427230895,-0.67810575646523,0.104175935083317,0.721534139727915,0.0945794295789246,-0.127193170711215,0.564235044398078,0.239078077626874,0.353556616846047,-1.23079860720591,-1.62009724886405,-0.458151814774507,-0.366112877337369,0.829639343948089,-0.589151295349541,-0.988837230594225,-2.20127943700864,0.204112108754887,-0.13385277215478,0.644432891434177,-0.626785198510461,0.422337254354152,0.310113476685531,0.943982268374009,2.96792333939637,0.267183128345863,1.00623049763672,-0.630191766586356,0.677614331652568,-0.951386472961185,-1.15580976733449,0.242353889263343,-0.518919729197768,-1.37819561988012,-0.513421810033638,-0.0869109953689403,0.27758499454741,0.0259596720464662,0.629611306957645,-0.149359177913167,0.262107839224905,0.366501619634002,-0.726314606566945,-0.966264084983585,-0.673148228044028,0.659611525627772,-0.527376008272819,0.594359169034159,-0.664044807149852,-0.409903169643627,-0.207520074758016,1.26557495573444,0.00282123557648771,1.0375159860775,-0.113434774278482,-0.14579962091043,-1.00648083066443,1.95954814793918,1.24045171764542,1.0691089458174,0.0461241929894683,-0.0288347449990076,1.11392800168804,0.269207365477452,-1.09802923575871,0.737860246573063,-0.132578491837148
"NGON_Mig_3 (GE) - TPM",0.624801566692427,2.44952729158853,1.69184555750487,0.950032033033058,-0.293676941647573,1.6241809331908,1.87661855103055,0.642013499614913,0.22137937399048,1.56532507237794,0.221296673218695,-0.0513196074688966,-1.43481355216115,-0.975942796020234,0.34429830882746,0.586533189804264,-0.0431714158195154,0.206339121840096,0.532696517240789,-2.09970003614334,1.29314243591713,0.40442589539556,1.02415157973928,0.662957473184375,1.34545823198914,0.737906915056152,1.52060599883141,2.54278948093316,1.09860717249062,2.80304337329545,1.09798750231861,2.33298369908028,-0.533265063870661,-0.599862642173147,1.65485412113342,0.912425207231638,-0.273393615170664,-0.537549748707437,0.472860048032937,2.42887580897099,0.184349902989478,1.70322166548271,0.630686056329531,-0.177674826680434,-0.301539935974844,0.255350061194266,-0.941320375241506,-0.319258062626729,0.729371929973303,0.391509162351126,2.13868774927643,1.01823352874038,1.15161310213666,1.9776472944666,0.713298675694982,1.32317290169565,0.559698580493379,0.966622679255789,-0.711843628647262,-0.105238462078577,1.60141011896083,1.33535554015526,1.04358203235094,0.189908179433095,-0.164510226567313,1.39408759141658,1.07184745260692,-0.177795385888709,2.45321805433595,0.615732838484776
"NGON_Nd_1 (GE) - TPM",-0.991798930867322,-0.40713804874414,-0.485386371625907,-0.0684101593233104,-0.838694911687895,-0.408837446590091,-1.40948531144508,-0.248395139608776,-0.694943573777997,-0.909088628813525,-0.49726572689878,-0.305652771519339,0.505032490037265,0.845749005844735,-0.532365620589066,-0.831849948227074,-1.8899276057041,-0.550019803223016,-1.5292903245504,0.0349325535176565,-0.537473347801299,-1.03084101618793,-0.70909540624039,-0.569854565993954,-0.585828115685427,1.17724463531446,-0.0631889616209219,-0.0312662738387165,-0.433310189281344,-1.25668000503705,0.0659698913939551,-0.310223480795578,-0.809296553283234,0.17056013184062,-1.35465374357493,-1.73494848660105,-0.125724929537335,-0.0927495693942656,-0.420540270586388,-1.1316539405862,-1.40280912214104,-0.785669270369001,-0.917194325627811,-1.32215980322568,-0.593043326466012,0.18408471814437,-1.11592785163046,-1.23747143192283,-1.04827357978075,-0.603296699563853,-1.56153403066134,-0.499775336899396,-0.48919121853576,-0.303286723122888,-1.07647172031962,-1.36606745972156,-0.952540358261062,0.0037218124550357,1.10775173153613,-0.61777119582032,-0.113765299018762,-0.814602940375531,-1.34308746869663,-0.715007784866426,-1.01715798088553,-1.2446193963565,-0.572449705961334,-0.534473531094804,-0.98977115530555,-0.209362058915581
"NGON_Nd_2 (GE) - TPM",-1.03920304759282,0.28915686146361,0.427174990346397,0.446222965578404,-0.529857441326218,-0.174885405759519,-0.578137410521447,0.258568534802488,-0.52082825901929,-1.04901634708028,-0.182019749074011,-0.478333576120986,0.393964798792732,-0.30377341555584,0.000559628126539809,-0.116131776562029,-0.565431415503215,0.0775012044207886,-0.878136585285474,-0.34507235232882,-0.508133995756671,-0.750341119784996,-1.14353458997292,-1.24401283380971,0.0986169062071623,0.813951551028872,-1.07197568972812,0.262216669781861,-0.770876851415905,-0.856191009775529,-0.0749400339264611,-0.848212432626008,0.315542022816942,0.166131250299691,-1.16958729488009,0.0484704464267333,-0.0913006490266627,0.25696500324509,-0.19443488890911,-0.202637117335699,-0.122609718686267,-0.800385953267096,-0.748919415664695,-0.505927420521377,-0.129472596267149,-0.0538929457869001,-0.661774467703289,-1.01961487708217,-0.427561062272531,-0.56110628770745,-0.794666918057937,-0.753907964048653,0.332213689737063,-0.84153817625345,-1.19815047922516,-0.600629979238562,-0.782018423604882,0.765363125161212,-0.00583191701116495,-0.385143785119126,0.0828017398955898,-0.87264371695788,-0.782155280798575,-0.792370717232578,-0.812480922339776,-0.968446949144902,-0.978742651087668,-0.227504759723255,-1.03952067033888,0.0269628101907577
"NGON_Nd_3 (GE) - TPM",-0.844193183184743,0.324577789441798,0.235224028340719,0.0997803267943713,-0.567980994830004,-0.0427426714223084,0.158444502970911,-0.430004958716655,-0.487842614657724,-0.47857079601562,0.366883676961522,-0.548332382026345,-0.155491905903062,0.486821663331177,0.678265957284445,-0.316454952812735,0.0766274100862659,0.4340814803298,-1.29978750246695,-0.158757394729026,-0.128079455681784,-0.553624855294502,-0.0877973253971818,-1.19831838174822,-0.716522524536622,0.487241206314105,0.150989268373849,-0.308340359549531,-1.22414182008256,-1.09083960854776,0.11009474221284,0.373584975590288,-0.274639838045295,0.938920954246058,-1.21137550994564,-0.843410259823421,0.373563211285009,-0.515064039726886,-0.189598595170163,-0.61525826183496,-0.854251434226251,-0.705034890053445,-0.543406576996635,-0.756977417949464,-0.597972330639283,0.43653295608462,-0.894226900247192,-1.1105632284553,-0.620388061576529,-0.786241451772558,0.557266195138234,-0.599620589360668,-0.527599555208081,0.0565748990330878,-0.618986170236884,-0.530861774283774,-0.614033820808718,1.51764747760764,0.191294193922133,-0.493553892251526,-0.0815759511635365,-0.646369791682918,-0.568694810146621,-0.710198363321107,-0.772963955201461,-0.845331709754383,0.310687102215152,-0.552572754057823,-0.842142348163241,0.108767020809708
"NGON_Ns_1 (GE) - TPM",-0.63382597105204,0.172452000905622,-0.809043885961236,-1.21940620426558,0.0486729900771143,-0.617423630443869,-1.03367186759911,-0.50183452114835,-0.371371611164244,-0.940628696352729,-0.0190722428168056,0.108703409486485,-0.0677725729982785,0.381564922596781,-0.169850332953686,-0.360409161352407,-0.87692277347452,-0.157302831441622,0.511329067256491,0.495825877877864,-0.792205564682989,-0.738641219411023,-0.419090194911782,-0.643552839118474,-0.713281692842836,-1.11832414852672,-1.18069365435034,-0.324965579317757,-0.488282601427152,-0.651374939738656,-0.379527638168786,-0.881951902531475,0.252870559261097,0.19039484010596,-0.757040746931256,-1.61890997339926,0.872279358962683,0.201412383138173,-0.0622460570669662,-0.157999055972279,-0.466492958818675,-0.235763537976214,-0.631225979896193,-0.63477431974685,-0.3328405467755,-0.18731781096545,1.13451718034745,0.466724109391631,-0.147534065812505,0.511358192324221,0.0716126391674209,0.42482184581625,-0.318509658278401,-0.77161956207088,-0.940509555610044,-0.342701539226342,-0.420010830933721,-0.389720674871931,0.652298173704641,0.261737292556257,-0.663948475683696,-0.653344401400675,-1.17584964871846,-0.990995654556874,-0.511621348414419,-0.644348838586792,0.1282960526425,0.122867990667451,-0.745637430598033,0.0532713853809192
"NGON_Ns_2 (GE) - TPM",-0.710964210417786,0.160743055428718,-0.854904207201607,-1.24533283142096,-0.428249192431483,-0.799269483872109,-0.264915123933208,-0.794087377414238,-0.480059081554806,-0.883693125522794,0.537967478470906,0.263335369863309,0.13202643356703,0.314027044097684,-0.955287391109176,0.361334899383148,-0.830520958176689,-0.254604108702114,-0.336261538994112,0.0536537385167457,-0.311875294132988,-0.222362026702868,-0.609463947169285,-0.997175212556157,-0.167428423481973,-1.23819763765202,0.451653725749035,-0.500942036371401,-0.723461295711023,-0.383633297917547,0.31292033289165,-0.851877932641594,0.200670399263221,-0.24555568329175,-0.858236027366797,0.05335818034274,-0.262964293803145,0.0248302793691928,-0.302964844855875,-0.457741703991657,-0.498005222950349,-0.189269566929136,-0.491846321156881,-0.477098683172345,-0.652624241860001,-0.404132847802855,0.386030367658066,0.064644635516286,-0.614021116449981,0.173976834495028,-0.912996004424659,-0.292282099102346,0.291827411742811,-1.36218547486008,-0.557859739819486,-0.554685628915882,-0.383424606254234,-0.973276778223356,0.66081882982655,-0.586665363196604,-0.567229166216397,-0.464840512762531,-0.741144591001025,-0.996750309555449,-0.350609311762663,-0.682065996771436,-1.1145008067799,-0.0763757030057534,-0.339437915628609,-0.58368126618929
