"","ETEC_RS00235","ETEC_RS27300","ETEC_RS01280","ETEC_RS01530","ETEC_RS01600","ETEC_RS01765","ETEC_RS27425","ETEC_RS01960","ETEC_RS03065","ETEC_RS03825","ETEC_RS04340","ETEC_RS04530","ETEC_RS04550","ETEC_RS05495","ETEC_RS05905","ETEC_RS27755","ETEC_RS06550","ETEC_RS27810","ETEC_RS06855","ETEC_RS29850","ETEC_RS27870","ETEC_RS07790","ETEC_RS08485","ETEC_RS27970","ETEC_RS09960","ETEC_RS10810","ETEC_RS28175","ETEC_RS11640","ETEC_RS12020","ETEC_RS12215","ETEC_RS29980","ETEC_RS13090","ETEC_RS13600","ETEC_RS13720","ETEC_RS14080","ETEC_RS14655","ETEC_RS14945","ETEC_RS15335","ETEC_RS15445","ETEC_RS16600","ETEC_RS16905","ETEC_RS17565","ETEC_RS17730","ETEC_RS28695","ETEC_RS19885","ETEC_RS20715","ETEC_RS20815","ETEC_RS30170","ETEC_RS21390","ETEC_RS21510","ETEC_RS22715","ETEC_RS29060","ETEC_RS29105","ETEC_RS24020","ETEC_RS24320","ETEC_RS24335","ETEC_RS25280","ETEC_RS25840","ETEC_RS29405","ETEC_RS26695","ETEC_RS30370","ETEC_RS30390"
"ETEC_Li_2 (GE) - TPM",-0.341986732577726,-0.433318934151327,-0.331078477093672,-0.582938820098026,-0.330175229364726,0.0011592854600251,-0.239882274792991,-0.44346665191318,-0.155293505787829,-0.347295302641602,-0.460038567624994,-0.213577668149066,-0.377172736964267,-0.348732216342247,-0.306374380484671,-0.292060494801943,0.686283144500118,-0.334930478387479,-0.338267983189714,0.1038887230032,-0.479949283026563,-0.490519360012662,-0.675653339867281,0.230691564146044,-0.447674790501101,-0.129884635249871,-0.823444733739139,-0.357319060196777,-0.473086144757977,-0.633306641345938,3.95005039674206,-0.347633072714755,-0.354945860089545,0.441317662447,-0.430082494256636,-0.498855117686429,-0.632736991002641,-0.658032625729604,-0.545368798963684,-0.175223105839942,0.0800324827527899,-0.425686180942489,-0.0304810175096949,-0.61047863558959,-0.438331656727946,-0.61071978535608,-0.166666666666667,-0.591881458387122,-0.725043715340635,-0.368137827267032,0.160567686173613,-0.255970944129434,0.419958566253425,0.114761037714596,-0.224037499877074,-0.20717401031739,-0.342710193756922,-0.512367246169438,-0.181343319567487,-0.323402305266188,-0.140493092402709,-0.47098988878553
"ETEC_Li_3 (GE) - TPM",-0.138070387320146,1.75039743758639,-0.439520955426448,-0.04997624755113,-0.330175229364726,0.0539119808911747,-0.462660555091085,-0.44346665191318,-0.831998672160639,-0.347295302641602,1.04926898558486,-0.420362239987569,-0.377172736964267,-0.348732216342247,-0.306374380484671,-0.292060494801943,0.615103406099719,-0.334930478387479,-0.338267983189714,-0.613928008935751,-0.479949283026563,0.948326575196048,-0.753951523157551,-0.363685125400033,-0.283337586152586,-0.641595961409145,-0.740319742389934,-0.555245401054275,2.6693395561249,-0.454531871501506,0.31587138459172,-0.347633072714755,-0.462795175976206,0.34074435901443,0.574236319548712,-0.349549337975609,-0.632736991002641,-0.658032625729604,-0.545368798963684,-0.323456884359589,-0.0708362138197202,-0.281013874336171,-0.377520757019015,-0.61047863558959,-0.599744713874457,-0.604258439603008,-0.166666666666667,-0.591881458387122,-0.542092368954306,-0.368137827267032,-0.153612104826709,-0.102369354186538,-0.259424355725511,-0.30520905868949,0.136066202701543,-0.507593271052325,-0.43800546805522,-0.451064426034882,-0.184750519429023,-0.323402305266188,-0.439922311040552,-0.47098988878553
"ETEC_Mig_1 (GE) - TPM",-0.000196375019245427,2.50377767742725,-0.979755544017958,2.64281505357078,1.49549700937061,1.65718198046364,-0.462660555091085,-0.44346665191318,-0.689783060062253,2.85258120513238,2.584987442845,0.737785547366524,-0.377172736964267,-0.348732216342247,2.9378114774241,-0.292060494801943,-0.351253691468276,-0.334930478387479,2.91888082233906,-0.0750877039924141,0.253805395106351,-0.216505421772506,1.08295502560524,-0.363685125400033,0.267880900494886,0.0748952821560189,0.162110926785916,2.16586651320303,2.06284974788168,1.53076054349576,-0.346821826443332,1.31850611140986,-0.154484974538758,1.60945867618857,1.61586362040269,2.42652716446654,-0.632736991002641,-0.658032625729604,1.94079344859185,2.99742186332574,0.962589858015325,1.27923426091226,-0.56194397827364,-0.61047863558959,0.469781177530582,1.3841384582555,-0.166666666666667,-0.591881458387122,-1.19651682895671,2.20903270262859,0.597376056755449,3.04617266592283,0.691838377008332,1.28586676554626,-0.0279853549437588,1.17497859164863,1.69689289526648,0.336629989488091,1.97306280529528,-0.1837137247685,1.23710457647878,-0.47098988878553
"ETEC_Mig_2 (GE) - TPM",1.00233566706413,-0.433318934151327,-0.375299324078522,-0.582938820098026,-0.330175229364726,0.2474594097071,-0.462660555091085,-0.44346665191318,-1.24421888170941,-0.347295302641602,-0.460038567624994,-0.420362239987569,0.929643394829948,1.64612034116053,1.04301159857155,-0.292060494801943,1.47665509774508,-0.334930478387479,-0.338267983189714,-0.791470272656306,0.130446248196456,-0.315712143873298,0.0838677239022004,-0.363685125400033,1.15164929483271,-0.641595961409145,-0.53862825947573,-0.250724877137551,-0.473086144757977,0.566855554612131,-0.346821826443332,2.42442124667873,1.30992399313538,0.140191199416004,-0.0537239281141434,1.1907781401596,-0.632736991002641,-0.658032625729604,-0.545368798963684,-0.323456884359589,-0.478632021453094,1.05170071426906,0.0570968906854411,1.56896696775399,-0.529341124645911,1.51139470344302,-0.166666666666667,1.22558434334297,-0.0981858160420097,-0.368137827267032,0.739619968178396,0.752070993484807,-0.259424355725511,-0.829451957901252,-0.713939559027195,-0.507593271052325,1.78196746491412,-0.453229493949406,0.747283140752649,1.53586293097348,-0.439922311040552,-0.47098988878553
"ETEC_Mig_3 (GE) - TPM",3.98092909108628,4.14330834026461,3.54913361871358,4.44347845997721,5.35940360775099,4.66646152618021,3.4257848310069,4.75732130723873,3.07543150557544,4.63879948304105,4.28476588848027,4.99356666959648,4.51848820777751,5.25618123641034,4.74876388634034,4.08369726134909,3.75835479656394,5.38737987007203,4.73706934234738,3.67364128069635,5.23678754495761,4.71035313646615,5.11333180219237,4.82353800374927,5.18220413938583,4.94064017174982,3.63609549431844,3.93543408944112,3.4784465797057,4.9868290520822,3.81979046428028,4.84477224594372,4.26230964085595,3.0137090722355,2.6838996780744,4.61607589917687,3.04733989473616,4.37098238274917,3.32860589637841,4.85118537804341,2.80913171744452,4.85619302829599,5.23576185742328,3.47189625286661,4.05212089876883,4.62121489462434,5.83333333333333,4.51463054163952,2.91810657744707,4.98624236502762,5.1102396594817,4.55020431692269,5.66966214551145,4.11472930882777,4.63038024836143,4.73602333265361,4.96776849016201,5.21097047667441,4.89033199702092,5.3721601465972,4.78641376829733,4.5106993066938
"ETEC_Nd_1 (GE) - TPM",-0.308647055107536,-0.433318934151327,-0.594271664718904,-0.582938820098026,-0.330175229364726,0.628815508405575,-0.462660555091085,-0.00079299704321801,-0.214731190129397,-0.347295302641602,-0.460038567624994,-0.420362239987569,-0.377172736964267,-0.348732216342247,-0.306374380484671,-0.292060494801943,1.15493168004676,0.963906572393294,-0.338267983189714,-0.4114149298807,-0.479949283026563,-0.180486028951568,-0.31623112519138,0.519352998652776,-0.339096107563039,-0.451539462760064,0.0762194203975715,0.91784609488933,-0.473086144757977,-0.633306641345938,-0.346821826443332,-0.347633072714755,0.0251609750524977,0.0947851432190089,-0.722334224399194,0.429659550831228,-0.632736991002641,-0.372664014775149,-0.545368798963684,-0.323456884359589,-0.657831679823352,0.208788660123757,-0.167158933618607,0.779433682720661,0.0116887020086763,0.475451970822336,-0.166666666666667,-0.591881458387122,-0.145847932334134,-0.140264371544795,-0.0372730012739897,-0.1544853530154,-0.259424355725511,0.0122123472733455,-0.713939559027195,-0.507593271052325,-0.154853851706489,-0.619575236026194,-0.495583168270216,-0.323402305266188,-0.439922311040552,0.37705951489383
"ETEC_Nd_2 (GE) - TPM",0.189358384317995,-0.433318934151327,2.08701664163179,-0.582938820098026,-0.330175229364726,-0.0670056056743321,0.590575744227264,-0.44346665191318,2.03187580075892,-0.347295302641602,-0.460038567624994,1.53488238298974,-0.377172736964267,-0.348732216342247,-0.306374380484671,-0.292060494801943,-1.13660037755282,-0.334930478387479,-0.338267983189714,-0.791470272656306,-0.479949283026563,0.189627063393093,-0.132447985837789,-0.363685125400033,0.649989608679266,0.568021383296235,-0.0249027201810084,-0.239633220578455,-0.473086144757977,-0.633306641345938,-0.346821826443332,-0.347633072714755,-0.00363721745523438,1.2173397899866,-1.18272652690658,0.258331856083097,-0.632736991002641,2.06631637839372,-0.545368798963684,-0.323456884359589,0.95626586576889,-0.338325919012484,-0.56194397827364,1.60105064830421,-0.300640571828905,0.931985006834765,-0.166666666666667,-0.591881458387122,-1.19651682895671,-0.368137827267032,-0.706871115559447,0.276016852264328,0.543560964187354,0.956142940086168,-0.713939559027195,-0.507593271052325,-0.43800546805522,-0.617493276558862,-0.580244468117712,0.0106894036391079,-0.439922311040552,-0.47098988878553
"ETEC_Nd_3 (GE) - TPM",-0.200924604951485,-0.433318934151327,-0.979755544017958,0.8155888768244,-0.330175229364726,0.594609875934868,-0.462660555091085,0.641816204944712,-1.24421888170941,-0.347295302641602,-0.460038567624994,1.08598494679351,2.68765720989087,-0.348732216342247,-0.306374380484671,-0.292060494801943,0.906325031597976,0.461144446114815,-0.338267983189714,-0.791470272656306,-0.479949283026563,1.11216611529933,0.240141689277739,-0.363685125400033,0.143072044843107,1.22221551578374,1.30306778710694,0.468364622795429,-0.473086144757977,-0.164190271495862,-0.346821826443332,-0.347633072714755,0.20688822306874,1.54779848954292,1.39003505481385,0.407775721423038,-0.632736991002641,-0.658032625729604,-0.545368798963684,-0.323456884359589,-1.36384683865688,0.0779236110285672,-0.56194397827364,-0.61047863558959,-0.8008404570446,0.836140901440327,-0.166666666666667,0.118524987095156,0.520734587982162,-0.368137827267032,0.327403121245191,0.296184324164473,-0.259424355725511,-0.829451957901252,-0.267845719817948,-0.507593271052325,-0.43800546805522,-0.581029944014368,-0.372684211634938,0.267077928062888,-0.439922311040552,-0.47098988878553
"ETEC_Ns_1 (GE) - TPM",0.735414972717698,-0.433318934151327,-0.259420594040679,-0.582938820098026,-0.330175229364726,0.57624707884555,-0.462660555091085,-0.44346665191318,-0.144931163278316,-0.347295302641602,1.04931542994091,-0.420362239987569,-0.377172736964267,-0.348732216342247,-0.306374380484671,-0.292060494801943,-0.747320891620732,-0.334930478387479,-0.338267983189714,-0.791470272656306,-0.1162428473975,-0.806598643027156,-0.821373354282003,-0.363685125400033,-0.671246873120295,0.0687026820177875,-0.740310592695817,-0.55523158657412,-0.473086144757977,0.439374985922798,-0.346821826443332,-0.347633072714755,0.629510960485197,-0.906150925866092,0.461629243155074,-0.701977741595793,0.537920052947262,-0.124778201524349,-0.545368798963684,-0.323456884359589,1.29645910413449,-0.156020872872805,-0.56194397827364,-0.61047863558959,-0.167313461439958,-0.73952504616525,-0.166666666666667,-0.591881458387122,-1.19651682895671,-0.368137827267032,-0.629727664021476,-0.464937790607633,-0.259424355725511,-0.829451957901252,-0.713939559027195,0.32642146586325,-0.43800546805522,-0.158618530881199,-0.580244468117712,-0.323402305266188,1.22261011249804,1.11371872648751
"ETEC_Ns_2 (GE) - TPM",-0.405431753590187,-0.433318934151327,-0.341757896151425,0.125147045028067,-0.330175229364726,-0.0132077735103245,-0.462660555091085,0.106020821541139,-0.392288670253759,-0.347295302641602,-0.460038567624994,-0.420362239987569,-0.0323398149909417,-0.348732216342247,-0.306374380484671,0.11888989584875,-0.791817167494323,-0.334930478387479,-0.338267983189714,-0.791470272656306,-0.479949283026563,-0.547535685805798,-0.642222141826206,-0.363685125400033,0.153345613540543,-0.484318828065447,-0.905980129263155,0.288125951466376,-0.473086144757977,-0.633306641345938,0.240140836163965,-0.347633072714755,-0.652867206606782,-0.906150925866092,-0.368956337462015,-0.452254568758991,-0.632736991002641,-0.185731415949316,-0.545368798963684,-0.323456884359589,-1.04400735605136,-0.500004773251979,-0.0719002763047608,0.539713158856023,-0.679150939137187,-0.646769853149349,-0.166666666666667,0.127487580380557,-0.0372391514276859,-0.368137827267032,-0.344056741098613,-0.464937790607633,-0.259424355725511,-0.597284943791379,-0.563365617287738,-0.507593271052325,-0.43800546805522,-0.213334366125848,-0.229946355403559,-0.323402305266188,-0.439922311040552,-0.47098988878553
"ETEC_Ns_3 (GE) - TPM",0.153445620900473,-0.433318934151327,-0.379358771519552,-0.582938820098026,-0.330175229364726,-0.380793475701071,0.0528323120388652,-0.44346665191318,-0.557029403314834,-0.347295302641602,-0.460038567624994,-0.420362239987569,-0.377172736964267,0.146631632097684,-0.306374380484671,-0.292060494801943,0.485715372112668,-0.334930478387479,-0.338267983189714,-0.495499398911228,-0.479949283026563,-0.319008872123852,-0.596582954281721,-0.363685125400033,-0.283249621733859,0.246451355545202,-0.789820469904592,-0.068685862502695,-0.473086144757977,-0.633306641345938,-0.346821826443332,-0.347633072714755,0.133312589040798,-0.386493410462579,-0.251708476012869,-0.701977741595793,-0.632736991002641,-0.213566845997924,-0.545368798963684,-0.323456884359589,0.00880390808199725,-0.489202625199045,-0.56194397827364,-0.61047863558959,-1.15552414369954,-0.759546069579518,-0.166666666666667,-0.591881458387122,0.985392707608453,-0.368137827267032,-0.78837236583659,-0.464937790607633,-0.259424355725511,-0.392483808716776,-0.713939559027195,0.187555223930365,-0.43800546805522,-0.180583287779666,-0.4483832570878,-0.323402305266188,0.945792905510876,-0.47098988878553
