"","SF5M90T_39","SF5M90T_219","SF5M90T_249","SF5M90T_270","SF5M90T_287","SF5M90T_296","SF5M90T_301","SF5M90T_721","SF5M90T_736","SF5M90T_884","SF5M90T_992","SF5M90T_997","SF5M90T_1306","SF5M90T_1328","SF5M90T_1329","SF5M90T_1354","SF5M90T_1487","SF5M90T_1655","SF5M90T_1846","SF5M90T_1880","SF5M90T_1912","SF5M90T_1933","SF5M90T_1985","SF5M90T_1987","SF5M90T_2021","SF5M90T_2052","SF5M90T_2070","SF5M90T_2094","SF5M90T_2120","SF5M90T_2629","SF5M90T_2672","SF5M90T_2860","SF5M90T_2921","SF5M90T_3085","SF5M90T_3099","SF5M90T_3341","SF5M90T_3423","SF5M90T_3451","SF5M90T_3612","SF5M90T_4037","SF5M90T_4153","SF5M90T_4269"
"SHIF_Li_2 (GE) - TPM",-0.457466615130485,-0.464266661372602,1.84446176057596,-0.226205798661019,-0.203919704529355,-1.00387573573816,0.207328657951019,-0.661795603470059,1.93705092405343,-0.915216503529724,-0.384520762719578,-0.178504070716103,-0.345726882259061,-0.580636124575722,0.484082127078411,0.407471652732256,-0.347078899579115,1.02572213262369,-0.61585728650786,0.911015635540013,1.23900393029465,-0.384853099676795,-0.794183451022048,-0.957950357049017,-0.166666666666667,-0.669517610456465,-0.209732328812175,0.484647278235801,0.340758217933003,-1.05996854036965,-0.611367017256568,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,-0.618667087430071,-1.31461838194809,-0.225546248910357,-0.698184102329649,-0.209401605584893,0.344196115504196,0.172467012302808
"SHIF_Li_3 (GE) - TPM",-0.457466615130485,-0.76500498927718,-0.753217244432282,-0.226205798661019,0.59920971986224,-0.0625945754056106,1.26746572198619,0.687648201249029,-0.233976556726842,1.65757798427217,-0.707020420565288,-0.178504070716103,-0.0777800937828136,-0.094934789546648,-0.87881660899011,-0.32410813615478,-0.416322507180341,-0.867253668748671,0.731843516059729,0.659026057902067,-0.530280724547727,0.0193387389941836,-0.848488645312745,-0.43155343346011,-0.166666666666667,-0.16234793213961,-0.209732328812175,0.875417127090556,0.128054928019154,0.167077666367228,0.0338767297520033,-0.623590582100102,-0.381916564791669,-0.00511574131680829,-0.195078505036858,-0.72648658230648,-0.892933510941179,-0.344092553380864,-0.698184102329649,-0.696095352750034,-0.577679882806571,-0.436063505194616
"SHIF_Mig_1 (GE) - TPM",-0.457466615130485,-0.440563815229802,-1.29112569696052,-0.226205798661019,-0.203919704529355,-0.994355468748111,-0.215531094832597,-0.661795603470059,-0.938751500056119,-0.915216503529724,0.884270000996573,-0.178504070716103,-1.53473315680751,-0.580636124575722,0.0236378308576223,-0.873470661848125,-0.160193862212518,-0.867253668748671,-0.61585728650786,-0.860408802552055,-1.45437702212351,-0.949765297878173,0.188081048025364,0.138432205119814,-0.166666666666667,-0.669517610456465,-0.209732328812175,-1.24938284345426,-1.00233644895308,-1.05996854036965,-0.988309163649199,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,-0.989730365683425,0.441957003740693,-0.344092553380864,0.78119526718492,0.173393459291532,-1.02631069710006,-0.436063505194616
"SHIF_Mig_2 (GE) - TPM",4.51236338956807,4.07999220388029,3.69834164010235,5.20279980229828,5.75573831760299,3.72491476741942,3.44106857600671,4.34500862466671,2.98360912881309,3.85766780530634,3.93482879796947,5.82276468203973,3.87095971536734,4.82561678415489,4.77218884811388,4.22224100690254,4.38295135486482,3.65101016405881,4.38447993165665,4.77710856471036,3.68859658779543,4.44369477719583,3.6837333235082,3.92473970710461,5.83333333333333,4.97569550872144,5.7144889591035,4.26912797600045,4.09647785925059,3.49270724761323,3.16934288928416,3.66656645423712,5.43174871604059,4.57893734937299,5.73604103951947,4.48144410405672,3.37907895167322,5.31497059508666,4.57249509005681,4.72502528533387,3.01248610029592,5.37383945394836
"SHIF_Mig_3 (GE) - TPM",-0.457466615130485,0.998213775024472,-1.29112569696052,-0.226205798661019,-0.203919704529355,0.627120383010538,-0.48345281901759,1.43764014402754,-0.938751500056119,-0.915216503529724,0.719407649085484,-0.178504070716103,0.731963190667001,-0.580636124575722,0.017545950195428,-0.873470661848125,1.5033761840423,0.39580145548006,-0.61585728650786,-0.860408802552055,-0.0166878093399847,-0.949765297878173,-1.175935542841,0.679963744915322,-0.166666666666667,0.908569819781468,-0.209732328812175,-0.588239193139829,0.206308810415317,0.849043648036385,0.967194761370931,-0.623590582100102,1.24326071506902,-0.457601742719661,-0.195078505036858,-0.220668184802691,1.30957475458893,-0.344092553380864,-0.698184102329649,-0.696095352750034,-0.208144950220229,-0.436063505194616
"SHIF_Nd_1 (GE) - TPM",-0.457466615130485,-0.707789387412721,-0.860051639860856,-0.226205798661019,-0.203919704529355,0.42139480490452,1.37372916946172,-0.661795603470059,-0.656351964605788,-0.227946545631824,-1.00446878741185,-0.178504070716103,-1.18445719557492,-0.580636124575722,0.255747430663702,0.227162409397153,-0.989196402713799,-0.541950687132903,0.464175663785006,-0.0486362824927317,0.767305525089243,0.603493837849856,-0.913523115739093,0.307596168166939,-0.166666666666667,-0.669517610456465,-0.209732328812175,0.112850658935727,0.272246844689803,-0.568297714074457,-0.852062231628579,-0.623590582100102,-0.381916564791669,-0.0949843203127304,-0.195078505036858,-0.632321320533148,-0.976684654736304,-0.344092553380864,-0.698184102329649,-0.696095352750034,-0.924579480618134,-0.436063505194616
"SHIF_Nd_2 (GE) - TPM",-0.457466615130485,-0.901944298766832,0.327777531772674,-0.226205798661019,-0.203919704529355,-0.731045828445406,-0.254364268411892,-0.661795603470059,-0.231715184292648,-0.915216503529724,-1.15331139831823,-0.178504070716103,-0.657756412505552,0.393883431521076,-0.152299482603048,-0.873470661848125,-0.553721708861794,0.35442515520585,-0.61585728650786,-0.606357104779964,-0.527315627561837,-0.463658524136795,0.13805469017853,0.3622645040956,-0.166666666666667,-0.669517610456465,-0.209732328812175,-1.03622107359323,-0.803485941963265,-1.05996854036965,-0.908073972912584,-0.623590582100102,0.14206285357927,-0.00366387436047802,-0.195078505036858,-1.19026550550725,-0.468542566024517,0.880016151787218,-0.698184102329649,-0.696095352750034,0.219821273129985,-0.436063505194616
"SHIF_Nd_3 (GE) - TPM",-0.457466615130485,-0.942665331280913,0.61446140857673,-0.226205798661019,-0.203919704529355,-0.0738802746998511,-0.674046894772472,-0.661795603470059,0.30961152388727,0.0974886590318465,-0.721301367271539,-0.178504070716103,-0.330410705163399,-0.580636124575722,-0.343507795617185,-0.549109970243187,-0.251893744691399,-0.387913628938801,-0.61585728650786,-0.561368297152208,-0.908761877440104,-0.949765297878173,-0.0159266550966335,-0.336348183211046,-0.166666666666667,-0.669517610456465,-0.209732328812175,-0.998473268895144,-1.14801411734495,1.11348999065703,-0.267218498253706,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,0.268476771444862,-0.318715021753419,0.616494311174783,-0.698184102329649,-0.449613807766786,-1.31183242360321,-0.436063505194616
"SHIF_Ns_1 (GE) - TPM",-0.457466615130485,1.14865813827922,1.65995035982792,-0.226205798661019,-0.203919704529355,-0.417377411746859,1.51463490582251,-0.661795603470059,0.607864435303667,0.0257753668809522,0.362584651052913,-0.178504070716103,0.223758351435514,1.01815813936303,1.02888425065622,1.53766169926598,-0.327916928045404,-0.867253668748671,-0.61585728650786,2.19609929435482,1.08051385532225,1.70858642210089,-0.457359216670604,0.197218223107414,-0.166666666666667,0.999944493654915,-0.209732328812175,0.382609516284441,0.0761293893374581,0.959579580472217,0.482054182146897,1.91387060322772,0.764269140122717,-0.457601742719661,-0.195078505036858,-0.0518303260751974,0.536141345936618,1.2178948951079,-0.698184102329649,1.36515035513234,2.48249750383624,-0.436063505194616
"SHIF_Ns_2 (GE) - TPM",-0.457466615130485,-0.893765366383018,0.301248369012202,-0.226205798661019,-0.203919704529355,-0.703592984288102,0.0155712571260425,-0.661795603470059,-0.0446014663449565,-0.189858303949755,-0.971327476922043,-0.178504070716103,-0.0559806640331954,-0.580636124575722,-0.360730921830157,1.68211476825199,-0.26075939440464,0.162739781667635,-0.61585728650786,-0.00364815591254456,-0.281973344208758,0.279739830646937,-0.898980317961666,-0.957950357049017,-0.166666666666667,-0.240552506871644,-0.209732328812175,-1.06966684718336,0.594631346791376,-1.05996854036965,-0.663134186208542,0.35440313679429,-0.381916564791669,-0.457601742719661,-0.195078505036858,0.98000384345377,0.112029165611101,0.773953028193312,0.503331623239416,-0.519550968300694,0.590220110736901,-0.436063505194616
"SHIF_Ns_3 (GE) - TPM",-0.457466615130485,-0.299339314005175,1.45102515363231,-0.226205798661019,-0.203919704529355,-0.985125848147356,-0.410508259816211,-0.661795603470059,0.857650100847473,0.17774992978694,-1.22207114184143,-0.178504070716103,-0.296856753996852,-0.580636124575722,-0.764766122412961,-0.873470661848125,-0.612444447287288,-0.522367126032575,0.529194715416499,0.0002332258401852,0.901053011071454,0.6970015739366,0.215114031040052,1.05465015889299,-0.166666666666667,-0.238609166436709,-0.209732328812175,-0.346732026882772,-0.486372935502328,-1.05996854036965,0.0615585734676741,0.358833740381163,-0.381916564791669,-0.457601742719661,-0.195078505036858,0.83286058196396,-0.239785366898852,-0.344092553380864,-0.0947046269767636,-0.696095352750034,0.735011643131489,0.45089547705733
"SHIF_Oss_1 (GE) - TPM",0.672206280605956,0.0138445941585607,-0.27040277330832,-0.226205798661019,-0.203919704529355,-0.375768702975761,-0.684840206955533,-0.0927569213876239,-0.270068997042786,-0.011128229434867,0.757518125317725,-0.110297807706377,0.922761250289631,-0.0686050815377238,-0.617761645094339,0.921873524303298,1.25490822165948,2.21383372186921,0.236598242747268,0.100672949214353,-0.869862271466675,-0.438945875625492,-0.140342487849978,-0.902457084499526,-0.166666666666667,0.079010839194885,-0.209732328812175,1.3937990686162,-0.398761964009152,-0.283830156032542,0.786928323695021,0.229691090084316,-0.051546105108333,1.45045872609506,-0.195078505036858,-0.162531104467456,0.997011810842307,-0.344092553380864,0.649630882765493,0.316113314511443,0.14982967467641,0.444354254538691
"SHIF_Oss_2 (GE) - TPM",0.424811067273397,0.737517654333233,-0.936820163698699,-0.226205798661019,-0.203919704529355,-0.134580096585068,0.0650271317411571,0.227045991974063,-0.474535589071022,-0.491559225290706,0.8059223289559,-0.178504070716103,0.816421576028763,-0.100758917361083,-0.0534918624630746,0.212079389746674,0.355854474303363,0.202229818106237,-0.61585728650786,0.0570003990294783,0.219484362602108,0.00771804663022577,0.118146160139224,-0.871269555704287,-0.166666666666667,0.165629256293086,0.316121495638294,1.26980251369045,-0.243708216213273,-0.857913126111432,1.47727689384878,0.1380269787628,-0.0378895641328757,1.33063891477497,-0.195078505036858,-0.367237117266501,1.04627574697756,-0.344092553380864,0.120541546219298,0.884980231642991,0.71222899834571,0.25154522055585
"SHIF_Oss_3 (GE) - TPM",-0.457466615130485,-0.916535399877971,0.0297625851138556,-0.226205798661019,-0.203919704529355,-0.224677819365386,-0.650185213410973,1.82347559042613,-0.0734286369577405,-0.38873687745208,-0.869515523330187,-0.178504070716103,1.14853788114841,0.015708103959397,0.292895678801165,0.812797976576133,0.477697086650567,0.627926414954437,-0.61585728650786,-0.549481714921749,-0.31977134192137,-0.354832200474515,-1.175935542841,-0.634795215581779,-0.166666666666667,-0.0468145444431646,-0.209732328812175,0.315915138648026,-0.110280488186544,0.446599118942167,3.25222323538123,0.0862570047408132,0.259367850730194,0.0979606902761579,-0.195078505036858,0.219835569183891,1.79185039969176,-0.344092553380864,1.04598464222875,-0.696095352750034,0.452067365023233,-0.436063505194616
"SHIF_Oxs_1 (GE) - TPM",2.13239357409153,-0.254602495586944,-0.381092962893167,-0.226205798661019,-0.203919704529355,1.94442968853731,-0.905762088774429,-0.00951358753207133,-0.59808372292974,-0.915216503529724,-0.448243406189053,-0.178504070716103,-0.689634506466944,-0.580636124575722,-0.142399811509566,-0.740697701972053,-0.514166532349732,-0.867253668748671,-0.61585728650786,-0.370774959240015,-0.114332936556391,-0.481328499571062,-1.01765720486748,-0.449060330530619,-0.166666666666667,0.55623799114102,-0.209732328812175,-0.735849488324117,1.01876445529125,0.422827874106701,-0.104398504093858,-0.344131654423918,0.123016207870629,-0.457601742719661,-0.195078505036858,-0.299177663525973,-0.499297411695142,0.393165176892301,-0.354854395921375,-0.0907306748392703,-0.92056316324794,-0.436063505194616
"SHIF_Oxs_2 (GE) - TPM",-0.457466615130485,-0.07428626148484,-0.13734132142745,-0.226205798661019,-0.203919704529355,1.7372585123933,-0.547412559067981,-0.0185770329390621,-0.938751500056119,-0.915216503529724,-0.0374586380894852,-0.178504070716103,-0.770823470483486,-0.580636124575722,-0.447889334921516,-0.611614497294638,-0.758779187813441,-0.673768225509694,0.0265304746616401,-0.739701204879544,-0.132952821814851,-0.0259095410660061,-0.395540224478412,-0.707040852057893,-0.166666666666667,-0.427772860010812,-0.209732328812175,-0.641705460052695,-0.973277006495748,0.109785850172751,-0.167111958152,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,-0.0928021475872465,-0.711624305746919,0.33445342564107,-0.698184102329649,0.0998421779375365,-0.403075317453894,0.0615310092968877
"SHIF_Oxs_3 (GE) - TPM",-0.457466615130485,-0.875990171444087,0.108117458786406,-0.226205798661019,-0.203919704529355,1.42571240508437,-1.07091011258741,-0.661795603470059,-0.656704216429903,-0.228803814337108,0.0101287493341606,-0.178504070716103,-0.426909518496225,0.974365152621597,-0.0354666039657755,-0.543692603960865,-0.737731685351396,-0.379907848049952,-0.0765144028082383,-0.150993843800314,-0.899649191405849,0.0198107477618563,-0.38968022427656,-0.641958371819382,-0.166666666666667,-0.0606175719032671,-0.209732328812175,0.0261180778815335,-0.151644411869401,-0.323382231555397,-0.550666772576802,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,-0.633249713299586,0.035430435728197,-0.344092553380864,-0.698184102329649,-0.696095352750034,-0.798842052603561,-0.436063505194616
"SHIF_Sp_1 (GE) - TPM",-0.457466615130485,-0.889771491251369,-1.29112569696052,-0.226205798661019,-0.203919704529355,0.13750281609123,-1.27435479471444,-0.661795603470059,-0.579068966514362,-0.915216503529724,-1.14547922156286,-0.178504070716103,-1.38602169254976,0.410876348099017,-0.252005850287337,-0.873470661848125,-0.540264710665613,-0.452926498065118,0.759743374635759,-0.601927148159376,-0.982763635859832,-0.949765297878173,-0.507484254758361,-0.152008910659482,-0.166666666666667,-0.151848596934815,-0.209732328812175,0.268768193881749,-0.305707208839764,0.818703903086928,-0.514623579151077,0.556638390602309,-0.381916564791669,-0.457601742719661,-0.195078505036858,0.140151188806899,-0.884203866723319,-0.344092553380864,-0.698184102329649,-0.269992825673672,-1.52409124998466,-0.436063505194616
"SHIF_Sp_2 (GE) - TPM",-0.457466615130485,-0.567342703726512,1.20351638873678,2.48819735217635,-0.203919704529355,-0.319406632876913,-0.331304741228527,-0.661795603470059,-0.938751500056119,-0.915216503529724,-0.771910409427086,-0.178504070716103,-0.723908992967499,1.22138202318711,-1.03408790275238,-0.873470661848125,-0.93626571716402,-0.867253668748671,-0.61585728650786,-0.860408802552055,-1.45437702212351,-0.949765297878173,-0.568499234565799,-0.957950357049017,-0.166666666666667,-0.669517610456465,-0.209732328812175,0.327276651526624,-1.54259473297505,-1.05996854036965,-1.03128163330848,2.593909075393,-0.381916564791669,-0.457601742719661,-0.195078505036858,-0.859743200338234,-0.532364210941811,-0.344092553380864,-0.0393733893414306,-0.308886665006121,-0.511158573697902,-0.436063505194616
