"","E2348C_RS00355","E2348C_RS01500","E2348C_RS26305","E2348C_RS26350","E2348C_RS02370","E2348C_RS26375","E2348C_RS03610","E2348C_RS03615","E2348C_RS26430","E2348C_RS03660","E2348C_RS03775","E2348C_RS03800","E2348C_RS04365","E2348C_RS04450","E2348C_RS04480","E2348C_RS05110","E2348C_RS05185","E2348C_RS05240","E2348C_RS05330","E2348C_RS05450","E2348C_RS05555","E2348C_RS05910","E2348C_RS06035","E2348C_RS06075","E2348C_RS06495","E2348C_RS06590","E2348C_RS06650","E2348C_RS26695","E2348C_RS26845","E2348C_RS08565","E2348C_RS26950","E2348C_RS09560","E2348C_RS09630","E2348C_RS27030","E2348C_RS11265","E2348C_RS11975","E2348C_RS12085","E2348C_RS12130","E2348C_RS13325","E2348C_RS13605","E2348C_RS27275","E2348C_RS13680","E2348C_RS14165","E2348C_RS15110","E2348C_RS27495","E2348C_RS27500","E2348C_RS17970","E2348C_RS27620","E2348C_RS18975","E2348C_RS27660","E2348C_RS19525","E2348C_RS19570","E2348C_RS19835","E2348C_RS20445","E2348C_RS27780","E2348C_RS22525","E2348C_RS24270","E2348C_RS24340","E2348C_RS24770","E2348C_RS25020","E2348C_RS25210"
"EPEC_Li_2 (GE) - TPM",-0.417146987376942,-0.228382376620723,-0.236164274482488,-0.166666666666667,-0.797408648607826,-0.37144356608615,-0.472122604116825,-0.183096791398553,-0.454531421524392,-0.364014617299609,-0.562491719786757,1.09849413023889,0.15676160933725,0.55037597106831,0.485095217554257,-0.333963793515677,-0.3543670305572,-0.556718890544368,0.288158800840812,-0.637575508620482,-0.742743427268928,-0.68202673876078,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.335075226385999,-1.25835637826892,-0.237326236398958,0.453317368520849,0.349290506366048,-0.248769507626128,-0.473459279872837,-0.95129237106518,-0.39011637658143,-0.441457495262788,-0.0124724228729355,-0.235891799908227,-0.625291101960671,0.384109392911088,-0.252923113702622,-0.750645901629153,-0.489215034221555,-0.657771348565509,-0.855362225241235,-0.292716290379728,-0.364899020216439,-0.668548918206561,-0.441615611260325,-0.495215411873663,-0.363080460193611,-0.69329194415153,-0.393821694401348,-0.934875529810358,-0.419178020589802,0.0401885553479302,-0.289061756790805,-0.585289629507824,-0.330599068905131,-0.475914654144153,-0.387429118809353,-0.324391309197329
"EPEC_Li_3 (GE) - TPM",-0.447936465280215,-0.54213698950629,-0.717861263000109,-0.166666666666667,0.142916641706485,-0.554724309406116,0.109860210377478,-0.569266105521459,-0.268545891581412,-0.0807619717845141,-0.562491719786757,-0.518427180316111,-0.660651511563468,-0.0639935915945285,-0.32322167572669,-0.376840381687396,-0.0760984108432182,-0.00830343899557899,-0.319124494864601,0.111415891429374,-0.000700066230873447,-0.980428974041244,-0.330662170659102,-0.314060641295759,-0.50721938789288,0.64594752505532,0.25673579365485,-0.237326236398958,-0.282392504900865,0.445841243633171,-0.248769507626128,-0.473459279872837,-0.220099718128047,-0.28916416147884,0.418767327061987,-0.248094278053989,-0.640451895491487,0.558246376387851,0.412314625841168,-0.252923113702622,-0.512422894358793,-0.489215034221555,1.33437296131282,-0.717547748813964,0.301328418084153,-0.364899020216439,-0.450128745292669,-0.441615611260325,-0.495215411873663,-0.363080460193611,0.116684395477931,-0.393821694401348,-0.439778102455048,-0.401586128792335,0.609634087100419,-0.576721379461739,-0.585289629507824,0.266121485609413,0.63668293113647,-0.387429118809353,-0.273712803678227
"EPEC_Mig_1 (GE) - TPM",0.508250131783029,-1.1034832012242,1.18401064570921,-0.166666666666667,2.02449125953472,-0.882636463188233,0.255594206298488,0.585329870971283,-0.454531421524392,-0.364014617299609,-0.562491719786757,-0.897861742256276,-0.660651511563468,-0.879024598142992,1.95656484176247,2.69682986483553,-0.3543670305572,-0.556718890544368,-0.772863211018771,-0.637575508620482,-0.49082576467932,1.89172863413496,-0.330662170659102,-0.314060641295759,-0.50721938789288,0.751688324280077,-1.25835637826892,-0.237326236398958,-0.482487806230391,1.19340329568734,-0.248769507626128,-0.473459279872837,-0.0370021687324714,1.12466286834558,-0.441457495262788,-0.8327070223657,0.900516660228005,-0.246259375540569,0.000459023857454015,-0.252923113702622,1.03661189354298,-0.489215034221555,-0.657771348565509,-0.855362225241235,-0.292716290379728,-0.364899020216439,0.150795026035009,-0.441615611260325,-0.495215411873663,2.5541036177582,-0.69329194415153,-0.393821694401348,1.3380827108305,1.49903492251908,1.14503086893507,-0.576721379461739,-0.585289629507824,1.12229930881061,-0.475914654144153,-0.387429118809353,-0.379214809072274
"EPEC_Mig_2 (GE) - TPM",0.309765770606627,-1.1034832012242,0.221316306212108,-0.166666666666667,0.506637110739681,0.633195195463703,0.873036404301371,0.475987712647052,2.12472114099444,0.618024297551303,-0.562491719786757,1.07539170160021,1.76320980091023,-0.879024598142992,-1.39554584603844,0.248320725138929,1.57515149328774,-0.556718890544368,-0.772863211018771,-0.637575508620482,0.0766877550997014,-0.980428974041244,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.827185585090572,-1.25835637826892,-0.237326236398958,2.29243946502192,-1.04781507831277,-0.248769507626128,-0.473459279872837,-0.95129237106518,2.05989790474685,-0.441457495262788,-0.8327070223657,-0.750482462148108,-0.78757142529269,-0.0515952337391831,-0.252923113702622,-0.750645901629153,-0.489215034221555,-0.657771348565509,-0.855362225241235,-0.292716290379728,-0.364899020216439,-0.668548918206561,1.4425277801936,-0.495215411873663,-0.363080460193611,1.17883716810506,-0.393821694401348,-1.08598430190743,2.27918730963249,1.02341343902581,-0.576721379461739,-0.585289629507824,-0.146673035575667,1.45277717376344,-0.387429118809353,-0.365667542593174
"EPEC_Mig_3 (GE) - TPM",4.95849904960085,2.68753023578313,4.66443629424267,5.83333333333333,4.28292963592311,4.28460583749132,5.42344939170914,4.33839902723525,4.56963105383674,5.37476777617174,4.83958621186656,4.22710924099955,4.06082215351554,4.62523183879694,3.43236635753364,4.50388662452667,5.28343752446604,4.4697126921426,4.33429268879525,4.42068693874553,3.65704470931937,2.46678336055063,4.90007488773693,3.9388265216144,3.22088239957083,4.85778824522886,3.28923112129731,5.76812777638169,4.92283219477829,2.98710744872691,5.64616511727767,3.84638928008849,3.98676744961347,5.06407493956655,3.43152236785079,4.69469231151782,4.45110514317267,4.18276733368804,5.49778440418667,5.40848763247764,4.07582270093916,4.59062963935709,3.82683232489153,4.72896190413657,5.72504447454295,5.40178996661355,5.23179417464927,5.06360865083527,4.45173329554382,4.88880033935451,4.77682813974772,5.0344598845419,3.71453624593148,4.8742588511251,5.31943746630529,5.23872315817002,4.64460759973372,4.24096140667515,5.15947440227819,5.29086881592725,5.6770404030821
"EPEC_Nd_1 (GE) - TPM",-0.479632093903936,-0.545630240568006,0.654586026446298,-0.166666666666667,-0.236724454258951,0.963969044283734,0.106238537852435,-0.379904742441305,-0.454531421524392,-0.364014617299609,1.0273550149199,0.327626628913808,0.728891472208641,0.133424249382879,0.114126558589359,-0.315459400123352,-0.3543670305572,-0.556718890544368,-0.321948105830288,0.106754926543142,0.612278998349465,0.541357459582381,-0.330662170659102,-0.314060641295759,-0.50721938789288,0.427642259956468,0.916491290331136,-0.237326236398958,-0.482487806230391,1.62403528887216,-0.248769507626128,0.480048409364179,0.623099602961727,-0.339954381286457,0.413414157865579,0.329242389027076,0.0149384716646629,0.413672825723639,-0.322552496445744,-0.252923113702622,-0.513905353373454,0.258291255772744,-0.32781347883976,-0.718405366519651,-0.292716290379728,-0.364899020216439,0.525286288407788,0.0984520518821417,-0.1312401810236,-0.363080460193611,-0.15666803327084,-0.393821694401348,0.840570294169442,-0.375088472860151,-0.247491192144609,-0.0877208967915414,-0.585289629507824,-0.38777520483181,0.353340773251151,0.0303556455941007,-0.365623729944463
"EPEC_Nd_2 (GE) - TPM",-0.709811102661825,-0.803799050957918,1.60644556436958,-0.166666666666667,1.61223229118908,0.167732167589897,0.926033468080597,0.374499578914412,-0.156656877836683,-0.364014617299609,0.718630463361992,-0.138233445560708,-0.660651511563468,0.0999910384139133,0.608128411209816,-0.528784212543747,-0.3543670305572,-0.556718890544368,-0.530627138282711,2.36138725544419,0.26818771870319,0.450228900657856,-0.330662170659102,-0.314060641295759,-0.50721938789288,0.521026376101448,-0.179879670632316,-0.237326236398958,-0.482487806230391,0.387529474273098,-0.248769507626128,-0.473459279872837,0.219786249898859,-0.309273810388086,-0.441457495262788,-0.0836541061265468,-0.0455823583456877,-0.393283216604306,0.193417778771936,-0.252923113702622,0.393968461266234,-0.489215034221555,-0.126001415068112,1.13115155883059,-0.292716290379728,-0.364899020216439,-0.318727029492898,-0.441615611260325,-0.495215411873663,-0.363080460193611,-0.260872402845029,-0.393821694401348,0.983944222649636,-0.347056769646085,-0.11744825671468,-0.576721379461739,-0.585289629507824,-0.0591605879031793,-0.475914654144153,-0.387429118809353,-0.376085696493973
"EPEC_Nd_3 (GE) - TPM",-0.448774330670653,0.246907924563977,0.140277587183045,-0.166666666666667,-0.288441895263502,0.103407562381048,0.140392774508024,-0.163698562163735,-0.118972183840318,-0.108489249727238,-0.201691852764264,0.129014696253136,-0.0299656563389803,-0.511400321606968,0.861617179450934,-0.573098397910182,-0.3543670305572,-0.556718890544368,0.045782292038944,-0.637575508620482,0.690111509731662,1.55216893406124,-0.330662170659102,-0.314060641295759,-0.50721938789288,0.311897094613451,0.715883609536818,-0.237326236398958,-0.301979605334081,-1.04781507831277,-0.248769507626128,2.12320949308634,0.258005534636889,-0.39011637658143,-0.441457495262788,0.222064318886986,0.440635139835681,-0.224060942947911,-0.356129139580986,-0.252923113702622,-0.750645901629153,0.189341367805739,0.540319037387887,-0.233742350982273,-0.0247691151794981,-0.364899020216439,-0.175950738889005,-0.196489666991137,-0.164813211508212,-0.363080460193611,0.280959630649914,-0.393821694401348,1.59558483634052,-0.392452640505673,-0.267102964621452,0.200095113032652,-0.585289629507824,0.317419943312119,-0.475914654144153,-0.387429118809353,-0.370402352164698
"EPEC_Ns_1 (GE) - TPM",-0.681642919393118,-0.128695565874121,-0.576940584684708,-0.166666666666667,-0.797408648607826,-0.503019622600857,-0.472122604116825,-0.857796960866754,-0.454531421524392,-0.364014617299609,-0.562491719786757,-0.238966907359414,-0.660651511563468,-0.879024598142992,-1.39554584603844,-0.6302491064968,-0.3543670305572,0.53166184250632,0.0150621030667745,-0.637575508620482,-0.695246340209657,-0.0940433109765733,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.827185585090572,-0.0890299864156473,-0.237326236398958,-0.13501877270673,-1.04781507831277,-0.248769507626128,-0.473459279872837,-0.316427877183189,-0.39011637658143,-0.441457495262788,-0.8327070223657,-0.559412435043862,-0.670295222851826,-0.686566893866211,-0.252923113702622,-0.750645901629153,-0.489215034221555,-0.657771348565509,0.101906888674791,-0.292716290379728,-0.364899020216439,-0.668548918206561,-0.441615611260325,0.776799185657569,-0.363080460193611,-0.69329194415153,-0.393821694401348,-0.637124899303805,-0.424273800019309,-0.460108263363283,-0.576721379461739,-0.585289629507824,-0.287188237251205,-0.475914654144153,-0.387429118809353,0.0550515026705896
"EPEC_Ns_2 (GE) - TPM",-0.631698297044844,-0.849333669469886,-0.977110932809095,-0.166666666666667,-0.541969248640319,-0.882636463188233,-0.340376226512897,-0.727164598286648,-0.454531421524392,-0.364014617299609,0.523974156568743,-0.511336444042195,-0.660651511563468,-0.879024598142992,-1.15279842884061,-0.544200994627367,-0.3543670305572,-0.556718890544368,-0.567432979260823,-0.128916654735867,-1.15969668049937,-0.980428974041244,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.827185585090572,0.570865153518968,-0.237326236398958,-0.482487806230391,-0.236311487587296,-0.248769507626128,-0.473459279872837,-0.454721092765296,-0.39011637658143,-0.441457495262788,-0.515086874769319,-0.750482462148108,-0.614951879342582,-0.189048217845858,-0.252923113702622,-0.750645901629153,-0.489215034221555,-0.657771348565509,-0.106616071750644,-0.292716290379728,-0.364899020216439,-0.668548918206561,-0.441615611260325,-0.495215411873663,-0.363080460193611,-0.69329194415153,-0.393821694401348,-0.647129456841154,-0.393515948459727,0.411678384255044,-0.576721379461739,-0.585289629507824,0.173719260519906,-0.475914654144153,-0.387429118809353,0.0533332149283468
"EPEC_Ns_3 (GE) - TPM",-0.733917836742445,-0.7604230930596,-0.818673558647703,-0.166666666666667,-0.107806212807024,-0.682236822819709,-0.472122604116825,-0.857796960866754,-0.454531421524392,-0.364014617299609,-0.562491719786757,-0.897861742256276,-0.660651511563468,-0.505452167396947,-0.904042155872254,-0.6302491064968,-0.3543670305572,0.161476024422498,0.613622078805199,0.735636238671693,-0.66933023083301,-0.746467583149282,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.827185585090572,-1.25835637826892,-0.237326236398958,-0.482487806230391,-1.04781507831277,-0.248769507626128,-0.473459279872837,-0.504432616121188,-0.39011637658143,-0.441457495262788,-0.8327070223657,-0.750482462148108,-0.0229690694342847,-0.18289054605577,-0.252923113702622,-0.750645901629153,-0.489215034221555,-0.657771348565509,-0.097349016599884,-0.292716290379728,-0.364899020216439,-0.668548918206561,-0.441615611260325,-0.495215411873663,-0.363080460193611,-0.69329194415153,-0.393821694401348,-0.73055514311075,-0.421400765538441,-0.0678520206335059,0.325433329940549,-0.585289629507824,-0.711681122798054,-0.475914654144153,-0.387429118809353,0.179579831506165
"EPEC_Oss_1 (GE) - TPM",0.382862213281469,0.284847874848236,0.376492827949804,-0.166666666666667,-0.177241013186636,0.55913769064138,-0.0722976384722147,0.252246641490413,1.23207145083934,0.920318432686183,-0.232770182331529,-0.428649709825009,0.780249170294897,-0.20710837748685,0.298845323187521,-0.421337505382554,0.563257931615547,0.218338537359144,-0.648174947358856,-0.328839113015851,1.26576126617922,0.597602892857348,0.946392092415759,-0.314060641295759,-0.0521221204744587,-0.480197197632627,-0.00930573186921697,0.00703991976148153,-0.482487806230391,-0.801539316708186,-0.248769507626128,-0.473459279872837,-0.448959535776435,0.23407549724698,0.0313253449433995,0.61316724128391,-0.750482462148108,0.627314278096862,-0.3090984748345,-0.252923113702622,-0.554253492718795,-0.489215034221555,1.80573138479527,0.280788196417384,0.197017562642895,0.339052896220008,0.0517184377896585,0.678441663733934,1.01449580724652,0.5985818292451,1.0873723863781,-0.393821694401348,-0.127059350337055,-0.053174480594055,-0.283727921748982,0.234597031777787,0.0531349825844324,-0.107101578244752,-0.246606702019768,-0.0408482017134505,-0.205261896561174
