"","D7S_RS00400","D7S_RS00405","D7S_RS00565","D7S_RS00920","D7S_RS01410","D7S_RS01735","D7S_RS02550","D7S_RS02835","D7S_RS03470","D7S_RS05070","D7S_RS07160","D7S_RS07170","D7S_RS07175","D7S_RS07745","D7S_RS07750","D7S_RS07760","D7S_RS07765","D7S_RS07835","D7S_RS08190","D7S_RS08195","D7S_RS08200","D7S_RS09065","D7S_RS09075","D7S_RS09635","D7S_RS09640","D7S_RS09645","D7S_RS10500","D7S_RS10720","D7S_RS10725","D7S_RS10730","D7S_RS10735"
"AGGA_Ns_1 (GE) - TPM",-0.417825389913677,-0.354219486520131,0.0154563805337263,-0.574503434853039,0.172291789052108,-0.88397293587125,0.533408818057756,-0.816543209175246,-0.827586023485462,-0.249060597939138,0.0180160392821172,0.0553570100088458,-0.466235294850709,-0.702707115842995,-0.432737357447477,-0.540369376573262,0.266990646194252,0.0177591673992489,-0.330749049259564,-0.820313868698487,-0.466015599041748,-0.841412884394212,-0.621534085515329,0.269186768510695,-0.737876239552116,-1.42653102258014,0.430681012038023,-0.93769823090902,-0.918175706669967,-1.11426632480287,-1.31046231452384
"AGGA_Ns_2 (GE) - TPM",1.02749653539059,0.4637512572924,0.774451675944249,1.22011021211723,-0.0116129703246392,-0.20326956520895,-0.0827825696871883,-0.497051830219132,-0.419317224102161,0.0161498119694713,0.285524556568926,-0.536157963899848,-0.742844536878468,-0.48161447424463,-0.294484766566014,0.2070316348544,-0.559889621626248,-0.612427643734961,0.955464044638394,-0.214662150375106,0.153815939457648,0.116754873208536,0.948759797896566,0.484806870247945,0.019041300355652,-0.245573286880167,-0.0486838150582919,-0.534284085702222,-0.326469404926985,0.755051165674838,-0.546304995274618
"AGGA_Ns_3 (GE) - TPM",1.60992470142672,0.575580566447326,0.297724500079171,0.939104148191838,0.324174364266437,0.720044765624785,-0.413513369161343,0.165704852883543,-0.181803966786429,0.0792443670632687,0.638850867622285,-0.438856677066422,-0.852327117030548,-0.516948601716736,-0.199015659522553,0.0726234721479014,0.307065700645677,-0.608988780999941,0.35391323029813,-0.351309732883756,0.363565016410023,0.617283501594067,0.697616223797456,0.587211270228174,-0.226252624873271,-0.699690301068256,0.528077767199687,-0.388064470602908,-0.555017499564016,0.146415676377463,-0.978244722529971
"AGGA_Oss_1 (GE) - TPM",-1.04511000338515,-0.898871395173684,-0.361083112803534,1.3830232746837,-0.137084698985562,0.470682192281087,0.155212206313003,1.70471121839759,1.58022461387368,0.633083951441731,-0.321452072263873,-0.22244040972648,0.161909784917621,0.0592439159302901,-0.071613494660503,0.513867590730401,-0.0129597802335902,0.29951069913538,1.58332177623892,1.8618831896074,2.1220756599421,0.743000495326936,0.787967677967586,0.949161480387548,1.07724503417966,0.674359428009325,1.0240094260401,1.19041226000719,1.476959642272,1.0519352705711,1.52581407752864
"AGGA_Oss_2 (GE) - TPM",-0.830422292295625,-0.509742634362813,-0.254626863640023,0.643154005484761,0.259878819399597,0.706850457050522,0.442237037534153,1.25676913132984,1.34901067323225,-0.274686626845372,-0.568271367842281,-0.649542724658922,-0.410535452523061,-0.285246596764737,-0.611653209098721,0.00366551909182044,-0.499788487950976,-0.0418304716290303,0.287887553732963,0.123758927832812,1.10068508143653,0.396147921129576,0.710273552781668,-0.379395246830515,-0.0228047885486508,-0.036517135489336,-0.044596026175328,0.672253908109832,2.38026936375108,1.02916447197229,1.11211478742395
"AGGA_Oss_3 (GE) - TPM",-0.506550605881559,-0.133350793501082,0.533941859236937,0.582461306678172,0.36526171841436,0.447084597659601,-0.372677342669064,0.134539057888307,1.03251029922677,0.207404032484959,-0.229148844826333,-0.367403405893688,0.197440977921607,0.185991199601573,0.255227126502516,0.292051876843491,0.172209159696522,0.304904220050769,0.369202778009665,0.636666996431605,0.611278952583337,0.714673446720632,0.872323060794902,0.0344302894068447,-0.314562670005843,-0.0889478539101403,0.347260741571321,0.71721911361239,0.520470826652204,0.76987571273927,0.876336953138477
"AGGA_Oxs_1 (GE) - TPM",-0.816751728899679,-0.370536695476568,-1.02861859115458,-1.77223486789518,0.119847196237776,-0.992133793571842,-0.494040616066704,-0.826266474103856,-0.248878791893694,-0.625842004615424,-0.310662656215727,-0.147984515489679,-0.123908710766722,-0.490125138053828,-0.600287387868827,-0.523979041723763,-0.330128146234446,-1.01684509032667,-1.46994430180271,-1.44829108530614,-0.547533352265703,-1.49903666683437,-1.271561118399,0.642714801554139,-0.0858315373284394,-0.487746065922993,0.0128953281729004,-0.700894174165288,-0.708829596349642,-1.07587491864941,-1.15040315754747
"AGGA_Oxs_2 (GE) - TPM",1.18309356682741,0.0524880308437813,0.930368598051681,-0.978902248224002,-0.0519814652421712,-0.182263583861106,-1.04660125407373,-0.370543825927145,0.608516805865109,0.0470274138210175,0.533015518067656,-0.458714066364932,-0.414085359348606,-0.399227595019217,0.540085475367496,0.134295697969661,0.801997755868971,-0.486480057551921,0.112043435516496,1.43611183330608,0.31297587116905,1.82335447511067,1.13584877887083,0.850339760785895,0.239239746251537,0.0337889132156615,-0.304897307446381,0.662686890294852,0.598796801252919,0.791196967022743,0.208805966131374
"AGGA_Oxs_3 (GE) - TPM",1.99303131768693,1.3319639103555,1.35897230236396,0.230195893083215,0.531425010732242,0.0754162920989176,2.095992740065,0.152480920394049,0.968900233069041,1.03261169716838,1.81862072638414,-0.0166145659789314,-0.468832038855826,0.125158783774377,0.708572505352049,0.0753408266369616,0.927767231179899,-0.0156283510829211,0.0571205065481446,0.755863627642185,1.25638452309684,0.998974949540681,1.20964537961811,1.17855888182935,1.10053068791452,0.726205847236901,0.120418093357985,0.694866577950989,1.4730733030681,0.433823275073467,-0.16246521256131
"AGGA_Sp_1 (GE) - TPM",-1.02308905647073,-1.17193274070753,-1.03362013723417,-0.479176136150216,-0.884241366465663,-1.09901103331121,-0.315019616951324,-0.229147804050371,-1.31071120981939,-1.60024358319825,-1.12977594832935,-1.19146700550321,-1.07543814701024,-0.957226480894351,-0.997893628063526,-1.08666141054079,-1.27353532019127,-1.4791239995352,-0.922330863365985,-0.703005604516471,-1.23980516110938,-0.69848435347243,-0.484409750470636,-1.0637016539948,-0.433271769495561,-0.154401343796263,-1.17529949406231,-1.08420748487192,-0.902482532952207,-1.16125280611964,-1.09428043501297
"AGGA_Sp_2 (GE) - TPM",-1.11814298158151,-1.10316979689787,-0.991013012049343,-1.53164763501616,-1.13029949767649,-1.11268039718823,-0.327075281448481,-0.509001817619284,-0.866715823628595,-0.621695710255026,-1.211375919313,-1.40240380193721,-0.858222369272185,-0.755147668220778,-1.08430897131935,-1.08253790530535,-1.27720312475833,-1.35226758762857,-0.78304821265727,-0.817064323318867,-1.31860582406308,-0.952941146315802,-1.04200908863334,-1.12499360953901,-1.11615153538219,-0.618063995000731,-1.0489734648438,-1.16738450808955,-1.08514777746799,-1.36505339608692,-1.40321434595579
"AGGA_Sp_3 (GE) - TPM",-1.18292547128042,-1.23320974899906,-1.47019498026119,-1.27157770536775,-1.24636281425562,-1.08764227919875,-0.44779718072528,-0.185278773681155,-1.28812854900766,-1.36910408017959,-1.04373965764199,-1.14804630384007,-1.07543814701024,-0.85357945710221,-1.00289022128697,-0.618410745492133,-1.41367148768511,-1.38033089436101,-0.783396699314785,-1.04712556562128,-0.681616641680941,-0.905527839043087,-0.806966814670782,-1.01096404669026,-0.792391706155451,-0.553163103986952,-1.07278958186111,-0.9884515252023,-0.811352093476707,-1.24541484339326,-1.29750921626792
"AGGA_Tm_1 (GE) - TPM",-0.453633111347718,-0.787419601126776,-1.23509951257272,-1.01642268760761,-1.21202106250795,-0.56822561481831,-0.298815831743662,-0.281779492212815,-0.473899815420814,-0.816523022045064,-0.203266202116292,-0.790063984862303,-0.2355317747298,-0.92270447650729,-0.852255263108382,-1.03806844710927,-0.957497029997803,-0.387624120945022,-0.590760068600924,-0.652910109084062,-0.113519723460657,-0.809556875977673,-0.692154429078697,-0.363736134434188,-0.168387492383013,-1.01502949797248,0.575643195023561,-0.796496399276447,-0.957202923285357,-0.880215016124386,-0.994371534413225
"AGGA_Tm_2 (GE) - TPM",-1.20819308123396,-1.24976930602425,-0.964519832147901,-1.1927767127238,-1.32071786625011,-0.880025262184017,-1.39469002617312,-0.418688262999974,-0.864566987986433,-0.305712882353978,-0.819333254154109,-1.08072083520172,-0.800402213647138,-1.10744472660854,-1.01366833458479,-0.913603430364676,-1.10563277268624,-0.840727312727819,-0.580242459995332,-0.71714019051554,0.0906529521312831,-0.420656771834279,-0.816465900208023,-0.409507743045716,0.247603831925896,-0.078627263230944,-0.21844141916953,-1.11135196399786,-0.792505479082555,-1.08829770240995,-1.25020418069388
"AGGA_Tm_3 (GE) - TPM",-0.635907182582506,-0.696029932311804,-0.717669184571213,-1.0311400699703,-1.09250595206073,-0.690210442448925,-0.782270921490829,-0.88651819288106,-0.331373776816322,1.15381541328126,-0.428533625982172,-1.040704864274,-0.790332942801833,-1.07862804184815,-0.702678251236653,-0.870224106679376,-0.988570969063479,-1.05120530855907,-0.662351244821339,-0.840994227336012,-0.435758973887577,-0.313921530320411,-0.691576122339116,-0.558317356443967,-0.383489696145056,-0.919362523571908,0.123965995664615,-0.829895787957157,-0.66770476079848,-0.882735014702937,-0.944608138578463
"AGGA_Vic_1 (GE) - TPM",0.932229733039596,1.29709729079753,1.42749674897053,1.19290470779311,0.925196899116981,1.56643790460407,3.18572261783654,3.62706882347807,2.61221144943227,2.04354563506577,2.69249605527683,1.26414707795774,1.34187720368555,2.61959991945291,3.33975347654438,3.70414984454328,2.9938105095219,1.38110787006297,1.2964419848069,2.12721412053206,2.1652314433442,2.09477018648433,1.23055059673462,1.49290943211424,1.62684932430824,1.79792037263826,2.89292364802536,2.46651282437222,2.23086014821001,2.33092579077766,2.4824345165846
"AGGA_Vic_2 (GE) - TPM",2.04308865888914,2.69236033271098,1.60723948952767,2.3107524196442,3.11697063111542,2.27209733442747,2.23259897553741,1.62917885206081,1.21894694158185,1.87755303818927,2.12695348681512,1.99379721267256,2.90356753483751,2.70410271567809,0.8748418659041,2.51675626386322,2.0785191644987,1.29482122589909,1.03980832665915,0.700363942326104,0.185404507075658,2.38699898080818,2.83334058286473,1.40931372094893,1.5793145972355,2.26246828549441,3.13723451621733,2.14824227063011,1.04924768319859,1.75602237549825,1.20347526441744
"AGGA_Vic_3 (GE) - TPM",2.1077688665832,2.35318439476304,2.2282302775012,1.60738728367451,2.37026012143711,2.48058081101419,2.07495735587059,2.03697529872722,1.13889409855505,1.33171014029243,1.70800990852174,1.08924083616133,2.46712984110666,2.27552400085298,0.795278279550733,0.927756021903553,1.7268708217187,2.58614107339565,0.271888179883125,0.562856453890677,0.869957636778251,1.5532822774062,2.15540231838973,0.362203422311453,0.39703987542529,0.289426104849412,1.44202993124178,2.24336311459733,1.41619537457546,1.60044590813264,1.22073162223035
