"","SAS_RS00645","SAS_RS00650","SAS_RS00755","SAS_RS00765","SAS_RS01060","SAS_RS01065","SAS_RS01470","SAS_RS14440","SAS_RS04565","SAS_RS04570","SAS_RS04575","SAS_RS04580","SAS_RS04585","SAS_RS05150","SAS_RS05305","SAS_RS05310","SAS_RS05315","SAS_RS05320","SAS_RS06720","SAS_RS06725","SAS_RS06730","SAS_RS06885","SAS_RS07085","SAS_RS07090","SAS_RS07095","SAS_RS07100","SAS_RS14670","SAS_RS08175","SAS_RS08180","SAS_RS08185","SAS_RS08190","SAS_RS08195","SAS_RS08200","SAS_RS08775","SAS_RS08785","SAS_RS09495","SAS_RS09995","SAS_RS10260","SAS_RS11085","SAS_RS14890","SAS_RS12865","SAS_RS13275","SAS_RS13905","SAS_RS13920","SAS_RS13940","SAS_RS13945","SAS_RS13950","SAS_RS13985"
"MSSA_Li_2 (GE) - TPM",-0.00526443792349271,-0.054842247904038,0.22317344108413,1.36549023482754,-0.440492596643374,-0.304443701907425,-0.0376052353635388,0.11908111063543,0.0380086375872785,-0.113613759070392,-0.182077690238325,-0.195905804796362,-0.205919966240506,-0.619055803503608,-0.0727239040491886,-0.0809962478936342,-0.343000893718608,-0.227207967426227,-0.295565380887604,-0.282753772930233,-0.139219337099948,-0.17807091376726,1.30834760030509,0.642220674785176,0.121171467413399,-0.283716878060572,-0.212603379262063,-0.147226869435804,-0.326753011710434,-0.236111666638508,-0.113255090084586,-0.280194887874511,-0.271577062179787,0.878482078240888,0.830485911036823,0.0710266368586313,-0.553563720280712,-0.372206975089757,-0.250920753755921,-0.17933982301904,0.0736883501025888,-0.567457383626701,-0.302429014923412,-0.434950324186379,0.252435564840287,-0.0499038786114423,-0.456748376093569,0.24386247852927
"MSSA_Li_3 (GE) - TPM",0.349409690778804,-0.583609519456617,2.14639120924007,1.59518619502807,-0.230795301646831,-0.0302076025325102,-0.340766888526769,-0.312970870484492,0.195285412827473,-0.0352501002717177,-0.251406511924913,-0.139035547345916,-0.157893920903963,-0.189067446833987,-0.051954563449296,-0.068651944705828,0.151721958056588,0.129102863624179,-0.283713789304512,-0.195500086635691,-0.38277773927669,-0.762031574141624,1.25730809073151,0.401733308134233,-0.0626731102574455,-0.290480155383904,-0.504871366106375,-0.254277987284319,-0.126722599560592,-0.278585897330764,-0.221099890049394,-0.43982233122149,-0.292452819668503,1.44022630325052,1.10472037550833,1.2083079681273,-0.26633171220591,0.781485040818609,-0.456371303136525,-0.669231950122604,1.40332285268862,-0.615272521993265,-0.723478391478218,-0.37632977141757,0.272847511733735,1.08995460133579,0.119465812776527,2.64851221717441
"MSSA_Mig_1 (GE) - TPM",-0.675737763648315,-0.5518662848657,-1.40988379253082,-1.08009391257456,-0.351081213192819,-0.361582138093766,-0.340766888526769,-0.0717777583950354,-0.356772619388453,-0.45334472109397,-0.352754193340435,-0.464017112919115,-0.417180955123134,-0.843793826518161,-0.594149394191086,-0.55313778283638,-0.76551621855869,-1.12758596265445,-0.248579540366132,-0.340101575318647,-0.436720293259927,0.138025676596689,-0.865730593069176,-0.777042979159394,-0.499684826886901,-0.188536089514758,0.170836619545041,-0.611347747398358,-0.486394090532658,-0.49057048676342,-0.498423320806718,-0.594270586512306,-0.546047265854041,-0.702476499643162,-0.994822500837402,0.0865992281904199,0.649045514466363,2.09209674686394,0.493610104607305,0.40336832949283,-1.33875142291411,-0.00726925967971931,0.0796126479153196,-0.0611132861239594,-0.434910911144446,-0.638293194356708,-0.222874171739822,-1.18640496493644
"MSSA_Mig_2 (GE) - TPM",-0.478239858459115,0.0836207682780671,-0.292232656275048,-1.29394024769817,-0.213282096161383,-0.253680038150348,0.25960259910853,-0.503793872425346,-0.485235603536015,-0.344438619972424,-0.323441376513887,-0.393374158696228,-0.451847538019986,-0.86666387571903,-0.760019914582742,-0.76216164118556,-0.837053707795473,-0.826652929019478,-0.292125950099623,-0.39950931342844,-0.356706266927212,0.779905579912715,-0.784507962346897,-0.812327390874399,-0.891629080295206,-0.651537858616431,-0.504871366106375,-0.731258828871651,-0.486886291411944,-0.609242142087398,-0.450791767735087,-0.592763119858364,-0.643419606240515,-0.822070226693454,-1.47296528622546,0.415987818495133,-0.438217320388521,0.0448195386257158,0.62860532990314,0.795523771751494,-1.08208338508046,0.142257326228493,-0.11200325818276,-0.0732724605025764,-0.809466626741408,-1.34903785493259,-0.708440036221384,-1.19620599084127
"MSSA_Mig_3 (GE) - TPM",-0.00910721767706665,-0.473427636807234,-0.672510134449401,-0.207217535049848,-0.197456645593093,-0.298016666355893,-0.340766888526769,0.105244124614584,-0.502194888142841,-0.421606887651344,-0.380668332042308,-0.48826780755932,-0.435794866753525,-0.476400165712815,-0.527945580230796,-0.91438101275945,-0.71188925056124,-0.704502982070993,-0.267794112137177,-0.326965438022421,-0.311058850788065,0.760603478184563,-0.801650267113169,-1.0934008114152,-0.688875569817554,-0.568941572007197,-0.504871366106375,-0.597335506860335,-0.473172768374613,-0.504661560532874,-0.444223184092649,-0.579065325563539,-0.486951159944692,-0.653808466042038,-1.2933864386953,-1.21952962945654,0.311012448625272,-0.51305996247886,-0.255484777756839,-0.391048313998288,-0.965392167411779,-0.428260765892504,-0.394121681470555,0.00340980367741932,-0.796560135426425,-0.00997901316692935,-0.643126630128585,-0.635818803511288
"MSSA_Nd_1 (GE) - TPM",0.811464486824419,0.93478506909782,1.13075849614275,0.0411931252685367,1.62637178327907,1.25115595616663,-0.340766888526769,0.132968433414321,0.0754892614675271,0.120221917527258,0.140867592746739,0.298516980092342,0.518036160912472,1.60831030217804,-0.714751121550056,-0.39865119723382,-0.135616304544478,-0.447553054540469,0.792917919072553,1.02867448509538,0.483474253956511,0.730419345508788,0.755407686105134,0.306597250181661,-0.427956112494039,-0.461127904324444,-0.504871366106375,1.14510317423023,0.273763782685565,0.308867055243424,0.707244307448203,0.460833061682762,0.181725216072458,0.226144027844474,-0.637781137922586,-0.072114015689147,-0.131953260020184,-0.51305996247886,-0.456371303136525,-0.212365416891866,0.243688903254061,0.3623515144169,0.71131124923468,0.611809236014738,0.359912968527717,-0.144042471983546,-0.727301212435241,-0.788474938380075
"MSSA_Nd_2 (GE) - TPM",0.725310462147914,1.60397889678192,0.85305479712205,3.62620617310217,2.28621713730036,2.40615716788359,-0.340766888526769,-0.392726890022003,2.83466594121889,2.12501084808292,1.77633746865695,2.33871387168656,2.24972549182508,1.50760924492576,0.819501483220436,0.270937961780471,0.0572449909592412,0.203863686417012,1.28436677085914,1.68928086154503,1.15554083301024,0.626342233820219,1.66274767571795,2.5065091580198,1.49849266672413,0.869821898484553,-0.504871366106375,2.30511365273473,1.2036553591172,1.43072289565463,0.859473851178479,1.55606453619119,0.680409150293094,0.418008047634475,0.103680776658177,1.61756169867829,2.20055383072194,-0.0107403409578375,-0.0900253558449375,-0.398146474453364,0.884494359265626,2.19833451362525,-0.573320863915589,1.07849788537598,0.417399033180202,0.0546892659686264,-0.937666846103911,2.19934594219634
"MSSA_Nd_3 (GE) - TPM",1.4578387487327,0.831539085918639,-1.00132345054642,-0.777245913744857,1.14063095877657,1.57834009604657,-0.340766888526769,-0.180193290362601,0.594222457538165,0.261604000837517,0.177978878073886,0.59051635640777,0.837137332851085,0.595509493509668,-0.204152898550727,-0.439462896463109,-0.201077960006915,-0.158770145052858,0.631716614127183,0.997353572453341,0.810788389357906,-0.256392361570887,-0.119155965738333,0.504262068174614,-0.525574391160993,-0.333229201658731,-0.504871366106375,0.756863075430362,0.146724650257957,0.55406904154947,0.572882501144351,0.4813237831237,0.490905719528749,-0.168411041170342,-1.18128194772055,0.740845184395868,-0.0706107734898567,-0.51305996247886,0.611000468011014,-0.199891521164474,0.30168845482939,-0.242653448369028,0.698374910790175,0.782714311810936,-0.474740797528809,-0.574647059509237,-0.875607713300318,0.934916117000209
"MSSA_Ns_1 (GE) - TPM",-0.855771294021336,-0.817941393387483,-0.992904432759206,-1.04002756921513,-0.46776088142681,-0.367733250552816,-0.340766888526769,-0.380270897997882,-0.534702482187586,-0.496833647249169,-0.445610250064061,-0.503530064297136,-0.472838921610216,-0.742854976511755,-0.532123612772778,-0.343736067101164,-0.119437318788764,-0.00607821848680294,-0.461204704972637,-0.452950948336249,-0.54020741685853,-0.762031574141624,0.278425665132115,0.0447770811177634,-0.630624011727237,-0.877476866694311,0.944127714137823,-0.455933687797774,-0.319199428984626,-0.386001309864955,-0.397523370751413,-0.572831111677589,-0.614594341786626,0.000621113333622525,-0.991156319177482,-0.27679092919979,-1.26885090918253,-0.51305996247886,-0.456371303136525,-0.432050364839338,-0.462366095344586,-0.473038487572758,-0.26423536443026,-0.436762234453349,-0.175375415855676,-0.804593588605951,1.02444742970181,-0.882175337391509
"MSSA_Ns_2 (GE) - TPM",-0.777931983741491,0.933974552550627,-0.0495449927171759,-1.2378339373465,-0.0313299988749019,-0.208808041809935,-0.340766888526769,-0.503793872425346,-0.626759990716415,-0.510752671923581,-0.492156484845039,-0.426043774112176,-0.445067074251182,-0.151111671843873,-0.883231649520619,-0.869321922685446,-0.0752945586138393,-0.199628678553502,-0.456918548051716,-0.408594758141796,-0.567735768552899,-0.055303534072193,-0.339492409497748,-0.815218241848926,-0.797712051326511,-0.810357865837319,-0.504871366106375,0.0265243380491963,-0.0469242363883115,-0.326312511312685,-0.455029989583273,-0.333177369593169,-0.594592376393235,-0.138449125066989,-1.19673714766627,-0.42373491170962,-0.80481576903275,-0.51305996247886,-0.456371303136525,-0.252639449977613,0.237310849689461,-0.615272521993265,-0.570608127683298,-0.436413956700972,-0.545567222296792,-0.188091548892616,0.95103287565303,0.242363646316939
"MSSA_Ns_3 (GE) - TPM",-0.804408246970605,-0.22644874486296,-0.97459900130539,-0.760349937605195,-0.299972029470715,-0.39030754531615,-0.340766888526769,0.0136723006085074,-0.65089125353751,-0.544005983125487,-0.524481607763749,-0.535056905643501,-0.504201609705212,-0.827732420117349,-0.955735597477965,-0.180900777347524,-0.0759385885632032,0.0659273959712535,-0.50444044157017,-0.569001142953041,-0.572164215997923,-0.762031574141624,-0.676076285359324,-0.508980138552051,-1.06288953764773,-1.09123572610193,0.709166770056075,-0.266671879839567,-0.338487405150339,-0.35136800701382,-0.488226059666073,-0.593484910832821,-0.559980312979698,-1.02709274829843,-1.48756131624804,-1.00405032681035,-1.43792020533879,0.0720225850140161,0.397039994921365,-0.251860573742711,-0.50491883216186,-0.466309744485561,-0.0238875732220361,-0.439068848160212,0.285751729618208,-0.769489028603626,-0.827229344225254,-1.82166235951091
"MSSA_Oss_1 (GE) - TPM",-0.104787249245692,-0.305007092988018,1.55652259987544,1.00462335964713,-0.516393078589673,-0.403017945811678,-0.340766888526769,0.317743056012456,-0.254702864458657,-0.374279604455342,-0.303288168243111,-0.394733864686299,-0.293629418924321,-0.361933166362093,0.288175418087552,0.650947701058872,0.202766539867408,0.355439071044808,-0.463663941652465,-0.382747389927338,-0.374833393787284,-0.762031574141624,0.555584753872401,0.49470952967128,-0.083590770308729,0.258314602516996,-0.504871366106375,-0.137591191718703,-0.149772353469599,-0.270029493642544,-0.365015035317211,-0.160226624610354,-0.131730530475185,-0.254189086822133,0.94373897797537,-0.199284055885344,0.238827847308839,0.548523674231833,-0.0692603420800557,-0.131811318940269,1.79122105657221,-0.0747113731923524,-0.485475384059144,-0.450102797022934,0.71513434312345,1.97856192364663,0.339815929840261,-0.964736345514237
"MSSA_Oss_2 (GE) - TPM",0.287215396447765,0.757535174042732,0.410333209631343,-0.0309361240982708,-0.572903388156398,-0.368568165182187,-0.340766888526769,-0.191914510695054,-0.313055810024277,-0.318189938372719,-0.293859958788892,-0.13558078784056,-0.264632589889466,-0.312741851245775,0.0961135630548923,1.197160890364,0.597935416432673,0.588176852588303,-0.394412871214966,-0.378208657092077,-0.242638211352322,-0.762031574141624,0.654921728141195,0.613089484784796,0.421044462397739,-0.0937392804688486,-0.504871366106375,-0.352960259982302,-0.250666793917492,-0.21478113705502,-0.316237194270593,-0.0527946859664376,-0.0205778900017587,0.0804673759181301,0.736279467949641,-0.0969005629164443,0.377557054339285,-0.277971910991336,-0.456371303136525,-0.641992590102207,0.277769497347658,0.342387056013069,-0.161282704787871,-0.432070175938362,1.65608757440155,0.576746043952872,0.587929719521013,-0.0505078696088454
"MSSA_Oss_3 (GE) - TPM",-0.876596261278842,0.0597941034425652,-1.20838155140268,-0.26225342625262,-0.422252696012796,-0.441447062668147,-0.340766888526769,-0.326390210886778,-0.0756675890666099,-0.223312849795661,-0.199298017602029,-0.174280257484592,-0.0379895934332789,-0.255472736566459,0.575416367098147,0.445130406967086,0.184884132202518,0.0398462196370083,-0.313541113428059,-0.355570809641759,-0.371574988483021,-0.207630546139529,-0.133611249608473,0.702213242517829,0.0127854704667513,-0.448517768046431,-0.504871366106375,-0.300107982276686,-0.0963815232743445,-0.149121649526302,-0.19251346003332,-0.0126252077033204,-0.39806409145313,0.569355095206355,1.58246969704727,-0.223094825608193,0.452578105126254,-0.51305996247886,-0.456371303136525,-0.690612507272489,0.583898407992555,0.474202040435959,-0.183834540126422,-0.398808268290547,0.763976326554981,0.584820246203392,1.33627227602463,0.121316678899579
"MSSA_Oxs_1 (GE) - TPM",-0.936367446331611,-0.866384875749582,-1.0702340762067,-0.403314470542091,-0.469280715376042,-0.421166748593866,1.23299460740832,0.547075895749221,-0.580386225234539,-0.535680564299383,-0.446760427936046,-0.515008405886635,-0.530895517920208,0.968424801995843,-0.447060655251392,-1.05647042233893,-0.753623682097253,-0.808594618073448,-0.50436654659189,-0.580005254415237,-0.425960300874505,-0.509412002906725,-0.901164792220282,-0.876120116476398,2.17537292855344,1.70383069988585,0.633036660138689,-0.0993888250718421,-0.101618615854022,0.0271528968424491,0.230224709318245,0.175833255347985,0.304553564534174,-0.61243458221865,-0.613022116866287,-0.317336880562598,-0.786245676099982,0.0353331287796253,-0.456371303136525,-0.136106757083117,-0.617298941487872,-0.491164438241445,-0.286331219430171,-0.464521804943487,-0.605263792411304,-0.623977487907203,-0.662755168790078,-0.272313806597647
"MSSA_Oxs_2 (GE) - TPM",-0.783651719621544,-1.05893942543823,-0.0209711321432013,-0.908037511460266,-0.555704167175679,-0.425745519801684,-0.340766888526769,-0.341768418516936,-0.63158502941549,-0.512197056639526,-0.494266030471076,-0.509701385645239,-0.54424027187228,1.21203414269704,-0.78965562673497,-1.31458374782693,-0.795292360376398,-1.05283007802473,-0.526300467253348,-0.590271444042827,-0.518850405928312,-0.255688709244665,-0.843073262754504,-1.06497792232021,1.36307141184976,1.4622595557834,0.255391199070133,0.0307238003924644,-0.0155837077248669,0.0434416314643072,0.129004782340179,0.222352750676829,0.439572168090227,-0.815601514921337,-0.506482114443949,0.537770951103053,-0.54099695059402,-0.51305996247886,-0.278228447162933,-0.456964673355412,-0.643273488760526,-0.11775570345141,-0.686969879491541,-0.435850258527573,-0.531066686874045,-0.8328541737959,-0.793103528299387,-0.490748197499097
"MSSA_Oxs_3 (GE) - TPM",-1.01650698650646,-0.892995065655814,-0.871286172183937,-0.4700001270728,-0.311598008891781,-0.442165745371942,-0.340766888526769,-0.503793872425346,-0.587615915273357,-0.546015563384299,-0.434898253895463,-0.532813509189155,-0.519679342502155,0.880395519142739,-0.57063006064366,-1.24458883028156,-0.798769982979736,-1.08019191946405,-0.521774269792109,-0.596126104188161,-0.452654607091815,0.657308307241192,-0.913717779017942,-0.886857300128333,1.4526903486765,1.93405471060812,-0.504871366106375,-0.03154315521182,0.103315357724768,0.150722041688022,0.0216566644145264,0.365468403421348,0.50644377875628,-0.523926698604386,-0.731791196519136,0.280675702206746,-1.11843083171533,0.171637744472081,-0.456371303136525,-0.611451573100254,-0.54197707970546,-0.557164213140013,-0.672309518903958,-0.427998242183809,-0.946386871013518,-0.13696272372764,-0.0090673868853151,-0.946557007815859
"MSSA_Sp_1 (GE) - TPM",2.24856152344878,1.96646987357129,-0.0456713715299722,0.294305273440685,1.04989084335607,0.622644106798429,-0.340766888526769,-0.503793872425346,2.21922341301902,2.22348392190224,1.71193052571878,1.91634605919466,1.5738128527919,-0.217781874195905,-0.256881888954231,-0.0494890930100104,0.265175281882444,0.157273930994076,2.15215851615577,2.25432848288533,2.01740079086366,-0.762031574141624,0.948769498131069,2.16491307578641,0.51915539901927,1.13478185163145,-0.504871366106375,0.663239655007599,0.340891674999348,0.497646355033382,0.310466843695657,0.691117069633188,0.746552053755669,1.44473636807015,0.916505431372773,-1.28586716977368,1.61725341698151,-0.51305996247886,-0.456371303136525,0.60630405013779,0.668365924598806,0.906833361627942,0.616853886483771,1.77111081848697,-0.149712858290003,-0.865987520742209,-0.325861158255128,1.53919390063077
"MSSA_Sp_2 (GE) - TPM",3.49355230457066,3.47905289716017,2.92284049330966,1.80830778028105,4.43436018963791,4.4095380972285,5.02411684294881,5.55867644635803,3.04056219968754,3.49141336374543,4.56723240936264,4.05549127274302,4.12811963473674,4.34343694806543,5.14064785033297,3.76866780457094,5.07946816296454,4.61642121604321,4.26305904632449,3.60586545135646,4.49646197591426,4.40498247875207,3.41979218551327,2.8409664347623,3.71652225847186,3.51109393052535,4.66723318930687,4.54992065323232,5.34562988740939,5.12007018999914,5.31508063875361,4.91247976653884,5.06113026323495,4.17839626251049,3.05426616756184,4.11687727822235,3.20517935254276,4.47213452274081,4.99724543042321,5.17344801939776,3.48150076187453,4.88475447303283,5.23738354738176,4.61834739380768,4.67687434913004,4.41292505987606,4.21268812928092,1.69944502783326
