"","lmo0135","lmo0136","lmo0137","lmo0152","lmo0519","lmo0609","lmo0611","lmo0837","lmo0903","lmo0926","lmo0973","lmo1005","lmo1015","lmo1016","lmo1064","lmo1210","lmo1234","lmo1329","lmo1384","lmo1567","lmo1568","lmo1688","lmo2024","lmo2050","lmo2072","lmo2100","lmo2115","lmo2390","lmo2433","lmo2513"
"Listeria_Li_2 (GE) - TPM",-0.554940303955566,-0.566562304815416,-0.570647754359521,-0.433317594002897,-0.608526399605888,0.220899508100873,-0.290824626414684,-0.798110471138112,-0.331077302434079,-0.586640103941498,0.24533054734737,0.376387954517358,-0.189032938860827,-0.349181764083657,1.0927692845409,-0.129671259638662,0.15983488464784,1.98162068919058,0.297484487717351,0.304075430153178,0.550838159238327,0.701158620045095,-0.440719544379856,-0.490766552413376,0.312311767384548,-0.924648061506185,-0.0445715497026899,0.487532775232579,-0.202933729442842,0.00197479548977874
"Listeria_Li_3 (GE) - TPM",-0.664126535424429,-0.588671526562203,-0.609600301963813,-0.588565589753678,-0.638589830294198,1.34943096580159,-0.804090395318089,-0.803494993623116,-0.337142590842466,-0.215183103863551,-0.535744419745658,0.132173002915049,-0.677463185539027,-0.436781898210276,0.746334640645193,-0.564230523507638,-0.0996742921702609,1.28709746601556,0.273330342740453,-0.0581401895948686,1.14591696589482,0.866036658271427,-1.31752324336303,-0.944511858401269,0.494443227207141,-1.12478095764436,-0.172299567809061,0.297665460162118,-0.540279407847844,1.61472711682942
"Listeria_Mig_1 (GE) - TPM",-0.613056731045577,-0.837181679857275,-0.949843383164617,-0.0974822352679123,0.58022479833037,0.880389480237318,1.69652105953158,0.100827696094709,-0.70294632745291,0.152076149753717,1.11591654721091,-1.39476815480084,1.13247176854536,-0.758123469870829,-1.03917663974886,-0.74258794821423,-1.11024199828996,-0.485488750001338,0.0428616990530954,-0.506985380488856,0.405763735238859,0.151373701945102,-1.31752324336303,-1.11095483886241,-0.0364210387610211,1.23340319860124,1.43888976555969,-0.292315018083397,0.0901622281155921,-0.135511832239043
"Listeria_Mig_2 (GE) - TPM",-0.60461514558591,-0.806523672297447,-0.881723318740778,0.00595658446719914,-0.410280933400851,1.30114205235553,1.5549843950253,0.813626736348447,-0.0526956878457377,-0.735187597937562,0.589003086213775,2.2273986326087,-0.398821926034517,-0.828393911032854,-0.754200319587667,-0.401552230852248,-1.03509811913744,-0.756446155754339,-0.377311562266984,-0.319875887733969,0.137368324208413,-0.868966336246618,-0.681938111608594,-0.957138552579673,0.00974714071817998,0.628480821742122,0.53948080735679,0.402025396037861,1.03386590486718,-1.68583869826981
"Listeria_Mig_3 (GE) - TPM",-0.745166042454871,-0.820115079975801,-0.895185773221243,-0.227110025592727,-0.655202948379576,0.573634463301673,1.24857135257222,-0.00442750791222328,-0.377193275399356,0.829738860813247,-0.139103779817609,-1.41275609254069,0.0192372629862197,-1.00587816369578,-0.833823710608567,-0.391745152239936,-1.63221407761857,-0.90387354426312,-0.228985320587572,-0.153243632499814,0.414447292092108,-0.860459972749708,-1.31752324336303,-1.52846359342474,-0.498327642730465,-0.57531636951823,-0.061713112851824,-0.563831546192999,0.101925578329526,-0.447554330357111
"Listeria_Nd_1 (GE) - TPM",-0.624966062734485,-0.38416932576601,-0.18998484505135,-0.867152866379013,-0.60821259085997,-1.43603907082555,-1.43579526005568,-1.01550525040444,-0.88273969067389,1.08030429487329,-1.38696605820084,-1.72773688200443,-1.3161907962135,-1.08604997045938,-1.32631882292555,-1.16777298587286,-1.58265143887988,-1.79286357679799,-1.51108196555,-1.47403640620586,-1.62688219931186,-1.68666796590841,-1.12520807410242,-1.16472999113825,-1.70124779232193,-1.20610268151391,-1.05578028114835,0.756358167608277,-0.848194556890169,-2.04219767316813
"Listeria_Nd_2 (GE) - TPM",-0.633232252735816,-0.512511536474253,-0.162989357100277,-0.804431215751058,-0.759430164621081,-1.43578442906861,-1.46291871357242,-1.22825870126482,-0.804661839729921,1.1109374498736,-1.485079749903,-1.55644438989099,-1.12545364912416,-1.03991631820759,-1.34050759178346,-1.47927195151135,-1.41276076600214,-1.73689648330875,-1.36388767947787,-1.50763007324051,-1.58534896276997,-1.20775252445724,-1.31752324336303,-1.28637662408073,-1.72433901693834,-0.930813404299259,-1.04527110598074,0.337299676701028,-0.79785550136392,-1.83802503412343
"Listeria_Nd_3 (GE) - TPM",-0.67172205506647,-0.417427838918867,-0.24717649788198,-0.829729144285042,-0.671778059242114,-1.4278857134909,-1.46291871357242,-1.07821892872825,-0.908638792927987,2.35055427727434,-1.44294853525807,-1.37745655114239,-1.24385408582611,-1.07453770665318,-1.51482610559893,-1.11118544842973,-1.77639496579371,-1.70683364103511,-1.43162128112276,-1.47092304610068,-1.54523336422621,-1.21738123723361,-1.31752324336303,-1.01534480682884,-1.69986216903443,-1.02894691347911,-1.05983823795911,0.254079091075176,-0.809306423946412,-1.52387380516927
"Listeria_Ns_1 (GE) - TPM",-0.773188670966741,-0.753087034674361,-0.726267218618039,-0.785898158197063,-0.145246756731676,-0.769350877286845,-0.274321291093036,0.585591391388266,-0.789539710441991,0.0222860448911491,0.737055354647882,-0.499997979381634,-0.602966824977176,-0.4779188954238,0.125365211000406,0.309737643146419,0.346695196997617,-0.374228684536526,-0.680396865118878,-0.403023001335244,-0.368788319356159,-1.11023953166742,0.555274280251194,-0.281371152403232,0.488635407373826,-0.720194713878995,-0.653495075498735,-0.28852480349651,-0.9606896838777,-0.608331979064559
"Listeria_Ns_2 (GE) - TPM",-0.838074992848999,-0.808618655384853,-0.80470061569013,-0.892153025033832,-0.347115679578273,-0.825891979495952,-0.457135588827114,-0.112718161885087,-0.805445870884983,-0.0787953554200153,0.140381862754974,-0.160054163521028,-0.931023074595774,-0.732573217120172,-0.0285781004779028,-0.126329033575489,0.369458262597832,-0.607531181564646,-0.859398199125109,-0.31158398501005,-0.380165256460589,-1.0263018370844,-0.398005767970746,-0.478996962080207,-0.493861788737668,-0.776104673423693,-0.703214167298207,-0.580207767226481,-1.08715377177238,-0.144741167851438
"Listeria_Ns_3 (GE) - TPM",-0.816874325366788,-0.743528357830215,-0.743401938395837,-0.860755910994027,-0.284025309086444,-0.883365460849545,-0.350881924995775,0.711626413615931,-0.823222681209093,0.0258453336999389,0.761404742146832,-0.194036755798457,-0.552529193274323,-0.445219207457136,0.0273289006325508,0.352964405424444,0.580830074006566,-0.50203689487418,-0.838110709066248,-0.300823685784116,-0.532287768979361,-1.2281575554366,-0.422094668624152,-0.377918198179144,-0.0310222662668433,-0.758333764035599,-0.72977095216673,-0.432460450384204,-1.09119755222437,-0.325095157544059
"Listeria_Oss_1 (GE) - TPM",-0.247128650283475,-0.182319157809818,-0.190725634719911,-0.228201785092407,0.994980483157615,-0.355434930436334,0.195778246527985,0.778705083945193,-0.180219542488055,0.359975172577645,0.868923063294987,0.185864750400746,1.49461882285465,1.52442006727607,-0.390619156119576,0.467175420651612,-0.0186121436624381,-0.744360251620721,-0.617105897277553,0.978904258931905,0.891036055330995,-0.400062699778705,1.01390611540239,1.68830745896181,-0.355562103103205,0.853191295016577,-0.706278761856047,-0.670993834059217,0.0863257042597895,-0.085405221573554
"Listeria_Oss_2 (GE) - TPM",-0.193259810446802,-0.148967787575938,-0.197823448046341,-0.243325878081842,0.919847934087871,-0.329676583243489,-0.0493357031579503,0.704218699686015,-0.275932255019584,0.285599886287272,0.905849885501122,0.293575318981763,1.59497522185137,1.42400432274691,-0.450289209329749,0.352045594375755,0.262895729294412,-0.687109921221761,-0.511963915435779,1.14148811068581,0.404484480637813,-0.309925682637497,1.28455467680661,1.47268279045268,-0.578018665249807,0.98964236355682,-0.662671011855776,-0.372069590284178,0.150436018710041,0.0773999254220436
"Listeria_Oss_3 (GE) - TPM",-0.258197491691469,-0.239106089454341,-0.178964514624581,-0.23861095535399,1.09755962811939,-0.371657368498165,0.235099241514346,0.695446582280298,-0.189042211240391,0.307330970773819,0.737551280434035,0.249252162115989,1.57630514443284,1.58949174987224,-0.42088313087906,0.458646375974682,-0.122827026690963,-0.675236836920568,-0.556658518948,0.981514291461326,0.992797436360954,-0.416432997338916,1.65854926555824,1.57780685512567,-0.311167822877301,0.92891207841207,-0.743059135729645,-0.668499576826253,0.193703064760787,-0.186599496661681
"Listeria_Oxs_1 (GE) - TPM",1.25952019799956,1.97827386339138,2.40128209637745,0.539455521086745,1.58631178794954,0.2937530418975,1.30481275067667,1.03187799712767,1.66746224666489,-1.15596168875996,1.06098534426897,1.90979350151833,1.31008866031109,1.72027403911227,1.63818420248754,1.31712494917695,2.27316494961776,0.69265690347687,0.819281001633468,1.84445156955201,2.23385683290189,1.55392648789055,2.02540461517944,1.413518203629,2.10807707483132,2.25543473074425,0.943194499686113,2.00353937526941,0.315396228903272,1.76218613079256
"Listeria_Oxs_2 (GE) - TPM",1.83527021032013,2.62106135930604,2.71486951352833,2.64624499534589,1.42306120380536,2.02241689550474,2.24574328555283,1.97794345070771,2.64922440348224,-0.817027347304532,1.19221705351639,2.07497821488703,1.90464263143154,2.15647158482805,2.50162406212636,2.29039954249671,2.35549909826232,1.92548467307485,1.74803210012881,2.60123413048854,2.68696097019964,1.41208167171685,1.19858185200462,1.2129293486722,1.88819557437051,2.39711653609538,0.825231660211949,1.65658241701223,2.47487088484501,2.04878057317985
"Listeria_Oxs_3 (GE) - TPM",3.16305254951289,2.81877887075644,2.45233962233931,3.14578232259677,1.75197449990292,1.93392636824326,2.45406225117253,2.07877797239252,3.43664416796585,-1.25247641234454,1.38706795692317,1.8542687089756,1.01530528486158,1.70534398631897,2.35085585906798,2.4127054227652,1.85648538650378,1.28793397336111,1.85286071508723,2.6698037687505,1.90723283105155,0.982169158712289,1.45097012880369,1.62177828732909,1.91203038750708,2.53173850353807,1.82320153619814,2.56689521700609,3.13391927532692,0.46038276422276
"Listeria_Sp_1 (GE) - TPM",0.882311232323227,0.328155337362461,0.0140483601304304,0.93225473590832,-0.312563163519214,1.03508663559502,0.551039581245542,-0.646309718745091,0.50820685095859,-0.577579261496711,-0.510265336024435,0.28229899598546,-0.453384153388275,-0.173464125087758,0.986621697909893,0.050797128342356,0.782197532323205,0.203939288888629,0.819907809021416,0.40057947983959,-0.0262881539639775,0.383750758167404,-0.503754824892524,-0.52236980949194,1.08039676659563,0.238160024043915,1.0440950648864,-0.0261789394737878,0.590116769774316,0.600098198392688
"Listeria_Sp_2 (GE) - TPM",0.516098157396259,0.27780726321584,-0.0299891439076056,0.505996567629604,-0.646646463368711,0.258169856994468,0.960105670192049,-0.583379565209988,0.78745741840319,-0.519779009996694,-0.746451696454992,0.371866130661097,-0.493656964075328,-0.334448356619525,-0.184695052600065,-0.302159761452937,0.488102119950996,0.4169989220149,0.700352972546394,0.399378416115489,0.367360341769363,1.5435968660629,-1.31752324336303,-0.641375092470146,0.377026410108613,0.420650442043454,1.70663216623178,-0.195030920266368,0.674259649364739,1.01090199031346
"Listeria_Sp_3 (GE) - TPM",0.570515103653552,0.423935494959145,0.189735471355586,0.456021102188791,-0.286923708248262,0.194272562856598,0.501431374233243,-0.500385398741192,-0.0684907156055962,-0.287235498547616,-0.594181836730355,0.967625294437009,-0.0556374102607084,-0.0826693412943136,0.395477420622443,-0.204136396010963,0.13659537630816,0.288802882778238,0.961087098692828,0.286544227558654,0.167037203935597,0.548095669866442,1.00380307956702,-0.399007440054023,0.743991456499749,0.308795365350333,0.913912564396724,0.341420463072437,0.383980538619932,1.71562858843937
"Listeria_Tm_1 (GE) - TPM",-0.0114328070489222,-0.0442326579468184,-0.17263325180773,0.035252118814148,-0.575428225177821,-0.933593160513504,-0.715562723846146,-0.610700333655232,-0.248226950361012,-0.73049197104778,-1.20709915181152,-0.670899617802741,-0.595564194237558,-0.600454753296322,-0.4535124416881,-0.411775193165863,-0.843602686496025,-0.128000754851606,-0.703415390152568,-0.967597639484307,-0.888320395736739,0.307569743690337,-0.155456071232917,0.174250876572533,-0.998135540636557,-0.68627170806197,-0.510072736759021,-1.70409824160351,-0.268569760104525,0.479379780315241
"Listeria_Tm_2 (GE) - TPM",-0.106893707742505,-0.1429444713351,0.0155539553700705,-0.0301102709598905,-0.683026521743942,-0.56193955738413,-0.730807385144029,-0.521529559074423,-0.115583151690886,-0.883625934387671,-1.22890385226078,-0.864559505984266,-0.41987840346501,-0.467593753267418,-0.641208763529148,-0.556296391064749,-0.643079593579552,-0.186482756688637,-0.569198480158198,-0.808605669157573,-1.10699575595126,0.380482484661729,-0.401475696166961,0.364792945268496,-1.11865307344699,-0.67007550426313,-0.558898009103306,-1.60279784074359,-0.311116539955861,0.260209301242468
"Listeria_Tm_3 (GE) - TPM",0.0163127897281585,-0.106725128508778,0.0550095719076746,0.0130665619038476,-0.674542390464967,-0.687943582223475,-0.877466721293915,-0.717472213192403,-0.0286924741914511,-0.945589909587844,-1.29716449041041,-0.723808842520131,-0.588811636978427,-0.359075621040934,-0.734744081938882,-0.758258226861401,-1.1096729375251,0.00854884231160948,-0.675382821910732,-0.920233223642332,-0.901771078770836,0.205563858396197,0.834882368423703,0.367992686986646,-1.22559005490894,-0.757991479949493,-0.522349635406057,-1.71902656882892,-0.278436422591548,0.385447232076732
"Listeria_Vic_1 (GE) - TPM",-0.120039340743057,-0.203328561269967,-0.261951876822645,-0.154005916758289,-0.920257956455447,-0.489626012923557,-0.813362514151864,-0.82508290500525,-0.161908175808478,1.58142332019942,-0.0843578408647731,0.0852473651313533,-0.638033628020628,-0.398482018498546,-0.16301508056274,-0.823656391127641,0.086578969382249,-0.33464461160015,-0.49640896025254,0.728009384765722,0.0273394247126879,0.680620159304772,-0.044925964075595,-0.413772376644947,-0.126994187438092,-0.114294722733282,-0.366528804814355,-1.04738993683879,-0.612296442948062,-0.368652552444568
"Listeria_Vic_2 (GE) - TPM",-0.0597523512286229,-0.221935371269238,-0.233841168985503,-0.356467956556985,-0.890618206038437,-0.787837136056399,-0.975423565461536,-0.705368031892576,-0.310152109348855,1.23100569838651,0.0935894411651349,-0.179033852610029,-0.338925432060674,-0.73335933519399,-0.660262058486199,-0.627425534690874,-0.403508973633729,-0.685580285620162,-0.210045007498261,0.186654167616339,-0.0603186012732095,0.575685841564626,-0.947182002986883,-0.25325676954316,-0.186052339239039,-0.0281544393182783,-0.186363688540904,-0.957510621623257,-0.58599215313031,-0.698565667980585
"Listeria_Vic_3 (GE) - TPM",0.819282699131341,0.797331103087934,0.244433816121637,0.393892004129238,-0.169145976069317,0.201277512198587,-0.592074982552899,-0.759427667527501,0.468977056087951,-0.367352648719237,-0.691649275408693,0.274056319209981,1.29591193036791,0.751536499722923,0.417348397354183,-0.670006438036963,0.154187992847152,-0.344455093076824,0.756070512143529,0.211557770085805,-0.378920004557854,1.10599136464006,0.617798953582783,0.43367443585246,0.489420656095514,0.781024547825676,0.51358598791896,0.0025144574382731,-0.176097461199782,0.589016503673692
