"","VC0158","VC0278","VC0651","VC0652","VC0654","VC0655","VC0791","VC0826","VC0827","VC1115","VC1555","VC1731","VC1973","VC2101","VC2145","VC2160","VC2175","VC2484","VC2614","VC2656","VC2689","VCA0180","VCA0205","VCA0274","VCA0400","VCA0526","VCA0540","VCA0621","VCA0665","VCA0693","VCA0718","VCA0724","VCA0741","VCA0751","VCA0784"
"Vibrio_Li_2 (GE) - TPM",0.472747453947564,0.460666612740447,-0.686639131553932,-0.807632154445223,-1.03907743181074,-0.417723567646498,-0.595103389950535,0.406531418297982,0.313235268184587,-0.78872137120878,-0.661747860593887,-0.311952386222209,-1.01854529388092,-0.67038956342648,-0.437339241631105,-0.577307919235565,-1.01740927895616,-0.784750778791755,-0.88784335165077,-0.795169940453204,0.0738845524075807,-0.74579656043849,-0.932634594515462,-0.194046299646693,-0.00525109247270528,0.210590352738364,-0.587546990207171,-0.373276082900694,-0.841545648530485,-0.125237161022278,-0.861142728380197,0.301029181381395,-0.193623471501453,-0.0720039692094788,-0.785148192198039
"Vibrio_Li_3 (GE) - TPM",-0.48646468629947,-0.0805797426078818,-0.790204267388638,-0.643006534533163,-0.596600438303133,-0.405697365132086,-0.456703722435431,0.696562249329876,0.190621908998979,-0.683657715111554,-0.800260134907626,-0.11155248284008,-0.880154693773519,0.166821317583698,-0.421828981889254,-0.422964581549167,-1.38733732878209,-0.915500350858616,-0.681652088953956,-0.736942949919224,0.0923882823166658,-0.547266173795781,-0.762469459610769,0.0833309148429374,-0.794182866296493,0.247075749043339,-0.480719333432978,-1.58386800494625,-0.405486629231658,-0.564021937921773,-0.743934825061713,-0.342803424994317,0.128990480312518,-1.05038878536939,-0.495851432497452
"Vibrio_Mig_1 (GE) - TPM",3.30029612445295,1.13378373490165,2.41129288356763,1.6258095680609,0.999663921495865,0.625797433732891,0.978265690538259,2.23370599675506,1.20963363768503,1.96796234195915,3.24118777248095,0.117794473046199,2.18630615123883,0.45475316601336,1.36951077193862,2.19047296156345,0.248835282544773,1.18670154091738,0.990152258883749,1.54872887745307,1.23107309877417,1.86310896647021,0.90685569703589,0.756892419602764,0.330338406934035,1.46731281904965,2.34105994788527,0.126005395795166,1.97384516750773,2.2808494432704,0.29513109284306,1.05964674705736,0.660292186397487,0.3576331506934,0.989337017852017
"Vibrio_Mig_2 (GE) - TPM",0.739472310847286,1.82692618363145,0.608675106925117,2.1685497025087,0.828360454412577,0.520821804893615,0.419577703609142,1.80207753944616,1.26738108109681,3.15000850032283,2.67480006026413,-0.770292771786599,2.41889687535764,1.14323434078231,1.39556478593839,0.420568878797686,1.37558501789078,2.24329513811385,1.09199263941696,1.48616768032843,1.44629044390576,0.952799140842746,1.05000272960644,2.34458614165581,0.970228068772642,0.167498428923688,2.75492989870377,2.72479691062754,0.865384907507559,-0.327237698161039,1.06323331371972,2.33816962535638,1.15479678482949,-0.400465807620371,0.685844044877963
"Vibrio_Mig_3 (GE) - TPM",-0.845525632261034,1.13955317916189,2.82037251077056,1.6287626218649,0.725302719076654,1.9960751215012,2.6267209980279,2.37745801849927,1.59031144228912,0.739371694666628,-0.152126019321849,2.34988291412486,1.53186686744801,3.14002391757698,1.62818728841009,2.33887500193887,1.04374518007827,0.596209765935496,1.02407302768015,1.81866011117097,0.0290295256497833,1.27487088253495,0.73340238843922,-0.242602111797112,2.16895838638629,2.45494246272883,1.94441221807726,0.0132844776675115,1.84723894619277,1.80776553844352,-0.285586685146767,0.960443212957381,2.20789300976475,2.36585627027299,2.21160491079103
"Vibrio_Nd_1 (GE) - TPM",-0.0553882866269007,-0.542567147358559,-0.699392517225691,-0.515868896580359,-0.311500736797021,0.0241028182832545,-0.114793681768095,-0.58376757843958,-0.475011832829818,-0.603904800069739,-0.419127332631469,-0.374086441595761,0.265811637386921,-0.660418037338477,-0.514421888232569,0.819852987325359,-1.32910642497592,-1.00026400975623,0.135901717697856,-0.263322999407157,-0.112257741316535,-0.704946677847252,-0.46401328261877,-0.574958364079181,-0.672561605811004,-0.666606097415333,-0.594436015617109,0.626125991317094,-0.207921185139081,-1.18136317006512,-0.59450428566811,-0.40739434341474,-0.153373511145934,-0.796276758771649,-0.397114778377714
"Vibrio_Nd_2 (GE) - TPM",-0.217851977427573,-0.383772944737313,-0.815279945404448,-0.537893855186996,-0.707899133336916,-0.145309500538011,-0.271936916873462,-0.607907772842382,-0.51965006805062,-0.539637186018581,-0.334955171604029,0.418850509855035,0.478334911851829,-0.132230117149701,-0.348180755787684,-0.207643282991354,-1.22089609362663,-1.15165745946699,0.468519654584574,-0.355277621907342,0.132354573490263,-0.807927747068941,-0.427760830555586,-0.600582132671106,-0.794182866296493,-0.861937107457352,-0.601318107661786,-0.956379365097973,0.147234019081969,-1.31850481911591,-0.466690907332689,-0.362408751658565,0.521265615262551,-1.46802392890585,-0.545748697642657
"Vibrio_Nd_3 (GE) - TPM",-0.559600719942894,-0.401810051467589,-0.606243230748714,-0.287244521595206,-0.417151951528827,0.540993176792435,0.249704698634561,-0.65754218417419,-0.381553852629101,-0.41456320812077,-0.787998988840394,-0.232337421166309,0.979078559234894,-0.417332664297672,-0.117254778232119,-0.955745890515949,-1.67542186185314,-0.971578500257657,-0.331675348186509,-0.230606257933156,0.518185824767741,-0.556235889557765,-0.522539772605506,-0.416433957346913,0.355298819050925,-0.63872173360741,-0.586714271297969,0.437193340676593,-0.0560422790741427,-1.2070085814595,-0.162381645316712,-1.08864144836286,-0.274100796968088,-0.654319421699195,-0.360661931618278
"Vibrio_Ns_1 (GE) - TPM",-1.50849379569174,-0.998575554093903,-0.455294937226478,-0.742327223439236,-0.669281379572362,-0.34701938262021,-0.510478532237927,-0.655744851397012,-0.769058853174094,-0.481390377343485,-0.68250069860251,-0.0638537370269129,-0.100079190687026,-0.624611344260517,-0.478558630737288,-0.617153872877795,-0.638113849835812,-0.146347095880047,-0.351817977499917,-0.484876055279672,0.043786562558555,-0.366330577134836,-0.78462201743879,-0.891348351489657,-0.742327031263123,-1.06209527792279,-0.601676229161221,-0.526145693527145,-0.511194497712243,-0.807480665809286,-0.842599020401287,-0.892601478132889,-0.229987620651378,-1.39937544235971,-0.541473737244034
"Vibrio_Ns_2 (GE) - TPM",-1.1902422832806,-1.1460100443608,-1.010518692942,-1.00204448791489,-1.07044266731931,-1.30358972453334,-0.735946496547235,-0.730657392472711,-0.852916531389946,-0.828344213993776,-0.594282935650618,-0.617037358925092,-1.02502504860591,-0.426785769470948,-0.807615598434781,-0.895342840455162,-0.703607002919131,-0.916686233613669,-0.921221688587633,-0.752856855788083,-0.53987335033344,-0.822334438272082,-0.973196884991256,-0.833083010440513,-0.401218751345549,-0.933091629163717,-0.601606763520391,-0.849155365430536,-0.962894037825337,-0.5704395577782,-0.985953542412965,-1.4755466831544,-0.569318873522619,-0.88377079719464,-0.9363069284186
