"","pWR501_0219","pWR501_0221","pWR501_0242","SF5M90T_38","SF5M90T_62","SF5M90T_92","SF5M90T_488","SF5M90T_531","SF5M90T_630","SF5M90T_984","SF5M90T_1202","SF5M90T_1278","SF5M90T_1359","SF5M90T_1506","SF5M90T_1674","SF5M90T_1828","SF5M90T_1870","SF5M90T_1963","SF5M90T_1967","SF5M90T_1980","SF5M90T_2067","SF5M90T_2092","SF5M90T_2240","SF5M90T_2644","SF5M90T_2647","SF5M90T_3015","SF5M90T_3043","SF5M90T_3081","SF5M90T_3478","SF5M90T_3512","SF5M90T_3702","SF5M90T_3708","SF5M90T_3773","SF5M90T_3776","SF5M90T_4032","SF5M90T_4103","SF5M90T_4183","SF5M90T_4191"
"SHIF_Mig_1 (GE) - TPM",3.62700812459646,4.69221664525641,5.05413036184101,3.26567907484805,5.67458147857846,5.33361774951617,3.86448102490774,4.09496584981262,4.50013366785786,4.75344981512929,4.46653666601306,4.49540419415447,4.00696444371572,3.89880992588318,5.43872657508815,4.61176046133575,3.37058734007409,4.33714497837585,4.5251811466623,5.28204631931088,5.49585474670195,5.14997518646592,4.09795134680805,3.80794186607511,4.12948298244623,4.39714476939004,4.58873379863102,3.73763871120342,3.70330632254628,4.33240284363325,4.03097035406133,3.57235293905949,4.34656478044182,4.77396408648156,4.82405738892469,3.86281837753174,3.91283571129842,2.80726059110697
"SHIF_Mig_2 (GE) - TPM",1.3363516719841,1.48873302803112,0.825219132658183,-1.09700124266497,-0.4770339265238,-0.0525730922446797,-0.776048644370338,-0.382849302882517,-0.547050937165356,1.73173913775029,-0.889557063468061,0.344967866588421,-0.423820743877801,1.10300194509347,-0.237777175933093,-0.605702729701121,-1.22626828459478,-1.03549073583311,-0.269971962166184,-0.419019913756168,-0.871857589800767,-0.384927244318097,-0.658996097457905,-0.818707984193621,-0.503152049999395,-0.572631429983872,-0.581218816587366,-1.20409414298792,-1.4984484045307,-0.804515960701972,-0.446457223347085,0.419666680254283,0.843171679079659,1.09833268296546,-1.12950346669066,-1.43129351762842,-0.613997839057949,-0.385697744034795
"SHIF_Mig_3 (GE) - TPM",0.912070802900452,0.678333609161853,0.629737344254281,-1.09700124266497,-0.241004887316892,-0.490637840500229,-0.776048644370338,0.800468312917144,-0.547050937165356,-0.694465072534019,-0.793443268597645,2.14726837448187,2.62134950173954,0.740761943844454,-0.237777175933093,-0.605702729701121,-0.0817081480098822,0.130126658059851,3.31182930270949,-0.419019913756168,-0.661716746419471,-0.384927244318097,2.89426695526645,-0.980530687922233,1.39835342426756,-0.572631429983872,-0.581218816587366,-0.731192460178849,-1.4984484045307,-0.804515960701972,-1.22699410569421,0.86976059818525,1.43771537344635,0.770060468998222,-1.08675853588891,-0.113125202033998,2.6003797327879,3.30199890991915
"SHIF_Nd_1 (GE) - TPM",-0.72503440107513,-0.0467629160886425,-0.124537185821047,0.581602285900485,-0.146289446247939,-0.562553183004126,-0.776048644370338,-0.994849416757921,0.100274504330956,-0.170424317356406,-0.955758502161776,-0.587164049337035,-0.49074645883817,0.797634591948734,-0.237777175933093,-0.605702729701121,-0.0471310709471118,0.0975228878988446,-0.269971962166184,-0.419019913756168,-0.379251982923931,-0.384927244318097,-0.658996097457905,-0.955124090905674,-0.613010568701748,-0.572631429983872,0.0818522061587445,-1.24653081744529,-0.998086058293854,-0.475098820629657,-0.38404540493624,-1.1367831527759,0.257994008214926,-0.0571942288144332,-0.681366611042762,-0.412800954920773,0.864273926523164,-1.10279304087697
"SHIF_Nd_2 (GE) - TPM",-0.818989968790395,-0.580561850184806,-0.386192416807335,0.479002130010333,-0.243768362803755,-0.75597354342397,-0.403520755022351,-0.319193247806152,-0.547050937165356,-0.0384515203332729,-0.905528320938796,-0.201020984916424,1.45117458223908,0.0721205742388947,-0.237777175933093,-0.605702729701121,0.249819184509895,-0.216117837927976,-0.269971962166184,0.267476991653036,-0.312541245900785,-0.384927244318097,-0.658996097457905,-0.465780091177928,-1.09238312062275,0.0258067990411436,-0.581218816587366,-0.419502989106295,-0.66328567637714,0.02023709837385,0.0392870363755535,-0.381633442287809,-1.04018081098838,-0.660961755387049,-0.432516141846423,-0.581302472356234,0.688966788589915,-0.0638003096704951
"SHIF_Nd_3 (GE) - TPM",-1.01400042992036,-0.540387877680091,-0.386192416807335,-0.478637803642023,-0.265036076524486,-0.806968157164217,-0.776048644370338,0.575637767547619,0.883718316969453,-0.694465072534019,-0.870572209815711,-0.0871652971850515,0.194219662284716,0.0489396254489992,1.90777991371575,-0.605702729701121,-0.791898088819809,-0.703451245881729,-0.269971962166184,-0.419019913756168,-0.267154208501305,-0.384927244318097,-0.658996097457905,-1.50236512397439,0.745506070044749,-0.572631429983872,-0.581218816587366,-0.821043859208214,-0.515390678710202,0.166288697292937,0.0151066027484229,-1.04755267464859,-0.676611160700292,-0.288528596970507,-0.573651871123025,0.0694743603600553,-0.0136754015880447,-0.427035598413928
"SHIF_Ns_1 (GE) - TPM",-1.03375318230723,0.462116379077889,-0.386192416807335,-0.522426340817321,0.0204993789063052,0.141196999385776,-0.776048644370338,-0.701756551133996,-0.547050937165356,-0.335713693357913,-0.474168559136786,0.210846523939458,-0.0265843936649178,-0.699244657646826,-0.237777175933093,0.768600764099006,3.21345140522268,-0.428957486445291,-0.269971962166184,-0.419019913756168,-0.438285555163706,-0.384927244318097,0.594005457156431,0.254428369959782,0.838725645436612,-0.572631429983872,-0.127289152540513,-0.685747203801143,-0.813365498416977,2.35268875711535,-0.303679631102325,-1.32522443328672,0.433415769286647,-0.334377562601184,-0.620689616542,-0.0368004069488679,0.872956562286285,0.86357617733474
"SHIF_Ns_2 (GE) - TPM",-0.693561256710855,-0.296252884509232,-0.386192416807335,-0.654093466770851,-0.0831654023955,-0.377034224273278,-0.776048644370338,-0.629608783724955,-0.547050937165356,-0.417923624414308,-0.726258569416829,-0.843963806511183,-0.357115428300718,0.0522275912593313,-0.237777175933093,-0.605702729701121,0.0182162684344459,-0.485169509398425,-0.269971962166184,0.159763398662707,-0.52333463642376,-0.384927244318097,0.789807521875836,-0.221289897716039,0.162061103941168,-0.572631429983872,-0.581218816587366,-0.876017059230339,-0.0902024347990197,-0.804515960701972,-0.337329505927122,-0.529685932025725,-0.0460420715196268,0.223382411002705,-0.619710392777516,1.07689289973702,-0.371275539000712,-0.466325438455654
"SHIF_Ns_3 (GE) - TPM",-1.29294054578843,-0.00487752406852944,0.446028987373836,0.23774159785473,-0.0269545863682042,-0.15914566383424,-0.145048810216992,-0.627190306548947,-0.203903400551418,-0.694465072534019,-0.715690078155736,0.789592332069416,-0.671190431037303,-0.79911768734991,-0.237777175933093,0.458470536409588,0.336384765725641,-0.230249081633056,-0.269971962166184,0.743790833343234,-0.535810877962871,-0.384927244318097,-0.658996097457905,0.474884816951619,0.538603148249375,-0.572631429983872,-0.581218816587366,-0.230179669031635,0.977146648271535,-0.455267583142524,-0.690777078200061,-1.32522443328672,-0.824625454102124,-0.703063891571839,-0.487841249380813,0.368384519047743,-0.820580941576797,-0.462547054380719
"SHIF_Oss_1 (GE) - TPM",0.549826805012699,0.104322514146298,-0.386192416807335,1.44238901143162,0.0739613424389657,-0.217510354930113,1.18128348535929,0.832703354679056,-0.37674250609247,0.339580785043989,0.91482378768271,0.034353485111866,0.0554303465637725,1.23940180307909,-0.237777175933093,-0.0775401761749071,-0.29559108900751,0.881278993231511,-0.269971962166184,1.16805341600452,0.277871037792751,0.595592247308788,0.544865539416461,-0.282882425964589,0.020144102214836,0.307774772907947,1.42496794980201,0.948091241797436,0.739484251582804,0.148833991098479,0.59156939344618,0.211695391983844,0.481257040382921,0.855864598950347,0.60283251530197,1.69491630660261,1.23880984269936,0.310922715083681
"SHIF_Oss_2 (GE) - TPM",0.885317850912792,0.389911606230223,-0.386192416807335,1.31741546924815,0.179468253343674,-0.103860379458561,2.03672596394958,1.26166399798137,-0.414039577516562,0.59768324557862,0.866230573765317,0.316905547311617,-0.572184067792865,-0.145529989385334,-0.237777175933093,1.04428298109307,-0.499406798863177,0.964801497616948,-0.269971962166184,0.933171391901525,0.330255354718321,0.490259564359932,0.469267058037095,-0.57533542825929,-0.163789964194268,0.21319679872447,0.78124854005231,1.14225421072565,0.557824120149695,0.278493452536563,1.68289530561675,0.920570497992227,-0.111000905258407,1.68232285825915,0.724688691911701,0.10341302606091,-0.219502193212484,-0.407286273323501
"SHIF_Oss_3 (GE) - TPM",1.60733671713924,0.335371342900671,2.0190833561118,1.47477000437577,0.014881605167679,-0.0580368077676045,1.95951296159797,1.41971595001884,1.43647040032156,-0.293026339810155,1.06281180934549,0.729797288040981,-0.0855301633990958,1.58198009819553,-0.237777175933093,-0.605702729701121,-0.322996269602065,0.653025026777316,-0.269971962166184,-0.419019913756168,0.0903354897372756,2.06216408908789,-0.658996097457905,-0.825970951572608,0.0254954343678895,0.159781135289788,0.942607651950763,0.342155449143586,0.545818310148514,0.709573901404453,2.13083584451714,2.42799195607162,0.409082387142899,0.747001148399859,1.30806346251481,0.129128489869033,0.69161847901367,-0.694998355392371
"SHIF_Oxs_1 (GE) - TPM",-1.17875992594781,-0.427348261037245,0.4029156969926,-1.09700124266497,0.0489877470532656,-0.1681356753354,0.480404123613288,0.260296625493693,-0.547050937165356,-0.0622976051632657,-0.204305140696995,-0.843963806511183,-0.515842216392466,-0.361943941452387,-0.237777175933093,-0.00027651417929824,-0.337248467868263,-0.639622648260546,-0.269971962166184,-0.419019913756168,-0.194168216347942,-0.384927244318097,-0.107007404134035,-0.384414603175212,-0.153407226220097,-0.284288926777595,-0.581218816587366,-0.662572781584588,-0.291241545169797,-0.208435989514291,-0.718555839824946,-0.756917264594074,-0.951815397637314,-0.14089984442834,-0.228075732946913,-0.202652696559892,-0.758087747966715,-0.108748905333503
"SHIF_Oxs_2 (GE) - TPM",-0.392187886861143,-0.328615762167437,-0.386192416807335,0.4006119034716,0.0683818105077173,-0.0074087234273103,0.285946540395038,-0.160619897993734,-0.354541097128018,-0.382773315868315,-0.304466626112252,-0.385741617194487,-0.350060274691089,-0.0843905754441349,-0.237777175933093,-0.00868889991709541,0.70239890556404,-0.556404076021604,-0.269971962166184,0.233330713953488,-0.162240235671555,-0.0682586659973309,0.157482134213327,-0.662046776704992,-0.065737751787149,-0.0039594495417652,-0.384026356192883,-0.27365884870765,0.0887952548799348,-0.804515960701972,-0.224247053392189,0.0197608915595139,-0.484123204620402,-0.413294571017188,-0.27805298938758,0.184131658256768,-0.341322799624027,-0.477819574469581
