"","ABUW_RS00105","ABUW_RS00710","ABUW_RS00935","ABUW_RS01510","ABUW_RS03005","ABUW_RS03190","ABUW_RS03855","ABUW_RS04405","ABUW_RS05705","ABUW_RS05710","ABUW_RS05715","ABUW_RS06690","ABUW_RS06740","ABUW_RS07310","ABUW_RS07630","ABUW_RS07725","ABUW_RS08060","ABUW_RS08385","ABUW_RS08515","ABUW_RS09230","ABUW_RS10050","ABUW_RS10070","ABUW_RS10585","ABUW_RS10670","ABUW_RS10875","ABUW_RS11505","ABUW_RS13140","ABUW_RS13215","ABUW_RS13435","ABUW_RS13440","ABUW_RS13885","ABUW_RS13910","ABUW_RS14160","ABUW_RS14165","ABUW_RS14470","ABUW_RS14475","ABUW_RS14505","ABUW_RS14720","ABUW_RS14730","ABUW_RS14820","ABUW_RS14895","ABUW_RS15300","ABUW_RS15525","ABUW_RS15680","ABUW_RS15910","ABUW_RS15970","ABUW_RS16125","ABUW_RS16855","ABUW_RS16870","ABUW_RS17050","ABUW_RS17825","ABUW_RS17830","ABUW_RS17980","ABUW_RS17985","ABUW_RS18870","ABUW_RS18910"
"ACIB_Li_2 (GE) - TPM",0.551442969599192,2.30509886745876,0.306721339651813,2.73920816424858,1.083827294091,3.58601167941705,2.0661849628348,2.10681459358303,1.27655047968672,1.80243599382618,2.40172273186776,2.26549261735982,1.29535257053829,2.16524585687483,0.567666858681465,0.689886248141664,2.66499240444116,2.14623274243555,0.849879609644358,0.555613790370783,0.889952072130994,0.701371613963818,2.01036871665494,1.75195241144976,0.956783346780294,3.68577349878615,3.61292672546881,3.63270781350967,1.69111718359281,0.960470234574207,0.726527813031085,3.63317065935121,2.41435291242253,1.17961101196341,1.16054113790891,2.55406001108655,1.94824068831188,1.91850259578492,1.32876543377001,3.10227501429152,1.66734582524479,0.45290438652263,0.22469566855924,2.36380795769769,1.74002809280925,1.78345168597943,1.47941740250698,0.625443262956396,3.23217560678849,1.10922119388166,-0.433245686034641,0.289199107288455,-0.151748825743628,2.19818427882241,1.03766113509621,1.26310600067568
"ACIB_Li_3 (GE) - TPM",0.663288252122579,1.68742997018746,0.385135456310759,2.16701820464255,1.2913403469677,3.03408247644574,2.86096579159726,1.89807801723267,1.33914947930635,1.78719819750154,2.00158484738548,1.89697956117811,1.04146644840973,0.750370102028528,1.82997799415105,-0.491929198149682,0.050595355978296,1.73482574047224,0.840217709947325,1.25411923444181,0.470606432652786,0.705508662402972,1.70772952917751,1.32907063245601,0.129600603690463,3.1035619331032,2.58039653517065,3.09344505873374,1.70088223391184,1.61363166903547,0.903280706345155,1.22366332417681,2.22454466120659,0.997778920252772,1.15244214223284,1.18410507836465,1.82052196704014,1.8657783549513,1.13763740912615,2.35260863227878,1.58482735899771,-0.00694540043691755,0.0388367772064529,2.01583814591483,2.36185327903588,0.43730293464223,2.23153621696326,0.555118145149971,2.48377433510769,1.00906417118656,0.470188834690211,-0.209041309030239,-0.763815161485672,1.90855835157024,0.0903101830882646,1.55044275796963
"ACIB_Mig_1 (GE) - TPM",-1.66066373918143,-0.580748041156975,-1.43818750000977,-0.627505616553915,-1.42231324302814,-0.836576611090476,-0.902682703654472,-1.21397354915298,-0.548567006550455,-0.413171870424188,-0.459843586107759,-0.697356072591499,-1.47677832036867,-1.92557472574271,-1.24738889549667,-1.60710223325162,-1.12067821314854,-1.16042330356987,-1.36861252393554,-1.31450706858529,-1.80095952040954,-0.440286783454278,-0.447569284146893,-1.25505494957318,-0.826488001556616,-0.401018673930155,-0.811844131636108,-0.408574918038517,-0.687700526978881,-1.02355475718096,-1.80139558624244,-1.01480531170202,-0.542220105442534,-1.26376526424907,-0.771365702866918,-0.798151877311892,-0.423481621746121,-1.14764871898547,-1.72634569368388,-1.16143372645506,-1.39440156487888,-1.1803842830874,-1.05238160891726,-1.34067013298143,-1.08336496108404,-1.41085090291685,-1.28729047081734,-1.45858499353295,-0.650981580811487,-1.49994744945112,-1.21828049501601,-1.53400037147373,-1.68361443323149,-1.49191467388116,-1.10750017244888,-2.15813839195392
"ACIB_Mig_2 (GE) - TPM",-0.273300635101714,-0.468262268349994,-0.975010781267929,-0.627505616553915,-0.293338856797018,-0.864635785780753,-0.902682703654472,-1.0440857745448,-0.441892638641095,-0.404993403885487,-0.433855620730403,-0.659543161998416,-0.556587856590004,-1.34900818116817,-1.19979408373852,-0.133934359065219,-1.45359381554268,-1.0060919289559,-0.696338305086312,-0.538560567678145,-1.00260868260931,-0.447865688275023,-0.440637215187203,-0.530232364089781,-0.404235053141087,-0.373714174697995,-0.632351564501055,-0.372613033636655,-0.714736457911943,-0.933935973905801,-0.710708054567431,-1.1192755768496,-0.443316837641275,-0.362127684804507,-0.690186250122391,-0.494298335409299,-0.426111243089779,-0.868216618888743,-0.477422421079905,-0.0388944966551358,-0.404853024500973,-1.20192030459961,0.74546538889611,-1.17121079524052,-1.02017103712574,-0.510284809849799,-0.825183223378094,-0.398167744200603,-0.519112774248919,-1.19876857139348,-0.594826768910674,-0.49441308120319,-0.377228424768255,-0.541025811236643,-1.12860770077459,-0.788828528374399
"ACIB_Mig_3 (GE) - TPM",0.111312802009747,-0.42573206616781,-0.828681988721254,-0.334428698085015,0.805386237972656,-0.856401342056678,-0.0803612534704278,-0.669372311637287,-0.324756651418771,-0.363772519674687,-0.42240933079233,-0.582681959174571,-0.360888677689104,-0.830016462638742,-1.31959375490977,0.123056197711675,-1.16677108306425,-1.02836897058469,-0.656361362903109,-0.665002833486434,-0.814270192206234,-0.416033939912457,-0.442635823359369,-0.696194196230103,-0.490625708316721,-0.364304239958746,-0.837173443287102,-0.361792966415025,-0.703766152865433,-0.512881932540451,-0.620374274094161,-1.1192755768496,-0.436616239113265,-0.112330542639368,-0.475003714066284,-0.633848674256654,-0.415066712671676,-0.957517296736429,-0.673127732454587,0.284730990471009,-0.391602120077923,-0.790787984358272,1.40507579848819,-0.78217584094253,-1.00342925523581,-0.952788839277978,-0.815744741176396,-0.38158927498809,-0.520624749145336,-0.977525995972438,-0.230686431089368,0.0886531746572332,0.265718453031528,-0.103589610500999,-1.08636414793826,-0.503940069523902
"ACIB_Nd_1 (GE) - TPM",0.673039477100134,-0.508810234186727,-1.01984715868878,-0.0704528483231548,-0.116084163137974,0.0152261985050252,-0.824533178552991,-0.616479894641649,-0.470111530063148,-0.348996675636369,-0.428317787589139,-0.46232804384632,-1.1280781567284,-0.0318322641932925,-0.457800957980526,-0.852529666359987,0.454485103557846,0.362966843439424,-1.05837204766264,-0.277583045830872,-1.07696627118501,-0.205854633460667,-0.417333678274948,-0.733859088474556,-0.68714364825222,-0.392503222963753,-0.0222704993929137,-0.384088723981163,-0.129182608809092,1.25605179473492,-1.02447620987788,-0.827378664395334,-0.450065131019732,-0.859622259717039,-0.467401793994639,-0.140029728550849,-0.359635327709213,-0.840041267114364,-0.496446310425829,-0.855537316304192,-1.02124870023895,-0.398487108364451,-0.971984885880207,-0.911307999097937,-0.83275724855642,-0.860934188203026,-0.92562989562121,-0.597094602667016,-0.130124696358351,0.075323689454749,-0.42080257019239,-0.860229302976987,-1.07785264507159,-0.98538492853724,-0.428756069454079,-0.628997618746949
"ACIB_Nd_2 (GE) - TPM",1.00843969423782,-0.414309946788986,-1.07083111777843,1.62810408932757,-0.215371321899577,0.268215385792361,-0.649529196503313,-0.40900360222646,-0.429944119647269,-0.296379139471955,-0.403530308045115,-0.501905416814346,-0.945477221212014,-0.414950156269736,-0.130870942714328,-0.920971993512605,-0.349856027843396,0.264529933964298,-0.941271475005643,0.0701724325148951,-0.891002732624356,-0.104884052790861,-0.413585525510978,-0.446324914625398,-0.588552728573531,-0.384108257041648,1.38392579879717,-0.376313900168801,-0.33467990119496,1.26845335909788,-0.756607395379948,0.231518246717542,-0.414543198669906,-0.687468731954347,-0.433534687746952,0.202150116269446,-0.383610199106327,-0.878877616624527,-0.157811606610478,-0.868736783170539,-0.959479947456255,0.0925300481354226,-0.931442539454059,-0.653255336054716,-0.792503173947411,-0.172111554505684,-0.821867384502305,-0.662051485318977,0.195206237605293,0.0596043626973503,0.160799291510791,-0.521125034641167,-0.704565915477562,-0.838043580493891,0.0750930727968563,0.206612155670483
"ACIB_Nd_3 (GE) - TPM",0.45577307736478,-0.579589196374017,-1.05437722619184,0.673741104308488,-0.352702034930948,-0.368036550344161,-0.769916677407314,-0.619508807998215,-0.426060032442932,-0.307016229042138,-0.43192849702584,-0.4522919132339,-1.10665754385756,-0.0381290641229451,0.0195166272209625,-1.19801731156951,0.167196940412252,0.270590137461827,-1.01007567387106,-0.0532203180660573,-1.27651538549183,-0.29368602759071,-0.415686210521949,-0.777458571508802,-0.811862464531121,-0.393649603348831,-0.0576324866759143,-0.389505370930488,-0.234723643188513,0.42630784490097,-0.902933263951743,-0.23374800600595,-0.447179693170285,-0.878564217087356,-0.411122122140234,0.305283932096605,-0.333980826112456,-0.828127004937626,-0.648673088827314,-0.922935923663887,-0.910959546541639,-0.443980827928305,-0.96700066915274,-0.914501745618646,-0.910361508834229,-0.455702696549364,-0.97869550264804,-0.869534289066416,-0.0808349278160574,-0.248826221461082,-0.767122640961516,-0.731487473846728,-1.39193701778154,-1.04849558357536,-0.375357511928775,-0.516060344761693
"ACIB_Ns_1 (GE) - TPM",-0.461393905344277,-0.544613264514868,-0.46099652438708,-0.627505616553915,-0.358635444035676,-0.649795566573464,-0.371362468253679,-0.389417945178974,-0.34121519158545,-0.389874762974693,-0.446755466340982,-0.36083450847797,-0.717663198567348,-0.693357491279717,-0.700149153894792,0.491850139476358,0.341718548801973,-0.307834609922182,-0.269296126777344,-1.12666095994481,-0.274757739946578,-0.396447681265396,-0.43330106539288,-0.749280828760038,-0.626598807876985,-0.371438040829162,-0.540528928544092,-0.371101915726214,-0.263364495894891,-0.849378508824663,-0.263714640193548,-0.764893713653459,-0.487061168439039,-0.0123267733541038,-0.314689528158147,-0.699126750718511,-0.414217713903554,-0.265241805614851,0.152697736826798,-0.170852107802159,-0.786399279055684,-0.601517545171817,-0.519020501354413,-0.499446952226366,-0.415118521001468,-0.693761594609984,-0.592539072386438,-0.068372048072176,-0.465217815860236,-0.22929232856568,-0.356626286700993,-0.251226133188469,-0.124203910551459,-0.573180024424273,-0.389267094120038,-0.258734889222978
"ACIB_Ns_2 (GE) - TPM",-0.293776221500095,-0.49375789645074,-0.6109146402542,-0.199521522467149,-0.475605020825932,-0.38712747284339,0.458277085659885,-0.578095504498433,-0.388109370085525,-0.380982336826955,-0.421501956244386,-0.33115259365955,-0.469914892020592,-0.842918931627426,-0.704716727364567,-0.196059906323783,-0.476274760278983,-0.716984895034001,-0.376467130339698,-0.749440079108807,0.197173167598767,-0.401381365789154,-0.430944423940545,-0.682694802703819,-0.719683165365237,-0.380348367201806,-0.840692020997491,-0.375247154315973,-0.307512534380636,-0.637714204720143,-0.657549918415907,-0.179499964132329,-0.45148422843135,-0.146282147722309,-0.486033736147898,-0.670360954273657,-0.413566874726657,-0.1326833266813,-0.594222868988278,-0.282241258665807,-0.758656092346481,-0.566587717140109,-0.427497184961898,-0.513508233073004,-0.338317136811834,-0.567010935100643,-0.464959604231932,-0.181640915105792,-0.406375862077071,-0.475330374594806,-0.397900664870636,-0.021272410013726,-0.265387197388783,-0.69768962641253,-0.719474038508161,-0.438603107350175
"ACIB_Ns_3 (GE) - TPM",-0.0769686159301294,-0.472916802135872,-0.403655976672534,-0.627505616553915,-0.292056065370318,-0.505915740466548,-0.490194968630879,-0.556936324815767,-0.265452648708019,-0.384195986997845,-0.449931692317473,-0.403339042801444,-0.603774355058862,-0.799951244512873,-0.603048922198982,-0.741999187268668,-0.590348480482028,-0.464138709050561,-0.320867624938066,-0.731219779060349,-0.35085493837524,-0.368029477132759,-0.425536660223719,-0.353559323753468,-0.736151022062463,-0.380145779661002,-0.703327037661081,-0.36963939077905,-0.483005617167035,-0.652622479802679,-0.366454856695383,-0.503001090143305,-0.472874002359701,-0.369669427436649,-0.652902054720123,-0.235536292589482,-0.394717410138893,-0.261691485641563,-0.383280661654779,-0.241239338662761,-0.738800196586719,-0.184140204713731,-0.55460356390322,-0.514210272606312,-0.315817197965345,-0.251259792230784,-0.603839692415468,-0.226562067856406,-0.40511340585193,-0.652741275958107,-0.736587630266698,-0.0404928979530436,0.600281030898753,-0.70854030841745,-0.515867316644401,-0.677723979672707
"ACIB_Oss_1 (GE) - TPM",-0.171719270118438,-0.3925368185968,-0.311015286467391,-0.425330187392989,-0.461338946546331,-0.548800579466341,-0.505595020832226,-0.140984383613826,-0.377789684183732,-0.383512533487783,-0.406200145476073,-0.133886538957832,-0.358394644807524,-0.22003194103517,0.340068684322388,0.461193387389659,-0.414823263634567,0.0162989130045727,-0.336848061270297,-0.26493611156167,-0.30152903906075,-0.371010127735752,-0.430892595419685,-0.368508052039126,-0.294504975345651,-0.381036237872442,0.405939836963709,-0.345680331776645,-0.32394162879965,-0.220710504008702,0.201108706028309,0.152009017457419,-0.271289223793618,-0.0226643140755514,-0.27563723585168,-0.42695778388518,-0.400714808047452,-0.289820484141766,-0.439232299467947,-0.338115241143062,-0.358907468810593,-0.390405495101053,-0.515569418420953,-0.336905797247362,0.00822694894310163,-0.123561920004076,0.00812758635906706,0.413982662274658,-0.423963207072709,0.0729665292290512,-0.288783428539971,-0.308849184707998,0.381285940632152,0.0188065734295194,-0.222934572831061,0.138471850763753
"ACIB_Oss_2 (GE) - TPM",-0.0961929004202423,-0.236623314961226,-0.503752519959388,-0.0376179529746627,-0.164546866794229,-0.230472889589309,0.468701900743563,-0.37260713186886,-0.388003906029733,-0.350689136693679,-0.399839143006277,-0.186450177807915,0.0145844306877027,-0.120009571652994,0.176586379044977,0.305365105666983,0.278305022516939,-0.396165324895403,-0.373480446503431,-0.170427658647064,0.166722721253211,-0.392949371602511,-0.432375257758903,-0.11957859973263,-0.211298698339254,-0.37742589060933,-0.0141963116735377,-0.363561960212024,-0.349063715069606,-0.314535887369566,-0.069078594983888,0.0414357466551571,-0.230879832394661,-0.304627483431559,-0.292542788323276,-0.485313284372727,-0.385885946518631,0.0545353321784107,-0.522394672923698,-0.288813678231136,-0.408924877048272,-0.328220725548541,-0.170731197685366,0.0468147012789155,-0.0478863321097482,-0.068675074337168,0.066185129113401,0.393044224868251,-0.346193166461759,0.351196240085511,0.295756730408333,-0.341455492040437,0.645284524029206,0.123923436020597,-0.426746876957978,0.172788634949693
"ACIB_Oss_3 (GE) - TPM",-0.38224139607375,-0.313920135955336,-0.249510870261342,-0.316893512459354,-0.308683519125624,0.143175224703348,-0.728378294234624,-0.425229713106233,-0.285149843120076,-0.300986074204166,-0.376685297476614,-0.265835344228518,0.125448199137219,-0.0990219153816542,-0.308027372672864,0.571076846682931,-0.845626371781368,-0.0991831520193162,-0.368601611355064,-0.33508599027664,-0.0067770821593909,-0.34665683440422,-0.375528313160225,-0.273149510393882,-0.299210951113709,-0.355137303360654,0.157397179449874,-0.318027016470287,-0.298555135090102,-0.180012670984318,0.233976820847777,-0.933262495462161,-0.187496539146199,-0.397606498657951,0.0548916413631587,-0.553596363225243,-0.32856674718891,0.0548648317989332,-0.171364604987311,-0.14867674544664,-0.250999507284703,-0.483217595702943,-0.0203908711428018,-0.105127213079751,-0.253696091328331,-0.0128575529700149,-0.112936866961748,0.183423509055618,-0.305603962566137,-0.0268790485239705,0.733999418432088,-0.0744933757938254,0.664229298073358,-0.0620549618609562,-0.0409174335193144,0.401113732308517
