"","NGO0063","NGO0302","NGO0303","NGO0440","NGO0602","NGO0682","NGO0781","NGO0955","NGO1367","NGO1375","NGO1676","NGO1820","NGO1821","NGO18211","NGO1822","NGO1830","NGO1904","NGO1941","NGO2170"
"NGON_Li_2 (GE) - TPM",0.386455779093828,-0.528636055974849,-0.424980800318447,-0.0102293203263314,-1.38032412366876,0.427966422730573,0.520748129043492,-0.566869189406691,-0.169289946322289,0.013365687581292,-0.47207376199252,-1.35688790499758,-0.824370814910314,-1.20064684918036,-1.07889508574452,-0.568942779581379,-1.86398594708196,-0.923072191901935,-1.25375410362852
"NGON_Li_3 (GE) - TPM",0.674402348675007,-1.4359488267005,-0.553816531152988,0.0182907296924138,-0.548810445472838,1.69964802704425,0.747300916082157,-0.103531692525383,-0.608316408052928,1.02074305550241,-0.579728488487796,-1.0977840770759,-0.530863799073355,-0.948604838890912,-0.355880582793211,-0.12447622954702,-0.81045991146759,-0.787992069441363,-0.142062637638422
"NGON_Mig_1 (GE) - TPM",0.285198584703891,0.0185799746239377,-0.697254211361258,-0.629404027903774,-0.919447176103758,0.943674976610035,-0.0839409536653374,-0.0240716760614559,-0.098886166230255,0.809230441457791,0.107724475131855,-0.560475912574735,-0.236912726973746,0.00759860224658039,-0.650607272844351,-0.862060158666494,-1.6546215194597,-0.760869678197432,-0.0943565678194834
"NGON_Mig_2 (GE) - TPM",0.648108413958965,-0.79823953329948,-1.11572664815895,-0.856361932282088,-1.08607295876817,0.0989510939512209,0.710742461285595,0.182924968903169,-0.90056230253319,0.223095162663377,-0.235443484390216,-0.60717718802024,-0.885105282018949,-0.424494488244056,-1.31456616853733,-1.16280205841479,-1.06719597448704,-1.53345749995813,-0.767318361635962
"NGON_Mig_3 (GE) - TPM",0.773832980704688,0.768708322667437,-1.07158916093898,-0.55930562232313,-0.596902455388414,0.863506148951606,1.29058987716387,-0.0621360748524689,-0.21722163102107,-0.344625307530158,-0.32655836647248,-0.273021699720289,-0.174975459210359,-0.586234594453059,-0.173753989588826,-0.736546702019509,-1.28618353246045,-0.561408346860379,-0.805657921729516
"NGON_Nd_1 (GE) - TPM",1.45887888519976,-1.3252742258643,-0.960780162461348,-0.725798178148322,-0.735293102501693,0.374191636203217,1.8901356963371,-0.918813180443704,-0.0291396333146068,1.72384443258651,-0.872015408711108,-1.05209260943367,-1.52288841178958,-1.59638443047584,-1.44237103109444,-0.972606024514486,-0.715984518961432,-0.713858382218256,-0.879607638944969
"NGON_Nd_2 (GE) - TPM",0.833035320053986,-0.552136352292093,-0.860203219055446,-0.831823027433291,-0.277174852620753,-0.592675305088875,0.518888260109891,-1.0373698829043,-0.942694834575997,1.23623072358468,-1.06713208798452,-1.41163532441998,-1.35783620217214,-1.30236199342443,-1.11741962263344,-0.803073091724509,-0.23647823699399,-0.942765935733893,-0.106750700006158
"NGON_Nd_3 (GE) - TPM",0.154920017119685,-0.797553050528893,-0.884710956727806,-0.559768999206182,0.178982115910253,0.0806750594478355,2.00634766492579,-0.101338953856593,-0.957785230207152,1.55564620832035,-0.976587807846241,-1.04293324750827,-1.19802802837968,-1.23837027013082,-0.630755834243391,-0.712667369921168,-0.513763843377058,-0.316161836248893,-0.150080672205323
"NGON_Ns_1 (GE) - TPM",-0.499286831636578,-0.814634699919391,0.738019136136418,0.468822391471237,0.551352978201443,-0.928004796694146,0.131003883451816,0.974791583152069,-0.455413569812651,0.599568792162403,-0.480357974703921,0.409206567997741,0.114112630855839,-0.0177073641834226,-0.108281268051149,0.0552559479038126,1.15944990651001,0.743918568860046,-0.082448110721719
"NGON_Ns_2 (GE) - TPM",-0.273037491604056,-0.255483902444045,0.375316535633993,-0.569280234996649,0.721165924734675,-0.42462639891883,0.604473773225026,-0.496129612616605,-0.546697390552254,-0.137086436289309,-0.345209313833352,-0.0122464265769002,-0.411241089383931,-0.256343412805033,-0.740316908805395,-0.256275676035475,0.104236856167076,-0.34739517301676,0.843015150418824
