"","NMC_RS11510","NMC_RS00525","NMC_RS11780","NMC_RS04665","NMC_RS05270","NMC_RS05320","NMC_RS12345","NMC_RS12475","NMC_RS06560","NMC_RS07075","NMC_RS12665","NMC_RS08130","NMC_RS12860","NMC_RS13025","NMC_RS09515","NMC_RS13340"
"NMEN_Li_2 (GE) - TPM",-0.463071081321823,-0.30581438954672,0.807438188400927,0.0738244314729111,0.747246790599491,-0.42455346317728,0.0786692833647462,0.205905414315742,0.0671105132194398,-0.095339472388091,1.26864046666789,-0.283464451213573,-0.380342729538477,-0.312388468653743,-0.109360627704168,0.382178889204379
"NMEN_Li_3 (GE) - TPM",-0.572514613520548,-0.241270842136168,-0.522698203845732,0.915168382455186,1.06624797477877,-0.42455346317728,-0.329135179238987,0.0676805702740155,1.10252578180854,0.988042180799896,0.926050148330951,0.127212154502298,-0.380342729538477,-0.312388468653743,-0.0439382151972771,-0.40656505130071
"NMEN_Mig_1 (GE) - TPM",-0.572514613520548,-0.119518768295146,-1.48352517559416,-1.16783818808033,-0.488253365562764,-0.42455346317728,-0.396588161583294,-0.651554579632681,-0.77006707263564,-0.69856164920465,-0.856574393495141,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.250935066024442,-0.40656505130071
"NMEN_Mig_2 (GE) - TPM",0.585084637146749,-0.0353883719212428,0.409586832149164,-1.16783818808033,1.14525345912185,-0.42455346317728,-0.0604384911870757,0.104234749825718,-0.77006707263564,-0.69856164920465,-0.856574393495141,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.145461946852656,-0.40656505130071
"NMEN_Mig_3 (GE) - TPM",4.99586219171701,5.80726520906239,4.5874076836813,2.34185874538546,4.75016370587316,4.3044242924351,4.98510452490895,4.19585672711618,3.9626832884219,4.41666125623463,3.64879201587318,4.24991274679985,4.72664936454894,5.42986490239095,5.80059414706218,4.94416802934226
"NMEN_Nd_1 (GE) - TPM",-0.421989494003068,-0.138445631232802,-0.498863476348821,-0.219092137075159,-0.34664776237447,-0.42455346317728,0.0409528461760493,0.396732476878262,0.637232796838684,-0.329827244859025,1.09206045188351,0.360830061912028,-0.380342729538477,-0.312388468653743,-0.252098284323216,-0.261923306544487
"NMEN_Nd_2 (GE) - TPM",0.805288355162308,-0.0193646442072882,0.0937346063432472,1.43741161241376,-0.488253365562764,1.33060782160413,-0.889391770813416,-0.651554579632681,0.108213671507716,-0.69856164920465,-0.856574393495141,1.01796634499996,1.04125332155241,-0.312388468653743,-0.191300063690032,-0.40656505130071
"NMEN_Nd_3 (GE) - TPM",-0.572514613520548,-0.0841388309702775,0.972323862321421,-1.16783818808033,-0.488253365562764,-0.42455346317728,0.246948639559853,0.00207975010917294,-0.77006707263564,1.1407625228678,-0.249062060270623,-0.889544508691352,-0.380342729538477,0.461908098186286,-0.177420276609787,-0.40656505130071
"NMEN_Ns_1 (GE) - TPM",-0.40526194521194,-0.198490400822797,-0.881778347900423,-0.219077753907987,-0.252240449035346,-0.42455346317728,-0.297686094883204,0.00363476333901139,-0.556836587017273,-0.237636656177429,-0.450602646200634,0.2682272754952,-0.380342729538477,-0.312388468653743,-0.288621451895091,-0.40656505130071
"NMEN_Ns_2 (GE) - TPM",-0.17182923074663,-0.218874432648389,-0.238508484505463,1.86274176422865,-0.488253365562764,0.0858732723810629,-0.140036064833842,-0.389949592734112,-0.259233137519752,0.0375936505341258,0.116007668005808,-0.612178392365494,-0.380342729538477,-0.312388468653743,-0.234218499752299,-0.40656505130071
