"","SP5448_RS09140","SP5448_RS00765","SP5448_RS00770","SP5448_RS00845","SP5448_RS00850","SP5448_RS00855","SP5448_RS00860","SP5448_RS01405","SP5448_RS01410","SP5448_RS01480","SP5448_RS02370","SP5448_RS03010","SP5448_RS03015","SP5448_RS03020","SP5448_RS03025","SP5448_RS03030","SP5448_RS03035","SP5448_RS03040","SP5448_RS03370","SP5448_RS03600","SP5448_RS03605","SP5448_RS08255","SP5448_RS08330","SP5448_RS08335","SP5448_RS08340","SP5448_RS08345","SP5448_RS08350","SP5448_RS08385","SP5448_RS08390","SP5448_RS08400","SP5448_RS08970","SP5448_RS08975","SP5448_RS09030"
"SPYO_Li_2 (GE) - TPM",-0.308266190299185,-0.958454420581531,-0.838478378663431,-0.949052992752147,-0.995332519618268,-0.923494856616037,-0.585994866640918,1.18911251796041,0.482674213966303,0.0836526076461936,-1.80442344146221,-0.859078778611369,-0.328455521929998,-0.89809506565541,-1.09476582041854,-1.11494583739835,-0.859321967870486,-1.02746874018483,0.969512690893122,-1.35135529725412,-1.49355873357884,-0.67725835261543,-0.606785540943348,-0.593813799419694,-0.72954881787649,-0.867464618197023,-1.07452488618183,-0.941561237641932,-0.999680740291723,-1.03081466968477,-0.787654536165017,-0.861091730561265,-0.397651109486187
"SPYO_Li_3 (GE) - TPM",0.552249834524247,-0.74730633625298,-0.796506904138756,-0.939349988374229,-1.00911397021539,-0.88897949995527,-1.01196152543653,1.31103072424616,0.975671193697961,0.521890393402175,-1.6352534468688,-0.904809565277848,-1.06658647957444,-1.17748100359785,-1.15065547105087,-0.778560479377266,-0.883216855166003,-0.51113208265727,-0.508071129480555,-1.38124350879478,-1.35141824497852,-0.769977267634967,-0.64806971575476,-0.718578007008864,-0.768279166438554,-0.767763402108773,-0.933863134078089,-0.897568950809231,-0.862021349671083,-0.944553818749357,-0.72750561508574,-0.758373346948754,-1.02474677623117
"SPYO_Mig_1 (GE) - TPM",0.918401474415637,-0.996490998711685,-0.878688905107894,-1.19353558569232,-1.19225729828325,-1.14418672962705,-1.45038287855555,1.2197174075569,0.303240946938928,-1.37601089833828,-0.284838563165368,-1.56681269013883,-0.0429947300151797,-0.949121484410235,-0.802611275993712,-1.05900530985738,-0.911660812840584,-0.861172124577296,-1.18146604058948,-0.79439854160034,-0.183268823352745,-1.00003588805715,-1.43300006872323,-1.38425563515941,-1.13564262527046,-1.31898537224148,-1.28839649027607,-1.17722472420447,-1.21925282039631,-1.04018123248047,-1.04481078929683,-1.05971062000675,-1.64579476580114
"SPYO_Mig_2 (GE) - TPM",0.508048367176323,-0.999154810927155,-0.912512531107827,-1.1464423682846,-1.20584145139716,-1.15609879354492,-1.25608966872334,1.01460860811497,1.39177579678916,-1.35430363452412,-0.13345484815476,-1.31564922334148,-0.880692235867633,-1.04921502106975,-0.635629312885379,-0.321283179414961,-0.694395632314796,-0.799692552325606,-0.713577627167665,-0.728896059471068,-0.526464100833864,-0.919804695331484,-1.41732018676094,-1.23603494551793,-1.24719513215126,-1.09949385728826,-1.4511950231447,-1.20422317668444,-1.24497592846802,-1.04962030694385,-1.03555527731622,-1.09870487373927,-1.65644236581518
"SPYO_Mig_3 (GE) - TPM",0.610845627977798,-0.915874522990273,-0.919204470316305,-1.245239819023,-1.28255991306539,-1.16728481202614,-1.57510191597364,1.00790227578994,1.45901682364088,-1.72078434930037,-0.748062372231874,-0.869521562437847,-1.05876033092135,-0.851305593321199,-0.95727833351391,-1.66921108925058,-1.24433627578117,-1.30176419986499,-1.18001587275546,-1.08535249032894,-0.513265823562075,-0.808726187888136,-1.40721745087422,-1.27940255073165,-1.10066815143829,-1.26914421793385,-0.954916249654829,-1.1771713123498,-1.25960426207846,-1.13678957987141,-1.05785180884198,-1.0323885313572,-1.49253245242921
"SPYO_Nd_1 (GE) - TPM",-0.256445301375447,0.544590451094179,0.402343837131185,0.133011016656578,0.208822519609515,0.325902128897155,0.351967479942943,-1.22756276726341,-1.03396410553484,0.446065296778361,1.00024021709871,1.48538276460733,0.336644413549112,0.375308215628152,1.00695848026472,0.66198604064867,0.660963823862733,0.596481545297696,0.655131058705644,-0.0598006202001339,-0.355878437026094,-0.137045550662145,-0.377169064222151,0.0733610994659666,0.289576255807396,0.253919373892332,0.591492643199903,0.0874536445265628,0.185536592212762,0.494106388559579,0.478132614576768,0.788305048141643,0.48259282834836
"SPYO_Nd_2 (GE) - TPM",-0.219039537437596,0.774337028929636,0.307636336825196,0.274010928327464,0.503547079781653,0.179913801232008,0.242466976470561,-0.62434841535583,-1.26208357550696,0.35857621690599,0.875973791436405,1.21673301195872,1.82674588686723,1.199083094287,0.647511985062879,1.97954572802969,1.12125471327918,1.03614481591632,0.697702449874291,0.152409094029815,-0.455181879936488,0.181175331939399,-0.346502111931267,0.0683104261113842,0.021141443137285,0.349811436272988,1.15002992523547,0.0307745278439153,0.163024602710094,0.424053833707396,0.465500570644184,0.570829902384276,0.593529007676634
"SPYO_Nd_3 (GE) - TPM",0.107002488648996,0.617222267549147,0.272319495701633,0.159395715661826,0.434129898360193,0.306188753339807,0.993006174317913,-0.830974583700943,-1.07733344551105,0.466033960731364,0.707571110429001,1.6796489986768,1.12307042126291,0.477563471345997,1.49250395302128,1.38285534647702,1.50560789158113,0.715571595330736,1.6533703840462,-0.0332127677376624,-0.367217500091191,-0.0715613611048455,-0.364515795057269,0.164659577715764,0.481958292519217,0.290599734181795,0.614892282950456,0.0463625194533343,0.271248954173164,0.429785099485195,0.413578316392757,0.871712627988842,0.686281063390432
"SPYO_Ns_1 (GE) - TPM",1.30982415570405,-0.932813950313433,-0.886757993226391,-0.72648181625899,-0.842594732435325,-0.863673841232829,-0.885105609188163,1.08735033426405,1.30475842270161,-0.237319945886806,-1.2037101960402,-0.81065435357549,-1.07570672346903,-0.331040302757,-0.749891106741161,-0.495367618130822,-0.997299707639709,-0.770331858685285,-1.05958956616066,-0.823431605181368,-0.957416426566738,-1.00307050859791,-0.441770286984508,-0.188883888382913,0.0151510900639735,-0.3269813031939,-0.172492724991259,-0.449903123722561,-0.331923503342067,-0.66361608626633,-0.917493856036808,-0.967939564674779,-0.471259580495878
"SPYO_Ns_2 (GE) - TPM",1.38508260300155,-0.915896817878845,-0.891309675176851,-0.851107819352433,-0.720344417585025,-0.767615046193458,-0.209414259538168,0.501991358423532,0.203454922433811,-0.703588582519361,-1.09061787590091,-0.843671297981645,-0.431410315724329,-0.763566788621695,-1.12476605581848,-1.06732220739022,-1.05891581397816,-0.499981326700102,-0.903329164351452,-0.518630931544319,-0.643416360569261,-0.517038133783134,-0.364132598094776,-0.42748387792467,-0.275356671920186,-0.573713486179328,-0.653605719963903,-0.463236777067289,-0.560489793796248,-0.789572962071265,-0.925559578240474,-1.00811254097393,-0.0629329381571646
