"","E2348C_RS00900","E2348C_RS26225","E2348C_RS05865","E2348C_RS09860","E2348C_RS09865","E2348C_RS10195","E2348C_RS10960","E2348C_RS12410","E2348C_RS12480","E2348C_RS15535","E2348C_RS18490","E2348C_RS27645","E2348C_RS19135","E2348C_RS19140","E2348C_RS19195","E2348C_RS19200","E2348C_RS19205","E2348C_RS19210","E2348C_RS19620","E2348C_RS24350","E2348C_RS24355"
"EPEC_Nd_1 (GE) - TPM",-1.32993537618764,-0.922739616026017,-1.21108734572519,-1.5073688851568,-1.36928270262262,-1.66005540663337,-0.989342079906309,-1.19103667207472,-0.954442141503212,-1.26610529347257,-1.34498381471782,-1.24117656889492,-1.42176640089991,-1.20219135927756,-1.07896592742596,-1.03792490844005,-1.17538402658139,-1.34912063612169,-0.150904257868191,-1.53866457963186,-1.32363504254712
"EPEC_Nd_2 (GE) - TPM",-1.30769729398585,-0.89128004774813,-1.19740771634484,-1.4308301305114,-1.24494238100835,-1.63133833874736,-0.836167076702909,-1.26397184025738,-0.993346603900675,-1.31618557811012,-1.21765338386894,-1.43626331952559,-0.209293765862966,-1.12135955706476,-1.0496519601347,-1.01638402502853,-1.14784709489369,-1.30552606428369,0.00146696333913311,-1.4540034424705,-1.32957839602473
"EPEC_Nd_3 (GE) - TPM",-1.256349243915,-0.93036177212877,-1.22308130500736,-1.41226429180838,-1.22134443544339,-1.63044203247486,-0.860560654498262,-1.28497746528746,-0.963420354805787,-1.18994623133626,-1.06639092793636,-0.745333303471581,-0.875420428348867,-1.10873503441631,-1.03013390729139,-0.997968662374897,-1.1121413099063,-1.26866416005925,-0.0525706225249099,-1.46405544375044,-1.22105313993457
"EPEC_Ns_1 (GE) - TPM",0.70458729956335,0.562195316847486,1.53823570119789,1.06855481177055,-0.0528232898211432,0.800680230859466,0.438836147868931,0.773267588609634,0.874176741275494,-0.538363007524244,0.62514702863848,-1.22676035091417,-0.370078410177401,-0.166905978917922,1.73741401754915,2.09347275428453,1.46493928498394,0.550592813783099,1.26031085144415,0.160858387171805,-0.242355714614792
"EPEC_Ns_2 (GE) - TPM",1.29096261208999,0.609183303748569,1.92391811834441,1.44138490871062,0.054714463997031,0.717445791422451,0.258844146868453,1.47997622904057,0.750894450277148,-0.641468030624538,0.854222822119792,0.435488356142422,0.42907834393236,-0.0774101348833714,1.44098637077605,1.92234131195898,1.16603615397432,0.695152524219229,3.11010543058702,0.707857481472329,0.0324254669091632
"EPEC_Ns_3 (GE) - TPM",0.532910640352359,0.464974487260959,0.460799654618742,0.605828438705585,-0.131050159276436,-0.0749582405933938,0.0933994296944838,-0.0301236225068878,0.0696856535942989,-0.032654933542845,0.694416917514478,-0.667848573266141,1.07656988635264,-0.0309785459617961,0.99331163534484,0.927155539296236,0.882254563733656,0.535971981626875,1.28359010557913,0.701596796844514,0.274811552875582
"EPEC_Oss_1 (GE) - TPM",0.300868566120778,1.32553467483784,0.372876639461482,0.170586843728412,0.662880077605395,0.15636066726408,-0.399173167248402,-0.537055654872355,0.847585135182964,1.24764545491271,-0.0233759193437494,0.618421013749734,-0.0487320995575884,0.570057074846844,0.282011047529663,0.630698166682196,0.600755669059765,0.799083912857974,0.351906105756568,0.286748629029137,0.892160725484647
"EPEC_Oss_2 (GE) - TPM",0.47004166690771,1.33967738759395,0.636630333281592,0.283212163653058,0.639608466026958,-0.066424092127838,-0.164463161225331,-0.624518914703546,1.03602141948484,1.28084801022327,0.369415174639803,0.059099982632741,-0.336698746365784,0.773061762285611,0.21530666081063,0.259808281927308,0.508175817505698,0.639873108728577,1.06974896590333,0.418763164711293,0.822981424170616
"EPEC_Oss_3 (GE) - TPM",-0.0637819461511741,0.583742002505427,0.693648321681962,0.0705225434076438,0.647066125687962,-0.0956270865658487,-0.180138164777702,-0.478583991689988,0.834404256168472,0.793379408678523,0.541767438686148,-0.283276468426039,0.0773245540230907,0.390298858931603,-0.132447602812083,-0.00690268643830729,0.24552580876433,0.465208665069826,0.0931658551510355,0.746785338571766,1.04527211906168
"EPEC_Oxs_1 (GE) - TPM",1.12217678821807,0.486440704767921,-0.543071566818886,1.64394237732876,1.83402557497343,0.793609509098356,-0.345434707349229,1.47184431046249,-0.156375779829581,0.584040806631892,1.3700112114624,0.341138766235435,1.59837362197301,1.64677676463936,-0.38931004416334,-0.261294516041402,0.00827931399151402,0.953816579797266,-0.631723523624362,2.62706544374031,1.60109857354499
"EPEC_Oxs_2 (GE) - TPM",0.880233755769519,0.114989763405896,-0.941343518106125,0.198241469591258,0.409677134118346,0.604901220726366,-0.311532921270235,0.8142513495128,-0.255651439123895,-0.093717858852365,0.714589307583282,-0.772381927416909,-0.33307041990418,-0.104605131176962,-0.884829543785412,-0.883959936422945,-0.8806382280552,-0.824068394286414,-0.465903376821799,0.665952292188411,0.277445414294147
