"","SAS_RS00045","SAS_RS01030","SAS_RS01300","SAS_RS01455","SAS_RS02655","SAS_RS02660","SAS_RS02665","SAS_RS02670","SAS_RS04125","SAS_RS04175","SAS_RS04180","SAS_RS06945","SAS_RS06950","SAS_RS09760","SAS_RS09790","SAS_RS11465","SAS_RS11470","SAS_RS12375","SAS_RS14885","SAS_RS12390","SAS_RS12395","SAS_RS12400","SAS_RS12405","SAS_RS12410","SAS_RS12415","SAS_RS12420","SAS_RS12425","SAS_RS12430","SAS_RS12435","SAS_RS12440","SAS_RS14905","SAS_RS14055"
"MSSA_Li_2 (GE) - TPM",0.0256179589355874,-0.223789294253722,0.605240422168966,-0.191716015390266,0.109298291810843,-0.34699026927807,0.590053105847582,0.561171150575337,0.441423617998376,-0.59379107421714,-0.678696178675189,-0.141095931397249,-0.132702552418463,-0.0380276755235034,1.2966282270375,-0.534904072674717,-0.610629213473807,-0.81237668306578,-0.00995641572054019,-0.857516147060637,-0.791205854788444,-0.934108980302012,-0.932657539226478,-0.870833885693938,-0.909034808789722,-0.778756192467937,-0.850709475815512,-0.841781519828264,-0.769491442418775,-0.747451618401225,-0.314258304552552,0.666424793022957
"MSSA_Li_3 (GE) - TPM",-0.0710148752663876,0.359266823295415,-0.742766784337302,-0.106994419773058,-0.202479282365908,-1.96716164708311,0.155650285753738,0.525819481596002,1.10102411768033,-0.469220357689812,0.0718698505347635,-0.118536101719617,0.133334864567842,0.592530293149729,1.43407591727072,-0.57090607615844,-0.597699325694118,-0.756995043926637,0.381043731060084,-0.790273332148892,-0.608881618474452,-0.789543087368372,-0.762849702385575,-0.830548051604029,-0.828433856582141,-0.726613385460363,-0.776230465121404,-0.786595605204801,-0.716521063387649,-0.696500420970509,-0.314258304552552,0.331607104206404
"MSSA_Mig_1 (GE) - TPM",-0.545835518336905,0.316880105899278,-0.836302277798457,0.181786767793311,-0.134989727187294,0.251463698160029,0.0523017503356378,-0.435520256124561,-0.631861986217267,-1.16064073375237,-1.25621484345758,-0.897895450220803,-0.892151985739341,-1.15127056804192,-0.363236758100205,-0.0688490110589337,-0.208674124605753,-0.255812437986543,-0.784208501754576,0.180268684157417,-0.030198460960934,-0.0442172640484779,-0.155263163959654,-0.0909530274513126,-0.137390860822457,-0.15527194877496,-0.16714416099771,0.0575060979027829,-0.112158236262887,0.275196262922522,-0.314258304552552,-1.53352739959691
"MSSA_Mig_2 (GE) - TPM",-0.686148481053306,1.15264149057582,-1.10933089501297,0.238429292177857,0.00583978142792573,0.0431451073012735,-0.449050885689125,-0.202528152306595,-0.55369880018347,-1.28092250866745,-1.32543956127563,0.473017228698856,-0.817826468947963,-1.26802992834586,-0.793715891278961,-0.182016706745331,-0.0440120444924027,-0.217038935668008,-0.327754433018883,0.309831499781604,0.00943845658479706,-0.0545575146242546,-0.0941895845332806,-0.176783443306773,-0.00567341440562125,-0.0485306237838299,-0.11068078234942,-0.0898117960685066,-0.0828193865867776,0.192513822373733,-0.314258304552552,-1.46377539580383
"MSSA_Mig_3 (GE) - TPM",-0.867442817175807,-1.05217721571612,-0.610882874928472,0.561314768737285,0.232196642630362,-0.550385160881132,-0.0152588544480973,-0.832916971751852,-0.790197411487204,-1.19182263746539,-1.15370516061672,-0.511661455099883,-0.545226861924495,-1.26257304246001,-1.26720310480553,-0.215501296332045,-0.0210797249486468,-0.225823067321438,-0.24812182754385,0.115674502694642,0.0840591041186297,0.0476561252243241,0.0399874195637306,-0.155147044897255,0.00518960781343774,-0.102248520875192,-0.133988303435435,-0.136176033542879,-0.186071767786904,0.0189859405405318,0.938739729247109,-0.742770994457032
"MSSA_Nd_1 (GE) - TPM",-0.511777196810653,-0.85316976493687,0.0697383963970623,-1.2720751036629,-0.837232795611767,-0.2211815464843,-0.842282313260004,-0.609203007392528,-0.282740880919256,-0.50741496226695,0.566068245514402,-0.903241267336448,-0.44445732796039,0.262897336814265,-0.347669128230034,-0.872094955103355,-0.816737317414101,-0.818926722522008,-1.11668555096775,-0.644488506258603,-0.542620427709905,-0.530527081930199,-0.628928343385124,-0.82212394629066,-0.822918839406795,-0.756879900168237,-0.835590579350286,-0.837386356980191,-0.784215973119215,-0.763566088159419,-0.314258304552552,0.73333600600475
"MSSA_Nd_2 (GE) - TPM",-0.464897630528929,-1.1572689723361,2.2367452559795,-1.30632761095708,1.07294326664618,1.29887593136935,-0.243921058089929,0.0516536037205505,0.227189208601506,0.135324216688125,0.476488031911745,-0.467398887223063,-0.0319101978859026,0.96324096606234,0.249610523320566,-0.873606677936306,-0.898198902105464,-0.823666512243263,-1.16870960911362,-0.651895996435778,-0.678480085471792,-0.582805373368746,-0.664260393435133,-0.792839339187947,-0.834833584088344,-0.747871639330652,-0.821609830851006,-0.821257337874319,-0.782821366713795,-0.760694734000439,-0.314258304552552,-0.353859495789288
"MSSA_Nd_3 (GE) - TPM",-0.367648087899955,-1.08285071669454,1.02286602707214,-1.27591022691728,0.376098379702317,0.431230590812953,0.0308719889542827,-0.742748372452729,-0.601712602571407,-0.33910164759182,0.466111304322819,-0.591070654253535,-0.754528551006389,0.0757278874818888,-0.88104558861318,-0.694183412492092,-0.856102222416302,-0.764977308894305,-1.17417960108459,-0.49578822882729,-0.46293107201356,-0.386559444515188,-0.521744418982927,-0.696253932584341,-0.770847098844317,-0.706571171419606,-0.766033689128847,-0.752296756485801,-0.729456312949068,-0.724977754138619,-0.314258304552552,1.064675719797
"MSSA_Ns_1 (GE) - TPM",1.06873200589086,0.763496319404224,-0.868781009571373,0.966212675076834,0.760901194717237,0.56653980466009,1.12955487868722,0.665229992872921,-0.243778762026894,-0.483899199086989,-0.608711791752282,0.0844523605332798,0.306218303397822,0.424413673473401,0.146115130596044,2.43445080281665,2.35011225787679,0.203840695148637,-0.302863523127172,-0.541135945246789,0.121829860530222,0.0274917482096907,0.217102501374847,0.529000296985177,0.676366754630455,1.06424327355496,-0.0594324175647748,0.0666472719054943,0.26334798179834,0.280614657475158,-0.314258304552552,-1.22740979261554
"MSSA_Ns_2 (GE) - TPM",0.693140020082529,-0.656739368990379,-0.924372934467438,1.04938659813449,0.831141214761,-0.129834424430671,1.70098738750391,-0.166972604938427,0.139831953311348,-0.785564442071459,-0.589182239671809,0.0826764926811665,1.14569654841215,0.467312258099249,-0.423804042445645,1.02295103252068,1.83657043925362,0.22740110781427,-0.843150840220857,-0.623388446857904,-0.503847577853904,-0.483722476353876,-0.314236808505173,-0.221884346759721,0.111871456740628,0.389570340351662,-0.240418345915397,-0.106885629857314,-0.0422394419665876,0.415805202052311,-0.314258304552552,-0.415868797058746
