"","NTHI_RS00860","NTHI_RS00940","NTHI_RS01310","NTHI_RS01440","NTHI_RS01745","NTHI_RS02000","NTHI_RS02230","NTHI_RS02405","NTHI_RS02410","NTHI_RS02505","NTHI_RS02600","NTHI_RS02740","NTHI_RS02930","NTHI_RS03015","NTHI_RS03090","NTHI_RS03505","NTHI_RS03815","NTHI_RS03860","NTHI_RS04590","NTHI_RS04720","NTHI_RS04975","NTHI_RS06935","NTHI_RS06940","NTHI_RS07365","NTHI_RS07405","NTHI_RS07570","NTHI_RS07635","NTHI_RS08160","NTHI_RS08180","NTHI_RS08200","NTHI_RS08470","NTHI_RS09160","NTHI_RS09360","NTHI_RS09495"
"HINF_Mig_2 (GE) - TPM",1.61811541160517,0.710708016575057,1.24341507359468,-1.94274404816949,1.09734369244536,1.81517496114866,-1.51801288444044,1.01627743267515,1.43259053616707,1.0916159204691,0.659313051309683,1.64243261365196,1.95803670645779,2.03657317018156,1.12944966196414,1.97725778375582,2.20915877025436,1.285776611893,1.14309519309576,1.93203209109301,-1.91006007613588,1.62128572562676,1.46184849781547,2.27966899192938,2.30832534240709,2.31282184622046,2.02670721921802,-1.82488024160702,2.27047919902441,0.872184186051814,2.34671917146111,2.22131721498434,2.11731859713508,0.73583002052887
"HINF_Mig_3 (GE) - TPM",2.65525096358847,2.06579089607328,1.0973462703316,-1.92581525586857,1.65600766785799,1.18525524529309,-1.56999434579622,1.42790722678572,1.57456832374134,1.01444547042202,0.558352933997763,1.59127975747332,1.99088523963295,1.63952245582814,2.31280453451536,1.63025244200067,2.40208240300757,1.40071245201253,1.68466039559409,2.40985041148301,-1.95214350884156,2.13986776042909,1.75343521988664,2.59254434216532,2.77196739365783,1.59906349679679,2.54436999265234,-2.00448697601709,1.06742981118289,0.919189257305711,1.68170754360958,2.18775479177033,1.92786958676884,1.64476839129137
"HINF_Nd_1 (GE) - TPM",-0.571889176301847,-1.00588744704422,-0.754940988494346,0.393865594522228,-1.34910241393082,-0.593375131661739,0.177644856708383,0.613557513527284,0.928622865369771,-0.0899166105099718,-0.953563318860665,-0.653222026240429,-0.203888660865833,0.469168999718847,-0.192156526925959,-0.816370242019206,-0.530759036538832,-0.823577284644059,-0.686909799954405,-0.531433556446266,1.34143463134011,-0.430124813687146,-0.261683461866574,-0.41833690787511,-0.739383150188951,-0.963770282195523,-0.299858681219661,1.03091045040379,-0.595491387145666,-1.16233466017601,-0.387989825684694,-0.687443493985141,-0.774882115062459,-0.287329871684102
"HINF_Nd_2 (GE) - TPM",-0.494065697473169,-1.13508448132362,-0.781684709811402,0.058303029205338,-2.12046710958715,-0.53823124032614,0.898006274744643,0.613144267257174,0.403205104119571,-0.618164464325886,-1.17341033569297,-0.744750495317402,-0.419841092555239,0.557197683954836,-0.179106141970648,-0.755545838050914,-0.752333423554711,-0.698125079941534,-0.956600872945579,-0.335940170117622,2.3046220170884,-0.772477042564464,-0.129897895721959,-0.374082741542509,-0.668093329662828,-0.379456266633726,0.709662780793173,1.31141586851277,-0.871365789641441,-1.00582556955673,0.10907147370039,-0.556250065754746,-0.66512924928288,-0.563433237278409
"HINF_Nd_3 (GE) - TPM",-0.339800568443741,-0.598911549048538,-0.757754543590817,0.693485096099442,-1.42787554128215,-0.382032685573033,0.397315929799424,0.365187490417086,-0.198545756275416,-0.401471269116081,-1.16589868145768,-0.41692709113395,-0.417327485693176,0.121860846225705,-0.259980731717085,-0.881206409945598,-0.504396084897472,-0.464684559941178,-0.736941714106558,-0.354643344054854,1.14615819540565,-0.638649058380171,-0.600995628393273,-0.331962203251524,-0.86833416230123,-0.419672131067044,0.726144118352757,1.34253707643497,-0.965563226110718,-0.665300922073678,-0.0508574912404719,-0.7267653891603,-0.766556502612114,-0.86006616229163
"HINF_Ns_1 (GE) - TPM",-1.16299468070976,-0.681407952846477,-0.628191995863302,1.64021427279843,-1.95850745740716,-0.656142986250481,0.680382526699971,-1.37105608003687,-1.72072382660678,-1.54885801757911,-1.58472836747118,-1.04242944636665,-0.456341935003767,-0.496569395075761,-0.371644825471913,-0.689151533997008,-0.624845265281576,-1.49743126292192,-0.708143847478658,-0.914406883982325,0.915571397488716,-0.807381841594047,0.633699630558202,-0.808673799600332,-1.54504167214329,-0.956929750891085,-1.26356659349262,1.04432420702894,-0.683682400952226,-1.0330921252726,-1.27877244826982,-1.2508245513069,-0.428135204700406,-0.655336171574131
"HINF_Ns_2 (GE) - TPM",-1.04918943162788,-0.164407816912539,-0.636784211640553,1.43645044152955,-1.20778955407817,-0.648728788644218,0.623227997667743,-1.63925098685647,-1.73588538567274,-1.31060376580719,-1.1513085675951,-0.823903931476133,0.0788365636869964,-0.818620484893572,-0.366218805267392,-0.517915224941727,-0.590503987431745,-0.522026008066907,-0.663218079510161,-0.971753163057722,0.276186239854619,-1.10025587122004,-0.128149143937364,-1.08418670421739,-1.1395801021784,-0.636286847724339,-1.54972965525859,0.828562671968344,0.221451213554214,-1.51090387410989,-1.27777888105917,-0.995624511998506,-0.500313845197614,-0.504536247388232
"HINF_Ns_3 (GE) - TPM",-1.00855785684411,-0.0300101560560108,-0.624368374412721,2.2283390791501,-0.802375822716351,-0.573510438944995,1.65404350065071,-2.05631667449188,-1.96285268795983,-2.03738394995831,-0.301643771051027,-0.453412857762367,0.12798889953792,-0.430994835179123,-0.629664839341192,-0.240322327589644,-0.789669531939966,-0.834969073616562,-0.354991558065899,-0.704060587623232,0.538645105166869,-1.05028627034824,-0.534000302839869,-0.910451594879997,-0.791999791006174,-0.588063992175669,-1.56976204297834,0.600149057264359,0.528099274457288,-1.61747916463107,-1.60236019762019,-0.905105049651512,-0.1735905373125,-0.631190752092269
"HINF_Oss_1 (GE) - TPM",-0.475275752404129,-0.441159133332688,-0.644909822052355,-1.23644179230926,0.727398000568501,-0.836253469915144,-0.990425066215092,-0.735554402241474,-0.844935792219694,-1.14682327587492,0.693825851391761,-0.253779424017763,-0.135214303509566,-0.921615971225901,-0.573553165957798,0.180065134453289,-0.887360000984088,0.139839508072968,-0.378112313994039,-0.660870420225172,0.527830067383341,-0.730417041018781,-0.990568594038161,-0.79527870421328,0.201846990269451,-0.989045034046342,-1.4635025991382,-0.708821129287874,0.222058554152932,0.563465127000949,-1.32666783734951,0.294611449371155,-0.287929886051775,-0.256675974199204
"HINF_Oss_2 (GE) - TPM",-0.0783363674342511,0.329866690786793,-0.675989168186725,-1.42717530491606,1.79214563655412,-0.503800197347912,-0.922749942829306,-0.844987062438282,-0.713098598900366,0.0453483512319429,1.36546822315239,-0.592455819670872,1.0135168937967,-1.15783691557861,-0.644368594873448,0.632734815214993,-0.777850412706024,0.886532246603613,-0.108557907990834,-0.364802745260097,1.11766552865938,0.375608664689027,-0.535492052549074,-0.845767399920534,-0.096887419959649,0.0522387608177302,-1.38242835467665,-0.667449712721125,1.18926189361785,1.65861870191444,-1.03167083850015,0.884981266721798,-0.133150374682506,0.314318499750355
