"","ECP_RS02045","ECP_RS02220","ECP_RS02880","ECP_RS03550","ECP_RS24705","ECP_RS26280","ECP_RS09995","ECP_RS10440","ECP_RS14025","ECP_RS15350","ECP_RS25445","ECP_RS16170","ECP_RS25460","ECP_RS17115","ECP_RS17725","ECP_RS19125","ECP_RS19555","ECP_RS20515","ECP_RS25805","ECP_RS21660","ECP_RS21785","ECP_RS22035","ECP_RS26610","ECP_RS23125","ECP_RS23780"
"UPEC_Mig_2 (GE) - TPM",4.84006577717573,4.35698001810086,4.95478796301194,3.3866184567897,4.45982545643698,4.2829268278036,4.39361230146566,4.52085955303793,4.81825168288055,4.5422068873072,4.93651395310803,2.52020222141668,5.72242670209025,4.87840404659305,2.22674456214331,5.0335118603283,4.2857283362269,4.01477081403255,5.06745946881743,3.71190391567723,3.77135316223265,3.85036726390811,5.74822854198425,3.85044405381839,3.31719614560015
"UPEC_Mig_3 (GE) - TPM",-1.08751486333171,0.722705091952081,-0.621231166009023,-0.758203649043414,-0.542081133526545,-0.513409922277356,0.0124223523784215,-0.642935525541798,0.143077954776224,-0.042644340401487,-0.363462744230515,0.841845868308647,-0.260476322978179,-0.286070281515189,0.031512315421772,0.776063488013359,-0.657140427133139,0.0469025586634519,-0.36050159759898,-0.487549187521452,-0.300012592904682,0.588322429647367,-0.214554496378076,-0.591197820345369,-0.29868255196658
"UPEC_Nd_1 (GE) - TPM",-0.292509686285361,0.902291528699106,-0.247304234372314,-0.751734751180164,0.296486461602262,-0.513409922277356,-0.408339047615212,-0.065796769493757,-0.291885699889414,0.0743804217098689,-0.363462744230515,-0.254112408695203,-0.260476322978179,-0.286070281515189,-0.371422071502926,0.299300370368203,-0.380917117847464,0.97418233135156,-0.36050159759898,-0.336006772623216,-0.99737106933816,-0.574168179136572,-0.214554496378076,2.13753564600444,0.225120606318293
"UPEC_Nd_2 (GE) - TPM",0.412159857881472,0.415847502559945,-0.621231166009023,1.27173864542948,1.98887823208824,-0.513409922277356,-0.54791797869576,-0.642935525541798,-0.436175936572338,-0.146500627262857,-0.363462744230515,-0.489181693282993,-0.260476322978179,-0.286070281515189,0.401517584988733,-0.627081546110354,-0.240292711977456,-0.326501511487809,-0.36050159759898,-0.0358402086468579,-0.231463530036897,0.371917225889496,-0.214554496378076,-1.02071324605653,0.859998099077108
"UPEC_Nd_3 (GE) - TPM",0.855643658889012,-0.778043306971789,-0.621231166009023,1.45735860214655,-0.542081133526545,-0.513409922277356,1.10789112010726,-0.642935525541798,-0.52053109106103,-0.825516151670303,-0.363462744230515,2.50069208615171,-0.260476322978179,-0.286070281515189,1.14654173485698,-0.760339852797961,-0.657140427133139,1.98026562270813,-0.36050159759898,0.397536513883926,-0.828379704213546,1.24863752090228,-0.214554496378076,-0.284200484282436,-1.02194572700251
"UPEC_Ns_1 (GE) - TPM",-0.928302715932023,-0.791677336344464,-0.321692438872128,-1.1356211309072,-0.542081133526545,-0.513409922277356,-0.635350723112715,-0.642935525541798,-0.0556505006982662,-0.555188731596053,0.348312195300104,-0.928740847428028,-0.260476322978179,-0.286070281515189,-1.50270032353163,-0.724971614567571,-0.657140427133139,0.146753073442857,-0.36050159759898,-0.956794209666474,0.0573006787099782,-1.0429464942456,-0.214554496378076,-0.825849063526153,-0.605705022927117
"UPEC_Ns_2 (GE) - TPM",-0.662754667725181,-1.28598324368465,0.520391420007816,-0.552362901499904,0.22597884821223,-0.267911914024937,-0.861256769198771,-0.642935525541798,-0.431051349322456,-0.688144092349311,-0.363462744230515,-0.948727409038177,-0.260476322978179,-0.286070281515189,-1.00475142190931,-0.490744130836683,-0.57280770290371,0.0564795958473345,0.195153144686523,-1.11590579212882,-0.971484803983696,-0.613583534939102,-0.214554496378076,-0.750750981172728,-0.831577105084146
"UPEC_Ns_3 (GE) - TPM",-0.685189982911879,-1.25400621313046,-0.368922355877286,-0.90042302742017,-0.542081133526545,-0.513409922277356,-0.529342663988691,-0.642935525541798,-0.879741879182101,0.0852974927435746,-0.363462744230515,-0.531863213029296,-0.260476322978179,-0.286070281515189,-0.772096675881605,-0.641173717252747,-0.657140427133139,0.0143394938599992,-0.36050159759898,-0.977129302525642,-1.11438419374275,-1.0429464942456,-0.214554496378076,-0.0260702543626374,-0.88170182865698
"UPEC_Oss_1 (GE) - TPM",0.0198094769761598,0.625034959060793,1.238857316106,0.694365608216616,0.459062006784783,1.56658544705434,0.0979398086259086,-0.183581972131198,0.523909263278358,0.875557246653128,0.343738962133969,0.027461170779894,0.205214948056471,0.632757672471871,0.636983533295333,0.0830439897420325,0.222260980394762,0.353069826778777,0.363777687104446,0.798100389078795,1.72615807334038,0.356207841005868,-0.214554496378076,0.645258130280066,1.25266898464073
"UPEC_Oss_2 (GE) - TPM",0.587377994610101,0.479767778340147,0.337802855941627,-0.111599948562388,1.60864615238775,1.25430669926205,0.446756123385157,-0.220014317559832,-0.28742649800272,0.575782671346942,0.938761208294829,0.612681048052166,0.474534420744094,2.8862560124119,0.841156561534841,0.0161533532479835,0.456134013346283,0.497160245140248,1.64000368335275,0.811421913890627,1.07213845689068,-0.184156952341495,-0.214554496378076,-0.151796851349009,1.11034081044907
