"","ETEC_RS27365","ETEC_RS02065","ETEC_RS27485","ETEC_RS03200","ETEC_RS27595","ETEC_RS04330","ETEC_RS04425","ETEC_RS27860","ETEC_RS27900","ETEC_RS11360","ETEC_RS11375","ETEC_RS29950","ETEC_RS13435","ETEC_RS13710","ETEC_RS30030","ETEC_RS28455","ETEC_RS30100","ETEC_RS28705","ETEC_RS19150","ETEC_RS28790","ETEC_RS20475","ETEC_RS20770","ETEC_RS21195","ETEC_RS21375","ETEC_RS22595","ETEC_RS24250","ETEC_RS25410","ETEC_RS25605","ETEC_RS29385"
"ETEC_Mig_3 (GE) - TPM",-0.320152795380475,0.344436431334761,0.958253066966214,1.55523291486638,0.629118513731797,1.70694373857006,0.740588619266765,-0.355764161335351,-0.1993586657831,-0.244928769408561,0.411329165441646,-0.658078807266103,-0.8190502237862,-0.244803064499805,1.73432178428808,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,2.96995607204012,-0.434366501936868,0.914897751032167,-1.27516841251549,0.581604547380419,1.45347012177007,-0.912621260826266,0.689767317596097,0.362317122722285
"ETEC_Nd_1 (GE) - TPM",-0.320152795380475,-0.601894772611999,-0.550379580336352,0.134097651929769,-0.536770733346126,-0.693181341769217,-0.290586264118286,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.977841597432063,-0.658078807266103,-0.8190502237862,-0.244803064499805,0.852239171371981,-0.380113199907806,-0.220701108130833,1.40070704323127,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-1.51694982322673,-0.557542991251567,-0.0346045797706308,-0.455026506762417,-0.765928631420891,-0.830149195662042,0.384098394877255
"ETEC_Nd_2 (GE) - TPM",-0.320152795380475,1.05743915088533,-0.550379580336352,-0.599525697331697,-0.0147932513115481,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.502686584499936,-0.658078807266103,-0.8190502237862,-0.244803064499805,0.0929814528413138,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-1.00888303743132,-0.133334058665358,-0.677763959785507,-0.8465699190274,0.487819793238388,-0.958957776523817,0.171565723297225
"ETEC_Nd_3 (GE) - TPM",-0.320152795380475,0.155922704259532,-0.550379580336352,0.299769794498878,-0.775962276448753,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.607531259200398,-0.658078807266103,-0.17621161804308,-0.244803064499805,-0.453347430607209,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,2.40853431009899,-0.434366501936868,-0.614802658905709,-0.835326014781808,-0.152162430943062,-0.8465699190274,1.24521660449863,-0.169905929788627,-0.443111795744618
"ETEC_Ns_1 (GE) - TPM",-0.320152795380475,-0.070454462641365,-0.550379580336352,-0.599525697331697,0.564934483457344,-0.693181341769217,-0.106819773858366,-0.355764161335351,-0.1993586657831,-0.244928769408561,2.18258072317673,-0.0742029388471158,-0.8190502237862,-0.244803064499805,-1.03024864599759,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,2.38158158040753,0.0658232595143763,-0.277150423944452,2.81172059796643,-0.638503889289613,2.86157788131271,-0.655508130112736
"ETEC_Ns_2 (GE) - TPM",0.393925612857581,-0.314054692104626,-0.550379580336352,-0.599525697331697,-0.578024502542214,-0.0169562892532356,-0.502140073647595,0.712246424506748,-0.1993586657831,-0.244928769408561,-0.992026803997193,-0.658078807266103,-0.8190502237862,-0.244803064499805,-0.54343240691632,-0.380113199907806,0.540227171852729,1.10935752001421,-0.423959520580367,-0.202731698845133,0.0519186779602413,-0.434366501936868,-1.10683277098978,-0.978240736010796,-0.677763959785507,-0.198543401616034,-0.791228957157859,-0.554069876943921,-0.655508130112736
"ETEC_Ns_3 (GE) - TPM",-0.320152795380475,0.11112023450539,-0.550379580336352,2.25704700655741,-0.403417954387986,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.718546968392158,-0.171420223014544,-0.8190502237862,-0.244803064499805,0.0692522058003239,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.902264489275426,-0.436884356013598,-0.677763959785507,-0.236735335966795,-0.684145348103663,0.299062092881995,-0.655508130112736
"ETEC_Oss_1 (GE) - TPM",0.0641577194995871,-0.536640909374968,0.135895932613503,0.0539393568318676,-0.775962276448753,-0.14727406842141,-0.313701385556323,0.219029437698341,0.824805579435,-0.244928769408561,-0.0442381151569006,0.316034613157393,-0.585493751844975,-0.244803064499805,0.0177516706834721,0.758964292988067,0.188823582153144,-0.288552950735814,0.140280590993877,-0.202731698845133,-0.169046214549841,0.436025528618002,0.310243113893085,0.163065600453316,1.4228162066464,-0.497807932062611,0.328691214863536,-0.00626217338805594,2.46979391369363
"ETEC_Oss_2 (GE) - TPM",-0.320152795380475,0.697516564779414,-0.0855114942628298,-0.101552326787465,-0.234762585778048,0.046390053984275,-0.214940481011364,0.812293834487201,0.0087653005619863,-0.244928769408561,-0.193206061617591,-0.658078807266103,-0.463086572236691,-0.244803064499805,0.567009681560068,0.777266228591872,0.611508210292955,-0.288552950735814,0.435999396533944,0.632014945147867,-0.164908686565296,0.197331289195793,-0.0598144697427104,0.510916981846749,0.292386442053239,-0.13783859626565,0.813309445308168,0.266892727753146,0.951852482237334
"ETEC_Oss_3 (GE) - TPM",5.25654407552727,4.85018298001964,3.59898917816221,4.14166193850321,3.86150729768446,3.26762543640233,3.59948635522199,3.81462610888949,5.74526509084533,5.31289612844189,2.75237115196354,4.39023411277072,3.41734715429765,5.59553097408043,3.53198412605989,3.75215071428432,5.72187649588782,5.17003735155762,3.66986037690119,5.75796424819463,3.31017391190621,4.97856949601413,3.40786453155156,3.36262941450696,4.86429755999832,2.94907150735903,4.30154625986706,-3.101956336544,4.66343508346422
