"","ETEC_RS00555","ETEC_RS01450","ETEC_RS27375","ETEC_RS01745","ETEC_RS01925","ETEC_RS03085","ETEC_RS29755","ETEC_RS04290","ETEC_RS04435","ETEC_RS06085","ETEC_RS06470","ETEC_RS27165","ETEC_RS27895","ETEC_RS08210","ETEC_RS08490","ETEC_RS09045","ETEC_RS09420","ETEC_RS28055","ETEC_RS10680","ETEC_RS10795","ETEC_RS10850","ETEC_RS11530","ETEC_RS11960","ETEC_RS11965","ETEC_RS12475","ETEC_RS30015","ETEC_RS28360","ETEC_RS14440","ETEC_RS28410","ETEC_RS14940","ETEC_RS28555","ETEC_RS17355","ETEC_RS28675","ETEC_RS19840","ETEC_RS20655","ETEC_RS21505","ETEC_RS22560","ETEC_RS23135","ETEC_RS23310","ETEC_RS29045","ETEC_RS23965","ETEC_RS26355","ETEC_RS29380","ETEC_RS29485"
"ETEC_Li_2 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.650337029163388,-0.786053206367675,-0.272019940042963,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.358569364838803,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.630223794280409,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.288173744638292,0.822319341087811,-0.397247883173852,-0.265089196824545,-0.214634395306275,0.519746963070518,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.038143426906222,0.229594734473209,-0.406683528572076,-0.497612918364206,-0.677714321448039,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,0.594820911642206,1.9558261823108,0.383136303210339,-0.235323423329143,0.377309999838324,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Li_3 (GE) - TPM",0.359191904746376,-0.315239749155544,-0.604615827172333,-0.650337029163388,-0.786053206367675,0.736341291951684,-0.308515819672299,0.481555343875164,-0.360716561312914,-0.311473665359131,-0.532766680186453,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.360619094883438,-0.40504490860442,-0.260787986613937,-0.513755984755483,0.00194547437638796,-0.480540929819185,-0.397247883173852,-0.265089196824545,-0.661664352772507,-0.544520454257691,-0.394224180394117,1.01729465563624,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.303321282387144,-0.0323753736823543,-0.215867754793703,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,-0.345791580087802,-0.516084854674536,-0.485232308867954,-0.235323423329143,0.0240444849643212,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Mig_1 (GE) - TPM",1.25629485177808,1.8901689957608,-0.604615827172333,-0.650337029163388,1.06063450754024,0.562607429355142,-0.308515819672299,-0.514494459186995,-0.360716561312914,1.07962457761571,1.72925913728632,2.8534849085486,-0.341037185894671,-0.436572082311865,-0.782021071502824,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.337924107122579,0.497471415034019,-0.397247883173852,2.8706980098598,-1.38153272031516,2.34702319024456,-0.394224180394117,-0.460363024312163,0.904362778768546,0.637077059006243,-0.331349595903254,1.56474308362427,2.00536344504133,0.357292277776735,-0.361013015507295,-0.3721762370209,-0.307056557848102,2.2357891437528,2.77765462465145,-0.516084854674536,-0.485232308867954,-0.235323423329143,-0.205681081895883,1.43614541795268,1.91851077405733,-0.282970659490946
"ETEC_Mig_2 (GE) - TPM",4.65656817085389,5.18866373141884,3.25125277577444,4.24614002630952,4.20666762485748,2.81736073990691,4.6834641121481,2.82887809499955,3.21796676816039,5.47465742294668,3.93504406646175,4.94165535826316,4.67164633009357,3.88571133804793,3.46145289369496,4.86559890403413,4.77812000681165,3.71341204204196,4.4795704386373,3.52384389706296,4.9424333561198,4.95210547065609,3.45113354797135,1.79213639883209,4.64465655401611,4.49958989784163,4.93165350908284,3.95528302390587,4.89569336471139,4.2911510692581,4.70782437760864,4.42053125738553,4.12966335777718,4.75559876637297,5.08950711178974,4.92063853087673,3.70490667568025,3.32291320588823,3.56062375150865,5.68651392965562,3.62817684631322,4.32313551702565,5.2889325787897,5.49858662395352
"ETEC_Mig_3 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.650337029163388,-0.786053206367675,-0.944944672418819,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.0998017741336555,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.782021071502824,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.492084792237446,-0.802785803905851,-0.397247883173852,-0.265089196824545,-1.38153272031516,-0.953508542979288,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,0.489269641893555,-0.497612918364206,-0.779170723460532,-0.361013015507295,-0.3721762370209,-0.307056557848102,1.2208273112674,-0.963990221541331,-0.516084854674536,-0.485232308867954,-0.235323423329143,-1.16624019209781,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Nd_1 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.129893224130201,1.05089353223108,0.0547886682207292,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.50498085040967,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.330984599630912,0.435275761836151,-0.260787986613937,-0.513755984755483,0.260049711128472,-0.457879517519648,-0.397247883173852,-0.265089196824545,0.352074478609052,0.359740244549451,-0.394224180394117,-0.460363024312163,0.305915805245038,-0.413188240154042,-0.331349595903254,0.316277217846497,0.166326700932402,0.125203951885842,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.31552516497911,-0.467735784181386,0.0959825776206854,-0.485232308867954,-0.235323423329143,0.617345467965144,-0.494126938983783,-0.0361074273291278,-0.282970659490946
"ETEC_Nd_2 (GE) - TPM",1.72978511923593,-0.315239749155544,-0.604615827172333,-0.650337029163388,1.16249249215588,0.963900536880985,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.479288663223504,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.782021071502824,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.741265720627855,-0.802785803905851,-0.397247883173852,-0.265089196824545,0.45739531177277,-0.953508542979288,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,2.47524867899324,-0.497612918364206,0.659805715672757,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,-0.963990221541331,-0.516084854674536,-0.485232308867954,-0.235323423329143,0.455425069808951,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Nd_3 (GE) - TPM",-0.522482889225455,-0.315239749155544,2.40972854784358,-0.650337029163388,-0.185578708715382,-0.944944672418819,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.927880661791435,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.782021071502824,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.128099482311795,0.88839629251496,-0.397247883173852,-0.265089196824545,0.507447673034185,1.19291298674979,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.187953452968976,-0.497612918364206,-0.409635016808677,-0.361013015507295,-0.3721762370209,-0.307056557848102,0.242395698663171,-0.152893939090836,2.48507089040419,-0.485232308867954,-0.235323423329143,-1.16624019209781,0.76117932077346,-0.334989174702059,-0.282970659490946
"ETEC_Ns_1 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.650337029163388,-0.0995306264924272,-0.571314072247887,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.137628382314957,-0.292491216830225,-0.341037185894671,-0.436572082311865,0.0608088160296901,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.516922723435849,-0.802785803905851,-0.397247883173852,-0.265089196824545,0.0582483179080049,-0.135507194545714,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.303309905015573,-0.497612918364206,-0.779170723460532,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,1.50888043666316,-0.516084854674536,1.92550599335634,-0.235323423329143,-1.16624019209781,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Ns_2 (GE) - TPM",0.258436812046586,-0.315239749155544,0.41284210340837,-0.219655045655763,-0.583369815312001,-0.614021614892726,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.81122680600535,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.222152895988086,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.806029018806082,1.19515221596499,-0.397247883173852,-0.265089196824545,0.531279331046218,-0.591258359364138,-0.394224180394117,-0.460363024312163,-0.0905291177996798,0.278443585001284,-0.331349595903254,0.145645890492181,-0.497612918364206,-0.779170723460532,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,-0.69021382363179,-0.516084854674536,-0.485232308867954,-0.235323423329143,1.15313751213652,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Ns_3 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,0.160261798902722,-0.786053206367675,-0.633524816436528,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.708323117609233,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.430773124784987,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.603321330233485,-0.802785803905851,-0.397247883173852,-0.265089196824545,0.118533131105416,-0.953508542979288,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.673052271006855,-0.497612918364206,-0.779170723460532,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,-0.963990221541331,0.43721911057498,-0.485232308867954,-0.235323423329143,0.818017462022639,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Oss_1 (GE) - TPM",0.52822684020111,-0.315239749155544,-0.0570292087658159,-0.418547896564205,0.522935119400694,-0.143495642674713,0.400414305827527,-0.514494459186995,-0.106605321553109,0.345894784550073,-0.425624295656356,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.179389135471618,-0.40504490860442,-0.260787986613937,0.686876550298471,-0.541131030911166,0.426096594256024,-0.0180936248500361,-0.265089196824545,-0.866803682569795,-0.368629264990354,-0.274959065774503,0.244018823601872,0.0814345349137889,-0.165034928377014,-0.331349595903254,0.296302744233904,-0.127990908147894,-0.242131067866928,-0.361013015507295,-0.129437936370037,-0.307056557848102,0.369104733424587,-0.742974264967941,-0.516084854674536,1.23847007983863,-0.235323423329143,-0.258408906128606,-0.494126938983783,0.197460555654533,-0.282970659490946
"ETEC_Oss_2 (GE) - TPM",1.07890485684128,0.743678992353939,0.508153921748767,0.291716432002406,0.710219603701884,0.864669054104339,0.0516445507058591,0.450373440116656,-0.102522431977033,0.189474289751179,-0.0986004474504696,-0.103675136332825,-0.341037185894671,1.43448735925353,0.646713048821868,0.355485804288238,-0.260787986613937,1.62111013289231,0.095117598546151,-0.0223937669018527,-0.0120016285052226,-0.265089196824545,-0.248367440152428,-0.16113957303616,-0.151861407064125,0.255336359983901,-0.370339198857189,-0.0349775303983941,-0.331349595903254,-0.314895920500793,-0.497612918364206,0.243957619875053,-0.361013015507295,-0.3721762370209,0.212077038120722,-0.070370358468993,-0.0657218477777671,-0.516084854674536,0.0985669200812264,-0.0216996545435431,0.447990804207902,0.664389356736881,0.206015602069742,0.134155980107387
"ETEC_Oss_3 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,1.03139906649365,0.00538917546482066,-0.298847004312837,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.472368225174173,-0.292491216830225,-0.341037185894671,-0.436572082311865,2.86162070211085,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.437620307838067,0.311727129619227,-0.397247883173852,-0.265089196824545,-1.38153272031516,-0.953508542979288,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,2.36155799424551,-0.673052271006855,-0.497612918364206,-0.779170723460532,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,0.639581560671639,-0.516084854674536,-0.485232308867954,-0.235323423329143,-0.342898829050471,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Oxs_1 (GE) - TPM",-0.133904388086535,-0.315239749155544,1.42049521670037,1.0640902990452,2.23954884513025,-0.944944672418819,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.463513528530211,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.782021071502824,-0.40504490860442,-0.260787986613937,-0.513755984755483,-1.03582285530762,0.333392122107425,1.00495854075077,-0.265089196824545,1.15659470029448,1.20951999813692,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.673052271006855,-0.497612918364206,-0.0343810635737151,-0.361013015507295,-0.3721762370209,-0.307056557848102,0.0123920071485536,0.398296095511278,2.50829103982702,-0.485232308867954,-0.235323423329143,0.0927792260012191,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Oxs_2 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,0.183081683256441,0.390593163608777,-0.304570849228708,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.927880661791435,0.0415935482726641,-0.341037185894671,-0.436572082311865,-0.0597485952697842,-0.40504490860442,-0.260787986613937,-0.513755984755483,0.446434670470183,-0.802785803905851,-0.397247883173852,-0.265089196824545,-0.456155401239584,0.4484822223248,0.0346042860761577,-0.460363024312163,-0.370339198857189,0.925198150059024,1.00317582815237,-0.673052271006855,-0.497612918364206,-0.537798914088163,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.229569333541489,-0.434201695859138,-0.516084854674536,-0.485232308867954,-0.235323423329143,-0.758216543129336,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Oxs_3 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.650337029163388,-0.786053206367675,-0.944944672418819,-0.308515819672299,3.37256868193307,-0.360716561312914,0.764855413749179,-0.722290808773992,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.124216176164503,-0.40504490860442,-0.260787986613937,-0.513755984755483,0.179137785790415,-0.802785803905851,-0.397247883173852,-0.265089196824545,0.865884057588651,-0.315081620128909,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,0.884060634412909,-0.384478809155352,-0.497612918364206,0.100140411707143,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.249999381337149,0.48351399772117,0.37657234225969,-0.485232308867954,-0.235323423329143,-0.423030496094753,0.25262415481424,0.536806738321486,-0.282970659490946
"ETEC_Sp_1 (GE) - TPM",0.957296849868327,-0.315239749155544,-0.604615827172333,1.52594980089458,-0.786053206367675,0.727248545020185,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.927880661791435,0.143702657792407,-0.341037185894671,-0.436572082311865,0.632518872187635,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.0681767355928447,-0.0816560666704884,-0.397247883173852,-0.265089196824545,-0.97879668782468,-0.953508542979288,0.725565584494608,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.673052271006855,0.196469245362304,-0.46402643764271,-0.361013015507295,-0.3721762370209,0.892221035860553,-0.45846052179791,-0.272278016295283,-0.516084854674536,-0.485232308867954,-0.235323423329143,0.964685070439789,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Sp_2 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.650337029163388,0.460297294522641,0.0725193535868178,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.927880661791435,-0.292491216830225,-0.341037185894671,-0.436572082311865,0.365568406090839,-0.40504490860442,-0.260787986613937,-0.513755984755483,0.377236506427304,-0.802785803905851,-0.397247883173852,-0.265089196824545,-0.401336363730402,-0.953508542979288,2.33116853232808,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,0.333823386821877,0.347030661550005,0.754852835893016,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,-0.122230695007116,-0.516084854674536,-0.485232308867954,-0.235323423329143,1.42692879564244,2.11139851057848,-0.334989174702059,-0.282970659490946
