"","CE206_RS00435","CE206_RS01265","CE206_RS03375","CE206_RS03380","CE206_RS03385","CE206_RS04325","CE206_RS05655","CE206_RS05660","CE206_RS05665","CE206_RS05670","CE206_RS07060","CE206_RS10425","CE206_RS11015","CE206_RS11020","CE206_RS11025","CE206_RS11470","CE206_RS11475","CE206_RS11975","CE206_RS13025","CE206_RS13440","CE206_RS13615","CE206_RS13620","CE206_RS13705","CE206_RS13710","CE206_RS13725","CE206_RS13730","CE206_RS13745","CE206_RS13750","CE206_RS13755","CE206_RS13760","CE206_RS13765","CE206_RS16535","CE206_RS16815","CE206_RS16820","CE206_RS17615","CE206_RS17620","CE206_RS18090","CE206_RS19215","CE206_RS19580","CE206_RS19640","CE206_RS20045","CE206_RS20370","CE206_RS21095","CE206_RS21900","CE206_RS24135","CE206_RS24705","CE206_RS24715","CE206_RS25760","CE206_RS26540","CE206_RS27750","CE206_RS27755","CE206_RS27785","CE206_RS27790"
"ACHX_Li_2 (GE) - TPM",0.429702314193987,1.16268024775851,0.62189145729721,0.844999036814098,1.47325337134594,0.716786767994918,0.72673400304761,1.82957776388548,0.546892903376941,1.95093328806837,0.229949060878213,0.0876313790462608,0.409626076221063,0.908309018209384,0.370716652942097,-0.32497030360312,-0.34783708651284,0.808714009047799,-0.870611699292402,0.163673109128567,-0.904832816840708,-0.975591151789737,-0.479856411783441,-0.763281335357527,-0.522282696562415,-0.601062196891889,0.0465753324656335,-0.6516700967157,-0.768663065744568,-0.987412979686158,0.0381253817016741,-0.814815990290192,-0.741776134752451,-0.737825588058092,-1.27420705211122,-0.756393089316527,1.22751763205066,0.67446021280062,0.840431880740872,-0.696122136572892,1.25669073426893,0.270881277952158,-0.295494480324976,-0.18541566487947,0.315166398550721,0.212573292855292,0.643452653891872,1.49164492444693,1.12372179821254,1.07366155358995,2.15586569362134,1.25958627383192,0.538993135661114
"ACHX_Li_3 (GE) - TPM",0.799275380526686,0.273149565225402,1.27112443137469,1.81961574525197,1.49720837175582,1.72166659632352,1.18877681225071,1.73139918848989,0.880055728385831,1.2334224861385,0.165089885601433,0.15576814859356,1.34430827358224,1.3912036682954,1.06389533379715,0.528332652837744,0.167410402588189,0.926977583711877,-0.876846096395984,1.2907816150174,-0.467459730925143,-1.17824910031003,-0.993571753774628,-0.877044930106693,-0.854320801048582,-0.69734444721769,-0.00915075500870639,-0.523826548417914,-0.903312044007829,-1.22617005485126,0.00697793853962685,-0.554390289371419,-0.695505063403872,-0.723028167929474,-1.32849109509396,-0.738747531113054,1.00357917794087,1.16299970683863,1.37254427668352,-0.338971023424954,1.54201545851849,0.470903394261061,-0.295494480324976,0.427496397208847,0.465932826523781,0.603264862453257,0.741343397219555,0.231615455944635,1.27092744458925,1.05274752510514,1.86036343236053,1.38363814657614,0.322530877798202
"ACHX_Mig_1 (GE) - TPM",0.0320861139107051,-1.00269014637373,0.462664218822256,0.0816153604262479,-1.17498970745428,0.316399017354471,1.57711362714773,-0.248987682350341,1.61462100268323,0.897690841422388,-0.98673512117629,0.863774751743503,0.381846829608831,2.10087791256991,1.11760182314678,0.273005585549494,-0.749723815097036,0.469583362063146,-0.756945202004959,-0.388948767997004,0.116354595509319,0.864422572584324,-0.789176301381223,-0.448779430542001,0.459255606794221,-1.23005875025413,0.36927729451603,-0.164585599033904,0.885228618625745,0.0558125349614869,-0.536555678829553,-1.35338903937792,0.0506384754058289,0.141708692405881,0.171900104713747,0.584209584072328,1.50629558336743,0.0744926465702723,0.591388973823971,-0.76006632254794,0.0578969022596717,1.2623133471576,-0.295494480324976,0.324515267689934,-0.187059140461286,0.245391928876661,0.62790552732629,-0.0633804872978882,0.947990172165285,-0.444956710092374,0.540687728790248,-0.371539637856092,0.151019478940858
"ACHX_Mig_2 (GE) - TPM",-0.562764668643323,-0.960185992249578,0.240992029399044,-0.561225986388213,-1.03134582622299,0.183598367658278,0.512790946680639,-0.48021887491642,0.764981303230147,-0.359280882911732,-0.2299199096818,0.20739510657032,-0.91106868771072,0.193338729553355,-0.0522415131650166,-0.0158268846989722,-1.03188144357467,-0.450004016994614,-0.470876132670684,-1.92950830020877,-0.642522045861057,1.01204973984325,-0.47917970596293,-0.65287643849984,0.27853974366526,-0.754991013506355,1.47078884388524,0.0762464361987542,1.20551694809253,-0.339705194041625,-0.742160021308167,0.771362068543402,0.36533799360645,0.38660409884376,0.0892660590028463,0.316182587591804,1.21232741288903,-0.221882139561789,0.0969805381996118,0.153284417927597,-0.362843199100338,0.803386850773473,-0.295494480324976,0.0774949381420568,-0.174834120830454,-0.237666596458034,0.0906329918797442,-0.226903279174998,0.0299108912975007,-0.708066487717709,-0.411769701669963,-1.12421913060846,-0.29294653989883
"ACHX_Mig_3 (GE) - TPM",-0.577151214181047,-1.15372098064676,-0.0778415786561077,-1.00472790627484,-0.00973502160336625,0.235379859663912,-0.132863379447429,-0.426731437084825,0.0160417909909627,-0.590610047895641,-0.601213856918283,-0.00509556395657062,-0.693566917120329,-0.190907300247718,-0.0648081945433831,-0.771285129353919,-0.689619712396276,-0.738112374227371,1.89468824350865,-0.341595958975823,-0.122176243895962,1.37454967643058,0.332919081156603,-0.642358227327623,0.781750672276775,-0.385598569701518,1.09637794362103,-0.162422644443603,1.34471177815427,-0.0728468285528458,-0.838071917959117,-0.306932013798821,-0.161510914374152,0.460669190734937,-0.103413807134482,1.08138320115684,0.182385114943076,-0.427272170849029,-0.292986411807937,1.11815303021119,-0.487888931729414,0.238518913176663,-0.295494480324976,-0.453601959589434,-0.666944184782602,-0.470328205091434,-0.576293468017372,0.636273005693088,-0.32678908848395,-0.971620770232203,-0.885284784592967,-0.707248028443622,-0.501382986714365
"ACHX_Nd_1 (GE) - TPM",-0.30964732850962,0.945606570328466,0.152286735064853,1.24763626572548,0.900814513437683,1.2079491810024,-0.0794310541494781,-0.0922634606143605,-0.368721946918701,-0.705483671703436,1.04452305533612,-0.432924470355452,-0.424834324141477,1.18181032334951,-0.118173526323847,0.471631062312969,-0.768263989614252,-0.382464252000908,-1.04916249125219,0.0592360522043655,0.0058549428608699,0.118527036171755,-0.55026889924098,0.106390447745743,-0.203125342529022,-0.645904151082044,-0.0246067286689059,-0.0439345913299501,-0.323554667724476,-0.0257858548584407,-0.190262429244872,0.419443505020844,0.886779764928798,0.216385098284185,-0.367958121588796,-0.409096734325918,-1.18805702089777,-0.217946412890907,-0.181503802320808,-0.0696380553821841,-0.0901572303202749,-0.260633308235021,-0.295494480324976,-0.655947093557051,-0.618246192478099,1.89913739283388,-0.106624898277615,-0.137314838549315,-0.141690060250832,-0.53238245387057,-0.487928141479966,-0.950183725452527,0.942162805089177
"ACHX_Nd_2 (GE) - TPM",0.266781920738812,0.706614459343256,0.633681353591124,1.04876481909308,0.8387511430978,1.5794834008009,0.148499675822901,0.265355143744161,-0.0192061435523866,0.102095461560093,0.764187002688503,0.872108935795896,0.189672821649659,1.37028701905248,-0.194399223526365,-0.0687755687262631,-0.872119549732371,-0.0948564663242095,-0.0644097547617004,-0.433178098584276,-0.863607291483373,-0.11650026111207,-0.529647080390766,-0.447925969383246,-0.332288761282295,-0.756141477753897,-0.0186272403192933,-0.00435085760285461,0.208078196830373,0.2066703688723,-0.792351452066782,0.321685038224077,-0.530606448178311,-0.55327722499796,-0.225726492084131,-0.238442465513074,-1.42849055858397,0.187298470484442,-0.0656878288891305,0.0294367851271682,-0.526155950468062,0.020752555749326,-0.295494480324976,-0.554384017127395,-0.736615618121101,1.71965440027494,0.115825598570392,-0.0140592103097684,1.36951486352465,-0.496208484840978,-0.486143918426715,-1.03983970790876,-0.50911986138102
"ACHX_Nd_3 (GE) - TPM",-0.427237463643804,0.891422523002865,0.883119101869738,0.300000813949155,-0.299506452653904,1.74979972911974,0.237554803751601,0.1479894448221,-0.202730408667052,-0.575361246627288,0.134224260514793,-0.161071930553659,0.28169919508193,1.21411677381912,-0.190803884010954,0.718004334684724,0.0483722915144996,-0.390472017864993,-0.96568322599122,0.661183148740496,-0.635516567094665,0.00919964380085003,-0.00243993068335319,1.67472635610026,0.602431552624696,-0.558408803184554,0.689316149709202,0.832007811547512,0.828099481889983,0.123872470085007,0.471181255188844,-0.73079507548998,0.22966475506104,-0.0938128205691335,0.551802000391221,0.345612761301502,-1.57344528027318,-0.254711505053244,-0.197749466607153,-0.635087761597902,-0.285354890350446,-0.37307156470179,-0.295494480324976,-0.741847603168373,-0.393896885518165,0.32430325365779,0.271715983386437,0.569352775672601,0.146330747353044,-0.100872175064571,-0.492298824226675,-0.44798815696042,0.154298940383677
"ACHX_Ns_1 (GE) - TPM",-0.491939827863877,-0.354361488500163,-0.329403967295602,0.108607716836314,0.269659753651544,-0.252333177962258,-0.564194429891384,-0.36563181821044,-0.304133076222626,0.026879949183518,0.186746892466698,0.466714121509433,-0.519037121035602,-0.440517995343044,-0.32751433609318,0.230755425747497,-0.620034842752279,-0.14153902140109,0.542980725079124,-1.27858270267036,1.0360742884917,0.203291327665892,-0.37847650510261,-0.17917432517414,0.737896618057416,0.138129971878774,1.18865929491222,0.999915013530793,0.174164589075982,0.648180927225518,0.0876871807916459,-0.189824803353194,-0.626352653973352,-0.678661291189537,-0.445375454681132,1.19875228578902,0.105717724612679,-0.0226907925690777,0.472097832722977,0.395645892843376,-0.472279535552934,0.143870399211822,-0.295494480324976,0.0920879956369049,-0.464709269434411,-0.134081662028616,-0.451145179052431,0.113162826815495,0.725274349432463,-0.708477987850905,0.038635199128926,-0.10419100178846,-0.384535595572394
"ACHX_Ns_2 (GE) - TPM",-0.391408210060824,-0.0737537332414482,-0.181251844432685,-0.492888346877463,-0.0344226035759136,-0.602533679026073,-0.401918730101325,-0.462360428601284,-0.538578049911014,0.393633475214582,0.376371013805568,0.13821298195742,-0.675879277632753,-0.404793142375127,-0.138798311747188,-0.387060009591497,-0.540366584521698,-0.453378513838795,-0.169511372216776,-0.693883307495796,1.84139848745488,0.581142711673749,0.433929658495725,0.743628263524817,1.72621642723069,1.56049781981643,0.86164326032277,0.956332566856906,0.818163852377587,1.16110893192888,0.696517805433683,0.786828827957242,-0.530775970842498,-0.671038623406114,-0.19915491195371,1.37075556026101,0.00227341766249401,0.318956444932041,-0.117322920159143,0.181452280960518,-0.458264428491165,-0.211961188538278,-0.295494480324976,-0.240812619344536,-0.778905127255212,-0.208700875764817,-0.707317342001742,0.52472254074081,-0.0909168296210835,-0.526237300962917,-0.20717134258457,0.0777853362114408,-0.326695148785149
"ACHX_Ns_3 (GE) - TPM",-0.590213601400803,0.70340146430014,-0.33840662921418,-0.601889855548062,0.000595882059285808,-0.249846701933759,-0.54725658066947,-0.498789025555043,-0.289429320538479,-0.167595545281092,0.562878689828095,0.212659747776076,-0.400683062548393,0.0164421441826294,-0.375939293665723,-0.36390339475717,-0.771702966911127,-0.19216190156145,-0.483650412739816,-0.779807772167331,1.13345114146542,0.649469151443322,-0.464420396535415,0.65077822354814,0.784753989819957,0.134423371144574,0.891536085201072,-0.147461381681159,0.960595859381617,0.410605527758363,0.401029399303027,-0.604725733781998,-0.374980260581244,-0.557561203631677,-0.163429448655202,0.467448025437899,0.902433900549579,0.0538053474539647,0.254318213813086,-0.998750396314094,-0.7312570682159,0.00672136004032283,-0.295494480324976,0.139579429032576,-0.530204043950712,-0.472352302933082,-0.578328602475553,-0.519121826334483,0.524789101941572,-0.611541296566337,-0.125268539889153,-0.318158863168508,-0.270230284394662
"ACHX_Oss_1 (GE) - TPM",0.75625983391793,-1.66307723415921,-0.998768219493063,-0.71368153412011,-0.636962693752733,-1.84060904863862,-0.290928240479365,-0.360999590103704,-0.346047911261672,-0.528601139404168,-0.225331801447308,-1.15941909243492,-0.183507328363965,-0.473084583637067,0.368204472681027,-0.266376722022326,-0.771178199256588,0.0287535619478601,-0.78937276085264,0.278852901252507,-1.29591280387811,-1.47186257999522,-0.185459605882338,-0.737818071966768,-1.70498233424305,-1.33625294548664,-1.61212597941664,-1.70206041156106,-1.25771477170752,-1.59336000233103,-1.31795578905346,-1.00447472664617,-0.773549673905193,-0.734396297546119,-0.825925415899477,-0.603178598527365,-1.124649251641,-0.572736293139185,-0.556115982431851,-1.79595975432049,-1.38052524037726,-0.553183232269466,-0.295494480324976,-0.306061517188394,0.187830386354009,-0.784959954166818,-0.943896932467832,-1.45815113204193,0.161868111577574,0.391381503714878,0.0860219885469506,-0.841533904884903,-0.626488746804392
"ACHX_Oss_2 (GE) - TPM",1.97250700793153,-0.305126684411494,-0.780575944219545,0.000918706482422777,-1.3546224443803,-1.02541284390085,1.41621111924312,0.420199808177831,-0.22378090752516,0.658926725336617,-0.237339824992073,-1.73681742763313,1.99199868817198,-0.371310743009598,0.318823221541745,1.39459218556372,0.843794616012894,-0.32109124376639,0.730153640177283,1.43884075431056,-1.49029268139829,-1.27999742115982,0.385773204089643,-0.394035884833996,-0.384869319172202,-0.812831147426439,-1.75203202063576,-1.45592669309725,-1.16157815264548,-1.05730943938023,-1.45607036910926,-1.35338903937792,-0.313738853224104,-0.624463561815196,-0.0208684117030874,-1.49166993187573,0.252849952722877,0.0368243401315398,-0.571836354946595,-0.9779138672641,-0.303035134362046,-0.031843256015431,-0.295494480324976,0.208599010099883,-0.38210848262743,-0.219032501771351,-0.161412466076339,-1.37150377332278,-0.200797478119803,0.854819377054797,-0.479388112758367,1.05728918280345,-0.41787705811583
"ACHX_Oss_3 (GE) - TPM",0.860925631087918,-1.80638788573802,-0.830276762250288,-1.21629233082879,-1.29311614131397,-1.43773853729366,-0.0323206812643524,-0.249417576413587,-0.330500531465185,-0.384560109480499,-0.818060094545865,-0.726927790846959,0.72284852050438,-0.722186552327159,0.292195637121294,0.390112005502369,-0.0629364616303366,-0.151238945854631,-0.735013992226212,0.245838903115469,-1.09942008022266,-1.44529799347262,-0.108062764164506,-1.12423661436328,-1.20379176773846,-1.23841048176473,-1.98262385948746,-1.41721526675527,-1.10313435839249,-1.20496963698388,-1.3966533175039,-0.315941619533044,-0.59267613890842,-0.631104318162712,-0.44013158005972,-1.20344814063913,-0.711853636985494,-0.402509348348681,-0.542193333502469,-1.16979423500621,-1.04003920496928,-0.30751774182729,-0.295494480324976,-0.356564588720119,0.0322811502759568,-0.603788568161613,-0.664560956206864,-1.12751424055287,0.0499579914327979,0.492720550005787,0.00685425550119061,-0.222717577969001,-0.720924516275305
