"","KPN_RS00160","KPN_RS00810","KPN_RS05560","KPN_RS06245","KPN_RS07160","KPN_RS07165","KPN_RS07250","KPN_RS07330","KPN_RS07375","KPN_RS07475","KPN_RS28790","KPN_RS07595","KPN_RS07665","KPN_RS07695","KPN_RS08930","KPN_RS09035","KPN_RS09550","KPN_RS09825","KPN_RS10085","KPN_RS11140","KPN_RS11185","KPN_RS11200","KPN_RS11850","KPN_RS12185","KPN_RS12190","KPN_RS12230","KPN_RS29040","KPN_RS13560","KPN_RS13580","KPN_RS30130","KPN_RS15810","KPN_RS16415","KPN_RS17220","KPN_RS24115","KPN_RS24250","KPN_RS25320","KPN_RS25470","KPN_RS25545","KPN_RS25880","KPN_RS26055","KPN_RS26420","KPN_RS27015","KPN_RS27465","KPN_RS27470","KPN_RS27575","KPN_RS27680","KPN_RS27945","KPN_RS28255"
"KLEBS_Li_2 (GE) - TPM",-0.386288618608741,-0.621714267015956,0.278347770320796,-0.634437715064849,-0.27762410645822,-0.203884943296293,0.0466267059208655,-0.650584364303523,-0.358878217859341,-0.448909903589607,-0.50871507197407,-0.63353572333338,-0.453881323700135,-0.396528665251023,0.484888593958382,-0.45535717192691,0.936410868731887,-0.582884197965632,-0.704065969078489,0.000988165218841296,-0.53576489969049,-0.0896522462388431,-0.549712602677292,-0.444618715187285,-0.493093120150108,-0.851507954137296,-0.706045758386122,-0.353330689060239,-0.364234853025779,0.255394367389053,-0.719435818458147,-0.465189517138816,-0.292363468172458,-0.486301400945476,-0.34588240184265,-0.661621399700444,-0.00626504675027997,0.0718290577645617,-0.724937439232518,-0.459237965336001,-0.639752644393015,0.0446668255865996,-0.323974187676916,-0.338546591657441,-0.241790408308824,0.51894809560297,-0.335337504012757,0.778699441248788
"KLEBS_Li_3 (GE) - TPM",-0.60190802641878,-0.656739663376269,0.781642144496008,-0.669199105100299,-0.27762410645822,-0.368716658864925,-1.12205443592618,0.169118158314148,-0.358878217859341,0.0462317973977928,-0.644082395777133,-0.608178222799911,-0.453881323700135,-0.427510030897565,0.241696683564434,0.161150472053318,-0.487795613576825,-0.900445858237246,-0.80658902842452,0.0890151694369235,0.476912870437788,-0.139416714059138,-0.0421220591487826,-0.444618715187285,-0.432422881479352,0.19122593781712,-0.483096562466846,0.202835237796231,0.261643123323188,-0.467026130967138,-0.719435818458147,-0.465189517138816,0.719147579750762,-0.486301400945476,-0.435098358414627,-0.661621399700444,-0.102706265286378,-0.516053076740143,-0.724937439232518,0.114736147957443,-0.497309221299663,1.49106774925747,-1.04642673017549,0.262969477162059,-0.241790408308824,0.261855344721311,-0.0534149262848852,-0.171527142165179
"KLEBS_Mig_1 (GE) - TPM",-0.60190802641878,0.815681841219214,-0.558536572198498,0.258077370945638,-0.27762410645822,0.728641559177077,-1.12205443592618,-0.650584364303523,0.12112248748017,-0.533360362377923,-0.714802276939286,0.159925807078402,-0.453881323700135,0.588362028791336,-0.642851139534102,-0.625996853874671,0.618053231028435,0.274397951583137,-0.80658902842452,0.861128722193279,-0.663595436295723,-0.675670471393646,1.09199705548289,-0.444618715187285,-0.493093120150108,1.11913748122999,0.645995713041903,-1.08807248233444,-0.740960676906011,-0.467026130967138,-0.719435818458147,1.47420298814219,-0.733245566180578,-0.486301400945476,-0.435098358414627,-0.661621399700444,-1.14194104813126,-0.516053076740143,-0.724937439232518,-1.27798942180607,-0.859863296784054,-1.07857613839709,0.0469786877319663,-0.767561726083082,-0.241790408308824,-0.673253196762438,-0.770978273590987,-0.400646288121636
"KLEBS_Mig_2 (GE) - TPM",0.628901905249215,0.75380658623654,-0.558536572198498,1.59742804893566,0.764172292196913,-0.72934590746473,1.44376347129072,-0.650584364303523,1.61609714622688,-0.533360362377923,1.63799315602625,0.550737023496706,-0.453881323700135,-0.761360155278627,-0.642851139534102,1.05800171018171,-0.453370964034588,-0.900445858237246,-0.80658902842452,1.87686558314072,1.7687009840515,-0.675670471393646,-0.26826022726762,-0.444618715187285,1.18894992000955,0.67343142486952,-0.396989661891581,-0.864387609237315,0.237185459860449,-0.467026130967138,-0.719435818458147,-0.465189517138816,-0.733245566180578,-0.486301400945476,-0.435098358414627,-0.661621399700444,-1.14194104813126,-0.516053076740143,-0.724937439232518,-0.916921250626604,1.820557161528,-1.07857613839709,1.20299575976402,-0.767561726083082,-0.241790408308824,-0.673253196762438,0.223720658563769,-0.133968343263175
"KLEBS_Mig_3 (GE) - TPM",3.91578838008408,4.98526095838232,4.63688579276877,4.4909001643202,5.67069732246431,4.16378837452814,4.52865703779939,4.63236038139322,5.27935795481205,4.77490300517514,4.08294882548447,4.08270918733702,5.31986949122991,3.76842630722767,4.60794989839677,4.96297592966808,4.16441054673295,4.0281531983957,3.48957393359043,4.54719316414409,4.09787704798989,4.78137784306277,4.9600095273794,4.55032748570641,5.0634624777355,3.651935463387,4.77685156265772,4.38550672368451,4.57298487866711,5.13900480888393,3.79564140423418,4.41638946042417,3.78283650387342,4.01945014682346,4.75731465235893,4.30573355837739,3.79329472912655,4.27405145963749,4.79873446834434,4.1790240748398,4.46932523836248,3.57019177419718,4.15212344987325,4.2262170834789,5.64790944330578,4.0846924773194,3.28574321595293,4.90423336640068
"KLEBS_Nd_1 (GE) - TPM",-0.444168784878561,0.192376535135602,-0.354458619829357,0.877773001519489,-0.27762410645822,-0.409005950403098,0.138469724977765,-0.446709132171264,-0.190137776698982,-0.430392270807912,-0.714802276939286,-0.404558270001366,-0.453881323700135,-0.168254993536396,2.02861947023073,-0.0160057788162032,-0.565485614360339,0.132071701638668,0.343443261127451,0.030069494194751,0.146877664608651,-0.00878915626459679,-0.369359474476715,-0.0958130605344102,0.153613215745703,-0.0132679666652623,-0.389179453976869,-0.256723498477171,-0.138990125047027,0.120191993398216,0.131862251917825,-0.465189517138816,-0.69024114545081,1.71620907466687,-0.304564122174529,-0.401462216480812,0.445846115395422,0.0573775694341843,0.266933216062724,-0.332796544822147,-0.645163468097891,0.899646647128395,-0.437828225359406,0.147839125093632,-0.241790408308824,0.157385557401646,-0.770978273590987,0.458688427020163
"KLEBS_Nd_2 (GE) - TPM",-0.60190802641878,0.235897328049577,-0.558536572198498,1.0181831624923,-0.27762410645822,0.981192216500828,-1.12205443592618,-0.391383274135405,-0.358878217859341,2.3990384614414,-0.714802276939286,-0.144046049974036,-0.453881323700135,1.87783863174454,-0.642851139534102,-0.0899007077066722,-1.35571997546949,-0.440996292280277,-0.80658902842452,-0.203534575280727,2.11059105308963,-0.675670471393646,-0.549712602677292,-0.444618715187285,-0.493093120150108,-1.33614247660287,-0.706045758386122,-1.08807248233444,0.605356134085628,-0.467026130967138,1.80596774506391,-0.465189517138816,0.414920616627486,-0.486301400945476,2.66277428514596,-0.661621399700444,0.829780016751035,-0.516053076740143,-0.724937439232518,-0.0364700833324133,-0.859863296784054,-1.07857613839709,-0.761359251218126,2.02559245091102,-0.241790408308824,-0.673253196762438,-0.770978273590987,1.12730244004205
"KLEBS_Nd_3 (GE) - TPM",0.294052537474991,0.496132747156827,0.136962386926705,1.26861147039977,0.177397484516379,0.362374701281294,0.204063298589653,-0.55132606624839,-0.358878217859341,-0.533360362377923,-0.714802276939286,-0.29052204835237,-0.0791329955334194,-0.559229539201794,0.829917638945769,0.021543448654997,1.20603186077099,0.243172723642036,0.769658167449916,-0.206557999353916,-0.663595436295723,1.11005048306276,-0.365319220533427,-0.444618715187285,-0.0522972596374291,-0.249157411578929,-0.43607516359306,0.475095860035474,-0.389949209974629,-0.467026130967138,-0.235897612688249,-0.465189517138816,-0.513406557566592,1.65831851280086,0.00976314818005359,-0.107481306036082,0.902984930689846,0.461074566273231,0.683521517617663,0.907587303582814,-0.0184101585995904,0.0623431551834374,-1.04642673017549,-0.678427671180143,1.0722766776193,0.175993449142954,-0.770978273590987,0.386520437047137
"KLEBS_Ns_1 (GE) - TPM",-0.60190802641878,-0.460042035209077,0.417010378955281,-0.801128750808027,-0.27762410645822,-0.72934590746473,-1.05917818085384,-0.650584364303523,-0.358878217859341,-0.297097213316692,-0.714802276939286,-0.265274130721871,-0.453881323700135,-0.506192101903674,-0.642851139534102,-0.838762461857448,-0.913472484120199,-0.900445858237246,-0.80658902842452,-0.918554027369807,-0.484782641565235,-0.675670471393646,-0.549712602677292,-0.444618715187285,-0.369435980999449,-1.10790000264074,-0.706045758386122,-0.0191848242382751,-0.876268342040365,-0.467026130967138,-0.719435818458147,-0.465189517138816,-0.609902017453466,-0.486301400945476,-0.435098358414627,-0.661621399700444,-0.930125827349484,-0.516053076740143,-0.724937439232518,-1.17588121465582,-0.490387251606306,-1.07857613839709,-1.04642673017549,-0.0174143311241191,-0.241790408308824,-0.43501273209803,-0.770978273590987,0.208435654895146
"KLEBS_Ns_2 (GE) - TPM",-0.60190802641878,-0.554848691474731,-0.558536572198498,-0.938194113963497,-0.27762410645822,-0.72934590746473,-0.187780068467952,-0.650584364303523,-0.358878217859341,0.276782587394195,-0.714802276939286,-0.892031427746513,-0.453881323700135,0.794137792679378,-0.642851139534102,-0.838762461857448,-0.723861515144109,-0.900445858237246,-0.80658902842452,-0.935547383842291,-0.663595436295723,0.573605113885123,-0.549712602677292,-0.444618715187285,-0.493093120150108,-1.02093594134769,-0.706045758386122,-0.712154487266466,-0.876268342040365,-0.467026130967138,-0.719435818458147,-0.465189517138816,0.112640953328637,-0.486301400945476,-0.435098358414627,-0.235182399187542,1.27909679758676,2.7737257409432,-0.724937439232518,-1.26571852167624,-0.859863296784054,-1.07857613839709,-1.04642673017549,-0.767561726083082,-0.241790408308824,-0.673253196762438,-0.770978273590987,-0.153331278623895
"KLEBS_Ns_3 (GE) - TPM",0.135850175685014,-0.0648002851417522,-0.558536572198498,-0.647629961684401,-0.27762410645822,-0.72934590746473,-0.404333413182972,-0.650584364303523,-0.358878217859341,0.526136419548635,-0.714802276939286,-0.302389618809188,0.0604152202624928,-0.761360155278627,-0.275360923029408,-0.838762461857448,-0.183822271696967,-0.900445858237246,-0.80658902842452,-0.945336122586034,-0.517801468590784,-0.675670471393646,-0.549712602677292,-0.444618715187285,-0.493093120150108,-1.40418697559189,-0.706045758386122,-0.953993819360623,-0.876268342040365,-0.467026130967138,0.607759043471579,-0.465189517138816,-0.733245566180578,-0.486301400945476,-0.435098358414627,1.16355446487786,-0.451131836573682,-0.516053076740143,-0.724937439232518,-0.829132353364282,-0.0565296028284826,-0.295689591313685,-0.0726375729678073,-0.767561726083082,-0.241790408308824,-0.673253196762438,-0.770978273590987,-0.52835136630886
"KLEBS_Oss_1 (GE) - TPM",1.36388973208134,-0.251175515765405,-0.558536572198498,-0.35517497312302,0.0726734321183615,-0.351139307276438,-0.431862226701585,-0.535963635576794,0.305194925024738,-0.533360362377923,-0.517024081029158,-0.462037025943738,-0.453881323700135,-0.761360155278627,0.439420465043225,-0.43402056034332,0.995701515532686,-0.392515471096897,0.374085474859089,-0.413336333654386,-0.663595436295723,-0.675670471393646,-0.407757695103688,-0.444618715187285,-0.493093120150108,-1.37629325079644,0.307156536086373,-0.411158696597716,0.0129124044617516,-0.00483013040380398,0.025066185463161,-0.465189517138816,-0.733245566180578,-0.486301400945476,-0.435098358414627,-0.661621399700444,-0.052053149536207,-0.516053076740143,0.0882872222867765,-0.356302567595584,0.745532180789252,-0.839030330537093,0.592340868463081,0.0558745403795437,-0.241790408308824,-0.509805452823058,0.817712945383661,-0.539163304513047
"KLEBS_Oss_2 (GE) - TPM",-0.302714882291289,-0.287935401117974,-0.171450115369593,-0.412462292289738,0.144453437166595,-0.638204808825901,-0.747825187552862,-0.319125553870161,-0.118833401546732,-0.533360362377923,-0.428836002189833,-0.700731041280732,-0.453881323700135,-0.339493830385603,-0.195751183903319,-0.359951153624996,-0.368650536930265,-0.239473783069203,1.04280179275178,0.259952567546937,-0.42709217331515,0.318189243251044,-0.378669497591441,1.20938093690692,-0.043323171757579,0.250629955120736,-0.217718107125429,0.0537972347293863,0.759002180439282,0.0898791601734418,0.805564566620538,-0.465189517138816,-0.162262760857905,-0.486301400945476,-0.270037134377987,-0.538256657069927,-0.791749449103863,0.231712537006468,0.372509985840838,-0.264990152725493,1.19666630190667,0.277991940813382,0.837009247950673,-0.469911370177212,0.343294662612658,0.0357310601710972,1.88879723080866,-0.221023975124942
"KLEBS_Oss_3 (GE) - TPM",-0.60190802641878,-0.197401279528544,-0.558536572198498,0.00250514029747756,-0.27762410645822,0.784036813013584,0.517754855445711,0.0373929077528905,-0.358878217859341,-0.0469079946051463,-0.1212494989614,-0.561144869325155,-0.129200242303621,-0.761360155278627,0.28515136958471,-0.102597481155245,1.2242068157665,0.928775957584445,1.75247977661568,0.0506605985261889,-0.172708289428368,-0.675670471393646,-0.123691274394423,1.61521037971265,0.355583568874196,-0.161206615353732,-0.238241965520192,0.943415650863521,0.15368797662092,1.38243773508822,-0.719435818458147,-0.465189517138816,-0.733245566180578,-0.486301400945476,0.421406033329464,-0.661621399700444,-0.124338271959292,-0.516053076740143,-0.724937439232518,1.14787978594238,-0.521761015170556,0.119593348439906,1.03431240972464,1.08585118844563,-0.241790408308824,-0.673253196762438,0.901943239123986,0.371724531249583
"KLEBS_Oxs_1 (GE) - TPM",0.171046238060727,-0.533237446143281,0.652017999321813,-0.649790506508353,-0.27762410645822,-0.233641465054356,-0.248535626155981,-0.537911811138506,-0.358878217859341,-0.278422497533708,-0.714802276939286,-0.683939902277762,-0.113566394085531,-0.486023104326853,-0.33888641200333,-0.650681950499745,-0.147798299924434,-0.540951844841618,-0.497093850010169,-0.64152454262057,-0.422412287990221,0.798549219315523,-0.465987318074344,-0.444618715187285,-0.493093120150108,-0.559728957759391,-0.583463458442885,0.198383907661155,-0.765859803375274,-0.376158093157171,-0.499881442801861,-0.465189517138816,-0.467059822885895,-0.486301400945476,-0.435098358414627,0.848048953120264,-0.227710956600142,-0.29421678024272,0.362249983511811,0.578966106697651,-0.560853164107036,0.240080036282886,-0.228578115266993,0.284710999121448,-0.241790408308824,-0.159110253693952,-0.343568736673464,0.118073237380115
"KLEBS_Oxs_2 (GE) - TPM",0.112942033985654,-0.491331400012639,0.152886499332695,-0.591681080221423,-0.27762410645822,-0.416665261251596,-0.120933642053291,-0.437369450072148,-0.300054694020041,-0.418496213658825,-0.329380532693768,-0.446684810630605,-0.453881323700135,-0.347842976664721,0.644512380259127,-0.760539934290037,-0.576317287890654,-0.594497428396512,-0.527698324994335,-0.697174166918294,-0.0985277692759537,0.287449445756475,-0.549712602677292,-0.444618715187285,-0.207530528695211,-0.272048890068988,-0.402278746363414,-0.408515088981005,-0.577796018534924,0.433681795671659,0.269782729898329,-0.108684100313696,-0.58333061132246,-0.486301400945476,-0.344088951384135,0.313322175107156,0.196776717960059,0.283546853426373,0.36999985699354,1.30469723251717,-0.530544718947126,-0.293475338810446,-0.454613041071412,0.709471070997936,-0.241790408308824,-0.557427735647952,-0.548779186971987,-0.224123898250101
"KLEBS_Oxs_3 (GE) - TPM",0.156607975140234,-0.417431228741457,0.0814701113538851,-0.680418843641649,-0.193880815302517,-0.367684611275158,0.967940983817601,-0.285229544522431,-0.358878217859341,-0.455860251121758,-0.084382125036241,-0.196182342079781,-0.178002912659711,-0.463755234896553,0.392074615471067,-0.686293827250824,-0.509489795677431,-0.609019803696736,-0.430247745618063,-0.786362580376414,-0.233458878861746,-0.0781277976973079,-0.549712602677292,-0.444618715187285,-0.29028023791145,-0.281478364608616,-0.631516681321337,0.952723781697254,-0.697261606887445,0.490589477392754,-0.42279728871974,2.04709779617152,-0.490487299618768,0.697801948269003,-0.298642684570458,1.357687617765,0.224510569786673,-0.426136590999114,-0.0509751997847308,0.105642013861774,0.338642451753682,-0.410465627540717,0.0886994615283762,1.69310583083489,-0.112806870145769,0.0561348503443937,-0.611063414043382,0.253251003878427
"KLEBS_Sp_1 (GE) - TPM",-0.60190802641878,-0.733370440147491,-0.558536572198498,-0.373402987023447,-0.27762410645822,-0.72934590746473,0.173384111948632,-0.650584364303523,-0.358878217859341,1.20511325972907,-0.714802276939286,1.23649680040712,0.938525085213407,2.24276761749768,-0.642851139534102,-0.838762461857448,-1.03030503016266,0.842817044648739,0.459717655819944,-0.478753343997906,-0.663595436295723,0.932810588859764,0.363791234910125,-0.444618715187285,-0.493093120150108,1.26090220636618,-0.706045758386122,-0.604066405276805,-0.876268342040365,-0.467026130967138,-0.719435818458147,-0.465189517138816,-0.733245566180578,-0.486301400945476,-0.435098358414627,-0.661621399700444,-1.14194104813126,-0.516053076740143,0.321710207331,-1.35847657852849,-0.859863296784054,-1.07857613839709,0.0351883104816298,-0.767561726083082,-0.241790408308824,-0.673253196762438,-0.770978273590987,-1.11847060240393
