"","NTHI_RS00835","NTHI_RS02050","NTHI_RS02055","NTHI_RS03495","NTHI_RS03500","NTHI_RS04390","NTHI_RS04395","NTHI_RS06410","NTHI_RS09705","NTHI_RS07465","NTHI_RS07650","NTHI_RS07655","NTHI_RS07665","NTHI_RS07670","NTHI_RS07675","NTHI_RS07685"
"HINF_Ns_2 (GE) - TPM",0.929157752308642,-0.909631044970778,-0.901194526204189,-0.431398326869571,-0.275767100467964,0.0674904567119316,-1.01189540738473,-0.819844893250686,-0.174077655955698,-0.357276311925834,-0.483153572097422,-0.270908081651482,-0.356472147457158,-0.235095902152891,-0.186213901266446,-0.154588759182437
"HINF_Ns_3 (GE) - TPM",1.91335492953753,-0.819863394648739,-0.909269368084136,0.0643770462583292,-0.0805955914839661,0.920492485771072,-1.17002647228184,-0.636171336925067,-0.174077655955698,-0.339331352786759,-0.285455268633777,-0.213623262633092,-0.334541291105135,-0.114703620315575,-0.210657216418874,0.165829756676474
"HINF_Oss_1 (GE) - TPM",-0.616121341251607,0.387508833461892,0.246809291214214,-0.0846742334453925,-0.000166841943700344,-0.555814774567245,0.406144638169967,0.129918902118904,-0.174077655955698,0.174994507878921,-0.50015252571621,-0.515490472864857,-0.543413863895006,-0.237883569719991,-0.310194962361861,-0.0218600655016213
"HINF_Oss_2 (GE) - TPM",-0.493135392100765,0.263096282665142,1.54354224123405,-0.0963470964213619,0.605678679169112,-0.703137662982998,0.593510619942077,1.36237544220699,-0.174077655955698,-0.0338053621507902,-0.450721596218174,-0.706709415576696,-0.0584326692773035,-0.107272367697468,-0.0534829953054684,-0.0773495796162782
"HINF_Oss_3 (GE) - TPM",-0.637572585479996,0.549329107133598,0.813062100420992,-0.114316476014014,0.0391063235628458,-0.508513732797486,0.499093590350335,0.485754669682089,-0.174077655955698,-0.30548306215327,-0.484321357125423,-0.24309561104681,-0.285464952060292,-0.295708608153979,-0.143388051817545,0.183324649832356
"HINF_Oxs_1 (GE) - TPM",1.7264523907288,1.5883778772778,1.67378511847778,2.90131948908931,1.37797699955598,2.15366511416194,1.98055648147838,1.80796162437508,5.57048499058233,3.04099503927171,3.6795614436866,3.34750475027279,2.66596505909494,3.66683887027852,3.96241112057801,3.42906097497514
"HINF_Oxs_2 (GE) - TPM",2.69634067907913,1.57894984919881,0.878480922739212,2.25133209711269,1.33209798774085,2.13197564098487,1.84260101091248,1.47323297366961,-0.174077655955698,3.44706118137445,3.22864126749204,3.53806323019389,3.04720309077165,3.14891363417191,3.04380469396514,2.57135321589701
"HINF_Oxs_3 (GE) - TPM",2.11746746473522,0.85961530038026,1.20441095080168,1.41944714492433,1.07350231435703,1.58508028944157,1.36550489405208,1.26873577630838,-0.174077655955698,1.62121870054163,0.972741820510886,1.47958663365212,0.191937910061536,1.31148533907725,1.09366421342906,1.06867046331784
"HINF_Sp_1 (GE) - TPM",-0.425218341181077,-0.898927268841845,-0.577900748171546,-0.846710113038915,-1.12976606104372,-0.448358548114792,-0.687139902220583,-0.856553117284961,-0.174077655955698,-0.779629643424075,-0.688833875449779,-0.79477090840973,-0.698882605101109,-0.604335605196229,-0.45279055280884,-0.416697236536716
"HINF_Sp_2 (GE) - TPM",0.140474134807497,-0.543526115312796,-0.722707616083951,-0.841510534287972,-1.05664417353986,-0.45691536264286,-0.496698329260929,-0.819048974836837,-0.174077655955698,-0.78041298985211,-0.720161394626212,-0.657743646347159,-0.531127154573544,-0.436317781874452,-0.462122346870636,-0.475964208920506
"HINF_Sp_3 (GE) - TPM",-0.59465711422782,-0.750376472883735,-0.605064001509089,-0.827735638298366,-1.06922634641426,-0.652717928955114,-0.815297880179042,-0.825698630515243,-0.174077655955698,-0.758285699006425,-0.803207054484336,-0.742569402890442,-0.50310273692998,-0.545303913739193,-0.382061234699357,-0.49445602419714
"HINF_Tm_1 (GE) - TPM",-0.691430595142496,-1.0463531825524,-0.746804272751162,-0.82072540383843,-0.727088476386912,-0.754129176469975,-0.916451917195895,-0.0609672443980615,-0.174077655955698,-0.219341888963165,-0.234255330296428,-0.0203380299998489,-0.552497058794615,-0.535094240650752,-0.369667721000782,-0.463595772708837
"HINF_Tm_2 (GE) - TPM",-0.498281686935192,-1.04431481210858,-1.07663507280725,-0.91877038870031,-0.674385778832021,-0.451055935999805,-0.696812462983128,-0.323920092590336,-0.174077655955698,-0.0044913340664459,-0.316969384628044,-0.113410639446877,-0.422856603336916,-0.635222612407371,-0.420539590881858,-0.572117219994653
"HINF_Tm_3 (GE) - TPM",-0.495119860342206,-0.985934483596071,-0.94613928570439,-0.757029758179361,-0.868816320231281,-0.364776797548996,-0.729700244771775,-0.012040108497006,-0.174077655955698,0.126422807608112,-0.0278372412568918,0.101747801732427,0.0903374618104403,-0.534507756542881,-0.569505143076038,-0.523382422098613
"HINF_Vic_1 (GE) - TPM",-0.914175287978784,1.67283783314279,1.20193537174757,1.31153455162538,1.94330019987738,1.88670587687377,1.52997119648622,1.07933462899284,-0.174077655955698,-0.303926250773958,0.593268312307999,0.433143356678425,0.0261110476047545,-0.199708796117761,-0.0809163834681282,0.0344237393952664
"HINF_Vic_2 (GE) - TPM",-0.888312740038181,1.14937159486942,1.55892161203129,1.37142370715203,2.0741358819085,2.00256880049959,2.17542332881923,1.44864180158323,-0.174077655955698,-0.303836890926517,0.345747518419231,0.2893472050888,-0.319572915822625,-0.450362963573628,-0.42686760083319,-0.425911671391856
"HINF_Vic_3 (GE) - TPM",-0.941487840350123,2.33530896820252,1.76644393966025,1.08838925074396,1.91284405827432,1.52439286833144,1.96382955206033,1.44968917726276,-0.174077655955698,-0.378534949073627,0.289494635781021,0.0406252431244605,-0.10782504342022,-0.156981578851803,-0.170848265288713,0.0562318053849476
