"","HPG27_RS00375","HPG27_RS00470","HPG27_RS00780","HPG27_RS08120","HPG27_RS01080","HPG27_RS01085","HPG27_RS01150","HPG27_RS01510","HPG27_RS01515","HPG27_RS01520","HPG27_RS01555","HPG27_RS01820","HPG27_RS01900","HPG27_RS02325","HPG27_RS02760","HPG27_RS02765","HPG27_RS02800","HPG27_RS02865","HPG27_RS02870","HPG27_RS03045","HPG27_RS03050","HPG27_RS03055","HPG27_RS03315","HPG27_RS03475","HPG27_RS03505","HPG27_RS03515","HPG27_RS04070","HPG27_RS04165","HPG27_RS04275","HPG27_RS04280","HPG27_RS04720","HPG27_RS04735","HPG27_RS08050","HPG27_RS05100","HPG27_RS05175","HPG27_RS05195","HPG27_RS05465","HPG27_RS05855","HPG27_RS05860","HPG27_RS05930","HPG27_RS06105","HPG27_RS06180","HPG27_RS06335","HPG27_RS06480","HPG27_RS06985","HPG27_RS07235","HPG27_RS07240","HPG27_RS07280","HPG27_RS07290","HPG27_RS07395","HPG27_RS07645"
"HP_G27_Mig_2 (GE) - TPM",-0.446668977836755,0.0968196976184556,-0.413689520565847,-0.116537558479045,0.621545229450572,-0.352040000335644,0.738611259292298,-0.555369299587108,-1.06050758273179,-1.38865573933462,-0.249540309049725,-0.522455792727207,-0.296316026890401,-0.29524471785858,-0.776353141388999,0.234062022345711,-1.27761252139954,0.640141956156348,-0.0691363405527304,-0.523797209500641,-0.755361281862555,-0.651119401328399,-0.121419590823854,-0.385705107342125,0.00267025724940624,-1.23418765518497,1.46974790599819,-0.00483551369827724,-1.36969701266167,0.7233553042513,-0.81629089317293,0.529013776198376,-0.0680811305971134,0.44099533366118,-0.748789456439568,-0.893258579085118,-0.206954341021952,0.294417600116618,-0.427677627700934,-0.408017614514609,1.8282075109938,-1.13159018247374,-0.258830713380273,0.0140160361960732,-1.02485594701971,-0.711754089878744,-0.060638346916576,-1.69554147927272,-1.31007615197681,-0.153232087073159,-1.34921798573389
"HP_G27_Mig_3 (GE) - TPM",0.266063926053113,0.599353514037104,0.232684572601021,-0.260544071476744,0.193169931460874,0.941806592008799,0.97943280317345,-0.986900766647028,-0.775306982162275,-0.583695371543548,-0.235330228452048,-0.297192776667916,-0.488149519231632,-0.223947142543979,-0.170056425466486,0.817341984359548,-0.972160679090362,0.381120226843612,-0.0276004383383273,-0.255748144778854,0.159104572397743,0.0402845489691371,0.369936660560164,-0.959633150792475,-0.0413813522405457,-0.693417901154703,1.13279436897004,0.371596903571,-0.029400065422612,0.965993301753466,-0.644925275155986,-0.216600558892434,0.597155639154425,0.0664331505105005,-0.608544668699441,-1.09779339393708,-0.37046025516053,0.104269686952812,-0.0383823711034283,-0.400656321028567,0.38038619613076,-0.361577541387078,-0.0592961957827113,1.21903926885611,-0.3448506212273,0.0107531302404107,0.193940321264942,-1.17297401957443,-0.569949685068777,-0.0288057545008525,-1.97010490093423
"HP_G27_Nd_1 (GE) - TPM",0.0087038112274532,-0.493659689281008,-1.0654933526771,0.561824351795057,-0.589798640640113,-0.675041935293966,-0.794311767589968,0.905048270480766,-0.205009564931705,-0.619549953104754,0.0285333947256004,-0.615552069838781,-0.911508251252349,-0.20434590971323,-1.10234750485991,0.396341388680869,0.239063944619481,0.235443518344191,-0.530399940594314,-0.727384004695088,-0.863398849265661,0.0796363884152759,-0.0345103238278948,-0.461898197109005,-0.900400498520239,-0.721057793728656,-1.42561574211097,-1.31203626969584,-0.899702031574669,0.204463977063519,0.411139991989109,-0.737588054221784,0.46657916413538,0.255951840724076,0.574001918101826,0.17420993880961,0.060792981214768,-0.873694750247263,0.0839253581302015,0.600017492394796,-0.189059178977845,0.823150219350618,-1.60100699336894,-1.28844964925111,0.10416061784715,-0.725200618044077,0.0724075047713915,0.663961505607974,0.301833489997263,-0.641815080154612,0.456309522631859
"HP_G27_Nd_2 (GE) - TPM",-0.19376886789746,-0.307273719207896,-1.19303442792424,0.795052385829755,-0.450163705093415,-0.487475055162336,-0.84715012183896,1.069214011911,0.160797299944522,-0.542953515096938,0.118425344669798,-0.193413424035916,-0.783527749531245,0.165394288252978,-1.08360064131102,0.496144656417216,0.355846666691757,0.517633197146628,-0.66220590519814,-0.248478827163207,-0.49482441716644,-0.0136233007955458,-0.407093734538891,0.00138028602553855,-0.679324175801496,-1.11187560740823,-1.38574723169302,-1.02659912096335,-0.841690963763321,0.264881946779667,0.250874493698545,-0.88616656721301,-0.0523373190056477,0.560278797004532,0.0192765054882728,0.971243620428252,0.361955455268483,-0.419797159547336,0.275258624030295,0.0951943276488083,0.111806503237039,0.377688250392198,-1.5363375466617,-0.979275193352511,0.916929775116775,-0.770813076447498,-0.119966437215596,0.602818155718358,0.497923990092195,-0.373154875548589,1.0854190836948
"HP_G27_Nd_3 (GE) - TPM",0.243155876997329,-0.0167357179166716,-0.520747304673236,0.79225517768864,-0.222411822887928,0.771500271195709,-1.12002894870937,0.992506510818831,0.0266583232296448,-0.371961799975223,-0.00372254678853935,0.535021765549978,-0.574690178207439,0.373678456069768,-0.133820192916214,1.09061283372958,0.485505121096007,0.427067795689361,-0.127341237425877,-0.184865869483299,-0.46882367565146,0.0271370853471942,0.41634052652744,-0.0996236867086024,-0.64363244544333,-0.536361461863324,-0.339804446389853,-1.09886557048385,-0.370655491557557,0.396437134005522,0.253408804523806,-0.759395375364848,0.34022291973018,0.10907452797432,0.412082614166098,1.23472240473129,-0.191896789630325,-0.760041436533331,0.125858505886454,0.697235209696103,-0.521675375545199,0.440426866105986,-1.97852858063461,-0.846831366503647,1.1218594513374,-0.552886784708584,0.149117773935844,1.23072128815871,0.695181713236859,-0.220748792837872,0.37991896105359
"HP_G27_Ns_1 (GE) - TPM",-0.00180350007349265,-0.354238489247407,-0.144519326959781,1.68275254320386,-0.553075807185621,-0.887703437403533,0.154168290557911,-0.439221757950584,-0.362498421278102,-0.259634983801825,-0.294930546135322,-0.635247052344972,-0.0984389568614136,1.04313232751662,-0.590909958793096,-0.661122473920999,-1.22788765726995,-1.16270534480854,-0.851787421033057,-1.44405976549953,-0.554828291649422,-0.927176142935166,-1.21762587531663,-1.14685649717911,-0.410189094488487,-0.322044935094706,-0.321402943687644,0.98183607502663,-0.450889471358129,-0.599369825038921,-0.895351520789724,-0.752413879136089,-0.350069820259375,-0.17281912920342,-1.1212518392823,0.572452793208316,-0.385524129678612,0.831175704990754,-0.495363445859043,-2.30864615297554,-0.13879463136223,-0.519081571976427,-0.266161203718956,0.434887479130055,1.1646720435189,-0.64841804124404,-0.260421297334366,-0.284832417624393,-0.799440740367385,-0.57690540221204,0.348929639972301
"HP_G27_Ns_2 (GE) - TPM",0.0159819512865909,-0.441884127209102,-0.233527972838159,1.69423678946452,-0.301029533819459,-0.589111122246262,0.582515343038047,-0.441570101219266,-0.211135038411569,0.297927737657682,-0.320346840917924,-0.660579994053156,-0.0491523869642034,0.595853078975431,-0.985448671820227,-0.557370840916202,-1.20403171807812,-1.19138840234786,-0.838852357573797,-1.10216284264689,-0.103875100645216,-0.321288176090515,-1.45652439105577,-0.869135820134688,-0.275564029495398,-0.233887008534378,-0.278841872014776,1.33276672525918,-0.402800110663314,-0.675366300498718,-1.10795630780081,-0.481417666450634,0.207765267516534,-0.0590337381476927,-0.982134457146937,0.669350604913158,-0.110344207249476,0.603263053739706,-0.328499184428495,-2.20942792459075,-0.525199698963786,-0.161255149420889,0.659906557187524,0.827394017840746,0.371001864566346,-0.511634921339648,-0.218773848549361,-0.119198561957581,-0.656548669866603,-0.723388726647449,0.83392789303224
"HP_G27_Ns_3 (GE) - TPM",0.356266821481138,-0.601743396007935,-0.672003880452786,1.37839020100378,-0.687804996794117,-1.44051622698076,1.46360333915431,-1.03626909496917,-1.06712155419171,-0.481693921051438,-0.338612868505148,-1.3260751877338,-0.197928367913899,-0.103282116785105,-0.629617998460666,-0.546209656900913,-0.982759011813866,-1.56292880944489,-1.50951550983465,-1.61486458171504,-1.30145242028762,-0.435802178907987,-1.78339867267899,-1.04998633346197,-0.366887107619943,-0.511093041585317,-0.854042501618516,1.48102651310509,-1.16133490727866,-0.778795553649917,-1.4849374228074,-0.790499217545502,-0.0096187849018957,-0.175917431477144,-1.09601449844264,0.134767439314875,-0.506204252236094,0.580857341844713,-0.592889519719244,-2.59722156229591,-0.678672187565645,-0.60026387792752,-0.740478651647375,1.20315770640455,0.543464563227956,-0.772258215701424,-0.461683009844095,-0.820530956028543,-1.30602822765831,-0.919386169148594,0.733288614044024
"HP_G27_Oss_1 (GE) - TPM",0.1403531922963,-0.447991839228739,-0.213093255544653,-0.91557711615332,0.0746134633593637,0.395816822979018,-0.75694843434329,0.238049821856848,0.298558524241145,0.643751076634596,-0.280009756355977,0.0943999331625368,-0.369782873437616,-1.42082405432131,-0.432345029143399,-0.815954626804476,-0.0940066898344412,0.144472143336546,0.777428655321856,-0.080080292852661,0.198114168517728,0.216213511664827,0.691737042608736,0.304024435789377,0.519265994318728,0.246991111591357,0.0546811574679944,-0.585093060786987,0.98103463589381,-0.473860122305026,-0.436015463858355,0.494453053583966,-0.420415979600929,1.13392300718051,0.41091841804167,-0.76631565649397,0.346109437100495,-0.106880242932406,0.681655657221817,-0.805668280727044,-0.309102937904341,-0.438771758834974,0.558364445491575,-1.21740704132484,0.19081869003157,-0.19701020591418,-0.111691142772168,1.27831859275324,0.908845548370261,-0.338385359971488,-0.463088344973404
"HP_G27_Oss_2 (GE) - TPM",-0.0230753104527148,-0.444767679009504,0.0669630491684467,-0.775801569593209,0.00650629510151107,0.555474955922475,-0.816249888543213,0.112233151321253,-0.266965634215675,0.46460316660011,-0.320305873963715,0.513801867551941,-0.387358856059265,-1.42091436475367,-0.241805523946999,-1.06418975738131,-0.230073646351373,0.0668760716440574,1.0859742864131,-0.275984677223478,0.82681679745651,0.524306438705146,0.75605503190254,0.443734621191045,0.693552164285856,0.0960058321060694,0.0169028046542356,0.000427386576575098,0.640677570247785,-0.717514382290311,0.0319176339120573,0.926794775366615,0.472994669404105,1.31281759518599,0.367931645945599,-0.511114360839731,0.175875460795009,0.129414690659705,0.683810047273238,-0.325544032607824,-0.540945261220788,-0.585945615767378,1.16619453126427,-0.860190703176151,0.71682739423332,0.118470414343916,-0.0862361398616174,1.04999711825817,1.20066722890736,-0.540005666426752,0.432677772532791
"HP_G27_Oss_3 (GE) - TPM",-0.0618670660144953,-0.420667924117093,-0.54613019350776,-0.314394155230024,-0.57021982476482,0.452034689060092,0.395788850252577,0.294932894089937,0.365493859473834,-0.60355081943841,-0.281486222959218,-0.149080283952652,-0.258002796217888,-1.29760943287154,-0.214436852189178,-0.735732523148186,0.215292665724317,-0.848689265216528,-0.571891530897071,-0.278725626429735,0.530332797171885,0.433934875585822,-0.355895602519612,1.48970687135098,0.818795748867893,-0.0944170604666524,-0.2194878844091,-0.589770682902671,-0.765975962246603,-1.24263363252069,0.284534947204174,0.392018366975884,0.373762513712194,0.396634606054643,0.9133555415638,-0.6207478282843,-0.27534868552066,0.768309354348976,1.09109474815875,0.136043302304679,-0.130388413910231,-0.365154163141991,-0.0304520136183719,-0.867116475800276,2.15609652685127,0.392457630183375,-0.119764298061498,1.17017732685855,0.767699492841778,-0.413432810490596,0.830054760443036
"HP_G27_Oxs_1 (GE) - TPM",-0.886115088579358,-0.40743158715492,-0.274359202286413,-0.572379960730252,2.05135227694337,1.77042202891468,-0.522023870558117,0.129930105915073,1.33618486496639,1.86937095423228,-0.242916008155324,1.02398150161309,1.94075356474271,-0.0982055351373653,1.38055751466283,-0.0916415006918979,1.22787028161528,0.898807392805786,0.795467984407749,0.812384380706533,0.348768771620056,1.23904916388761,0.693246370788961,1.79865216120305,-0.920350091699748,1.73472705257098,-1.05185790087963,-0.67562168336083,-0.0588015523418464,-0.277305266319054,-0.666205648453951,-0.939298634479921,-1.0546629685011,-0.272016172355868,1.32964138968108,0.737088120103581,0.566489524148004,-0.862243771999647,-0.507118374359088,0.562879307780532,-0.528088064925076,1.57955776730684,1.05606904859042,0.384147569821659,-1.37954145628072,0.250727291977074,-0.434884118747709,0.649945913243196,1.6702443833153,1.66463099957576,0.493845511869574
"HP_G27_Oxs_2 (GE) - TPM",-0.697233879926099,-0.257488923679696,-0.0273868271622375,-0.404066566855782,2.37030737850691,1.19500791436148,-0.756943334875021,0.20445069171482,1.09340808621489,1.44894976394856,-0.282280794148128,1.40696923891788,1.89552682659223,0.177159767833848,2.25167586309968,0.182466286610633,1.65629409596999,1.18012333349408,1.46806586107291,1.23338112333727,0.744219044514812,-0.139649819679388,1.17230550895435,1.65035061040585,-1.04190155769497,1.74416094958666,-0.583337413952746,-0.933201393993359,0.642862244790473,-0.334106665945508,-0.144730603182329,0.195872057808513,-1.03122677165388,-0.637377562852194,1.23738245855109,0.54792579112758,0.729773948243641,-0.65153248043843,-0.440692391359807,0.991321347572979,-0.0288436515829915,1.39571226306985,0.820379727660853,0.586851285691952,-1.33753469725603,0.722049386473486,-0.327515169307117,0.707733238077215,1.71609740256393,2.4067271901305,0.179442555286727
"HP_G27_Oxs_3 (GE) - TPM",-0.579261164824005,-0.495829386177394,-0.15620937844493,-0.653569214856492,0.789727479210849,0.547190357997209,-0.455711794336874,-0.424789047496733,-0.023707279332997,0.0192471255583628,-0.328827445270241,0.587943473730793,1.87015492775923,-0.729891816814043,1.20651057930963,-0.153736490135272,1.62190863592429,0.440410071103297,0.331661947930637,0.85871701221739,0.0640963596708452,0.666377708146444,1.04147544231099,1.58500428555862,-0.960595428048402,1.29018364587649,-0.964930992776426,-0.126410663203438,-0.83086779407814,-0.571967330292284,-0.538824913006125,-0.632114445141362,-1.25094799277178,-0.653761986440101,0.944059066071761,0.658557254954712,-0.140190926912552,-0.545372670184251,-0.414250044542498,0.560112629395362,-0.687410894702574,1.49660803474008,0.24754970994052,0.911538898748582,-1.24348374988247,0.418097077127142,-0.646833900804538,0.172104449090461,1.23487650181786,1.55907445073297,1.02937291746701
"HP_G27_Sp_1 (GE) - TPM",-2.60524245972545,2.57301601089817,2.33297373978405,2.33119126469865,1.36058048153417,1.65080835346602,-2.01266863113313,2.69970143637661,2.80191632216896,3.22253078478297,3.22696431575609,3.01345124485325,2.71802601161742,2.80303098811003,2.73169964054633,2.91470096566885,1.80614963743198,1.93203046827157,2.85591088933681,2.65772556021963,3.27779164094955,3.3984276168128,2.67218118369231,2.18448800943013,2.44186629423483,3.11783095359275,2.78032593865131,-2.3569903971677,2.26600847641224,2.40251706416359,2.6440962072502,2.66468555827495,3.55991468869936,1.47604745957415,2.9984995877384,2.91348256170638,2.21391547482652,2.84418805278104,2.53042328345254,1.50691461243051,4.15141305837156,2.47664088562659,2.58425251309112,-1.8608987063812,-2.34614350599148,3.13793426838091,3.25287607828962,2.19749939762033,2.46167496310239,2.49914255629839,-2.04521082745078
"HP_G27_Sp_2 (GE) - TPM",-2.16959858261259,2.84146983164409,1.5031347880023,2.12866165091118,0.913546197176106,1.67146577039621,-2.02994508155699,2.05298213546993,1.87102393174853,0.719596117723837,2.86533978622742,1.59981964524223,1.88326110027362,2.41000262253757,1.72069933305068,1.9599602273479,2.0841347751064,1.59540133823694,1.35208106740514,1.75523716131564,1.83641171754493,1.27697198705892,1.70930821015828,0.470515964049964,1.51332779143199,0.728409359153677,1.47968135500837,-2.5277393495149,1.45576773761263,2.38440123455733,1.66230485956263,2.40278833753947,1.96434000716013,2.93740564666483,1.52743601186243,0.995001750452866,2.81787734582872,1.70529480954194,1.84532330640601,0.658370156840784,1.85898819516513,1.19421954605482,0.57114764325835,-1.90307048453064,-1.60911501412065,2.38279924190076,2.39104818640851,1.08603332970333,0.787497878295861,1.50175401291096,-1.84716411555543
"HP_G27_Sp_3 (GE) - TPM",-2.37403267083689,3.36324387394551,3.71524182798107,1.95310178738667,2.05715039204623,1.93625323945399,-1.76801624098589,2.88017040893752,2.6578525487441,2.320568935906,3.14699577609093,2.14218781513128,1.80209247691105,2.44518391834421,2.14319640334918,2.38076592441467,1.88927404164117,1.62161207881106,1.27177848168207,2.47250807381295,2.37132371243493,2.95360916977378,1.28304023982431,2.13647194229243,2.09069180330652,2.25867599822437,1.71115347679853,-1.6216944269532,1.58330741127669,2.38203442010243,2.95994669876219,2.02654139815632,2.32323693862519,1.69274071898559,1.4314154541879,0.772204454240174,2.62389241774942,2.08860059626105,3.00253635679922,1.78024115762068,0.270207932882555,2.51202673064427,2.44227606447214,-1.93413078046447,-1.29080597897483,2.94016902312154,3.18323615214567,1.91310517015374,0.649786863752901,2.21309936586975,-2.2282835886496
"HP_G27_Tm_1 (GE) - TPM",1.51035542677878,-0.429269838357099,0.312344925529026,-0.77655852746809,-0.0636611540971296,-0.358390464551706,0.350364535357064,-0.550253744248613,-0.430921437861692,-0.114364299140156,-0.440403552162138,-0.468400967249581,-0.468954125021478,0.183021570611142,0.0247517299839401,-0.462227205369909,-0.241767211092813,0.0547742562133362,0.139624949196638,0.36727898782709,0.121853576480169,-0.562230917926467,0.0881234889711757,-0.138141507235185,-0.628348002486475,0.175932987110526,-0.343107840870607,0.583195214055968,1.36009117719783,-0.248642999251292,-0.288718352579294,-0.48747455124486,-0.748862994496973,-1.01111377058569,-0.882532931054888,0.280417191811853,-0.289144147912913,-0.79502117732062,-0.990600335551996,0.937546132178306,-0.659691197832053,-0.668367924428748,-0.387887386381645,0.297184779092269,0.646706687540685,-0.528565066816679,-0.712576253255667,-1.46463461242922,-0.645100657588532,-0.334864701524302,0.124012786485419
