"","pWR501_0046","pWR501_0104","pWR501_0151","pWR501_0152","pWR501_0153","pWR501_0154","pWR501_0156","pWR501_0158","pWR501_0160","pWR501_0161","pWR501_0162","pWR501_0163","SF5M90T_16","SF5M90T_1060","SF5M90T_1238","SF5M90T_1540","SF5M90T_1854","SF5M90T_1925","SF5M90T_2365","SF5M90T_3694","SF5M90T_4274"
"SHIF_Li_2 (GE) - TPM",-0.40259598766116,-1.35255982070215,-1.08671727275061,-1.36153919061606,-1.37407574421891,-1.69082799490146,-1.66246332012684,-1.40415171343428,-1.0307994531121,-1.28944732994796,-1.03232158442315,-1.34930624182021,-0.86178024778831,-0.798269353275701,-0.744506305456529,-0.635867890525355,-0.462199112280543,-0.622256454726809,-0.868896457784047,-1.12369403909523,0.658296587852226
"SHIF_Li_3 (GE) - TPM",-0.880719906841543,-0.906803361620263,-0.608838521876505,-0.908815523897922,-1.04084434064623,-1.17126799855133,-1.07552087705439,-0.839681288164247,-0.554250636135845,-0.672943197457996,-0.67584206028722,-0.763757979372058,-0.340549035233164,-0.907573034622905,-0.440114366856382,-0.743028035567277,-0.110605529389151,-0.369598221696313,-0.733126288114879,-0.785693007292816,-0.692817371923743
"SHIF_Mig_1 (GE) - TPM",0.388679147815561,2.58691875866518,0.837207621036011,1.62028710091007,1.49756764312339,0.181388877488,1.00797600393301,1.09712481965228,0.49935873344266,-0.13994383278102,-0.649545901054268,-0.334617735365058,-0.801212340071179,1.1787998227278,0.182016311745792,1.40431296952871,0.883223115691908,2.93768211681508,-0.830122942617504,0.913300598141183,1.01971347054371
"SHIF_Mig_2 (GE) - TPM",0.0630844689417699,1.09408068460271,-0.225691575409136,0.416158213990081,1.5578515264293,0.359398278796787,1.04997935988473,0.984276987358499,0.0596437978912561,-0.357545399332824,-0.945561395900474,-0.413378925442002,-0.548044875959134,-1.56664721329015,-0.534771904527178,0.5610290238131,0.0244249250589239,-0.184080849071894,-1.38577939148313,-0.99321187100682,-1.23379683017927
"SHIF_Mig_3 (GE) - TPM",-0.690482039599591,1.25664564245499,0.539649330174279,0.86204101948378,1.61936648932717,0.144078881139672,0.798370052290415,0.703755858408675,0.134359719273811,-0.128089449574213,-0.839138727314819,-0.271963600756156,-0.790707269848098,-1.56664721329015,-0.464201064139968,0.73864536027983,1.23329051124442,-0.73893494407944,-1.1963121952808,2.02756528241277,0.449491661742451
"SHIF_Nd_1 (GE) - TPM",-0.407475381781043,-0.99032817731739,-0.795200500849591,-1.04782548101715,-0.986032002546482,-0.740061530902746,-1.09185715818725,-0.811844218995634,-0.602440626452379,-1.06435187560395,-1.09559100473622,-0.583982161150373,-1.25786421028938,0.0178776933592276,-0.996208553981446,-0.693674497067029,-0.527550992557487,-1.11427906799288,-0.693376730736993,-1.10272526957319,-0.800261701876948
"SHIF_Nd_2 (GE) - TPM",-0.652031669378887,-0.857786586485136,-1.0463616531293,-1.04863390646106,-1.03426258756429,-0.850953921110079,-1.13357729925229,-0.81840997634884,-0.815877455361763,-1.20922741429505,-1.11845667447383,-0.858866320033855,-0.99767463406794,-0.574863843230734,-1.02882926128758,-0.761110968714195,-0.506949401186856,-0.971924800940417,-0.67449519294761,-1.58059187499254,1.47977951582874
"SHIF_Nd_3 (GE) - TPM",-0.312287118088249,-1.07347783625633,-1.15055134356745,-1.00096033992341,-0.762590402292537,-0.864880934773071,-1.0099222324974,-0.729173852152307,-0.759210109937515,-1.0690800935137,-1.06256210047901,-0.605653109252642,-1.05916584151167,-0.399233640559957,-0.854977236069521,-0.448993652805413,-0.422490117276457,-1.32257421843945,-0.511943580755913,0.422339608907195,-0.59497469383646
"SHIF_Ns_1 (GE) - TPM",-0.714797632946132,-0.744561284256253,-0.563112999604736,-0.620933351839267,-1.08039961592789,-1.28950685167316,-0.493173696606348,-0.398191262107892,-0.432606272695859,-0.745912133940872,-1.03389637650258,-1.06601238655063,-1.32711264416183,-1.20506560602303,-0.779737039279171,-0.100758180853508,-0.345314120660008,-1.34785244767442,-1.31305891564861,-1.24274885323919,-1.23379683017927
"SHIF_Ns_2 (GE) - TPM",-0.374559840620225,-0.6834275440255,-0.213969767229009,-0.406771424544168,-1.09613593855944,-1.09874122565057,-0.498796720959794,-0.564116665028783,-0.376417478560018,-0.680484034568545,-1.08051483465467,-1.10463628525707,-1.51858061308068,-0.73047787356872,-0.974569534976025,-0.581197949454263,-0.422756354993713,-0.486361914820328,-1.19537809895917,-0.57478516113159,-1.23379683017927
"SHIF_Ns_3 (GE) - TPM",-1.0278176216799,-1.19778004059508,-0.313747402909728,-0.291794814280166,-1.06549998851999,-1.44204046825976,-0.401555587365508,-0.531905122125217,-0.26123122902151,-0.696032850699028,-1.20678360241644,-1.05158515870927,-1.28659088530709,-1.28666140101321,-1.02634734203162,-0.98748426696271,-0.274296493831889,-0.909023007908556,-1.26794018906942,-1.06085287549429,-0.77416245843328
"SHIF_Oss_1 (GE) - TPM",-0.554764701859909,0.679063539259334,-0.371311469277689,-0.38811793619798,0.377387643903595,0.960447196054044,0.494036730414112,-0.692536747906171,-1.02155817156312,-0.6776722867017,-0.154433270390869,-0.130880161558404,0.318756405380173,0.378799425006979,-0.210378599763005,-1.34534157883121,-1.14950941495383,-0.319832041723672,0.343474755003132,0.458661541322012,-0.777552210236052
"SHIF_Oss_2 (GE) - TPM",-0.824279773129844,1.07880726529609,-0.455777346420601,-0.318557647008367,0.223999000331967,1.59056376561585,0.58049280359417,-0.889965045338403,-0.950241576623798,-0.665824081790689,0.0700746328033053,-0.062747455303214,0.568358575078797,0.061280555251137,-0.00146328284635711,-1.16790780526414,-1.05746821893957,-0.186192633846012,0.841881703878046,0.393157395816954,-0.52114018858728
"SHIF_Oss_3 (GE) - TPM",-0.582425851000068,0.729599250648391,-0.512673955577132,-0.274708613974297,0.112574432248973,0.934075301169029,0.7300183022748,-0.767774460176339,-0.908305365356657,-0.665857170820027,-0.14968872299664,-0.207312197273911,0.473193086976046,-0.352830035464157,0.00926892248800462,-1.17111710959144,-1.22783297318248,-0.31863100549116,0.742353275275116,0.421803826445919,-1.23379683017927
"SHIF_Oxs_1 (GE) - TPM",-0.651430851105221,-0.201493947536771,-0.252319971182659,-0.529924720243571,-0.721392069220704,0.0126781133702224,0.442870984795162,-0.0588071828470073,-0.104439542104611,0.106411302998493,0.28662874890542,0.1443964945161,-0.571607679011413,-0.451626480533922,-0.74491955654374,-0.202107718815809,-0.623544073774615,-0.900232977725317,-0.838623211782236,-0.749447840876454,-0.449315466691025
"SHIF_Oxs_2 (GE) - TPM",-0.709306554976695,-0.666960739794757,-0.0230726474276468,-0.190812170969411,-0.654936660923171,0.264655641332352,0.694842076319632,-0.506570070040794,-0.260338676181532,0.053790230154344,0.0440815501588811,0.0311294924852734,-0.513468183331441,-0.152968945053586,-0.683134994006315,-0.420407149970668,-0.63732661513093,0.241660540898805,-0.845304773249176,-0.177947667908032,-0.718076156237651
"SHIF_Oxs_3 (GE) - TPM",-0.757678455962128,-0.615525477233562,-0.637647308053863,-0.577735584401409,-0.790886321197475,-0.0392381406970882,-0.0532529084675993,-0.669548490087093,-0.588928882625798,-0.334721435869567,-0.217984604778725,-0.584514376145828,-0.814303669647599,-1.0391310652908,-0.729807555977397,-0.342574590962918,-0.802649712094903,-0.510099870203417,-0.863257232687361,-0.785199825572123,-0.367808116433817
"SHIF_Sp_1 (GE) - TPM",0.614879163407996,-0.415372261804448,0.150811773937272,0.424306439504825,0.0423632601093456,-0.123074394232493,0.381207714114312,0.102702852330688,1.55509642763136,0.684904476796749,0.356862662271753,0.959130001381985,0.614201438553088,-0.221210786836065,0.107632435577778,0.0966189483692835,0.607987906706629,-0.753883933116719,0.356657375646461,-0.469434361308282,1.52709675632739
"SHIF_Sp_2 (GE) - TPM",1.14106243452962,-0.99450504094905,0.1675666644764,0.0274197104222733,0.3479099679989,-0.20726325341154,0.0851509813365351,0.131572812700113,1.21518965246127,0.58859954412316,0.103918889322617,1.23760837493337,0.51008535033642,0.878607812528047,-0.0109273595354449,0.905590590390123,0.121972867114022,-0.557987514111081,-0.101686773828723,-0.724899044925537,-0.230243070736531
"SHIF_Sp_3 (GE) - TPM",-0.435814907571719,-0.0429780891652619,1.13221599261591,0.43462466028936,0.607746613059673,0.356947250591214,0.421577049299468,0.0400414131116858,1.34317411649931,0.354524721529727,-0.0177519129514098,1.0527695243357,-0.0630188994471188,-0.216346082502651,0.784381925577163,0.232420193259032,-0.178106309935952,1.76121938179385,0.146357075079116,0.0787046718853439,0.982904106023078
"SHIF_Tm_1 (GE) - TPM",0.831327368071801,2.44243858703805,1.45536527286784,1.32500390678123,0.996858464146908,0.742734460781791,1.17473140082087,1.87753044351606,1.08310218675555,1.43215905939259,1.24911036891141,0.505977421423643,1.48680629608452,-0.607604855271063,2.13455861016998,2.17669873206023,2.05966271743553,1.69287132960119,1.48146259845672,1.8326958375344,1.52139797575911
"SHIF_Tm_2 (GE) - TPM",1.01538646937549,1.45729940233909,1.28257142744727,1.39528355763676,0.7863209029218,0.71524000097357,1.0957409113189,1.73695025768676,0.83761194337571,1.13920658924936,0.7251676724212,1.15652914950118,1.44866097793857,2.06668810896292,1.53819200668085,2.6245414497966,2.39906633032847,1.87563012791182,1.8595358608126,1.07253240637095,0.257355333220052
"SHIF_Tm_3 (GE) - TPM",1.67770723721696,1.12767082396898,1.71276237054173,2.14072390884368,1.26468202817601,1.1855963650471,1.32513548954481,1.91048406577677,1.02498139594601,1.53997067668902,1.05306188072069,1.36655707703657,1.26038918005003,2.14856376767942,1.87693980850166,1.85803790031195,2.57088571829629,0.971187468016441,0.914942490995491,0.531487978441114,0.79920935646972
"SHIF_Vic_1 (GE) - TPM",3.66061419891551,1.02930072402349,2.68973311472278,1.80022127628747,1.62410577722749,2.16291403902138,1.68160067604325,1.40001711314435,2.15632487587713,2.39354442335618,2.27126327064033,2.08333285617219,2.13539470892914,0.8249529868305,2.66639393246959,1.28077545724081,1.17050602379622,1.21385007652019,2.21363453742056,1.9445579364031,1.32672496814277
"SHIF_Vic_2 (GE) - TPM",1.83912729290059,0.868816861943434,2.17921194167259,2.11371223642447,1.85752139457279,1.9491804540049,1.82156762751272,2.08215513332549,2.6869579441498,2.64987707641941,2.81140518366418,2.8013549217709,2.50515851050577,1.48019271694837,1.73072287525883,0.726961378414831,1.53860732486098,0.649593571097309,1.77312762840705,1.82396834749285,2.10073488916413
"SHIF_Vic_3 (GE) - TPM",1.45488437250204,0.311186838813001,1.45237159470569,1.7253082061894,1.15902186899069,1.30400796957286,1.52215189126775,1.8148573410581,1.70860621859961,1.92543925533085,2.25514397104663,1.92768923392111,1.61104244442026,1.16980982660579,1.63166740232745,0.746626638887597,1.36910663619809,-0.0704149196700719,1.395971899241,1.34331992832964,2.22178956464172
