"","SL1344_RS23745","SL1344_RS23930","SL1344_RS24180","SL1344_RS00815","SL1344_RS01200","SL1344_RS01205","SL1344_RS01825","SL1344_RS02410","SL1344_RS02595","SL1344_RS03490","SL1344_RS03690","SL1344_RS25070","SL1344_RS03700","SL1344_RS03705","SL1344_RS04590","SL1344_RS05720","SL1344_RS05770","SL1344_RS05775","SL1344_RS06340","SL1344_RS06415","SL1344_RS06460","SL1344_RS06465","SL1344_RS06510","SL1344_RS07295","SL1344_RS07925","SL1344_RS09000","SL1344_RS09600","SL1344_RS09755","SL1344_RS09985","SL1344_RS10605","SL1344_RS11875","SL1344_RS12475","SL1344_RS12955","SL1344_RS13300","SL1344_RS14415","SL1344_RS14835","SL1344_RS15250","SL1344_RS15695","SL1344_RS27175","SL1344_RS16830","SL1344_RS16855","SL1344_RS17575","SL1344_RS17580","SL1344_RS17590","SL1344_RS17840","SL1344_RS17850","SL1344_RS18030","SL1344_RS18145","SL1344_RS18155","SL1344_RS18180","SL1344_RS19025","SL1344_RS19390","SL1344_RS20340","SL1344_RS21190","SL1344_RS26160","SL1344_RS21375","SL1344_RS21380","SL1344_RS21730","SL1344_RS21735","SL1344_RS22240","SL1344_RS22420","SL1344_RS22565","SL1344_RS22585","SL1344_RS22630","SL1344_RS26245","SL1344_RS23120","SL1344_RS23170","SL1344_RS23185"
"SALMT_Li_2 (GE) - TPM",-0.892677996961225,-0.56233546652718,-0.563943281999901,0.296701011211865,0.0310270645017098,0.234049835792142,-0.341746406916303,0.737343523871766,1.45408833846571,-0.764474037902612,-0.292384335119633,-0.379224206358058,-0.560037028846236,-0.584284844119267,-0.0243175361387203,0.0168355433082879,-1.07193944051534,-0.781025094233217,-0.935768674385834,-0.920294765248237,-0.732649210149422,-0.825451449519472,0.114847642579411,-0.67733420603218,-0.290574251268913,-0.553727072201074,-0.793213448111442,-0.643417545378668,-0.721086575918324,-0.737703971142217,-0.772437413393953,-0.474027936766404,-0.763094115744622,0.253542228410498,-0.526841166866337,1.70095026823215,-0.803195092758306,-0.368846481042076,-0.0240697061441076,-0.259614879660613,-0.73402678692372,-0.329020097179795,0.16597355863451,-0.848245757154221,-0.0771125425281549,-0.595263623629053,-0.604734145877835,-0.547187747135413,-0.504392794563874,-0.46872852567897,-0.800354541241933,0.407895377078508,-0.436010865202222,-0.641578549505777,-0.560998552540218,-0.0692078351207906,-0.51440320173476,0.0197790918415191,0.32399489177932,-0.642092164099719,-0.515543886508806,-1.06970207778797,-0.485942679284696,-0.746480476803418,-0.614365344002517,-0.0626867041826857,-0.50809526056514,-0.849910155962725
"SALMT_Li_3 (GE) - TPM",-0.692872877623065,-0.488377139301928,0.392500406566176,0.173002067268925,-0.372836174352111,0.891524376780038,-0.315690254827468,0.355746796975005,1.06242888234694,-0.10313485665621,-0.45509984307861,-0.386476024160133,-0.528479881005444,-0.585525134870428,0.0297166732921359,-0.289154967641373,-1.03249546558985,-0.787023826589112,-0.592616039120208,-0.971730598464687,-0.80167324836993,-0.776262140273977,-0.317881591340923,-0.743455754445144,0.378319323145238,-0.556298836209012,-0.779847147262462,-0.638494223338622,-0.570333779795143,-0.637608301226677,-0.853819870298058,-0.451084023476557,-0.619725392257555,0.322544826737952,-0.521153443723688,1.4501858540276,-0.59729386045523,-0.49121572548097,0.547879400968698,-0.75642347729902,-0.0898615324410695,-0.567098395619391,0.420197106869481,-0.792499111582176,1.47547439984679,-0.465366418931275,-0.8913736708138,-0.421362534168875,0.437337643216899,-0.542956544921066,-0.702786240896481,1.91498290827714,-0.572230076041135,-0.65908208629349,-0.707493130751973,-0.274635961992693,-0.518135544616055,-0.0997997062129684,0.301995298101457,-0.382116864904846,-0.38178799489102,-1.01089982176778,-0.556819614811894,-0.258145941396655,-0.423655457164899,-0.358226526117547,-0.618937535008986,0.0778248638881332
"SALMT_Mig_1 (GE) - TPM",-0.0150090255069519,0.3195523848279,0.346400683355462,-0.288157095459436,-0.775028480146834,0.11421452365651,-0.167471023650082,-0.374602228383254,0.0869592486595327,-0.311038950582784,-0.576806770256,-0.21067525488065,-0.209118758894929,-0.462583040320481,-0.302753428119151,-0.0749336409748288,-0.514147358445134,-0.321417753843981,1.59312167399528,0.696553481534399,-0.216983763744938,-0.689777017859248,-0.588099700187427,0.912564085581187,-1.21552560300108,-0.467414343980419,0.0321015485218399,0.460994096560715,0.342982563750884,-0.0541023272525663,-0.478242330593383,-0.699917013574519,-0.24947612810458,0.0257952710671649,-0.550846872667317,-0.42793189854838,-0.00503295601800916,0.224658971322843,-0.542340892782057,-0.0533932402142134,-1.29427588332895,1.11932544617643,-0.293000216896503,-0.115590278466286,-0.982033290360508,-0.563677831286903,-0.295626647846854,0.0226266122421863,-0.0430308306354866,-0.102984924910143,-0.823556239826445,-0.728979755941175,-0.499200312899409,-0.473948480432969,-0.707493130751973,-0.26199792600619,-0.441039485368283,-0.216554118833898,-0.252566987531829,-0.153007294953264,-0.0949326470405566,-0.538214762767427,-0.241463183029874,0.376867466141722,-0.391130515659612,0.367017185803862,1.71471244965375,-0.644761601938176
"SALMT_Mig_2 (GE) - TPM",0.492896845101718,0.695596024170158,0.106716775342291,-0.317979960029635,-0.548696024803164,-0.618988871469254,-0.263467483596458,-0.355781342283132,1.10325484567944,-0.0474024038706168,-0.598924699845655,0.0248612048666974,-0.286055515495839,-0.441943240561872,-0.199345173598165,0.469513328734002,-0.179741934053956,-0.164663573253363,1.84781461298606,0.907459070144821,-0.299209685198785,-0.317652692475857,-0.690404584438792,1.3181512036669,0.951290895252937,-0.516366282823722,0.42077027413376,1.10318920275478,0.322355497879449,-0.117532211809962,-0.426047485165413,-0.690901179160187,-0.246473250840659,0.032508188806612,-0.502817258455775,-0.73263319390663,-0.0548010601588899,0.703513328411412,-0.360164030659829,-0.554510327193616,-1.11337510950453,1.18041709385657,-0.309267734006802,0.464173988573592,-0.77480385550383,-0.334235218538593,0.0211914939391121,-0.102294397773181,0.805061752970649,-0.564039438020881,-0.878014097386969,-0.501353014117708,-0.506010325228564,-0.500432339884493,-0.18406377818985,-0.869161031573362,-0.487766201411021,0.362966369876094,0.175791225296373,-0.39941805332964,0.680560066871394,0.0548918633350255,-0.35011981671757,0.908145843043215,1.54492250031645,0.340903132360406,0.774382195051169,0.247504934113338
"SALMT_Mig_3 (GE) - TPM",-0.114020744774039,0.361391299782652,0.283531234077183,0.324320051750697,-0.637075797474999,-0.408732215932221,-0.200395047695004,-0.432457655324254,-0.0666478355492382,-0.248995169400076,-0.627103345411212,-0.585819474774465,-0.234047972715827,-0.50710177169745,-0.244697725145855,0.134847096339834,-0.467119221708899,-0.257732096857301,0.68398093191925,0.659922834265134,-0.178617713218485,-0.699302151471391,-0.761110457723014,0.739620249420861,-0.636524148814111,-0.552846853383199,0.136233882848064,1.97362759582428,0.0321832694257627,0.0885735847306484,-0.497087082606266,-0.701295538870801,-0.367280260627331,-0.110016096810231,-0.554516554336605,-0.493305525534707,-0.345151799711195,0.13939061147489,-0.96667513168941,-1.13784764725629,-1.24653515710383,1.23222330055255,-0.396275994454343,0.516985423512808,-0.629719956536936,0.0219949283038071,-0.381815263406463,-0.287470985624263,0.492202789859181,-0.775053871126434,-0.219114316215171,-0.533989867707848,-0.572230076041135,-0.360928249630428,-0.707493130751973,-0.895110440452097,-0.469814783686706,0.672657552356609,-0.124938189487341,-0.39932115027827,0.235286494502292,-0.410909353252193,-0.308257136844307,-0.0731966929412204,-0.212827040832863,0.214069132365295,0.193595615181145,0.206709177135266
"SALMT_Nd_1 (GE) - TPM",1.97999116025059,1.71444232551087,2.0231153731453,1.4837317170111,1.73669837013268,1.60374425859262,0.652627095875647,2.32318575428482,1.75492858456659,1.06701840698215,2.18658026602268,1.91702830185574,1.5200117621187,2.00774930285213,1.29312496841884,2.89840400205832,2.22445034778696,2.54925480828408,1.0685776286339,1.15994153648737,1.96023044329992,1.80402353318863,0.857420141871601,1.75117858829771,1.59949666215508,2.07724647542752,1.40572354602197,2.07637679037506,0.537763848689486,1.45631138790788,1.92960992900541,0.994553980882944,0.978682906113246,0.880998101861264,2.28442736393273,1.47430426577153,2.02214018098826,1.84382308502188,0.993202573273474,1.24707683538044,0.671136454265022,1.50963907635382,1.45916456523871,1.29767887619985,1.64857489178187,1.39394807595026,1.69319565639191,3.44900124841109,0.58281610981537,1.88147955995496,1.05182325193304,0.714520232640131,1.09902388520411,1.43535642888739,1.44726243596689,1.16592481942979,1.81274460130722,0.828061331937081,1.41913193638854,1.47296111062388,1.48597602231018,1.54114697822288,1.70470843580095,0.797342958261097,1.56164246420878,1.06772871396833,2.09546053247838,2.30678929497967
"SALMT_Nd_2 (GE) - TPM",1.99868472548353,1.98923245415143,2.19484143282387,2.35687517604342,1.35848205169455,1.07758547466399,1.864001704629,2.19657048359378,2.47513435802767,2.13808452813496,2.69361637149138,2.60978544956075,1.32080593105542,2.21013212975856,1.62980890738327,2.56556471040178,1.65190455539934,1.99531336332964,1.60781942001253,0.90155781564654,1.95188245621269,2.06804334710409,0.520504073088946,1.75607393170744,1.32110858195864,2.04317528978231,1.50918592168672,1.402659393765,0.876409542890591,1.09286936867785,1.9263272293906,1.95064411682327,1.60810086994114,1.58162005478549,1.90999809830913,1.36397577525374,2.25859009703565,2.37810216256366,2.55698781191581,1.63060390261035,1.79927440794038,1.92733820029549,0.918619781731194,1.87952177913408,0.627738358035673,1.914631987972,1.66431674040622,1.09681739636514,1.55002834296207,1.0159198381117,1.57595960584787,0.649020472147639,1.27963591907814,1.52919688476243,1.74579361057017,1.83262861530385,2.24557141856569,1.64257690743128,1.43048526724827,2.40347140120484,2.14795635613203,2.0798580612718,1.83158219447135,1.76954867669401,2.26128647527599,1.05812992678779,2.52628489569882,2.20335974789862
"SALMT_Nd_3 (GE) - TPM",-0.199089625222775,2.2476852097777,1.85044887712463,1.70580707110132,0.192195477357548,0.990413873665151,0.961066715559129,1.55649193114084,1.33967939484966,2.00317264303809,1.74145928517351,1.34335936682135,2.02273083293493,1.74635132657958,1.15754419949333,1.03389371524834,1.5995035443461,1.6991083961738,0.741030788291874,1.02336568621631,1.04334816290855,1.21801455493902,1.82778106292192,1.67975213214548,1.14962512430202,2.29421952540625,1.5775316268503,1.41985775866449,2.19093074163402,1.24996270063737,1.59286150039476,0.44484493245414,1.22699201132634,1.50419090425886,3.16352416433104,1.06988541733807,2.23202431612805,0.79231792022325,0.440279975490022,1.73710073511794,2.19631505106344,2.41664439610688,2.17439373326979,0.798962596967451,0.98320583538355,2.54678801216218,2.27576524753135,2.09499670386663,1.00430842580174,1.53914242978975,1.23244888534935,2.37394225863106,0.913838934984366,1.16939330526551,1.66554277743896,1.49182359999468,1.7233322504387,0.941842081438456,1.67817603812731,1.6856135365385,1.07186488580393,0.560304858473421,1.98477037162686,1.39603776271751,2.12130582509059,1.07174969725238,1.3212789974697,2.57235526385289
"SALMT_Ns_1 (GE) - TPM",-1.0087001668919,-0.357752577619377,-1.03549892237506,0.252124099801497,-0.928150283483276,-0.764366415684521,-0.808285814694764,-0.17927041434071,-0.892092522830221,-1.14874294576701,-0.550884127829674,-0.531823147178692,-0.56561833328616,-0.548115011391583,-0.801061823988815,-0.221467553676224,-1.12939657623947,-0.895683111671688,-0.941747239005534,-0.817538346667827,-1.05634762731706,-1.15629977961363,-1.34556295152612,-0.194889692480209,-0.922118965358813,-0.534926252715699,-0.926508863375093,-0.821304512622289,-0.892511357663056,-0.844028624223606,-1.08464020679894,-0.292449524682023,-0.945950139912246,-1.25733430215402,-0.541349110889956,-0.944806280553195,-0.777229344622037,-0.594339608865838,-0.513422226547639,-1.22758347049807,-1.42768907342359,-1.16261309630245,-0.0674286879585717,-1.05394511416185,0.0808173487990063,-0.501717602522254,-0.891526606235023,-0.105121690928697,-1.0991165422634,-1.01465082050624,-0.916783013223075,-0.864295934227971,-0.519365254574427,-0.65652663433259,-0.707493130751973,-0.316186117658403,-0.612489392361607,0.0119604626555925,-0.750172453609182,-0.992573724108696,0.128470168322538,-0.633861352415421,-0.496055319319532,-1.84141042495477,-0.956271661276092,-1.65094262713351,-0.839201084267671,-1.21772396970629
"SALMT_Ns_2 (GE) - TPM",-1.06884536058479,0.233238625962541,-0.804246161245236,1.43319628624767,-0.639331755245134,-0.089792067680587,-0.842697716854598,0.348818861214781,-0.589165424240212,-1.00064825666703,-0.549353030212762,-0.541174382847706,-0.557128129057992,-0.522499636121526,-0.833139383529353,0.383688649068224,-1.00608690206559,-0.584603557981245,-1.40958515781938,-0.824830572661942,-0.892316029734715,-0.840854552548155,-0.834526162721804,-0.21362996089115,-1.26604055129077,-0.543045342009707,-0.777565004667348,-0.262010185513332,-0.84283139020686,-0.803936941395541,-0.923898946796516,-0.361712114967167,-0.7376670675408,-0.792176775067206,-0.53708184939608,-0.576833596097072,-0.619215547526665,-0.150402181528317,-0.317149779099096,-1.2727713741465,-0.999502346309394,-1.01036438009632,0.322428368242952,-1.02537307081676,0.400744007024593,-0.545455787242306,-0.697447594617532,0.189786020680992,-0.355867258285213,-0.913783277944917,-0.707453927925341,-0.428266437007999,-0.475892945122439,-0.708863856126229,-0.628171249445762,-0.757145971430155,-0.596139053623637,0.342809568786929,-0.10857815445685,-0.618999698645841,1.41207379511539,0.0417688447502694,-0.561024576405883,-1.54063828215918,-0.933041998382414,-1.40090953958363,-0.762151876989074,-0.701766428638676
