"","KPN_RS02660","KPN_RS02665","KPN_RS02670","KPN_RS02675","KPN_RS02680","KPN_RS28600","KPN_RS04420","KPN_RS04425","KPN_RS04430","KPN_RS06010","KPN_RS10505","KPN_RS10510","KPN_RS10690","KPN_RS13150","KPN_RS14000","KPN_RS19070","KPN_RS21770","KPN_RS28145","KPN_RS28155","KPN_RS28160"
"KLEBS_Li_2 (GE) - TPM",-0.294790553601658,-0.243873761637335,-0.239935269483564,0.28140733534307,-0.378449914018874,1.39023488328163,-0.0142270202554898,0.448946606018187,1.02220185173191,-0.536004371083112,1.11183750923006,-0.0344841614315602,0.352552323556077,-0.529509961620555,-0.510214332960854,-0.0807749057905838,-0.662245662945697,-0.0360951453071461,0.383780493273645,-0.323774792860038
"KLEBS_Li_3 (GE) - TPM",-0.315813676786423,-0.300326628225083,-0.269947743449179,-0.0945626073329255,-0.491603224576912,0.725933326185731,0.0514614668996193,-0.0794558475934248,-0.144473838772201,-0.536004371083112,0.271923073496325,-0.247876106807975,0.276593172156956,-0.812685876283111,-0.478645291038393,0.283082699389451,-0.628834792005666,-0.415643311713226,-0.176744232202223,-0.365937586638033
"KLEBS_Mig_1 (GE) - TPM",-0.402893552310502,-0.406291333098343,-0.345500168969901,-0.647359195762923,-0.96602682334217,-0.72746762247421,-0.589644496056649,-0.446776758496919,0.0431665179611309,-0.536004371083112,-0.497694763991073,-0.507559450801167,-0.275625677735062,-0.65969389706289,0.320020359484894,1.05320445942359,-0.952335235529109,0.141784242480742,-0.420508568905321,-0.465441824262914
"KLEBS_Mig_2 (GE) - TPM",-0.379268782685739,-0.397142962155552,-0.13310706619501,-0.672856858648842,1.53305965502609,-0.72746762247421,-0.185838542792712,-0.526027304344542,-0.695386158891052,-0.536004371083112,-1.14631286617568,-0.33767139702969,-0.800505999281843,1.00836767014408,-0.0677106626790572,0.999212715624389,-0.893818136571826,2.29700815729163,-0.625273792221194,-0.0898200102338563
"KLEBS_Mig_3 (GE) - TPM",-0.38486572309358,-0.405975186613201,-0.324577719497209,-0.627183689425768,-0.644170181885782,-0.72746762247421,0.821721910884364,-0.247925824282596,-0.152463738554134,-0.536004371083112,-0.623876198453583,-0.196718490280582,-0.678694107628902,-0.88450810549597,0.645276608094429,-0.214443158429223,-0.633808809450863,0.480207588039545,-0.569681979269093,0.0784346210028675
"KLEBS_Nd_1 (GE) - TPM",-0.379193005077929,-0.398299911831589,-0.412964440535969,-0.488387247125561,0.0285273688502427,-0.340159272676599,0.34868704027927,0.669264254221351,0.303705818623031,-0.327288689907411,-0.314052459239276,-0.454588250567825,-0.496106221498099,-0.599770431956928,-0.0818925098369095,-0.606755940906549,-0.199594247627491,0.421369185295442,1.80177863335327,-0.452199088114356
"KLEBS_Nd_2 (GE) - TPM",-0.363625959462262,-0.381519136947932,-0.387898830800675,-0.470224290564379,-0.66598843002705,-0.72746762247421,0.107507571611812,0.254580976282785,-0.0153418589832469,-0.536004371083112,0.335043761908247,-0.496792476290061,0.117599540728998,-0.454195188118124,0.129214956540666,-0.387499585279474,-0.631418697221611,0.598730843537674,0.447273682936433,-0.557656789176509
"KLEBS_Nd_3 (GE) - TPM",-0.362471555829027,-0.391520228023288,-0.389501823227855,-0.511651737684144,0.0249555644707022,-0.507476069590046,0.161985311717491,0.631880817008583,0.155126290198265,-0.0618014593603583,-0.139991869139363,-0.0398062262571953,-0.609759339247898,-0.466753578829663,-0.0990625843670589,0.039153043046371,-0.133713472343351,0.461758847804709,0.819397292835288,-0.268098582490112
"KLEBS_Ns_1 (GE) - TPM",-0.355839749202573,-0.379169441871344,-0.371629389989709,-0.42091598852973,-0.869330541699644,0.198250895660636,-0.991136731460784,-0.440640652589031,-0.627702534756935,-0.536004371083112,-0.498864853046519,-0.209979160233253,-0.322238813176197,-1.68074920476535,-1.07235955104147,-1.11176511249213,-0.342753007368426,-1.30765685854017,-0.502536258930954,-0.345503339309588
"KLEBS_Ns_2 (GE) - TPM",-0.344809983089744,-0.26437804163805,-0.222785723175083,-0.422243669599513,-0.96602682334217,-0.72746762247421,-0.490436409389608,-0.969447061934789,-0.569113069809936,-0.536004371083112,-0.398807832378312,-0.469261038656018,0.383282252721737,0.948093636533881,-1.20020982954009,-1.27415194430049,-0.482928947786377,-1.48347727669218,-0.440935818677024,-0.371490818845524
