"","NTHI_RS00015","NTHI_RS00020","NTHI_RS00210","NTHI_RS00235","NTHI_RS00375","NTHI_RS00430","NTHI_RS00875","NTHI_RS00930","NTHI_RS01165","NTHI_RS01170","NTHI_RS01295","NTHI_RS01645","NTHI_RS01795","NTHI_RS03130","NTHI_RS03175","NTHI_RS03180","NTHI_RS03540","NTHI_RS04225","NTHI_RS05575","NTHI_RS06045","NTHI_RS07320"
"HINF_Mig_2 (GE) - TPM",0.816481982646664,1.97293645568094,1.23842791287421,0.752962621028473,1.21939861760354,0.968236517756058,0.544046176839361,-0.386049985376931,0.140252291022793,0.65323373804413,0.807183913164809,1.32293965291952,-0.0768568636074621,1.35728950793167,1.25334576261503,0.791944064804838,2.91832143638391,1.68132691879763,1.32749962555387,-0.0371437507545532,0.520117535097571
"HINF_Mig_3 (GE) - TPM",0.900240597791225,1.29252590876047,1.34167767013929,0.248258563065638,0.98283548404692,1.83449039140832,0.487514711500866,-1.33467245133641,0.0914308304010783,0.494488514676687,1.08245410144859,0.983053861183755,-0.106509946323087,0.893690993897831,0.652330850805964,0.832955121308524,1.31339721325098,1.31932207491905,0.685000010198463,0.090399311756839,0.0195672578255424
"HINF_Nd_1 (GE) - TPM",-1.15185893195717,-0.641168298916012,-0.738242320427406,-0.357691366851212,-0.629558897136005,-0.620592943385078,-0.38561240615132,-0.255794924440072,-0.106774584911331,-0.377987407946158,-0.413056762254564,0.238126836688789,-0.404524313483742,-0.667363312760353,-0.361018253257557,-0.465846340471799,-0.69477847183021,0.123119467595675,-0.036379434227234,-0.404071826105295,-0.178606754206677
"HINF_Nd_2 (GE) - TPM",-1.38443090988924,-0.63129310106618,-0.87562186371979,-0.657873604082028,-0.712711754516597,-0.73706123910556,-0.479109876960217,-0.455556151230546,-0.455838124686168,-0.629888692729726,-0.609281542494174,-0.136894167419635,-0.647922302960199,-0.872512033391536,-0.561642499521168,-0.625460059455031,-0.38895116288523,-0.281475544850478,-0.088679282709493,-0.715423991094803,-0.0911791945444148
"HINF_Nd_3 (GE) - TPM",-1.24872687187797,-0.680345569010608,-0.587816389089429,-0.788112756298534,-0.51521471775326,-0.708806142737484,-0.189255882388367,0.0575105890348568,0.224811963418451,-0.152502634151815,-0.433893651319643,0.0788878685996741,-0.214032753648805,-0.59836202050712,-0.198895332375834,-0.308702875042687,-0.470725378636934,-0.258180334951075,-0.379154535899684,-0.428246734938762,-0.0803266847769596
"HINF_Ns_1 (GE) - TPM",-0.920998499735186,-0.202393164629845,-0.212958319417028,-0.163397293067035,0.00530788606263994,1.48253095185039,0.651640590238702,0.247754361377357,0.422648132312056,0.752008541177994,0.652317904401933,-0.00691201754361722,0.549203599618306,0.138857031096587,0.712203092356782,1.29299431575796,-0.363161085917416,-0.0180618249582254,-0.30749138805164,-0.469419491800014,0.889665204980056
"HINF_Ns_2 (GE) - TPM",0.244833902951393,-0.717018046261333,-0.0760672524794789,-0.744434041743933,-0.0191455518248645,1.51253082981256,0.405515218638829,-0.0201126478651888,0.459134613861793,0.578947580986429,0.704607321172301,0.103386892866102,0.343677850267958,0.517244317396631,0.984985930422579,1.18500033769581,-0.805123979241634,-0.105170276499046,-0.0656875676067968,0.479661711388731,0.0959754955737915
"HINF_Ns_3 (GE) - TPM",-0.87262356197017,-0.343946188538138,-0.278261132154238,-0.144965407659673,-0.196010038429683,0.939909520213766,-0.122859769974935,1.54735765800744,-0.108068360777191,0.355903812933152,1.48251394336769,-0.284010808896835,-0.129575268350689,0.164193404849768,0.554695155728141,0.667040526336548,-0.223910233985632,-0.588577070631353,-0.0858869931029496,0.213869272986704,0.427948269448368
"HINF_Oss_1 (GE) - TPM",0.766341980351209,0.0196011563334681,0.37816813257482,-0.491222833912582,0.838405246934192,-0.170400835327452,-0.0951122936514373,0.438580241785454,1.91915371808169,1.9846730926454,0.0119448347877539,1.09448042309923,2.2366982265339,0.604687345021682,-0.260741334784448,-0.230622179422801,-0.268758669948332,-0.862531428193376,0.2917426194604,-0.255548684984874,-0.682318286524554
"HINF_Oss_2 (GE) - TPM",0.659147474398642,0.191371801258795,0.0569255083307573,-0.525584416065043,0.402004149775447,-0.556237258674598,-0.491537670312953,0.938542452654387,0.364521911768747,1.0323358355228,0.121966448495441,-0.740323606235483,0.627308918918206,0.491341244366478,-0.572685011819846,-0.649443793190063,-0.534478131926782,-0.834770930354917,1.42027708587985,0.737872333361629,-0.0269833220641788
"HINF_Oss_3 (GE) - TPM",1.03564493910948,0.834192838145701,-0.212147248083138,-0.797090868031301,0.502833564043042,-0.720858376258721,-0.335635169465893,0.684107818366318,1.01418210649681,1.39160036763506,-0.499430041240147,-0.125352377619818,0.801302843695846,0.325618872096464,-0.530807325900354,-0.499456185081678,-0.614975662021576,-0.913230391428921,0.586907411839017,-0.141555820638195,-0.0817110733798549
"HINF_Oxs_1 (GE) - TPM",0.0651692003237891,-0.37216539856871,-0.778088344654504,-0.767357856734385,-0.644554882092582,-0.350664667467961,-0.674787193231964,-1.130140221976,-0.694616746177516,-0.871822702765826,-1.06399492403784,-0.594090083093244,-0.6567236646996,-0.761848986093039,-0.698868381801295,-0.674500011481907,-0.712228502605154,-0.855603829840583,-0.980345891453256,-1.13276048533674,-1.00854043999627
"HINF_Oxs_2 (GE) - TPM",0.427925455607857,-0.0645478676349943,-0.702245477855884,0.718003514776219,-0.75785639438872,-0.679080679640397,-0.636113072331129,-1.23056455477332,-0.718217674854883,-0.893820469339471,-0.78479851944648,-0.493487094446798,-0.671011580945799,-0.924395792668243,-0.638949123978365,-0.699864822260487,-0.387759790046547,-0.582605043334976,-0.777631848061602,-0.858140491034121,-1.02046624473788
"HINF_Oxs_3 (GE) - TPM",-0.376843291478052,0.149568345205536,-0.660496022865015,-0.142288184424605,-0.660878725519436,-0.41958212242385,-0.646909611181222,0.603993951525399,-0.779716188312042,-0.675093096479392,-1.16680061663175,-0.586649116545012,-0.798549223041567,-0.604952696376241,-0.821029212404489,-0.682697456938343,-0.571502839780213,-0.681967124756485,-0.98217816341238,-0.928576338397534,-1.03114772087582
"HINF_Sp_1 (GE) - TPM",-1.11594659541495,-0.847894777862884,0.750883555819901,-0.841599207534744,0.437214712501966,0.533535473095019,0.959965400866137,-0.461501715225174,1.82662757030835,1.3901663474386,0.920291569257832,0.523151169028275,0.900426913820203,0.707658454807741,1.43158316072538,1.7115483626775,0.486703787132028,0.708421897403651,0.280410215466282,2.21795308698773,2.30860232674843
"HINF_Sp_2 (GE) - TPM",-0.327918953360154,0.0480548767846671,1.4243476923101,-0.268212404018267,0.276127065862011,0.559698773094067,0.831783477386788,-0.624786468269014,2.19521699971233,1.87600338741959,1.68500388913797,0.656396435100595,1.08239973966664,0.637858675268011,2.55250647698432,2.73468341607765,1.76147078892202,1.24904193202574,1.30344504201381,1.77293774957812,1.72259621666163
"HINF_Sp_3 (GE) - TPM",-1.36683426291226,-1.38900949670508,-0.3401669570428,-1.23610505746688,-0.0407060493667611,-0.208431159632302,0.405312283910588,-1.30979629897524,1.34279820591631,0.83949763309604,0.908211050313802,0.21529538007637,0.226004501286764,0.3412230751694,0.793418721552256,0.878420509358154,-0.103801344186905,0.213211632146189,0.772263977977689,2.11509461553162,0.173905326007344
"HINF_Tm_1 (GE) - TPM",1.37580443137848,1.45074418764022,1.85715520219767,1.61030217603511,2.51379424172782,1.51045567986313,2.56066240397011,-1.08448377632755,1.0554320036094,1.10341876335987,1.53110644443761,1.68594072982952,2.14066983768561,2.15974561832164,1.54148711620358,1.35161688637985,1.14793846282205,1.45328904341114,1.71904362003337,1.32267660177902,1.26553861757895
"HINF_Tm_2 (GE) - TPM",2.24634571662283,1.51364177771579,2.3932839914534,3.26415238475854,1.95609953155585,1.71876490193121,2.41157428871596,-0.926157558988114,1.29258354502649,1.10023913612578,1.7048464628036,2.42283960917358,2.01277331721531,1.86698715907823,1.52320097138399,1.34466701394152,2.46850957010248,2.13550349567815,1.81108734089304,1.76728880966883,1.89529589222485
"HINF_Tm_3 (GE) - TPM",1.96903506167928,2.06415233099288,2.32864221512141,2.29401073143333,2.32686471412332,1.68348907968888,2.83189957101039,-2.33610227893902,1.54326490653673,1.18783766632446,2.07756285435184,2.48950817798893,2.27465269013829,2.26944448335152,1.7149864720949,1.28928388198031,1.8424251235852,2.84474024316836,2.79225658875526,1.40307955445303,2.316881803801
"HINF_Vic_1 (GE) - TPM",0.41076680462574,-0.846693980558536,-0.244684546312115,-0.961525500585419,-0.880486361856157,-0.922109447022741,-0.796672993770264,1.11312869868282,-1.01873941723692,-1.07445348318865,-1.00328907519292,-1.47116325633047,-0.915848807446492,-0.962483193762531,-0.899165703487944,-0.859861651943136,-0.490173846873887,-0.516189122440478,-0.846076972593087,-0.898425752104449,-0.0424466930364938
"HINF_Vic_2 (GE) - TPM",0.81468239695444,-0.507574776210337,-0.0925994515284439,-0.795724732291494,-0.768306140862371,-0.833318622613474,-0.79584196770667,0.659053437475643,-1.07188662328003,-1.03588866259975,-1.01493547649412,-1.54529455155188,-0.775612221732573,-0.443189402849417,-0.955451206191496,-0.906442685451454,-0.555525857046502,-0.402248876384137,-1.13515308947454,-0.560054116391475,-0.468978644030725
"HINF_Vic_3 (GE) - TPM",0.383609417935429,-0.435772284447222,-0.483222584529198,-0.744259856673443,-0.801686436614372,-0.947450210335098,-0.790824435115083,1.8625850970011,-0.974969729791267,-1.00601797647159,-0.991856589196586,-1.54884983234617,-0.79123112931925,-0.594113416293656,-0.936289382161104,-0.861449056678487,-0.0556092658154901,-0.61813666483276,-1.02294452208965,-1.02119833824121,-0.244242443149235
