"","SAR_RS02290","SAR_RS02295","SAR_RS02775","SAR_RS02780","SAR_RS03065","SAR_RS03070","SAR_RS03520","SAR_RS14965","SAR_RS05485","SAR_RS06115","SAR_RS06400","SAR_RS07080","SAR_RS07085","SAR_RS07175","SAR_RS07180","SAR_RS07185","SAR_RS07190","SAR_RS07475","SAR_RS07480","SAR_RS07510","SAR_RS09870","SAR_RS12345","SAR_RS14540"
"MRSA_Li_2 (GE) - TPM",2.22679692564775,2.807620026482,-0.545232079419755,-0.361128119706251,-0.657638829098744,-0.77759577477242,-1.28853668213509,-1.00886913681964,-1.19002654392653,0.402955065127469,-1.75409375074614,-1.00520706881762,-0.863037566428369,0.225782199483401,0.485501195882545,0.350705749717957,0.0451236336983468,-0.642776101780065,-1.13766460179619,-1.23542263920879,-1.13414763207371,-0.344215229277968,1.53464259066901
"MRSA_Li_3 (GE) - TPM",2.17422359145743,1.97840100360561,0.204792865264347,0.104599528903204,-0.12761278313984,-0.55893221397577,-0.746581064743505,-0.73992430436335,-1.04429488281627,1.12624223700026,-0.968355018174249,-0.313400386243458,-0.318429633428643,0.182958524782088,0.0061592727393581,-0.331503569342743,-0.295367873968788,0.185739992633677,-0.316129904413446,-0.432064104949113,-0.299781048169925,-0.686397224382758,2.56084164511634
"MRSA_Mig_1 (GE) - TPM",-1.12208564891276,-0.903975186922586,-1.4467304452639,-1.56121741775492,1.74729081182465,0.887692084774629,0.772613836381914,0.947268773361957,0.673091705496723,0.912141374854454,1.18494213586114,1.44202504118946,1.65990489183253,-1.07048384087099,-0.962901329969573,-0.952609433430226,-0.920455724524666,1.750854286369,1.95483334350157,1.16276705251431,0.772218122356956,1.19892226741077,-1.0764177922678
"MRSA_Mig_2 (GE) - TPM",-1.1881073176923,-1.01106185679475,-1.55097355095158,-1.4465891514877,2.14406373430104,0.961169408589911,1.50786108579137,0.532857376932546,1.07212479227441,0.201526831456452,0.829558998318631,1.09921125872404,1.08919501016353,-1.11523194552989,-1.0677764383255,-1.1216466017084,-1.11727196990375,0.777274181090569,0.860828211193669,1.32295948549248,1.24747135177936,0.339510979542497,-1.04828314700887
"MRSA_Mig_3 (GE) - TPM",-1.31028050141586,-1.02227522774956,-1.98752182100215,-1.92207133808102,0.903559178460671,0.0428644625496878,2.54005650094566,0.660079913192012,1.21306363445779,-0.325374213700546,-0.0988223859383011,0.722363972179053,0.966763116878352,-1.11714476798684,-1.02773365452984,-1.03464974214356,-0.768982788583892,1.37737807870633,0.833361435589997,0.0720432470694279,-0.260308428838458,0.490104640429877,-0.963159937661048
"MRSA_Nd_1 (GE) - TPM",-0.0747956668303307,0.202087380355442,0.272362675558502,-0.277370627114363,-0.89219128765008,-0.397662709853062,-0.721106353531545,-0.997058431249454,-0.0344546071172234,0.400492773524139,-0.348267983279115,0.068090053697867,-0.73026544713546,0.791207849617576,1.00626642996986,1.33450802518227,0.942775908579849,-0.908006417122689,-0.522374404477972,0.429484644323796,-1.00601514295871,-0.440203607576626,0.194025657016327
"MRSA_Nd_2 (GE) - TPM",-0.822505395499693,-0.35865053567617,0.185938346251677,-0.0796456404667939,-0.567007872620352,-0.453700044379499,-0.643293567456999,-0.422508964271177,0.0873672954852159,0.543506401512089,0.370235925380228,-0.0877201378578346,-0.90978295431273,0.106614697002701,-0.0433378406024951,0.298170637985416,0.301932577109522,-1.11720891872253,-0.85513546628227,-0.0749758857380925,-0.444099699156768,-0.100878407427421,-0.486055408120671
"MRSA_Nd_3 (GE) - TPM",-0.466505047601566,-0.189239833700185,0.0145582772762584,-0.732671945471228,-0.430353687734366,-0.107130544185445,-0.595987910888421,0.390465160387452,0.287234741829102,1.45165557525535,0.181168056163999,0.451004041262945,-0.585367068501432,0.161302117317844,0.301190581701724,-0.311142963820208,0.59936198600058,-0.983803930924883,-0.801534152573457,-0.0989943121871233,-0.189689719944813,0.1411233406506,-0.318211528440191
"MRSA_Ns_1 (GE) - TPM",0.299807613984187,1.73407746861296,1.95458412151604,2.16195260992643,-1.59270451799393,-1.44608086380633,-1.5008638991205,-1.03279216517259,-1.32760725640961,-2.12325601235803,-1.81038334882657,-1.7845856172904,-1.52166614161467,1.85835120357315,1.97081352516222,2.14673929666255,1.71253040628038,-1.08741270215575,-0.695604469282528,-0.967571859459355,-1.58498865932904,-0.691425926762879,1.02217988543961
"MRSA_Ns_2 (GE) - TPM",1.31925068194758,1.42173513642591,3.15245618320654,2.24681937022546,-1.98093241948487,-1.47737828137985,-1.58509771684925,-1.27506154839209,-1.0064217650269,-2.20732232260927,-1.66228043773203,-2.0189646665835,-1.80024504973846,1.3070756607104,2.06358898507103,1.78218831397487,1.34058148200861,-1.28720649616787,-1.31081441351118,-1.81059991838152,-1.17480940060986,-0.373026672732428,0.736654764937931
