"","PA0198","PA0403","PA0459","PA0527","PA0927","PA1076","PA1326","PA1381","PA1429","PA1455","PA1456","PA1546","PA1647","PA1673","PA1789","PA1920","PA2136","PA2500","PA2501","PA2753","PA2867","PA2967","PA3278","PA3309","PA3336","PA3337","PA3457","PA3458","PA3465","PA3572","PA3573","PA3613","PA3614","PA3839","PA3840","PA3879","PA4328","PA4348","PA4351","PA4530","PA4531","PA4572","PA4577","PA5027","PA5183a","PA5207","PA5208","PA5231","PA5232","PA5427","PA5474","PA5475"
"PSEUDO_Li_2 (GE) - TPM",-1.26895048736578,0.00208600541162861,-0.667971044518453,-0.0463699621793535,0.500816788519284,-0.923502554839467,1.85337237757929,0.266256913622017,-0.870067198097055,-0.921960806956857,-0.645334867223898,-1.19935185899829,-0.422080803154905,-0.873615678903397,-1.17974878823863,-0.3380805030353,-0.961104530120088,-0.554609189259208,-0.608774974034809,-0.888366636716682,-0.915601869018679,-1.28420568924982,-0.281608147300982,-1.41263597298883,-0.956283966991592,-1.04492340310888,-0.538528537403525,-0.15633549733619,-1.11150506257408,-1.0997853219631,-0.686935591305962,-0.99974989501709,-1.03327110000819,-0.967319790643933,-0.868136083984749,-0.860307129282975,-1.09389210940005,-0.952199695121704,-1.41982193183842,-0.535525205381279,-1.19200120057711,-1.04239947373188,-0.227981671296164,-0.967245410100391,-1.08638891181907,-0.948421526721937,-0.688455283956294,-0.913361577177114,-1.1074182375258,-1.02365919702745,-0.790377067632152,-1.14263504337265
"PSEUDO_Li_3 (GE) - TPM",-1.08548018459615,-0.97439427470477,-0.635503343470301,0.000434676700668928,-0.819012452020539,-0.936967648549258,0.987995277245536,2.78356535723526,-0.912595126039459,-0.740472817130316,-0.759624380314768,-1.15562215415255,-0.657571147290686,-0.823453785636739,-1.06807034697294,-0.11649436859225,-0.935728230252015,-0.504213841251668,-0.478061980136995,-1.2316866320527,-0.966249424128682,-1.07475033722293,-0.311678540833909,-1.38522271365394,-0.909587893745802,-1.00073666044423,-0.677225887844306,-0.293924654867442,-1.19103155013645,-1.04077561153226,-0.820155268891925,-0.966709072855323,-1.10283949874653,-0.750779798549848,-1.45074742199863,-0.55969957842253,-1.18389355170559,-0.842438675716564,-1.39639317370907,-0.353569379295384,-0.854329468617644,-1.04136815252955,-0.219363713489619,-0.980436501197556,-1.08931968075068,-0.808523301130198,-0.341944238714295,-0.830010847107332,-0.959868411311456,-1.01702056104998,-0.983892933031214,-1.09985126323386
"PSEUDO_Mig_1 (GE) - TPM",1.19211503039446,1.98398989919233,2.44904246009991,2.29693443002357,-0.528274139023963,1.99758663843409,-1.44460515781632,-0.0305962607805103,2.41525359058019,2.90527542692484,2.1257798505134,1.93111801489229,1.71361724336833,3.03282400622464,2.15138411019354,3.44700808632198,1.62444171614666,3.35127831759439,1.54262691387335,1.62999137524194,2.41778693337853,0.7969934648183,1.12737427297074,2.17612912251853,1.37950924603964,1.3846940609563,2.1870904176135,1.733925006157,1.86228302341724,2.39154651267687,3.14476042931711,2.96838605940302,1.6147404599248,2.27878334349664,1.70173365223159,2.90969778993254,1.06230232088748,1.6719544154997,2.15207141156315,0.433694917299866,2.41215187440323,2.03134171200463,3.33433749972906,1.38540796324433,2.39230365643423,2.48125452980104,3.12696518411037,2.53048432107482,2.86428339368215,2.89627946780171,2.85250474129283,1.18541988393361
"PSEUDO_Mig_2 (GE) - TPM",0.649198003312895,1.63651317543324,2.62264957786417,1.41450900741147,-0.673611636155807,0.513467784612853,-1.06958773849519,-0.763736675815473,1.65260626329509,2.0016489971291,1.11851138806613,1.48963735481302,1.67280548756728,2.1711022864124,1.68689802937947,2.61240188684419,0.942830857835599,2.07288691409465,1.36742258092987,0.763685291307229,1.71629503659949,-0.121044608566818,0.855638048692884,2.85631162887776,1.2052893189673,1.04286742935579,2.12156587381825,1.0294368919426,1.42166361573045,1.98721095974029,2.7681985949468,2.07960531063006,0.923651454499542,1.68269190153475,1.14530357565343,2.37431156466525,0.836665188057887,1.34364275605682,1.63461831475197,0.81866604514479,1.42004472777847,1.90129394416102,1.2462415318094,0.921727061955791,1.23374970202372,2.28814838250001,2.07954596920503,2.44694304989802,1.81683723785711,2.95358488264606,2.34491903272093,0.830638800672614
"PSEUDO_Mig_3 (GE) - TPM",0.557529351936193,0.747258242752432,2.10448294317839,1.0376647658381,-0.678619987297819,1.0874621457792,-1.88374001596997,-0.36712957209384,1.49138627574827,1.57923688879576,1.46795537992566,1.24242556145171,1.46685439206611,1.83960632690784,1.35339675067806,2.07659553132259,0.474285464279867,2.18359080186701,1.43960133072646,0.571315636483754,1.33795201856088,-0.0262073386064049,0.48647481693067,2.53321922325168,0.747218206998597,0.515567610240637,2.5000620400058,1.11619578803531,1.33171181311617,1.40118301953129,2.42012955757062,1.83683431293329,0.759609582515952,1.31421669712261,0.805304313787246,1.66672789910379,0.519304428787679,1.2654330948966,1.68386417021047,0.0531949531810053,1.42819765184783,2.36677576664171,0.843127058609062,0.850266698022181,1.33921926682329,2.02370672125328,1.78547789461975,2.31289278160973,1.26862923040418,2.16389264524665,1.8907730187065,0.556823783672948
"PSEUDO_Nd_1 (GE) - TPM",-0.0570080825105864,-0.974545024521884,-0.12407232124999,-0.501170303095105,0.805379665169137,-0.145990782077878,-0.838785778518223,1.17925828080975,0.595520113316493,-0.795422014217486,-0.450157979369374,-0.849344952256778,-0.305722582365441,0.775590418577522,-0.194119915691647,0.0544491880064677,0.821735322109674,-0.658670458495171,-0.168663757237821,0.617626746175283,-0.904995668605239,-1.06792978964087,-1.30761741572546,-0.137144422689502,0.752149242877336,0.387005057285345,-0.976171377005733,0.492256039798574,0.466300842528504,-0.630500551047669,-0.366814463587229,-0.511002569118793,1.31654349207866,-0.427085009764141,0.603473479667216,0.123133186233364,-0.472334473462848,-0.837302534237626,0.234392130806062,0.952807132295161,1.40912626668127,-1.3603384094248,-1.24149039587626,-0.481607566389205,-0.0488888452102955,-0.673551450229615,-0.777362002049636,-0.339390204311044,0.353692787525218,-0.870091893406718,-0.497903299139748,-0.470508640162678
"PSEUDO_Nd_2 (GE) - TPM",0.749883915565114,-0.530968710305643,-0.199656102417504,-0.737773251714972,1.22932515679547,0.110277741948186,-0.399543666401845,-0.547571269408506,0.595192648494857,-0.957200490871414,-0.571497938262204,-0.717527995401104,-0.707737447429683,0.761592322327831,-0.115050330065906,0.694970287730707,0.787895188795623,-0.378999760413389,1.18328705100916,0.671927182318686,-0.868790827766986,-1.05593629116179,-1.36068078201013,0.197711205109779,0.98597730987177,0.3983966945165,-1.0363082782043,0.558319094599814,0.571057951695237,-0.218477027211908,-0.346424222612064,-0.339776718146908,0.876142887653101,0.08396788847507,0.749811052607508,0.177492240338359,-0.0899633938105317,-0.821211351174291,0.413898769012237,0.260247239607923,0.0469074983245318,-1.04666971243729,-1.21988959268103,-0.121871607342415,0.564895648725038,-0.259321581169854,-0.860347255312471,-0.363949743520144,0.287559995229631,-0.794685520757804,-0.432602881578255,-0.253351223982957
"PSEUDO_Nd_3 (GE) - TPM",2.25700221009869,0.206387204236962,0.0905144050363585,-0.614663679262834,1.64393749229711,0.0190506740180506,-0.632782626942163,0.342906392364215,0.622931425492737,0.115337306500001,0.348342741127161,-0.554860094511069,0.0630150424406176,1.0684952672029,0.0598919851760923,1.14101305642515,1.01365496049161,-0.345768699636001,-0.103702380687012,0.542739105071207,-0.750132988434595,-0.809828046120775,-0.927893957737273,0.112463611698872,1.32052458661589,0.740966910922968,0.0520450524887479,1.57844177495887,1.04677277543525,0.514679887686281,0.261988979350526,-0.153554920950384,1.62625736976831,0.439613858294714,2.0256137762457,0.286049980982713,0.123091432738278,-0.632082283364777,1.45815921037819,1.41852287588617,-0.500498139651606,-0.849914531923384,-0.900022270557098,-0.107551134209103,1.32430595359366,-0.257668029413634,-0.6226546968018,-0.0498704789984834,0.83523160596445,-0.66355903979664,0.0493086590503479,-0.130515242829739
"PSEUDO_Ns_1 (GE) - TPM",0.112018570610488,-1.07963913957381,-0.340489774426752,0.00902246559534832,-1.22453344824587,-0.343539379895984,-0.383770090576532,0.849974450669425,-0.523302132017554,-0.70268564830754,-0.32648535134864,-1.48980510386882,-0.961050423533315,-0.820543296888394,-1.0291887496959,-0.408836411912838,-0.780509569363404,-0.558887873296825,-0.617494158631042,0.831026411764995,-1.06036313379661,0.0693098151801672,-0.734384161093524,0.531865376243209,-0.443928616390645,-1.04760625060182,0.127192071018461,-0.336679616216541,-0.493748044767592,-0.40841308269746,0.360185373470966,-0.784158122650246,-1.03780394435936,-0.283023870744557,0.0225669185078503,0.268856232580163,0.843944425019109,-1.01656769923262,1.4386382346513,-1.33569339402248,-1.34340135774497,-0.257898514613553,-0.203744089427059,-0.770324000205217,0.020792018015681,-0.886887722095357,-1.17107346776544,-0.555746378799084,-0.682316714075494,1.0026092507574,-0.176015453036924,-0.480213582761827
"PSEUDO_Ns_2 (GE) - TPM",-0.100980899661992,-0.49169791047476,-0.55880696453795,0.550585048894549,-1.58864646282135,-0.703941869874809,-0.0886873459529091,1.04462138791258,-0.822126710363261,-1.07125192512901,-0.535113543708725,-1.51097913502776,-0.86192134496765,-0.893214526839747,-1.1618473603479,-0.467202476753663,-0.734635134891569,-0.573343412645328,-0.247309044676755,0.267617500001002,-0.978730397841986,-0.382968673690967,-0.463079502648579,0.00236982521749998,-0.295653927932539,-1.06903098524972,-0.743887066063697,-0.662100088817059,-0.426842267877122,-0.738935813133062,0.0598070420287624,-0.995391043997711,-1.02854361587263,-0.280931928724289,0.257720176553491,0.191563203032681,0.220501382980361,-0.999488991430816,0.351532024368875,-1.22237914762758,-1.3136245053932,-1.19178891695248,-0.0111974604452162,-0.800891878583005,-0.401019340502042,-0.97959082306103,-1.18379482400299,-0.768532494746206,-0.899485212132549,0.276993786612595,-0.490575626295545,-0.74928980789421
"PSEUDO_Ns_3 (GE) - TPM",-0.0981843204942991,-0.57480065440217,-0.523135008754665,0.194362672739072,-1.55144216188881,-0.655325154134033,-0.868936900071204,2.33724798956576,-0.912241007521854,-1.06510332441358,-0.816758570972564,-1.46620600556638,-1.01100013181515,-0.855311012529811,-1.15171235209008,-0.395713635160779,-0.969649345523995,-0.398630215948525,-0.51396413117035,0.275103811670431,-1.04940996602837,-0.474459521227687,-0.455482811505607,-0.0537004778751846,-0.486431972963843,-1.06804219864841,-0.711996778502024,-0.427226493240318,-0.521308480443871,-0.774447042670162,0.0158746252457558,-1.02742966066602,-0.913440199635711,-0.235636732407468,0.242649356918068,-0.127795190532577,0.156416553125128,-1.01126470007175,0.286912407427857,-1.35437998307426,-1.44847830671672,-0.69985301032154,-0.175899850548086,-0.804366738933692,0.0906988506177396,-0.976498531581751,-1.1271498568888,-0.821516774147602,-0.848140825066137,0.0331804593962688,-0.762388021801846,-0.787722912536622
"PSEUDO_Oss_1 (GE) - TPM",1.57143693520687,-0.844891956312526,-0.54612216036865,-1.11229555000856,-0.405285754592506,-0.397719391737167,1.61317966008301,0.0812960247419478,-0.277251957798466,-0.93025104264384,-1.05373965139664,-0.43859866018481,-0.917656430276072,-0.728781695025175,-0.572697628548233,-0.465652192371818,-0.939580757941183,-0.087293786134989,-1.10037832265806,-0.853454794259013,-0.963935696840528,0.436752932701679,-0.658464419083384,-0.0287061987695867,-0.363741202616153,-0.576785179254036,-0.487540570153262,0.453871357216825,-0.849486910230022,-0.947718368955622,-0.580593940195769,-0.206288998956914,-0.338344742446742,-0.641096967671076,-1.30636197943188,-0.503297694468548,-0.870791617762695,-0.716297268309523,-0.546231154549122,-0.742744531637086,-0.757768299723984,-0.148549739775885,-0.694035483525542,-0.568234108709447,-1.38187083060907,-0.517463296448983,-0.769903891251274,-0.0438326784591524,-0.67332963039669,0.408307043761153,0.252347006770104,-0.383216448443212
"PSEUDO_Oss_2 (GE) - TPM",0.640592210708568,-1.29527898115262,-0.678665042604861,-1.0303776132688,-0.575890072105275,-0.737061091221549,1.77613780329649,-0.3356411309398,-0.807241844139792,-1.09208421215692,-0.930422129319843,-0.866274531234131,-1.27515502879972,-0.965381357065798,-0.903153240839661,-0.775954376247238,-0.974638925501869,0.0775338037158492,-1.27134069882646,-0.78765195838526,-0.992758362130409,0.229645824494889,-0.84317158292433,-0.591451446861186,-0.698210636691123,-0.8687294272966,-0.371829038617989,0.624773534157797,-1.16859721169564,-1.16298371519865,-0.747132912547566,-0.582202111666517,-0.663579605512465,-0.86418366716228,-1.19945099097815,-0.606795480864463,-1.33820930249888,-0.914667241078075,-0.921125517010463,-1.28254539861645,-0.988043210589674,-0.426631659857776,-0.703385348401078,-0.834240887280764,-1.15875289014286,-0.872708515119418,-0.754755545312274,-0.423195918339237,-0.87939948836695,0.0501766730645565,-0.218470157840349,-0.805755583223738
"PSEUDO_Oss_3 (GE) - TPM",-0.30851807833361,-1.0249761510009,-0.637835697671962,-1.47487085727137,-1.44893270506245,-0.590369797871119,0.671185476879358,1.0461463747775,-0.792187859387191,-0.693446134821776,-1.3875834086415,-0.766038483877547,-1.28600090975644,-1.01139659426671,-0.876957597396728,-1.23709193592725,-1.0733029837603,-0.397564429460658,-0.976835116404192,-1.14975995446485,-1.09287106290724,0.0404800237554619,-1.04582075539345,-0.296749200376701,-1.03162850117403,-0.848580549786109,-0.723076880323562,0.00789257078788299,-1.01943752174996,-1.27027371467643,-0.819185170351123,-0.56560695816359,-0.851334605880951,-1.10252030335889,-1.93595319589071,-0.87709600264143,-1.03474786999723,-0.966440741677745,-0.683488802449126,-0.528700375249665,-1.6399011652721,-0.305184606475956,-1.01959343532533,-0.873119227205216,-1.32404467500909,-0.940706649196911,-0.825029852429287,-0.542516990025727,-1.01728971908216,-0.072413753449137,-0.604013239229806,-0.9181268315398
"PSEUDO_Oxs_1 (GE) - TPM",2.17325472773054,1.88115453857412,0.24415090374569,1.38769091793475,1.08904793384981,3.46248054563545,-0.592568944389206,-0.332745595295372,1.72728425986614,0.514546633432805,1.72766918676942,0.783311972243818,1.55033706081559,1.0887385388344,1.66252701677518,0.975218969784536,2.66313736146506,1.42399255971946,2.22583246418648,1.88305873878824,0.938348087498196,1.64166118829022,2.48990359400897,0.873857253745358,1.62512061773255,2.05904957508705,2.00060560554123,1.93561198416898,1.26965726183107,1.04314484531626,0.754994018809615,0.843429220943448,1.83294541735893,2.36858572848336,1.41915095325557,1.26844521689404,1.59061242810135,1.79896169831858,0.60894621854499,0.87904234206719,1.25358270885679,0.565439359832908,1.54197559501907,1.54728435220963,1.1923820875608,1.22942763686556,0.95562807114671,1.47469373277692,1.64880072059862,0.566252951167947,1.3199098959676,1.89064471609142
"PSEUDO_Oxs_2 (GE) - TPM",2.28885748725657,2.55927542442877,0.573608484439997,2.27109970596612,1.80527346480564,1.81202153823514,0.20634806623683,-1.08880832204234,2.27834716761154,1.64498808096958,1.08541337002197,1.43653001057147,2.80030538617625,0.910738754212007,1.81472616311987,0.779648100657903,2.16784102332433,1.98952469442771,1.63629800184099,2.37283903141499,1.27280812644316,1.81787062329289,1.81508901595292,1.1097296902635,2.91252598611732,2.69950214860231,2.20988605224934,2.17434421124735,1.44450431805569,0.945946878081106,1.10178688815327,1.47261227352638,2.36633749604088,2.45372401986325,2.44065969638743,2.23371428702101,2.39972180117633,2.58249958437163,0.951806618184816,2.34037906906793,1.0196954110275,0.46478254824525,1.93469056601482,1.94358805232009,1.72575192282563,2.28737254706019,1.06451444718732,1.77544264554941,1.82132251211553,1.07344277326745,1.24965274357027,2.1724526562234
