"","pWR501_0130","pWR501_0134","pWR501_0139","pWR501_0140","pWR501_0142","pWR501_0155","SF5M90T_140","SF5M90T_579","SF5M90T_903","SF5M90T_1036","SF5M90T_1143","SF5M90T_1248","SF5M90T_1640","SF5M90T_1713","SF5M90T_1718","SF5M90T_1735","SF5M90T_1771","SF5M90T_1955","SF5M90T_2166","SF5M90T_2167","SF5M90T_2169","SF5M90T_2252","SF5M90T_2253","SF5M90T_2313","SF5M90T_2692","SF5M90T_2737","SF5M90T_2868","SF5M90T_3067","SF5M90T_3376","SF5M90T_3377","SF5M90T_3453","SF5M90T_3481","SF5M90T_3670","SF5M90T_3750","SF5M90T_3838","SF5M90T_3839","SF5M90T_3840","SF5M90T_3909","SF5M90T_3910","SF5M90T_4170","SF5M90T_4249"
"SHIF_Li_2 (GE) - TPM",-0.899393786098856,-0.236455890332593,-1.07976823611982,-0.507416865333428,-1.52575040403128,-1.35765678813042,0.341388062032989,0.210805505682572,-0.161049602017297,-0.720519326436358,-0.746049176403398,-0.712013451145938,-0.0252600519937956,-0.980989097591357,-1.01559843013774,-0.0720404632257549,-1.08569436479846,-0.329947339862491,-0.41051098000367,-0.377347197414958,-0.851738846642437,-0.221201199241939,-0.336768370414611,-1.08617859467036,-0.18329707877978,0.40178608560325,1.78774470959057,0.976100096572993,-0.296287839503933,-0.493997036091776,-0.523484461924136,-0.395347581342899,-0.384732372110971,-1.05066548363401,-0.404304850195242,-0.3660858389422,-0.414913883387217,0.0793753269298963,-0.369728243697229,-0.557356616941286,0.512216827370264
"SHIF_Li_3 (GE) - TPM",-0.332429220171478,0.0227148147629472,-0.519298949129153,-0.310319419480091,-0.913972196706385,-0.98389962347401,-0.459003074324595,-0.323766774696656,-0.6576931217432,-0.671265582611749,-0.794685016707215,-0.536858697232819,-0.661094634793259,-0.676196364432897,-0.772730202372971,0.0201392728081169,-0.913511882877012,0.255854007135573,-0.472691314707736,-0.377315503241015,-0.529491043625681,-0.25159332757089,-0.387208288886674,-1.1518920482229,-0.18329707877978,-0.303212417119273,1.10099178149048,-0.00597101896314754,-0.296012975559146,-0.367888469163816,-0.435333264001655,-0.398409900232553,-0.00521790638572755,0.286358546976605,-0.445907872701865,-0.403861413948935,-0.419683917192823,0.176115020022553,-0.351199542999022,-0.938058203089213,0.0279450342219664
"SHIF_Mig_1 (GE) - TPM",-0.592493306611455,-0.00899522153840658,0.24200889813078,-0.340518477288925,-0.205210222031178,0.13229289410132,0.309828088052772,-0.633447931771114,-0.7272398929035,-0.0425380526783972,-1.08794711119839,-0.823347055551944,0.276341934369102,-0.13727701717405,-0.634942750047932,-0.240491081722005,0.310097161251793,0.606543723318987,-0.250518312983725,-0.261738641411795,-1.30212328614233,-0.495507869657583,-0.312691422272236,-0.770588732491603,-0.18329707877978,-0.0692178189401584,-0.515764641803475,-1.0058894170496,-0.685943727065579,-0.57415541593474,0.468110571735429,0.162008172917889,-0.144123434692793,-0.471794557829921,-0.112221974709653,-0.32003374339233,-0.202895548523532,-0.264196693597967,-0.191483757677273,-0.938058203089213,0.910072469697754
"SHIF_Mig_2 (GE) - TPM",-0.782484050832546,-0.236712154301382,-0.143756729113877,-0.430432372566877,-0.0908848265519315,0.00249983103905224,-1.63777583154113,-1.03340739260797,-0.700711677302194,1.11880937512837,-1.08794711119839,0.0624445069766074,-0.271270650430042,-0.169344318447258,-1.06028601347135,-0.302824339497137,-1.1559273148627,1.9780461785809,-0.393536322998991,-0.374614260483427,-1.30212328614233,-0.518710121219361,-0.519697645670863,0.0784003653675949,-0.18329707877978,-0.484089551271911,0.954581029221394,-1.16050029096408,-0.0659082951291553,-0.57415541593474,0.60413988493249,-0.241613898382471,-0.63170693759637,0.416098716230075,-0.382478477582626,-0.396257837792653,-0.39609871026769,-0.181920166086163,-0.361883373962515,-0.938058203089213,0.50172902982461
"SHIF_Mig_3 (GE) - TPM",-0.878715319840297,-0.17867150564807,0.172533051755025,-0.451692254045606,-0.326730382183596,-0.164220807294932,-1.06112310505483,-1.42212955739205,-0.698553333209346,-0.453347461741117,-1.08794711119839,-0.674776239807276,-0.265180151815355,0.0374440858252038,-0.880029133410186,-0.419643864933116,-0.817901971972689,-0.274623622374272,-0.439500318694149,-0.402291732990739,-0.100078603620745,-0.30761451080892,-0.578996532856055,-1.18864498697073,-0.18329707877978,-0.380219615583226,0.890439530542916,-1.09062416158293,-0.512616325540736,-0.360218286151882,0.851160728022551,-0.335498104848943,-0.664930822370972,-1.23972960667603,-0.452847122029377,-0.429314935474911,-0.418423355878932,-0.92383054911168,-0.498701326000659,-0.938058203089213,0.392205903809761
"SHIF_Nd_1 (GE) - TPM",0.076533352764975,-0.171904866561448,0.495636552736117,0.458207748666177,0.802926844915921,-0.0168429428634346,0.4321613307154,1.25382738401363,0.462895248313178,0.0364123479216588,-0.38289583177674,0.898568147286203,-0.815246456568952,0.373781113944966,0.955058222291659,0.437468231054118,0.617847455820576,-0.811008840397512,0.724087959732857,1.08593379650475,0.245824668761469,0.0117132901863642,-0.425299493740398,-0.7647884320858,-0.18329707877978,1.11318356042865,0.454469755535428,1.63285687441867,0.206874320754409,0.362545241668925,0.516270134389217,0.458169016539975,1.25252359906886,0.00684301568331635,0.928597899883222,1.38277010254147,1.21045716555917,0.196203153619152,-0.350943394907926,2.20222564444527,0.0572682868471202
"SHIF_Nd_2 (GE) - TPM",-0.0394272479792395,-0.160211933227636,0.418665516667569,0.43110234026362,0.983215687952901,-0.181958279728433,-0.473233489411545,0.497045676173088,0.584578543158749,0.755898286704078,0.0888651624919497,1.04480232897189,-0.503906676756267,0.490163291881616,1.05875823066535,0.602037654411765,0.394152346047115,-0.444161233741255,1.00407867364435,0.589399591883675,0.635655076312646,0.0736271117709986,-0.450727449955778,-0.283565799044436,-0.18329707877978,0.840249551036239,-0.675893196089499,1.25421192015998,0.431718846714321,0.391512243354445,0.72105267466985,0.510425287214415,1.22219306204314,-0.244768529514176,1.25725788097138,0.895721458651111,1.0037885141532,0.785917897206729,-0.110266783406032,0.0447225926282283,0.0906681610846713
"SHIF_Nd_3 (GE) - TPM",0.324375848642744,-0.332133776966765,-0.179355612588332,0.0687107606477309,1.01114342141955,-0.294024559881466,-0.197234392790952,0.620057831091566,-0.112304075542598,0.209917756783017,-1.08794711119839,1.26285627508343,-0.375512620103182,0.0434286056354767,1.15517152700833,0.317691301737068,0.107951975610492,0.0123121351079846,0.938090036940509,0.882326371094855,1.43499309888765,0.00856250503089862,-0.409139932199569,0.649964881545534,-0.18329707877978,0.790736343398829,1.36638200480703,1.0096203072775,0.958536430068011,0.481326799048204,0.610764219221582,0.770976550433908,0.604026366164211,-0.226375150107577,1.13687718962225,1.14418689628984,1.32323167326204,0.87858407487271,-0.280977245434997,-0.552452611567666,0.35329452100064
"SHIF_Ns_1 (GE) - TPM",-0.261456093324511,0.673688179418704,-0.93608833567145,-0.75572713407516,-0.632059089519422,-1.00031837927922,0.286202359727406,-1.33808331932546,-0.904095933049742,-0.686915718421095,-0.122609524925753,-0.61378253933834,0.130481303821928,-1.07922556989778,-1.10570964745077,-0.404843803663397,-1.34847796100595,-0.532236836622432,-0.460987039230156,-0.401134492232903,0.18146332685514,-0.273794888736497,-0.280876138096124,-0.558238457015026,-0.18329707877978,0.0963169093020217,0.705540351408946,0.451034580697917,-0.0747322843776284,-0.121506311647267,-0.696144409999746,-0.428803649303553,-0.411380879145994,-0.534440821515096,-0.436057452516113,-0.396040020799338,-0.412635749957488,1.40571805326749,-0.0940888141527931,0.495139692832143,0.640024664630234
"SHIF_Ns_2 (GE) - TPM",-0.524674019679023,0.805726191023392,-0.558530729853287,-0.629766628194039,-0.531022988260879,-0.844122251773814,-0.008718573957136,-1.26980570673251,-0.842756347625877,-1.06336080568776,-0.591863807620762,-0.540649240988395,-0.137376781333736,-1.08091652337766,-1.31374203316919,-0.419922652299998,-1.24235422177574,-0.0795189048604327,-0.43660261955766,-0.422277873563699,-0.812002892292698,-0.293202542108289,-0.349192132201173,-0.695519828036027,-0.18329707877978,0.00574678713085206,-0.529461598158526,0.692213319897355,-0.403254420928166,-0.341540767722574,-0.519792290025445,-0.424982682198132,-0.555985991173289,-1.02273920257424,-0.433201076002988,-0.370784907989065,-0.416553890117904,0.919020133346759,-0.249186734178431,0.16671419503438,0.516907881524908
