"","CJJ81176_RS08805","CJJ81176_RS00370","CJJ81176_RS00490","CJJ81176_RS00495","CJJ81176_RS01400","CJJ81176_RS01940","CJJ81176_RS01955","CJJ81176_RS02200","CJJ81176_RS02520","CJJ81176_RS02580","CJJ81176_RS03755","CJJ81176_RS03890","CJJ81176_RS04465","CJJ81176_RS04635","CJJ81176_RS04840","CJJ81176_RS04920","CJJ81176_RS04945","CJJ81176_RS04950","CJJ81176_RS05060","CJJ81176_RS05685","CJJ81176_RS05690","CJJ81176_RS06230","CJJ81176_RS06390","CJJ81176_RS06480","CJJ81176_RS06660","CJJ81176_RS07360","CJJ81176_RS07740","CJJ81176_RS07870","CJJ81176_RS07970","CJJ81176_RS08055","CJJ81176_RS08070","CJJ81176_RS08315"
"Campy_Mig_1 (GE) - TPM",-1.06666025914305,-1.10572766730343,0.26239806561185,0.0430000282224539,0.272568108347845,0.447377365599845,-0.39099850346969,0.1002684404818,-0.38086179014383,0.167075829922282,-0.329715050347101,0.605421919942767,0.601229213885371,0.300784892803399,-0.0291898086977251,0.634680984493324,0.0597928498209422,-0.0785916279787479,-0.179627547077559,0.271946414360097,0.279535500281396,0.23652034353792,-1.1758251311685,-0.418142196268321,-0.0544924096478815,0.102744152222163,-0.412618013452229,-0.176639490970893,-0.455681410959996,-0.71068180545981,-0.0949308647969501,-0.553861090440932
"Campy_Mig_2 (GE) - TPM",-0.719400440308653,-0.170618603611485,-0.0916264984564642,-0.0669439483903383,0.47940034666258,-0.035110215773862,-0.0676564380130621,0.222831715447114,-0.823456034239799,-0.0381735804677683,-0.358103949259876,0.105224374136802,0.1659349098608,-0.531584471445863,-0.683319394665728,-0.0543816226116921,-0.0820810279844554,-0.517008677759641,-0.547214537247318,0.715023429780867,-0.0736451056154398,0.0721747307147745,-0.744983200972382,-0.319327514693855,0.093792741439389,0.0325289735544675,-0.413925231100646,0.36021991059227,-0.514821248305327,0.00763092543112409,0.322690294491022,-0.267470355862272
"Campy_Mig_3 (GE) - TPM",0.0883429333112215,-1.02229411744579,0.965904845811759,0.587336986596689,1.56353011773949,1.86723102387943,0.601781510851397,0.949817899215849,1.30970770480547,0.988072801766798,1.29651817595307,0.777633729932723,0.654150095044887,-1.86628907867841,1.40053954337133,2.23367270543276,1.35969328555743,0.925568850264525,1.34177168334774,1.21070941601711,0.591250638185856,1.09568394146993,-1.99870502357363,-1.46071096867652,0.433536914224326,0.357747787047081,-0.267998844295722,-0.911553339018233,0.419735618090864,0.582937618208039,-0.564200307498728,-1.17483305788951
"Campy_Nd_1 (GE) - TPM",0.130153127595215,0.103123989631068,-0.397377454498908,-0.503184093816388,-1.24407934696435,-0.930563645605257,-1.47592158348259,-1.36936193179471,-0.31569459179803,0.486799981934616,0.662964240988151,-1.30530728446024,-0.0586531761626408,-0.00949478021353623,-0.59379558138604,-0.636084354162522,-0.142003042804526,-0.20316907654949,-1.19639466155637,-0.821603729365887,-1.00880958559613,-1.87225949359522,0.681164485009506,-0.00200887704503003,0.587696512041982,-0.773394650404534,-0.287861683905723,0.73297937930591,-0.827420998915007,-0.619698481913134,0.50452926498794,1.96967931932858
"Campy_Nd_2 (GE) - TPM",0.130547190077507,0.0898571997274215,-0.464425033357585,-0.440292886851909,-1.21171089723133,-0.898314210021115,-1.02359832923451,-1.29855814293152,-0.913997496320038,0.401748122234438,0.322548450340804,-0.954959677898679,-0.0082566731593209,-0.16899769800845,-1.32968024441122,-0.894874998283398,-0.364295919677746,-0.567139008963952,-0.998437602221456,-1.00091425268838,-0.672258275960392,-1.90379007756858,0.47295329218106,-0.281004850232395,0.758800290382779,-0.570479810618772,-0.547286740149957,1.05327796411416,-0.673462824564953,-0.958354969360097,0.0290183049265671,1.35241541598576
"Campy_Nd_3 (GE) - TPM",-1.73712487508763,-0.578972868030044,-0.809527829981351,-0.840018936695884,-1.57052444427642,-0.658072812148947,-1.58749922212905,-0.806642061207163,-0.578312949482928,0.479741986956281,0.652850732371352,-1.62084769643315,-0.527350023793188,0.378567331266469,-1.36658065983545,-1.0890119310846,-1.26444515240614,-0.81120139418784,-0.625641741755418,-1.24460481534789,-1.02109399900647,-2.25797822957443,0.836968405491927,-0.319061557170444,1.24523391993165,-0.137196440481107,-0.47890545802008,0.440078207193784,-0.762318330747807,0.19965902551862,0.45156036010583,1.64735377690258
"Campy_Ns_1 (GE) - TPM",0.269953584536343,0.643676696515346,-0.383535144425865,0.0853953703258945,-0.048394514477117,-0.2822836460927,-0.841129376241379,0.245586039314285,-0.403130994529984,0.353679240332904,0.146012608510774,0.091378204399742,-0.0754728229832794,0.325211306404058,-0.490869532362818,-0.607003091691027,-0.35517001157983,-0.137531069540373,0.0157163135726782,0.355187305883279,0.204843580902262,-0.102279268774303,-0.610448818802336,0.58408195750435,-0.138136689663266,-0.0908449967233193,-0.263869390138813,0.632293163734444,0.299924056137353,0.620618111003628,-0.469719057836723,-0.810320505238043
"Campy_Ns_2 (GE) - TPM",0.0712698843351971,0.405421267106658,-0.0674491986830278,-0.355448814774653,-0.364266557431961,-0.438174361738515,0.499468635846994,-0.0390582912288604,0.00523083675663242,-0.211641048698996,-1.28491605468499,-0.12676687955565,-0.797585394329271,0.285915817337724,-0.404684963797494,-0.174980819525094,-0.905886589887439,-0.311405227829884,-0.465774816502232,0.201307260736596,-0.394852656519245,0.430637973685954,0.48357197910429,-0.0158460513784423,-0.663454585956596,-0.222872700737233,0.0205183441578876,-0.221157396465038,-0.0500205552634768,0.310314739458858,-0.671916311132025,0.115821832608598
"Campy_Ns_3 (GE) - TPM",-0.62181715857593,0.192188941795152,0.526181935753098,0.225107636778927,0.384752233380262,0.354611333637032,0.662138783930649,0.663066577101072,0.812646677591855,0.302322358280252,-0.275440606926252,0.250368354224656,-0.169547528309625,-0.606575722237131,0.0240899578524042,0.318802785948554,0.260540225706715,0.417225797848805,-0.210088404090575,0.718622544562687,-0.455296706172908,0.559512158657192,0.656004915711811,0.219762648704385,-0.594145660577777,0.784255979769694,0.1395331306849,-0.499433725359324,0.724829356052988,0.911993527746939,-0.853393789349809,-0.622516901906
"Campy_Oss_1 (GE) - TPM",0.394827710930296,-0.210570620161886,-0.234826276105673,-0.119156699402755,0.0681694748100045,-0.524393923881177,0.514940412531247,-0.0980058416765486,0.0576694997335709,-0.249123312819778,-0.677990348609623,-0.680993975508211,-0.698405729560385,0.00354965018260628,-0.694426239679451,0.36742256972175,-0.0345154994952809,-0.388546122926699,-0.0187264702260308,0.406726682668702,0.0387424833200092,0.299677154524148,-0.300166023756009,-0.0889243133174721,-0.657397832554186,-0.320190880893148,-0.393593664675689,-0.118688172886107,-0.112994768824625,-0.0161418768542205,0.662041284339581,-0.623014409537805
