"","BPSL0001","BPSL0020","BPSL0026","BPSL0027","BPSL0028","BPSL0029","BPSL0030","BPSL0031","BPSL0032","BPSL0056","BPSL0209","BPSL0225","BPSL0226","BPSL0227","BPSL0228","BPSL0229","BPSL0230","BPSL0231","BPSL0269","BPSL0270","BPSL0271","BPSL0272","BPSL0276","BPSL0277","BPSL0278","BPSL0575","BPSL1075","BPSL1117","BPSL1342","BPSL2137","BPSL2185","BPSL2275","BPSL2278","BPSL2283","BPSL2284","BPSL2286","BPSL2287","BPSL2288","BPSL2289","BPSL2290","BPSL2325","BPSL2400","BPSL2401","BPSL2619","BPSL2712","BPSL2735","BPSL2860","BPSL2901","BPSL3292","BPSL3293","BPSL3294","BPSL3295","BPSL3322","BPSL3323","BPSL3324","BPSL3326","BPSL3328","BPSL3392","BPSS0317","BPSS0442","BPSS0544","BPSS0759","BPSS0760","BPSS0761","BPSS0778","BPSS1852","BPSS1982","BPSS2009","BPSS2342","BPSS2343"
"BURK_Mig_2 (GE) - TPM",-0.398791387060603,1.7481248512008,-0.962369608021134,-0.809236472750898,-0.758673302256823,-0.864258802770534,-0.930661972060477,-0.800542695311055,-0.736260364632699,-0.758488060805457,-0.92177619891791,-0.531857354492718,-0.609513736674815,-0.64715885355511,-0.744868849271012,-0.822884050749084,-0.784977894426568,-0.609888450342632,-0.759221041906641,-0.821248458684323,-0.757323111669946,-0.782450340020045,-0.923088512408656,-0.68521815246264,-0.359555672064022,-1.22667043106333,-0.928424646529909,0.319739664291707,-0.151034933377447,0.666706351866957,-0.825565329501081,-0.584689955448123,-0.835001347455697,-0.550224767743485,-0.654712527049336,-0.812420040176921,-0.853048489828787,-1.04663340592975,-1.12511428014015,-1.10217701796398,-0.697059898294077,-0.52148970932479,0.0174492806130699,0.0356729380103445,0.368523220120829,-0.537142414708546,0.757276634535917,-1.46427819535791,-0.750481802911844,-0.703215393583289,-0.75499200236721,-0.766474512667385,-0.797112042079503,-0.878747980293977,-0.631384667422274,-0.649104307364845,-0.47206252058753,-0.0823407399902017,-0.347299063572157,0.928961005321441,-0.377191014402071,0.677037146496146,0.0201173461642213,0.641151572451066,0.0109316293848826,-0.474574498031611,0.315875128540168,-0.406576182850793,-0.158714289711839,-0.924617407673487
"BURK_Mig_3 (GE) - TPM",-0.038147063541707,1.97965076549132,-1.1242285307834,-1.06533759622762,-0.978315333900758,-1.1095593165717,-1.1505414062591,-1.02820336460459,-1.13303965549954,-1.18788022996128,-0.046412188338832,-0.772836486911727,-0.794659359690799,-0.87981527182889,-1.04420559496276,-1.02051898192607,-1.06674498668508,-0.817053139740506,-0.993449862541688,-1.03498856795329,-0.878005123023354,-0.921494013235464,-0.994686243051448,-1.00492263186351,-0.816785709265273,-0.377126754423652,-1.00056415045898,0.0976776874737665,0.034110067149933,1.30925064709443,-1.02330576057702,0.079930359693462,-0.41682656974589,-0.505553939258466,-0.646489738991548,-0.712012848018212,-0.878841719139643,-0.954271004181479,-1.05756508499083,-1.03688732450628,-0.453044324031042,-0.390623387271422,-0.0130038327426062,-0.161628906603545,0.517338811834276,-1.02486157160811,-1.28319908326364,-1.00613303640085,-1.01231442454211,-0.894773235583884,-1.0658023584256,-1.04305326275913,-1.0359917273738,-0.99210486747031,-0.800616380644884,-0.860357669863775,-0.721228756530996,-0.607975193506202,0.636781394686852,0.418944905932097,-0.685397425309629,-0.210427843061698,-0.166670645074315,0.0718845009000193,0.0814457061302496,-0.0513743581543842,0.136528882983185,-0.423038487763641,-0.305604385403696,-0.775377390287727
"BURK_Nd_1 (GE) - TPM",1.83478481956761,-1.36078325091762,2.35160911469367,2.48693194253538,3.32433855413396,2.467522569161,1.90725178897887,3.18773546729168,1.91978486420786,1.76465532192589,2.31425806135102,3.20911918630464,3.34473574165084,3.06247835110433,3.00856162260338,3.10509202706998,2.89746578182023,1.59123018496744,2.381951123422,2.90283295776348,3.44109390320304,3.33517128399605,2.59079632098242,2.85755415439665,3.07665251545804,1.44516716808826,2.29050052416945,1.56807113215866,1.74079823816603,-2.16427259225208,1.36601038114366,1.6307293410148,0.994734381712776,1.03410067050377,1.11604311230348,0.698006688804209,1.07810067342326,2.02690082528256,1.69968903095895,1.14048866985113,1.58865784312005,1.3751003395007,0.918483143630951,0.452737506785296,1.28368169770519,0.780567205110325,2.3505044646797,1.26217000427418,2.66932231228018,3.32058904922573,2.51601361757264,2.28186084843607,2.77185054710223,3.15342780724368,3.20244264691642,3.19756616560873,3.32781350983591,1.02046214689184,1.19739404579119,1.95197311267903,1.65860745837196,1.29982410814905,1.20335705719082,1.97863168148751,2.36783738526442,2.31548090987506,1.59642315188355,1.22514486915152,1.26099857876236,1.46980306869537
"BURK_Nd_2 (GE) - TPM",0.362327721870318,-1.32772117568475,1.38780565136354,1.87617925967987,2.3762742322617,2.63001359252819,1.86786705448616,2.26442652976505,1.68844346268635,1.01375351034552,2.00040887082136,3.05326036303097,2.64128434818644,2.82256224165118,2.57566824376488,2.30921027339068,2.00308226278051,1.24443773664378,1.9778640396742,1.91871060194212,2.58646754776558,2.59669264899646,2.4893684903521,2.37277410855464,2.92113326334318,0.585929454923879,2.87598633989152,1.92529333871451,1.05592852476156,-2.06609703556084,0.786135816248786,2.32145078359355,1.68409424174417,1.96498443031835,1.56426158914813,0.816948273188604,0.984182526238677,1.85766292013164,1.35583773386469,0.63747182395155,1.56604122675077,1.14846094708561,0.882796028995529,1.40146590649185,1.12375209914828,0.926670598042657,1.60546018281711,1.4909312833277,2.54310055972349,2.72021664872914,2.22896973250618,1.67392909655592,1.81652719612865,2.40253290067742,2.7143394125885,2.6954465382796,2.97397123878764,1.24229254805092,1.49479284647465,1.22805154696351,2.75277516897731,1.20272894241289,1.24282757281378,1.91748330359707,1.48114524108912,2.85851092676904,1.52120936066266,1.39055098813532,1.1901975245867,1.48532174631082
"BURK_Nd_3 (GE) - TPM",0.0326930292222322,-1.30391265618644,1.13044549757796,1.34713095291578,2.11573463210336,1.47958991623845,1.41286503757434,1.48470993138601,1.52525143773162,1.76484820813296,1.15975091686694,2.42580096640723,2.42300299727641,2.07436137977577,2.12793846547155,2.01762344057866,1.71627582558036,1.50291739116151,1.5764000355981,1.60019080551211,2.21880580218868,2.36423750816926,2.34019136653749,2.04081746856355,2.51246424714328,0.801584813858207,1.75303488110444,1.55425216029735,1.68860835939429,-1.83537753442264,1.13700157073343,1.23404238253213,1.01062918718489,1.80300739114085,1.52531492250885,0.415924148910997,1.07106252609209,1.64942418043055,1.06772121336057,0.590825623802,1.41664845520712,1.02601082842519,0.733600330437838,1.66779163030049,0.815491747569176,1.27393041728712,1.26560837556115,0.521867187523455,2.01209414699476,2.27744021618233,1.76798747519468,1.29894442286505,1.53351017023126,1.90579042983865,2.22913094303884,2.42406780464939,2.27388292524114,1.72780996232281,1.36679805421115,1.35203079971348,0.662943829604796,1.07847407064427,0.832036302514181,1.44287483615469,1.7557280642404,2.20621509797089,1.05701641860104,1.37107917341997,0.807053149819281,0.880555023602545
"BURK_Ns_1 (GE) - TPM",-0.430848516441315,-0.35150996373981,0.176426021758463,-0.0812271713020964,0.426179215885931,0.422371739638522,0.547372979313949,0.0372123653602527,0.0647571726975623,0.327486840033812,0.95206489034791,0.0835158936949571,0.292689601404744,0.299023553580443,0.282976487807543,-0.0296907317081997,0.361651844018118,-0.42109462029506,0.849857775993813,0.261635609424719,0.163681799495491,0.0545346878305253,0.216709154124761,0.512173840470979,-0.0409461112692073,-0.357047490400673,0.0143245312953341,-0.160997791187753,0.911963347441943,0.129978813514173,-0.218352706627826,0.363927421435406,0.538549402078611,0.114511182456252,0.682741591375832,0.714090288393371,0.430210053453512,0.914387002031839,0.671688088100556,1.62690751448958,1.01930877897817,0.147769351319557,-0.591604167097669,-0.0916303122871578,0.318252502497681,-0.0370117113987135,-0.0973727586613346,-0.764314081299407,0.0610541988412374,-0.0252030133954088,-0.0724645959665117,0.18429134882268,-0.171513046308264,0.0473371837809457,-0.192804682784168,0.234024485061186,0.042244299148106,0.612949120945845,-0.133489543743922,0.693151861440951,0.708661133008869,-0.064629555476539,1.17159793444427,0.558840428016684,-1.06907714844244,0.0286792103958327,1.00345397990396,-0.246794353703518,0.417556382050369,-0.309301576809746
"BURK_Ns_2 (GE) - TPM",-0.0646106525374072,-0.606625793958933,0.243446163891352,-0.0282150113779754,0.246349210993144,0.071684443787762,0.263235190469711,-0.128693444983762,0.0187781836577588,-0.434468134246035,1.40733358066674,-0.0808233606744482,0.235413672395344,0.141759362548431,0.292403965854535,-0.0805417814167626,0.361063329476655,-0.235738696821165,0.292404842167245,0.150002477034568,0.135166278510957,-0.00474806266478966,0.163472841520889,0.430404509435916,-0.153318087004033,-0.238133210194211,0.0979134717658413,0.121339236126298,2.09118704724319,-0.102488419246246,0.854319083178541,1.26626800877848,1.13852674984624,-0.0907040071992203,0.375607881309097,0.463467388176266,0.258568745575733,0.534383974480756,0.443120189722663,1.0324796848114,1.19939072889246,0.197363618033592,-0.239140876302862,-0.25569410584907,0.11128681058203,0.543940581408474,0.14688766344879,-0.706052996248269,0.0561342277398311,-0.173991659754593,-0.0500240527430154,0.168876376102751,-0.168315563873695,0.110953266728185,-0.245949099557076,0.239780413296424,0.0446838329185186,1.59025366431761,0.543783140818374,0.942633904561324,0.249670135994408,-0.435223276372787,0.615474012535915,0.46983341385095,-0.675510028466964,-0.381505280260613,1.07030538933374,-0.0528882039224903,0.254857917202299,-0.233694457937403
"BURK_Ns_3 (GE) - TPM",0.737853981620994,-0.528380676183886,0.071472380893352,-0.175408376459504,0.110597816710772,0.121839656917299,0.548094495199293,0.203026315632669,-0.156473065848907,-0.183527190923415,1.05407756742429,0.119311642626138,0.258643894823693,0.285099212206284,0.467841646276902,-0.172137231280376,0.346936897447261,-0.27234854583996,0.476436402436615,0.230735178544451,-0.147804310862547,-0.161058790824669,0.216864880562085,0.49441312211073,-0.0751785826014569,-0.419482177039501,0.44034341987597,0.2452329399274,1.60187212431948,0.232419372010924,-0.157279523148831,1.255878436181,1.09337508693041,0.113246332299345,0.165208256847982,0.126008369686972,-0.0660630378872056,0.0534006874081904,-0.0754421783723992,0.356675329088313,1.16806510814097,0.0786344822568673,-0.399332126486282,0.203500498753753,-0.0927493878592849,0.626839037030061,0.160184596076447,-0.613654819613282,-0.00586253575338972,-0.188548045904749,-0.0981550504490901,0.00997610042349293,-0.222843201890706,-0.117737543805864,-0.283429369337794,0.0954288013204267,0.0585147733168185,0.56741880975375,0.843630232508181,0.289511026067789,0.492811749157467,0.0339610639290707,0.174149508021198,0.131956734242335,-0.679856673304799,-0.0253879198891959,1.0294181381334,0.779898037734424,0.672666990598638,-0.0706521158586052
"BURK_Oss_1 (GE) - TPM",0.112338901435938,-0.549814271367171,-0.704945028384807,-0.422095025774443,-0.33138769944769,-0.112988423401366,0.122914957612408,-0.290212007629492,-0.0646392164953709,-1.53924142945108,-1.44091440666962,-0.385348887028765,-0.48859471278055,-0.374409326880544,-0.551273143069677,-0.523852103114528,-0.766195699589042,-0.765446975658151,-0.531527274759486,-0.724125644748927,-0.360879217441381,-0.155526940333604,-0.239331253498008,-0.317360833598843,-0.268984839181854,-0.985302801628548,0.954800508584981,-0.926757484232703,-1.53218079695843,-0.334421070575152,-1.07996883303622,-0.169509932735927,-1.28693459752783,-0.347431237949815,0.0203548367160145,-0.00795187425142646,0.226287589466657,0.342627127279077,0.777406977624638,1.20750352714297,-0.992852574503328,-0.633094241677234,-1.20552407732318,-0.618249845173809,-0.568044922561761,-0.866929564795367,0.0561258352335251,0.805608187563364,-0.180624527910693,-0.249494422389871,-0.360624140187517,-0.824224382779314,-0.579684402186511,-0.459202333989634,-0.496274388130823,-0.468953333798691,-0.334410743125099,-1.4612927549704,0.569454657504175,-0.0761680215850434,0.215303155862512,-0.903567985203753,-0.945275152301712,0.60551078399521,1.52099515772908,-0.33775716681575,-0.814816463383293,-1.39836635907445,-0.96543411847679,-1.36592599968845
"BURK_Oss_2 (GE) - TPM",0.0771300687783581,-0.639865505693583,-0.820060464806373,-0.316635642758774,-0.328359413679926,-0.382396385971559,-0.259492116123795,0.039396766545203,-0.169252584530588,-1.46430318427941,-0.775924873285996,-0.4029228091618,-0.428465757981223,-0.453304177290907,-0.448411454710569,-0.385539663088204,-0.593957941023512,-0.669959946281964,-0.706292322361334,-0.674109654842317,-0.370576864622304,-0.260250288213538,-0.26834680463707,-0.327155920177541,-0.369091308030865,-1.06012888080397,0.0342864717345515,-0.869543249663117,-0.989411426522704,0.0462588993688478,-1.33545794769261,-0.195683620370989,-1.25396106860365,-0.261971853939343,-0.0629596847251523,-0.103796767869313,-0.250714615240568,0.113253794059624,0.433114731968585,0.939525327907082,-0.582714142668102,-0.696999218994825,-0.87938674359799,-0.237664183455737,-0.648865447191063,-0.829075898414545,-0.490844422120993,0.625173730987771,-0.323908754330319,-0.318326297687424,-0.527886262460874,-0.749279415840642,-0.631390770920273,-0.515377315387595,-0.549290944250754,-0.429444178722026,-0.267123354907033,-0.576454857245847,-0.619471373847337,0.157600201020518,1.02730333343111,-1.06970866776649,-0.899693834323119,-0.0460044937289525,0.635771150696748,-0.577957325576598,-0.551470681739922,0.283021642973491,-1.24706602846082,-1.2580438944413
