"","ETEC_RS00200","ETEC_RS01565","ETEC_RS02185","ETEC_RS03140","ETEC_RS27545","ETEC_RS03175","ETEC_RS03445","ETEC_RS03610","ETEC_RS04155","ETEC_RS27655","ETEC_RS04360","ETEC_RS06140","ETEC_RS06510","ETEC_RS29835","ETEC_RS06540","ETEC_RS06685","ETEC_RS07605","ETEC_RS08365","ETEC_RS08615","ETEC_RS27975","ETEC_RS10865","ETEC_RS28140","ETEC_RS28155","ETEC_RS11585","ETEC_RS12005","ETEC_RS12010","ETEC_RS13910","ETEC_RS14460","ETEC_RS14785","ETEC_RS14810","ETEC_RS14865","ETEC_RS14895","ETEC_RS15185","ETEC_RS15440","ETEC_RS16280","ETEC_RS16505","ETEC_RS16515","ETEC_RS16570","ETEC_RS16595","ETEC_RS16605","ETEC_RS28525","ETEC_RS20035","ETEC_RS22235","ETEC_RS22670","ETEC_RS22810","ETEC_RS29085","ETEC_RS24475","ETEC_RS24670","ETEC_RS24845","ETEC_RS25030","ETEC_RS30255","ETEC_RS25235","ETEC_RS25240"
"ETEC_Li_2 (GE) - TPM",0.0737107689312037,-0.109528156334153,0.258766801532652,-0.606905403380126,-0.346884634253109,-0.467046645214525,-0.610015173022436,-0.462861649849914,-0.166666666666667,-0.258152681322988,0.0950203910782556,-0.721050160028855,-0.47297016602567,-0.187230179855274,-0.565099357513148,-0.397723474639724,-0.735806400077969,-0.405340264036932,-1.00034105866869,-0.188150674015304,-0.418939133892191,-0.569846191685896,-0.514570326798447,-0.514456425268468,-0.607218216664695,-0.177585455034967,-0.39358647273797,-0.685135990181531,-0.125157799769728,-0.242763321806407,0.0670928084644357,0.222512228591849,-0.360228811387961,-0.461875813495737,-0.616533007086697,-0.310193263316431,-0.780680397985228,-0.682943665795662,-0.523915743098756,-0.50432483376862,-0.596545567471229,0.137859306674906,-0.450281729674396,-0.527406005849318,-0.195373988179197,-0.318755272236655,-0.449685373208091,-0.733887233483528,-0.434458896420264,-0.618300270557625,-0.218511670068206,-0.603456129435213,-0.735389553223683
"ETEC_Li_3 (GE) - TPM",0.645385511595227,0.434935761085674,0.247420824798724,-0.592686785827705,-0.332809278420925,-0.115347555134255,-0.785200275072283,-0.462861649849914,-0.166666666666667,-0.258152681322988,-0.453408589863225,-0.721050160028855,-0.47297016602567,-0.187230179855274,0.0173704456261994,-0.144455386478664,-0.367551481361418,-0.625795080061234,-0.262399462069324,-0.188150674015304,-0.793895717362803,-0.480768066398747,-0.514570326798447,-0.640415517750524,1.02418865082249,-0.135305712533511,0.0625103489692647,-0.0135139142495991,-0.512128124742423,-0.863112521907193,-0.550342340293544,-0.673784016654892,-0.340167765025642,-0.595361165598957,0.450890790920964,-0.494535171506786,-0.868204997900828,-0.896101732518102,-0.523915743098756,-0.433348227116011,-0.596545567471229,-0.491891463019901,0.133785336741471,-0.233216366035769,-0.189922769184902,-0.397104360625214,-0.815769865878603,-0.484963336950668,-0.813391939202117,-0.618300270557625,-0.109991732102734,-0.42282535106892,-0.527755699284288
"ETEC_Mig_1 (GE) - TPM",-0.160847760165332,0.796369285580846,1.05605432478191,0.793008708444034,0.751029191263403,0.952058261370606,0.95521094341992,-0.462861649849914,-0.166666666666667,3.12039302625578,-0.813852506764338,1.29873106821743,0.876688904789389,-0.187230179855274,-0.209417296766469,-0.397723474639724,0.750101231059817,-0.980801373865521,0.996387346143783,-0.188150674015304,-0.793895717362803,1.77198751125528,1.47097340965577,0.226683676710526,-0.607218216664695,0.23477562259847,-0.877119577367346,0.565807790390652,0.603799508608472,1.12226923270429,-0.262897194130977,-1.01822234369509,-0.273277040422667,-0.595361165598957,2.62606687449649,0.537916965111139,0.602404062157076,1.4915864855968,0.209421737823334,1.36162608543548,-0.596545567471229,2.37764352809142,3.08478189195228,0.193156232927681,-0.117871314252222,-0.397104360625214,0.721989725612185,-0.733887233483528,1.62682031132241,0.0548397815955853,2.63444069467641,-0.11755965121013,2.00334651607468
"ETEC_Mig_2 (GE) - TPM",-1.0997068300439,1.73165211921708,-0.185440659954611,1.23437524043546,-0.290356591006258,0.713477743977554,0.151217964893653,0.330145091779906,-0.166666666666667,-0.258152681322988,-0.208913729804653,2.07930776224031,-0.47297016602567,-0.187230179855274,1.60328499184018,1.30253201902667,-0.117758294193484,1.10454317130459,1.98176620410896,-0.188150674015304,-0.793895717362803,2.40922816535504,1.13716295703855,-0.926115663821088,-0.607218216664695,1.79254752341562,-0.877119577367346,0.30978661133686,1.86343270656517,-0.0373132547870347,0.0148145384351538,-1.01822234369509,-0.23367391396149,0.648494301162876,0.33176684379599,-0.494535171506786,1.1707444065668,1.09016733229433,-0.523915743098756,0.164968163492101,-0.596545567471229,-0.045230801510497,-0.450281729674396,-0.927635465431445,-0.133292298565265,-0.397104360625214,0.889871198913774,0.937204554928353,0.741077396750076,-0.618300270557625,-0.49817199553915,1.41758065373634,0.685429969292015
"ETEC_Mig_3 (GE) - TPM",0.36323722455318,-0.61270029678795,-1.06957409529074,1.91469591144688,0.0585147716978266,-0.467046645214525,1.31576878350943,-0.462861649849914,-0.166666666666667,-0.258152681322988,0.319273674092641,0.328034143275112,1.6300885112413,-0.187230179855274,0.319923848514224,-0.397723474639724,1.57955679451985,-0.422785401266631,-0.270525436555924,-0.188150674015304,-0.793895717362803,-0.799404169323289,-0.514570326798447,-0.926115663821088,-0.607218216664695,1.04015870210285,-0.877119577367346,-0.363806717029484,1.07241030408686,-0.0896997362617967,-1.38351878825692,0.0645871243500167,-0.0939531295809354,-0.595361165598957,-0.533522404418735,2.72302913278698,-0.868204997900828,-0.896101732518102,-0.523915743098756,0.909047906387463,2.4255517789371,-0.681424949181421,-0.450281729674396,-0.927635465431445,-0.123711831878027,1.6541917822389,-0.815769865878603,-0.733887233483528,-0.0135915490587086,3.57728677347973,0.722148832899291,-0.224890598827425,1.73396777497203
"ETEC_Nd_1 (GE) - TPM",-0.228060537789651,-0.238930437666082,0.762919838678362,-0.262486437034763,-0.307695780081913,1.41511250160918,-0.331959019469271,-0.462861649849914,-0.166666666666667,-0.258152681322988,-0.23516507107015,0.70766252442805,-0.114959542060617,-0.187230179855274,0.728853800049616,-0.397723474639724,0.643725330259726,1.20403536910547,-0.499150127868299,-0.188150674015304,-0.236839958508372,1.07633637124498,-0.514570326798447,2.74338357539826,-0.0251738031335363,0.896912635109293,-0.0150840913657945,0.0528379523439056,0.0750055593931725,0.0585117668590743,0.54864607636881,3.22137298515547,0.19324546200565,0.594517145037479,0.590179044224063,-0.220666872843799,0.0420139231658835,-0.104403881469687,0.448709917520501,-0.415494038516714,-0.596545567471229,-0.681424949181421,-0.450281729674396,-0.333032955916382,-0.168972405709906,-0.280704721732554,-0.679801140465075,-0.201029001188488,-0.660617155239892,-0.439743110967782,-0.49817199553915,-0.0234559850764828,-0.366863014075487
"ETEC_Nd_2 (GE) - TPM",-0.703449295521193,-0.61270029678795,1.1732978770294,-0.470313948880228,0.526421814440951,-0.467046645214525,-0.280283269699289,-0.462861649849914,-0.166666666666667,-0.258152681322988,-0.813852506764338,-0.721050160028855,-0.47297016602567,-0.187230179855274,0.443234360039062,-0.397723474639724,-0.108659990463735,-0.678509522134235,-0.579355887464013,-0.188150674015304,-0.793895717362803,-0.799404169323289,-0.514570326798447,-0.926115663821088,-0.607218216664695,-1.20800795332474,-0.419916462926486,-0.31430033546811,0.359104797328876,0.812799241117578,-0.201086928660703,0.741536311296634,0.223619813752433,0.035721983805419,-1.25993466183253,-0.494535171506786,-0.0406190633872817,0.111652761486542,-0.523915743098756,-0.687234456780205,1.8591782320721,-0.681424949181421,-0.450281729674396,0.0184536111630995,-0.166658671028065,0.343722831646617,-0.815769865878603,0.113958755876018,0.529625351917137,-0.618300270557625,-0.49817199553915,-0.398377277108268,-0.539238554124461
"ETEC_Nd_3 (GE) - TPM",1.34255094403545,-0.61270029678795,0.658365133191348,-0.376624582201246,-0.689922756378919,-0.467046645214525,-1.18255475148067,-0.462861649849914,-0.166666666666667,-0.258152681322988,-0.813852506764338,0.59246604422735,-0.47297016602567,-0.187230179855274,1.61740327815804,-0.397723474639724,0.713680102219913,0.649427051482557,-1.07320495537572,-0.188150674015304,-0.793895717362803,-0.799404169323289,-0.514570326798447,0.573275055183401,-0.607218216664695,-0.738868132578245,0.884058069808281,1.02365382189376,0.225023176680784,0.750819144170054,0.620596883489376,-0.114394260536451,0.374751478769515,-0.595361165598957,0.133389079258076,-0.494535171506786,-0.230621480362637,0.268480025569828,-0.523915743098756,-0.687234456780205,-0.596545567471229,-0.681424949181421,-0.450281729674396,-0.927635465431445,-0.139780590625127,-0.397104360625214,-0.815769865878603,-0.0806950929584869,-0.338533790312525,-0.618300270557625,-0.49817199553915,-0.287465026646833,-0.795161558253071
"ETEC_Ns_1 (GE) - TPM",-1.0997068300439,-0.61270029678795,-0.279352827363112,-0.643547363074707,-0.689922756378919,-0.467046645214525,-0.652732479880162,-0.462861649849914,-0.166666666666667,-0.258152681322988,-0.0929424899988084,-0.721050160028855,0.865023865410697,-0.187230179855274,0.252426402218682,0.108828288531439,-0.735806400077969,-0.980801373865521,-0.0854806220495006,-0.188150674015304,-0.793895717362803,-0.799404169323289,-0.514570326798447,0.788137961558948,-0.607218216664695,-0.850429536688998,-0.608645622911959,-0.202195147982562,-0.576958027077604,-0.617084747683851,0.00515135589414786,0.0151244340998857,-0.164827686253257,-0.595361165598957,-1.05440861864311,-0.494535171506786,-0.382238779372363,-0.600220289552945,-0.523915743098756,-0.687234456780205,-0.596545567471229,0.0767323240772571,-0.450281729674396,-0.0943069038703507,-0.204432032557654,-0.397104360625214,-0.815769865878603,-0.733887233483528,-0.74428917656178,-0.618300270557625,-0.49817199553915,-0.121759231493857,-0.833293239472109
"ETEC_Ns_2 (GE) - TPM",-0.790573122344323,-0.61270029678795,-0.952924817333934,-0.553450590311904,-0.373619112013452,-0.467046645214525,-0.713293384839265,-0.0443562074118,-0.166666666666667,-0.109827635140561,-0.813852506764338,-0.721050160028855,-0.47297016602567,0.163350401714842,0.40347799389591,0.275252687533386,-0.735806400077969,-0.823582742506704,-0.285972448339501,-0.188150674015304,1.51100134053277,-0.799404169323289,-0.514570326798447,0.592191591281923,-0.607218216664695,0.0588148692684971,-0.401547063458177,0.380082928968756,-0.276837921355383,-0.42730098368881,0.399893239054652,-0.865683858351238,-0.380401140478609,-0.595361165598957,-1.10874619593204,-0.381218286099653,-0.760600437156295,-0.371979823799774,-0.36294068910874,-0.687234456780205,-0.596545567471229,-0.34567658863339,-0.191620893612369,1.04056617739458,-0.203668070132144,-0.397104360625214,-0.478215956458418,-0.292931960425707,-0.392873296294944,-0.470539165802034,-0.49817199553915,-0.283478435906077,-0.143638587405829
