"","SAR_RS00045","SAR_RS00305","SAR_RS01180","SAR_RS01555","SAR_RS01560","SAR_RS01565","SAR_RS01575","SAR_RS02355","SAR_RS02970","SAR_RS02975","SAR_RS03945","SAR_RS04380","SAR_RS04430","SAR_RS04435","SAR_RS04440","SAR_RS05300","SAR_RS05305","SAR_RS05310","SAR_RS05315","SAR_RS05320","SAR_RS06525","SAR_RS06540","SAR_RS07045","SAR_RS07050","SAR_RS07055","SAR_RS07060","SAR_RS07065","SAR_RS07070","SAR_RS07075","SAR_RS07295","SAR_RS10290","SAR_RS10300","SAR_RS10355","SAR_RS10465","SAR_RS10470","SAR_RS11385","SAR_RS12835","SAR_RS12960","SAR_RS12975","SAR_RS12980","SAR_RS12985","SAR_RS12990","SAR_RS12995","SAR_RS13000","SAR_RS13005","SAR_RS13010","SAR_RS13015","SAR_RS13020","SAR_RS13025","SAR_RS13190","SAR_RS13195","SAR_RS13555","SAR_RS13560","SAR_RS13565","SAR_RS14315","SAR_RS14320"
"MRSA_Li_2 (GE) - TPM",0.16038119839932,1.51017718718075,0.246120332106449,0.218188609065561,0.257108176159315,-0.428734720381558,0.479570835372423,-0.240083782038845,-0.169781266075755,-0.0886693391925878,-0.204316636560737,0.109876031406615,-0.806781133409695,-0.774972385610824,-0.904852863723283,0.244142432653289,-0.227876341879414,-0.39168947665613,-0.202764148834622,-0.549086621797953,0.919717469638681,0.996645446185865,0.0270318546729309,-0.0005673004579445,-0.415433574049656,-0.141528165874974,0.0840957843448217,-0.409952267229326,-0.848046364944318,-0.343799507430917,-0.0851009371628438,-0.401164630527589,-0.762848021485842,0.281035526566069,-0.0641118344408306,-0.283211921112698,0.731398001362265,-0.69418274246064,-0.943560207452403,-0.838201871772147,-0.869830752466736,-0.777229060030074,-0.732969928809246,-0.713625510427541,-0.666635683436792,-0.778779261881915,-0.752181735568682,-0.706377629065682,-0.617024589089422,-0.161170835976822,0.266613713995621,-0.110334714487796,0.05702663634662,-0.10992312868291,1.80308344740909,1.16225541054268
"MRSA_Li_3 (GE) - TPM",0.30989536722921,0.872413595214468,0.13170983383158,-0.137311910623774,0.46932412636928,-0.445493214025062,0.403716562703988,-0.172303487788358,-0.0649535876815211,-0.102212771512459,-0.304216782885723,-0.171373809529316,-0.711635635877094,-0.460292999962744,-0.680300222540888,0.922648436644332,0.191593486916793,0.0055425453897433,-0.369431148700046,-0.472049019742638,1.07462691374605,-0.55736410349829,-0.310322365941778,-0.158374298938457,-0.30590224888291,-0.433623186816147,-0.266578381179275,-0.489646683583687,-0.534063106914652,-0.247019853678921,-0.166238545349609,0.0375476354019065,-0.704221714551496,0.440785268066823,0.832083253039383,-0.25510927090323,0.653672210439551,-0.644911157812855,-0.84750668127877,-0.733882557840692,-0.738368031253085,-0.67448411262629,-0.674574277141046,-0.672505286391665,-0.640437829911793,-0.731021957682634,-0.660373536418429,-0.661011297156676,-0.597001507032345,0.24788683255415,0.164803300324086,-0.185685464313266,0.307521129001669,0.26674332651925,1.26635023142793,0.455771559429799
"MRSA_Mig_1 (GE) - TPM",-0.799155657814873,-0.594728042769929,0.412224543118075,0.0413996862901733,-0.42353212665228,-0.62197553271638,-1.32542521459054,-0.954349622607797,-0.670294651291194,-0.174145819353056,-0.508714223054102,-0.0867679494173666,-0.604434919854973,-0.427426594298792,-0.974339890732229,-0.710855576332908,-0.324938615391748,-0.768860231036904,-0.904314990024442,-0.614188322194044,-0.191894754761592,0.766368080345058,-0.393575246071637,-0.590272609610371,-0.71125702152412,-0.65494768891425,-0.682720218195713,-0.939350172851813,-0.993955624213017,-1.20970104142024,-0.0819864673432906,-0.0661599071645951,-0.453902500009922,-0.441914819390848,0.455616730510526,-0.366278143187661,-0.467170241547377,-0.206475921407894,0.587117976316413,0.201205807576822,0.174906506146328,-0.14376754872667,-0.132820936423911,-0.124214558377334,-0.103697675966222,-0.0160823967817404,0.121223268600891,0.170244909116782,0.371255052636596,-0.22184046359979,-0.571305283841543,-0.845570075941574,-1.04874016495886,-1.18803560235418,-1.01587752815553,-1.0273221625155
"MRSA_Mig_2 (GE) - TPM",-1.50107721693069,-0.00996345913064142,-0.16024271438737,-0.422264411147035,-0.804695212981311,-1.14561136537106,-1.56224582155708,-0.997078070155947,-0.49605097464864,-0.330335584683718,-0.893239817643608,-0.0037135983519184,-0.479920026077553,-0.653079424445675,-1.09116242493507,-1.79469323094334,-1.73164763600405,-1.11043940086289,-1.58654749060694,-1.34535121075431,-0.249756345913182,-0.494883954462233,-0.412909630277193,-0.681461729226955,-0.707701358659273,-0.701873519226426,-0.671824695539557,-0.990324961681109,-1.15684396218972,-1.35035252333753,0.480568312645678,-0.266253557718826,-0.336580132740423,-0.795185143876356,-0.44192280680083,-0.37608229667155,-0.846758983598796,-0.106108029981213,0.676381349604114,0.267039697502051,0.267893475805266,-0.00683797519783483,-0.045596508079772,-0.0204968229616364,0.020935256304448,0.204930286847456,0.216290499155534,0.282591503625104,0.355111922042539,-0.603375368752246,-0.274602161885633,-0.87714584682197,-1.08897079847298,-1.22450113603878,-1.03685446675963,-1.03804321475635
"MRSA_Mig_3 (GE) - TPM",-1.46889797093293,0.889472156107683,0.612316097625494,0.351159867521825,-0.545106321559662,-1.45590022685834,-1.50564906481827,-0.980973871111792,-0.85593732127798,-0.15813502519488,-1.06868313395588,-0.187579269536791,-0.509081442010445,-0.476841855624503,-1.06307068863281,-1.40634616868918,-1.04468901595331,-1.53189020559356,-1.65884238562422,-1.30490228191097,-0.390553079827284,0.475364968695113,-0.385988769294346,-0.681461729226955,-0.651079627525399,-0.671971690574269,-0.583572342952006,-1.08386014873543,-1.10001826387369,-1.18145560451283,-0.647451787309979,-0.304053925318449,-0.267051213018217,-1.37522607551174,-1.06945780710671,-0.376671735111484,-0.735163997247845,-0.0476882743747389,0.541650928855164,0.238761367063905,0.125143336286497,0.0404178179502012,-0.241745536384366,-0.116028586081559,-0.109401837826443,0.182824102335164,-0.0147896222502241,0.0584721040514925,0.223937264370797,-0.692560005623662,1.21313612211842,-0.847332400564613,-1.1184973824503,-1.3081754241944,-1.01904034374582,-1.04195479620546
"MRSA_Nd_1 (GE) - TPM",0.0372887345339445,0.33847269015235,-1.36415290228452,-0.41936700620444,-0.698305304557011,-0.873552295558804,-1.16081837421454,-0.922953867177925,0.195527833451055,0.121772511923881,-0.895458346821643,-0.139218311647068,-0.0743759877843224,-0.0297456181183743,-0.770069454608601,0.82486127755157,0.661456509542752,0.461369190454125,0.574924983381796,0.519141924172627,-1.58539799496479,2.01366204237317,-0.58703746721122,-0.655392415058117,-0.664714782942191,-0.527411030932781,-0.681276867160768,-0.952417103731658,-0.957594542612278,-0.932009043202021,0.454883150228702,0.465496034834785,-1.09674810521283,-1.44187394988163,-1.14925354599948,-0.37035972501231,-0.707303691608661,-0.728528290190072,-0.699425725509616,-0.516624027357396,-0.427012511124014,-0.572304286254623,-0.757966340968239,-0.744265847840492,-0.701451470527557,-0.841128369429114,-0.79754698433896,-0.774854477182682,-0.701712732516746,0.655460555741481,1.03752064267014,-0.486563068583657,-0.669486297935881,-0.383700452582214,-0.988620489376554,-0.962653643305837
"MRSA_Nd_2 (GE) - TPM",0.27816418217469,0.743717669982159,-1.34986692182213,-0.358300980092856,-0.72450327946056,-0.837480601314002,-1.24657610249578,-0.881694037325208,0.0761479356531838,-0.161621651580329,-0.838284421489064,-0.261599518604447,-0.105691761913094,-0.124701698773428,-0.589410603125172,0.106518785741404,0.520299722209491,0.605021524062151,0.290355095689905,0.168118153342154,-1.61091879985949,0.651326138593922,-0.811037607469518,-0.614955045892282,-0.683151011160605,-0.690096291496173,-0.679841593273627,-0.934934012332693,-1.1149835310859,-1.07545267246946,0.395356287367785,0.391790986742974,-1.10964769337068,-1.59961910481673,-1.44145410043952,-0.371609202931564,-0.907250040790062,-0.725737171153115,-0.557345240757147,-0.478700304295864,-0.40767003214092,-0.59988201036286,-0.753283000285683,-0.740879126927452,-0.70266832569059,-0.845627304995892,-0.802405059447658,-0.774511127502209,-0.714442180420889,-0.0870330301276683,1.26212071775795,-0.653365839750992,-0.842990883184356,-0.659916282487741,-0.990898519033098,-0.940709577961291
"MRSA_Nd_3 (GE) - TPM",-0.198099467300046,0.363652772573265,-1.30997304711101,-0.624455645309653,-0.750087124640809,-1.1352656652263,-1.50050364915043,-0.92350890512363,-0.15670739559708,-0.120441721321554,-0.653194002807318,-0.187473241665537,-0.125640214097787,0.35420800708537,-0.903141204820828,-0.907203918510263,-0.5587197529158,-0.258646222568602,-0.244645492353419,1.18247656035248,-1.60428893611871,0.8409270639955,-0.939856915460287,-0.681461729226955,-0.659688200344399,-0.532483004288492,-0.700351299495954,-0.967180478247826,-0.993347929792981,-1.09713865860834,0.225626744511791,1.30356539239059,-1.06854024372711,-1.37877759326851,-1.29770274410359,-0.371169101388505,-0.909531624809214,-0.713193175403232,-0.610898986439421,-0.497890629397112,-0.412617373649416,-0.613098788479744,-0.729164870277685,-0.729320219793684,-0.691075207521591,-0.810949682484611,-0.749320023654531,-0.748079499655652,-0.706780368858185,0.0615431209255411,1.51102194361537,-0.705493211794445,-0.899740554254908,-1.0405388481997,-0.960824468633263,-0.945555569328143
"MRSA_Ns_1 (GE) - TPM",0.982424972800676,0.0580349574976163,1.75268281559914,1.03682525163832,0.669990173307207,0.213808314322695,0.60457614816224,0.998780634471393,0.679594860696161,1.08200797024499,1.22138101816142,1.2676294923464,0.453837014983729,0.809985007519159,0.143363178769748,-0.455277283718978,-0.247930347025475,0.0603156751391115,0.215236159002836,0.328500843499135,0.961644655834008,-1.1230155398224,-0.422278901883014,-0.243655395389853,0.141427851428641,1.04264739435257,0.727136665368953,0.864666855338773,1.7039633078317,0.125467519309597,1.62382442845886,-0.732626906613937,-0.944771212081382,-0.181062987401486,-1.13508167149041,-0.353749717856004,0.857824728542632,0.573937892787287,0.0421191149958115,0.604804394801322,0.43728335438784,0.713250364038488,0.791251321357517,0.735060753300243,0.73762333484842,0.506597493738398,0.739800732754716,0.62642841433732,0.432823711450553,-1.04971364395603,-0.705621902272414,0.846959908987714,0.0942901899364568,0.214243295819464,0.68007518293974,1.52933779811704
"MRSA_Ns_2 (GE) - TPM",0.661576735803975,-0.650566184024193,1.77517771251056,1.68060457489692,1.32854047460208,0.939896325314473,0.604677659618035,1.40994411055173,0.69467603698065,0.844709243244821,1.12883101546347,1.49881511568994,0.103124522783496,0.843857258818713,0.530164216583758,-0.0802162698989145,1.32259214936354,0.585053024199871,0.775227870429786,0.759246305884976,0.63072711999318,-1.19888768032317,-0.258708037101166,-0.279944883340521,0.497162986608854,0.976093953400831,0.967951101122477,1.33209111367058,1.80019394912058,0.361426753119384,0.910777016590822,-0.58738105191316,-1.09719488649777,-0.489042850101205,-1.48018780874472,-0.368994236930773,1.01574424055781,0.513080162147186,-0.206907211481875,0.278258220680756,0.21416394485387,0.400707611042506,0.523469219262795,0.719282343131948,0.78736984165868,0.658130485947218,0.434521088209227,0.573632258064375,0.601138460639553,-1.52302775602132,-0.642157468150889,1.49807708955923,0.243261445178054,-0.384050512148293,0.972903730562776,2.05587182347493
"MRSA_Ns_3 (GE) - TPM",0.820916343138837,-0.244810614474177,1.4917797401555,1.42654434648663,1.28588217547643,0.421955538078149,0.429269310858501,1.23642965557347,1.20404840181453,0.782648930983678,0.410325501642078,1.13429773629477,0.183100472852231,-0.149577840221679,0.422958964345297,-1.03963936678792,0.244694705689495,0.0806356990082404,0.254784783474933,0.437082298108843,1.02956350727496,-1.94790157900089,-0.556915281066069,0.0471134938361292,0.56415876224261,1.11882478506785,0.910413938566644,1.74994741147601,1.22340857942194,0.27003656041259,1.39696445878373,-0.734532670977178,-1.0955668631288,-0.721721437956969,-1.38229063388876,-0.362187805595762,1.43046027428258,0.438323207442849,-0.403943243980358,0.000868639803294784,0.0514250382344043,0.187113006770617,0.207392640354157,0.430979253208861,0.605482487337796,0.32142313471956,0.511052116452911,0.394738833254478,0.416220527763404,-1.3094789064969,-0.854816908497503,1.78085562830513,0.325138652580825,-0.425748791878406,0.822079449249736,1.49667703009078
"MRSA_Oss_1 (GE) - TPM",1.91642487347936,-1.57073547336506,1.21005664344246,1.14822289466756,1.43362598822569,1.5236020668234,1.73818197851776,1.76100400583222,2.37195291454528,2.31888746652792,1.79957733527208,2.61186154446322,1.92985720731198,1.29120592501337,1.72679704306969,1.05512299233888,1.17406975850492,0.890914517818249,0.903291023832876,1.14556189017989,1.90432479234242,-0.0136160225722162,2.37437927402302,2.18523768818501,2.30912022346698,2.57450024324202,2.19583309894544,2.71365789836298,2.01457580461594,2.0164673403718,2.29228371869032,2.04227111800421,1.44268738350735,1.93380647126927,1.96141986923289,3.16336284501781,2.22675520928491,2.12557024971459,0.270313122294465,1.19137604033876,1.37452400424424,1.44787997730804,1.47225176289239,1.81568003444483,1.95644933543773,1.75583959702638,2.10686042338486,2.29494394221327,2.38279483036152,-1.34977694169033,-1.28724065969076,0.793253516535608,1.2459542725118,0.763098837274142,1.60382221628275,1.27898327747762
"MRSA_Oss_2 (GE) - TPM",1.33488058185439,-1.89937273370585,2.1882247184449,1.40442758318742,1.86014199973155,-0.0697427170491296,1.26824458408259,1.99697377186417,1.63795072145426,2.52659290763118,2.18547691674221,2.40900094985916,1.4902484630851,2.37093364088066,3.49763117709386,1.83849476898358,0.789818309529827,2.65625085485368,0.998107861381625,1.28557653662553,1.33732276928556,-2.02474119990211,3.46643195259708,3.42796180319977,2.43510958779312,1.92211667135493,2.83420284999871,1.34252109422996,2.60081613765881,3.04258378982593,1.16246381802014,3.31516139705571,1.5217270160149,1.95401487027534,2.95771060599387,3.83942071788906,3.55911390427457,2.10835267325776,0.746677050142433,0.764448652645014,1.43113070368864,1.49482242538245,1.68610343760654,2.0855297703652,1.93900256370154,1.91065129121106,1.98456073460765,1.89657719590484,2.47773162192073,-1.78289615365171,-1.39117769890448,1.25112037518057,1.93570283344504,1.75766144946628,1.69182833206037,1.32059164996536
"MRSA_Oss_3 (GE) - TPM",1.91117375827063,-1.89937273370585,0.51283279458925,0.765270811705151,1.01028241663404,1.74163291826744,1.56247318947241,1.8394331488885,2.79034508150293,2.21134762305841,0.996795522442349,1.91968180910633,1.28253026135596,1.49310804050916,1.03209793715532,0.989626515767023,0.378495938893089,0.693962260734844,2.20017228738768,-0.0502056754146182,1.48264235059593,-0.774104028039762,1.80406700402033,2.40429317077353,1.94603829591101,1.58847113108397,2.08269066893079,1.7358626692655,1.41252982312232,1.52284778556108,1.92883514357966,2.21056857432809,0.866014504942115,2.29646730527047,1.28427612429052,2.60191222685337,1.55385227843681,1.41857953325435,0.0693451512752785,0.154183570493137,0.385767358802082,0.850329267913707,0.947602167671759,1.02018203745824,1.47936848046398,1.34118333562364,1.6337663829157,1.69467654240869,1.95964718173763,-1.45003748308628,-1.36666722877346,0.5379271555319,1.88781883284865,1.75448165857615,1.22738265891207,0.764798937115718
"MRSA_Oxs_1 (GE) - TPM",-1.09276548909234,0.947432833043363,-0.912077370789551,-1.1557866830801,-1.08829495766933,-1.08242887350952,-0.804357256280434,-0.163359762587199,0.543791618019454,0.590171873911156,1.17311434325366,-1.09747914031228,-1.19436616886675,-1.23222272071692,-0.910190285330839,-1.3448825280639,-1.17497386528973,-1.38312409374175,-1.68165371903409,-1.73182525328903,0.189596833179109,-0.720048633272881,-0.565480930137635,-0.363094351357367,-0.598986220843109,-0.711177508068188,-0.580083758623309,-0.550009539892121,-0.565806113589015,-0.536075224302964,-1.28022123294676,-1.1791092284417,-0.131348028082185,-0.165801579013516,0.0323485750530409,0.184898011579149,0.128760398795291,-0.72915722565192,-0.952074969758399,-0.920186819322396,-0.903861450328806,-0.821034900417891,-0.766545501878775,-0.74963916635459,-0.705316965207323,-0.851492553698774,-0.803434858483284,-0.779178499454664,-0.729035943559914,0.864958776307985,1.23703293265978,-0.848344019520853,-0.737467636435223,-0.60917497442887,-0.570945230128139,-0.555308944943784
