"","FTS_RS00065","FTS_RS00375","FTS_RS00415","FTS_RS01285","FTS_RS01290","FTS_RS01295","FTS_RS01310","FTS_RS01315","FTS_RS01320","FTS_RS01325","FTS_RS01330","FTS_RS01335","FTS_RS01340","FTS_RS01355","FTS_RS01380","FTS_RS01520","FTS_RS01670","FTS_RS01985","FTS_RS02620","FTS_RS02625","FTS_RS02955","FTS_RS03280","FTS_RS04030","FTS_RS04545","FTS_RS05290","FTS_RS05705","FTS_RS05710","FTS_RS06430","FTS_RS06685","FTS_RS06810","FTS_RS07595","FTS_RS07790","FTS_RS07825","FTS_RS08090","FTS_RS08200","FTS_RS08380"
"FRAT_Li_2 (GE) - TPM",0.794302999031723,0.778425970929249,-1.61318103441154,1.38152023130696,1.73913955242939,2.06991005220826,-0.113157691108881,0.6905478905924,0.770890253594667,1.31134993457393,0.673070695648889,0.968834673778994,0.589020892294022,0.752739963934622,1.6815898041456,-1.01813270239075,0.229802692889662,-0.443624998176272,-0.880877346156304,-0.787427218781962,-1.12351595137607,-1.7878709979909,-0.871710512320744,-0.486665638641451,-0.778020438859624,-0.893801627148408,-0.895992640244243,-1.26581619050704,1.61144711692579,-1.07889158374686,-1.908228270456,-1.11759089831771,0.991984424438272,-0.4876788636399,-2.46359154080001,-1.92711703351167
"FRAT_Li_3 (GE) - TPM",1.3421564056601,1.48848367572472,-1.85366988763541,1.57409994716095,1.45050822678386,1.9638811788284,1.07071897274153,1.81688848414367,1.29201530066899,1.76512689374402,0.966602512607799,1.29137541224537,1.06127317426278,1.69318590057745,1.94388597107093,-0.586985428515704,0.189812340738985,-0.649426614239878,-0.508069774734201,-0.676046164779426,-0.961647100351436,-1.69393743792996,-0.91457971710862,-0.435367022403054,-0.325230521894198,-1.25766091467933,-0.437503491497805,-0.977733608352252,0.91693598892762,-0.917256892386373,-1.92091909675318,-0.868978596400577,1.58066281519427,-1.84844092609633,-2.43977655417266,-1.47541171628568
"FRAT_Mig_1 (GE) - TPM",1.79467353516322,-0.644916942711788,-0.00626110481746985,-0.859716915648567,-0.753479002191599,-1.18649476887433,2.4119199664392,2.09048157602939,1.06030459512272,0.739186818793312,0.407204943520761,0.568502381378187,0.606027306080066,-1.04557046840365,-0.422737900724272,0.214493225911998,-0.521316571303525,-0.687098005086645,0.104605233850935,0.171397322564937,-0.862265255373338,0.42805232500283,0.468629197110192,-0.895409810529985,0.44083153851125,-0.236344531734501,-0.533442153422445,1.64725042847339,0.259894924611233,-0.280080100928487,0.612145548245539,-0.469355085195239,-0.3454085339247,-0.655486733062864,1.15508937228776,0.277219757857024
"FRAT_Mig_2 (GE) - TPM",0.318797087711043,-0.612637167904943,-0.246174823106295,-0.738713246855878,-0.63701422808617,-0.906941578643369,0.480110744686774,-0.141998227660333,-0.418802665759357,-0.932827511954828,-0.320044996811979,-0.502979711914052,-0.0984588358619544,-0.166363530493787,-0.327141517543596,-0.0784359541527097,-0.126960094096222,-0.00230243920637777,1.30009826026237,0.482903190981758,-0.0484063660977826,0.191463337269537,-0.229197094160469,-0.0523146044735528,0.753371972159222,0.228749146653649,1.03452966014601,1.43891683914799,0.990531888489482,-0.153958622379193,-0.471352145493607,-0.291646264137243,0.138715097683554,1.14245766835647,-0.547905934173269,-0.445027697761354
"FRAT_Mig_3 (GE) - TPM",0.686446514204983,-1.19608413495157,0.217179606026267,-1.18368441439022,-1.4670136819456,-1.19405459596675,-0.592789848362925,-0.840849922726203,-1.11213175800932,-0.988956146240895,-1.08577574212703,-0.826741557389976,-1.24012353899136,-0.730677361858202,-0.792202184773361,-0.137514704599609,0.71835467396844,0.8308403956334,0.894016449482637,0.482126614335796,1.03897440505313,0.157267378127867,1.3324690256522,0.657841117571181,0.894248731369846,0.728039144330791,0.781461980626268,1.85210122926372,1.10733261904453,0.536671593150864,-0.124499060747038,-0.180824331245657,-0.325420477588584,1.23232501376845,-0.433518007885654,-0.229402634209521
"FRAT_Nd_1 (GE) - TPM",-1.55039900816275,-1.61726246053968,2.56924874391075,-1.39452798618621,-0.778206884351191,-0.444432563918421,-1.642562579397,-1.17367795324291,-1.38667353735882,-1.90252404822061,-1.85545123096522,-2.35824108237414,-2.06930264546784,-1.26032927251337,-1.4594788622402,2.67015217433433,1.85709664853742,0.859426284578188,1.3201595690228,1.70510748843769,0.762178885725168,1.44310212406575,0.748280871393992,2.45543578610593,0.858738184067392,1.66258352945884,0.274935917983793,0.38129087024862,-1.84043904955508,2.32552189327753,0.891928744407385,1.60515629261765,-1.54829611102179,2.11401984254451,0.642150280046643,2.77498118022476
"FRAT_Nd_2 (GE) - TPM",-2.0857039097592,-1.68087118648429,1.35485320892637,-1.45862389358585,-0.687356106237567,-0.218000242580282,-2.44998102722468,-2.03272583749435,-1.9950965683603,-2.20665320742609,-2.01183488121656,-2.22027437219469,-1.90678733699775,-1.11764268562251,-1.5969011890831,1.23807218897405,2.11029837113697,3.6094583050523,1.04735322781264,1.86213468172865,1.49604699168143,2.02845990292742,3.56427719421622,1.67277428084123,1.0608784642027,1.47230229151903,1.8215485650075,1.70689356512456,-1.97975318111211,2.02027812576095,0.513353627415812,0.461587776871096,-1.65547892595708,1.73665239995663,1.13291919944381,0.0633327455176793
"FRAT_Nd_3 (GE) - TPM",-2.02151207088691,-1.78615373451489,1.34872544287691,-1.69825900319482,-0.684888857032257,-0.915627070736806,-1.84421125731749,-1.20028160354472,-1.73221237895876,-1.95782940760246,-2.02653917485712,-2.41495166331261,-2.07566833398908,-1.75087401753507,-1.89783856927655,0.278550224604033,1.29232614505036,1.15857326769268,0.72136505444583,1.37518799264773,0.68637061748206,2.50899344825657,0.940607289795249,1.82426163154495,3.04836009318871,0.334384339147752,0.549129456138843,0.679735410067527,-2.24111940690695,2.89965682281365,1.39946034660764,2.51647842943485,-1.93208785180784,2.27410477475651,1.66157066857632,3.1303407916412
"FRAT_Ns_1 (GE) - TPM",-0.680936808322301,0.80259393864711,-0.0930266077861416,0.223579305715911,0.343067483944067,0.383282263645462,0.192742561731024,-0.334519887401927,0.123771157538571,0.219087873092011,0.288758890931188,0.164835905824767,0.491195987191211,0.226451629355977,0.196216248178677,-0.184383343416405,-0.241427897180889,-0.355047287806499,-0.861627185717116,-0.929064475896059,-0.336198774678899,0.153973232160286,-0.509998382996642,-0.519719698608297,-0.600388659852487,-0.0306493474197101,-0.150264551077164,-0.739312972702223,0.692738779458353,-0.541321241077246,0.438876167787428,-0.642998711645875,0.704779203832986,0.380458033507564,1.0876971406805,-0.444236583232885
"FRAT_Ns_2 (GE) - TPM",-0.0569889058284615,0.160636952423668,0.245372917042202,-0.0049015775742429,-0.646647507570392,0.158716460393139,-0.824109646629038,-0.328761259576046,-0.374454254128046,-0.0335603692989,-0.0952755548960928,0.136100885686045,-0.185292149505298,0.829217920384179,0.571608367845383,-0.0488468544538799,0.664628234020028,0.799679844500957,-0.67422145699441,-0.872555852572816,0.904568887158641,-0.0510783320502667,0.317279983144002,0.00730140167636487,-0.231281215531641,0.602853500979515,1.47040123608548,0.0230558526297802,0.73858011516261,-0.624852406140044,1.08610037991157,-0.574088291615266,0.0132585040858539,1.18987957396002,0.63395100874155,0.142609330029738
