"","YPK_0159","YPK_0231","YPK_0292","YPK_0843","YPK_0923","YPK_0924","YPK_1069","YPK_1437","YPK_1527","YPK_1557","YPK_1558","YPK_1684","YPK_1685","YPK_1713","YPK_1825","YPK_1853","YPK_1881","YPK_2064","YPK_2085","YPK_2109","YPK_2139","YPK_2564","YPK_2565","YPK_2566","YPK_2656","YPK_2752","YPK_2846","YPK_3015","YPK_3151","YPK_3340","YPK_3352","YPK_3482","YPK_3483","YPK_3491","YPK_3539","YPK_3681","YPK_4096","parD"
"YPSTB_Li_2..GE....TPM",1.25381387213195,-0.687651023558838,-0.285691014339804,-0.735003308749745,-0.769225499388336,-0.179858136951313,-0.520710541440364,0.0145320250898357,0.774058362192554,-1.13756765378936,-0.824140068560248,-0.314016654708742,-0.281869321722925,0.798266278998179,-0.951981822216624,-0.651338676980739,0.835591393492704,-0.471653500576398,-1.37196205755918,1.21175965151133,0.778298683732687,1.6605104413962,1.3511217269628,1.90916218821067,-0.0133337703117752,-0.551536819555687,-0.31100497710565,0.236349327601015,0.580015574941132,-0.818966773531372,1.97870561623231,0.079655661950754,-0.128279725374097,-0.312012775149838,0.519925750097833,-0.962486864350163,0.813664681516405,-0.182498207408634
"YPSTB_Li_3..GE....TPM",1.36632870214637,-0.587500529564309,-0.691177379426552,-0.771362016150892,-0.627786903913639,-0.336265569285298,-0.363368231572945,-0.0905245781539343,0.736865480849371,-0.48630372206575,-0.585476192159544,-0.164522859460912,-0.395482504780937,0.848734904891692,-0.935455593567556,-0.885137998856687,0.332384918542164,0.762468632490171,-0.900399138438477,0.660662992726352,1.13047634494065,1.86810341893566,1.39302480513368,1.88169351348551,-0.387033131551107,-0.468298840869193,-0.445289914287824,0.329303172957642,1.994218901501,-0.595903397818865,1.65127857283556,-0.243323359629901,-0.25075940188232,-0.417546324546085,0.0957319716052897,-0.879232422383046,1.15874581136789,0.483302315558184
"YPSTB_Mig_1..GE....TPM",1.57974730394452,-1.63793512458898,-1.33510323551323,-1.01942026381242,-1.37452763437121,-1.49466065840799,-1.15201156129854,-1.58452840747872,-1.55244103022563,-1.53966132439699,-1.40456135039187,-1.34945507159419,-1.43901959226325,1.48667456484736,-0.799393167759109,-1.91293613493727,-1.27275159493887,2.15521394031673,-1.16048648443459,1.44036702284813,1.74116123268777,1.76284654860165,2.23747414448807,1.83017298049176,-1.77956008544456,-0.939612244393066,-1.30877159816788,-1.83628401314636,1.47191439723373,-1.51882111453624,-0.493636071867302,-1.79062310374536,-2.04588201480403,-1.10055524685568,0.954016773149328,-1.41745228458732,0.87585649371736,0.729770980165281
"YPSTB_Mig_2..GE....TPM",1.34880786238883,-1.57998357703938,-1.36535524975383,-0.992296296049274,-1.41360662396456,-1.39350799003793,-0.965890666112193,-0.846164205719697,-1.83808788968171,-0.512917767916868,-1.48723589418681,-1.38007466158216,-1.52107835359864,1.74697814953149,-0.559834834231985,-1.77564249199623,-1.19432287743543,1.75265757767454,-0.934735231504884,0.930749799307197,1.00938244915407,1.71687257772297,1.79685491497639,1.79639890025341,-1.81428864296431,-1.00956265608112,-1.2860301326329,-1.65096767258305,0.969488713906868,-1.49317030643313,0.261864631732122,-1.40042330047229,-1.67699912473146,-1.07260110182454,0.242678120878539,-1.38182310887885,0.486740720092517,0.918151038341972
"YPSTB_Mig_3..GE....TPM",1.95322314560027,-1.34012840032854,-1.37096553215749,-0.984702064501098,-1.48477237553786,-1.47172197470088,-1.15042693339002,-1.38438113589717,-1.89899378910412,-0.85581637366231,-1.52630696655983,-1.3467293754258,-1.7365477023535,2.06705355738363,-0.997650123213576,-1.87298801860464,-1.1409481575137,1.52712496420417,-1.5639969382783,1.55654074831197,0.935120558479149,1.97398488578734,2.07494772885827,2.04507632144487,-1.97130520389465,-1.10302090375279,-1.39979973914579,-1.78233229905646,0.768413092627043,-1.65481150255043,-0.0903006120206138,-1.7095153198418,-1.77573804508589,-1.09294549244101,0.00255916972423744,-1.44334523155808,0.475106249255558,0.930628415648668
"YPSTB_Nd_1..GE....TPM",0.684048256026958,-1.33682950676296,-1.27693363187289,-0.665863192265257,-1.70819673397414,-1.59943681907878,-1.22563414527158,-0.86631232544988,-1.0678560401913,-0.796595559508448,-1.40382651344336,-1.22891359158354,-1.32581586627661,0.837599387348467,-0.604614176797525,-1.07700812978827,-1.53174488532382,1.10251229736399,-0.945545763798258,1.21327208047451,0.802371581710456,-0.554328683538871,-0.0761752301366885,0.457572612095329,-0.847953432839543,-0.848601784438546,-0.647636055002223,-1.35080622350287,0.636110705399551,0.648270448025649,0.458963058332533,-0.651078833649044,-1.08652898437527,-0.902113389170788,1.06971937538305,-1.00785441014692,0.596212942080958,1.03313688375359
"YPSTB_Nd_2..GE....TPM",0.865150732342989,-1.18875347799981,-1.28932297884538,-0.579669584809745,-1.83707959979655,-1.51759257789054,-1.24433609707459,-0.854891810362811,-0.852954465819,-1.56100036417826,-1.12205418828381,-1.31530333337944,-1.59608202814087,-0.149204737040523,-0.452599785631086,-1.02965377160971,-1.65487981974133,0.911790610839881,-1.16854113325861,0.583222170120422,0.419044981600079,-0.362574301778105,-0.197465215787257,0.599814716535548,-1.26181790047447,-0.885065512728616,-0.576959610390841,-1.18590256049665,0.423676101157628,1.0233206225805,0.409239912196016,-1.19088046019826,-1.0131698351821,-0.802626954722593,1.09083532473405,-0.935448981053117,0.227725784234838,1.12884790537523
"YPSTB_Nd_3..GE....TPM",1.10039606152233,-1.15759520301073,-1.33492176829482,-0.530523751872827,-1.7385854329142,-1.51035020783656,-1.17635286167498,-0.667226543022936,-0.147234711483505,-1.85927501389601,-1.15939192303138,-0.437412568126596,-0.903797510611682,0.671734606824322,-0.495668294022825,-1.04634944433876,-1.61803080175226,0.986438713398264,-0.766411922287488,1.38880664630431,1.92007469848684,-0.268470621976438,0.318960137340855,0.951963895604183,-0.652260239602546,-0.700179864834703,-0.439699230552656,-0.603780817056877,-0.286493909135255,1.51044994572933,0.130248145137776,-0.317137563709743,-1.14855688483621,-0.722899427977701,0.095890379963131,-0.80087121908795,0.0121330674905096,1.02626021886777
"YPSTB_Ns_1..GE....TPM",-1.3326150346207,0.850886388126127,1.28748803632466,0.525482838793704,0.129180845802774,0.8735761441185,1.39343473674843,0.394181176291585,-0.374565718945626,0.0128800587658329,0.471139164271702,0.122569776389917,0.525839601823337,-0.632233404092025,0.857265938676254,0.839356165904928,0.22993543847747,-0.255558264118041,-0.149763314725394,-1.02950968898791,-0.983704632082548,-0.991151513910778,-1.0727379882166,-0.755792386318513,-0.151431815444906,0.433193452774203,-0.0312355083404742,0.274660121808203,-1.83768405670201,0.130614454882304,-0.260405566472571,0.230356775858677,0.245893035900194,0.477821610205697,-1.46874895665383,0.672102934715861,-1.99878868708341,-1.40784612228016
"YPSTB_Ns_2..GE....TPM",-1.02531535883169,0.796626875263822,1.12940004266376,0.528785904460005,0.146294966997794,0.493012917177077,1.16531305651964,0.105815558146292,-0.284613913658431,-0.289651491465048,0.569919135248948,-0.0886433168959382,0.70108781564466,-0.114130063739591,0.546325823285633,0.952738840362236,0.501175613462817,-0.407953900758969,0.0710859894250169,-0.885701454599199,-0.284819764671197,0.0151996284829651,-0.513867117491627,-0.33190892042256,-0.0762617852013858,0.267606641490761,-0.304283548307021,0.154964291869847,-1.54056391564843,0.102180645963668,-0.199936157734972,0.406177752701862,0.58335042522443,0.252548254058584,-1.17006619977058,0.445820468522984,-1.83164079279508,-1.12297704426232
