"","SF5M90T_109","SF5M90T_289","SF5M90T_606","SF5M90T_607","SF5M90T_608","SF5M90T_609","SF5M90T_1059","SF5M90T_1250","SF5M90T_1289","SF5M90T_1290","SF5M90T_1291","SF5M90T_1585","SF5M90T_1800","SF5M90T_2312","SF5M90T_2442","SF5M90T_3115","SF5M90T_3461","SF5M90T_3467","SF5M90T_3522","SF5M90T_3523","SF5M90T_3524","SF5M90T_3706","SF5M90T_3823"
"SHIF_Mig_2 (GE) - TPM",-0.903290018677368,-0.686995156954039,-0.652717339686747,-0.765801930880491,-0.831885321910347,-0.729981459266787,-1.07522498461493,-1.12697114722874,-0.499862673985473,-0.47330177807305,-0.53397276355731,-0.592204754214232,-1.8558576763604,-0.462693064593945,-0.745396529337509,-0.714393021490978,2.44104764828511,-0.800835483814015,-0.684458582890009,-0.79619999873334,-0.800476685099606,0.662300751812318,-1.81892965136348
"SHIF_Mig_3 (GE) - TPM",-0.832858856166224,-0.724141355439589,-0.766483922580858,-0.798273545029143,-0.828233410695125,-0.727383092124928,-0.756972517234105,-0.771384063434108,-0.503373758030402,-0.457584392251394,-0.590803317219134,1.35641978491153,-2.50855176581092,-0.936051975946813,-0.867371274671587,-0.597937377761367,-0.691856624347221,-1.21149011615978,-0.697710639524232,-0.666846554322999,-0.84168077224299,-0.12265485550144,-1.78310117750376
"SHIF_Nd_1 (GE) - TPM",1.48266968004968,2.85634549089286,1.77428965859189,2.21643668384019,1.69365993989912,2.06680824802407,0.891976120846119,1.71242534804211,2.00208417313482,2.72465908174576,2.10400076327452,1.49760004036145,1.65305447741447,2.26726370947057,2.6974685335197,2.10959678306599,-1.45869046500844,1.92879819997797,2.77474766617368,2.80241277985958,2.62239081709673,-0.960267820754714,1.40977615528924
"SHIF_Nd_2 (GE) - TPM",1.13156532425455,1.64804191591479,1.7063704507146,1.75107739538759,1.51805705047166,1.83771516132606,1.84913023950639,2.65264742755229,2.04932832737518,2.6432110298243,1.95587393780435,1.35156250646455,0.840127129389305,1.6462679031966,2.04873044994802,2.75560142536363,-1.38101155243883,1.36020266801075,2.68022562405539,2.52201635290077,2.06698719939988,-0.13165355357422,1.36768842294999
"SHIF_Nd_3 (GE) - TPM",1.54025995907034,1.7829339279866,1.96790451887275,2.29252075287124,1.89042670507688,1.65720621883752,2.78971861004404,0.82447823451906,2.6569556114904,3.05790722652815,2.20588928719415,1.79523592945198,0.966786047300698,2.30734232061036,2.58324741861256,2.2695297115502,-0.922915057416218,2.43081576078074,3.39814719398652,3.10746150646282,3.0830989523028,-0.841503334670694,1.98466495628192
"SHIF_Ns_1 (GE) - TPM",-0.226677737110289,-0.210383754691015,-0.346725245712204,-0.467859380990129,-0.457434473596263,-0.486726459274211,-0.121298393859482,1.32804644912721,-0.38649405359055,-0.390164495896963,-0.0935788622753221,-0.204186479764188,0.432133762235339,-0.353957519085047,-0.451623680878179,-0.547337584829349,-0.182034677803272,-0.462336073903179,-0.328309449250134,-0.371750981246846,-0.407305126186596,1.95241477852235,-0.896997678624145
"SHIF_Ns_2 (GE) - TPM",-0.147964089622788,-0.236737749280091,-0.49019970805969,-0.453765289323048,-0.50023458283831,-0.516393611225538,0.00614097854704456,1.10408454005257,-0.382738553682832,-0.366491947566302,-0.0746833047695937,0.284744957400497,-0.639182552733917,-0.975574113196459,-0.489878070207277,-0.154646345712564,-1.09113721816599,-0.863175241223175,0.123237760090101,-0.0599717864930258,-0.177882122153774,1.07238755295679,-0.554776630925534
"SHIF_Ns_3 (GE) - TPM",-0.367580897391901,-0.481583188096808,-0.582813440726376,-0.537169245226558,-0.550341048606994,-0.569607144850436,0.0544904840425181,-0.0419239858453674,-0.461830336277084,-0.421800796815718,-0.344506212966163,-0.343158464596879,-0.710403258583714,-0.729389289033455,-0.673441431740471,-0.400710306438831,-0.869869322025636,-0.293452069630657,-0.306963825348274,-0.339647093377061,-0.375193210763216,0.636203151985389,-0.84772728082688
"SHIF_Oss_1 (GE) - TPM",-0.150586427158757,-0.261786445855201,-0.505640410646433,-0.5875303834926,-0.670615522933169,-0.663352185987859,-0.60079331583679,0.214447412946957,-0.294113600066885,-0.312483105822159,-0.190739748402944,0.495676038744502,-1.2692982594089,-0.81528386333167,-0.348051616414535,-0.524804501276385,-0.237259407255362,-0.121566736471181,-0.187907181015854,-0.2424516726363,-0.101769794410514,0.145212723249423,-0.605053353958647
"SHIF_Oss_2 (GE) - TPM",-0.194767915576891,-0.382380441461639,-0.554460206735256,-0.58305684243605,-0.646559007424746,-0.663396134744749,-0.401529608976075,0.544934814936199,-0.260889161420743,-0.273672906768962,-0.158961901107198,0.403246593547274,-0.833805333736008,-0.804487010218469,-0.341707049152564,-0.550560451203144,-0.515761994267123,-0.691981850755086,-0.215810034680952,-0.242570330017814,0.0123061896306201,-0.321700115185623,-0.737017673940198
"SHIF_Oss_3 (GE) - TPM",-0.178499439317165,-0.0387283833411506,-0.55586569785522,-0.604459463016285,-0.685411467029332,-0.636262241060063,-0.384533006036915,-0.0486206381109657,-0.204809349266941,-0.392676057334636,-0.239544914979206,0.441705411584842,-1.59397089694849,-0.527615824774555,-0.31041310386785,-0.525966961669126,-0.713231743056323,-0.454922317879856,-0.119561709587182,-0.186575673803599,-0.287618483315363,0.918531601482739,0.0102531074372213
"SHIF_Oxs_1 (GE) - TPM",1.76529401004112,1.73360978691244,2.4207558139475,1.79404085911143,2.31903408483339,2.03857057212003,2.68218161052523,1.04620544797639,1.06579018587321,0.591256950002615,1.32770256577795,1.68471377960928,0.93354356968588,1.72393688387063,1.07407899498648,1.83916628963678,-0.983519527218414,0.749214727606893,0.783404441512425,0.844819742707258,1.24049474345247,-1.51596889860366,1.68400756432561
"SHIF_Oxs_2 (GE) - TPM",1.80220060284099,2.23593803021028,1.6276504203588,1.77285858535305,2.05075306996677,1.78886058409637,2.26432803091775,1.34816291855647,1.85995354157499,1.2747042504961,2.19960206223353,2.22167488077817,1.2025688267509,1.32872878778941,1.44150213144635,1.43312580482734,-0.638052827371912,1.39924154047331,0.712651205448069,1.33746985972096,1.64790556463498,-1.64188377190562,1.50588264561781
"SHIF_Oxs_3 (GE) - TPM",3.02615523439736,2.41535533924334,1.7462775916109,1.4389603946838,2.0605276604122,1.82619775017288,1.56490421433086,1.93278217152191,3.06677007771761,2.0212306839811,3.01111946050047,2.72939568532938,0.803526100040952,1.68287872147513,1.66600827006544,2.0378551874666,-1.10375962842538,2.11520785402423,1.21154902171149,1.51872582349126,1.75096012269611,-1.20655778657953,1.88274967883345
"SHIF_Sp_1 (GE) - TPM",1.88049656353425,-0.392660502245655,1.81449469716788,1.55654507966289,1.46413423477679,1.6849596695509,-0.292238704938258,-0.627273047496167,-0.20437547599239,-0.282534823132523,-0.16374676935514,-0.0178017322154249,1.4219541089404,-0.16393056737165,1.21556533750038,0.753515848452167,-0.846682779590527,1.60476623868899,-0.00434373303489393,0.0684780683449117,-0.00258138611104731,-1.64263181392152,0.00746039830487798
"SHIF_Sp_2 (GE) - TPM",0.737861771937064,-0.461216932207828,0.927243529467244,1.22772518995309,0.978259812641502,1.17846581839195,-0.980356083181546,-1.12700396844661,-0.173499699245308,-0.248409966123839,-0.385277268223347,-0.100972027748973,0.305006360082657,0.0956849619966841,0.6841305090272,-0.0552833458964354,-0.623338623065227,0.436678893737134,-0.0966308488337245,-0.0163926574690856,-0.1995203960463,-1.03494056446694,-0.0672566273902608
"SHIF_Sp_3 (GE) - TPM",0.737815930108347,-0.495052112519642,0.939119484510957,0.926552459972982,0.745420793798215,1.03010031911741,-0.656122409083588,-0.923935040172918,-0.17719630541114,-0.273220889425326,-0.286218099449094,0.185039431615371,0.00953477282709448,-0.292103408325942,0.4102611740659,0.485147141614419,-0.884911672766079,0.704840365552748,-0.0612245714610658,-0.0385408831646764,-0.049944299059383,-1.06597803074362,-0.459322229643689
"SHIF_Tm_1 (GE) - TPM",-0.825978938894304,0.140205756446861,-0.594322421386504,-0.485051636564465,-0.67765462815731,-0.5046736456222,0.00380993230751226,-1.20286569264844,-0.48748728376907,-0.421849564173421,-0.513774809611859,-0.794706386604396,0.852764930439177,-0.0375865769257377,-0.186584813618738,-0.72898940042171,1.14721133536832,0.156098603611414,-0.72360240757679,-0.671911036861487,-0.788189719241053,1.48352611350689,0.453980011207891
"SHIF_Tm_2 (GE) - TPM",-0.860598922768516,0.130949910804666,-0.446204110984034,-0.554752492684736,-0.644863413649389,-0.480145240639173,-0.0320986445465032,-0.116977288471616,-0.482826281199564,-0.417608380348448,-0.451207142919651,-0.767942008056466,0.328270387699304,-0.165944653961318,-0.36596727201489,-0.545695047336738,1.85944871807341,-0.719958978307992,-0.735171234475827,-0.6579698180867,-0.750811935743955,0.714262977150641,0.908528359550701
"SHIF_Tm_3 (GE) - TPM",-0.803583788486353,0.122485332388338,-0.52717650629117,-0.438529481845491,-0.576505811782563,-0.438137087778175,0.0229811893929622,-0.942979683959866,-0.433467723948403,-0.394658715483696,-0.525880415785133,-0.730843070288611,0.986274036199214,-0.348712659174612,-0.352866233603533,-0.679006959045621,0.659916799402964,-0.58708202872342,-0.653458520426985,-0.626562879252696,-0.744516176881228,1.31990763767359,0.910220523451951
"SHIF_Vic_1 (GE) - TPM",-0.645783309052176,-0.504162859239669,-0.607116467168058,-0.568655915734808,-0.524842786717466,-0.537628124576975,-0.607254518151247,-0.525663266147963,-0.436500374754151,-0.439830039348602,-0.514111931586638,-0.707051944727717,-0.343764292539306,-0.0446938319670819,-0.854243821518426,-0.262405899965733,1.41528741960541,-0.726163296711911,-0.425339722300319,-0.289909764363598,-0.276148221133757,0.563642230061335,-0.837949912482597
"SHIF_Vic_2 (GE) - TPM",-0.776962325130638,-0.55341015595467,-0.662965086510749,-0.617813406256058,-0.677837270071051,-0.64247462586555,-0.48418160869011,-1.34026744950862,-0.50354744767373,-0.46162594491748,-0.610354575651104,-0.785732634100563,-1.35322892926102,-0.70468803127899,-0.955302054033568,-0.505462596742522,0.369983131628215,-0.920598147422656,-0.465369175887471,-0.435102013894205,-0.520076003543455,0.263687862967252,-1.00731603661835
"SHIF_Vic_3 (GE) - TPM",-0.642901832531671,-0.485062129710022,-0.633341329380231,-0.547154362660124,-0.632475929942954,-0.619294570795014,-0.51989144174529,-0.738344466813155,-0.499145366544098,-0.45394225003136,-0.561710953923461,-0.807390308952798,-0.645587815724571,-1.40426355821351,-0.893046221930067,-0.323884789303816,0.486233839389132,-0.473144100794508,-0.495127844294839,-0.434913801880991,-0.395418626020573,0.676806267550643,-0.747790504850019
