"","NGO0295","NGO0296","NGO0374","NGO0442","NGO0858","NGO0942a","NGO1295","NGO1545","NGO1752","NGO1786","NGO1810","NGO1817","NGO1823","NGO18231","NGO1824","NGO18241","NGO1826","NGO18261","NGO1827","NGO1829","NGO18311","NGO1832","NGO1834","NGO1841","NGO1845","NGO1850","NGO1917","NGO1936","NGO1939","NGO2151","NGO2177"
"NGON_Li_2 (GE) - TPM",-1.6139754156994,-1.07372248163188,-1.58627472951903,-0.649107515031123,2.30354316769855,2.2757854890817,-1.69874133615147,2.32519953993236,-0.477215734952616,1.13802476824551,-1.65149999000464,-1.01782995496727,-1.78318095788541,-1.4149648404851,-2.4133039967816,-1.93841479758316,-1.66410881619335,-1.12781082488941,-1.74404378595177,-1.4617706038532,-1.76362601395694,-1.36864689467661,-0.607576854631111,-1.08780129639066,-0.975676923066901,-0.752941616334642,-1.61405291724492,-1.01927508031115,-1.94365945015057,-1.72483414916863,-1.47487894124395
"NGON_Li_3 (GE) - TPM",-0.161296215255389,-0.777285517354044,-0.718077127427007,-1.24285271527338,1.51821110194463,0.152467888487147,-0.823385315994275,1.95219063867813,-0.80541852442491,0.0976343701424204,-1.05834320632998,-1.08559291603114,-0.771971445538942,-1.24883603165956,-0.727525490152499,-1.06597568284516,-0.806338611254311,-0.742081778976415,-1.10649332918042,-1.50083498061087,-0.906488958372773,-0.979193222669906,-1.36859985005081,-0.638867847161669,-1.1472921507395,-0.220477538659227,-1.19706651383425,-1.21735255146093,-0.366401243185388,-1.32580383426836,-0.492570409867734
"NGON_Mig_1 (GE) - TPM",-1.71634068830937,-0.852700025265587,-0.596428475329427,-1.09710687052337,0.0965810077670236,-0.0999804829967149,-0.380570637550414,0.395029903224139,-0.217815571041989,-1.40050567497032,-0.381832769495507,-0.195569729445142,-0.316149279680782,0.121339862716598,0.9629626247293,-0.0362760307468469,0.64278713720866,0.589266182440686,0.553704390772338,1.96393545334715,0.133845491657542,0.261701342349559,-0.246909178507219,0.293271080196819,0.00847484304967031,-0.554332383251654,-0.452540375704976,0.149164063019573,0.0431157457276028,-0.430986015969703,0.0742889111337389
"NGON_Mig_2 (GE) - TPM",-1.3990715427166,-0.983178943235462,-0.740741862734942,-0.570512801693221,0.155051589765913,0.798776833739298,-0.278773317751264,0.717612975549688,0.0635349854254929,-0.488889350038095,-0.221713712458578,-0.301410233865481,-0.740773344838601,0.280650862702402,-0.367205529940365,-0.605525835990172,-0.291496366496821,0.291614516580917,-0.408610247671364,0.862427815062838,-0.471523976733958,-0.279826693015543,-0.905503365158285,-1.04103618585381,0.529161371800314,-0.622054810613091,0.289067381976986,0.956231313738774,0.479335592861332,-0.0126075316755984,1.12069198211763
"NGON_Mig_3 (GE) - TPM",-0.828150072396399,-1.16260665208428,-0.863856762661769,-0.650327936112858,0.250336308025238,0.271570733747253,-0.673013515420384,0.615822631775961,-0.543485199774985,-1.33607231888494,-0.927666456309462,-0.68049534527849,-0.40961984359984,-0.265765278656547,0.00734973017062314,0.0971142692571999,-0.230280926378743,-0.391417445538709,-0.000402704201714366,0.536793057415524,-0.372701734881511,-0.495246052473008,-0.648114211961369,-0.508017637651693,-0.79531827947331,-1.33866824355867,-1.08295922080649,-0.453566698669027,-0.361935375188098,-0.148994684924047,-0.761113148071006
"NGON_Nd_1 (GE) - TPM",-0.307488676009142,0.254763198803399,0.161763320085082,0.47210164959298,-0.0936359589639202,0.270382740465758,1.10733312509994,-0.981060798255705,1.29956970299347,1.33277114901429,2.09120705788567,-0.209717111377688,-0.905582928403091,-1.17351447421932,-0.607613350229552,-0.997650364349845,-1.06369367014355,0.103542510559853,-0.686389793498634,-0.343915840827226,0.144759598306312,0.262436635855147,-0.387930713916173,1.38967398322996,-0.691676874461214,0.595782733347597,0.234179591679574,-1.20945131826964,-0.453917860985966,-0.60576088553323,-0.717626435851228
"NGON_Nd_2 (GE) - TPM",-0.192279106832426,-0.283555285660087,0.707642011333782,-0.6966967127609,-0.322709644433827,0.34245632208646,0.659860332830521,0.384740008681777,1.18119933456433,1.50393242337538,0.2590495723024,-0.492914044736653,-0.995021288979964,-1.0155045965563,-0.949048351367014,-0.335158617322624,-0.675209683804486,-0.147773118132676,-0.673337413170662,-0.140417205551543,-0.0311846321799502,-0.0422407802164395,-0.985045639082111,0.328157314236673,-0.463767491385969,0.241180929770269,-0.36139503329026,-0.269658712160505,-0.183637688616851,-0.339775713959936,0.244243360710126
"NGON_Nd_3 (GE) - TPM",1.25335974520448,0.19742970304154,0.0865932108011797,-0.311769823601019,0.370226705430145,0.00963686251182004,1.74169112997759,-0.226544070637786,1.14658161031776,1.01450305051076,0.970801920912006,-0.643216058884128,0.00463260797113234,-0.368938092472049,0.35053291128179,-0.335217318314648,-0.958956166790669,-0.272648792604962,-0.587865132630701,-0.393595337481418,0.701278280980467,0.432529253117929,-0.234150691848538,0.666368780271517,-0.717693193796373,0.528905563415249,0.510377600616581,-0.697556337936717,0.371015690197691,-0.132532253383716,0.206804607301047
"NGON_Ns_1 (GE) - TPM",0.893344865995363,0.0250389340660054,1.13194842479649,0.491411454339209,-0.534401051223213,-0.232063166877822,0.682677610960389,0.145252822412635,0.409118207628178,0.551746665068985,-0.328018828760799,-0.0730846532369118,-0.0525988442094007,0.209664332717834,0.0438942544899884,0.00240560407926209,0.270331774571841,-0.59720461087808,-0.15183908324556,-0.526704558473008,0.360756755734554,0.242567575461834,0.239412827280445,-0.205863278169125,-0.544713198978832,1.81433876014015,-0.0841127581233737,-0.138957223544371,-0.300349604562035,0.834755571411821,-0.319829764916727
"NGON_Ns_2 (GE) - TPM",-0.606558084604682,0.187791048435061,-0.859023294796274,0.351908102846217,0.437355803099547,-0.0650205428869952,0.0177551850840236,-0.678029888094589,0.274695919181676,0.652504451416204,0.237292611500984,-0.380779010389728,-0.732712932926422,-0.40558427587365,-0.647753162279808,-1.00284098218308,-0.0874080375008012,-0.473375317577697,-0.774954439685924,-0.560713768530832,0.393004617967977,0.0535512348307111,0.28949091809476,-0.234745580462798,0.269208824481486,0.41988616934586,0.626584829961054,-0.319260768016116,0.202684702678509,-1.1126589924651,-0.694375350095451
"NGON_Ns_3 (GE) - TPM",-0.1448994814926,0.483858868997372,-0.182502696860206,0.294648193255183,-0.765946724904409,-0.00563565292489359,0.49319225645911,-1.31596983790102,-0.0200395086384642,0.265649408662429,0.626390381721679,-0.201378639503408,-0.751874440404655,-0.878342363382617,-0.0451346961592809,-0.994737786731547,-0.442077353519951,-0.598645216951526,-0.747931277530043,-0.962402357403751,-0.243693025542634,-0.329042862968383,-0.246733947026093,0.60928729850694,-0.588337820604022,0.218769550176235,0.78211391149476,-0.523511716424312,-0.308326374016845,-0.418142050062584,-0.056398607761878
"NGON_Oss_1 (GE) - TPM",-0.719265782486442,-0.752371583632639,-0.524798511205444,0.641736202003338,0.729463289940652,0.497363833653631,-0.206600361954058,-0.23795093748376,-0.878559789499176,2.23776925443469,-0.800519055702967,-0.513623998750758,-0.54194111480233,-0.0837557108300895,-0.0878682569845259,-0.430746496657341,-0.814836107545495,-0.952746575677872,-0.803880466346914,-0.533901030149235,-0.621497548725065,-1.03374900444732,-0.559664714357525,-1.27725893041804,-0.558776423760252,-1.12446650446881,-1.57575639822518,-1.86229145022871,-1.08815096428469,0.366343484935846,-0.668054957849275
"NGON_Oss_2 (GE) - TPM",-1.00951583893038,0.588199154274704,-1.00729234236713,0.97813988916286,0.261888901394817,0.433810016484229,-0.840748083095081,-1.55907831589186,-0.0010998044682965,-0.293524680046816,0.445074060464833,0.883947938497203,-0.208565274787657,-0.261006175331273,0.451271149573891,-0.447037491098644,0.462797575645384,0.90995193270088,-0.0214404281093971,0.535578769256545,-0.217383862837604,0.130412919624547,0.473975930106446,0.401882077152959,0.617297749732546,-1.2840447161595,-0.571950980187909,-0.641865915025259,-1.1055894953213,-0.491059985612443,-1.42416994976101
"NGON_Oss_3 (GE) - TPM",0.0420594295208043,0.898771273175177,0.141455656579413,0.529661275499396,-0.561484739430062,-0.706844605721671,0.170270811765847,-0.767911714396123,0.0847218298482199,-0.238939664376614,0.629621108932863,1.20546121214429,1.07707760385437,0.23285747537648,1.03806641959893,2.18007114924524,0.32720452648309,1.02513714729224,0.515459179807004,0.614151855331659,0.746297587132434,0.845199183928751,0.138922176376512,0.433731042339366,0.327885154653829,-0.253896976807998,-0.465560766050518,1.02909159282675,-0.113220274958069,0.610155122385143,1.00925426474581
