"","ABUW_RS00180","ABUW_RS01770","ABUW_RS02165","ABUW_RS02175","ABUW_RS02975","ABUW_RS03095","ABUW_RS03145","ABUW_RS04200","ABUW_RS04210","ABUW_RS04225","ABUW_RS04230","ABUW_RS04500","ABUW_RS04505","ABUW_RS04535","ABUW_RS04655","ABUW_RS05140","ABUW_RS05145","ABUW_RS05285","ABUW_RS05630","ABUW_RS06230","ABUW_RS07045","ABUW_RS07135","ABUW_RS07215","ABUW_RS07385","ABUW_RS07515","ABUW_RS07650","ABUW_RS07955","ABUW_RS08520","ABUW_RS09005","ABUW_RS09010","ABUW_RS09015","ABUW_RS09020","ABUW_RS09160","ABUW_RS09225","ABUW_RS10490","ABUW_RS10985","ABUW_RS12070","ABUW_RS12075","ABUW_RS12385","ABUW_RS12935","ABUW_RS13285","ABUW_RS13920","ABUW_RS14010","ABUW_RS15795","ABUW_RS16135","ABUW_RS16380","ABUW_RS17090","ABUW_RS17365","ABUW_RS17390","ABUW_RS17430","ABUW_RS17775","ABUW_RS17780","ABUW_RS17860","ABUW_RS17905","ABUW_RS18525","ABUW_RS18530","ABUW_RS18535","ABUW_RS18885","ABUW_RS18890"
"ACIB_Li_2 (GE) - TPM",1.55674759612373,0.477394592671663,0.747337547243148,1.47337090195708,1.66168769997727,0.939171767935196,0.131461382463469,1.53961985487605,0.876742741050444,0.771458607757572,1.34504121823746,0.657731612385513,1.39740700502429,1.58285806746581,0.958823331092868,1.4052719053254,0.348188377491415,0.0899873047430777,0.268074124541714,-0.663224798733365,0.380554312339706,1.38054525243409,0.537864681085461,0.90472183710658,0.335393314008683,0.37218512883048,1.2433816839195,0.43208728865413,0.952117988471048,1.5505210696929,0.149896362788602,0.0199124038928833,-1.1345045406043,-0.609340062925878,0.713776736401471,0.64691911759384,2.29600248342005,0.374762477374451,-0.431782597496373,1.15687402410829,1.32267692371822,1.4780101560551,0.547120054608919,-0.1134987443031,0.815654678030202,0.66661285481983,0.247477335312244,0.446179590187154,1.06375245929739,0.61554130425634,1.12316070912056,0.784813916846229,-0.863692491859413,1.58055096254013,-0.284044652462891,-0.304066071571303,0.178334748396155,1.06104903226798,0.926020541037082
"ACIB_Li_3 (GE) - TPM",1.32444878008277,0.174615503482086,0.829228905978664,1.20206078909415,0.954585594009651,0.838184348112462,0.491734389304138,1.90931839903504,0.674632069384584,0.649052095331446,1.38126034298776,0.998001533339699,1.22257408121035,1.55970253914011,0.588892681601439,1.40929768397881,0.684103215145651,1.12165125500918,1.87275455179274,2.34245646554877,0.714347578165758,1.44330424151294,-0.227113020303351,-0.225040882569467,0.681324286577968,0.167058592831777,1.14221205383618,1.75096354296227,1.04057192768322,0.305954599192083,0.457053484842817,0.449984563122989,-0.693759694986685,1.5919654467909,0.916101461667532,0.658808763853618,-0.266148503848332,-0.63084473346339,2.34583952535149,0.857279067489592,1.31377668201249,1.41006056835938,2.56481995089306,0.246055063087499,1.05464295139444,0.480476325316593,0.601390206357814,1.0057224833117,1.12436641607993,0.738861993765285,1.11906402614577,1.04409885179484,1.05645685456821,1.4965751301454,-0.360949559254878,-0.149615767590914,-0.0933627534615578,1.44386604666205,1.02956207465615
"ACIB_Mig_1 (GE) - TPM",-1.1020655716454,-1.22055827572265,-1.34215268158937,-1.19445683726068,-1.63300629483833,-1.56255063211341,-1.47966109890592,-1.67416367820948,-1.54178407747329,-1.51270532545052,-1.44764468032904,-1.09538467822744,-1.10157860144927,-1.7403893455073,-1.25364480740021,-1.20304947847903,-1.12663891970979,-1.1835709871131,-1.61142559920195,-1.05696530584364,-1.63180003343408,-1.25577524455881,-1.36314440230275,-1.30808924270071,-1.51090504939818,-1.58878493202024,-1.18053850632352,-1.24475415049928,-0.712946722480517,-1.21799614966782,-1.26817374723459,-1.46220482969781,-1.53673688991633,-1.87379894768755,-1.60991161190171,-1.79554826913531,-1.66546756300255,-1.4039272846989,-1.42164640115982,-1.05392552332672,-1.18539904414274,-1.19790331488315,-0.924280867041416,-1.10899490097871,-1.65998420573556,-1.40987126374697,-1.39063721052515,-1.29169483654859,-1.50746132834547,-0.822239919815009,-1.53703450250242,-1.46866548656822,-1.69062831999781,-1.39738293067619,-1.4605020846073,-1.09279844323016,-0.927522484494496,-1.2778575429274,-1.20915679484921
"ACIB_Mig_2 (GE) - TPM",-0.776852010558246,-0.573055212513019,-1.08640774511284,-1.10312643431864,-1.04106986634853,-0.50687123145494,-0.226272625534245,-0.921098780017112,-0.918835132596437,-1.10143012100906,-0.879418141904531,-1.0203922910852,-0.937574799284561,-0.840305466031213,-0.888239998368555,-1.10174122436659,-1.29606971298075,-1.10785747474834,-1.04452782334918,-0.647165270692068,-0.198391554241126,-0.507144944693681,-0.611619701365009,-1.17773728854641,-1.56194386145945,-1.55690877138888,-1.06672052136842,-1.28399301829968,-0.411992585924401,-0.417128632018702,-0.637785054086852,-0.958895018204714,0.337030856129058,-0.353030153684908,-1.44560209041398,-0.589374340708727,0.402449789626954,-0.988044684196098,-1.13726339684611,-0.93245969444174,-1.16235985893486,-1.1098256026049,-1.19510465804279,-0.96981691968937,-1.99276742309861,-1.13398225299836,-1.01114859168692,-1.12243905399216,-0.817002164784502,-0.7407011355054,-0.402326409241155,-0.946356891639463,-0.046167182400966,-0.914793820109683,-0.194838644452852,-0.228420760436132,-0.249781892935539,-1.19223078821164,-1.05199982119774
"ACIB_Mig_3 (GE) - TPM",-0.693589960022661,-0.69872954804036,-0.966474335756419,-1.0193772805268,-0.926001211972287,-0.671271182250012,0.0141495807764984,-0.866692125441754,-0.724049257818094,-1.02246684878813,-0.75689111311305,-0.989847016083818,-0.895467424383084,-0.947227911435505,-0.671698107646442,-0.974118883393095,-1.02777972931361,-0.889720243245873,-0.538403975790861,-1.16648855966083,-0.170657088500678,-0.481627623857579,0.0925496414331306,-0.417815633699246,-1.23884945618147,-0.79796422426452,-0.979403725499127,-1.09926764968288,-0.219708165253266,-0.477412143722125,-0.0662219058308343,-0.894779506058229,-0.649332811125615,0.332288343288515,-1.21366788303091,-0.142331115064857,0.585076158306954,-0.733321239479771,-0.187425557797498,-0.823071818051965,-1.13241249058418,-1.07960148668247,-0.891778695023106,-0.850067197213515,-1.92784333225388,-1.06511165351341,-0.81106856401234,-0.962350981337866,-0.733260554941651,-0.707719945059036,-0.467026109973022,-0.888375065148331,-0.53919624280654,-0.931306211441435,0.28985496462909,0.033831031031224,0.0970597722212787,-1.10928040022599,-0.983645463138366
"ACIB_Nd_1 (GE) - TPM",-1.03452497349509,-0.968583354314327,-1.18595840663738,-1.05480309166158,-0.812647699448067,-1.34982438500439,-0.666012031197272,-0.320005400119848,-1.1587571817911,-1.24740961095739,-1.28168174865798,-1.08437625409955,-1.07320209016897,-1.1745236116972,-0.831346102886379,-1.05394625687326,0.544078597671643,-1.16689795726671,-0.565697978279154,-0.729323843747438,-1.59137381338467,-0.67932951935424,0.168662048752692,0.11911149245879,0.261061843913568,-0.639900480089392,-1.01237069828629,-1.15627351283652,-0.323455799111807,-0.453627868428259,-0.731430153285228,-0.549339660275021,0.166028622363291,0.231365505929354,-0.716522566263913,-1.34561687450348,-0.0880402837936694,-0.728057179370738,-0.162597417795185,-0.937724513725571,-0.783068911260091,-0.83316638446876,-0.906838068775389,-0.877122688639658,0.206065073715197,-1.18241071966158,-1.08071364978436,-1.1091654785391,-1.01000310388107,-0.626037741989582,-1.28796938113377,-1.3477213105813,-1.35837979469189,-0.934090447528658,0.369863974937146,0.368739287884082,-0.388319827678591,-1.17323011092951,-1.05332132245784
"ACIB_Nd_2 (GE) - TPM",-0.996371668438932,-0.298419289737559,-1.11444489029098,-1.01567770802279,-0.735542228666412,-1.34587852476137,-0.283181510496806,-0.402641663524821,-1.17406911882219,-1.19305791043628,-1.22936509442711,-1.04699359087093,-1.07367876710182,-1.07406401467444,-0.743069679812691,-1.03980047810502,0.592595194622726,-0.649330528730863,1.44993430134936,-0.458424237857572,-1.53356363925068,-0.403302351962064,0.483352290160154,0.878106317158773,0.613665427599286,-0.241750479208226,-0.998725323144772,-1.06150061900398,-0.141263189163856,-0.171635271308494,-0.339353267349091,0.263766926410374,-0.575285135851287,0.279742254557871,-0.564895045741171,-1.18674771195795,-0.281380179768542,0.444299484308037,-0.351389697139365,-1.0099487691409,-0.701919472134111,-0.790446006615105,-0.728206759896368,-0.728900702808087,0.0841802005264477,-1.28472415394097,-0.954154651555736,-1.07729699289389,-0.870441059535578,-0.639141857009288,-1.11172557461372,-1.31283438492893,-1.02047749710281,-0.805182560574983,1.42444257108027,1.60160321089501,0.087945941406357,-1.15235676339915,-1.0151828188158
"ACIB_Nd_3 (GE) - TPM",-1.04377650468498,-0.391618892515255,-1.1590472393604,-1.08146718497942,-0.84788998678073,-1.35538842438201,-0.591650607852369,-0.518550555921243,-1.14945409210173,-1.26126962850501,-1.32525153761199,-1.0712088360758,-1.06613508473218,-1.1865337580996,-0.890283744389481,-1.06755733491465,0.0177135995414489,-0.857656283491449,-0.661393674439232,-0.300020605760789,-1.56805079069873,-0.549367440897675,-0.279322576421601,-0.176378973190675,0.228178400136428,-0.983518538351285,-1.01807844600518,-1.2320278515112,-0.267358184084903,-0.156267434317974,-0.534351606049396,-0.18317811319225,-0.177771739929421,-0.317962087548671,-0.873410943159661,-1.3089207367059,-0.888658633540408,-0.53587392711609,-0.606873005012253,-0.948373138361157,-0.806295620027251,-0.889124635629237,-1.01145666328485,-0.903178795645219,-0.18461525962991,-1.21164869253634,-1.12573666692609,-1.06373088969179,-1.006379446333,-0.654470069682211,-1.1635903892845,-1.33904590622616,-0.824062672976109,-1.04599043291573,0.566722304025188,0.59055150645389,-0.176568563118232,-1.20619925328157,-1.07367208547476
"ACIB_Ns_1 (GE) - TPM",-0.229412877780948,-0.68312099725476,-0.392162382599192,0.164527211804965,0.677805403535903,-0.469877115092363,0.00226627282041751,-0.00954373743821321,-0.028985822356327,-0.0632635682657471,0.0486928468130553,0.0686386660681551,-0.0617521094709474,-0.0169775741706559,-0.300767369536022,-0.0106297402990163,-0.422716746174001,-0.599670348296148,-0.541311440628029,0.567283137790316,-0.142498492549612,-0.484339674385559,-0.765544103268338,-0.00839515397132813,0.695155634278836,-0.0889537511970399,0.349866163886906,-0.363386734244549,-0.128173978498076,-0.679954637821439,-0.652756233440914,-0.377786337051054,0.633354592067008,-0.333712986709352,0.0893944321300884,-0.425863809752172,-0.51395423418319,-0.095607795664404,0.179068773100708,-0.46621002449837,0.0164082771574998,-0.0762692898706173,0.642261018162799,-0.330056721040177,0.712636774863593,-0.298036544330683,0.207362377702341,-0.486450184309498,0.771887456766606,-0.389439740640906,0.678249768637126,-0.281082602700348,-0.447027617673028,-0.303549342184331,0.365709235209908,0.152693622952071,-0.106691220760684,0.238689485460883,-0.0216985069175807
"ACIB_Ns_2 (GE) - TPM",-0.402628512961093,0.471161798932682,0.0922676158710302,-0.0342700017498798,0.890962792187115,-0.272459070719205,0.272770969336427,-0.281369944886169,0.379527288441495,0.631645113097538,-0.206910072178168,0.139136931892729,-0.0451688423583972,0.119808983891698,-0.339685320627399,-0.313308371923079,-0.31908552637984,0.46981485794759,-0.571688576004284,0.624839473128985,-0.20366787580241,-0.507226947422091,-0.0758981199126771,-0.430974228809467,-0.0912826389216036,-0.378235747357856,0.00097453239148206,-0.644358861541595,-0.296373784714224,-0.431048017585742,-0.492990162203769,-0.173381721606263,-1.09328878997209,-0.372506231002855,0.187888993534845,-0.310569730196987,-0.42007183498016,0.0877417122489314,-0.0340852168367665,-0.114053715572986,-0.331148408530476,-0.286798235899723,0.650524129858251,-0.105432449870084,-0.179075025865357,0.578000609369398,0.346374188257916,-0.469604737449251,0.371550904158687,-0.372066516017019,-0.0911525481633929,-0.342013049569768,0.661217911141847,-0.322392216818295,0.271650535658439,0.0259739537534371,-0.226447376604709,0.134501902666525,-0.0498956446416889
"ACIB_Ns_3 (GE) - TPM",-0.342548605369187,-0.379196910954392,-0.136062507824361,-0.0493386808162884,0.645280710066434,-0.201859905453791,-0.180941339371135,-0.405247068159352,0.0920940458128446,0.501450262115381,-0.0709733500870927,0.153874379913465,0.0413308917668322,0.504034930667324,-0.150725003888826,-0.097452016384731,-0.52746142600865,0.155154117802438,-0.0146624178564236,-0.243513874135568,0.112728142532825,-0.410834028354057,0.0987768357725974,-0.142490986340662,0.138127034696587,-0.0463285647299284,-0.0438262194294302,-0.548409235049109,-0.334849007025175,-0.212200744808057,0.0321174091754938,-0.0746778137698053,-0.310686099767747,-0.134349225663733,0.441816061547417,-0.429145240412895,-0.220421981153214,0.0391175401292089,-0.670878383181928,0.0255073425200254,-0.223836802546996,-0.310849196335072,0.47857250777133,-0.320379882868933,-0.0915053095510154,0.411266509713716,0.301406421260204,-0.30819721188892,0.529608443743885,-0.409249115561566,-0.0576509044280134,-0.292447850249922,-0.0675393525965808,-0.429513993860083,0.336018719592554,-0.0322173773383236,-0.0885678615798836,0.290134721700311,-0.065938555564075
"ACIB_Oss_1 (GE) - TPM",-0.513327033339938,-0.0361206926607856,-0.506995213096688,-0.131657347212398,0.273865159298959,0.134782080388613,-0.0189548022157451,-0.00485778699811927,0.104707615286193,0.539591733986056,0.686202776640831,-0.324560617814245,-0.325271880403623,0.267510272445827,0.565238926164345,0.166321672538933,-0.344581166114496,0.199880237067742,0.373151401374909,-0.00295593470900349,0.0562649698071511,-0.356865547242911,0.658732692266677,-0.435121015439405,0.579777440577357,-0.133578487384638,0.240991359300198,0.26170166530795,-0.288661969528572,-0.0977889394583254,0.101155081435728,0.320002098564298,0.405725475301036,0.771243804817753,0.317002481800449,-0.519710764104989,0.164877901575557,-0.345532648579698,0.195350300111657,-0.409129470372044,-0.316529313854872,0.200089259219028,-0.0965652385502976,0.206456257708266,0.358882792642501,0.634205307796596,0.182559470513858,-0.22249119921119,0.048613773300409,-0.388769359347627,-0.192754503062641,0.0947617831332027,-0.773230866181157,0.206463769790719,-0.264542584774847,-0.412699196147147,-0.399926052104627,0.278371029550922,-0.124344014630305
"ACIB_Oss_2 (GE) - TPM",-0.488011253836592,0.832316197352035,0.228135751372759,-0.17594214182626,0.245820137744766,0.464337955505649,0.15593869892776,0.183178376696718,0.205331241760016,0.642977784984196,0.562971035851757,-0.184942158265751,-0.0257412840958102,0.325997002062997,0.366263373000696,0.0688747863848633,-0.274817163130172,0.798642833377271,0.437755356301098,-0.284711540987179,0.208568071224266,-0.493469486763842,0.000819275566157566,-0.557562167613782,0.185910612392737,0.467697675180049,0.0284431259751659,0.298025159896651,-0.312745288413506,-0.13984862113282,-0.107530404874673,7.24471219286882e-05,0.593294078764653,0.353657102922057,0.345779409360443,-0.0964373687156945,0.112314744422479,-0.0376659554441998,0.296641044365362,-0.204278752978369,-0.505887971003264,-0.0939919336614829,-0.410155095508276,0.958890862194173,0.17673218489942,0.577585669127962,0.204351047321133,-0.0127677015348246,-0.145746414995855,-0.279282123410245,0.0570962814533469,0.298593332368094,-0.129342108829823,0.526360038150428,-0.389809463373748,-0.319720840496596,-0.288822913245645,0.339922765270184,-0.12671595676157
