"","ECP_RS01345","ECP_RS02470","ECP_RS02475","ECP_RS03040","ECP_RS03150","ECP_RS03265","ECP_RS03585","ECP_RS04045","ECP_RS04425","ECP_RS04890","ECP_RS05235","ECP_RS06510","ECP_RS26185","ECP_RS07100","ECP_RS08815","ECP_RS09050","ECP_RS09055","ECP_RS09760","ECP_RS10780","ECP_RS11620","ECP_RS14965","ECP_RS15460","ECP_RS15580","ECP_RS16405","ECP_RS17465","ECP_RS17470","ECP_RS17870","ECP_RS17875","ECP_RS18275","ECP_RS18610","ECP_RS18670","ECP_RS21575","ECP_RS21990","ECP_RS22265","ECP_RS23330","ECP_RS23710","ECP_RS24050"
"UPEC_Mig_2 (GE) - TPM",-1.76669701799814,1.17108696762436,1.76935853052138,-0.655612253279678,0.626124158833198,0.499860073857578,0.576834354826971,0.564331920233844,0.678729841364976,0.48134993623174,-0.246431861256507,0.860138191469149,0.155926156921304,1.44682673593521,1.24170333707299,1.91243559193111,0.919624104002342,1.02208132263185,-1.22972316328131,-1.16873466202143,1.13556853174677,-1.33292010145138,2.38301192998942,0.7247975015458,1.42303690135155,0.795495743889296,0.731337738803,1.32805953860346,1.65368496486853,1.56450898025323,1.61840833708541,1.19626243832615,0.975868627797554,0.977058131551196,-1.6414684952428,1.5390432020259,1.7425408458124
"UPEC_Mig_3 (GE) - TPM",-1.70463833774427,1.05916599021215,2.57132550775907,0.54250903941852,3.24051314268623,2.73341163317185,1.67304136297929,0.338543963534055,0.956814614027225,0.209781187245382,1.12081059511265,1.58378635653089,2.01503812649903,1.54413488297291,2.15135424039914,1.84988261602993,1.88030595332904,2.02407968616727,-0.491271093582586,-1.14160137295768,1.80447453016647,-1.18996852684008,2.05595353911441,1.60325584323088,2.43583244904457,0.751696104034146,2.41190648471281,1.46290111574793,1.416533474684,1.6325389600201,1.18081489098087,1.77927863873029,-0.23590706453629,0.921890354809176,-1.6414684952428,1.28032626787931,1.41721453768374
"UPEC_Nd_1 (GE) - TPM",-1.36795816325396,1.55743886253177,1.66791523763682,1.36977247515916,2.3957453952114,1.14150591185712,0.955921604455678,1.69235084149918,1.73400183936239,1.12812716602395,1.09835292965623,0.594341031714939,-0.0789702759173658,1.37076024778078,2.19861856388126,0.917573763252812,1.34845191941983,-0.103039005609958,-2.08271758295711,-1.16076879333191,2.14818850137427,-1.4126086172731,1.08615629628146,3.53147267620312,1.16610151235319,0.718807245618452,1.07935802705881,1.61627830926189,2.2849551445594,0.455510901855525,1.06290129185136,2.03294947939039,-0.0193772904213701,1.32294941034478,-0.730932509147412,0.460463547171289,0.557155754722692
"UPEC_Nd_2 (GE) - TPM",-1.36674185923659,2.22061192365108,3.03215410873985,2.05108521506107,1.92095570813858,1.52968604499207,1.04412002322682,2.32422856291278,2.10439273719714,3.20355863819489,2.84975486239659,1.27149322313344,3.0815740385928,2.27029467255245,1.50963844885544,1.89782311241804,3.15961406848007,0.653640252506856,-0.154043885723157,-1.15454812564265,1.46672162928423,-1.37651841996168,2.87620621954447,0.430042808122924,1.54625347245441,2.93796096865236,1.3197955268478,1.58373818726316,1.33007613031127,2.66884192527598,2.84943189365215,2.13710259514816,-1.05625923111792,3.18603311324949,-0.496396034805334,2.19800760185408,2.15816082199669
"UPEC_Nd_3 (GE) - TPM",-1.37252343141106,1.66666726412551,0.464655989097711,0.738999770619576,1.35053697870363,1.45065346800728,2.73563183269929,1.56390828879087,1.4103489885121,1.83640044435038,0.808266684256982,2.35267230610819,0.550848679345761,1.95863319014156,1.63721378432803,1.56947688716792,1.3685174799263,1.02598851425396,-0.866888628952444,-1.1604666181199,1.76885555077426,-1.41962291922013,2.296605629868,0.62780751250033,1.82529189178855,1.69548541836706,2.94439851192672,1.40085785520558,2.30294622224373,1.24233249368647,1.31222488690262,1.13896287662186,-1.39374869132334,1.43409205845587,-1.2705451744907,1.57809491968368,1.00573883481259
"UPEC_Ns_1 (GE) - TPM",0.60333181960581,-0.781677955017903,-0.658228168628305,-0.91525361098433,-1.02848265172624,-1.22727952706114,-0.983687252799697,-0.943734851706089,-1.43772299810738,-0.960961590937175,-1.00294213257309,-1.03838998594864,-0.875069915826644,-1.27818680976864,-0.214146239943917,-0.809179943699588,-0.7661218617776,-1.01381200797284,-0.422899948760908,0.836357014463161,-0.909170509531854,1.54184517300721,-0.893425677695248,-0.565324192413029,-1.37753885919107,-0.925052508836346,-1.11896403422925,-0.976828148115883,-0.773165501864455,-0.888868933647195,-1.1478567575512,-0.943249335540007,0.244834726162761,-1.01601004430437,0.425153369382437,-1.16338930108005,-0.847332641000402
"UPEC_Ns_2 (GE) - TPM",0.917806243040197,-0.73579482667879,-0.646841868784296,-0.94768957911105,-0.925322165992689,-1.14720009204334,-0.386108440841389,-0.925029306734583,-0.727813839967517,-0.807943937161237,-0.700147613716049,-0.936390743976721,-0.849727595326155,-0.928920043331354,-0.639208298355599,-0.790925337463424,-0.789452282541848,-0.206173140916352,-0.27134379089946,0.431235376512048,-0.619772150918335,0.4391643658432,-0.910863210193008,-0.838732448623992,-1.20250185986985,-0.776040532598973,-1.03936285019809,-0.425527709296759,-0.639671511371031,-0.742100143532586,-0.962072035814669,-1.08310787742618,1.02073492435137,-0.913995883727478,-0.251506499364287,-1.0240876090245,-0.861906449710885
"UPEC_Ns_3 (GE) - TPM",0.532628484437109,-0.744961281608991,-0.642565199118287,-1.24627180249334,-0.939503999074544,-0.971256492455084,-0.949488083992787,-0.811020974383953,-1.11659515547593,-0.423075012700389,-0.278786553874711,-0.840210374411103,-0.923386328178329,-1.17494568466138,-0.634104588556478,-0.78535187973348,-0.765657985445147,0.0300781643311479,1.50776871725806,0.918891591107994,-0.901806348770138,1.39059057767785,-0.96155466155066,-0.70748726561827,-1.21885993151136,-0.87998779422184,-0.89326948975326,-0.837494606222872,-0.674307735708001,-0.811931995879382,-1.15246800079349,-0.847599101630152,0.843457251874074,-0.940856568803928,-0.310294308517654,-1.007999461179,-0.861906449710885
"UPEC_Oss_1 (GE) - TPM",0.066007561894877,-0.779080031060967,-0.646591939284538,-0.23742119652569,0.0418268444467496,-0.377954287787103,-0.342918658725011,-0.714521539322488,-0.684558787956729,-0.719894855767202,0.0348366693708956,-0.564435545766935,-0.443326587685748,-0.246069437681459,-0.00662796014597759,-0.672656514564247,-0.57630551370831,-0.545138145148357,0.311026068481772,0.638863456499594,0.253036909628936,0.94362445127713,-0.537149203645772,-0.469977772818035,-0.230521040393057,-0.925706113245612,-0.567700517269191,-0.811326620772886,-0.786749355778099,-0.812588747380307,-0.289829278686936,-0.506294345422366,0.386263061358678,-0.727903183304306,-0.0108721153868314,-0.660891202758549,-0.659184064634671
"UPEC_Oss_2 (GE) - TPM",-0.0159957881746195,-0.690205340393433,-0.604610924270918,-0.41120863068801,-0.319214915652111,0.319768739027407,0.0313289302019015,-0.218337934722041,-0.345252516403217,-0.301686040275776,0.901779305286227,-0.485379118700302,-0.393004158226733,0.201865827941947,-0.451195108200522,-0.499563529870798,-0.553474298894599,0.114925364602135,0.440066192683032,0.0827965487977026,0.97619079089539,0.729476803059357,-0.476980144797302,-0.207494669209814,0.10827991868067,-0.828461654223903,0.0653195437290578,-0.614861482264778,-0.70560048917363,-0.548243512540789,-0.157895858557964,-0.128059643413074,0.603325977391726,-0.0774102300339246,0.415827674239334,-0.598367929548115,-0.475286684136197
"UPEC_Oss_3 (GE) - TPM",0.0539882424387807,-0.736264851205879,-0.603081794151404,-0.587291265688508,-0.312039884524344,-0.481420546994542,0.409528005193664,-0.427179207231618,-0.309409453589989,-0.759880284189579,0.875553483736356,-0.18673371016958,0.854601816122381,0.749976219717577,-0.308693646809502,-0.662871035330136,-0.668482866017742,-0.181768975009301,0.805026964122387,0.837174837003247,1.02557903363693,0.315607220389248,-0.546336788432133,-0.766241870748363,-0.519915079260434,-0.888702109278828,-0.682585431309002,-1.17492910036116,-0.740110306886496,-0.790992239200619,0.603961880870672,0.170014138599005,0.750235413201255,0.625614432141644,0.0982212958892162,-0.172276027805196,-0.623551196455315
"UPEC_Oxs_1 (GE) - TPM",0.734682095753743,-0.371519057135827,-0.47714055002095,-0.0228124004935293,-0.815827300403924,-0.78500746774834,-0.724108429843159,-0.430133117219557,-0.345397747034053,-0.394588199099909,-0.247029282872596,-0.643347243618552,-0.539903307822249,-0.673186695662271,-0.332488404892633,-0.702728843101056,-0.561718763259607,0.202244071149077,0.213858363505962,-0.976946067766887,-0.751225066611553,1.7693702635272,-0.387248744334957,-0.34013466803734,-0.47688243887801,-0.455977619271345,-0.340428324827254,-0.328607291646994,-0.266881415558851,-0.561489261941185,-0.781305751484743,0.830651359768357,-0.266619664672667,0.134722666213304,0.710373727260443,-0.765511508210461,-0.673941059763302
"UPEC_Oxs_2 (GE) - TPM",1.58789403193174,-0.103464099505118,-0.313093735993955,1.07799736418036,-0.379737760636511,-0.18657176700871,-0.210566445010768,0.621325581260467,0.538272822744305,0.227287369220553,-0.590124898638216,-0.358251814387252,-0.315428917335315,-0.340459965020471,-0.235452478944649,-0.724549315479407,-0.376329710647562,0.259977969671796,-0.189209988974544,-1.04860776275146,-0.4314135594922,0.309228170899813,0.0170165366102287,-0.49705615574533,-0.16991235181966,-0.316479340059684,-0.322075361157015,0.614069888417152,0.107048069565456,0.467722766355781,-0.205907136043608,2.1299407288307,-0.845282497555422,0.892511347352902,0.347069660314489,-0.230932668852785,-0.385118917262732
"UPEC_Oxs_3 (GE) - TPM",0.47460233151862,-0.334337754642348,-0.351257493350401,-0.610808724545294,-0.681040813005255,-0.58994722502557,-0.695889387348742,-0.238685066381386,-0.573576657527674,0.0572111120092911,-0.512041617929574,-0.677812994075623,-0.923386328178329,-1.03403402769209,-0.358473887454238,-0.655908493069369,-0.378300348861287,-0.614441909309813,0.316545222795602,-0.765372671023073,-0.933560822548486,1.82424886444339,-0.10536541282917,0.139919788320605,0.0786680285860887,-0.624592766522524,0.350564918590689,-0.405996280625185,-0.402448584321062,-0.657425700400776,-0.162822614539904,0.293876345121576,0.783153801248724,-0.788712197582278,0.216716878958442,-0.674750146339893,-0.589636206436917
"UPEC_Sp_1 (GE) - TPM",-1.58847039587388,1.54216149055881,0.925339593044523,0.258692181945132,0.41672435645813,1.67545475131072,-0.888498754206464,1.29292236045854,1.06733247542435,-0.115016281079002,1.58948580819156,1.0342429799322,1.15830440403558,1.64818567196672,0.157393470473134,1.66424718570578,0.376396771982676,0.18229551199423,-1.5860243603271,-1.18162967259756,1.04405655723712,-1.4798138073601,-0.724881604935018,-0.968236849602464,1.11225936104072,1.5598164761152,-1.33864819218217,0.790727062319143,0.960510737302366,0.282970509801749,1.00873380772356,0.171970688892035,-1.27396695568422,1.29043129138052,-0.593945359483783,0.576220041595256,1.02181138153056
"UPEC_Sp_2 (GE) - TPM",-1.60860718955222,1.61262532746084,0.364599140112643,0.0607044690863337,-0.215953771247049,0.413893870609239,-0.0610944797593581,-0.36478738475276,1.3572643049614,0.87197188579274,-1.08767491923287,0.824930908423741,2.36283387187416,0.910764278914562,0.299544741684653,1.95353813615214,0.165616613721885,1.05714923813226,0.443937419143547,-1.17663541307459,-0.225734073061811,-1.16238660153064,-0.706827757318106,-0.522924362464094,1.26572749568861,0.580066549127979,-0.583156488576652,0.994407089453985,0.536157547530504,0.999743473019617,1.12825577015537,0.460636511479552,-1.68444712518837,1.00677791562063,-1.6414684952428,0.712866046575884,1.12055632948845
"UPEC_Sp_3 (GE) - TPM",-1.59761992833299,2.16788102912228,1.00095563624161,2.55264041044465,0.866194720728812,0.592564128213413,2.29458261140556,2.76235100153576,2.3547334218669,1.33795600842557,-0.581812237277311,3.05753034652,-0.923386328178329,1.51898655087945,0.459482489393601,1.42269813949424,0.65393919148878,3.69847037168678,-1.27387401923142,-1.19416813016886,0.254757423690848,-1.50592821277445,-0.210268432965799,1.59612663733434,1.2755061768439,1.8032188791746,1.06956101847512,2.38006959679358,0.770327878893113,0.353853556288687,1.25620265681511,1.03176372919404,-0.831262417103345,-1.01601004430437,-1.6414684952428,1.55630467968429,2.27034571359034
"UPEC_Tm_1 (GE) - TPM",0.47455133400865,-0.726788999221685,-0.627096794392741,-0.497284266803385,-0.492894334493292,-0.546878781705068,-0.11022616504489,-0.672620573721193,0.504339376850165,-0.601189186428312,-0.599997367890776,-0.468165206964376,-0.334502628390234,-0.395254453472841,-0.963586451954399,-0.5258442889269,-0.678113083559027,0.274262318323126,0.911820682385792,0.556475125711929,-1.31896978107849,-0.146435610800256,-0.622742344128254,-0.0827427605028015,-0.763070501933323,-0.143047105263139,-0.763957000265628,-0.813797267381757,-0.746500305580881,-0.475946503360468,-0.429251056268433,-0.6560827226021,0.686327902206519,-0.472291066771098,1.50704737833777,0.0975842156026231,-0.639873242635684
"UPEC_Tm_2 (GE) - TPM",0.308318621679769,-0.704658040112485,-0.627927060527645,-0.452357083413239,-0.686580149472281,-0.174849872022685,-0.640510747159803,-0.550609942645189,0.769621254834267,-0.590143966020343,-0.725319917683923,-0.441103705121723,-0.613452694018584,-0.459582848051812,-0.969037619478464,-0.458366676577542,-0.533325486450447,-0.654325872210291,0.667410519607242,0.243909150216574,-1.43002366970035,-0.101367560646569,-0.864179332168736,0.0290227378053781,-0.854570416619926,0.232840623354576,-0.783852973503189,-1.03712679232211,-0.740852884690729,-0.393194922773529,-0.309507650332804,-1.00501783122691,-0.0419933572282003,-0.65830614057847,0.600471460420503,-0.277114328820748,-0.815163394151956
"UPEC_Tm_3 (GE) - TPM",0.47672178812542,-0.711847058058912,-0.64174481695407,-0.807116144182248,-0.896933871726344,-0.46873359073358,-0.36714369520664,-0.643849055467569,-0.48083933224205,-0.613908131772416,-0.504438412566447,-0.555847586949179,-0.232656356059897,-0.48840058313637,-0.911273144904283,-0.507259327133136,-0.590578195172041,-0.827963877789085,0.190732579119762,0.537177943295771,-1.30815018081861,-0.220609025073579,-0.612175417128709,0.0672914329819089,-0.776333692731188,0.0937315498053548,-0.318913211440144,-0.725081191700329,-0.748194517295303,-0.65367721128921,-1.0191536812161,-0.811556007455168,0.0937488813481039,-0.378255944266142,0.2895356723794,-0.733648421165175,-0.769307903439093
"UPEC_Vic_1 (GE) - TPM",0.919899461328738,0.509406298798567,0.0294463962654025,1.10885861594364,0.509993113544338,0.406550591743438,0.763637510073131,1.45000903924253,0.820818641522732,1.27538393521414,0.346815210451248,-0.0955500024370349,-0.105409966086838,-0.358930779905469,1.03790340686657,0.334427869773171,1.56857571146577,0.650686433518075,-0.80522855935665,-1.11971324744549,0.361969580965231,-0.228959666046592,0.735117375963805,1.97716512080189,-0.00537643259844708,1.14007145656982,1.25948315273724,0.606431734038912,0.830688467967193,1.74995096450118,1.21735073613331,0.645078268756758,-1.68444712518837,0.242725399521907,0.0735820615715292,1.75947045901416,1.44089193282617
"UPEC_Vic_2 (GE) - TPM",-0.390864379568164,0.280076793624328,-0.0102098028115697,1.33236706891324,0.0452553847595511,1.29142256936441,0.887352166297943,1.17259832556698,0.602107292671622,1.77192492009723,2.07674175795113,-0.0566320368933846,1.99144075724905,-0.101382844289949,1.57519616846996,0.383062252884487,0.969433642734294,-0.422336822786927,-0.50656240617744,-1.11672050507886,0.164618428900917,0.183069919991752,0.308553945483793,1.1253043475554,-0.236045747051562,1.00689341501779,0.71288795191246,1.36602100504307,0.583093309336098,1.89645467728541,1.16112257712599,0.106472968148222,-1.68444712518837,-0.631542472692807,-0.593779997964708,1.38277388473983,0.64530570639333
"UPEC_Vic_3 (GE) - TPM",-0.129395594171034,0.412327748869427,-0.0319445148349706,1.1215503373526,0.946934676266917,0.942429831920483,-0.227018673618193,0.112301197928311,0.50591468081985,1.47714825266962,1.99636944699775,-0.0557764265371459,-0.443771749300423,0.254154629717903,1.48422352445169,0.255260024658198,0.983353040605021,-0.63295203332981,-0.530629217531441,-1.13181549752632,0.165191768616259,-0.503149608974551,0.200312305231472,1.06519654035854,-0.0400200798121198,1.16662209885923,0.324824313077793,0.499838123338389,0.712050461354672,1.30276447154013,0.129517449431493,0.494803183873625,-1.68444712518837,-0.130349434487595,0.771989756347626,1.02066326843009,0.584767834209187
