"","B4U56_RS00095","B4U56_RS01865","B4U56_RS01870","B4U56_RS01875","B4U56_RS02585","B4U56_RS03550","B4U56_RS03555","B4U56_RS03560","B4U56_RS03565","B4U56_RS03570","B4U56_RS03575","B4U56_RS03580","B4U56_RS03600","B4U56_RS04700","B4U56_RS05395","B4U56_RS06435","B4U56_RS06485","B4U56_RS06490","B4U56_RS07055","B4U56_RS07210","B4U56_RS07530","B4U56_RS09540","B4U56_RS09545","B4U56_RS09550","B4U56_RS09555","B4U56_RS09560","B4U56_RS09625","B4U56_RS10025","B4U56_RS10030","B4U56_RS10035","B4U56_RS10040","B4U56_RS10055","B4U56_RS10490","B4U56_RS11075","B4U56_RS11765","B4U56_RS11770","B4U56_RS11850"
"SEPI_Li_2 (GE) - TPM",2.16471366942154,0.686213567971056,0.69684905286769,-0.0254757746238929,-0.0228535493999852,2.04317769636587,0.99752355266765,1.70577032754104,1.12158468277011,3.04869348115859,1.46959468098527,1.19154581708305,1.29892890686446,0.857737827299868,0.0313579596722703,1.78386671759471,-0.0976711595211464,-1.143569634755,2.13105909849778,-0.643911586672466,0.295401999351665,0.409063577609917,0.357953411832658,0.227470146943688,0.920303793836702,1.39862881373032,1.86453839968323,0.616250891481838,0.345065766350363,0.214622703361806,0.0672664084917155,-0.314729053129864,2.32476117633752,0.256814164485859,0.951366856923749,0.854160737010933,0.149267253427584
"SEPI_Li_3 (GE) - TPM",1.45884689892261,2.70144561676026,1.90487746892484,2.04028932586433,0.182159694239177,2.48777462506053,2.40264918386652,2.09948167522682,2.04065849288373,2.35899919815102,1.7968564389228,1.35727266781092,1.38530007890799,1.41700792028269,2.38829562485692,1.70984670426307,0.701141533490283,0.48260459915642,2.58375909426297,-0.170091100223164,0.15410376870838,0.613965863028639,1.14354028703599,0.974458251447088,0.717199936574578,1.63084352422773,2.58525542986855,0.882491842624379,0.339219261139485,1.1055619197238,0.628464168715203,-0.217890632556573,1.47849487855863,-0.418336069394504,0.796779634802237,0.443488693424558,0.749468931238032
"SEPI_Mig_1 (GE) - TPM",-1.8400878964221,-0.559320248809535,-0.31699552558693,-0.573039225382058,-0.702325383974023,-0.409707434353457,-0.534969382715668,-0.730307405792938,-0.727783646879329,-0.686720281026989,-0.6639372127966,-0.774105975355407,-0.877320168441773,-0.674977024669789,0.294877505074789,-0.774373076455212,0.297461555663565,0.227329246336964,-0.50062960345643,-0.236059799167191,-0.628521919375906,-1.6110468509014,-1.54154544544903,-1.54901783032021,-1.47952094494579,-1.61732488679801,-0.957453094107409,-0.976495715100879,-0.954444936860473,-0.96962941846503,-0.889663890495229,-1.28816990515054,-0.704141286539731,-0.418336069394504,-1.21841410639399,-1.22291468400585,-0.860433294440364
"SEPI_Mig_2 (GE) - TPM",-2.02816694523177,-0.104453717458249,-0.343781084479324,-0.617424631094503,-0.669403629785457,-0.552728568418938,-0.571883334802703,-0.76717950918845,-0.811473978919696,-0.688716087275666,-0.753165833332687,-0.806426560349692,-1.16781275250409,-0.8668340616149,-0.355618204760963,-0.71475361531748,0.289654094234751,-0.00991026385516437,-0.532214401132702,-0.224199476323893,-0.454256076683627,-1.56683975173329,-1.56973806766491,-1.53822620659612,-1.60387033999064,-1.57336681332818,-0.828285587498235,-1.03411743935207,-0.948335164858898,-0.959505722174966,-0.983488544917558,-1.44060225150794,-0.46018701788452,-0.418336069394504,-1.2391670614447,-1.24999246032598,-0.991581609322401
"SEPI_Mig_3 (GE) - TPM",-1.38981518959911,-0.00576173886103469,-0.375423616713107,-0.517966085210679,-0.746129898405987,-0.448587938147093,-0.559363833188635,-0.73727971605179,-0.775819730679687,-0.684446741287961,-0.717460920926208,-0.812278574480531,-0.54245678953426,-0.483462462875369,0.0384748788950265,-0.833597431326782,0.143407103602116,0.764604331316021,-0.539453183383455,-0.0853514127254937,-0.513091190885762,-1.66132257526926,-1.58437576490613,-1.54415877158822,-1.54080399290105,-1.57829292488532,-0.891109559249103,-0.899381447762535,-0.961021685641348,-1.03216184716967,-0.974173757866508,-1.41521871882721,-0.494038671525577,-0.418336069394504,-1.2290257517525,-1.2539892770449,-0.978042762960531
"SEPI_Nd_1 (GE) - TPM",-1.01611893423653,0.0915438197714433,-0.328666890848483,-0.308037489226268,-0.513757619108052,-0.494556822734629,-0.43554672253897,-0.659414743627915,-0.677996698425367,-0.428333327731584,-0.481658735112713,-0.842084138995687,-1.28275404705983,-1.38396285583494,-1.06054947235817,0.494676388283446,-0.345737484265299,-0.599110450695044,-0.531089275263441,0.471454811508141,-0.324158883363405,-0.223014217014008,0.0660237665777071,-0.526891466025588,-0.65275457535303,-0.550594639317294,0.992060937958548,-0.617142219855245,-0.591002089559648,-0.973821203772999,-0.801451526328295,-0.184708523923262,-0.470264121045923,-0.418336069394504,-0.916637064514559,-0.847431484250951,-0.487179982864597
"SEPI_Nd_2 (GE) - TPM",-0.468765635127805,0.419290779238791,-0.0600882678353647,-0.00993269429902635,-0.54443433974561,-0.241667421101459,-0.527620982286308,-0.655282723668039,-0.532813077702595,-0.446065738327504,-0.567732875106493,-0.695356274936725,0.347327304160947,-1.05554809606574,0.705456494297119,0.520775736724382,-0.858051446872229,0.531844850242807,-0.553769888129487,1.28060691094602,-0.66613495635839,-0.652360276761451,-0.477772329171932,-0.699746926149027,-0.741525588735396,-0.665662245048639,0.915941499688288,-0.967705330524812,-0.805779234055879,-0.789347518111457,-0.799628187794425,-0.0704619943462106,-0.0376598120092759,-0.418336069394504,-0.684591951013421,-0.764864443467967,-0.770419316868784
"SEPI_Nd_3 (GE) - TPM",-1.1253657385355,0.186913634383584,-0.145082972061694,-0.588443066387002,-0.628218284700565,-0.375110930512942,-0.512323853086389,-0.670472770788763,-0.698818533575655,-0.490263563710005,-0.447905870320934,-0.601646394340241,-0.54026481922181,-1.16273735044067,-0.498770464769234,0.716098689516774,-0.448804955847112,-0.0755896332075565,-0.587424083884868,0.552882700730596,-0.350212044807809,0.0461179027732162,-0.179512585047838,-0.513167352949475,-0.504001322673497,-0.33222906178927,0.703517191374563,-0.826894953083081,-0.790322638183758,-0.784681484607745,-0.732265228091047,0.156029195517283,-0.229718972161878,-0.418336069394504,-0.804745416178077,-0.784669023032098,-0.833890450653496
"SEPI_Ns_1 (GE) - TPM",0.759636179970571,-0.748059470797076,-0.259837021088306,0.0376328947762906,2.4793606437942,1.38737281548544,1.09080429353759,1.16695620688144,1.99585366422217,0.871245517322842,2.39673579933577,2.32646749785454,1.55948120535725,0.526891819414022,-0.892210192858889,0.486120890877844,1.87893606399672,2.45707908511936,1.45800807060658,2.76121731572927,3.04574259281216,2.74176133537999,2.80446298154964,2.64577620302809,2.26525717484996,1.64421469576891,0.0529069971543688,2.51326976839815,2.77948546620279,2.37309278965296,2.30226606491384,1.2741123464687,-0.125170409057266,4.05321960584031,2.5479392434128,2.88749312244153,2.58144192389386
"SEPI_Ns_2 (GE) - TPM",1.21999560417775,-0.146173652998561,-0.110106598693818,-0.246183489577074,2.56786986623776,1.26757233031771,1.08196208572108,1.43532094574458,2.11575987320288,0.782120311878773,2.25142722900175,2.24761898140629,0.823900879159326,0.605601171801448,-0.841231289648164,0.561776825254503,2.01611319474065,2.60445480864771,1.48677294876247,2.94500939213886,2.62081279498218,2.73098501240719,2.61254166775999,2.68183303001678,2.33440332057417,2.10606447120374,0.10711320436719,2.57232700067714,2.77477109920708,2.6976391799825,2.77291823282857,1.94406113206773,0.0990139788809392,1.3309662275124,2.6059768803628,2.61854931487841,2.17142384461359
"SEPI_Ns_3 (GE) - TPM",1.32552429889824,-0.364421941332835,-0.150811191992003,0.374116188399882,2.45603559271633,1.39159878436469,1.14850771198938,1.33465696454726,1.98216167731487,0.742214002226069,2.1576470897589,2.22673903620354,1.63085150367635,1.02068589502907,-0.329570650936762,0.561238241616634,1.85376052557441,2.81026876025455,1.44106803739992,3.10678886904096,3.14611654935507,2.34934481379165,2.25956682879814,2.36493526148465,2.30456080824552,1.50100533359254,0.139737976159169,2.4113402370285,2.32110570051244,2.43355402860184,2.55588831992672,1.36134166047696,0.154736707035746,1.18461828889451,2.28158137204498,2.36275834864039,2.26393018517708
"SEPI_Oss_1 (GE) - TPM",0.494232825019162,1.2839979783903,1.20788454983383,1.5785145768362,0.796091882372872,0.357567066134851,0.246390715708249,0.407369761543823,0.407074062683338,0.653804967180349,1.00552687415851,1.17409655864986,0.103894186774733,-0.181948602105525,0.294284687856835,0.13791954344376,-0.612496049584202,0.0992318310815397,0.421210141505361,-0.191654068322318,-0.320780336431132,0.20734738256506,0.411276168187887,0.620831467256281,0.597554628014342,0.432570055836115,0.597569038150818,0.544613322140157,0.766594436917672,0.978538316897434,0.690837015811933,0.361551254745885,0.514788383134659,-0.418336069394504,0.0422851957287869,0.130431997108056,0.205731336305207
"SEPI_Oss_2 (GE) - TPM",0.298081125837691,2.88046475476056,1.83694574686539,1.47174409968813,0.407681403204186,0.342637333325846,0.412695214367834,0.498774577086132,0.351500988798583,0.904703378179791,0.66264467236494,0.670149211740983,-0.141469127260802,0.385466819790592,1.77797731010401,0.53379418837044,-0.643595279503624,-0.322611931364502,0.9414882265871,-0.424198659766331,-0.245074109942592,0.187439140556577,0.0171980703426969,0.741546988924936,0.817091245373748,0.780728568892347,1.00878760000037,1.1490209199647,1.06123132083364,1.17007584689157,1.46669894266457,1.01084388430998,1.28956361702305,-0.418336069394504,0.398321186637694,0.486143413475049,0.83301552506997
"SEPI_Oss_3 (GE) - TPM",-0.295377933811452,1.1300657212335,1.48581075154185,2.36171497769556,0.894950631971385,0.554807910792674,0.403082263488504,0.841116764468862,0.709525344113378,0.857894144624135,0.456665511395558,1.1895269318575,-1.06773259145975,-0.0173309910016546,2.01763304637862,0.522597960787154,1.05305135708131,-0.13086708409033,0.684064561996746,-0.209638714697462,0.270738108265138,0.341408455799387,0.703309114280968,0.638343342903418,0.772597161375254,0.838764897302731,0.482471198958529,0.892858786965152,0.445266409620613,0.809969376791299,1.04340570319016,-0.380578596577136,1.55378197014539,-0.418336069394504,0.0414215492062912,0.191000758320866,-0.341599739246895
"SEPI_Oxs_1 (GE) - TPM",-0.106246543386672,-0.0608419764987132,-0.0978305338537555,-0.0479485319236255,-0.115834697679187,-0.327578635465309,-0.497902731265082,-0.350449894758795,-0.459397732131331,-0.530124591138074,-0.351621454017121,-0.471578518093438,-0.83821126662975,-0.487936233276416,-0.165344512067194,-0.264597173599863,-0.102322112921965,0.0131047732910244,-0.493282502581311,-0.421813324734118,-0.0127189132295353,-0.474340907129777,-0.378884475301128,-0.34917859492888,-0.345795166743372,-0.138870423814812,-0.351716431354099,0.104202995806669,-0.0280757085171084,-0.00623330582409784,-0.0524187136067993,1.21419248399259,-0.535299702509202,-0.118776613790113,-0.620606762963377,-0.580815097129765,0.286977476942858
"SEPI_Oxs_2 (GE) - TPM",-0.457323492273306,-1.04530705468812,-0.50315176370613,-0.0765906356346119,-0.258851459981333,-0.363968294831518,-0.457409656543212,-0.535902978512858,-0.66646033834619,-0.506607032750416,-0.57582198171148,-0.604124469747613,2.09013040955391,0.0325810252425212,-0.69109869679977,-0.902407231536063,-0.95878619623857,-0.725002920831747,-0.555030955899709,-0.587437799543399,0.212521327363169,-0.942950993599071,-0.506716146957316,-0.76168859537419,-0.658739991117353,-0.599542804097043,-0.798133968004135,0.0711463930695171,0.247816688789443,-0.0492389289979434,-0.176170251142162,0.143281389137456,-0.865594015958224,-0.418336069394504,-0.142810635672906,-0.292616352666775,0.330628163975339
"SEPI_Oxs_3 (GE) - TPM",-0.438123906605012,-0.912199367610111,-0.454314263829893,-0.516665785696948,-0.0834923412587548,-0.420509711342641,-0.583881664763884,-0.535388861069111,-0.49241159709294,-0.493097649214442,-0.434310069221674,-0.570526259029995,0.321203581397827,-0.348453976170072,-0.479413955840908,-0.283939454573954,-1.18024582727964,-0.399304761692139,-0.538975499753781,-0.552292159238916,-0.164774228756704,-0.744955718212991,-0.493560281727586,-0.633282234899633,-0.633400328200626,-0.431771177109763,-0.927290849046373,-0.12926477165544,-0.273049675894958,-0.301916212156151,-0.302871617638418,0.311270768977856,-0.687426158724982,-0.418336069394504,-0.478529384273939,-0.403764898287766,1.06205163767598
