"","SAS_RS00075","SAS_RS14340","SAS_RS01305","SAS_RS01580","SAS_RS14435","SAS_RS02815","SAS_RS02820","SAS_RS02855","SAS_RS02860","SAS_RS02920","SAS_RS02960","SAS_RS03525","SAS_RS03690","SAS_RS04015","SAS_RS04020","SAS_RS04080","SAS_RS04345","SAS_RS04360","SAS_RS04370","SAS_RS04375","SAS_RS04380","SAS_RS04385","SAS_RS04390","SAS_RS04410","SAS_RS05370","SAS_RS05530","SAS_RS05535","SAS_RS06545","SAS_RS06750","SAS_RS06935","SAS_RS06940","SAS_RS07205","SAS_RS07210","SAS_RS07215","SAS_RS07375","SAS_RS07705","SAS_RS07985","SAS_RS08440","SAS_RS08445","SAS_RS08545","SAS_RS09800","SAS_RS10375","SAS_RS10695","SAS_RS10800","SAS_RS10875","SAS_RS10890","SAS_RS10895","SAS_RS11060","SAS_RS11140","SAS_RS11165","SAS_RS11170","SAS_RS11175","SAS_RS11180","SAS_RS11360","SAS_RS11440","SAS_RS11680","SAS_RS11930","SAS_RS12515","SAS_RS12650","SAS_RS13360","SAS_RS13390","SAS_RS14030"
"MSSA_Li_3 (GE) - TPM",1.83526614856494,1.21511663337531,-0.163059295327795,0.391017841709721,0.85412060350387,2.54575065281414,2.26245395192169,0.413511905722989,0.333805611755342,1.09613140424471,1.31720260797728,0.405347368963933,1.75132470019239,0.0113458509427166,0.157207112907161,2.34528138952917,2.18614333172218,1.21960211849978,0.792760234626809,0.602970963317378,1.07583084089113,1.07408780767546,1.45319076220888,1.51377900838109,0.448355796985507,2.41113246893395,1.13478122576747,0.478767181397353,1.33476871834014,-0.69536801757129,0.0730209387957676,0.89620002249564,1.30123170148165,1.99658102967097,-0.289369534687809,0.0227126004740542,1.34536959045097,1.17309192098648,1.33004244029954,2.23043046927886,2.19067987106703,1.69945923813002,0.21223850110481,1.43532967914271,-0.268134838468305,1.28984698406292,1.29896366678803,1.84537924430951,0.912136324784804,0.947590788983966,0.990366832210849,1.06797485375724,1.0111870110128,2.39355380845376,1.34122369373824,0.693627452444177,-0.261875512938559,0.117689012688338,0.415308501225572,2.9694273431988,1.43646850598373,2.83495748433419
"MSSA_Mig_1 (GE) - TPM",-1.40895215247219,-0.324388641434561,-0.666189911773849,-1.45520890022236,-0.64113328311572,0.439633512058649,-0.659300046702279,-1.21711706227482,-1.21160761880207,-1.34400463104777,-1.43235211109464,-1.22885417095787,-0.251332941926077,-1.07390915245099,-0.96654878995077,-1.33757409618023,-1.69371650922939,-1.20000321804582,-1.13252250696634,-1.14415725151362,-0.863609269311804,-1.03807905302241,-0.342477221925052,-1.05104663952572,-1.15766705774329,-0.425853511578003,-1.20713932664032,0.0671820375490431,-1.18260170758411,-1.35384438409393,-1.19898231577648,-1.04833529290126,-0.688224612133718,-1.29036076052169,0.334027253116931,-0.283935796387449,-1.18355766073548,-0.887982811063009,-0.826938373388106,0.340797623511428,-1.03076583305235,-0.949284785900415,-0.794976523642526,-0.0852640906332827,-0.322512107906125,-1.60596220305665,-1.5316640400415,-1.09245275237462,-0.713632510919906,-0.844555754967438,-0.907712517346947,-0.976846215575625,-1.00694184430347,-0.935810308909628,-0.277824645644222,-1.15828883122508,-0.133084213605595,-1.58598869932244,-1.55123797368049,-1.01811114941494,-1.13365643778811,-0.799017615048949
"MSSA_Mig_2 (GE) - TPM",-1.22214079305838,0.163339814621799,-0.656150633965727,-1.39394451215586,-0.318946147524679,0.253412927056657,-0.709495333439852,-1.19751743114537,-1.27610759572176,-1.31599950429768,-1.57273046638097,-1.49817074070336,0.172538155439932,-1.37009836342612,-0.979116989217149,-1.24293023263305,-1.57829389478818,-1.60669920675476,-1.02987979973214,-0.95845187050788,-1.11776706901567,-1.21566830402315,-0.750049090664436,-1.27048199602559,-1.49021554510708,-0.168358493232568,-1.08896833926844,0.220595784034004,-1.22418693868818,-0.573482340280377,-0.917885568968785,-0.920653737048487,-1.00337117021615,-1.47795722545554,-0.00021573237548022,-0.319620940930534,-1.29679459011182,-0.928486450747102,-0.938545489130972,0.228861256383921,-1.31763114024292,-0.890754821055283,-0.988920843827387,-0.343869248521954,-0.33966026710335,-1.6487695878633,-1.49986282498984,-1.4504144031282,-0.977488859847476,-0.836360278920448,-0.878946239611209,-0.962369743820109,-1.01415641217608,-1.28888891517016,-0.93110917187663,-1.28849445101888,-0.124852186316171,-1.28469030134952,-0.973187123379951,-1.16677246047076,-1.42885778770927,-0.786626467403982
"MSSA_Mig_3 (GE) - TPM",-1.82022364995083,-0.205157234168353,-0.60931722741731,-1.14333771850413,-0.64113328311572,0.249318192150026,-0.510303137736684,-1.27709282361205,-1.05568824469166,-1.2369492455127,-1.31402056653586,-1.46943345925139,0.612556404077441,-1.48977926390169,-0.937595254752086,-1.52626622099366,-1.37959124591481,-1.35810158961387,-0.771542250740958,-1.13575527206121,-0.678431397935838,-0.972758181182493,-0.0981437155629444,-1.1601488387967,-1.48359060080275,-0.150783735004136,-1.1658587664915,0.397084436807234,-1.15330181306453,-1.14368254657634,-1.19193055762619,-0.672376366935071,-0.70536928198973,-1.33188864375671,0.62539660778423,-0.284713124829007,-1.1150616541073,-1.06266196556013,-0.908625612739411,0.728306667950904,-1.33199538299695,-0.956329463873593,-0.890814151244837,-0.136827177645582,-0.335814032561451,-1.74603705776138,-1.5566546886996,-1.38842829083388,-0.812403497431919,-0.81813479406183,-0.871834264103724,-0.971161542017032,-0.985973371647265,-1.39661703697343,-0.0307836829025329,-1.25167988889098,0.102604344363691,-1.49947235422227,-1.61283284700567,-1.10641841705356,-0.930684020047064,-1.51175921165686
"MSSA_Nd_1 (GE) - TPM",-1.7581192866059,-1.25729740503159,-0.482011610037833,-0.99642853237885,0.190458736330881,-0.618267179346298,-0.739568612550106,-0.323542921303156,-0.452843533427413,-1.03367114873538,-0.764560019997257,0.290939136600116,-1.50442495955573,-0.141442195578481,-0.46338711672047,-0.385409338480637,-1.04518810131812,-0.710877873650119,-1.53227067687196,-1.51961133914439,-1.7172411578224,-1.7380662321797,-1.74978942613532,-0.949963167888605,0.745073052981659,-1.44232381042565,-0.485062252029003,-1.67233296266995,-1.18316416574271,-0.25520081048949,-1.42619152039387,-1.34313372332266,-1.54070518946297,-1.37482393355874,0.752665491841732,-1.46184765247613,-1.29897124622983,-1.43527275395932,-1.62732809046887,-0.576816292174824,-0.486403473328686,-0.672702480465123,-1.50785921880129,-1.79817943025643,-0.340276172026979,-0.33325348684906,-0.68837119648503,-0.407629103978681,-1.68815303908146,-0.85418883588467,-0.655595631837334,-0.72320022093027,-0.687667800925076,-0.257895917410087,-0.422210750608245,-1.32043896549558,-1.05792896838109,-0.488888501135179,-1.06636185773347,-0.522197389686508,-0.568191564242817,-0.771269414439291
"MSSA_Nd_2 (GE) - TPM",-1.02824037145843,-0.777614551029072,-0.440442460440991,-0.433894267137077,-0.64113328311572,-0.63552771204662,-0.990983122787079,-0.109051231930391,-0.278165620133304,-1.10612924016139,-0.694917504630723,0.12383637127657,-1.14188056276892,-0.0657759990909617,-0.14518241241139,-0.626947811695693,-0.722134857293616,-0.950836062285732,-1.638764229945,-1.44568117104776,-1.56028347219701,-1.70721178883642,-1.53401326463439,-0.957512084756802,-0.220852854267376,0.0814779763919272,-0.411816348412696,-1.60116437151087,-1.49636456402614,0.370829373679283,-1.01675200919168,-1.15579234843311,-1.25304349346262,-1.50347630022985,-0.134831163984048,-1.34986704258424,-1.28104939778484,-1.3333260458145,-1.53374301550821,-0.0948053710994635,-0.102212367789624,-0.59580773291414,-1.44925262158104,-1.17718397728901,-0.345172513574597,-0.417707216862735,-0.713100415838509,0.193344756682904,-1.65924678722417,-0.873068111903963,-0.7531905359664,-0.6944791151932,-0.758694117662838,-0.273028252071438,0.636022023940313,-1.42271813660981,-1.1953453560372,-0.994320766685851,-0.702708595157465,-0.420757696021145,-0.335048705928654,0.0639744575756874
"MSSA_Nd_3 (GE) - TPM",-0.985707671370448,-0.558504444998499,-0.593250509866242,-1.02645854038341,-0.64113328311572,-0.70211956255657,-0.954478534967358,-0.698789021245865,-0.655721299343726,-1.2381723824325,-0.176609003737868,0.00868672295320778,-1.81358564114032,-0.367769848471858,-0.466185287448508,0.0960570959774518,-1.11688444008774,-1.25356894550237,-1.64507774157276,-2.16056687203521,-1.89251900731676,-1.88674617725498,-1.65302087870198,-1.47421333250019,0.467000639834075,-0.505164592298528,-0.81508135148575,-1.72890828931339,-1.14999550442911,-1.35384438409393,-0.719135898520481,-1.38546439267966,-1.57124445896658,-1.7059192983547,0.230710398044125,-1.33511959290003,-1.3950269047151,-1.46812840548818,-1.60258682639462,-0.239968419833404,-0.444001547000597,-1.28472502777846,-1.4770208075083,-1.92339734956591,-0.337020999240957,-0.43977966987023,-0.988131044173738,-0.996362474506456,-1.74260363830478,-0.827058360897298,-0.731171863131519,-0.742536377186105,-0.767796248586732,-0.569474972565024,0.0439006323717537,-1.2782900151214,-1.21785411367464,-0.776351178783604,-0.891804023495301,-0.418044293897973,-0.167491906448056,-0.349758051074427
"MSSA_Ns_1 (GE) - TPM",-1.45437484575948,1.14335607806956,-0.513535031056485,-0.841924507018307,0.568745805490606,-0.538400438653038,0.105561860069616,-0.184132182108336,-0.0326225454904294,-0.270591824733475,-1.24825400486991,-0.49148461758122,-0.438805238752468,-0.335181529644078,-0.222290436286198,0.0566605102937798,-0.869994334352234,-0.503359162309824,0.445478260556575,-0.00102208671360628,0.198880373600844,-0.296013530693058,-0.878127775682933,0.242838207012936,0.702078607612034,-0.220602385685384,-0.291207596502249,0.185426380226622,-0.992276450308882,-0.927601433157118,-0.520985936837554,-0.909246101144615,-0.698918445849267,-0.349568356293312,0.575334333439064,-0.756866509702717,-0.025241171706351,0.130813916189229,-0.297445063113608,-0.787720073347317,-1.49097899850474,-1.02573551223852,0.0971078652115833,-0.537037915862631,-0.329466924913354,-0.455671663409349,-0.416978524832098,-0.810820181383793,-0.81126430901883,0.0865344861812023,0.227526845189383,0.293273654090685,0.36047212401826,0.00680693623051966,0.274966627703118,-0.0974162650409928,-0.893956498444321,-0.357220285274704,-0.830570375167187,-0.486469461979648,-1.1326491941969,-0.709101113320348
"MSSA_Ns_2 (GE) - TPM",-0.673124626206358,1.67279523800319,-0.403014844360211,-0.184755286535699,-0.64113328311572,-0.568565385613458,-0.155472497150236,-0.0310715139733225,0.692617961767674,-0.123950604315532,-0.705645343612328,-1.08978461650855,-1.06492915828909,-0.319532018444167,-0.0692981335856862,-0.316353965594265,-0.65563146796617,-0.292558136437235,1.13206012386927,-0.0611852322527951,0.841386654617647,0.621209638293877,-0.161478143417378,0.274117438509432,-0.21961675482353,2.06082643068798,-0.560226888792257,-0.0769419049245313,-0.679539633020892,-1.35384438409393,0.763876425910531,-0.770353299193306,-0.703909593387082,-0.463794148378366,1.42204877569216,-0.318235572327066,0.134615751509056,0.375084298755835,0.0941431539249803,-0.493992558711156,-0.925196143271427,-0.795934427218827,-0.0733058690478759,-0.577806251619915,-0.301920040691583,0.273304871019375,-0.297682021286792,-1.352665926505,-0.472385426564959,0.776776441695584,1.0404985493658,1.17464003555137,0.914559511795858,0.139978805147574,-0.139405731333414,-0.0184562450860118,-0.676868546788463,-0.953429858186065,-1.56390546698412,-0.894117696144536,-1.745099846517,-0.401671627997604
"MSSA_Ns_3 (GE) - TPM",-0.562553020100597,-0.139865179141998,-0.343269778786768,-0.532963651028279,-0.64113328311572,-0.602721262320842,-0.285388384757653,-0.357313218144008,-0.334471142204721,-0.607664690874039,-1.24212321467509,-1.02423098731144,-1.44484468272268,-0.584196613043438,-0.0797534556710491,-1.06903703351275,-0.851861401250026,-0.816306912693535,1.24563136260056,0.648331636263448,0.776849067654315,0.614410075414585,0.648595025720349,-0.331551604050818,-1.08659908040857,-0.0905350760915396,-1.11445531978976,-0.430176537507294,-0.705861193546204,-0.237825737155977,-1.07804625261465,-0.888036016118035,-1.12273490302559,-0.769712965842914,0.813057929546385,-0.637461216176272,0.321912826897864,0.394630073665225,-0.115236948040406,-1.51802463504693,-1.20846970061818,-0.805214864462961,0.177477660809787,-0.940201740663704,-0.31099865718086,-0.569222932637292,-0.788661953685212,-2.12725564889306,-0.593052572675458,0.696873433870669,0.720980373447279,0.819812089893943,1.12476863951498,-0.669345554516748,-1.69457314382126,0.398868732949397,-0.643984022724474,-0.698754305531064,-0.648921775395513,-0.897611246552856,-0.887449221821397,-1.9235617271951
"MSSA_Oss_1 (GE) - TPM",1.49226209773975,0.263318494143887,3.87522218497956,0.766444566339575,0.278497004469102,-0.388269996964953,0.62091486098896,2.89318927495135,2.9345170159394,1.50449613125636,0.357509490705352,1.64011545922641,2.20251467057167,0.740010268368293,0.826261098059753,1.43845959605943,2.04089100680588,2.48653453380777,2.79579610867344,1.80028538240533,1.82027688550782,2.37952640888858,2.29736616379062,2.12736678231855,1.64315690379501,0.495730462328013,0.908442168564832,2.08717293420488,1.63741221352571,2.18977094443015,2.38608857853967,1.67365346888818,0.95200417568269,0.626120039477803,-1.0914104313639,1.94476590946198,1.92151047729074,0.843127440580388,0.907812702586821,1.8853592064941,1.44004110945077,0.993081887150552,0.881498144777209,1.9116813296524,4.06026776188604,1.27504138816414,1.34457562950669,0.922732154767929,2.0534879748856,1.15789166833983,1.23178017344628,1.31530629481824,1.25507309847299,1.11097052736573,2.18609140199985,2.21314950812139,3.14275409401513,2.15743764670014,1.71629624492616,-0.0759889587619601,1.97017576908625,1.18348852762819
"MSSA_Oss_2 (GE) - TPM",1.41095834848346,1.4366297924621,2.78896965753067,1.34599714114465,1.39539106645693,-0.37769648679697,0.478742140572016,2.1538891447626,2.46851539382306,1.54446699395119,0.522703078121202,1.53304144489848,1.89575448078557,1.91561759605906,1.80487739419938,0.577374220816166,1.57822551370828,1.96009819211072,1.7381715694437,1.78944781570377,2.03960958744018,1.45759632337554,2.26678755050124,0.792730429240761,1.50128764407307,1.18553028164734,0.337645457042936,1.34666902838123,1.09227908355578,1.78509481613522,2.73622634483472,1.49211242263522,1.81452905455957,0.351552841460063,-1.16302518084374,0.847864958177157,2.04175975391805,0.864696853551375,1.30752328308627,1.14195619892709,1.76277405030558,0.142239175392023,0.998717148951805,1.24132736858818,3.41608259613053,2.07735773708102,1.33246886821886,1.57867808841612,1.68669422272287,1.53948236094882,1.87699811380305,2.07193992211976,1.70950602938352,1.54406090990641,1.15317347329969,1.45125944493212,1.92764413485057,1.81409845554927,1.75856365615906,-0.0949817866551727,0.324850802563503,0.904759691185709
"MSSA_Oss_3 (GE) - TPM",1.64839592910737,0.275066089509425,1.9332423308302,1.32786125933808,-0.64113328311572,-0.37103973806076,0.207674707390535,2.87749528054409,2.24245915618787,1.64734971930195,1.03314389500888,0.801957254141239,1.52837738795411,2.19517414476073,1.95642287991421,0.745055095601594,1.00521402077227,1.1625996136479,0.676792059887374,1.24820534891376,0.896299820451719,1.00704653223264,1.41566688676222,0.369697448836552,1.10995009335925,-0.955508291496614,-0.163442268704472,1.52587125937561,0.741417140983826,0.482665636994994,1.80069947955014,2.43819301727721,2.05017163215503,1.15916816940225,-1.17856096519914,0.970459999171186,1.03025526596893,1.11204219551272,1.32316635832999,0.976644126039471,2.17659129333756,-0.191825970339384,1.63277925606177,0.974617654988961,1.99676397315815,2.09897576256829,2.13303351889946,2.08871826431763,1.19000136442952,0.0890663802759868,0.315475620498875,0.681537261412233,0.528853177101709,1.55614888885168,0.721949465862599,1.16658021745337,1.83772211817538,2.21379520382149,1.46967079760819,0.993113247029605,1.34787677583322,0.656351301876121
