"","GBS_RS00285","GBS_RS01445","GBS_RS02695","GBS_RS02905","GBS_RS03365","GBS_RS03470","GBS_RS04515","GBS_RS06165","GBS_RS06415","GBS_RS06420","GBS_RS07545","GBS_RS07705","GBS_RS08165","GBS_RS08170","GBS_RS08490","GBS_RS08570","GBS_RS08580","GBS_RS08650","GBS_RS08750","GBS_RS11420","GBS_RS08985","GBS_RS09015","GBS_RS09195","GBS_RS09355","GBS_RS09360","GBS_RS10460","GBS_RS10465"
"STAGA_Li_2 (GE) - TPM",-0.441976505804367,0.211411962818589,-0.570086428903716,-0.280386947541431,-0.254495212645871,-1.42060053897673,-0.425912240011729,-0.883598349839607,0.399297081729635,-0.20184395573916,0.792249628207016,0.00794471503884631,-0.865826116883092,-0.442970284662302,-1.0524136953777,0.0205971858165154,-0.465030398650777,0.253890457386954,-1.02174379504692,0.451656179093996,-0.457820704589945,-1.15047558996603,0.859910529176691,-0.627289685406726,-0.396393901608189,-0.391017682037011,-0.0846161998850127
"STAGA_Li_3 (GE) - TPM",-0.198053260571469,-0.145316658682616,0.0114602993731526,-0.280386947541431,-0.87537513836822,-1.23475724451274,-0.73089724171861,-0.859753820698181,0.777360133963684,-0.241191589710419,0.232127424538722,-0.150421262737251,-0.8777029062856,-1.03316493564191,-0.922149388803994,0.208981225041952,-0.289902992506668,-0.00997453489583384,-0.12575944543799,-0.378286129868389,-0.23280072058849,-1.00593788801239,0.456280729469728,-0.571690177803357,-0.406358873619407,-0.392609754144733,0.0571908017201929
"STAGA_Mig_1 (GE) - TPM",0.306521545953573,0.0268799366991981,-0.834658006175404,-0.280386947541431,0.129382517337693,-0.578611878323572,-0.457406878371891,0.337070910211414,-0.261367194170184,-0.292661118214367,0.157462516210271,-0.393884517500496,-0.784058316544312,-0.380491644975524,0.666402273450071,0.107434739366205,0.168008502034967,-0.729798597046213,0.508756949436055,-0.378286129868389,-0.0464623646864848,0.133392042528766,-0.486466479154513,0.647202291675659,0.521821287917706,0.369986563557153,-0.0491593443342229
"STAGA_Mig_2 (GE) - TPM",0.658505064243411,-0.35776168145868,-1.78100575857004,-0.280386947541431,-0.588449633619729,0.52398949868746,-1.03630679374495,0.241811587515581,-0.410520192525436,-0.469014561438159,0.586732316795923,-0.423577564121713,-1.09092782102249,-1.21608171553813,-0.161826571989961,0.203572691526626,0.09076988594205,-0.758686673192175,0.99777314327135,-0.378286129868389,-0.264499181119788,-0.649224474786218,-1.72123808649771,0.14167818130529,-0.0703732547904342,0.276454837525378,-0.310174289144877
"STAGA_Mig_3 (GE) - TPM",0.431626556818388,0.352867140859731,-1.68189264625288,-0.280386947541431,-0.43253929615985,-0.708922265272951,-0.99189030882289,0.337244596120275,-0.621060985046722,-0.290343975289995,-0.178722452524239,-0.195621375331392,-1.05599776459128,-1.26824670112916,-0.0355179437523915,0.446588572674251,0.28058557137642,-0.825132378861294,-0.451893870130158,-0.378286129868389,-0.125039141816948,-0.378789155853303,-0.151907079100428,0.639790790231762,0.00545770848020284,0.453660866624883,0.144072923700087
"STAGA_Nd_1 (GE) - TPM",0.00170512842203451,-0.548382406792662,0.30413553291313,-0.280386947541431,0.637244257740219,-0.725081614265275,1.54030872858746,0.187926101973158,-0.2533071970652,-0.426769019461498,-0.228844446959744,-0.998977031550623,0.683025273889435,2.19085845973725,-0.983463065518794,-1.15701737203258,-0.802572585943368,0.662535503074217,0.0465187162900461,-0.378286129868389,-0.248419595687317,-0.798337292552481,-0.153792529332956,-0.663568757738799,-0.508590054920926,-0.249701114373606,-0.853449746149926
"STAGA_Nd_2 (GE) - TPM",0.70352569517837,-0.869930008564599,0.0357429036819598,-0.280386947541431,0.376781913812976,-0.863984000279692,1.38456516117431,0.315780760793024,-0.354315824772461,-0.502732756592928,-0.426445753937745,-0.954023644033059,0.81578048899851,1.16734906159026,-0.677289806650231,-1.09661752469372,-0.847431630917663,-0.0677988776574197,0.715690292716054,-0.378286129868389,-0.182424945665056,-0.334649616611663,-0.364902997559875,-0.630144815254776,-0.534924398876117,-0.201935964587261,-0.94113589091201
"STAGA_Nd_3 (GE) - TPM",1.41870165857473,-0.0997880429850422,0.904258082286766,-0.280386947541431,0.593684847786959,-0.745785010570116,1.57938763385902,0.584997604253865,0.181266113372935,-0.38328587662724,0.0974657229406843,-1.12109149413836,0.816642755101031,1.0948128551036,-1.13445220649041,-1.05690560502754,-0.811048777692082,0.748169990243759,0.0260318288977356,-0.378286129868389,-0.115137950015486,-0.953363161157674,-0.295137089613665,-0.54415275650257,-0.276488277376611,-0.124520818340342,-0.853773480720605
"STAGA_Ns_1 (GE) - TPM",-0.902245325649897,0.324829508141534,-0.206826834150945,-0.280386947541431,-0.339451247956243,0.282188527451435,-0.624934672767792,-0.624644090322368,-0.532913423531336,-0.613276894956318,-0.431234027437292,0.289514556398987,1.03442397191049,0.448851435549155,0.0644906710874866,-0.656925062941311,-0.461372732686173,-0.568512732871516,0.810394096108699,-0.378286129868389,-0.224505024125052,-0.370923573565475,0.782258287791336,-0.708922805776129,-0.470197048548337,-0.517353664594113,0.246655369537557
"STAGA_Ns_2 (GE) - TPM",-0.63314347143091,-0.417262491880996,-0.877095232505686,-0.280386947541431,-0.310189164926271,-0.83631629914026,-0.0258462555255235,-0.68321376159324,-0.530203319149362,-0.463761291726571,-0.327456084784305,-0.168389972764186,0.31419588255165,1.31696337050557,-0.175306143549614,-0.627283537836811,-0.443486262578586,-0.427806824052621,0.284698988723884,-0.378286129868389,-0.446424000828552,-1.23908509108027,0.0268804810689443,-0.930961521347121,-0.632485334052616,-0.471665305961617,-0.300746738209565
"STAGA_Ns_3 (GE) - TPM",-0.325052798210503,-0.273172603970985,-0.545802547383896,-0.280386947541431,-0.361269572751813,-0.50466276844097,-0.214573888093001,-0.573995019276866,0.0439212217040735,-0.212287152838639,-0.908620053132363,-0.128696440332675,0.208603023020001,0.394450906736645,-0.276552636006912,-0.59031438953317,-0.403676246767132,-0.441284778830109,-0.225247908193743,-0.378286129868389,-0.0780378278767724,-0.465530443309048,2.16258190624934,-0.510661326931178,-0.57410161826388,-0.350339948799247,0.103165810371915
"STAGA_Oss_1 (GE) - TPM",-0.572537644999596,0.469051372354245,-0.164388347977582,-0.280386947541431,-0.250204807712577,-1.01425851851501,-0.323618376715691,-0.227686416818296,-0.677001771680074,0.353548322657235,-1.42267901763517,-0.0503130530573565,-0.430985952721973,-0.691409454888174,-1.51207117246613,0.0769914835380521,-0.369936732339229,-0.430815354360034,0.217807889784017,-0.378286129868389,-0.215444387290505,-0.397922687706882,0.723522672775557,-0.0233879303044121,-0.316471554941383,0.00871668070976969,-0.665160776815242
"STAGA_Oss_2 (GE) - TPM",-0.551024136205821,0.569737438367076,-0.481786743466069,2.94279689584077,-0.265438593464355,-0.817634688649933,-0.45749935086889,-0.252831720976121,-0.721006647875555,0.39033344691612,-1.44613818721347,0.19725386831197,-0.428496931993642,-0.536280666037858,-1.45186003177424,-0.490133598498732,-0.151851798201206,-0.00848549517747033,-0.0112679981097243,3.7219227293596,-0.199527739195325,-0.589948456947744,1.06044552464106,0.0839538889476861,-0.192725595515326,-0.122031405217135,-0.735186022360395
"STAGA_Oss_3 (GE) - TPM",-0.129222202331367,0.270998753988643,-0.226645700865843,-0.280386947541431,-0.232088107503056,-0.799332939595115,-0.425223895796764,0.0628220302913716,-0.559490304428626,0.504602975266256,-1.6805828114673,0.200956032456815,-0.546135911228001,0.672159557096664,-1.57274788055557,0.0348811429265144,-0.381755889764954,-0.258677818003055,0.591791700828007,-0.378286129868389,0.223729661776847,0.127621938860628,-0.352233176034446,-0.259620618762107,-0.305463588347896,-0.181974290303848,-0.405376044268495
"STAGA_Oxs_1 (GE) - TPM",0.382880791673838,-0.280761198198358,0.366189302908345,-0.280386947541431,0.448639719573653,0.686671752558937,0.795742859177525,-0.213668263709541,-0.698245842551947,-0.401266795773215,-0.000695286214741047,-0.35315529803777,0.0940875872209406,0.185342736099335,0.715421669908442,-0.578291074241403,-0.884393561438218,0.304904794814548,-0.536495174951788,-0.378286129868389,-0.369717914553077,-0.925696962121452,-0.990664853274341,-0.408129046873644,-0.497772078866552,-0.250963617530821,-0.539579764960082
