"","B4U56_RS01115","B4U56_RS01120","B4U56_RS01125","B4U56_RS01555","B4U56_RS01560","B4U56_RS01565","B4U56_RS01570","B4U56_RS01575","B4U56_RS01580","B4U56_RS01795","B4U56_RS04855","B4U56_RS05390","B4U56_RS06825","B4U56_RS07215","B4U56_RS09320","B4U56_RS09325","B4U56_RS11430","B4U56_RS11435","B4U56_RS11965"
"SEPI_Li_2 (GE) - TPM",0.0254090734571277,-0.796771840738591,-0.631839701967953,-0.157155670204163,-0.70545499354478,-0.563817404555253,-0.367803130715617,-0.206213176866357,-0.375768287914384,-0.443271695573072,-0.650331137431122,0.563100190451799,-0.166666666666667,0.214796327202814,-0.180531703900143,-0.155617431204446,0.281078142275829,0.131687797770224,-0.238477879642894
"SEPI_Li_3 (GE) - TPM",-0.472982040570366,-0.827970985235983,-0.182518383184331,-0.185723738108669,-0.228418623193996,-0.259400743370722,-0.207201922949668,-0.229824614053049,-0.406512594575365,-0.592490272880145,-0.0643387588929921,0.227506559397929,-0.166666666666667,-0.105392665836386,0.260444286307914,-0.0982900123928278,-0.0482508970218903,-0.0907409715465953,-0.238477879642894
"SEPI_Mig_1 (GE) - TPM",-0.458124794972147,-1.22794687348179,-1.3799836279961,-0.888332696244154,-0.734095430902295,-0.485328474788563,-0.689981168093191,-0.778160292767623,-0.777635059087201,-1.42668085151967,0.600787386986458,-1.34408599390678,-0.166666666666667,1.04680809473167,-0.417921776765332,-0.636946616157344,-0.422283012606189,-1.0493757406174,-0.238477879642894
"SEPI_Mig_2 (GE) - TPM",-1.13871362517032,-1.07598144732285,-0.859928346713748,-0.811021938831875,-0.592713751695862,-0.748242777112027,-0.601453322019895,-0.771323262374513,-0.69425486453369,-0.841109125574341,0.773325168801505,-1.23241452723039,-0.166666666666667,0.624837467262729,-0.46769978888856,-0.618033166378932,-0.411286461212271,-0.438076925545113,-0.238477879642894
"SEPI_Mig_3 (GE) - TPM",-1.14606314355636,-1.08923975745056,-1.10275386394568,-0.969386974627069,-0.883244609170046,-0.646093033880319,-0.586850502850133,-0.775000854665906,-0.761929564917539,-1.22118738111669,0.861969381914034,-1.34597472566048,-0.166666666666667,0.802943002492889,-0.589583785669978,-0.629006489451737,-0.968161082684573,-0.407065979938912,-0.238477879642894
"SEPI_Nd_1 (GE) - TPM",-0.656885547254512,0.159986138805742,0.205800500917989,-0.731439477432826,-0.571639928030757,-0.221545744544052,-0.744882309757093,-0.400695623685997,-0.378877509857781,-1.098482614744,-0.633409071512775,-0.274570608451095,-0.166666666666667,0.650416673526151,-0.346042418782912,-0.292092140806242,0.185451190969228,0.0850780014604564,-0.238477879642894
"SEPI_Nd_2 (GE) - TPM",-0.413696873102892,0.532486996319542,0.180081847025744,-0.764250688109724,-0.690405787466791,-0.582757590457493,-0.655926926288453,-0.512774475385183,-0.489266715164128,-0.510748155740341,-0.456620862974141,-0.641596373867695,-0.166666666666667,1.27845940103789,-0.266671383762055,-0.248712456419198,-0.542065654583836,-1.06447574965682,-0.238477879642894
"SEPI_Nd_3 (GE) - TPM",-0.120718603859999,-0.648900633053335,-0.217118680965596,-0.719116640876529,-0.603152178733669,-0.507600240301092,-0.581472494575284,-0.427481606094138,-0.455587174524029,-0.849746026657119,-0.94469012926512,-0.277041894090502,-0.166666666666667,0.927657597606546,-0.293756799503016,-0.322724145753286,-0.425624645422568,-0.0785823576801096,-0.238477879642894
"SEPI_Ns_1 (GE) - TPM",-0.913839956419046,-0.670590094746917,-0.836493869800572,-0.84103050607666,-0.726393143408718,-0.658336386519393,-0.582865698433104,-0.537576245615737,-0.546002090581394,-0.860636487056123,-0.31029744267172,-1.26340637738437,-0.166666666666667,1.09668835576811,0.189725674674058,-0.108281245315444,0.0698283067747212,0.305041686916536,-0.238477879642894
"SEPI_Ns_2 (GE) - TPM",-0.662646615425526,-0.674843411626986,-0.827595881974819,-0.773061208429968,-0.679388445293986,-0.616922826698584,-0.691798944266364,-0.584028073636451,-0.579583450216313,-0.561570714123537,-0.65297104474412,-1.29570551535596,-0.166666666666667,1.64364111716243,-0.265990987742938,-0.346143222963354,0.260329329110124,0.555316477703984,-0.238477879642894
